All ^abn++++=All
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
porter ^nn++++=porter
beside ^in+pl+++=beside
the ^ati++++=the
pile ^nn++++=pile
of ^in++++=of
luggage ^nn+nom+++=luggage
tickets ^nns++++=tickets.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hammond ^np++++=Hammond
repeated ^vbd+++xvbn+=repeated.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
good ^jj++++=good
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she's
's ^vbz+bez+aux++0=EXTRAWORD
been ^vpsv++agls+xvbnx+=been
' ^zz++++='there'
there ^rn+pl+++=EXTRAWORD
' ^zz++++=EXTRAWORD
since ^cs+sub+++=since
two ^cd++++=two
o ^zz++++=o'clock."
'clock." ^nn+++??+=EXTRAWORD
The ^ati++++=The
porter ^nn++++=porter
smiled ^vbd+++xvbn+=smiled
with ^in++++=with
the ^ati++++=the
patience ^nn+nom+++=patience
of ^in++++=of
a ^at++++=a
man ^nn++++=man
whose ^whp+rel+obj++=whose
own ^ap++++=own
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
one ^pn++++=one,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
arrive ^vb++++=arrive
or ^cc++++=or
not ^xnot++not++=not
arrive ^vb++++=arrive
without ^in++++=without
disturbing ^xvbg+++xvbg+=disturbing
the ^ati++++=the
harbour ^nn++++=harbour.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
the ^ati++++=the
wharf ^nn++++=wharf
sheds ^nns++++=sheds
the ^ati++++=the
water ^nn++++=water
spread ^vbd+++xvbn+=spread
like ^in++++=like
a ^at++++=a
sheet ^nn++++=sheet
of ^in++++=of
tarnished ^jj+atrb++xvbn+=tarnished
metal ^nn++++=metal,
, ^zz++++=EXTRAWORD
rumpled ^j+++xvbn+=rumpled
here ^rn+pl+++=here
and ^cc+phrs+++=and
there ^rn+pl+++=there
by ^in++++=by
a ^at++++=a
breeze ^nn++++=breeze
that ^tht+rel+subj++=that
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
nowhere ^rb+pl+++=nowhere
and ^cc++++=and
went ^vbd+++xvbn+=went
nowhere ^rb+pl+++=nowhere.
. ^zz++++=EXTRAWORD
The ^ati++++=The
*ardent* ^nn+++??+=*Ardent*,
, ^zz++++=EXTRAWORD
pale ^jj++++=pale
above ^jjb++++=above
and ^cc+phrs+++=and
black ^jj++++=black
below ^rb++++=below,
, ^zz++++=EXTRAWORD
lay ^j+++xvbn+=lay
upon ^in++++=upon
it ^pp3+it+++=it
with ^in++++=with
the ^ati++++=the
absurd ^jj+atrb+++=absurd
stillness ^nns+nom+++=stillness
of ^in++++=of
a ^at++++=a
painted ^jj+atrb++xvbn+=painted
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
Specks ^np+++??+=Specks
clustered ^vbd+++xvbn+=clustered
along ^rp++++=along
her ^pp3o+pp3+++=her
railings ^nns+nom+++=railings.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
passengers ^nns+nom+++=passengers;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
smuts ^nns+++??+=smuts.
. ^zz++++=EXTRAWORD
A ^at++++=A
launch ^nn++++=launch
moved ^vbd+++xvbn+=moved
near ^rb++++=near
her ^pp$+pp3+++=her
side ^nn++++=side,
, ^zz++++=EXTRAWORD
dragging ^vbg+++xvbg+=dragging
a ^at++++=a
white ^jj+atrb+++=white
thread ^nn++++=thread
behind ^in+pl+++=behind
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
halfway ^rb++++=halfway
up ^rp++++=up
a ^at++++=a
rope ^nn++++=rope
ladder ^nn++++=ladder
a ^at++++=a
tiny ^jj+atrb+++=tiny
dark ^jj+atrb+++=dark
creature ^nn++++=creature
climbed ^vbd+++xvbn+=climbed,
, ^zz++++=EXTRAWORD
paused ^j+++xvbn+=paused,
, ^zz++++=EXTRAWORD
climbed ^j+++xvbn+=climbed
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
that ^tht+vcmp+++=that
the ^ati++++=the
pilot ^nn++++=pilot?
? ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
there ^rn+pl+++=there
some ^dti++++=some
difficulty ^nn++++=difficulty?
? ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
anything ^pn++++=anything
happened ^vbd+++xvbn+=happened?
? ^zz++++=EXTRAWORD
Anything ^pn++++=Anything!
! ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
could ^md+pos+++=could
happen ^vb+++??+=happen
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
very ^ql+amp+++=very
gate ^np++++=gate
of ^in++++=of
home ^nr++++=home?
? ^zz++++=EXTRAWORD
Ten ^cd++++=Ten
months ^nns++++=months
of ^in++++=of
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
ten ^cd++++=ten
months ^nns++++=months
of ^in++++=of
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
ten ^cd++++=ten
months ^nns++++=months
of ^in++++=of
waking ^xvbg+++xvbg+=waking
in ^in++++=in
the ^ati++++=the
wide ^jj+atrb+++=wide
bed ^nn++++=bed
and ^cc++++=and
putting ^vbg+++xvbg+=putting
out ^rb+phrv+++=out
his ^pp$+pp3+++=his
hand ^nn++++=hand
to ^in++++=to
the ^ati++++=the
smooth ^jj++++=smooth,
, ^zz++++=EXTRAWORD
cold ^jj++++=cold
hollow ^jj++++=hollow
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him
and ^cc++++=and
now ^rn+tm+++=now
the ^ati++++=the
ship ^nn++++=ship
was ^vbd+bedz+vrb++=was
in ^in++++=in
sight ^nn++++=sight.
. ^zz++++=EXTRAWORD
The ^ati++++=The
danger ^nn++++=danger
was ^vbd+bedz+vrb++=was
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
By ^in++++=By
heaven ^nn++++=heaven,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
a ^at++++=a
liner ^nn++++=liner
could ^md+pos+++=could
cross ^vb++++=cross
half ^abn++++=half
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
could ^md+pos+++=could
manage ^vb++++=manage
the ^ati++++=the
last ^jj+atrb+++=last
mile ^nn++++=mile
of ^in++++=of
grey ^np++++=grey
harbour ^nn++++=harbour.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
due ^jj++++=due
at ^in++++=at
noon ^nn++++=noon.
. ^zz++++=EXTRAWORD
Hammond ^np++++=Hammond
opened ^vbd+++xvbn+=opened
his ^pp$+pp3+++=his
watch ^nn++++=watch
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
fifty ^cd++++=fifty.
. ^zz++++=EXTRAWORD
A ^at++++=A
family ^nn++++=family
near ^rb++++=near
him ^pp3o+pp3+++=him
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought
flowers ^nns+nom+++=flowers.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
six ^cd++++=six
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
all ^abn++++=all
talking ^jj+++xvbg+=talking
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
youngest ^jjt+atrb+++=youngest
boy ^nn++++=boy
had ^vb+hv+vrb++=had
a ^at++++=a
paper ^nn++++=paper
flag ^nn++++=flag
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
flicked ^vbd+++xvbnx+=flicked
against ^in++++=against
Hammond ^np++++=Hammond's
's ^$++++=EXTRAWORD
sleeve ^nn++++=sleeve
until ^cs+sub+++=until
Hammond ^np++++=Hammond
turned ^vbd+++xvbn+=turned
and ^cc+phrs+++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
child ^nn++++=child
lowered ^vbd+++xvbn+=lowered
the ^ati++++=the
flag ^nn++++=flag.
. ^zz++++=EXTRAWORD
" ^zz++++="Waiting
waiting ^vbg+++xvbg+=EXTRAWORD
for ^in++++=for
somebody ^pn++++=somebody?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Hammond ^np++++=Hammond
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Our
our ^pp$+pp1+++=EXTRAWORD
aunt ^nn++++=aunt,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
" ^zz++++="Ah!
ah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
important ^jj+atrb+++=important
person ^nn++++=person,
, ^zz++++=EXTRAWORD
an ^at++++=an
aunt ^nn++++=aunt."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="She's
she ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
got ^vpsv++agls+xvbnx+=got
a ^at++++=a
parrot ^nn++++=parrot."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Even
even ^rb++++=EXTRAWORD
more ^rbr++++=more
important ^jj++++=important."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
mother ^nn++++=mother
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
Hammond ^np++++=Hammond
laughed ^vbd+++xvbn+=laughed
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
loudly ^rb++++=loudly
and ^cc+phrs+++=and
generously ^rb++++=generously.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
have ^vb+hv+aux++=have
embraced ^vprf+++xvbnx+=embraced
the ^ati++++=the
whole ^jj+atrb+++=whole
ridiculous ^jj+atrb+++=ridiculous
family ^nn++++=family.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
their ^pp$+pp3+++=their
aunt ^npt++++=aunt
come ^vprf+++xvbn+=come,
, ^zz++++=EXTRAWORD
parrot ^nn++++=parrot
and ^cc++++=and
all ^rb++++=all.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
the ^ati++++=the
wharf ^nn++++=wharf
fill ^vb++++=fill
with ^in++++=with
aunts ^nns++++=aunts,
, ^zz++++=EXTRAWORD
parrots ^nns++++=parrots,
, ^zz++++=EXTRAWORD
brass ^nn++++=brass
bands ^nns++++=bands,
, ^zz++++=EXTRAWORD
customs ^nns++++=customs
officers ^nns+nom+++=officers
provided ^vbd+vsua+tht0+xvbn+=provided
Janey ^np+++??+=Janey
came ^vbd+++xvbn+=came
through ^in++++=through
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
moved ^vbd+++xvbnx+=moved
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
tapping ^vbg+++xvbg+=tapping
his ^pp$+pp3+++=his
furled ^xvbn+++xvbn+=furled
umbrella ^nn++++=umbrella
against ^in++++=against
his ^pp$+pp3+++=his
boot ^nn++++=boot.
. ^zz++++=EXTRAWORD
Janey ^np+++??+=Janey.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
see ^vbi+vprv+tht0++=see
her ^pp$+pp3+++=her
as ^ql++++=as
she ^pp3a+pp3+++=she
would ^md+prd+++=would
look ^vb++++=look
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
first ^rb++++=first
saw ^vbd+vprv++xvbn+=saw
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Would ^md+prd+++=Would
she ^pp3a+pp3+++=she
lift ^nn++++=lift
both ^abx++++=both
hands ^nns++++=hands?
? ^zz++++=EXTRAWORD
Would ^md+prd+++=Would
her ^pp$+pp3+++=her
mouth ^nn++++=mouth
tremble ^vb++++=tremble?
? ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
would ^md+prd+++=would
she ^pp3a+pp3+++=she
give ^vb++++=give
that ^cs+sub+++=that
quick ^jj++++=quick,
, ^zz++++=EXTRAWORD
secret ^nn++++=secret
smile ^nn++++=smile
of ^in++++=of
hers ^pp$$++++=hers,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
happiness ^nns+nom+++=happiness
were ^vbd+bed+vrb++=were
something ^pn++++=something
she ^pp3a+pp3+++=she
must ^md+nec+++=must
shelter ^vb++++=shelter
from ^in++++=from
the ^ati++++=the
weather ^nn++++=weather?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
imagined ^vprf++tht0+xvbnx+=imagined
it ^pp3+it+++=it
a ^at++++=a
hundred ^cd++++=hundred
times ^nns++++=times:
: ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
be ^vb+be+vrb++=be
at ^rb++++=at
the ^ati++++=the
rail ^nn++++=rail;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
call ^vb++++=call;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
lean ^vb++++=lean
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
searching ^vbg+++xvbg+=searching;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
suddenly ^rb++++=suddenly
her ^pp$+pp3+++=her
face ^nn++++=face
would ^md+prd+++=would
change ^vb++++=change.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
Janey ^np+++??+=Janey.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
after ^in++++=after
that ^dt+pdem+++=that
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Away ^in+pl+++=Away
from ^in"++++=from
the ^ati++++=the
shouting ^jj+atrb++xvbg+=shouting
people ^nns++++=people,
, ^zz++++=EXTRAWORD
the ^ati++++=the
officials ^nns+nom+++=officials,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wretched ^jj+atrb+++=wretched
luggage ^nn+nom+++=luggage,
, ^zz++++=EXTRAWORD
everybody ^pn++++=everybody.
. ^zz++++=EXTRAWORD
A ^at++++=A
motor ^nn++++=motor
to ^in++++=to
the ^ati++++=the
Royal ^jj++++=Royal,
, ^zz++++=EXTRAWORD
tea ^nn++++=tea
sent ^vbd+++xvbn+=sent
up ^rb+cnj+++=up,
, ^zz++++=EXTRAWORD
the ^ati++++=the
door ^nn++++=door
locked ^vbd+++xvbn+=locked.
. ^zz++++=EXTRAWORD
No ^at++++=No
callers ^nns+nom+++=callers,
, ^zz++++=EXTRAWORD
no ^at++++=no
children ^nns++++=children
until ^in++++=until
tomorrow ^nr+tm+++=tomorrow,
, ^zz++++=EXTRAWORD
no ^at++++=no
sensible ^jj+atrb+++=sensible
arrangements ^nns+nom+++=arrangements.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
would ^md+prd+++=would
sit ^vb++++=sit
before ^in++++=before
the ^ati++++=the
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
with ^in++++=with
the ^ati++++=the
curtains ^nns++++=curtains
drawn ^vwbn+++xvbn+=drawn,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
would ^md+prd+++=would
still ^rb++++=still
be ^vb+be+vrb++=be
light ^jj+pred+++=light,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
would ^md+prd+++=would
look ^vb++++=look
at ^rb++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
look ^vb++++=look
at ^rb++++=at
her ^pp3o+pp3+++=her
at ^rb++++=at
first ^rb"++++=first.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
so ^ql++++=so
much ^ap++++=much
to ^to++++=to
be ^vbi+vbi+aux++=be
made ^vpsv++agls+xvbnx+=made
certain ^jj++++=certain
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
The ^ati++++=The
thought ^nn++++=thought
warmed ^vwbn+++xvbn+=warmed
him ^pp3o+pp3+++=him
so ^rb++++=so
sharply ^rb++++=sharply
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
smiled ^vbd+++xvbnx+=smiled
at ^in++++=at
the ^ati++++=the
harbour ^nn++++=harbour.
. ^zz++++=EXTRAWORD
Ten ^cd++++=Ten
months ^nns++++=months!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
people ^nns++++=people
called ^vbd+++xvbn+=called
marriage ^nn+nom+++=marriage
habit ^nn++++=habit.
. ^zz++++=EXTRAWORD
Habit ^nn++++=Habit?
? ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
them ^pp3o+pp3+++=them
try ^nn++++=try
having ^vwbg+hvg++xvbg+=having
it ^pp3+it+++=it
torn ^vbd+++xvbn+=torn
from ^in++++=from
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
them ^pp3o+pp3+++=them
come ^vb++++=come
home ^nr++++=home
night ^nn++++=night
after ^cs+sub+++=after
night ^nn++++=night
to ^to++++=to
hear ^vbi+vprv+++=hear
the ^ati++++=the
clock ^nn++++=clock
in ^in++++=in
the ^ati++++=the
passage ^nn+nom+++=passage
and ^cc++++=and
the ^ati++++=the
maid ^np++++=maid
asking ^vwbg+vsua++xvbg+=asking
whether ^cs+who+++=whether
there ^ex+pex+++=there
would ^md+prd+++=would
be ^vb+be+vrb++=be
anything ^pn++++=anything
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
them ^pp3o+pp3+++=them
find ^vb+vprv+++=find
a ^at++++=a
hairpin ^nn++++=hairpin
under ^in++++=under
the ^ati++++=the
dressing ^jj+atrb++xvbg+=dressing
table ^nn++++=table
and ^cc++++=and
pick ^vb++++=pick
it ^pp3+it+++=it
up ^rp++++=up
as ^cs+sub+++=as
though ^cs+sub+++=though
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
a ^at++++=a
relic ^nn++++=relic
from ^in++++=from
some ^dti++++=some
vanished ^jj+atrb++xvbn+=vanished
civilisation ^nn+nom+++=civilisation.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
them ^pp3o+pp3+++=them
read ^vbd+vprv++xvbn+=read,
, ^zz++++=EXTRAWORD
" ^zz++++="Darling,
darling ^np+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
rain ^nn++++=rain
today ^nr+tm+++=today,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
hills ^nns++++=hills
were ^vbd+bed+vrb++=were
lovely ^jj+pred+++=lovely
after ^in++++=after
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
know ^vb+vprv+tht0++=know
nothing ^pn++++=nothing
of ^in++++=of
the ^ati++++=the
rain ^nn++++=rain
or ^cc++++=or
the ^ati++++=the
hills ^nns++++=hills
except ^cs+sub+++=except
that ^cs"++++=that
Janey ^np+++??+=Janey
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
them ^pp3o+pp3+++=them
without ^in++++=without
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
journey ^nn++++=journey
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
necessary ^jj++++=necessary.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
sister ^npt++++=sister
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
ill ^jj++++=ill;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
convalescence ^nn+nom+++=convalescence,
, ^zz++++=EXTRAWORD
the ^ati++++=the
doctor ^nn++++=doctor's
's ^$++++=EXTRAWORD
advice ^nn++++=advice,
, ^zz++++=EXTRAWORD
the ^ati++++=the
winter ^nn++++=winter
passage ^nn+nom+++=passage
to ^to++++=to
avoid ^vbi++++=avoid.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
agreed ^vprf+++xvbnx+=agreed
to ^in++++=to
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
Had ^vb+hv+vrb++=Hadn't
n't ^xnot++not++0=EXTRAWORD
he ^pp3a+pp3+++=he
written ^vbd+++xvbnx+=written,
, ^zz++++=EXTRAWORD
" ^zz++++="Stay
stay ^vb++++=EXTRAWORD
as ^ql++++=as
long ^jj++++=long
as ^ql++++=as
you ^pp2+pp2+++=you
need ^nn++++=need"?
" ^zz++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Had ^vb+hv+vrb++=Hadn't
n't ^xnot++not++0=EXTRAWORD
he ^pp3a+pp3+++=he
sent ^vbd+++xvbnx+=sent
more ^rbr++++=more
money ^nn++++=money
than ^cs+sub+++=than
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked
for ^in+ppvb+++=for?
? ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
agreement ^nn+nom+++=agreement
