# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Editorial ^jj+atrb+++=EDITORIAL
You ^pp2+pp2+++=You
at ^in++++=at
the ^ati++++=the
door ^nn++++=door
have ^vb+hv+aux++=have
you ^pp2+pp2+++=you
wedged ^vbd+++xvbn+=wedged
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
Good ^jj++++=Good.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
there ^ex+pex+++=there
comes ^vbz++++=comes
the ^ati++++=the
scrape ^nn++++=scrape
of ^in++++=of
a ^at++++=a
boot ^nn++++=boot
outside ^jjb++++=outside,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
drunken ^jj++++=drunken
fiddler ^jjr++++=fiddler
and ^cc++++=and
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
fools ^nns++++=fools
who ^whp+rel+subj++=who
paid ^vbd+++xvbn+=paid
to ^to++++=to
hear ^vbi+vprv+++=hear
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
no ^at++++=no
crime ^nn++++=crime
yet ^rb++++=yet.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
quite ^rb++++=quite.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
promised ^vbd+vpub+tht0+xvbnx+=promised
you ^pp2+pp2+++=you
a ^at++++=a
tale ^nn++++=tale
of ^in++++=of
an ^at++++=an
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
worked ^vprf+++xvbnx+=worked
twelve ^cd++++=twelve
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
of ^in++++=of
you ^pp2+pp2+++=you
fourteen ^cd++++=fourteen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
do ^vb+do+aux++=do
not ^xnot++not++=not
want ^vb++++=want
a ^at++++=a
sermon ^nn++++=sermon.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
backs ^nns++++=backs
ache ^nn++++=ache.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
bellies ^nns++++=bellies
complain ^vb+vpub+++=complain.
. ^zz++++=EXTRAWORD
Your ^pp$+pp2+++=Your
eyes ^nns++++=eyes
are ^vb+ber+vrb++=are
full ^jj+pred+++=full
of ^in++++=of
lint ^nn++++=lint.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
I ^pp1a+pp1+++=I
must ^md+nec+++=must
tell ^vb++++=tell
you ^pp2+pp2+++=you
something ^pn++++=something
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you
of ^in++++=of
the ^ati++++=the
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
an ^at++++=an
arm ^nn++++=arm
cut ^vbd+++xvbn+=cut
from ^in++++=from
a ^at++++=a
man ^nn++++=man
is ^vbz+bez+vrb++=is
only ^rb+down+++=only
meat ^nn++++=meat
unless ^cs+cnd+++=unless
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
who ^whp+wpr+whcl++=who
owned ^vbd+++xvbn+=owned
the ^ati++++=the
knife ^nn++++=knife.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
the ^ati++++=the
blade ^nn++++=blade,
, ^zz++++=EXTRAWORD
brothers ^nns+nom+++=brothers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
knife ^nn++++=knife.
. ^zz++++=EXTRAWORD
First ^rb+cnj+++=First,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
any ^dti++++=any
man ^nn++++=man
here ^rn+pl+++=here
read ^vb+vprv++xvbn+=read?
? ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
not ^xnot++not++=not
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
an ^at++++=an
overseer ^nn+nom+++=overseer.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ask ^vb++++=ask
no ^at++++=no
names ^nns++++=names.
. ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
any ^dti++++=any
man ^nn++++=man
make ^vb++++=make
sense ^nn++++=sense
of ^in++++=of
the ^ati++++=the
little ^ap++++=little
black ^jj++++=black
marks ^vbz++++=marks
stamped ^vbd+++xvbn+=stamped
on ^in++++=on
a ^at++++=a
notice ^nn++++=notice?
? ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
any ^dti++++=any
woman ^nn++++=woman
read ^vbd+vprv+tht0+xvbn+=read
the ^ati++++=the
number ^nn++++=number
entered ^vbd+++xvbn+=entered
beside ^in+pl+++=beside
her ^pp$+pp3+++=her
wage ^nn++++=wage?
? ^zz++++=EXTRAWORD
Can ^md+pos+++=Can
one ^pn++++=one
among ^in++++=among
you ^pp2+pp2+++=you
write ^vb++++=write,
, ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
mine ^nn++++=mine,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
know ^vb+vprv+++=know
whether ^cs+who+++=whether
the ^ati++++=the
clerk ^nn++++=clerk
has ^vbz+hvz+aux++=has
changed ^vprf+++xvbnx+=changed
it ^pp3+it+++=it
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+pdem+++=EXTRAWORD
belongs ^vbz++++=belongs
to ^in++++=to
my ^pp$+pp1+++=my
master ^nn++++=master"?
" ^zz++++=EXTRAWORD
? ^zz++++=EXTRAWORD
No ^at++++=No?
? ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
why ^wrb+who+++=why
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
slaves ^nns++++=slaves.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
suppose ^vb+vprv+tht0++=suppose
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
slaves ^nns++++=slaves
because ^cs+cos+++=because
the ^ati++++=the
guards ^nns++++=guards
have ^vb+hv+vrb++=have
guns ^nns++++=guns,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
the ^ati++++=the
mills ^nns++++=mills
have ^vb+hv+vrb++=have
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
the ^ati++++=the
law ^nn++++=law
says ^vbz+vpub+tht0++=says
your ^pp$+pp2+++=your
children ^nns++++=children
inherit ^vb++++=inherit
your ^pp$+pp2+++=your
labor ^nn++++=labor
bond ^nn++++=bond.
. ^zz++++=EXTRAWORD
Those ^dt+dem+++=Those
things ^nns++++=things
help ^nn++++=help.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
first ^od++++=first
chain ^nn++++=chain
is ^vbz+bez+vrb++=is
ignorance ^nn+nom+++=ignorance.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
who ^whp+rel+subj++=who
cannot ^md+pos+not++=cannot
read ^vbd+vprv++xvbn+=read
must ^md+nec+++=must
swallow ^vb++++=swallow
whatever ^nn+nom+++=whatever
history ^nn++++=history
his ^pp$+pp3+++=his
master ^nn++++=master
feeds ^nns++++=feeds
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
master ^nn++++=master
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
family ^nn++++=family
has ^vbz+hvz+aux++=has
ruled ^vprf+++xvbnx+=ruled
since ^cs+sub+++=since
God ^np++++=God
laid ^vbd+++xvbn+=laid
the ^ati++++=the
first ^od++++=first
brick ^nn++++=brick,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
slave ^nn++++=slave
must ^md+nec+++=must
nod ^vb++++=nod.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
master ^nn++++=master
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
consented ^vbd+++xvbn+=consented
to ^in++++=to
this ^dt+dem+++=this
debt ^nn++++=debt,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
slave ^nn++++=slave
must ^md+nec+++=must
bow ^vb++++=bow.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
master ^nn++++=master
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
no ^at++++=no
law ^nn++++=law
against ^in++++=against
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
slave ^nn++++=slave
cannot ^md+pos+not++=cannot
open ^jj++++=open
the ^ati++++=the
book ^nn++++=book
and ^cc++++=and
call ^nn++++=call
him ^pp3o+pp3+++=him
liar ^nn++++=liar.
. ^zz++++=EXTRAWORD
Books ^nns++++=Books
are ^vb+ber+vrb++=are
little ^ap++++=little
things ^nns++++=things.
. ^zz++++=EXTRAWORD
Paper ^nn++++=Paper
is ^vbz+bez+vrb++=is
weak ^jj+pred+++=weak.
. ^zz++++=EXTRAWORD
A ^at++++=A
child ^nn++++=child
can ^md+pos+++=can
tear ^vb++++=tear
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
why ^wrb+who+++=why
masters ^nns+nom+++=masters
fear ^vb++++=fear
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
I ^pp1a+pp1+++=I
will ^md+prd+++=will
tell ^vb++++=tell
you ^pp2+pp2+++=you
of ^in++++=of
the ^ati++++=the
Vanderwaters ^nns+nom++??+=Vanderwaters,
, ^zz++++=EXTRAWORD
whose ^wp$r+who+whcl++=whose
towers ^nns++++=towers
rise ^vb++++=rise
over ^in++++=over
the ^ati++++=the
Western ^jj+atrb+++=Western
Manufactories ^np+++??+=Manufactories
and ^cc++++=and
whose ^whp+rel+subj++=whose
mark ^vb++++=mark
a ^at++++=a
silver ^nn++++=silver
V ^zz++++=V
over ^rp++++=over
three ^cd++++=three
waves ^nns++++=waves
is ^vbz+bez+aux++=is
burned ^vpsv++agls+xvbnx+=burned
into ^in++++=into
bales ^nns++++=bales,
, ^zz++++=EXTRAWORD
engines ^nns++++=engines,
, ^zz++++=EXTRAWORD
cattle ^nns++++=cattle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
men ^nns++++=men.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard
that ^tht+vcmp+++=that
the ^ati++++=the
Vanderwaters ^nns+nom++??+=Vanderwaters
descend ^vb++++=descend
from ^in++++=from
admirals ^nns+nom+++=admirals.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+aux++=is
written ^vpsv++agls+xvbnx+=written
above ^jjb++++=above
the ^ati++++=the
gate ^nn++++=gate
of ^in++++=of
their ^pp$+pp3+++=their
palace ^nn++++=palace.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
carved ^vpsv++agls+xvbnx+=carved
in ^in++++=in
marble ^nn++++=marble,
, ^zz++++=EXTRAWORD
so ^ql++++=so
naturally ^rb++++=naturally
it ^pp3+it+++=it
must ^md+nec+++=must
be ^vb+be+vrb++=be
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
true ^jj++++=true.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
read ^vprf+++xvbnx+=read
the ^ati++++=the
old ^jj+atrb+++=old
records ^nns++++=records
with ^in++++=with
my ^pp$+pp1+++=my
own ^ap++++=own
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^rb++++=first
of ^in++++=of
them ^pp3o+pp3+++=them
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
Vange ^np+++??+=Vange.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
Vange ^np+++??+=Vange.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
no ^at++++=no
family ^nn++++=family
name ^nn++++=name,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
family ^nn++++=family
names ^nns++++=names
were ^vbd+bed+vrb++=were
then ^rn+tm+++=then
an ^at++++=an
expense ^nn++++=expense
reserved ^vbd+++xvbn+=reserved
for ^in++++=for
masters ^nns+nom+++=masters,
, ^zz++++=EXTRAWORD
lawyers ^nns+nom+++=lawyers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
respectable ^jj+atrb+++=respectable
thieves ^nns++++=thieves.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
furnace ^nn++++=furnace
slave ^nn++++=slave
in ^in++++=in
the ^ati++++=the
Ohio ^np+++??+=Ohio
works ^nn++++=works,
, ^zz++++=EXTRAWORD
a ^at++++=a
broad ^jj++++=broad
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
clever ^jj++++=clever
with ^in++++=with
his ^pp$+pp3+++=his
hands ^nns++++=hands
and ^cc++++=and
cleverer ^jjr++++=cleverer
with ^in++++=with
his ^pp$+pp3+++=his
tongue ^nn++++=tongue.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
slaves ^nns++++=slaves
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him
Bill ^nn++++=Bill
Vange ^np+++??+=Vange
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
liked ^vbd+++xvbnx+=liked
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
Sly ^jj+atrb+++=Sly
Vange ^np+++??+=Vange
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Bloody ^jj+atrb+++=Bloody
Vange ^np+++??+=Vange
thereafter ^nn+nom+++=thereafter.
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
you ^pp2+pp2+++=you
got ^vbd+++xvbn+=got
that ^dt+pdem+++=that?
? ^zz++++=EXTRAWORD
Vange ^np+++??+=Vange,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
Vange ^np+++??+=Vange,
, ^zz++++=EXTRAWORD
Sly ^jj+atrb+++=Sly
Vange ^np+++??+=Vange,
, ^zz++++=EXTRAWORD
Bloody ^jj+atrb+++=Bloody
Vange ^np+++??+=Vange.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
names ^nns++++=names.
. ^zz++++=EXTRAWORD
History ^nn++++=History
often ^rb++++=often
gives ^vbz++++=gives
a ^at++++=a
man ^nn++++=man
a ^at++++=a
new ^jj+atrb+++=new
name ^nn++++=name
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
earns ^vbz++++=earns
a ^at++++=a
new ^jj++++=new
kind ^rb++++=kind
of ^rb"++++=of
shame ^nn++++=shame.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
in ^in++++=in
2156 ^cd++++=2156,
, ^zz++++=EXTRAWORD
after ^in++++=after
the ^ati++++=the
Grain ^nn++++=Grain
Wars ^nns++++=Wars
and ^cc++++=and
before ^in++++=before
the ^ati++++=the
Bond ^nn++++=Bond
Codex ^nn++++=Codex,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
slavery ^nn+nom+++=slavery
wore ^vbd+++xvbn+=wore
a ^at++++=a
cheaper ^jjr+atrb+++=cheaper
coat ^nn++++=coat
and ^cc++++=and
pretended ^vbd+vprv++xvbn+=pretended
to ^to+vcmp+++=to
be ^vbi++vrb++=be
temporary ^jj+atrb+++=temporary
employment ^nn+nom+++=employment.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
were ^vbd+bed+aux++=were
bound ^vpsv++agls+xvbnx+=bound
for ^in++++=for
debts ^nns++++=debts
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
never ^rb++splt++=never
incurred ^vprf+++xvbnx+=incurred,
, ^zz++++=EXTRAWORD
fed ^j+++xvbn+=fed
from ^in++++=from
company ^nn++++=company
stores ^nns++++=stores,
, ^zz++++=EXTRAWORD
housed ^j+++xvbn+=housed
in ^in++++=in
company ^nn++++=company
sheds ^nns++++=sheds,
, ^zz++++=EXTRAWORD
fined ^xvbn+++xvbn+=fined
company ^nn++++=company
money ^nn++++=money
for ^in++++=for
breathing ^xvbg+++xvbg+=breathing
company ^nn++++=company
air ^nn++++=air,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub+tht0+xvbn+=told
they ^pp3a+pp3+++=they
might ^md+pos+++=might
purchase ^vb++++=purchase
freedom ^nn+nom+++=freedom
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
lived ^vbd+++xvbnx+=lived
to ^to++++=to
be ^vbi++vrb++=be
two ^cd++++=two
hundred ^cd++++=hundred.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
rose ^nn+++xvbn+=rose
a ^at++++=a
rebellion ^nn++++=rebellion
at ^in++++=at
the ^ati++++=the
Ohio ^np+++??+=Ohio
works ^nn++++=works.
. ^zz++++=EXTRAWORD
The ^ati++++=The
furnace ^nn++++=furnace
slaves ^nns++++=slaves
had ^vb+hv+vrb++=had
hammers ^nns+nom+++=hammers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pit ^nn++++=pit
slaves ^nns++++=slaves
had ^vbd+hvd+aux++=had
picks ^vbz++++=picks.
. ^zz++++=EXTRAWORD
The ^ati++++=The
women ^nns++++=women
of ^in++++=of
the ^ati++++=the
sorting ^jj+atrb++xvbg+=sorting
sheds ^nns++++=sheds
carried ^vbd+++xvbn+=carried
hooks ^nns++++=hooks.
. ^zz++++=EXTRAWORD
For ^in++++=For
three ^cd++++=three
nights ^nns++++=nights
they ^pp3a+pp3+++=they
held ^vbd+vprv++xvbnx+=held
the ^ati++++=the
river ^nn++++=river
