# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Editor ^np++++=EDITOR'S
industrial ^jj+atrb+++=industrial
dependents ^nns++++=dependents."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
dependents ^nns++++=dependents
could ^md+pos+++=could
not ^xnot++not++=not
leave ^vb++++=leave
their ^pp$+pp3+++=their
assigned ^xvbn+++xvbn+=assigned
districts ^nns++++=districts,
, ^zz++++=EXTRAWORD
choose ^vb++++=choose
their ^pp$+pp3+++=their
employment ^nn+nom+++=employment,
, ^zz++++=EXTRAWORD
possess ^nns+nom+++=possess
books ^nns++++=books,
, ^zz++++=EXTRAWORD
testify ^vb+vpub+++=testify
against ^in++++=against
masters ^nns+nom+++=masters,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
educate ^nn+nom+++=educate
their ^pp$+pp3+++=their
children ^nns++++=children.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
condition ^nn+nom+++=condition
was ^vbd+bedz+vrb++=was
therefore ^rb+cnj+++=therefore
slavery ^nn+nom+++=slavery,
, ^zz++++=EXTRAWORD
whatever ^nn+nom+++=whatever
name ^nn++++=name
the ^ati++++=the
law ^nn++++=law
chose ^vbd+++xvbn+=chose
to ^to++++=to
give ^vbi++++=give
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
transcript ^nn++++=transcript
begins ^vbz++++=begins
after ^in++++=after
several ^ap++++=several
introductory ^jj+atrb+++=introductory
remarks ^nns++++=remarks
which ^whp+rel+obj++=which
the ^ati++++=the
early ^jj+atrb+++=early
copyist ^nn+nom+++=copyist
judged ^vwbn+vprv++xvbn+=judged
inaudible ^jj++++=inaudible.
. ^zz++++=EXTRAWORD
-- ^--+clp+++=--Brothers,
brothers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
draw ^vb++++=draw
nearer ^rbr++++=nearer.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
so ^pn++++=so
near ^rb++++=near
that ^dt+dem+++=that
the ^ati++++=the
sentry ^nn++++=sentry
beyond ^in++++=beyond
the ^ati++++=the
furnace ^nn++++=furnace
wall ^nn++++=wall
may ^md+pos+++=may
hear ^vb+vprv+++=hear
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
near ^in+pl+++=near
enough ^qlp++++=enough
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
need ^nn++++=need
not ^xnot++not++=not
raise ^vb++++=raise
my ^pp$+pp1+++=my
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
Feed ^nn++++=Feed
the ^ati++++=the
fire ^nn++++=fire
lightly ^rb++++=lightly.
. ^zz++++=EXTRAWORD
Smoke ^nn++++=Smoke
betrays ^vbz++++=betrays
a ^at++++=a
meeting ^jj+++xvbg+=meeting
almost ^rb+hdg+++=almost
as ^in++++=as
readily ^rb++++=readily
as ^in++++=as
a ^at++++=a
frightened ^jj+atrb++xvbn+=frightened
man ^nn++++=man.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
any ^dti++++=any
among ^in++++=among
you ^pp2+pp2+++=you
hears ^vbz+vprv+++=hears
the ^ati++++=the
iron ^nn++++=iron
heel ^nn++++=heel
of ^in++++=of
a ^at++++=a
patrolman ^nn++++=patrolman
on ^in++++=on
the ^ati++++=the
stair ^nn++++=stair,
, ^zz++++=EXTRAWORD
cough ^nn++++=cough
twice ^rb++++=twice
and ^cc++++=and
overturn ^vb++++=overturn
the ^ati++++=the
little ^jj+atrb+++=little
lamp ^nn++++=lamp.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
twenty ^cd++++=twenty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
of ^in++++=of
us ^pp1o+pp1+++=us
here ^rn+pl+++=here
tonight ^nr+tm+++=tonight.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
counted ^vprf+++xvbnx+=counted
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
Twenty ^cd++++=Twenty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
five ^cd++++=five
children ^nns++++=children
who ^whp+rel+subj++=who
pretend ^vb+vprv+++=pretend
to ^to+vcmp+++=to
sleep ^vbi++++=sleep.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
the ^ati++++=the
children ^nns++++=children
listen ^vb++++=listen.
. ^zz++++=EXTRAWORD
The ^ati++++=The
masters ^nns+nom+++=masters
say ^vb+vpub+tht0++=say
children ^nns++++=children
should ^md+nec+++=should
hear ^vb+vprv+++=hear
nothing ^pn++++=nothing
save ^in++++=save
the ^ati++++=the
factory ^nn++++=factory
bell ^nn++++=bell,
, ^zz++++=EXTRAWORD
the ^ati++++=the
overseer ^nn+nom+++=overseer's
's ^$++++=EXTRAWORD
order ^nn++++=order,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
priest ^nn++++=priest's
's ^$++++=EXTRAWORD
command ^nn++++=command
to ^to++++=to
obey ^vbi++++=obey.
. ^zz++++=EXTRAWORD
Therefore ^rb+cnj+++=Therefore
let ^vb+++xvbn+=let
them ^pp3o+pp3+++=them
hear ^vb+vprv+++=hear
everything ^pn++++=everything.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
going ^md"++pmd"++=going
to ^md+prd+++=to
tell ^vb++++=tell
you ^pp2+pp2+++=you
of ^in++++=of
an ^at++++=an
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
brothers ^nns+nom+++=brothers,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
arm ^nn++++=arm
the ^ati++++=the
arm ^nn++++=arm
of ^in++++=of
Tom ^np++++=Tom
Dixon ^np++++=Dixon,
, ^zz++++=EXTRAWORD
torn ^j+++xvbn+=torn
from ^in++++=from
his ^pp$+pp3+++=his
body ^nn++++=body
in ^in++++=in
the ^ati++++=the
looms ^nns++++=looms
of ^in++++=of
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^nn++++=Bottom.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
tell ^vb++++=tell
you ^pp2+pp2+++=you
of ^in++++=of
the ^ati++++=the
arm ^nn++++=arm,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
tell ^vb++++=tell
you ^pp2+pp2+++=you
of ^in++++=of
the ^ati++++=the
hand ^nn++++=hand
that ^tht+rel+subj++=that
built ^vprf+++xvbn+=built
the ^ati++++=the
Vanderwater ^np+nom++??+=Vanderwater
throne ^nn++++=throne.
. ^zz++++=EXTRAWORD
The ^ati++++=The
masters ^nns+nom+++=masters
begin ^vb++++=begin
their ^pp$+pp3+++=their
histories ^nns++++=histories
with ^in++++=with
their ^pp$+pp3+++=their
palaces ^nns++++=palaces.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
begin ^vb++++=begin
ours ^pp$$++++=ours
beneath ^in+pl+++=beneath
the ^ati++++=the
foundations ^nns+nom+++=foundations,
, ^zz++++=EXTRAWORD
among ^in++++=among
the ^ati++++=the
bones ^nns++++=bones.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard
the ^ati++++=the
name ^nn++++=name
Vanderwater ^np+nom++??+=Vanderwater.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
could ^md+pos+++=could
you ^pp2+pp2+++=you
not ^xnot++not++=not?
? ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
stamped ^vpsv++agls+xvbnx+=stamped
on ^in++++=on
the ^ati++++=the
flour ^nn++++=flour
sacks ^nns++++=sacks,
, ^zz++++=EXTRAWORD
the ^ati++++=the
machine ^nn++++=machine
belts ^nns++++=belts,
, ^zz++++=EXTRAWORD
the ^ati++++=the
marriage ^nn+nom+++=marriage
permits ^nns++++=permits,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
brass ^nn++++=brass
tokens ^nns++++=tokens
with ^in++++=with
which ^whp+rel+pied++=which
half ^nn++++=half
this ^dt+dem+++=this
continent ^nn++++=continent
buys ^vbz++++=buys
its ^pp$+it+++=its
bread ^nn++++=bread.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Vanderwaters ^nns+nom++??+=Vanderwaters
own ^ap++++=own
mines ^nns++++=mines
in ^in++++=in
the ^ati++++=the
west ^np+pl+++=west,
, ^zz++++=EXTRAWORD
grain ^nn++++=grain
plains ^npls++++=plains
in ^in++++=in
the ^ati++++=the
south ^np+pl+++=south,
, ^zz++++=EXTRAWORD
steel ^nn++++=steel
furnaces ^nns++++=furnaces
beside ^in+pl+++=beside
the ^ati++++=the
lakes ^nns++++=lakes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
textile ^nn++++=textile
pens ^nns++++=pens
along ^in++++=along
the ^ati++++=the
old ^jj+atrb+++=old
Atlantic ^np++++=Atlantic
rivers ^nns++++=rivers.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
red ^jj+atrb+++=red
heron ^nn+++??+=heron
flies ^nns++++=flies
above ^jjb+atrb+++=above
prisons ^nns++++=prisons
and ^cc++++=and
schools ^nns++++=schools
alike ^rb++++=alike.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
flies ^nns++++=flies
above ^jjb++++=above
Hell ^np++++=Hell's
's ^$++++=EXTRAWORD
Bottom ^nn++++=Bottom.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
first ^od++++=first
Vanderwater ^np+nom++??+=Vanderwater
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
Vanderwater ^np+nom++??+=Vanderwater.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Bill ^nn++++=Bill
Vange ^np+++??+=Vange.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
not ^xnot++not++=not
look ^vb++++=look
surprised ^vbd+++xvbn+=surprised.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
read ^vprf+++xvbnx+=read
this ^dt+dem+++=this
with ^in++++=with
my ^pp$+pp1+++=my
own ^ap++++=own
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
heard ^vprf+++xvbn+=heard
it ^pp3+it+++=it
from ^in++++=from
a ^at++++=a
drunken ^jj+atrb+++=drunken
carter ^np++++=carter,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
learned ^vprf+++xvbn+=learned
it ^pp3+it+++=it
from ^in++++=from
an ^at++++=an
overseer ^nn+nom+++=overseer's
's ^$++++=EXTRAWORD
joke ^nn++++=joke,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
read ^vb+vprv++xvbn+=read
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
records ^nns++++=records,
, ^zz++++=EXTRAWORD
letter ^nn++++=letter
after ^in++++=after
letter ^nn++++=letter,
, ^zz++++=EXTRAWORD
word ^nn++++=word
after ^in++++=after
word ^nn++++=word.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
Vange ^np+++??+=Vange
was ^vbd+bedz+vrb++=was
a ^at++++=a
slave ^nn++++=slave.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born
in ^in++++=in
a ^at++++=a
machine ^nn++++=machine
district ^nn++++=district
when ^wrb+who+++=when
the ^ati++++=the
industrial ^jj+atrb+++=industrial
masters ^nns+nom+++=masters
were ^vbd+bed+aux++=were
still ^rb++splt++=still
tightening ^vbg+++xvbgx+=tightening
their ^pp$+pp3+++=their
chains ^nns++++=chains
upon ^in++++=upon
the ^ati++++=the
people ^nn++++=people.
. ^zz++++=EXTRAWORD
In ^in++++=In
those ^dt+dem+++=those
days ^nns++++=days
the ^ati++++=the
old ^jj+atrb+++=old
liberties ^nns++++=liberties
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
wholly ^rb++splt++=wholly
forgotten ^vpsv++agls+xvbn+=forgotten.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
remembered ^vwbn+vprv++xvbn+=remembered
that ^tht+vcmp+++=that
their ^pp$+pp3+++=their
fathers ^nns+nom+++=fathers
had ^vbd+hvd+aux++=had
voted ^vprf+++xvbnx+=voted,
, ^zz++++=EXTRAWORD
spoken ^j+++xvbn+=spoken,
, ^zz++++=EXTRAWORD
travelled ^j+++xvbn+=travelled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gathered ^vpsv++agls+xvbn+=gathered
without ^in++++=without
permits ^nns++++=permits.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
could ^md+pos+++=could
still ^rb++splt++=still
read ^vb+vprv++xvbn+=read.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
possessed ^jj+atrb++xvbn+=possessed
hidden ^jj+atrb++xvbn+=hidden
books ^nns++++=books.
. ^zz++++=EXTRAWORD
Rebellion ^nn++++=Rebellion
sprang ^vbd+++xvbn+=sprang
up ^rp++++=up
as ^in++++=as
grass ^nn++++=grass
springs ^vbz++++=springs
through ^in++++=through
cracked ^vbd+++xvbn+=cracked
stone ^nn++++=stone.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
Vange ^np+++??+=Vange
was ^vbd+bedz+vrb++=was
strong ^jj+pred+++=strong.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
broad ^jj+atrb+++=broad
shoulders ^nns+nom+++=shoulders
and ^cc++++=and
a ^at++++=a
smooth ^jj+atrb+++=smooth
tongue ^nn++++=tongue,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
first ^rb"++++=first
the ^ati++++=the
slaves ^nns++++=slaves
trusted ^vbd+++xvbn+=trusted
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
carried ^vbd+++xvbnx+=carried
messages ^nns+nom+++=messages
between ^in++++=between
the ^ati++++=the
machine ^nn++++=machine
wards ^nns++++=wards.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
where ^wrb+who+whcl++=where
weapons ^nns++++=weapons
were ^vbd+bed+aux++=were
buried ^vpsv++agls+xvbnx+=buried.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
in ^in++++=in
councils ^nns++++=councils
with ^in++++=with
men ^nns++++=men
whose ^whp+rel+obj++=whose
names ^nns++++=names
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
scraped ^vpsv++agls+xvbnx+=scraped
from ^in++++=from
every ^at++++=every
public ^jj+atrb+++=public
monument ^nn+nom+++=monument.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
sold ^vbd+++xvbnx+=sold
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
room ^nn++++=room
above ^jjb+atrb+++=above
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
for ^in++++=for
meat ^nn++++=meat
upon ^in++++=upon
Sundays ^nrs++++=Sundays,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
right ^nn++++=right
to ^to+ncmp+++=to
strike ^vbi++++=strike
men ^nns++++=men
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
called ^vprf+++xvbnx+=called
him ^pp3o+pp3+++=him
comrade ^nn++++=comrade,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
Vange ^np+++??+=Vange
betrayed ^vbd+++xvbn+=betrayed
the ^ati++++=the
council ^nn++++=council.
. ^zz++++=EXTRAWORD
Thirty ^cd++++=Thirty-seven
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
rebels ^nns++++=rebels
were ^vbd+bed+aux++=were
taken ^vpsv++agls+xvbnx+=taken
in ^rb+phrv+++=in
one ^cd1++++=one
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Twelve ^cd++++=Twelve
were ^vbd+bed+aux++=were
hanged ^vpsv++agls+xvbnx+=hanged
from ^in++++=from
the ^ati++++=the
crane ^nn++++=crane
towers ^nns++++=towers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
remainder ^nn+nom+++=remainder
disappeared ^vbd+seem++xvbn+=disappeared
into ^in++++=into
the ^ati++++=the
salt ^nn++++=salt
pits ^nns++++=pits.
. ^zz++++=EXTRAWORD
Thereafter ^nn+nom+++=Thereafter
the ^ati++++=the
masters ^nns+nom+++=masters
found ^vbd+vprv++xvbn+=found
Bill ^nn++++=Bill
useful ^jj++++=useful.
. ^zz++++=EXTRAWORD
Whenever ^nn+nom+++=Whenever
a ^at++++=a
factory ^nn++++=factory
rose ^vbd+++xvbn+=rose,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
went ^vbd+++xvbn+=went
among ^in++++=among
the ^ati++++=the
workers ^nns+nom+++=workers.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spoke ^vbd+++xvbnx+=spoke
their ^pp$+pp3+++=their
speech ^nn++++=speech.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv+tht0+xvbnx+=knew
their ^pp$+pp3+++=their
signs ^nns++++=signs.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
smell ^vb++++=smell
conspiracy ^nn+nom+++=conspiracy
as ^in++++=as
a ^at++++=a
kennel ^nn++++=kennel
dog ^nn++++=dog
smells ^nns++++=smells
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
Brackett ^np+++??+=Brackett
Foundry ^nn++++=Foundry
he ^pp3a+pp3+++=he
promised ^vbd+vpub++xvbnx+=promised
the ^ati++++=the
rebels ^nns++++=rebels
that ^tht+rel+obj++=that
the ^ati++++=the
east ^np+pl+++=east
gate ^nn++++=gate
would ^md+prd+++=would
stand ^vb++++=stand
open ^jj++++=open.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
rushed ^vbd+++xvbnx+=rushed
it ^pp3+it+++=it
and ^cc++++=and
met ^vbd+++xvbn+=met
cannon ^nn++++=cannon.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
Three ^cd++++=Three
Rivers ^nns++++=Rivers
Rising ^vwbg+++xvbg+=Rising
he ^pp3a+pp3+++=he
advised ^vbd+vpub++xvbnx+=advised
the ^ati++++=the
workers ^nns+nom+++=workers
to ^to++++=to
gather ^vbi+vprv+++=gather
in ^in++++=in
the ^ati++++=the
square ^nn++++=square,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
cavalry ^nn++++=cavalry
enclosed ^vbd+++xvbn+=enclosed
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
At ^rb++++=At
Fallow ^jj+atrb+++=Fallow
Ridge ^nn++++=Ridge
he ^pp3a+pp3+++=he
pointed ^vbd+++xvbnx+=pointed
out ^rp+pl+++=out
the ^ati++++=the
hidden ^jj+atrb++xvbn+=hidden
leaders ^nns+nom+++=leaders
one ^pn++++=one
by ^in++++=by
one ^pn++++=one.
. ^zz++++=EXTRAWORD
The ^ati++++=The
slaves ^nns++++=slaves
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him
Sly ^jj+atrb+++=Sly
Vange ^np+++??+=Vange.
. ^zz++++=EXTRAWORD
Later ^rbr+tm+++=Later,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
commanded ^vbd+vpub++xvbnx+=commanded
the ^ati++++=the
punishment ^nn+nom+++=punishment
gangs ^nns++++=gangs,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
called ^vbd+++xvbnx+=called
him ^pp3o+pp3+++=him
Bloody ^jj+atrb+++=Bloody
Vange ^np+++??+=Vange.
. ^zz++++=EXTRAWORD
The ^ati++++=The
masters ^nns+nom+++=masters
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him
William ^np++++=William.
. ^zz++++=EXTRAWORD
Remember ^nn+nom+++=Remember
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
brothers ^nns+nom+++=brothers.
. ^zz++++=EXTRAWORD
A ^at++++=A
master ^nn++++=master
may ^md+pos+++=may
wash ^vb++++=wash
a ^at++++=a
traitor ^nn++++=traitor's
's ^$++++=EXTRAWORD
name ^nn++++=name
more ^rbr++++=more
readily ^rb++++=readily
than ^in++++=than
a ^at++++=a
slave ^nn++++=slave
may ^md+pos+++=may
wash ^vb++++=wash
soot ^nn++++=soot
from ^in++++=from
his ^pp$+pp3+++=his
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
grew ^vbd+++xvbn+=grew
rich ^jj++++=rich.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
rebellion ^nn++++=rebellion
he ^pp3a+pp3+++=he
crushed ^vbd+++xvbnx+=crushed
brought ^vprf+++xvbn+=brought
him ^pp3o+pp3+++=him
land ^nn++++=land,
, ^zz++++=EXTRAWORD
factories ^nns++++=factories,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
shares ^nns++++=shares
in ^in++++=in
the ^ati++++=the
companies ^nns++++=companies
which ^whp+rel+subj++=which
owned ^vbd+++xvbn+=owned
the ^ati++++=the
factory ^nn++++=factory
districts ^nns++++=districts.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
and ^cc++++=and
women ^nns++++=women
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
his ^pp$+pp3+++=his
