# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Malitia ^np+++??+=MALITIA
of ^in++++=of
the ^ati++++=the
temple ^nn++++=temple
of ^in++++=of
Jupiter ^np+++??+=Jupiter
though ^cs+sub+++=though
neither ^dt++neg++=neither
ladder ^nn++++=ladder
nor ^cc++neg++=nor
adjacent ^jj++++=adjacent
building ^xvbg+++xvbg+=building
offered ^vprf+++xvbn+=offered
means ^nns++++=means
by ^in++++=by
which ^whp+rel+pied++=which
it ^pp3+it+++=it
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
placed ^vpsv++agls+xvbnx+=placed
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
studied ^vprf+++xvbnx+=studied
forbidden ^xvbn+++xvbn+=forbidden
antiquities ^nns+nom+++=antiquities
whilst ^cs+sub+++=whilst
serving ^nvbg+++xvbg+=serving
under ^in++++=under
Lentulus ^np+++??+=Lentulus
in ^in++++=in
Syria ^np++++=Syria,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
from ^in++++=from
an ^at++++=an
Egyptian ^jj+atrb+++=Egyptian
grammarian ^nn++++=grammarian
at ^in++++=at
Antioch ^np+++??+=Antioch
of ^in++++=of
ceremonies ^nns++++=ceremonies
older ^jjr++++=older
than ^in++++=than
the ^ati++++=the
gods ^nns++++=gods
of ^in++++=of
Greece ^np++++=Greece.
. ^zz++++=EXTRAWORD
In ^in++++=In
Etruria ^np+++??+=Etruria,
, ^zz++++=EXTRAWORD
moreover ^nn+nom+++=moreover,
, ^zz++++=EXTRAWORD
the ^ati++++=the
haruspex ^nn+++??+=haruspex
Vibenna ^np+++??+=Vibenna
had ^vbd+hvd+aux++=had
shown ^vprf+++xvbnx+=shown
me ^pp1o+pp1+++=me
a ^at++++=a
worm ^nn++++=worm-eaten
- ^zz++++=EXTRAWORD
eaten ^vbd+++xvbn+=EXTRAWORD
tablet ^nn++++=tablet
on ^in++++=on
which ^whp+rel+pied++=which
winged ^jj+atrb+++=winged
beings ^nns++++=beings
were ^vbd+bed+aux++=were
represented ^vpsv++agls+xvbnx+=represented
receiving ^jj+atrb++xvbg+=receiving
human ^jj+atrb+++=human
offerings ^nns++++=offerings
beneath ^in+pl+++=beneath
three ^cd++++=three
black ^jj+atrb+++=black
stars ^nns++++=stars.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
therefore ^rb+cnj+++=therefore
regarded ^vbd+++xvbn+=regarded
the ^ati++++=the
mountain ^nn++++=mountain
rumours ^nns++++=rumours
not ^xnot++not++=not
as ^in++++=as
rustic ^jj+atrb+++=rustic
foolishness ^nns+nom+++=foolishness,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
as ^cs+sub+++=as
distorted ^xvbn+++xvbn+=distorted
survivals ^nns+nom+++=survivals
of ^in++++=of
that ^dt+dem+++=that
malitia ^nn+++??+=malitia
vetus ^nns+++??+=vetus
Ancient ^jj+atrb+++=Ancient
Evil ^nn++++=Evil
which ^whp+rel+obj++=which
civilised ^jj+atrb+++=civilised
peoples ^nns++++=peoples
conceal ^vb++++=conceal
under ^in++++=under
gentler ^jjr+atrb+++=gentler
names ^nns++++=names.
. ^zz++++=EXTRAWORD
The ^ati++++=The
immediate ^jj+atrb+++=immediate
occasion ^nn++++=occasion
of ^in++++=of
my ^pp$+pp1+++=my
appeal ^nn++++=appeal
was ^vbd+bedz+vrb++=was
a ^at++++=a
riot ^nn++++=riot
in ^in++++=in
the ^ati++++=the
western ^jj+atrb+++=western
market ^nn++++=market.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
hill ^nn++++=hill
traders ^nns+nom+++=traders
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
Pompelo ^np+++??+=Pompelo
beneath ^in+pl+++=beneath
the ^ati++++=the
provincial ^jj+atrb+++=provincial
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
bringing ^vbg+++xvbg+=bringing
amber ^jj++++=amber-coloured
- ^zz++++=EXTRAWORD
coloured ^jj+atrb++xvbn+=EXTRAWORD
resin ^nn++++=resin
and ^cc++++=and
knives ^nns++++=knives
of ^in++++=of
curious ^jj+atrb+++=curious
bronze ^nn++++=bronze.
. ^zz++++=EXTRAWORD
A ^at++++=A
butcher ^nn++++=butcher
accused ^vbd+++xvbn+=accused
one ^pn++++=one
of ^in++++=of
stealing ^xvbg+++xvbg+=stealing
a ^at++++=a
purse ^nn++++=purse.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
the ^ati++++=the
accusation ^nn+nom+++=accusation
was ^vbd+bedz+vrb++=was
true ^jj+pred+++=true
I ^pp1a+pp1+++=I
never ^rb++++=never
learned ^jj+++xvbn+=learned.
. ^zz++++=EXTRAWORD
A ^at++++=A
crowd ^nn++++=crowd
gathered ^vbd+++xvbn+=gathered
Romans ^nn++++=Romans,
, ^zz++++=EXTRAWORD
Celtiberians ^np+++??+=Celtiberians,
, ^zz++++=EXTRAWORD
slaves ^nns++++=slaves,
, ^zz++++=EXTRAWORD
mule ^nn++++=mule-drivers,
- ^zz++++=EXTRAWORD
drivers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
veterans ^nns+nom+++=veterans
and ^cc++++=and
idlers ^nn++++=idlers
and ^cc++++=and
before ^cs+sub+++=before
the ^ati++++=the
watch ^nn++++=watch
arrived ^vbd+++xvbn+=arrived,
, ^zz++++=EXTRAWORD
four ^cd++++=four
strangers ^nns+nom+++=strangers
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
beaten ^vpsv++agls+xvbnx+=beaten
to ^in++++=to
death ^nn++++=death.
. ^zz++++=EXTRAWORD
A ^at++++=A
fifth ^od++++=fifth
died ^vprf+++xvbn+=died
in ^in++++=in
custody ^nn++++=custody.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sixth ^rb+cnj+++=sixth,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
his ^pp$+pp3+++=his
skull ^nn++++=skull
was ^vbd+bedz+aux++=was
broken ^vpsv++agls+xvbnx+=broken
and ^cc++++=and
one ^cd1++++=one
eye ^nn++++=eye
destroyed ^vwbn+++xvbn+=destroyed,
, ^zz++++=EXTRAWORD
escaped ^j+++xvbn+=escaped
during ^in++++=during
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
evenings ^nns++++=evenings
later ^rbr+tm+++=later
the ^ati++++=the
drums ^nns++++=drums
began ^vbd+++xvbn+=began.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
sounded ^vbd+++xvbnx+=sounded
beyond ^in++++=beyond
the ^ati++++=the
vineyards ^nns++++=vineyards
after ^in++++=after
sunset ^nn++++=sunset:
: ^zz++++=EXTRAWORD
slow ^jj+atrb+++=slow,
, ^zz++++=EXTRAWORD
hollow ^jj+atrb+++=hollow
pulsations ^nns+nom+++=pulsations
too ^ql++++=too
deep ^jj++++=deep
to ^to++++=to
proceed ^vbi++++=proceed,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
legionaries ^nns++++=legionaries
asserted ^vbd+vpub++xvbn+=asserted,
, ^zz++++=EXTRAWORD
from ^in++++=from
any ^dti++++=any
ordinary ^jj+atrb+++=ordinary
instrument ^nn+nom+++=instrument.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
they ^pp3a+pp3+++=they
appeared ^vbd+seem++xvbnx+=appeared
far ^rb+pl+++=far
off ^rp+pl+++=off
amongst ^in++++=amongst
the ^ati++++=the
highest ^jjt+atrb+++=highest
ridges ^nns++++=ridges;
; ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
beneath ^in+pl+++=beneath
the ^ati++++=the
very ^ql+amp+++=very
walls ^nns++++=walls.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
sentries ^nns++++=sentries
saw ^vbd+vprv++xvbn+=saw
no ^at++++=no
movement ^nn+nom+++=movement.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
seventh ^nn++++=seventh
night ^nn++++=night
every ^at++++=every
dog ^nn++++=dog
in ^in++++=in
Pompelo ^np+++??+=Pompelo
crept ^vbd+++xvbn+=crept
whining ^vbg+++xvbg+=whining
into ^in++++=into
concealment ^nn+nom+++=concealment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bronze ^jj+atrb+++=bronze
lamps ^nns++++=lamps
in ^in++++=in
the ^ati++++=the
shrine ^nn++++=shrine
of ^in++++=of
Vesta ^np+++??+=Vesta
extinguished ^vbd+++xvbn+=extinguished
themselves ^ppls+pp3+++=themselves
simultaneously ^rb+tm+++=simultaneously.
. ^zz++++=EXTRAWORD
More ^rbr++++=More
alarming ^jj+++xvbg+=alarming
was ^vbd+bedz+vrb++=was
the ^ati++++=the
absence ^nn+nom+++=absence
of ^in++++=of
the ^ati++++=the
customary ^jj+atrb+++=customary
disappearances ^nns+nom++??+=disappearances.
. ^zz++++=EXTRAWORD
No ^at++++=No
shepherd ^nn++++=shepherd
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken,
, ^zz++++=EXTRAWORD
no ^at++++=no
lonely ^jj+atrb+++=lonely
household ^nn++++=household
molested ^vbd+++xvbn+=molested.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hill ^nn++++=hill
villages ^nns+nom+++=villages
stood ^vbd+++xvbn+=stood
empty ^jj++++=empty,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
inhabitants ^nns+nom+++=inhabitants
having ^xvbg+++xvbg+=having
withdrawn ^vprf+++xvbn+=withdrawn
into ^in++++=into
fortified ^xvbn+++xvbn+=fortified
places ^nns++++=places
before ^in++++=before
the ^ati++++=the
equinox ^nn++++=equinox.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
I ^pp1a+pp1+++=I
concluded ^vbd+vprv++xvbnx+=concluded
not ^xnot++not++=not
without ^in++++=without
reluctance ^nn+nom+++=reluctance
that ^tht+rel+obj++=that
the ^ati++++=the
old ^jj++++=old
folk ^jjb++++=folk
no ^at++++=no
longer ^rbr++++=longer
sought ^vbd+++xvbn+=sought
a ^ap++++=a
few ^ap"++++=few
victims ^nns++++=victims.
. ^zz++++=EXTRAWORD
The ^ati++++=The
town ^nn++++=town
itself ^ppl++++=itself
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
marked ^vpsv++agls+xvbnx+=marked.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
laid ^vbd+++xvbnx+=laid
these ^dt+dem+++=these
matters ^nns+nom+++=matters
before ^in++++=before
the ^ati++++=the
proconsul ^nn+++??+=proconsul,
, ^zz++++=EXTRAWORD
Publius ^np+++??+=Publius
Scribonius ^np+++??+=Scribonius
Libo ^np+++??+=Libo,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
upper ^jjb+atrb+++=upper
chamber ^nn++++=chamber
of ^in++++=of
the ^ati++++=the
pr ^nn+++??+=pr
torium ^nn+++??+=torium.
. ^zz++++=EXTRAWORD
Scribonius ^np+++??+=Scribonius
was ^vbd+bedz+vrb++=was
a ^at++++=a
grave ^nn++++=grave,
, ^zz++++=EXTRAWORD
bald ^jj+atrb+++=bald
man ^nn++++=man
of ^in++++=of
sixty ^cd++++=sixty
years ^nns++++=years,
, ^zz++++=EXTRAWORD
fatigued ^xvbn+++xvbn+=fatigued
by ^in++++=by
arthritis ^nn++++=arthritis
and ^cc++++=and
public ^jj+atrb+++=public
service ^nn++++=service,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
retaining ^vbg+++xvbg+=retaining
those ^dt+dem+++=those
steady ^jj+atrb+++=steady
grey ^np++++=grey
eyes ^nns++++=eyes
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
faced ^vprf+++xvbnx+=faced
Mithridatic ^np+++??+=Mithridatic
archers ^nns+nom+++=archers.
. ^zz++++=EXTRAWORD
With ^in++++=With
him ^pp3o+pp3+++=him
were ^vbd+bed+vrb++=were
Aulus ^np+++??+=Aulus
Balbutius ^np+++??+=Balbutius,
, ^zz++++=EXTRAWORD
legate ^nn++++=legate
commanding ^vwbg+++xvbg+=commanding
the ^ati++++=the
garrison ^nn++++=garrison;
; ^zz++++=EXTRAWORD
Decimus ^np+++??+=Decimus
Asellius ^np+++??+=Asellius
Varro ^np+++??+=Varro,
, ^zz++++=EXTRAWORD
a ^at++++=a
young ^jj+atrb+++=young
military ^jj+atrb+++=military
tribune ^nn+++??+=tribune
of ^in++++=of
patrician ^nn++++=patrician
pretensions ^nns++++=pretensions;
; ^zz++++=EXTRAWORD
the ^ati++++=the
chief ^jjb+atrb+++=chief
dile ^nn+++??+=dile,
, ^zz++++=EXTRAWORD
Marcellus ^np+++??+=Marcellus
Arsa ^np+++??+=Arsa;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
native ^jj+atrb+++=native
councillors ^nns++++=councillors
who ^whp+rel+subj++=who
perspired ^vbd+++xvbn+=perspired
visibly ^rb++++=visibly
despite ^in++++=despite
the ^ati++++=the
coolness ^nns+nom+++=coolness
of ^in++++=of
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
Balbutius ^np+++??+=Balbutius
heard ^vbd+vprv++xvbn+=heard
me ^pp1o+pp1+++=me
with ^in++++=with
compressed ^xvbn+++xvbn+=compressed
lips ^nns++++=lips.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
propose ^vb++++=propose,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
I ^pp1a+pp1+++=I
disperse ^vb++++=disperse
the ^ati++++=the
garrison ^nn++++=garrison
into ^in++++=into
unknown ^jj+atrb+++=unknown
hills ^nns++++=hills
because ^cs+cos+++=because
peasants ^nns+nom+++=peasants
beat ^vbd+++xvbn+=beat
drums ^nns++++=drums?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
propose ^vb++++=propose,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
the ^ati++++=the
authority ^nn+nom+++=authority
of ^in++++=of
the ^ati++++=the
Roman ^jj+atrb+++=Roman
People ^nns++++=People
be ^vb+be+aux++=be
displayed ^vpsv++agls+xvbnx+=displayed
before ^cs+sub+++=before
those ^dt+dem+++=those
peasants ^nns+nom+++=peasants
perform ^vb++++=perform
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
intend ^vb++++=intend."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
cohort ^nn++++=cohort
cannot ^md+pos+not++=cannot
arrest ^vb++++=arrest
an ^at++++=an
echo ^nn++++=echo."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nor
nor ^cc++neg++=EXTRAWORD
can ^md+pos+++=can
an ^at++++=an
echo ^nn++++=echo
place ^nn++++=place
a ^at++++=a
child ^nn++++=child's
's ^$++++=EXTRAWORD
sandal ^nn++++=sandal
upon ^in++++=upon
a ^at++++=a
temple ^nn++++=temple
roof ^nn++++=roof."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
