# ^zz++++=##
# ^zz++++=EXTRAWORD
Root ^nn++++=Root
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
repeated ^xvbn+++xvbn+=repeated
Timothy ^np++++=Timothy.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
sort ^nn++++=sort
of ^in++++=of
work ^nn++++=work?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Any
any ^dti++++=EXTRAWORD
honest ^jj+atrb+++=honest
kind ^nn++++=kind.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
write ^vb++++=write
a ^at++++=a
fair ^jj+atrb+++=fair
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
keep ^vb++++=keep
simple ^jj+atrb+++=simple
accounts ^nns++++=accounts,
, ^zz++++=EXTRAWORD
drive ^nn++++=drive
a ^at++++=a
team ^nn++++=team,
, ^zz++++=EXTRAWORD
tend ^vb++++=tend
stock ^nn++++=stock,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
do ^vb+do+vrb++=do
field ^nn++++=field
work ^nn++++=work."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ye
ye ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
good ^jj+atrb+++=good
list ^nn++++=list
ready ^jj++++=ready."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
looking ^vbg+++xvbgx+=looking
for ^in++++=for
a ^at++++=a
place ^nn++++=place
these ^dt+dem+++=these
ten ^cd++++=ten
days ^nns++++=days."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
found ^vbd+vprv++xvbn+=found
none ^pn++++=none?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Timothy ^np++++=Timothy
leaned ^vbd+++xvbn+=leaned
back ^jjb++++=back
and ^cc+phrs+++=and
examined ^jj+++xvbn+=examined
his ^pp$+pp3+++=his
nephew ^nn++++=nephew.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
prosperous ^jj+atrb+++=prosperous
man ^nn++++=man,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
square ^jj+atrb+++=square
chin ^nn++++=chin,
, ^zz++++=EXTRAWORD
iron ^nn++++=iron-gray
- ^zz++++=EXTRAWORD
gray ^np++++=EXTRAWORD
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
eyes ^nns++++=eyes
which ^whp+rel+subj++=which
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
put ^vbi++++=put
a ^at++++=a
cash ^nn++++=cash
value ^nn++++=value
on ^in++++=on
everything ^pn++++=everything
they ^pp3a+pp3+++=they
saw ^vbd+vprv++xvbnx+=saw.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
hard ^jj++++=hard
by ^in++++=by
some ^dti++++=some
of ^in++++=of
his ^pp$+pp3+++=his
neighbours ^nns++++=neighbours
and ^cc++++=and
prudent ^jj++++=prudent
by ^in++++=by
others ^aps++++=others.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
must ^md+nec+++=must
be ^vb+be+aux++=be
admitted ^vpsv++agls+xvbnx+=admitted
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
both ^abx++++=both.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spent ^vbd+++xvbnx+=spent
no ^at++++=no
money ^nn++++=money
foolishly ^rb+cnj+++=foolishly,
, ^zz++++=EXTRAWORD
exacted ^j+++xvbn+=exacted
every ^at++++=every
debt ^nn++++=debt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
expected ^vbd+vprv++xvbn+=expected
a ^at++++=a
full ^jj+atrb+++=full
day ^nn++++=day's
's ^$++++=EXTRAWORD
labour ^nn++++=labour
for ^in++++=for
a ^at++++=a
full ^jj+atrb+++=full
day ^nn++++=day's
's ^$++++=EXTRAWORD
pay ^nn++++=pay;
; ^zz++++=EXTRAWORD
yet ^rb++++=yet
he ^pp3a+pp3+++=he
never ^rb++++=never
cheated ^vbd+++xvbn+=cheated
a ^at++++=a
man ^nn++++=man
of ^in++++=of
a ^at++++=a
penny ^nn++++=penny.
. ^zz++++=EXTRAWORD
Genuine ^jj+atrb+++=Genuine
thrift ^nn++++=thrift
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
miserliness ^nns+nom+++=miserliness,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
may ^md+pos+++=may
sometimes ^rb++splt++=sometimes
wear ^vb++++=wear
an ^at++++=an
equally ^rb++++=equally
severe ^jj+atrb+++=severe
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+whq++=EXTRAWORD
should ^md+nec+++=should
I ^pp1a+pp1+++=I
hire ^vb++++=hire
ye ^pp2+pp2+++=ye?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
I ^pp1a+pp1+++=I
need ^nn++++=need
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
mean ^vb++++=mean
to ^to+vcmp+++=to
do ^vbi++++=do
it ^pp3+it+++=it
faithfully ^rb++++=faithfully."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
father ^nn++++=father
often ^rb++++=often
said ^vbd+vpub++xvbn+=said
as ^ql++++=as
much ^ap++++=much."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ellis ^np++++=Ellis
flushed ^vbd+++xvbn+=flushed.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
father ^nn++++=father
is ^vbz+bez+vrb++=is
dead ^jj+pred+++=dead,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered
quietly ^rb++++=quietly.
. ^zz++++=EXTRAWORD
" ^zz++++="Aye.
aye ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Dead ^jj++++=Dead
three ^cd++++=three
weeks ^nns++++=weeks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
left ^vbd+++xvbn+=left
your ^pp$+pp2+++=your
mother ^nn++++=mother
without ^in++++=without
a ^at++++=a
dollar ^nn++++=dollar.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
the ^ati++++=the
harvest ^nn++++=harvest
of ^in++++=of
idleness ^nns+nom+++=idleness."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy's
's ^$++++=EXTRAWORD
fingers ^nns+nom+++=fingers
tightened ^vbd+++xvbn+=tightened
around ^rp++++=around
his ^pp$+pp3+++=his
cap ^nn++++=cap.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
provide ^vb+vsua+++=provide
for ^in+ppvb+++=for
us ^pp1o+pp1+++=us
as ^ql++++=as
he ^pp3a+pp3+++=he
ought ^md+nec+++=ought,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Ellis ^np++++=Ellis,
, ^zz++++=EXTRAWORD
after ^in++++=after
a ^at++++=a
pause ^nn++++=pause.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
come ^vb++++=come
here ^rn+pl+++=here
to ^to++++=to
hear ^vbi+vprv+tht0++=hear
him ^pp3o+pp3+++=him
spoken ^vbd+++xvbn+=spoken
against ^in+strn+++=against."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
ye ^pp2+pp2+++=ye
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
wrong ^jj+atrb+++=wrong
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Joel ^np+++??+=Joel
Duncan ^np++++=Duncan
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
brother ^nn++++=brother,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
shiftless ^jj+pred+++=shiftless
from ^in++++=from
the ^ati++++=the
day ^nn++++=day
he ^pp3a+pp3+++=he
could ^md+pos+++=could
walk ^vb++++=walk.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
borrowed ^vbd+++xvbnx+=borrowed
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
should ^md+nec+++=should
have ^vb+hv+aux++=have
earned ^vprf+++xvbnx+=earned,
, ^zz++++=EXTRAWORD
promised ^j+++xvbn+=promised
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
should ^md+nec+++=should
have ^vb+hv+aux++=have
performed ^vprf+++xvbnx+=performed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blamed ^vbd+++xvbn+=blamed
ill ^jj+atrb+++=ill
luck ^nn++++=luck
for ^in++++=for
what ^wdt+who+++=what
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
laziness ^nns+nom+++=laziness."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ellis ^np++++=Ellis's
's ^$++++=EXTRAWORD
face ^nn++++=face
grew ^vbd+++xvbn+=grew
hotter ^jjr++++=hotter,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
he ^pp3a+pp3+++=he
controlled ^vbd+++xvbnx+=controlled
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
my ^pp$+pp1+++=my
fault ^nn++++=fault."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Maybe
maybe ^rb+hdg+++=EXTRAWORD
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
a ^at++++=a
bad ^jj+atrb+++=bad
tree ^nn++++=tree
is ^vbz+bez+vrb++=is
apt ^jj+pred+++=apt
to ^to+jcmp+++=to
send ^vbi++++=send
up ^rb+phrv+++=up
bad ^jj+atrb+++=bad
shoots ^nns++++=shoots."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
like ^in++++=like
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
blood ^nn++++=blood
tells ^vbz++++=tells."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
you ^pp2+pp2+++=you
will ^md+prd+++=will
not ^xnot++not++=not
employ ^vb++++=employ
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
no ^at++++=no
place ^nn++++=place
for ^in++++=for
a ^at++++=a
boy ^nn++++=boy
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
depend ^vb++++=depend
upon ^in+strn+++=upon."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Ellis ^np++++=Ellis
put ^vbd+++xvbn+=put
on ^rb+phrv+++=on
his ^pp$+pp3+++=his
cap ^nn++++=cap.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
never ^rb++splt++=never
tried ^vprf+++xvbnx+=tried
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Uncle ^nn++++=Uncle
Timothy ^np++++=Timothy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
tried ^vprf+++xvbnx+=tried
Duncans ^nns+nom++??+=Duncans
before ^in+strn+++=before."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
not ^xnot++not++=not
tried ^vbd+++xvbn+=tried
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
repeated ^xvbn+++xvbn+=repeated
Ellis ^np++++=Ellis.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
left ^vbd+++xvbnx+=left
without ^in++++=without
another ^dt++++=another
word ^nn++++=word.
. ^zz++++=EXTRAWORD
Timothy ^np++++=Timothy
watched ^vbd+++xvbn+=watched
him ^pp3o+pp3+++=him
cross ^vb++++=cross
the ^ati++++=the
mill ^nn++++=mill
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
walking ^vbg+++xvbg+=walking
erect ^jj++++=erect
though ^cs+sub+++=though
his ^pp$+pp3+++=his
disappointment ^nn+nom+++=disappointment
was ^vbd+bedz+vrb++=was
heavy ^jj+pred+++=heavy
enough ^qlp++++=enough
to ^to++++=to
bend ^vbi++++=bend
stronger ^jjr+atrb+++=stronger
backs ^nns++++=backs.
. ^zz++++=EXTRAWORD
" ^zz++++="Proud,"
proud ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
muttered ^vbd+++xvbn+=muttered
Timothy ^np++++=Timothy.
. ^zz++++=EXTRAWORD
" ^zz++++="Joel
joel ^np++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
proud ^jj+pred+++=proud,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
pride ^nn++++=pride
cost ^nn++++=cost
nothing ^pn++++=nothing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
return ^vb++++=return
immediately ^rb+tm+++=immediately
to ^in++++=to
his ^pp$+pp3+++=his
figures ^nns++++=figures.
. ^zz++++=EXTRAWORD
Ellis ^np++++=Ellis's
's ^$++++=EXTRAWORD
father ^nn++++=father
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
a ^at++++=a
wicked ^jj+atrb+++=wicked
man ^nn++++=man.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
pleasant ^jj++++=pleasant,
, ^zz++++=EXTRAWORD
generous ^jj++++=generous
with ^in++++=with
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
need ^nn++++=need,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
always ^rb++++=always
ready ^jj++++=ready
to ^to+jcmp+++=to
help ^vbi++++=help
a ^at++++=a
neighbour ^nn++++=neighbour
so ^ql++++=so
long ^rb++++=long
as ^ql++++=as
the ^ati++++=the
help ^nn++++=help
required ^vbd+++xvbn+=required
conversation ^nn+nom+++=conversation
rather ^rb++++=rather
than ^in++++=than
labour ^nn++++=labour.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
tell ^vb++++=tell
a ^at++++=a
story ^nn++++=story,
, ^zz++++=EXTRAWORD
sing ^vb++++=sing
a ^at++++=a
song ^nn++++=song,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
mend ^vb++++=mend
a ^at++++=a
fishing ^jj+++xvbg+=fishing-line
- ^zz++++=EXTRAWORD
line ^nn++++=EXTRAWORD
better ^jjr++++=better
than ^in++++=than
any ^dti++++=any
man ^nn++++=man
in ^in++++=in
Westdale ^np+++??+=Westdale.
. ^zz++++=EXTRAWORD
Unfortunately ^rb+cnj+++=Unfortunately,
, ^zz++++=EXTRAWORD
stories ^nns++++=stories,
, ^zz++++=EXTRAWORD
songs ^nns++++=songs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fishing ^nvbg+++xvbg+=fishing-lines
- ^zz++++=EXTRAWORD
lines ^nns++++=EXTRAWORD
do ^vb+do+vrb++=do
not ^xnot++not++=not
pay ^nn++++=pay
rent ^nn++++=rent.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Joel ^np+++??+=Joel
Duncan ^np++++=Duncan
died ^vbd+++xvbn+=died
after ^in++++=after
a ^at++++=a
short ^jj+atrb+++=short
illness ^nns+nom+++=illness,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
remained ^vprf+++xvbn+=remained
in ^in++++=in
the ^ati++++=the
house ^nn++++=house
two ^cd++++=two
chairs ^nns++++=chairs,
, ^zz++++=EXTRAWORD
a ^at++++=a
pine ^nn++++=pine
table ^nn++++=table,
, ^zz++++=EXTRAWORD
three ^cd++++=three
cracked ^jj+atrb++xvbn+=cracked
plates ^nns++++=plates,
, ^zz++++=EXTRAWORD
several ^ap++++=several
unpaid ^jj+atrb+++=unpaid
bills ^nns++++=bills,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
widow ^nn++++=widow,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
long ^rb++splt++=long
been ^vprf+ben+vrb+xvbnx+=been
delicate ^jj++++=delicate.
. ^zz++++=EXTRAWORD
Ellis ^np++++=Ellis
also ^rb++++=also
remained ^vbd+++xvbn+=remained,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
worth ^in++++=worth
more ^rbr++++=more
than ^in++++=than
all ^abn++++=all
the ^ati++++=the
rest ^nn++++=rest,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
Westdale ^np+++??+=Westdale
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
discovered ^vbd+vprv++xvbn+=discovered
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Duncan ^np++++=Duncan
earned ^vbd+++xvbn+=earned
a ^rb++++=a
little ^rb"++++=little
by ^in++++=by
sewing ^nn++++=sewing,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
were ^vbd+bed+vrb++=were
weak ^jj+pred+++=weak
and ^cc++++=and
her ^pp$+pp3+++=her
cough ^nn++++=cough
troublesome ^jj++++=troublesome.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
the ^ati++++=the
duty ^nn++++=duty
of ^in++++=of
supporting ^xvbg+++xvbg+=supporting
the ^ati++++=the
household ^nn++++=household
fell ^vbd+++xvbn+=fell
upon ^in++++=upon
Ellis ^np++++=Ellis.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
complain ^vb+vpub+++=complain.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
attended ^vprf+++xvbnx+=attended
the ^ati++++=the
village ^nn+nom+++=village
school ^nn++++=school
faithfully ^rb+cnj+++=faithfully,
, ^zz++++=EXTRAWORD
read ^j+++xvbn+=read
every ^at++++=every
book ^nn++++=book
he ^pp3a+pp3+++=he
could ^md+pos+++=could
borrow ^vb++++=borrow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
during ^in++++=during
vacations ^nns+nom+++=vacations
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
the ^ati++++=the
common ^jj+atrb+++=common
tasks ^nns++++=tasks
of ^in++++=of
farm ^nn++++=farm
and ^cc++++=and
stable ^nn++++=stable.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
both ^abx++++=both
able ^jj++++=able
and ^cc+phrs+++=and
willing ^jj++++=willing,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
his ^pp$+pp3+++=his
father ^nn++++=father's
's ^$++++=EXTRAWORD
reputation ^nn+nom+++=reputation
went ^vbd+++xvbn+=went
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
At ^in++++=At
Gorman ^np++++=Gorman's
's ^$++++=EXTRAWORD
store ^nn++++=store
the ^ati++++=the
proprietor ^nn++++=proprietor
shook ^vbd+++xvbn+=shook
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
reckon ^vb+vprv+tht0++=reckon
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
need ^nn++++=need
another ^dt++++=another
clerk ^nn++++=clerk."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
livery ^nn++++=livery
stable ^nn++++=stable
Hiram ^np+++??+=Hiram
Bell ^nn++++=Bell
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Ye
ye ^pp2+pp2+++=EXTRAWORD
look ^vb++++=look
strong ^jj++++=strong
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
lad ^nn++++=lad
forgetting ^vb+vprv++xvbg+=forgetting
to ^to+vcmp+++=to
feed ^vbi++++=feed
the ^ati++++=the
horses ^nns++++=horses."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
forget ^vb+vprv+++=forget."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Your
your ^pp$+pp2+++=EXTRAWORD
father ^nn++++=father
forgot ^vbd+vprv++xvbn+=forgot
most ^ql+emph+++=most
things ^nns++++=things."
