Jacob ^np++++=Jacob
loading ^nvbg+++xvbg+=EXTRAWORD
shot ^vbd+++xvbn+=shot-gun,
- ^zz++++=EXTRAWORD
gun ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
faith ^nn++++=faith
in ^in++++=in
Providence ^np+nom++??+=Providence
which ^whp+rel+subj++=which
endured ^vbd+++xvbn+=endured
precisely ^rb++++=precisely
until ^cs+sub+++=until
Providence ^np+nom++??+=Providence
required ^vbd+++xvbn+=required
him ^pp3o+pp3+++=him
to ^to++++=to
share ^vbi++++=share
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
years ^nns++++=years
later ^rbr+tm+++=later
he ^pp3a+pp3+++=he
owned ^vbd+++xvbnx+=owned
the ^ati++++=the
travellers ^nns+nom+++=travellers'
' ^zz++++=EXTRAWORD
cabin ^nn++++=cabin
at ^rb++++=at
Crooked ^jj+atrb+++=Crooked
Elbow ^nn++++=Elbow,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
winter ^nn++++=winter
trail ^nn++++=trail
quitted ^vprf+++xvbn+=quitted
the ^ati++++=the
Yukon ^np+++??+=Yukon,
, ^zz++++=EXTRAWORD
crossed ^j+++xvbn+=crossed
a ^at++++=a
wooded ^jj+atrb+++=wooded
neck ^nn++++=neck,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
returned ^vpsv++agls+xvbn+=returned
to ^in++++=to
the ^ati++++=the
river ^nn++++=river
eleven ^cd++++=eleven
miles ^nns++++=miles
farther ^rbr++++=farther
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
owned ^vbd+++xvbnx+=owned
also ^rb++++=also
three ^cd++++=three
dogs ^nns++++=dogs,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
lame ^jj+atrb+++=lame
mule ^nn++++=mule,
, ^zz++++=EXTRAWORD
fourteen ^cd++++=fourteen
hundred ^cd++++=hundred
pounds ^nns++++=pounds
of ^in++++=of
provisions ^nns++++=provisions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
secret ^jj+atrb+++=secret
quantity ^nn+nom+++=quantity
of ^in++++=of
gold ^nn++++=gold
dust ^nn++++=dust
which ^whp+rel+obj++=which
no ^at++++=no
man ^nn++++=man
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
and ^cc++++=and
concerning ^in++++=concerning
which ^whp+rel+pied++=which
all ^abn++++=all
men ^nns++++=men
speculated ^vbd+++xvbn+=speculated.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cabin ^nn++++=cabin
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+aux+xvbn+=been
built ^vpsv++by+xvbnx+=built
by ^in++++=by
Kent ^np++++=Kent.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
raised ^vpsv++by+xvbnx+=raised
by ^in++++=by
prospectors ^nns++++=prospectors
for ^in++++=for
the ^ati++++=the
common ^jj+atrb+++=common
salvation ^nn+nom+++=salvation
of ^in++++=of
the ^ati++++=the
trail ^nn++++=trail,
, ^zz++++=EXTRAWORD
each ^dt++++=each
contributing ^jj+atrb++xvbg+=contributing
axe ^nn++++=axe-work,
- ^zz++++=EXTRAWORD
work ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
moss ^np++++=moss-chinking,
- ^zz++++=EXTRAWORD
chinking ^jj+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
profanity ^nn+nom+++=profanity
according ^in+cmpx+++=according
to ^in"++++=to
his ^pp$+pp3+++=his
aptitude ^nn++++=aptitude.
. ^zz++++=EXTRAWORD
Kent ^np++++=Kent
occupied ^vbd+++xvbn+=occupied
it ^pp3+it+++=it
during ^in++++=during
a ^at++++=a
blizzard ^nn++++=blizzard,
, ^zz++++=EXTRAWORD
remained ^j+++xvbn+=remained
after ^in++++=after
the ^ati++++=the
blizzard ^nn++++=blizzard,
, ^zz++++=EXTRAWORD
nailed ^xvbn+++xvbn+=nailed
up ^rp++++=up
a ^at++++=a
board ^nn++++=board
announcing ^vwbg+++xvbg+=announcing
Kent ^np++++=KENT'S
's ^$++++=EXTRAWORD
Hotel ^npl++++=HOTEL,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thereafter ^nn+nom+++=thereafter
charged ^jj+++xvbn+=charged
two ^cd++++=two
dollars ^nns++++=dollars
for ^in++++=for
floor ^nn++++=floor-space,
- ^zz++++=EXTRAWORD
space ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
one ^cd1++++=one
dollar ^nn++++=dollar
for ^in++++=for
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
fifty ^cd++++=fifty
cents ^nns++++=cents
for ^in++++=for
melted ^vbd+++xvbn+=melted
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whatever ^nn+nom+++=whatever
his ^pp$+pp3+++=his
judgment ^nn+nom+++=judgment
could ^md+pos+++=could
extort ^vb+++??+=extort
for ^in++++=for
beans ^nns++++=beans.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
objections ^nns+nom+++=objections.
. ^zz++++=EXTRAWORD
Kent ^np++++=Kent
replied ^vbd+vpub++xvbn+=replied
that ^tht+vcmp+++=that
civilization ^nn+nom+++=civilization
had ^vbd+hvd+aux++=had
arrived ^vprf+++xvbnx+=arrived.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
procedure ^nn++++=procedure
was ^vbd+bedz+vrb++=was
admirable ^jj+pred+++=admirable
in ^in++++=in
its ^pp$+it+++=its
simplicity ^nn+nom+++=simplicity.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
a ^at++++=a
traveller ^nn+nom+++=traveller
came ^vbd+++xvbn+=came
staggering ^jj++++=staggering
from ^in++++=from
the ^ati++++=the
steel ^nn++++=steel-gray
- ^zz++++=EXTRAWORD
gray ^np++++=EXTRAWORD
waste ^nn++++=waste,
, ^zz++++=EXTRAWORD
beard ^nn++++=beard
stiff ^jj++++=stiff
with ^in++++=with
ice ^nn++++=ice
and ^cc++++=and
lungs ^nns++++=lungs
rasping ^jj++++=rasping
from ^in++++=from
the ^ati++++=the
cold ^nn++++=cold,
, ^zz++++=EXTRAWORD
Kent ^np++++=Kent
waited ^vbd+++xvbn+=waited
until ^cs+sub+++=until
the ^ati++++=the
man ^nn++++=man
had ^vb+hv+vrb++=had
one ^cd1++++=one
mitten ^np++++=mitten
on ^in++++=on
the ^ati++++=the
latch ^nn++++=latch.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
named ^vbd+++xvbnx+=named
his ^pp$+pp3+++=his
terms ^nns++++=terms.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wilderness ^nns+nom+++=wilderness
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
free ^jj+pred+++=free,
, ^zz++++=EXTRAWORD
offered ^jj+atrb++xvbn+=offered
death ^nn++++=death;
; ^zz++++=EXTRAWORD
the ^ati++++=the
cabin ^nn++++=cabin
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
free ^jj+atrb+++=free,
, ^zz++++=EXTRAWORD
offered ^jj+atrb++xvbn+=offered
life ^nn++++=life
for ^in++++=for
cash ^nn++++=cash.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
commercial ^jj+atrb+++=commercial
situation ^nn+nom+++=situation
of ^in++++=of
classical ^jj+atrb+++=classical
purity ^nn++++=purity.
. ^zz++++=EXTRAWORD
" ^zz++++="Robbery,"
robbery ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
men ^nns++++=men.
. ^zz++++=EXTRAWORD
" ^zz++++="Business,"
business ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Kent ^np++++=Kent.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sat ^vbd+++xvbnx+=sat
in ^in++++=in
the ^ati++++=the
centre ^nn++++=centre
of ^in++++=of
his ^pp$+pp3+++=his
web ^nn++++=web,
, ^zz++++=EXTRAWORD
a ^at++++=a
lean ^jj++++=lean,
, ^zz++++=EXTRAWORD
long ^jj++++=long-legged
- ^zz++++=EXTRAWORD
legged ^jj+atrb++xvbn+=EXTRAWORD
spider ^nn++++=spider,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
flies ^nns++++=flies
came ^vbd+++xvbn+=came
to ^in++++=to
him ^pp3o+pp3+++=him
over ^in++++=over
the ^ati++++=the
frozen ^jj+atrb++xvbn+=frozen
miles ^nns++++=miles.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
Kent ^np++++=Kent
did ^vbd+dod+aux++=did
not ^xnot++not++=not
enjoy ^vb++++=enjoy
his ^pp$+pp3+++=his
gains ^nns++++=gains.
. ^zz++++=EXTRAWORD
The ^ati++++=The
true ^jj+atrb+++=true
miser ^nn++++=miser
differs ^nns+nom+++=differs
from ^in++++=from
the ^ati++++=the
spendthrift ^nn++++=spendthrift
chiefly ^rb++++=chiefly
in ^cs+sub+++=in
that ^cs"++++=that
the ^ati++++=the
one ^cd1++++=one
is ^vbz+bez+aux++=is
tormented ^vpsv++agls+xvbnx+=tormented
before ^in++++=before
parting ^xvbg+++xvbg+=parting
with ^in++++=with
his ^pp$+pp3+++=his
money ^nn++++=money
and ^cc++++=and
the ^ati++++=the
other ^ap++++=other
afterward ^rb++++=afterward.
. ^zz++++=EXTRAWORD
Kent ^np++++=Kent
was ^vbd+bedz+aux++=was
tormented ^vpsv++agls+xvbnx+=tormented
continuously ^rb++++=continuously.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hoard ^nn+++??+=hoard
must ^md+nec+++=must
be ^vb+be+aux++=be
counted ^vpsv++agls+xvbnx+=counted,
, ^zz++++=EXTRAWORD
concealed ^j+++xvbn+=concealed,
, ^zz++++=EXTRAWORD
reconsidered ^j+++xvbn+=reconsidered,
, ^zz++++=EXTRAWORD
removed ^xvbn+++xvbn+=removed,
, ^zz++++=EXTRAWORD
re ^in++++=re-concealed,
- ^zz++++=EXTRAWORD
concealed ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
guarded ^vpsv++agls+xvbn+=guarded
against ^in++++=against
the ^ati++++=the
population ^nn+nom+++=population
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
divided ^vbd+++xvbnx+=divided
into ^in++++=into
thieves ^nns++++=thieves
who ^whp+rel+subj++=who
knew ^vbd+vprv++xvbn+=knew
about ^in++++=about
it ^pp3+it+++=it
and ^cc++++=and
thieves ^nns++++=thieves
who ^whp+rel+subj++=who
would ^md+prd+++=would
steal ^vb++++=steal
it ^pp3+it+++=it
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
knew ^vbd+vprv++xvbnx+=knew.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
night ^nn++++=night,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
his ^pp$+pp3+++=his
guests ^nns++++=guests
slept ^vbd+++xvbn+=slept,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
drew ^vbd+++xvbnx+=drew
from ^in++++=from
its ^pp$+it+++=its
hiding ^vbg+++xvbg+=hiding-place
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
a ^at++++=a
number ^nn++++=number
of ^in++++=of
small ^jj+atrb+++=small
buckskin ^nn+++??+=buckskin
sacks ^nns++++=sacks.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
weighed ^vbd+++xvbnx+=weighed
them ^pp3o+pp3+++=them
on ^in++++=on
a ^at++++=a
pocket ^nn++++=pocket
balance ^nn+nom+++=balance,
, ^zz++++=EXTRAWORD
pinched ^j+++xvbn+=pinched
their ^pp$+pp3+++=their
throats ^nns++++=throats,
, ^zz++++=EXTRAWORD
tested ^xvbn+++xvbn+=tested
the ^ati++++=the
knots ^nns++++=knots,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
calculated ^jj+++xvbn+=calculated
the ^ati++++=the
value ^nn++++=value
of ^in++++=of
their ^pp$+pp3+++=their
contents ^nns++++=contents
by ^in++++=by
several ^ap++++=several
methods ^nns++++=methods,
, ^zz++++=EXTRAWORD
distrusting ^jj+++xvbg+=distrusting
every ^at++++=every
result ^nn++++=result
and ^cc++++=and
beginning ^vbg+++xvbg+=beginning
anew ^nn+++??+=anew.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
weight ^nn++++=weight
to ^in++++=to
the ^ati++++=the
quarter ^nn++++=quarter-ounce.
- ^zz++++=EXTRAWORD
ounce ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
what ^wdt+who+whcl++=what
it ^pp3+it+++=it
represented ^vbd+++xvbn+=represented
at ^rb++++=at
sixteen ^cd++++=sixteen
dollars ^nns++++=dollars
to ^in++++=to
the ^ati++++=the
ounce ^nn++++=ounce,
, ^zz++++=EXTRAWORD
at ^rb++++=at
seventeen ^cd++++=seventeen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
the ^ati++++=the
extravagant ^jj+atrb+++=extravagant
rates ^nns++++=rates
reported ^vbd+vpub++xvbn+=reported
from ^in++++=from
Dawson ^np++++=Dawson.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
estimate ^nn+nom+++=estimate
how ^wrb+who+++=how
many ^ap++++=many
cabins ^nns++++=cabins,
, ^zz++++=EXTRAWORD
dogs ^nns++++=dogs,
, ^zz++++=EXTRAWORD
mules ^nns++++=mules,
, ^zz++++=EXTRAWORD
beans ^nns++++=beans,
, ^zz++++=EXTRAWORD
blankets ^nns++++=blankets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
souls ^nns++++=souls
might ^md+pos+++=might
be ^vb+be+aux++=be
purchased ^vpsv++agls+xvbnx+=purchased
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
even ^rb++splt++=even
calculated ^vprf+++xvbnx+=calculated
the ^ati++++=the
cost ^nn++++=cost
of ^in++++=of
taking ^xvbg+++xvbg+=taking
it ^pp3+it+++=it
Outside ^jjb++++=Outside,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
thought ^nn+++xvbn+=thought
of ^in++++=of
paying ^xvbg+++xvbg+=paying
freight ^nn++++=freight
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
pain ^nn++++=pain.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gold ^nn++++=gold
was ^vbd+bedz+vrb++=was
coarse ^jj+atrb+++=coarse
bench ^nn++++=bench-dust,
- ^zz++++=EXTRAWORD
dust ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
dark ^jj++++=dark
with ^in++++=with
black ^jj+atrb+++=black
sand ^nn++++=sand,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^in++++=to
Kent ^np++++=Kent
it ^pp3+it+++=it
possessed ^vbd+++xvbn+=possessed
an ^at++++=an
almost ^rb+hdg+++=almost
erotic ^jj+atrb+++=erotic
radiance ^nn+nom+++=radiance.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
the ^ati++++=the
candle ^nn++++=candle
it ^pp3+it+++=it
gleamed ^vbd+++xvbn+=gleamed
like ^in++++=like
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
captive ^jj+atrb+++=captive
serpents ^nns++++=serpents.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ran ^vbd+++xvbnx+=ran
it ^pp3+it+++=it
through ^in++++=through
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers,
, ^zz++++=EXTRAWORD
slowly ^rb+cnj+++=slowly,
, ^zz++++=EXTRAWORD
voluptuously ^jj++++=voluptuously,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
listened ^vpsv++agls+xvbn+=listened
to ^in++++=to
its ^pp$+it+++=its
soft ^jj+atrb+++=soft
gritty ^jj+atrb+++=gritty
whisper ^nn++++=whisper
upon ^in++++=upon
the ^ati++++=the
tin ^nn++++=tin
plate ^nn++++=plate.
. ^zz++++=EXTRAWORD
Cleopatra ^np++++=Cleopatra's
's ^$++++=EXTRAWORD
pearls ^nns++++=pearls
dissolved ^vwbn+++xvbn+=dissolved
in ^in++++=in
wine ^nn++++=wine
were ^vbd+bed+vrb++=were
vulgar ^jj+pred+++=vulgar
beside ^in+pl+++=beside
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
the ^ati++++=the
golden ^jj+atrb+++=golden
calf ^nn++++=calf
was ^vbd+bedz+vrb++=was
a ^at++++=a
trinket ^nn+++??+=trinket;
; ^zz++++=EXTRAWORD
Mammon ^np++++=Mammon
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
he ^pp3a+pp3+++=he
beheld ^nn+++??+=beheld
Kent ^np++++=Kent
crooning ^jj++++=crooning
over ^in++++=over
the ^ati++++=the
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
have ^vb+hv+aux++=have
recognized ^vprf+++xvbnx+=recognized
an ^at++++=an
embarrassing ^jj+atrb++xvbg+=embarrassing
disciple ^nn++++=disciple.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
gold ^nn++++=gold
attracts ^vbz++++=attracts
not ^xnot++not++=not
merely ^rb+down+++=merely
thieves ^vb++++=thieves.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
attracts ^vbz++++=attracts
the ^ati++++=the
idea ^nn++++=idea
of ^in++++=of
thieves ^nns++++=thieves,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
more ^rbr++++=more
industrious ^jj+pred+++=industrious.
. ^zz++++=EXTRAWORD
Kent ^np++++=Kent
dreamed ^vbd+vprv++xvbn+=dreamed
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
came ^vbd+++xvbnx+=came
nightly ^rb++++=nightly
through ^in++++=through
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
down ^rp++++=down
the ^ati++++=the
chimney ^nn++++=chimney,
, ^zz++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
moss ^np++++=moss-chinking,
- ^zz++++=EXTRAWORD
chinking ^jj+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
flour ^nn++++=flour-barrel.
- ^zz++++=EXTRAWORD
barrel ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
large ^jj+atrb+++=large
men ^nns++++=men,
, ^zz++++=EXTRAWORD
small ^jj+atrb+++=small
men ^nns++++=men,
, ^zz++++=EXTRAWORD
Indians ^nn++++=Indians,
, ^zz++++=EXTRAWORD
sailors ^nns++++=sailors,
, ^zz++++=EXTRAWORD
priests ^nns++++=priests,
, ^zz++++=EXTRAWORD
policemen ^nns++++=policemen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
respectable ^jj+atrb+++=respectable
merchants ^nns+nom+++=merchants.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
carried ^jj+atrb++xvbn+=carried
knives ^nns++++=knives;
; ^zz++++=EXTRAWORD
some ^dti++++=some
produced ^jj+atrb++xvbn+=produced
receipts ^nns++++=receipts;
; ^zz++++=EXTRAWORD
one ^cd1++++=one
claimed ^vbd+vpub++xvbn+=claimed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
government ^nn+nom+++=government
tax ^nn++++=tax-collector,
- ^zz++++=EXTRAWORD
collector ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
at ^in++++=at
which ^whp+rel+pied++=which
Kent ^np++++=Kent
awoke ^vbd+++xvbn+=awoke
screaming ^vbg+++xvbg+=screaming
more ^rbr++++=more
violently ^rb++++=violently
than ^in++++=than
usual ^nn++++=usual.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
frequently ^rb++++=frequently
there ^ex+pex+++=there
appeared ^vprf+++xvbn+=appeared
a ^at++++=a
broad ^jj++++=broad-shouldered
- ^zz++++=EXTRAWORD
shouldered ^vbd+++xvbn+=EXTRAWORD
man ^nn++++=man
with ^in++++=with
a ^at++++=a
red ^jj+atrb+++=red
gash ^nn++++=gash
descending ^vwbg+++xvbg+=descending
from ^in++++=from
the ^ati++++=the
left ^vbd+++xvbn+=left
temple ^npl++++=temple
to ^in++++=to
the ^ati++++=the
corner ^nn++++=corner
of ^in++++=of
the ^ati++++=the
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
phantom ^nn++++=phantom
never ^rb++++=never
spoke ^vbd+++xvbn+=spoke.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
merely ^rb+down+++=merely
smiled ^vbd+++xvbn+=smiled,
, ^zz++++=EXTRAWORD
laid ^jj+atrb++xvbn+=laid
one ^cd1++++=one
hand ^nn++++=hand
upon ^in++++=upon
the ^ati++++=the
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
the ^ati++++=the
other ^ap++++=other
cut ^xvbn+++xvbn+=cut
Kent ^np++++=Kent's
's ^$++++=EXTRAWORD
throat ^nn++++=throat.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sequence ^nn+nom+++=sequence
was ^vbd+bedz+vrb++=was
invariable ^jj+pred+++=invariable,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
Kent ^np++++=Kent,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
illogical ^jj+atrb+++=illogical
conservatism ^nn+nom+++=conservatism
of ^in++++=of
dreamers ^nns+nom+++=dreamers,
, ^zz++++=EXTRAWORD
never ^rb++++=never
profited ^vpsv++by+xvbn+=profited
by ^in++++=by
foreknowledge ^nn+++??+=foreknowledge.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hand ^nn++++=hand
descended ^vbd+++xvbn+=descended,
, ^zz++++=EXTRAWORD
the ^ati++++=the
knife ^nn++++=knife
flashed ^vbd+++xvbn+=flashed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
awoke ^vbd+++xvbnx+=awoke
clutching ^vbg+++xvbg+=clutching
his ^pp$+pp3+++=his
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
Thereafter ^nn+nom+++=Thereafter
he ^pp3a+pp3+++=he
would ^md+prd+++=would
light ^vb++++=light
the ^ati++++=the
candle ^nn++++=candle,
, ^zz++++=EXTRAWORD
examine ^vb++++=examine
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
inspect ^vb++++=inspect
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
thrust ^j+++xvbn+=thrust
a ^at++++=a
poker ^nn++++=poker
up ^rp++++=up
the ^ati++++=the
chimney ^nn++++=chimney,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
verify ^vb+vpub+++=verify
his ^pp$+pp3+++=his
treasure ^nn++++=treasure.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
he ^pp3a+pp3+++=he
moved ^vbd+++xvbnx+=moved
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
hid ^vbd+++xvbnx+=hid
it ^pp3+it+++=it
beneath ^in+pl+++=beneath
the ^ati++++=the
bunk ^nn++++=bunk,
, ^zz++++=EXTRAWORD
behind ^in+pl+++=behind
a ^at++++=a
log ^&fo++++=log,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
flour ^nn++++=flour,
