# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Many ^ap++++=Many
nervous ^jj++++=nervous,
, ^zz++++=EXTRAWORD
snuffling ^nn+nom+++=snuffling
man ^nn++++=man
whose ^whp+rel+obj++=whose
spectacles ^nns++++=spectacles
were ^vbd+bed+vrb++=were
always ^rb++++=always
greasy ^jj+pred+++=greasy,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
lent ^vprf+++xvbnx+=lent
him ^pp3o+pp3+++=him
the ^ati++++=the
book ^nn++++=book
after ^in++++=after
a ^at++++=a
christening ^nvbg+++xvbg+=christening.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
should ^md+nec+++=should
read ^vb+vprv++xvbn+=read
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Father ^nn++++=Father,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
schoolmaster ^nn+nom+++=schoolmaster
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
for ^in++++=for
doctrine ^nn++++=doctrine,
, ^zz++++=EXTRAWORD
naturally ^rb++++=naturally.
. ^zz++++=EXTRAWORD
Purely ^rb++++=Purely
as ^in++++=as
literature ^nn++++=literature."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Father ^nn++++=Father
Olympus ^np+++??+=Olympus
had ^vbd+hvd+aux++=had
frowned ^vprf+++xvbnx+=frowned
at ^in++++=at
the ^ati++++=the
word ^nn++++=word
" ^zz++++="literature."
literature ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
distrusted ^vbd+++xvbnx+=distrusted
words ^nns++++=words
that ^tht+rel+subj++=that
seemed ^vprf+++xvbn+=seemed
to ^to+vcmp+++=to
require ^vbi+vsua+++=require
spectacles ^nns++++=spectacles.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
volume ^nn++++=volume
was ^vbd+bedz+vrb++=was
thick ^jj+pred+++=thick,
, ^zz++++=EXTRAWORD
handsomely ^rb++++=handsomely
bound ^vbd+++xvbn+=bound,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
the ^ati++++=the
sweet ^jj+atrb+++=sweet
dusty ^jj+atrb+++=dusty
smell ^nn++++=smell
of ^in++++=of
old ^jj+atrb+++=old
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
it ^pp3+it+++=it
home ^nr++++=home.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
he ^pp3a+pp3+++=he
read ^vbd+vprv++xvbnx+=read
with ^in++++=with
suspicion ^nn++++=suspicion,
, ^zz++++=EXTRAWORD
moving ^vbg+++xvbg+=moving
his ^pp$+pp3+++=his
lips ^nns++++=lips
and ^cc++++=and
occasionally ^rb++++=occasionally
glancing ^vbg+++xvbg+=glancing
at ^in++++=at
the ^ati++++=the
title ^nn++++=title
page ^nn++++=page,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
count ^nn++++=count
might ^md+pos+++=might
creep ^vb++++=creep
out ^rp+pl+++=out
from ^in++++=from
behind ^in+pl+++=behind
a ^at++++=a
paragraph ^nn++++=paragraph
and ^cc++++=and
deny ^vb+vpub+++=deny
the ^ati++++=the
Holy ^jj+atrb+++=Holy
Trinity ^np+nom+++=Trinity.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
something ^pn++++=something
unexpected ^jj++++=unexpected
happened ^jj+++xvbn+=happened.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
forgot ^vbd+vprv++xvbnx+=forgot
to ^to+vcmp+++=to
be ^vbi++vrb++=be
cautious ^jj+pred+++=cautious.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
no ^at++++=no
celestial ^jj+atrb+++=celestial
ladders ^nns+nom+++=ladders,
, ^zz++++=EXTRAWORD
no ^at++++=no
brass ^nn++++=brass-tongued
- ^zz++++=EXTRAWORD
tongued ^jj+atrb++xvbn+=EXTRAWORD
prophets ^nns++++=prophets,
, ^zz++++=EXTRAWORD
no ^at++++=no
disputes ^nns++++=disputes
concerning ^in++++=concerning
the ^ati++++=the
procession ^nn++++=procession
of ^in++++=of
the ^ati++++=the
Holy ^jj+atrb+++=Holy
Ghost ^nn++++=Ghost.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
rooms ^nns++++=rooms,
, ^zz++++=EXTRAWORD
roads ^nns++++=roads,
, ^zz++++=EXTRAWORD
dogs ^nns++++=dogs,
, ^zz++++=EXTRAWORD
frightened ^jj+atrb++xvbn+=frightened
children ^nns++++=children,
, ^zz++++=EXTRAWORD
peasants ^nns+nom+++=peasants
coming ^vwbg+++xvbg+=coming
home ^nr++++=home
at ^in++++=at
dusk ^nn++++=dusk,
, ^zz++++=EXTRAWORD
a ^at++++=a
woman ^nn++++=woman
bending ^vwbg+++xvbg+=bending
over ^in++++=over
a ^at++++=a
cradle ^nn++++=cradle,
, ^zz++++=EXTRAWORD
a ^at++++=a
condemned ^jj+atrb++xvbn+=condemned
man ^nn++++=man
looking ^vwbg+++xvbg+=looking
through ^in++++=through
a ^at++++=a
barred ^jj+atrb++xvbn+=barred
window ^nn++++=window
at ^in++++=at
the ^ati++++=the
morning ^nn++++=morning
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
A ^at++++=A
tired ^jj+atrb++xvbn+=tired
horse ^nn++++=horse
stood ^vbd+++xvbn+=stood
in ^in++++=in
the ^ati++++=the
rain ^nn++++=rain
and ^cc++++=and
shook ^vbd+++xvbn+=shook
water ^nn++++=water
from ^in++++=from
its ^pp$+it+++=its
mane ^nn++++=mane.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
moths ^nns++++=moths
flew ^vbd+++xvbn+=flew
into ^in++++=into
a ^at++++=a
candle ^nn++++=candle
flame ^nn++++=flame,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
someone ^pn++++=someone
gently ^rb++++=gently
caught ^vwbn+++xvbn+=caught
them ^pp3o+pp3+++=them
in ^in++++=in
a ^at++++=a
handkerchief ^nn++++=handkerchief
and ^cc++++=and
released ^vwbn+++xvbn+=released
them ^pp3o+pp3+++=them
into ^in++++=into
the ^ati++++=the
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
passage ^npl+nom+++=passage
disturbed ^vbd+++xvbn+=disturbed
Father ^npt++++=Father
Olympus ^np+++??+=Olympus
most ^ap+emph+++=most.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
read ^vbd+vprv+tht0+xvbnx+=read
it ^pp3+it+++=it
twice ^rb+cnj+++=twice,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
closed ^vbd+++xvbn+=closed
the ^ati++++=the
book ^nn++++=book
and ^cc++++=and
stared ^vprf+++xvbn+=stared
at ^rb++++=at
the ^ati++++=the
lamp ^nn++++=lamp.
. ^zz++++=EXTRAWORD
The ^ati++++=The
moths ^nns++++=moths,
, ^zz++++=EXTRAWORD
foolish ^jj+atrb+++=foolish
little ^jj+atrb+++=little
things ^nns++++=things,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
struggled ^vprf+++xvbnx+=struggled
toward ^in++++=toward
the ^ati++++=the
flame ^nn++++=flame
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
mistook ^vbd+++xvbnx+=mistook
destruction ^nn+nom+++=destruction
for ^in++++=for
light ^nn++++=light.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hand ^nn++++=hand
that ^tht+rel+subj++=that
saved ^vwbn+++xvbn+=saved
them ^pp3o+pp3+++=them
received ^vbd+++xvbn+=received
no ^at++++=no
reward ^nn++++=reward.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
even ^rb++++=even
saw ^vbd+vprv++xvbn+=saw
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
the ^ati++++=the
saving ^jj+++xvbg+=saving
of ^in++++=of
those ^dt+dem+++=those
two ^cd++++=two
specks ^nns+++??+=specks
of ^in++++=of
life ^nn++++=life
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
Father ^vbi++++=Father
Olympus ^np+++??+=Olympus
more ^rbr++++=more
mysterious ^jj++++=mysterious
than ^in++++=than
certain ^jj+atrb+++=certain
miracles ^nns++++=miracles
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
attested ^jj++++=attested
by ^in++++=by
respectable ^jj+atrb+++=respectable
authorities ^nns+nom+++=authorities,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
never ^rb++splt++=never
touched ^vprf+++xvbnx+=touched
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Pasha,"
pasha ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
a ^at++++=a
moth ^nn++++=moth
flies ^nns++++=flies
into ^in++++=into
the ^ati++++=the
lamp ^nn++++=lamp,
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
kill ^vb++++=kill
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Pelageya ^np+++??+=Pelageya
Andreevna ^np+++??+=Andreevna
appeared ^vbd+seem++xvbn+=appeared
in ^in++++=in
the ^ati++++=the
doorway ^nn++++=doorway.
. ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+aux++=EXTRAWORD
you ^pp2+pp2+++=you
gone ^vbd+++xvbn+=gone
soft ^jj++++=soft
in ^in++++=in
the ^ati++++=the
head ^nn++++=head?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
it ^pp3+it+++=it
wants ^vbz++++=wants
to ^to+vcmp+++=to
live ^vbi++++=live."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
wants ^vbz++++=wants
to ^to+vcmp+++=to
burn ^vbi++++=burn,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
what ^wdt+who+++=what
it ^pp3+it+++=it
wants ^vbz++++=wants.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
you ^pp2+pp2+++=you
want ^vb++++=want
to ^to+vcmp+++=to
sit ^vbi++++=sit
till ^cs+sub+++=till
two ^cd++++=two
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
reading ^xvbg+++xvbg+=reading
forbidden ^vwbn+++xvbn+=forbidden
rubbish ^nn++++=rubbish
and ^cc++++=and
ruin ^nn++++=ruin
your ^pp$+pp2+++=your
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
A ^at++++=A
fine ^jj+atrb+++=fine
deacon ^np++++=deacon
you ^pp2+pp2+++=you'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
when ^wrb+who+++=when
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
blind ^jj+pred+++=blind."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
snatched ^vbd+++xvbnx+=snatched
the ^ati++++=the
lamp ^nn++++=lamp
chimney ^nn++++=chimney,
