# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Easter ^np++++=Easter
he ^pp3a+pp3+++=EXTRAWORD
had ^vb+hv+vrb++=had
a ^at++++=a
fine ^jj+atrb+++=fine
career ^nn++++=career,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
but ^cc++++=but
calculated ^jj+++xvbn+=calculated
the ^ati++++=the
dead ^jj+atrb+++=dead
man ^nn++++=man's
's ^$++++=EXTRAWORD
age ^nn++++=age;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
a ^at++++=a
comrade ^nn++++=comrade
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
years ^nns++++=years
was ^vbd+bedz+aux++=was
carried ^vpsv++agls+xvbnx+=carried
off ^rb+phrv+++=off
by ^in++++=by
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
remembered ^vbd+vprv++xvbnx+=remembered
for ^in++++=for
several ^ap++++=several
days ^nns++++=days
a ^at++++=a
certain ^jj+atrb+++=certain
heaviness ^nns+nom+++=heaviness
under ^in++++=under
his ^pp$+pp3+++=his
right ^jj+atrb+++=right
rib ^nn+++??+=rib.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
alarming ^jj+++xvbg+=alarming
of ^in++++=of
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
ceased ^vprf+++xvbnx+=ceased
to ^to++++=to
be ^vbi+vbi+aux++=be
surprised ^vpsv++agls+xvbnx+=surprised.
. ^zz++++=EXTRAWORD
Rain ^nn++++=Rain,
, ^zz++++=EXTRAWORD
love ^nn++++=love
affairs ^nns++++=affairs,
, ^zz++++=EXTRAWORD
dishonesty ^nn++++=dishonesty,
, ^zz++++=EXTRAWORD
courage ^nn+nom+++=courage,
, ^zz++++=EXTRAWORD
the ^ati++++=the
birth ^nn++++=birth
of ^in++++=of
children ^nns++++=children,
, ^zz++++=EXTRAWORD
the ^ati++++=the
blossoming ^nn++++=blossoming
of ^in++++=of
orchards ^nns++++=orchards
everything ^pn++++=everything
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
him ^vbi++++=him
to ^in++++=to
have ^vbi+vbi+aux++=have
happened ^vprf+++xvbnx+=happened
already ^rb+cnj+++=already,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
more ^ql++++=more
than ^cs+sub+++=than
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
condition ^nn+nom+++=condition,
, ^zz++++=EXTRAWORD
by ^in++++=by
no ^at++++=no
means ^nns++++=means
rare ^jj++++=rare
and ^cc++++=and
by ^in++++=by
no ^at++++=no
means ^nns++++=means
original ^nn+nom+++=original,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
nevertheless ^rb+cnj+++=nevertheless
regarded ^vbd+++xvbn+=regarded
as ^ql++++=as
a ^at++++=a
private ^jj+atrb+++=private
catastrophe ^nn++++=catastrophe.
. ^zz++++=EXTRAWORD
On ^in++++=On
his ^pp$+pp3+++=his
way ^nn++++=way
south ^np+pl+++=south
in ^in++++=in
the ^ati++++=the
spring ^nn++++=spring,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
free ^jj++++=free
for ^in++++=for
several ^ap++++=several
days ^nns++++=days,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
stopped ^vbd+++xvbnx+=stopped
in ^in++++=in
Moscow ^np++++=Moscow
and ^cc++++=and
resolved ^vb+++xvbn+=resolved
to ^to+vcmp+++=to
revisit ^vbi++++=revisit
the ^ati++++=the
places ^nns++++=places
of ^in++++=of
his ^pp$+pp3+++=his
childhood ^nn+nom+++=childhood.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
expected ^vbd+vprv++xvbnx+=expected
no ^at++++=no
miracle ^nn++++=miracle,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course;
; ^zz++++=EXTRAWORD
officers ^nns+nom+++=officers
of ^in++++=of
forty ^cd++++=forty
are ^vb+ber+vrb++=are
ashamed ^jj+pred+++=ashamed
of ^in++++=of
miracles ^nns++++=miracles.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
secretly ^rb+cnj+++=secretly,
, ^zz++++=EXTRAWORD
beneath ^in+pl+++=beneath
his ^pp$+pp3+++=his
scepticism ^nn+nom+++=scepticism,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
stirred ^vbd+++xvbn+=stirred
a ^at++++=a
hope ^vb++++=hope
that ^tht+vcmp+++=that
some ^dti++++=some
courtyard ^nn++++=courtyard,
, ^zz++++=EXTRAWORD
some ^dti++++=some
bell ^nn++++=bell,
, ^zz++++=EXTRAWORD
some ^dti++++=some
remembered ^jj+atrb++xvbn+=remembered
smell ^nn++++=smell
of ^in++++=of
apples ^nns++++=apples
or ^cc++++=or
varnished ^vbd+++xvbn+=varnished
school ^npl++++=school
desks ^nns++++=desks
would ^md+prd+++=would
open ^vb++++=open
in ^in++++=in
him ^pp3o+pp3+++=him
a ^at++++=a
concealed ^jj+atrb++xvbn+=concealed
door ^nn++++=door,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
through ^rp++++=through
it ^pp3+it+++=it
would ^md+prd+++=would
run ^vb+++xvbn+=run
the ^ati++++=the
boy ^nn++++=boy
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
been ^vprf+ben+vrb+xvbnx+=been
thin ^jj++++=thin-legged,
- ^zz++++=EXTRAWORD
legged ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
credulous ^jj++++=credulous,
, ^zz++++=EXTRAWORD
easily ^rb++++=easily
wounded ^jj+++xvbn+=wounded,
, ^zz++++=EXTRAWORD
always ^rb++++=always
hungry ^jj++++=hungry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
capable ^jj++++=capable
of ^in++++=of
happiness ^nns+nom+++=happiness
for ^in++++=for
no ^at++++=no
better ^jjr+atrb+++=better
reason ^nn++++=reason
than ^cs+sub+++=than
that ^dt+dem+++=that
the ^ati++++=the
sun ^nn++++=sun
was ^vbd+bedz+aux++=was
shining ^vbg+++xvbgx+=shining
on ^in++++=on
a ^at++++=a
red ^jj+atrb+++=red
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
first ^rb++++=first
went ^vbd+++xvbn+=went
to ^in++++=to
the ^ati++++=the
house ^nn++++=house
where ^wrb+who+++=where
his ^pp$+pp3+++=his
aunt ^nn++++=aunt
had ^vbd+hvd+aux++=had
lived ^vprf+++xvbnx+=lived.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
green ^jj+atrb+++=green
mansion ^nn++++=mansion
had ^vbd+hvd+aux++=had
disappeared ^vprf+++xvbnx+=disappeared.
. ^zz++++=EXTRAWORD
In ^in++++=In
its ^pp$+it+++=its
place ^nn++++=place
stood ^vbd+++xvbn+=stood
a ^at++++=a
yellow ^jj++++=yellow
building ^jj+++xvbg+=building
with ^in++++=with
plate ^nn++++=plate-glass
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
behind ^in+pl+++=behind
those ^dt+dem+++=those
windows ^nns++++=windows
were ^vbd+bed+vrb++=were
ladies ^nns++++=ladies'
' ^zz++++=EXTRAWORD
hats ^nns++++=hats
displayed ^vbd+++xvbn+=displayed
upon ^in++++=upon
stands ^nn++++=stands
shaped ^vbd+++xvbn+=shaped
like ^in++++=like
decapitated ^jj+atrb+++=decapitated
heads ^nns++++=heads.
. ^zz++++=EXTRAWORD
The ^ati++++=The
courtyard ^nn++++=courtyard,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
and ^cc++++=and
the ^ati++++=the
Yurlof ^np+++??+=Yurlof
children ^nns++++=children
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
dug ^vprf+++xvbnx+=dug
a ^at++++=a
fortress ^nns+nom+++=fortress
in ^in++++=in
the ^ati++++=the
snow ^nn++++=snow
and ^cc++++=and
defended ^vbd+++xvbn+=defended
it ^pp3+it+++=it
against ^in++++=against
three ^cd++++=three
cook ^nn++++=cook's
's ^$++++=EXTRAWORD
boys ^nns++++=boys,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
roofed ^vpsv++agls+xvbnx+=roofed
over ^in++++=over
with ^in++++=with
iron ^nn++++=iron
and ^cc++++=and
smelled ^vpsv++agls+xvbn+=smelled
of ^in++++=of
paraffin ^nn++++=paraffin,
, ^zz++++=EXTRAWORD
damp ^nn++++=damp
cloth ^nn++++=cloth
and ^cc++++=and
cabbage ^nn+nom+++=cabbage
soup ^nn++++=soup.
. ^zz++++=EXTRAWORD
A ^at++++=A
porter ^nn++++=porter
in ^in++++=in
an ^at++++=an
apron ^nn++++=apron
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
there ^rn+pl+++=there
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
garden ^nn++++=garden
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
lilac ^jj+atrb+++=lilac
bush ^nn++++=bush
by ^in++++=by
the ^ati++++=the
gate ^nn++++=gate,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Voznitsin ^np+++??+=Voznitsin
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Possibly
possibly ^rb++++=EXTRAWORD
before ^in++++=before
the ^ati++++=the
fire ^nn++++=fire,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
porter ^nn++++=porter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
his ^pp$+pp3+++=his
medals ^nns++++=medals.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
gymnasium ^nn++++=gymnasium
he ^pp3a+pp3+++=he
found ^vbd+vprv++xvbnx+=found
the ^ati++++=the
staircase ^nn++++=staircase
narrower ^jjr++++=narrower
than ^in++++=than
he ^pp3a+pp3+++=he
remembered ^vbd+vprv++xvbnx+=remembered,
, ^zz++++=EXTRAWORD
the ^ati++++=the
assembly ^nn++++=assembly
hall ^npl++++=hall
smaller ^jjr++++=smaller,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bronze ^jj+atrb+++=bronze
bust ^nn++++=bust
of ^in++++=of
the ^ati++++=the
emperor ^nn++++=emperor
newly ^rb++++=newly
polished ^jj++++=polished
and ^cc++++=and
stupidly ^rb++++=stupidly
cheerful ^jj++++=cheerful.
. ^zz++++=EXTRAWORD
A ^at++++=A
class ^nn++++=class
was ^vbd+bedz+aux++=was
reciting ^vbg+++xvbgx+=reciting
geography ^nn++++=geography
behind ^in+pl+++=behind
a ^at++++=a
closed ^jj+atrb++xvbn+=closed
door ^nn++++=door.
. ^zz++++=EXTRAWORD
The ^ati++++=The
thin ^jj+atrb+++=thin,
, ^zz++++=EXTRAWORD
uncertain ^jj+atrb+++=uncertain
voices ^nns++++=voices
named ^vbd+++xvbn+=named
rivers ^nns++++=rivers
and ^cc++++=and
provinces ^nns++++=provinces;
; ^zz++++=EXTRAWORD
chalk ^nn++++=chalk
squeaked ^vbd+++xvbn+=squeaked;
; ^zz++++=EXTRAWORD
somebody ^pn++++=somebody
was ^vbd+bedz+aux++=was
ordered ^vpsv++agls+xvbnx+=ordered
to ^to+vcmp+++=to
stand ^vbi++++=stand
in ^in++++=in
the ^ati++++=the
corner ^nn++++=corner.
. ^zz++++=EXTRAWORD
Nikolai ^np+++??+=Nikolai
Andreyevich ^np+++??+=Andreyevich
waited ^vbd+++xvbn+=waited
for ^in++++=for
his ^pp$+pp3+++=his
heart ^nn++++=heart
to ^in++++=to
contract ^nn++++=contract.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
did ^vbd+dod+vrb++=did
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
smelled ^vbd+++xvbnx+=smelled
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
ink ^nn++++=ink
and ^cc++++=and
wet ^jj+atrb+++=wet
wool ^nn++++=wool,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thought ^nn+++xvbn+=thought
only ^rb+down+++=only
that ^dt+pdem+++=that
boys ^vbz++++=boys
had ^vb+hv+vrb++=had
a ^at++++=a
disagreeable ^jj+atrb+++=disagreeable
odour ^nn++++=odour
when ^wrb+who+++=when
kept ^vbd+++xvbn+=kept
together ^nn+nom+++=together
in ^in++++=in
heated ^xvbn+++xvbn+=heated
rooms ^nns++++=rooms.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
Church ^nn++++=Church
of ^in++++=of
Saint ^nn++++=Saint
Nicholas ^np++++=Nicholas,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
his ^pp$+pp3+++=his
mother ^nn++++=mother
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
him ^pp3o+pp3+++=him
on ^in++++=on
feast ^nn++++=feast
days ^nns++++=days,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
new ^jj+atrb+++=new
icons ^nns++++=icons,
, ^zz++++=EXTRAWORD
new ^jj++++=new
gilding ^jj+++xvbg+=gilding
and ^cc++++=and
an ^at++++=an
old ^jj+atrb+++=old
beggar ^nn++++=beggar
who ^whp+rel+subj++=who
seized ^vbd+++xvbn+=seized
his ^pp$+pp3+++=his
sleeve ^nn++++=sleeve
with ^in++++=with
professional ^jj+atrb+++=professional
tenderness ^nns+nom+++=tenderness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
candles ^nns++++=candles
made ^vbd+++xvbn+=made
the ^ati++++=the
same ^ap++++=same
little ^ap++++=little
blue ^jj+atrb+++=blue
hearts ^nns++++=hearts
at ^in++++=at
their ^pp$+pp3+++=their
bases ^nns++++=bases;
; ^zz++++=EXTRAWORD
incense ^nn++++=incense
drifted ^vbd+++xvbn+=drifted
beneath ^in+pl+++=beneath
the ^ati++++=the
cupola ^nn++++=cupola;
; ^zz++++=EXTRAWORD
a ^at++++=a
deacon ^np++++=deacon's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
rolled ^vbd+++xvbn+=rolled
downward ^jjb++++=downward
like ^in++++=like
warm ^jj+atrb+++=warm,
, ^zz++++=EXTRAWORD
dark ^jj+atrb+++=dark
honey ^nn++++=honey.
. ^zz++++=EXTRAWORD
Still ^rb++++=Still
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Voznitsin ^np+++??+=Voznitsin
crossed ^vbd+++xvbn+=crossed
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
gave ^j+++xvbn+=gave
the ^ati++++=the
beggar ^nn++++=beggar
a ^at++++=a
silver ^nn++++=silver
coin ^nn++++=coin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
almost ^rb+hdg+++=almost
resentfully ^rb++++=resentfully.
. ^zz++++=EXTRAWORD
Toward ^in++++=Toward
evening ^nn++++=evening
he ^pp3a+pp3+++=he
wandered ^vbd+++xvbnx+=wandered
to ^in++++=to
the ^ati++++=the
boulevard ^&fw++++=boulevard.
. ^zz++++=EXTRAWORD
The ^ati++++=The
snow ^nn++++=snow
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
from ^in++++=from
the ^ati++++=the
open ^jj+atrb+++=open
places ^nns++++=places,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
grey ^jj+atrb+++=grey
ridges ^nns++++=ridges
remained ^vbd+++xvbn+=remained
under ^in++++=under
the ^ati++++=the
benches ^nns++++=benches;
; ^zz++++=EXTRAWORD
water ^nn++++=water
ran ^vbd+++xvbn+=ran
busily ^rb++++=busily
along ^in++++=along
the ^ati++++=the
gutters ^nns+nom+++=gutters,
, ^zz++++=EXTRAWORD
carrying ^vbg+++xvbg+=carrying
straws ^nns+++??+=straws,
, ^zz++++=EXTRAWORD
matchsticks ^nns+++??+=matchsticks
and ^cc++++=and
the ^ati++++=the
sodden ^jj+atrb+++=sodden
husks ^nns++++=husks
of ^in++++=of
sunflower ^jjr+atrb+++=sunflower
seeds ^nns++++=seeds.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
poplar ^vb+++??+=poplar
buds ^nns++++=buds
filled ^vbd+++xvbn+=filled
the ^ati++++=the
air ^nn++++=air
with ^in++++=with
their ^pp$+pp3+++=their
penetrating ^vbg+++xvbg+=penetrating
bitterness ^nns+nom+++=bitterness.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
smell ^nn++++=smell
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
meant ^vprf+++xvbnx+=meant
freedom ^nn+nom+++=freedom
to ^to+ncmp+++=to
him ^pp3o+pp3+++=him
the ^ati++++=the
removal ^nn++++=removal
of ^in++++=of
double ^jj+atrb+++=double
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
muddy ^jj+atrb+++=muddy
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
Easter ^np++++=Easter,
, ^zz++++=EXTRAWORD
excursions ^nns++++=excursions
beyond ^in++++=beyond
the ^ati++++=the
town ^nn++++=town
and ^cc++++=and
he ^pp3a+pp3+++=he
breathed ^vbd+++xvbnx+=breathed
it ^pp3+it+++=it
in ^in++++=in
deeply ^rb+cnj+++=deeply,
, ^zz++++=EXTRAWORD
even ^rb++++=even
greedily ^rb++++=greedily.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
memory ^nn++++=memory
did ^vbd+dod+aux++=did
not ^xnot++not++=not
come ^vb++++=come.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
a ^at++++=a
smell ^nn++++=smell,
, ^zz++++=EXTRAWORD
agreeable ^jj++++=agreeable
and ^cc+phrs+++=and
sad ^jj++++=sad,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beyond ^in++++=beyond
it ^pp3+it+++=it
an ^at++++=an
emptiness ^nns+nom+++=emptiness
which ^whp+rel+obj++=which
no ^at++++=no
effort ^nn++++=effort
could ^md+pos+++=could
fill ^vb++++=fill.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
all ^abn++++=all,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
places ^nns++++=places
remain ^vb++++=remain,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
they ^pp3a+pp3+++=they
do ^vb+do+aux++=do
not ^xnot++not++=not
remain ^vb++++=remain;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
either ^dtx++++=either
case ^nn++++=case
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
silent ^jj+pred+++=silent."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
dined ^vbd+++xvbnx+=dined
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
drank ^j+++xvbn+=drank
more ^rbr++++=more
wine ^nn++++=wine
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
afterward ^rb++++=afterward
stood ^vbd+++xvbn+=stood
before ^in++++=before
the ^ati++++=the
hotel ^nn++++=hotel
mirror ^nn++++=mirror,
, ^zz++++=EXTRAWORD
examining ^vbg+++xvbg+=examining
the ^ati++++=the
two ^cd++++=two
silver ^nn++++=silver
hairs ^nns++++=hairs
which ^whp+rel+subj++=which
had ^vb+hv+aux++=had
lately ^rb+tm+splt++=lately
appeared ^vprf+++xvbnx+=appeared
above ^rb++++=above
his ^pp$+pp3+++=his
left ^vbd+++xvbn+=left
temple ^npl++++=temple.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
the ^ati++++=the
electric ^jj++++=electric
light ^jj++++=light
his ^pp$+pp3+++=his
face ^nn++++=face
seemed ^vbd+seem++xvbn+=seemed
not ^xnot++not++=not
old ^jj++++=old
but ^cc+phrs+++=but
completed ^jj+++xvbn+=completed,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
no ^at++++=no
essential ^nn++++=essential
alteration ^nn+nom+++=alteration
could ^md+pos+++=could
now ^rn+tm+splt++=now
occur ^vb++++=occur
in ^in++++=in
it ^pp3+it+++=it
except ^in++++=except
decay ^nn++++=decay.
. ^zz++++=EXTRAWORD
" ^zz++++="Old
old ^jj+atrb+++=EXTRAWORD
age ^nn++++=age,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
aloud ^rb++++=aloud.
. ^zz++++=EXTRAWORD
The ^ati++++=The
words ^nns++++=words
sounded ^vbd+++xvbn+=sounded
