# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Deposition ^nn+nom+++=Deposition
origin ^nn++++=origin
of ^in++++=of
speech ^nn++++=speech.
. ^zz++++=EXTRAWORD
On ^in++++=On
these ^dt+dem+++=these
matters ^nns+nom+++=matters
I ^pp1a+pp1+++=I
can ^md+pos+++=can
offer ^vb++++=offer
almost ^rb+hdg+++=almost
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gate ^nn++++=gate
through ^in++++=through
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
has ^vbz+hvz+aux++=has
closed ^vprf+++xvbnx+=closed
behind ^rp+pl+++=behind
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
I ^pp1a+pp1+++=I
could ^md+pos+++=could
still ^rb++splt++=still
see ^vb+vprv+++=see
through ^rb+phrv+++=through
its ^pp$+it+++=its
narrowing ^vbg+++xvbg+=narrowing
crack ^jjb++++=crack
a ^at++++=a
branch ^nn++++=branch
moving ^vwbg+++xvbg+=moving
after ^cs+sub+++=after
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
a ^at++++=a
female ^jj+atrb+++=female's
's ^vbz+bez+vrb++0=EXTRAWORD
gray ^np++++=gray
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
the ^ati++++=the
red ^jj+atrb+++=red
pulp ^nn++++=pulp
of ^in++++=of
a ^at++++=a
fruit ^nn++++=fruit
crushed ^vwbn+++xvbn+=crushed
in ^in++++=in
my ^pp$+pp1+++=my
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
crack ^nn++++=crack
became ^vbd+++xvbn+=became
a ^at++++=a
bright ^jj+atrb+++=bright
line ^nn++++=line.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
even ^cs+sub+++=even
that ^dt+dem+++=that
line ^nn++++=line
is ^vbz+bez+aux++=is
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
modesty ^nn++++=modesty
that ^tht+rel+subj++=that
prevents ^vbz++++=prevents
me ^pp1o+pp1+++=me
from ^in++++=from
answering ^nn++++=answering.
. ^zz++++=EXTRAWORD
Modesty ^nn++++=Modesty,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
learned ^vprf+++xvbnx+=learned,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
useful ^jj+pred+++=useful
chiefly ^rb++++=chiefly
when ^wrb+who+++=when
accepting ^jj+atrb++xvbg+=accepting
applause ^nn++++=applause.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
truly ^rb++++=truly
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Human ^jj+atrb+++=Human
language ^nn+nom+++=language,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
served ^vprf+++xvbnx+=served
me ^pp1o+pp1+++=me
admirably ^rb++++=admirably
in ^in++++=in
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
contracts ^nns++++=contracts,
, ^zz++++=EXTRAWORD
interviews ^nns++++=interviews,
, ^zz++++=EXTRAWORD
railway ^nn++++=railway
stations ^nns+nom+++=stations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after-dinner
- ^zz++++=EXTRAWORD
dinner ^nn++++=EXTRAWORD
remarks ^nns++++=remarks,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
not ^xnot++not++=not
reach ^vb++++=reach
backward ^jj++++=backward
into ^in++++=into
my ^pp$+pp1+++=my
ape ^nn++++=ape
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
better ^jjr++++=better
I ^pp1a+pp1+++=I
learned ^vbd+++xvbnx+=learned
to ^to+vcmp+++=to
speak ^vbi++++=speak,
, ^zz++++=EXTRAWORD
the ^ati++++=the
less ^rbr++++=less
clearly ^rb++++=clearly
I ^pp1a+pp1+++=I
remembered ^vbd+vprv++xvbnx+=remembered
what ^wdt+who+whcl++=what
existed ^vbd+++xvbn+=existed
before ^in++++=before
speech ^nn++++=speech.
. ^zz++++=EXTRAWORD
Education ^nn+nom+++=Education
illuminated ^vbd+++xvbn+=illuminated
the ^ati++++=the
room ^nn++++=room
in ^in++++=in
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
burned ^vbd+++xvbn+=burned
the ^ati++++=the
corridor ^nn++++=corridor
behind ^in+pl+++=behind
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
follows ^vbz+vprv+++=follows
is ^vbz+bez+aux++=is
therefore ^rb+cnj+splt++=therefore
assembled ^vpsv++agls+xvbnx+=assembled
partly ^rb+down+++=partly
from ^in++++=from
memory ^nn++++=memory
and ^cc++++=and
partly ^rb+down+++=partly
from ^in++++=from
the ^ati++++=the
testimony ^nn++++=testimony
of ^in++++=of
men ^nns++++=men
who ^whp+rel+subj++=who
were ^vbd+bed+aux++=were
present ^vb++++=present,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
men ^nns++++=men
who ^whp+rel+subj++=who
shoot ^vb++++=shoot
at ^in++++=at
dusk ^nn++++=dusk,
, ^zz++++=EXTRAWORD
drink ^vb++++=drink
until ^in++++=until
dawn ^nn++++=dawn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
later ^rbr+tm+++=later
sell ^vb++++=sell
their ^pp$+pp3+++=their
reminiscences ^nns+nom+++=reminiscences
to ^in++++=to
newspapers ^nns+nom+++=newspapers
are ^vb+ber+vrb++=are
not ^xnot++not++=not
ideal ^jj+atrb+++=ideal
archivists ^nns+nom+++=archivists.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Academy ^nn++++=Academy
will ^md+prd+++=will
understand ^vb+vprv+++=understand
that ^tht+vcmp+++=that
history ^nn++++=history
frequently ^rb++++=frequently
rests ^vbz++++=rests
upon ^in++++=upon
worse ^jjr+atrb+++=worse
authorities ^nns+nom+++=authorities.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
captured ^vpsv++agls+xvbnx+=captured
near ^in+pl+++=near
the ^ati++++=the
coast ^nn++++=coast
by ^in++++=by
an ^at++++=an
expedition ^nn+nom+++=expedition
belonging ^vwbg+++xvbg+=belonging
to ^in++++=to
the ^ati++++=the
firm ^nn++++=firm
of ^in++++=of
Bruckner ^np+nom+++=Bruckner
& ^zz++++=&
Sons ^nns++++=Sons
of ^in++++=of
Hamburg ^np++++=Hamburg,
, ^zz++++=EXTRAWORD
suppliers ^nns+nom+++=suppliers
of ^in++++=of
animals ^nns+nom+++=animals
to ^in++++=to
zoological ^jj+atrb+++=zoological
gardens ^nns++++=gardens,
, ^zz++++=EXTRAWORD
private ^jj+atrb+++=private
collections ^nns+nom+++=collections,
, ^zz++++=EXTRAWORD
medical ^jj+atrb+++=medical
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
certain ^jj+atrb+++=certain
restaurants ^nns+nom+++=restaurants
that ^tht+rel+subj++=that
preferred ^vbd+++xvbn+=preferred
not ^xnot++not++=not
to ^to++++=to
print ^vbi++++=print
their ^pp$+pp3+++=their
complete ^jj+atrb+++=complete
bills ^nns++++=bills
of ^in++++=of
fare ^nn++++=fare.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
told ^vpsv++agls+xvbnx+=told
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
strong ^jj+atrb+++=strong
young ^jj+atrb+++=young
male ^nn++++=male
and ^cc++++=and
unusually ^rb++++=unusually
quick ^jj++++=quick
in ^in++++=in
the ^ati++++=the
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
last ^jj+atrb+++=last
judgment ^nn+nom+++=judgment
may ^md+pos+++=may
be ^vb+be+vrb++=be
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
end ^nn++++=end,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
saved ^vbd+++xvbn+=saved
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
inspired ^vbd+++xvbnx+=inspired
mercy ^nn++++=mercy.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hunters ^nns+nom+++=hunters
approached ^vbd+++xvbn+=approached
our ^pp$+pp1+++=our
feeding ^nvbg+++xvbg+=feeding
ground ^nn++++=ground
at ^in++++=at
twilight ^nn++++=twilight.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
shots ^nns++++=shots
struck ^vbd+++xvbn+=struck
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
entered ^vbd+++xvbn+=entered
beneath ^in+pl+++=beneath
the ^ati++++=the
left ^jj+atrb++xvbn+=left
shoulder ^nn+nom+++=shoulder
and ^cc++++=and
left ^vpsv++by+xvbn+=left
by ^in++++=by
the ^ati++++=the
back ^nn++++=back.
. ^zz++++=EXTRAWORD
The ^ati++++=The
scar ^nn++++=scar
remains ^nns++++=remains,
, ^zz++++=EXTRAWORD
broad ^jj++++=broad
and ^cc+phrs+++=and
shiny ^jj++++=shiny,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
during ^in++++=during
wet ^jj+atrb+++=wet
weather ^nn++++=weather
it ^pp3+it+++=it
pulls ^vbz++++=pulls
as ^cs+sub+++=as
if ^cs+cnd+++=if
a ^at++++=a
hook ^nn++++=hook
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
fastened ^vpsv++agls+xvbnx+=fastened
inside ^rp+pl+++=inside
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
shot ^vbd+++xvbn+=shot
lodged ^vprf+++xvbn+=lodged
in ^in++++=in
the ^ati++++=the
upper ^jjb+atrb+++=upper
thigh ^nn++++=thigh,
, ^zz++++=EXTRAWORD
close ^vb++++=close
enough ^qlp++++=enough
to ^in++++=to
a ^at++++=a
delicate ^jj+atrb+++=delicate
region ^nn++++=region
that ^tht+rel+obj++=that
the ^ati++++=the
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
men ^nns++++=men
later ^rbr+tm+++=later
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
matter ^nn++++=matter
inexhaustibly ^jj++++=inexhaustibly
funny ^jj++++=funny.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bullet ^nn++++=bullet
was ^vbd+bedz+aux++=was
never ^rb++splt++=never
removed ^vpsv++agls+xvbnx+=removed.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
with ^in++++=with
me ^pp1o+pp1+++=me
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
gentlemen ^nns++++=gentlemen,
, ^zz++++=EXTRAWORD
a ^at++++=a
small ^jj+atrb+++=small
European ^jj+atrb+++=European
contribution ^nn+nom+++=contribution
introduced ^vwbn+++xvbn+=introduced
before ^in++++=before
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
European ^jj+atrb+++=European
culture ^nn++++=culture.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
fell ^vbd+++xvbnx+=fell
from ^in++++=from
a ^at++++=a
low ^jj+atrb+++=low
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
I ^pp1a+pp1+++=I
cried ^vbd+++xvbnx+=cried
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
attacked ^j+++xvbn+=attacked,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
crawl ^vbi++++=crawl
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
A ^at++++=A
sailor ^nn++++=sailor
who ^whp+rel+subj++=who
claimed ^vbd+vpub++xvbn+=claimed
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
helped ^vprf+++xvbnx+=helped
bind ^nn++++=bind
me ^pp1o+pp1+++=me
stated ^vbd+vpub++xvbn+=stated
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
bit ^nn++++=bit
through ^in++++=through
a ^at++++=a
leather ^nn++++=leather
strap ^nn++++=strap
and ^cc++++=and
broke ^vbd+++xvbn+=broke
one ^cd1++++=one
man ^nn++++=man's
's ^$++++=EXTRAWORD
thumb ^nn++++=thumb.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
insisted ^vb+++xvbn+=insisted
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
lay ^vbd+++xvbnx+=lay
peacefully ^rb++++=peacefully
and ^cc++++=and
watched ^vbd+++xvbn+=watched
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
accounts ^nns++++=accounts
were ^vbd+bed+aux++=were
published ^vpsv++agls+xvbnx+=published.
. ^zz++++=EXTRAWORD
The ^ati++++=The
peaceful ^jj+atrb+++=peaceful
version ^nn++++=version
appeared ^vbd+seem++xvbn+=appeared
in ^in++++=in
a ^at++++=a
family ^nn++++=family
magazine ^nn++++=magazine;
; ^zz++++=EXTRAWORD
the ^ati++++=the
broken ^jj+atrb++xvbn+=broken
thumb ^nn++++=thumb
was ^vbd+bedz+aux++=was
preferred ^vpsv++by+xvbnx+=preferred
by ^in++++=by
the ^ati++++=the
illustrated ^jj+atrb++xvbn+=illustrated
weeklies ^nns++++=weeklies.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
regained ^vbd+++xvbnx+=regained
a ^at++++=a
durable ^jj+atrb+++=durable
awareness ^nns+nom+++=awareness
of ^in++++=of
my ^pp$+pp1+++=my
surroundings ^nns++++=surroundings,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
aboard ^in+pl+++=aboard
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
cage ^nn++++=cage
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
properly ^rb++++=properly
speaking ^jj+++xvbg+=speaking,
, ^zz++++=EXTRAWORD
a ^at++++=a
cage ^nn++++=cage.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
packing ^xvbg+++xvbg+=packing
frame ^vb++++=frame
boarded ^vbd+++xvbn+=boarded
on ^in++++=on
three ^cd++++=three
sides ^nns++++=sides
and ^cc++++=and
barred ^vpsv++agls+xvbn+=barred
on ^in++++=on
the ^ati++++=the
fourth ^rb+cnj+++=fourth,
, ^zz++++=EXTRAWORD
placed ^xvbn+++xvbn+=placed
between ^in++++=between
the ^ati++++=the
rail ^nn++++=rail
and ^cc++++=and
a ^at++++=a
stack ^nn++++=stack
of ^in++++=of
casks ^nns++++=casks.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
height ^nn++++=height
did ^vbd+dod+aux++=did
not ^xnot++not++=not
allow ^vb++++=allow
me ^pp1o+pp1+++=me
to ^to++++=to
stand ^vbi++++=stand.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
length ^nn++++=length
did ^vbd+dod+aux++=did
not ^xnot++not++=not
permit ^vb++++=permit
me ^pp1o+pp1+++=me
to ^to++++=to
stretch ^vbi++++=stretch.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
crouched ^vbd+++xvbnx+=crouched
with ^in++++=with
my ^pp$+pp1+++=my
back ^jjb++++=back
against ^in++++=against
the ^ati++++=the
boards ^nns++++=boards,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bars ^nns++++=bars
touched ^vbd+++xvbn+=touched
my ^pp$+pp1+++=my
knees ^nns++++=knees;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
wound ^nn+++xvbn+=wound
scraped ^vbd+++xvbn+=scraped
the ^ati++++=the
timber ^nn++++=timber.
. ^zz++++=EXTRAWORD
Above ^rb++++=Above
me ^pp1o+pp1+++=me
hung ^vbd+++xvbn+=hung
a ^at++++=a
coil ^nn++++=coil
of ^in++++=of
rope ^nn++++=rope,
, ^zz++++=EXTRAWORD
always ^rb++++=always
wet ^jj++++=wet.
. ^zz++++=EXTRAWORD
Below ^rb++++=Below
me ^pp1o+pp1+++=me
was ^vbd+bedz+vrb++=was
a ^at++++=a
grating ^nn++++=grating
through ^in++++=through
which ^whp+rel+pied++=which
urine ^nn++++=urine,
, ^zz++++=EXTRAWORD
seawater ^jjr++++=seawater,
, ^zz++++=EXTRAWORD
tobacco ^nn++++=tobacco
juice ^nn++++=juice,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
soup ^nn++++=soup
passed ^vbd+++xvbn+=passed
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
The ^ati++++=The
arrangement ^nn+nom+++=arrangement
was ^vbd+bedz+vrb++=was
efficient ^jj+pred+++=efficient.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
leap ^vb++++=leap,
, ^zz++++=EXTRAWORD
run ^j+++xvbn+=run,
, ^zz++++=EXTRAWORD
climb ^vb++++=climb,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
even ^rb++++=even
scratch ^nn++++=scratch
myself ^ppl+pp1+++=myself
properly ^rb++++=properly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
men ^nns++++=men
had ^vbd+hvd+aux++=had
removed ^vprf+++xvbnx+=removed
the ^ati++++=the
fleas ^nns++++=fleas
they ^pp3a+pp3+++=they
could ^md+pos+++=could
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
vigorous ^jj+atrb+++=vigorous
colony ^nn++++=colony
survived ^vbd+++xvbn+=survived
beneath ^rb++++=beneath
my ^pp$+pp1+++=my
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
lacked ^vbd+++xvbnx+=lacked
sufficient ^jj+atrb+++=sufficient
room ^nn++++=room
to ^to++++=to
negotiate ^nn+nom+++=negotiate
with ^in++++=with
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
folded ^jj+++xvbn+=folded
into ^in++++=into
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
Permit ^vb++++=Permit
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
gentlemen ^nns++++=gentlemen,
, ^zz++++=EXTRAWORD
to ^to++++=to
emphasize ^vbi++++=emphasize
one ^cd1++++=one
point ^nn++++=point.
. ^zz++++=EXTRAWORD
In ^cs+sub+++=In
that ^cs"++++=that
box ^nn++++=box
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
long ^rb++++=long
for ^in++++=for
freedom ^nn+nom+++=freedom.
. ^zz++++=EXTRAWORD
The ^ati++++=The
word ^nn++++=word
is ^vbz+bez+aux++=is
admired ^vpsv++agls+xvbnx+=admired
among ^in++++=among
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
shouted ^vpsv++agls+xvbnx+=shouted
in ^in++++=in
parliaments ^nns+nom+++=parliaments,
, ^zz++++=EXTRAWORD
printed ^j+++xvbn+=printed
beneath ^in+pl+++=beneath
eagles ^nns++++=eagles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sung ^vpsv++by+xvbn+=sung
by ^in++++=by
men ^nns++++=men
marching ^vwbg+++xvbg+=marching
in ^in++++=in
identical ^jj+atrb+++=identical
boots ^nns++++=boots.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
watched ^vprf+++xvbnx+=watched
trapeze ^nn++++=trapeze
artists ^nns+nom+++=artists
fly ^vb++++=fly
from ^in++++=from
hand ^nn++++=hand
to ^in++++=to
hand ^nn++++=hand
under ^in++++=under
a ^at++++=a
painted ^jj+atrb++xvbn+=painted
ceiling ^nn+nom+++=ceiling
while ^cs+sub+++=while
the ^ati++++=the
audience ^nn+nom+++=audience
gasped ^vbd+++xvbn+=gasped,
, ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
free ^jj++++=free!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
net ^nn++++=net
below ^in+strn+++=below,
, ^zz++++=EXTRAWORD
a ^at++++=a
manager ^nn++++=manager
at ^in++++=at
the ^ati++++=the
curtain ^nn++++=curtain,
, ^zz++++=EXTRAWORD
a ^at++++=a
contract ^nn++++=contract
in ^in++++=in
the ^ati++++=the
office ^nn++++=office,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
supper ^nn++++=supper
only ^rb+down+++=only
after ^in++++=after
the ^ati++++=the
final ^jj+atrb+++=final
bow ^nn++++=bow.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
criticize ^vb++++=criticize
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
merely ^rb+down+++=merely
observe ^vb+vprv+++=observe
that ^tht+vcmp+++=that
freedom ^nn+nom+++=freedom
is ^vbz+bez+vrb++=is
often ^rb++++=often
the ^ati++++=the
name ^nn++++=name
given ^vwbn+++xvbn+=given
to ^in++++=to
a ^at++++=a
well ^rb++++=well-rehearsed
- ^zz++++=EXTRAWORD
rehearsed ^jj+atrb+++=EXTRAWORD
movement ^nn+nom+++=movement
inside ^jjb+atrb+++=inside
agreed ^jj+atrb++xvbn+=agreed
limits ^nns++++=limits.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
desire ^nn++++=desire
freedom ^nn+nom+++=freedom.
. ^zz++++=EXTRAWORD
Freedom ^nn+nom+++=Freedom
would ^md+prd+++=would
have ^vb+hv+aux++=have
meant ^vprf+++xvbnx+=meant
breaking ^vbg+++xvbg+=breaking
the ^ati++++=the
bars ^nns++++=bars,
, ^zz++++=EXTRAWORD
crossing ^vbg+++xvbg+=crossing
a ^at++++=a
deck ^nn++++=deck
full ^jj++++=full
of ^in++++=of
armed ^xvbn+++xvbn+=armed
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
entering ^vbg+++xvbg+=entering
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
had ^vb+hv+aux++=had
I ^pp1a+pp1+++=I
succeeded ^vbd+++xvbnx+=succeeded,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sea ^nn++++=sea
would ^md+prd+++=would
have ^vb+hv+aux++=have
freed ^vprf+++xvbnx+=freed
me ^pp1o+pp1+++=me
thoroughly ^rb+amp+++=thoroughly
and ^cc++++=and
for ^in++++=for
a ^at++++=a
short ^jj+atrb+++=short
duration ^nn+nom+++=duration.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
I ^pp1a+pp1+++=I
