# ^zz++++=##
# ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I.
hired ^jj+atrb++xvbn+=hired
labor ^nn++++=labor,
, ^zz++++=EXTRAWORD
interest ^nn++++=interest
on ^in++++=on
the ^ati++++=the
mortgage ^nn+nom+++=mortgage,
, ^zz++++=EXTRAWORD
repairs ^nns++++=repairs
to ^in++++=to
the ^ati++++=the
reaper ^nn++++=reaper,
, ^zz++++=EXTRAWORD
twine ^nn+++??+=twine,
, ^zz++++=EXTRAWORD
taxes ^nns++++=taxes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
hauling ^nn+nom+++=hauling
of ^in++++=of
the ^ati++++=the
crop ^nn++++=crop
eleven ^cd++++=eleven
miles ^nns++++=miles
to ^in++++=to
the ^ati++++=the
elevator ^nn++++=elevator.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
did ^vbd+dod+aux++=did
not ^xnot++not++=not
include ^vb++++=include
his ^pp$+pp3+++=his
own ^ap++++=own
work ^nn++++=work,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
Emma ^np++++=Emma's,
's, ^nn+++??+=EXTRAWORD
nor ^cc++neg++=nor
the ^ati++++=the
gradual ^nn++++=gradual
wearing ^vwbg+++xvbg+=wearing-out
- ^zz++++=EXTRAWORD
out ^rp+pl+++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
At ^rb++++=At
sixty ^cd++++=sixty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
cents ^nns++++=cents
every ^at++++=every
bushel ^nn++++=bushel
sold ^vwbn+++xvbn+=sold
enlarged ^vbd+++xvbn+=enlarged
his ^pp$+pp3+++=his
debt ^nn++++=debt.
. ^zz++++=EXTRAWORD
All ^abn++++=All
summer ^nn++++=summer
the ^ati++++=the
wheat ^nn++++=wheat
had ^vbd+hvd+aux++=had
stood ^vprf+++xvbnx+=stood
high ^jj++++=high
and ^cc+phrs+++=and
yellow ^jj++++=yellow
across ^in+pl+++=across
the ^ati++++=the
Kansas ^np++++=Kansas
land ^nn++++=land,
, ^zz++++=EXTRAWORD
flowing ^vbg+++xvbg+=flowing
to ^in++++=to
the ^ati++++=the
horizon ^nn++++=horizon
in ^in++++=in
one ^cd1++++=one
enormous ^jj+atrb+++=enormous,
, ^zz++++=EXTRAWORD
opulent ^jj+atrb+++=opulent
tide ^nn++++=tide.
. ^zz++++=EXTRAWORD
Sam ^nn++++=Sam
had ^vbd+hvd+aux++=had
watched ^vprf+++xvbnx+=watched
it ^pp3+it+++=it
thicken ^vb++++=thicken,
, ^zz++++=EXTRAWORD
watched ^j+++xvbn+=watched
the ^ati++++=the
heads ^nns++++=heads
fill ^vb++++=fill,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
crushed ^vprf+++xvbnx+=crushed
the ^ati++++=the
kernels ^nns+++??+=kernels
between ^in++++=between
his ^pp$+pp3+++=his
teeth ^nns++++=teeth
and ^cc++++=and
found ^vbd+vprv++xvbn+=found
them ^pp3o+pp3+++=them
hard ^jj++++=hard
and ^cc++++=and
sound ^nn++++=sound.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
forty ^cd++++=forty
bushels ^nns+++??+=bushels
to ^in++++=to
the ^ati++++=the
acre ^nn++++=acre.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
never ^rb++splt++=never
raised ^vprf+++xvbnx+=raised
a ^at++++=a
better ^jjr+atrb+++=better
crop ^nn++++=crop.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
in ^in++++=in
Chicago ^np++++=Chicago
Truslow ^np+++??+=Truslow,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Great ^nn++++=Great
Bear ^vb+vprv+++=Bear,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
his ^pp$+pp3+++=his
campaign ^nn++++=campaign.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
and ^cc++++=and
his ^pp$+pp3+++=his
following ^xvbg+++xvbg+=following
sold ^vbd+++xvbn+=sold
wheat ^nn++++=wheat
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
own ^ap++++=own,
, ^zz++++=EXTRAWORD
sold ^xvbn+++xvbn+=sold
it ^pp3+it+++=it
for ^in++++=for
December ^nr+nom+++=December,
, ^zz++++=EXTRAWORD
for ^in++++=for
January ^nr+nom+++=January,
, ^zz++++=EXTRAWORD
for ^in++++=for
May ^md+pos+++=May;
; ^zz++++=EXTRAWORD
sold ^xvbn+++xvbn+=sold
it ^pp3+it+++=it
in ^in++++=in
ten ^cd++++=ten
thousand ^cd++++=thousand-bushel
- ^zz++++=EXTRAWORD
bushel ^nn+++??+=EXTRAWORD
lots ^nns++++=lots,
, ^zz++++=EXTRAWORD
in ^in++++=in
fifty ^cd++++=fifty
thousand ^cd++++=thousand,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
hundred ^cd++++=hundred
thousand ^cd++++=thousand;
; ^zz++++=EXTRAWORD
sold ^xvbn+++xvbn+=sold
it ^pp3+it+++=it
yesterday ^nr+tm+++=yesterday
and ^cc++++=and
promised ^vb+++xvbn+=promised
to ^to+vcmp+++=to
deliver ^vbi++++=deliver
it ^pp3+it+++=it
months ^nns++++=months
afterward ^rb++++=afterward.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
brokers ^nns+nom+++=brokers
hammered ^vbd+++xvbn+=hammered
the ^ati++++=the
price ^nn++++=price
in ^in++++=in
the ^ati++++=the
Pit ^nn++++=Pit.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
decline ^vb++++=decline
frightened ^jj+atrb++xvbn+=frightened
holders ^nns+nom+++=holders
into ^in++++=into
selling ^xvbg+++xvbg+=selling;
; ^zz++++=EXTRAWORD
each ^dt++++=each
fresh ^jj+atrb+++=fresh
sale ^nn++++=sale
forced ^vwbn+++xvbn+=forced
another ^ppls++++=another
decline ^vb++++=decline.
. ^zz++++=EXTRAWORD
Elevators ^nns++++=Elevators
were ^vbd+bed+vrb++=were
full ^jj+pred+++=full,
, ^zz++++=EXTRAWORD
the ^ati++++=the
visible ^jj+atrb+++=visible
supply ^nn++++=supply
was ^vbd+bedz+vrb++=was
enormous ^jj+pred+++=enormous,
, ^zz++++=EXTRAWORD
Europe ^np++++=Europe
bought ^vbd+++xvbn+=bought
sparingly ^rb++++=sparingly.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Bear ^nn++++=Bear
party ^nn++++=party
struck ^vbd+++xvbn+=struck
and ^cc+phrs+++=and
struck ^vbd+++xvbn+=struck
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
The ^ati++++=The
price ^nn++++=price
went ^vbd+++xvbn+=went
to ^to++++=to
seventy ^cd++++=seventy
cents ^nns++++=cents,
, ^zz++++=EXTRAWORD
to ^to++++=to
sixty ^cd++++=sixty-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
to ^to++++=to
sixty ^cd++++=sixty-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
At ^rb++++=At
sixty ^cd++++=sixty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
the ^ati++++=the
farmers ^nns+nom+++=farmers
began ^vbd+++xvbn+=began
to ^to++++=to
die ^vbi++++=die.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
afternoon ^nn++++=afternoon
when ^wrb+who+++=when
the ^ati++++=the
news ^nn++++=news
reached ^vbd+++xvbn+=reached
Black ^jj+atrb+++=Black
Hawk ^np+++??+=Hawk,
, ^zz++++=EXTRAWORD
Sam ^np++++=Sam
sat ^vbd+++xvbn+=sat
on ^in++++=on
the ^ati++++=the
rear ^jjb+atrb+++=rear
step ^nn++++=step
of ^in++++=of
the ^ati++++=the
ranch ^nn++++=ranch
house ^nn++++=house,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
elbows ^nns++++=elbows
on ^in++++=on
his ^pp$+pp3+++=his
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hands ^nns++++=hands
hanging ^vwbg+++xvbg+=hanging
limp ^jj++++=limp.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
the ^ati++++=the
sheds ^nns++++=sheds
the ^ati++++=the
stubble ^nn++++=stubble
fields ^nns++++=fields
stretched ^vwbn+++xvbn+=stretched
away ^rp+pl+++=away
under ^in++++=under
the ^ati++++=the
white ^jj+atrb+++=white
October ^nr++++=October
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
A ^at++++=A
windmill ^nn++++=windmill
complained ^vbd+vpub++xvbn+=complained
at ^in++++=at
intervals ^nns+nom+++=intervals,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
a ^at++++=a
quarter ^nn++++=quarter
circle ^nn++++=circle
and ^cc++++=and
stopping ^nvbg+++xvbg+=stopping.
. ^zz++++=EXTRAWORD
Emma ^np++++=Emma
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
the ^ati++++=the
kitchen ^nn++++=kitchen,
, ^zz++++=EXTRAWORD
wiping ^vbg+++xvbg+=wiping
her ^pp$+pp3+++=her
hands ^nns++++=hands
upon ^in++++=upon
her ^pp$+pp3+++=her
apron ^nn++++=apron.
. ^zz++++=EXTRAWORD
" ^zz++++="Well?"
well ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
look ^vb++++=look
up ^rp++++=up.
. ^zz++++=EXTRAWORD
" ^zz++++="Sixty-two."
sixty ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
time ^nn++++=time
she ^pp3a+pp3+++=she
stood ^vbd+++xvbnx+=stood
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
outcry ^nn++++=outcry.
. ^zz++++=EXTRAWORD
The ^ati++++=The
foreclosure ^nn+++??+=foreclosure
had ^vb+hv+aux++=had
already ^rb++splt++=already
been ^vprf+ben+aux+xvbnx+=been
discussed ^vpsv++agls+xvbnx+=discussed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sale ^nn++++=sale
of ^in++++=of
the ^ati++++=the
stock ^nn++++=stock
calculated ^vwbn+++xvbn+=calculated,
, ^zz++++=EXTRAWORD
the ^ati++++=the
value ^nn++++=value
of ^in++++=of
the ^ati++++=the
machinery ^nn+nom+++=machinery
guessed ^vbd+vprv++xvbn+=guessed
at ^rb++++=at.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
beyond ^in++++=beyond
surprise ^nn++++=surprise.
. ^zz++++=EXTRAWORD
" ^zz++++="Delaney
delaney ^np++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
work ^nn++++=work
in ^in++++=in
Chicago ^np++++=Chicago,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sam ^nn++++=Sam
said ^vbd+vpub++xvbn+=said
at ^rb++++=at
last ^rb"++++=last.
. ^zz++++=EXTRAWORD
" ^zz++++="Elevators.
elevators ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Packing ^nvbg+++xvbg+=Packing
houses ^nns++++=houses.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
can ^md+pos+++=can
get ^vb++++=get
two ^cd++++=two
dollars ^nns++++=dollars
a ^at++++=a
day ^nn++++=day."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Emma ^np++++=Emma
looked ^vbd+++xvbn+=looked
across ^in+pl+++=across
the ^ati++++=the
fields ^nns++++=fields.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wheat ^nn++++=wheat
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
to ^in++++=to
the ^ati++++=the
Black ^jj+atrb+++=Black
Hawk ^np+++??+=Hawk
elevator ^nn++++=elevator
three ^cd++++=three
weeks ^nns++++=weeks
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
land ^nn++++=land
seemed ^vbd+seem++xvbn+=seemed
still ^jj+pred+++=still
full ^jj++++=full
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
every ^at++++=every
furrow ^nn++++=furrow
held ^vbd+vprv++xvbn+=held
the ^ati++++=the
labor ^nn++++=labor
of ^in++++=of
their ^pp$+pp3+++=their
years ^nns++++=years.
. ^zz++++=EXTRAWORD
" ^zz++++="Will
will ^md+prd+++=EXTRAWORD
they ^pp3a+pp3+++=they
take ^vb++++=take
the ^ati++++=the
house ^nn++++=house?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They'll
they ^pp3a+pp3+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
take ^vb++++=take
everything ^pn++++=everything."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
words ^nns++++=words
fell ^vbd+++xvbn+=fell
into ^in+ppvb+++=into
the ^ati++++=the
great ^jj+atrb+++=great
quiet ^nn++++=quiet.
. ^zz++++=EXTRAWORD
Somewhere ^rb++++=Somewhere
behind ^in+pl+++=behind
the ^ati++++=the
barn ^nn++++=barn
a ^at++++=a
hen ^nn++++=hen
cackled ^vbd+++xvbn+=cackled.
. ^zz++++=EXTRAWORD
The ^ati++++=The
windmill ^np++++=windmill
moved ^vbd+++xvbn+=moved
again ^rb+tm+++=again
with ^in++++=with
a ^at++++=a
rusty ^np++++=rusty,
, ^zz++++=EXTRAWORD
complaining ^vbg+vpub++xvbg+=complaining
cry ^nn++++=cry.
. ^zz++++=EXTRAWORD
In ^in++++=In
November ^nr+nom+++=November
the ^ati++++=the
ranch ^nn++++=ranch
was ^vbd+bedz+aux++=was
sold ^vpsv++by+xvbnx+=sold
by ^in++++=by
order ^nn++++=order
of ^in++++=of
the ^ati++++=the
mortgage ^nn+nom+++=mortgage
company ^nn++++=company.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horses ^nns++++=horses
brought ^vbd+++xvbn+=brought
less ^rbr++++=less
than ^in++++=than
half ^abn++++=half
their ^pp$+pp3+++=their
value ^nn++++=value.
. ^zz++++=EXTRAWORD
The ^ati++++=The
reaper ^nn++++=reaper,
, ^zz++++=EXTRAWORD
for ^in++++=for
which ^whp+rel+pied++=which
Sam ^np++++=Sam
still ^rb++++=still
owed ^vbd+++xvbn+=owed
seventy ^cd++++=seventy
dollars ^nns++++=dollars,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
knocked ^vpsv++agls+xvbnx+=knocked
down ^rb+phrv+++=down
for ^in++++=for
thirty ^cd++++=thirty-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
the ^ati++++=the
judgments ^nns+nom+++=judgments
and ^cc++++=and
costs ^nns++++=costs
were ^vbd+bed+aux++=were
paid ^vpsv++agls+xvbnx+=paid,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Lewistons ^np+++??+=Lewistons
possessed ^vbd+++xvbn+=possessed
one ^cd1++++=one
trunk ^nn++++=trunk,
, ^zz++++=EXTRAWORD
two ^cd++++=two
valises ^nns++++=valises,
, ^zz++++=EXTRAWORD
eighty ^cd++++=eighty-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
dollars ^nns++++=dollars
in ^in++++=in
cash ^nn++++=cash,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
railroad ^nn++++=railroad
tickets ^nns++++=tickets
to ^in++++=to
Chicago ^np++++=Chicago.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
went ^vbd+++xvbnx+=went
east ^np+pl+++=east
in ^in++++=in
an ^at++++=an
emigrant ^jj+atrb+++=emigrant
car ^nn++++=car,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
beside ^in+pl+++=beside
the ^ati++++=the
track ^nn++++=track,
, ^zz++++=EXTRAWORD
mile ^nn++++=mile
after ^in++++=after
mile ^nn++++=mile,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wheat ^nn++++=wheat
country ^nn++++=country
rolled ^vbd+++xvbn+=rolled
past ^nn++++=past
them ^pp3o+pp3+++=them
granaries ^nns++++=granaries,
, ^zz++++=EXTRAWORD
elevators ^nns++++=elevators,
, ^zz++++=EXTRAWORD
bare ^jj+atrb+++=bare
fields ^nns++++=fields,
, ^zz++++=EXTRAWORD
stacks ^nns++++=stacks,
, ^zz++++=EXTRAWORD
loaded ^jj+atrb++xvbn+=loaded
cars ^nns++++=cars
all ^abn++++=all
that ^dt+dem+++=that
prodigious ^jj+atrb+++=prodigious
food ^nn++++=food
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
so ^ql+emph+++=so
cheap ^jj++++=cheap
that ^tht+jcmp+++=that
the ^ati++++=the
men ^nns++++=men
who ^whp+rel+subj++=who
raised ^vbd+++xvbn+=raised
it ^pp3+it+++=it
could ^md+pos+++=could
no ^at++++=no
longer ^rbr++++=longer
live ^vb++++=live.
. ^zz++++=EXTRAWORD
# ^zz++++=##
# ^zz++++=EXTRAWORD
Ii ^np+++??+=II.
. ^zz++++=EXTRAWORD
A ^at++++=A
Dollar ^nn++++=DOLLAR
Ten ^cd++++=TEN
By ^in++++=By
March ^nn++++=March
the ^ati++++=the
situation ^nn+nom+++=situation
was ^vbd+bedz+aux++=was
reversed ^vpsv++agls+xvbnx+=reversed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wheat ^nn++++=wheat
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
glutted ^vprf+++xvbnx+=glutted
the ^ati++++=the
country ^nn++++=country
disappeared ^vbd+seem++xvbn+=disappeared.
. ^zz++++=EXTRAWORD
Export ^nn++++=Export
clearances ^nns+nom+++=clearances
increased ^vbd+++xvbn+=increased;
; ^zz++++=EXTRAWORD
bad ^jj+atrb+++=bad
weather ^nn++++=weather
delayed ^vwbn+++xvbn+=delayed
shipments ^nns+nom+++=shipments
from ^in++++=from
Argentina ^np++++=Argentina;
; ^zz++++=EXTRAWORD
reports ^nns++++=reports
from ^in++++=from
Russia ^np++++=Russia
indicated ^vbd+vprv++xvbn+=indicated
a ^at++++=a
deficient ^jj+atrb+++=deficient
crop ^nn++++=crop.
. ^zz++++=EXTRAWORD
Most ^ql+emph+++=Most
important ^jj++++=important
of ^in++++=of
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
Charles ^np++++=Charles
Hornung ^np+++??+=Hornung
and ^cc++++=and
the ^ati++++=the
associated ^jj+++xvbn+=associated
bull ^np++++=bull
clique ^nn++++=clique
had ^vbd+hvd+aux++=had
bought ^vprf+++xvbnx+=bought
the ^ati++++=the
available ^jj+atrb+++=available
supply ^nn++++=supply.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
owned ^vbd+++xvbnx+=owned
the ^ati++++=the
wheat ^nn++++=wheat
in ^in++++=in
the ^ati++++=the
Chicago ^np++++=Chicago
elevators ^nns++++=elevators.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
held ^vbd+vprv++xvbnx+=held
warehouse ^nn++++=warehouse
receipts ^nns++++=receipts
for ^in++++=for
wheat ^nn++++=wheat
in ^in++++=in
Duluth ^np+++??+=Duluth,
, ^zz++++=EXTRAWORD
Minneapolis ^np+++??+=Minneapolis,
, ^zz++++=EXTRAWORD
Toledo ^np++++=Toledo
and ^cc++++=and
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Louis ^np++++=Louis.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
controlled ^vbd+++xvbnx+=controlled
the ^ati++++=the
lake ^nn++++=lake
shipments ^nns+nom+++=shipments,
, ^zz++++=EXTRAWORD
the ^ati++++=the
receipts ^nns++++=receipts
in ^in++++=in
transit ^nn++++=transit
and ^cc++++=and
the ^ati++++=the
contracts ^nns++++=contracts
for ^in++++=for
May ^md+pos+++=May
delivery ^nn+nom+++=delivery.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shorts ^nns++++=shorts
men ^nns++++=men
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
sold ^vprf+++xvbnx+=sold
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
not ^xnot++not++=not
possess ^nns+nom+++=possess
must ^md+nec+++=must
buy ^vb++++=buy
from ^in++++=from
Hornung ^np+++??+=Hornung
or ^cc++++=or
default ^jj+++xvbn+=default.
. ^zz++++=EXTRAWORD
Wheat ^nn++++=Wheat
rose ^vbd+++xvbn+=rose
to ^to++++=to
ninety ^cd++++=ninety
cents ^nns++++=cents,
, ^zz++++=EXTRAWORD
to ^in++++=to
a ^at++++=a
dollar ^nn++++=dollar,
, ^zz++++=EXTRAWORD
to ^in++++=to
a ^at++++=a
dollar ^nn++++=dollar
ten ^cd++++=ten.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
office ^nn++++=office
on ^in++++=on
La ^&fw++++=La
Salle ^&fw++++=Salle
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
Hornung ^np+++??+=Hornung
received ^vbd+++xvbn+=received
Truslow ^np+++??+=Truslow.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Bull ^nn++++=Bull
sat ^vbd+++xvbn+=sat
behind ^in+pl+++=behind
a ^at++++=a
broad ^jj+atrb+++=broad
mahogany ^nn++++=mahogany
desk ^nn++++=desk,
, ^zz++++=EXTRAWORD
wearing ^vbg+++xvbg+=wearing
a ^at++++=a
velvet ^nn++++=velvet
skull ^nn++++=skull-cap
- ^zz++++=EXTRAWORD
cap ^nn++++=EXTRAWORD
and ^cc++++=and
smoking ^vbg+++xvbg+=smoking
a ^at++++=a
long ^jj+atrb+++=long
Pittsburg ^np+++??+=Pittsburg
stogie ^nn+++??+=stogie.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
heavy ^jj+atrb+++=heavy
man ^nn++++=man,
, ^zz++++=EXTRAWORD
slow ^jj++++=slow
in ^in++++=in
gesture ^nn++++=gesture,
, ^zz++++=EXTRAWORD
with ^in++++=with
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
steady ^jj+atrb+++=steady
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Truslow ^np+++??+=Truslow,
, ^zz++++=EXTRAWORD
leaner ^jjr++++=leaner
and ^cc+phrs+++=and
older ^jjr++++=older,
, ^zz++++=EXTRAWORD
kept ^j+++xvbn+=kept
his ^pp$+pp3+++=his
hat ^nn++++=hat
on ^in++++=on
his ^pp$+pp3+++=his
knee ^nn++++=knee
and ^cc++++=and
tapped ^vbd+++xvbn+=tapped
its ^pp$+it+++=its
brim ^nn++++=brim
with ^in++++=with
one ^cd1++++=one
finger ^nn++++=finger.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^cd1++++=EXTRAWORD
hundred ^cd++++=hundred
thousand ^cd++++=thousand
bushels ^nns+++??+=bushels,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
