Adventure ^nn++++=Adventure
, ^zz++++=EXTRAWORD
cheese ^nn++++=cheese,
, ^zz++++=EXTRAWORD
two ^cd++++=two
pears ^nns+++??+=pears,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
bottle ^nn++++=bottle
of ^in++++=of
mineral ^nn++++=mineral
water ^nn++++=water.
. ^zz++++=EXTRAWORD
By ^in++++=By
Agram ^np+++??+=Agram,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
pears ^nns+++??+=pears
had ^vbd+hvd+aux++=had
vanished ^vprf+++xvbnx+=vanished,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ham ^nn++++=ham
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
reduced ^vpsv++agls+xvbnx+=reduced
to ^in++++=to
a ^at++++=a
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
mineral ^nn++++=mineral
water ^nn++++=water
had ^vbd+hvd+aux++=had
proved ^vprf+++xvbnx+=proved
insufficiently ^rb++++=insufficiently
mineral ^nn++++=mineral
to ^to++++=to
justify ^vbi++++=justify
its ^pp$+it+++=its
price ^nn++++=price.
. ^zz++++=EXTRAWORD
Snow ^nn++++=Snow
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
falling ^nvbg+++xvbg+=falling
shortly ^rb+tm+++=shortly
after ^in++++=after
noon ^nn++++=noon.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
it ^pp3+it+++=it
decorated ^vbd+++xvbn+=decorated
the ^ati++++=the
landscape ^nn++++=landscape
with ^in++++=with
the ^ati++++=the
conscientious ^jj+atrb+++=conscientious
prettiness ^nns+nom+++=prettiness
of ^in++++=of
a ^at++++=a
Christmas ^np++++=Christmas
card ^nn++++=card.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
sky ^nn++++=sky
lowered ^vbd+++xvbn+=lowered,
, ^zz++++=EXTRAWORD
the ^ati++++=the
flakes ^nns++++=flakes
thickened ^vprf+++xvbn+=thickened,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
telegraph ^nn++++=telegraph
wires ^nns++++=wires
became ^vbd+++xvbn+=became
great ^jj+atrb+++=great
shining ^jj+atrb++xvbg+=shining
cords ^nns++++=cords
stretched ^vwbn+++xvbn+=stretched
between ^in++++=between
white ^jj++++=white,
, ^zz++++=EXTRAWORD
stooping ^vbg+++xvbg+=stooping
poles ^nn++++=poles.
. ^zz++++=EXTRAWORD
Fields ^nns++++=Fields
disappeared ^vbd+seem++xvbn+=disappeared;
; ^zz++++=EXTRAWORD
cottages ^nns+nom+++=cottages
sank ^vbd+++xvbn+=sank
to ^in++++=to
their ^pp$+pp3+++=their
chimneys ^nns++++=chimneys;
; ^zz++++=EXTRAWORD
the ^ati++++=the
forest ^nn++++=forest
ahead ^rb+pl+++=ahead
took ^vbd+++xvbn+=took
on ^rb+phrv+++=on
the ^ati++++=the
muffled ^jj+atrb+++=muffled,
, ^zz++++=EXTRAWORD
secretive ^jj+atrb+++=secretive
appearance ^nn+nom+++=appearance
of ^in++++=of
a ^at++++=a
crowd ^nn++++=crowd
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
witnessed ^vprf+++xvbnx+=witnessed
something ^pn++++=something
and ^cc++++=and
does ^vbz+doz+aux++=does
not ^xnot++not++=not
intend ^vb++++=intend
to ^to+vcmp+++=to
give ^vbi++++=give
evidence ^nn+nom+++=evidence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
train ^nn++++=train
moved ^vbd+++xvbn+=moved
more ^rbr++++=more
slowly ^rb++++=slowly.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
stopped ^vbd+++xvbn+=stopped,
, ^zz++++=EXTRAWORD
advanced ^j+++xvbn+=advanced
with ^in++++=with
offended ^xvbn+++xvbn+=offended
snorts ^nns+++??+=snorts,
, ^zz++++=EXTRAWORD
stopped ^j+++xvbn+=stopped
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finally ^rb++++=finally
entered ^vbd+++xvbn+=entered
the ^ati++++=the
forest ^nn++++=forest
with ^in++++=with
the ^ati++++=the
reluctant ^jj+atrb+++=reluctant
dignity ^nn+nom+++=dignity
of ^in++++=of
an ^at++++=an
elderly ^jj+atrb+++=elderly
diplomat ^nn++++=diplomat
entering ^vwbg+++xvbg+=entering
a ^at++++=a
public ^jj+atrb+++=public
bath ^np++++=bath.
. ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
consulted ^vwbn+++xvbn+=consulted
his ^pp$+pp3+++=his
watch ^nn++++=watch
whenever ^nn+nom+++=whenever
nothing ^pn++++=nothing
happened ^vbd+++xvbn+=happened
and ^cc++++=and
the ^ati++++=the
window ^nn++++=window
whenever ^nn+nom+++=whenever
something ^pn++++=something
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
source ^nn++++=source
was ^vbd+bedz+aux++=was
reassuring ^vbg+++xvbgx+=reassuring.
. ^zz++++=EXTRAWORD
The ^ati++++=The
carriage ^nn+nom+++=carriage
contained ^vbd+++xvbn+=contained,
, ^zz++++=EXTRAWORD
besides ^rb++++=besides
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
an ^at++++=an
elderly ^jj+atrb+++=elderly
peasant ^nn+nom+++=peasant
woman ^nn++++=woman
in ^in++++=in
a ^at++++=a
black ^jj+atrb+++=black
woollen ^jj+atrb+++=woollen
shawl ^nn++++=shawl.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
broad ^jj+atrb+++=broad
red ^jj+atrb+++=red
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
a ^at++++=a
basket ^nn++++=basket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+dem+++=that
complete ^jj+atrb+++=complete
indifference ^nn+nom+++=indifference
to ^in++++=to
discomfort ^nn++++=discomfort
which ^whp+rel+obj++=which
civilised ^jj+atrb+++=civilised
travellers ^nns+nom+++=travellers
find ^vb+vprv+++=find
faintly ^rb++++=faintly
insulting ^jj++++=insulting.
. ^zz++++=EXTRAWORD
A ^at++++=A
violent ^nn++++=violent
jerk ^vb++++=jerk
threw ^vbd+++xvbn+=threw
John ^np++++=John
James ^np++++=James
against ^in++++=against
the ^ati++++=the
armrest ^nn++++=armrest.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
followed ^vbd+vprv++xvbn+=followed
a ^at++++=a
grinding ^jj+++xvbg+=grinding
sound ^jj++++=sound,
, ^zz++++=EXTRAWORD
a ^at++++=a
metallic ^jj++++=metallic
crack ^jjb++++=crack,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
succession ^nn++++=succession
of ^in++++=of
diminishing ^xvbg+++xvbg+=diminishing
clatters ^nns+nom+++=clatters
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
For ^in++++=For
several ^ap++++=several
seconds ^nns++++=seconds
he ^pp3a+pp3+++=he
expected ^vbd+vprv++xvbnx+=expected
the ^ati++++=the
carriage ^nn+nom+++=carriage
to ^to++++=to
overturn ^vbi++++=overturn,
, ^zz++++=EXTRAWORD
collapse ^nn++++=collapse,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
burst ^vpsv++agls+xvbn+=burst
into ^in+ppvb+++=into
flame ^nn++++=flame;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did
none ^rb++++=none
of ^in++++=of
these ^dt+dem+++=these
things ^nns++++=things.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
merely ^rb+down+++=merely
stopped ^vbd+++xvbn+=stopped.
. ^zz++++=EXTRAWORD
The ^ati++++=The
engine ^nn++++=engine
and ^cc++++=and
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
train ^nn++++=train
continued ^vbd+++xvbn+=continued
without ^in++++=without
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
the ^ati++++=the
whitened ^jj+atrb+++=whitened
glass ^nn++++=glass
John ^np++++=John
James ^np++++=James
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
rear ^jjb+atrb+++=rear
lamps ^nns++++=lamps
dwindling ^jj++++=dwindling
between ^in++++=between
the ^ati++++=the
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
became ^vbd+++xvbnx+=became
two ^cd++++=two
red ^jj+atrb+++=red
sparks ^np++++=sparks,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
red ^jj+atrb+++=red
spark ^nn++++=spark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
The ^ati++++=The
abandoned ^jj+atrb++xvbn+=abandoned
carriage ^nn+nom+++=carriage
stood ^vbd+++xvbn+=stood
in ^in++++=in
a ^at++++=a
silence ^nn++++=silence
made ^vbd+++xvbn+=made
more ^rbr++++=more
impressive ^jj++++=impressive
by ^in++++=by
the ^ati++++=the
fading ^jj+atrb++xvbg+=fading
roar ^nn++++=roar
of ^in++++=of
its ^pp$+it+++=its
desertion ^nn+nom+++=desertion.
. ^zz++++=EXTRAWORD
" ^zz++++="Our
our ^pp$+pp1+++=EXTRAWORD
coupling ^nn+nom+++=coupling
has ^vbz+hvz+aux++=has
broken ^vprf+++xvbnx+=broken,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
announced ^vbd+vpub++xvbnx+=announced.
. ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
nodded ^vbd+++xvbn+=nodded.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
apparently ^rb++splt++=apparently
been ^vprf+ben+vrb+xvbnx+=been
aware ^jj++++=aware
that ^tht+jcmp+++=that
the ^ati++++=the
train ^nn++++=train
was ^vbd+bedz+vrb++=was
no ^at++++=no
longer ^rbr++++=longer
present ^jj++++=present.
. ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=will
discover ^nn+nom+++=discover
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps."
perhaps ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="They
they ^pp3a+pp3+++=EXTRAWORD
must ^md+nec+++=must
discover ^nn+nom+++=discover
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
woman ^nn++++=woman
considered ^vwbn+vprv++xvbn+=considered
this ^dt+dem+++=this
proposition ^nn+nom+++=proposition
with ^in++++=with
the ^ati++++=the
reserve ^nn++++=reserve
of ^in++++=of
one ^cd1++++=one
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
railway ^nn++++=railway
officials ^nns+nom+++=officials
longer ^rbr++++=longer
than ^cs+sub+++=than
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
at ^in++++=at
the ^ati++++=the
next ^ap++++=next
station ^nn+nom+++=station,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
looked ^vbd+++xvbn+=looked
out ^rp+pl+++=out
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Snow ^nn++++=Snow
drove ^vbd+++xvbn+=drove
between ^in++++=between
the ^ati++++=the
fir ^nn++++=fir
trunks ^nns++++=trunks
in ^in++++=in
slanting ^nn++++=slanting
sheets ^nns++++=sheets.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
house ^npl++++=house,
, ^zz++++=EXTRAWORD
signal ^nn++++=signal
box ^nn++++=box,
, ^zz++++=EXTRAWORD
road ^npl++++=road,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
human ^jj++++=human
footprint ^jj+++xvbn+=footprint.
. ^zz++++=EXTRAWORD
The ^ati++++=The
carriage ^nn+nom+++=carriage,
, ^zz++++=EXTRAWORD
stranded ^jj++++=stranded
on ^in++++=on
the ^ati++++=the
single ^jj+atrb+++=single
line ^nn++++=line,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
suddenly ^rb++++=suddenly
a ^at++++=a
very ^ql+amp+++=very
small ^jj+atrb+++=small
article ^nn++++=article
in ^in++++=in
a ^at++++=a
very ^ql+amp+++=very
large ^jj+atrb+++=large
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
will ^md+prd+++=will
grow ^vb++++=grow
dark ^nn++++=dark
in ^in++++=in
less ^rbr++++=less
than ^in++++=than
an ^at++++=an
hour ^nn++++=hour,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
this ^dt+dem+++=this
district ^nn++++=district
inhabited ^vbd+++xvbn+=inhabited?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="By
by ^in++++=EXTRAWORD
wolves ^nps++++=wolves."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
answer ^nn++++=answer
was ^vbd+bedz+aux++=was
delivered ^vpsv++agls+xvbnx+=delivered
without ^in++++=without
emphasis ^nn++++=emphasis.
. ^zz++++=EXTRAWORD
Had ^vb+hv+aux++=Had
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said
woodcutters ^nns+nom+++=woodcutters
or ^cc++++=or
Croats ^np+++??+=Croats,
, ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
might ^md+pos+++=might
have ^vb+hv+aux++=have
asked ^vprf+++xvbnx+=asked
a ^at++++=a
supplementary ^jj+atrb+++=supplementary
question ^nn+nom+++=question
in ^in++++=in
the ^ati++++=the
interests ^nns++++=interests
of ^in++++=of
geographical ^jj+atrb+++=geographical
knowledge ^nn++++=knowledge.
. ^zz++++=EXTRAWORD
Wolves ^nps++++=Wolves
belonged ^vbd+++xvbn+=belonged
to ^in++++=to
another ^dt++++=another
department ^nn+nom+++=department
of ^in++++=of
his ^pp$+pp3+++=his
imagination ^nn+nom+++=imagination,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
already ^rb++++=already
well ^rb++++=well
staffed ^vwbn+++xvbn+=staffed.
. ^zz++++=EXTRAWORD
" ^zz++++="Wolves?"
wolves ^nps++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
repeated ^vbd+++xvbnx+=repeated.
. ^zz++++=EXTRAWORD
" ^zz++++="In
in ^in++++=EXTRAWORD
winter ^nn++++=winter
they ^pp3a+pp3+++=they
come ^vprf+++xvbn+=come
close ^in+cmpx+++=close
to ^in"++++=to
the ^ati++++=the
railway ^nn++++=railway."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
stared ^vbd+++xvbn+=stared
at ^rb++++=at
the ^ati++++=the
frosted ^jj+atrb+++=frosted
window ^nn++++=window.
. ^zz++++=EXTRAWORD
In ^in++++=In
England ^np++++=England,
, ^zz++++=EXTRAWORD
wolves ^nps++++=wolves
had ^vb+hv+vrb++=had
the ^ati++++=the
decency ^nn++++=decency
to ^to++++=to
be ^vbi++vrb++=be
extinct ^jj+pred+++=extinct,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
made ^vwbn+++xvbn+=made
them ^pp3o+pp3+++=them
suitable ^jj++++=suitable
for ^in++++=for
heraldry ^nn++++=heraldry
and ^cc++++=and
improving ^jj+atrb++xvbg+=improving
books ^nns++++=books
for ^in++++=for
boys ^nns++++=boys.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
Continent ^nn++++=Continent
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
apparently ^rb++splt++=apparently
allowed ^vb++pmd"+xvbnx+=allowed
to ^to+vcmp+pmd++=to
interfere ^vb++++=interfere
with ^in++++=with
commercial ^jj+atrb+++=commercial
travellers ^nns+nom+++=travellers.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
they ^pp3a+pp3+++=they
attack ^vb++++=attack
people ^nns++++=people?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
hungry ^jj+pred+++=hungry."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
are ^vb+ber+vrb++=are
they ^pp3a+pp3+++=they
hungry ^jj++++=hungry
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
winter ^nn++++=winter."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
relentless ^jj+atrb+++=relentless
logic ^nn++++=logic
was ^vbd+bedz+aux++=was
followed ^vpsv++by+xvbnx+=followed
by ^in++++=by
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
examined ^vwbn+++xvbn+=examined
the ^ati++++=the
door ^nn++++=door
fastenings ^nns++++=fastenings.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
appeared ^vbd+seem++xvbnx+=appeared
designed ^vbd+++xvbn+=designed
to ^to+vcmp+++=to
discourage ^nn+nom+++=discourage
fare ^vb++++=fare
evasion ^nn+++??+=evasion
rather ^rb++++=rather
than ^in++++=than
carnivorous ^jj+atrb+++=carnivorous
invasion ^nn++++=invasion.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pictured ^vbd+++xvbnx+=pictured
a ^at++++=a
grey ^np++++=grey
multitude ^nn++++=multitude
pouring ^vwbg+++xvbg+=pouring
from ^in++++=from
the ^ati++++=the
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
