I ^pp1a+pp1+++=I
. ^zz++++=EXTRAWORD
" ^zz++++="Her
her ^pp$+pp3+++=EXTRAWORD
heart ^nn++++=heart
is ^vbz+bez+vrb++=is
sound ^jj+pred+++=sound,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
lungs ^nns++++=lungs
are ^vb+ber+vrb++=are
sound ^jj+pred+++=sound,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
fever ^nn++++=fever.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
is ^vbz+bez+aux++=is
losing ^vbg+++xvbgx+=losing
strength ^nn++++=strength
because ^cs+cos+++=because
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
indifferent ^jj++++=indifferent
to ^in++++=to
life ^nn++++=life."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Indifferent?"
indifferent ^jj++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
repeated ^vprf+++xvbn+=repeated
the ^ati++++=the
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
wants ^vbz++++=wants
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
takes ^vbz++++=takes
interest ^nn++++=interest
in ^in++++=in
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
serious ^jj+pred+++=serious
in ^in++++=in
a ^at++++=a
child ^nn++++=child."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what
medicine ^nn++++=medicine
shall ^md+prd+++=shall
we ^pp1a+pp1+++=we
give ^vb++++=give
her ^pp$+pp3+++=her?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Medicine
medicine ^nn++++=EXTRAWORD
may ^md+pos+++=may
support ^vb++++=support
the ^ati++++=the
body ^nn++++=body.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
medicine ^nn++++=medicine
cannot ^md+pos+not++=cannot
command ^vb++++=command
a ^at++++=a
person ^nn++++=person
to ^to++++=to
be ^vbi++vrb++=be
happy ^jj+pred+++=happy.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
must ^md+nec+++=must
discover ^nn+nom+++=discover
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
desires ^nns++++=desires
most ^ql+emph+++=most
of ^in++++=of
all ^abn++++=all.
. ^zz++++=EXTRAWORD
A ^at++++=A
journey ^nn++++=journey,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps.
. ^zz++++=EXTRAWORD
A ^at++++=A
new ^jj+atrb+++=new
plaything ^nvbg+++xvbg+=plaything.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
pleasure ^nn++++=pleasure
which ^whp+rel+subj++=which
will ^md+prd+++=will
surprise ^vb++++=surprise
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Wake ^nn++++=Wake
her ^pp3o+pp3+++=her
interest ^nn++++=interest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
we ^pp1a+pp1+++=we
may ^md+pos+++=may
hope ^vb++++=hope."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Nadya ^np++++=Nadya's
's ^$++++=EXTRAWORD
father ^npt++++=father
stood ^vwbn+++xvbn+=stood
by ^in++++=by
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
tall ^jj+atrb+++=tall
man ^nn++++=man,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
now ^rn+tm+++=now
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
bent ^np+++xvbn+=bent
and ^cc++++=and
tired ^np+++xvbn+=tired.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
mean ^vb+vprv+++=mean,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+dem+++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
to ^to++++=to
amuse ^vbi++++=amuse
her ^pp$+pp3+++=her?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
possible ^jj++++=possible."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
possible ^jj++++=possible?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
doctor ^nn++++=doctor
gave ^vbd+++xvbn+=gave
a ^rb++++=a
little ^rb"++++=little
shrug ^nn++++=shrug.
. ^zz++++=EXTRAWORD
" ^zz++++="For
for ^in++++=EXTRAWORD
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
child ^nn++++=child,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
much ^ap++++=much
that ^dt+pdem+++=that
appears ^vbz+seem+++=appears
impossible ^jj++++=impossible
becomes ^vbz++++=becomes
possible ^jj++++=possible."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
After ^cs+sub+++=After
the ^ati++++=the
doctors ^nns++++=doctors
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mother ^nn++++=mother
sat ^vbd+++xvbn+=sat
beside ^in+pl+++=beside
Nadya ^np++++=Nadya's
's ^$++++=EXTRAWORD
bed ^nn++++=bed
and ^cc++++=and
stroked ^vbd+++xvbn+=stroked
her ^pp$+pp3+++=her
thin ^jj+atrb+++=thin
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
darling ^nn+nom+++=darling,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
would ^md+prd+++=would
you ^pp2+pp2+++=you
like ^vb++++=like?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nothing,
nothing ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
mamma ^npt++++=mamma."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Would
would ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
like ^in++++=like
your ^pp$+pp2+++=your
red ^jj+atrb+++=red
doll ^nn++++=doll?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
musical ^jj+atrb+++=musical
box ^nn++++=box?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thank ^vb++++=thank
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Would
would ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
like ^in++++=like
Katya ^np+++??+=Katya
and ^cc++++=and
Lida ^np+++??+=Lida
to ^to++++=to
come ^vbi++++=come
and ^cc++++=and
play ^nn++++=play
with ^in++++=with
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
make ^vb++++=make
a ^at++++=a
noise ^nn++++=noise."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Some
some ^dti++++=EXTRAWORD
grapes ^nns++++=grapes?
? ^zz++++=EXTRAWORD
A ^at++++=A
sweet ^jj+atrb+++=sweet
orange ^np++++=orange?
? ^zz++++=EXTRAWORD
Chocolate ^nn+nom+++=Chocolate?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No,
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
mamma ^npt++++=mamma.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
want ^vb++++=want
anything ^pn++++=anything."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
papa ^npt++++=papa
should ^md+nec+++=should
carry ^vb++++=carry
you ^pp2+pp2+++=you
into ^in++++=into
the ^ati++++=the
drawing ^jj+++xvbg+=drawing-room?"
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No.
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
tired ^vpsv++agls+xvbnx+=tired."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
turned ^vbd+++xvbnx+=turned
her ^pp$+pp3+++=her
face ^nn++++=face
toward ^in++++=toward
the ^ati++++=the
wall ^nn++++=wall
and ^cc++++=and
looked ^vbd+++xvbn+=looked
at ^rb++++=at
the ^ati++++=the
pale ^nn++++=pale
strip ^vb++++=strip
of ^in++++=of
afternoon ^nn++++=afternoon
light ^nn++++=light
upon ^in++++=upon
the ^ati++++=the
paper ^nn++++=paper.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
mother ^npt++++=mother
bent ^vbd+++xvbn+=bent
over ^in++++=over
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Nadya ^np+++??+=Nadya
had ^vb+hv+aux++=had
already ^rb++splt++=already
closed ^vprf+++xvbnx+=closed
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
Ii ^np+++??+=II
So ^rb++++=So
the ^ati++++=the
days ^nns++++=days
passed ^vbd+++xvbn+=passed.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
morning ^nn++++=morning
the ^ati++++=the
maid ^np++++=maid
brought ^vbd+++xvbn+=brought
cocoa ^nn++++=cocoa
with ^in++++=with
a ^rb++++=a
little ^rb"++++=little
silver ^jj+atrb+++=silver
spoon ^nn++++=spoon,
, ^zz++++=EXTRAWORD
fresh ^jj+atrb+++=fresh
milk ^nn++++=milk,
, ^zz++++=EXTRAWORD
toast ^nn++++=toast,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
egg ^nn++++=egg.
. ^zz++++=EXTRAWORD
Nadya ^np+++??+=Nadya
tasted ^vprf+++xvbn+=tasted
none ^rb++++=none
of ^in++++=of
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
At ^in++++=At
noon ^nn++++=noon
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
clear ^jj+atrb+++=clear
soup ^nn++++=soup,
, ^zz++++=EXTRAWORD
chicken ^nn++++=chicken
cutlets ^nns+nom+++=cutlets,
, ^zz++++=EXTRAWORD
rice ^np++++=rice
pudding ^nn++++=pudding,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
jelly ^nn++++=jelly
trembling ^vwbg+++xvbg+=trembling
in ^in++++=in
a ^at++++=a
glass ^nn++++=glass
dish ^nn++++=dish.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
pushed ^vbd+++xvbnx+=pushed
them ^pp3o+pp3+++=them
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
evening ^nn++++=evening
her ^pp3o+pp3+++=her
father ^npt++++=father
came ^vbd+++xvbn+=came
home ^nr++++=home
with ^in++++=with
parcels ^nns++++=parcels
under ^in++++=under
his ^pp$+pp3+++=his
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
scarcely ^rb+down+++=scarcely
looked ^vbd+++xvbn+=looked
at ^rb++++=at
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
parcel ^nn++++=parcel
contained ^vbd+++xvbn+=contained
a ^at++++=a
doll ^nn++++=doll
with ^in++++=with
real ^jj+atrb+++=real
hair ^nn++++=hair
and ^cc++++=and
blue ^jj+atrb+++=blue
eyes ^nns++++=eyes
which ^whp+rel+subj++=which
opened ^vbd+++xvbn+=opened
and ^cc+phrs+++=and
shut ^vbd+++xvbn+=shut.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
held ^vwbn+vprv++xvbn+=held
a ^at++++=a
whole ^jj+atrb+++=whole
family ^nn++++=family
of ^in++++=of
wooden ^jj+atrb+++=wooden
bears ^nns++++=bears.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
picture ^nn++++=picture
books ^nns++++=books,
, ^zz++++=EXTRAWORD
paints ^vbz++++=paints,
, ^zz++++=EXTRAWORD
coloured ^jj+atrb++xvbn+=coloured
balls ^nns++++=balls,
, ^zz++++=EXTRAWORD
a ^at++++=a
small ^jj+atrb+++=small
drum ^nn++++=drum,
, ^zz++++=EXTRAWORD
a ^at++++=a
railway ^nn++++=railway
with ^in++++=with
three ^cd++++=three
green ^jj+atrb+++=green
carriages ^nns+nom+++=carriages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
white ^jj+atrb+++=white
lamb ^np++++=lamb
which ^whp+rel+subj++=which
bleated ^vbd+++xvbn+=bleated
when ^wrb+who+++=when
one ^cd1++++=one
pressed ^vbd+++xvbn+=pressed
its ^pp$+it+++=its
side ^nn++++=side.
. ^zz++++=EXTRAWORD
" ^zz++++="See,
see ^vb+vprv+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Nadyusha ^np+++??+=Nadyusha,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
her ^pp$+pp3+++=her
father ^nn++++=father,
, ^zz++++=EXTRAWORD
kneeling ^vbg+nom++xvbg+=kneeling
by ^in++++=by
the ^ati++++=the
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
train ^nn++++=train
can ^md+pos+++=can
go ^vb++++=go
all ^abn++++=all
around ^rp++++=around
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
Look ^vb++++=Look
here ^rn+pl+++=here
is ^vbz+bez+vrb++=is
the ^ati++++=the
engine ^nn++++=engine.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
is ^vbz+bez+vrb++=is
the ^ati++++=the
station ^nn+nom+++=station-master.
- ^zz++++=EXTRAWORD
master ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
has ^vbz+hvz+vrb++=has
a ^at++++=a
red ^jj+atrb+++=red
cap ^nn++++=cap."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
papa ^npt++++=papa."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Shall
shall ^md+prd+++=EXTRAWORD
I ^pp1a+pp1+++=I
wind ^nn++++=wind
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
like ^vb++++=like."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
train ^nn++++=train
went ^vbd+++xvbn+=went
round ^rb++++=round
and ^cc++++=and
round ^nn++++=round,
, ^zz++++=EXTRAWORD
ringing ^vbg+++xvbg+=ringing
a ^rb++++=a
little ^rb"++++=little
bell ^nn++++=bell.
. ^zz++++=EXTRAWORD
The ^ati++++=The
station ^nn+nom+++=station-master
- ^zz++++=EXTRAWORD
master ^npt++++=EXTRAWORD
raised ^vbd+++xvbn+=raised
his ^pp$+pp3+++=his
arm ^nn++++=arm.
. ^zz++++=EXTRAWORD
The ^ati++++=The
green ^jj+atrb+++=green
carriages ^nns+nom+++=carriages
passed ^vbd+++xvbn+=passed
the ^ati++++=the
nursery ^nn+nom+++=nursery,
, ^zz++++=EXTRAWORD
the ^ati++++=the
medicine ^nn++++=medicine
bottles ^nns++++=bottles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Nadya ^np++++=Nadya's
's ^$++++=EXTRAWORD
slippers ^nns+nom+++=slippers
on ^in++++=on
the ^ati++++=the
carpet ^nn++++=carpet.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
it ^pp3+it+++=it
not ^xnot++not++=not
splendid ^jj++++=splendid?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
papa ^npt++++=papa."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
like ^vb++++=like
it ^pp3+it+++=it?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
father ^npt++++=father
gathered ^vbd+++xvbn+=gathered
the ^ati++++=the
train ^nn++++=train
into ^in++++=into
its ^pp$+it+++=its
box ^nn++++=box.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+vrb++=did
this ^dt+dem+++=this
too ^rb++++=too
quickly ^rb+cnj+++=quickly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
carriage ^nn+nom+++=carriage
fell ^vbd+++xvbn+=fell
to ^in++++=to
the ^ati++++=the
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
At ^in++++=At
dinner ^nn++++=dinner
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ate ^vbd+++xvbnx+=ate
half ^nn++++=half
a ^at++++=a
spoonful ^nn+nom+++=spoonful
of ^in++++=of
soup ^nn++++=soup,
, ^zz++++=EXTRAWORD
rose ^j+++xvbn+=rose,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
into ^in++++=into
his ^pp$+pp3+++=his
study ^nn++++=study,
, ^zz++++=EXTRAWORD
lit ^j+++xvbn+=lit
a ^at++++=a
cigar ^nn++++=cigar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
walked ^vpsv++agls+xvbn+=walked
from ^in++++=from
the ^ati++++=the
writing ^jj+++xvbg+=writing-table
- ^zz++++=EXTRAWORD
table ^nn++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
stove ^nn++++=stove
and ^cc++++=and
back ^jjb++++=back
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
smoked ^vbd+++xvbnx+=smoked
and ^cc+phrs+++=and
smoked ^vbd+++xvbn+=smoked
and ^cc+phrs+++=and
smoked ^vbd+++xvbn+=smoked.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ash ^nn++++=ash
dropped ^vbd+++xvbn+=dropped
upon ^in++++=upon
his ^pp$+pp3+++=his
waistcoat ^nn++++=waistcoat
without ^in++++=without
his ^pp$+pp3+++=his
noticing ^vbg+++xvbg+=noticing
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
At ^rb++++=At
last ^rb"++++=last
Nadya ^np++++=Nadya's
's ^$++++=EXTRAWORD
mother ^npt++++=mother
entered ^vbd+++xvbn+=entered.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+aux++=has
eaten ^vprf+++xvbnx+=eaten
nothing ^pn++++=nothing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
father ^npt++++=father
stopped ^vbd+++xvbn+=stopped
walking ^vbg+++xvbg+=walking.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
did ^vbd+dod+aux++=did
