# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
Memoranda ^np+++??+=Memoranda
the ^ati++++=the
volcano ^nn++++=volcano
there ^ex+pex+++=there
situated ^vbd+++xvbn+=situated;
; ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
mountain ^nn++++=mountain,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
once ^cs+tm+++=once
enjoyed ^vprf+++xvbn+=enjoyed
an ^at++++=an
extensive ^jj+atrb+++=extensive
eruptive ^nn++++=eruptive
practice ^nn++++=practice,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
in ^in++++=in
recent ^jj+atrb+++=recent
years ^nns++++=years
thrown ^vwbn+++xvbn+=thrown
up ^rp++++=up
business ^nns+nom+++=business
altogether ^nn+nom+++=altogether.
. ^zz++++=EXTRAWORD
The ^ati++++=The
inhabitants ^nns+nom+++=inhabitants
remain ^vb++++=remain.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
a ^at++++=a
scientific ^jj+atrb+++=scientific
view ^nn++++=view,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Fogo ^np+++??+=Fogo
' ^zz++++='Gee
gee ^uh++++=EXTRAWORD
is ^vbz+bez+vrb++=is
neither ^dt++neg++=neither
this ^dt+dem+++=this
nor ^cc++neg++=nor
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
a ^at++++=a
profitable ^jj+atrb+++=profitable
intermediate ^jj+atrb+++=intermediate
article ^nn++++=article.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
commonly ^rb++++=commonly
brown ^jj+pred+++=brown,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
precise ^jj+atrb+++=precise
shade ^nn++++=shade
depends ^vbz++++=depends
on ^in++++=on
sunlight ^nn++++=sunlight,
, ^zz++++=EXTRAWORD
ancestry ^nn++++=ancestry,
, ^zz++++=EXTRAWORD
occupation ^nn+nom+++=occupation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
observer ^nn+nom+++=observer's
's ^$++++=EXTRAWORD
disposition ^nn+nom+++=disposition.
. ^zz++++=EXTRAWORD
To ^in++++=To
the ^ati++++=the
humane ^jj+atrb+++=humane
captain ^nn++++=captain
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
coffee ^nn++++=coffee-colored;
- ^zz++++=EXTRAWORD
colored ^jj+++xvbn+=EXTRAWORD
; ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
mate ^nn++++=mate
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
lost ^vprf+++xvbnx+=lost
a ^at++++=a
boat ^nn++++=boat
by ^in++++=by
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
burnt ^jj+atrb++xvbn+=burnt
molasses ^nn++++=molasses;
; ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
cooper ^np++++=cooper,
, ^zz++++=EXTRAWORD
mahogany ^nn++++=mahogany;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
the ^ati++++=the
sailor ^nn++++=sailor
who ^whp+rel+subj++=who
owes ^vbz++++=owes
him ^pp3o+pp3+++=him
money ^nn++++=money,
, ^zz++++=EXTRAWORD
black ^jj++++=black.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
distinctions ^nns+nom+++=distinctions,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
moral ^jj++++=moral
rather ^rb++++=rather
than ^in++++=than
optical ^jj++++=optical,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
not ^xnot++not++=not
perplex ^vb+++??+=perplex
the ^ati++++=the
student ^nn++++=student.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
exterior ^nn++++=exterior
varies ^vbz++++=varies.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
are ^vb+ber+vrb++=are
tall ^jj+pred+++=tall,
, ^zz++++=EXTRAWORD
some ^dti++++=some
short ^jj++++=short,
, ^zz++++=EXTRAWORD
some ^dti++++=some
broad ^jj++++=broad,
, ^zz++++=EXTRAWORD
some ^dti++++=some
thin ^jj++++=thin;
; ^zz++++=EXTRAWORD
which ^whp+who+++=which
singular ^jj+atrb+++=singular
diversity ^nn+nom+++=diversity
has ^vbz+hvz+aux++=has
led ^vprf+++xvbnx+=led
experienced ^vprf+++xvbn+=experienced
men ^nns++++=men
to ^to++++=to
conclude ^vbi+vprv+++=conclude
that ^tht+vcmp+++=that
no ^at++++=no
two ^cd++++=two
are ^vb+ber+vrb++=are
exactly ^rb++++=exactly
alike ^rb+cnj+++=alike,
, ^zz++++=EXTRAWORD
except ^in++++=except
in ^in++++=in
being ^xvbg+++xvbg+=being
' ^zz++++='Gees.
gees ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
generally ^rb+down+++=generally
possesses ^nns+nom+++=possesses
a ^at++++=a
great ^jj+atrb+++=great
appetite ^nn++++=appetite
but ^cc++++=but
little ^ap++++=little
acknowledged ^jj+atrb++xvbn+=acknowledged
imagination ^nn+nom+++=imagination;
; ^zz++++=EXTRAWORD
strong ^jj+atrb+++=strong
shoulders ^nns+nom+++=shoulders
but ^cc++++=but
no ^at++++=no
political ^jj+atrb+++=political
influence ^nn+nom+++=influence;
; ^zz++++=EXTRAWORD
a ^at++++=a
large ^jj+atrb+++=large
eyeball ^nn+++??+=eyeball,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
some ^dti++++=some
observers ^nns+nom+++=observers,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
small ^jj+atrb+++=small
insight ^nn++++=insight
into ^in++++=into
the ^ati++++=the
mysteries ^nns+nom+++=mysteries
of ^in++++=of
American ^jj+atrb+++=American
wages ^nns++++=wages.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hair ^nn++++=hair
curls ^nns++++=curls
with ^in++++=with
a ^at++++=a
pertinacity ^nn+nom+++=pertinacity
that ^tht+rel+obj++=that
resists ^nns+nom+++=resists
salt ^nn++++=salt
water ^nn++++=water,
, ^zz++++=EXTRAWORD
whale ^nn++++=whale
oil ^nn++++=oil,
, ^zz++++=EXTRAWORD
theology ^nn++++=theology,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ship ^nn++++=ship's
's ^$++++=EXTRAWORD
comb ^nn++++=comb.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
complete ^jj++++=complete,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
excellent ^jj+pred+++=excellent
for ^in++++=for
biscuit ^nn++++=biscuit,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
fortunate ^jj+pred+++=fortunate,
, ^zz++++=EXTRAWORD
biscuit ^nn++++=biscuit
being ^vwbg+beg++xvbg+=being
the ^ati++++=the
chief ^jjb+atrb+++=chief
article ^nn++++=article
by ^in++++=by
which ^whp+rel+pied++=which
the ^ati++++=the
American ^jj+atrb+++=American
whale ^nn++++=whale
fishery ^nn+nom+++=fishery
communicates ^nns+nom+++=communicates
civilization ^nn+nom+++=civilization.
. ^zz++++=EXTRAWORD
The ^ati++++=The
island ^nn++++=island
lies ^vbz++++=lies
conveniently ^rb++++=conveniently
in ^in++++=in
the ^ati++++=the
track ^nn++++=track
of ^in++++=of
vessels ^nns++++=vessels
wanting ^vwbg+++xvbg+=wanting
men ^nns++++=men
and ^cc++++=and
inconveniently ^jj++++=inconveniently
in ^in++++=in
the ^ati++++=the
track ^nn++++=track
of ^in++++=of
men ^nns++++=men
wanting ^vwbg+++xvbg+=wanting
fair ^jj+atrb+++=fair
wages ^nns++++=wages.
. ^zz++++=EXTRAWORD
Hence ^rb+cnj+++=Hence
a ^at++++=a
commerce ^nn++++=commerce
has ^vbz+hvz+aux++=has
arisen ^vprf+++xvbn+=arisen,
, ^zz++++=EXTRAWORD
founded ^j+++xvbn+=founded
on ^in++++=on
those ^dt+dem+++=those
immutable ^jj+atrb+++=immutable
principles ^nns++++=principles
which ^whp+rel+subj++=which
regulate ^nn+nom+++=regulate
the ^ati++++=the
relations ^nns+nom+++=relations
of ^in++++=of
strength ^nn++++=strength
and ^cc++++=and
necessity ^nn+nom+++=necessity.
. ^zz++++=EXTRAWORD
A ^at++++=A
whaleship ^nn+nom+++=whaleship
from ^in++++=from
Nantucket ^np+++??+=Nantucket,
, ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
Bedford ^np++++=Bedford,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Dartmouth ^np+++??+=Dartmouth
arrives ^vbz++++=arrives
short ^jj++++=short-handed,
- ^zz++++=EXTRAWORD
handed ^vwbn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
original ^nn+nom+++=original
crew ^nn++++=crew
having ^xvbg+++xvbg+=having
deserted ^vprf+++xvbn+=deserted,
, ^zz++++=EXTRAWORD
died ^j+++xvbn+=died,
, ^zz++++=EXTRAWORD
been ^j+j+aux+xvbn+=been
discharged ^vpsv++agls+xvbnx+=discharged,
, ^zz++++=EXTRAWORD
been ^j+j+aux+xvbn+=been
lost ^vpsv++agls+xvbnx+=lost,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
merely ^rb+down+++=merely
discovered ^vbd+vprv++xvbn+=discovered
the ^ati++++=the
voyage ^nn++++=voyage
to ^to++++=to
be ^vbi++vrb++=be
longer ^rbr++++=longer
than ^in++++=than
represented ^nn++++=represented.
. ^zz++++=EXTRAWORD
The ^ati++++=The
captain ^nn++++=captain
goes ^vbz++++=goes
ashore ^rb+pl+++=ashore
with ^in++++=with
an ^at++++=an
interpreter ^nn+nom+++=interpreter,
, ^zz++++=EXTRAWORD
a ^at++++=a
bag ^nn++++=bag
of ^in++++=of
tobacco ^nn++++=tobacco,
, ^zz++++=EXTRAWORD
several ^ap++++=several
promises ^nns++++=promises,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
benevolent ^jj+atrb+++=benevolent
expression ^nn++++=expression
which ^whp+rel+obj++=which
commerce ^nn++++=commerce
assumes ^vbz+vprv+++=assumes
when ^wrb+who+whcl++=when
buying ^vbg+++xvbg+=buying
below ^rb++++=below
value ^nn++++=value.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
the ^ati++++=the
candidates ^nns+nom+++=candidates
collect ^vb++++=collect.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
come ^vprf+++xvbn+=come
down ^rp++++=down
the ^ati++++=the
black ^jj+atrb+++=black
slopes ^nns++++=slopes
in ^in++++=in
patched ^jj+atrb+++=patched
trousers ^nns+nom+++=trousers
and ^cc++++=and
bright ^jj+atrb+++=bright
caps ^nns++++=caps,
, ^zz++++=EXTRAWORD
bringing ^vbg+++xvbg+=bringing
recommendations ^nns+nom+++=recommendations
from ^in++++=from
cousins ^nns++++=cousins
who ^whp+rel+subj++=who
never ^rb++++=never
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
sea ^nn++++=sea
and ^cc++++=and
testimonials ^nns+nom+++=testimonials
from ^in++++=from
priests ^nns++++=priests
who ^whp+rel+subj++=who
never ^rb++++=never
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
candidate ^nn+nom+++=candidate
sober ^jj++++=sober.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
has ^vbz+hvz+aux++=has
caught ^vprf+++xvbnx+=caught
turtles ^nns++++=turtles;
; ^zz++++=EXTRAWORD
another ^dt++++=another
has ^vbz+hvz+aux++=has
rowed ^vprf+++xvbnx+=rowed
between ^in++++=between
islands ^nns++++=islands;
; ^zz++++=EXTRAWORD
a ^at++++=a
third ^od++++=third
once ^rb+tm+++=once
stood ^vbd+++xvbn+=stood
on ^in++++=on
a ^at++++=a
rock ^nn++++=rock
during ^in++++=during
a ^at++++=a
gale ^nn++++=gale
and ^cc++++=and
is ^vbz+bez+aux++=is
therefore ^rb+cnj+splt++=therefore
entered ^vpsv++agls+xvbnx+=entered
as ^ql++++=as
an ^at++++=an
able ^jj+atrb+++=able
seaman ^nn++++=seaman.
. ^zz++++=EXTRAWORD
All ^abn++++=All
are ^vb+ber+vrb++=are
willing ^jj+pred+++=willing.
. ^zz++++=EXTRAWORD
Willingness ^nns+nom+++=Willingness,
, ^zz++++=EXTRAWORD
among ^in++++=among
shipowners ^nns+nom+++=shipowners,
, ^zz++++=EXTRAWORD
ranks ^nns++++=ranks
just ^rb+emph+++=just
below ^in+pl+++=below
skill ^nn++++=skill
and ^cc++++=and
considerably ^rb++++=considerably
above ^jjb+atrb+++=above
expense ^nn++++=expense.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ordinary ^jj+atrb+++=ordinary
seaman ^nn++++=seaman
ships ^nns++++=ships
for ^in++++=for
money ^nn++++=money.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Fogo ^np+++??+=Fogo
hand ^nn++++=hand
ships ^nns++++=ships
for ^in++++=for
money ^nn++++=money
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
by ^in++++=by
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
refinement ^nn+nom+++=refinement
receives ^vbz++++=receives
much ^rb++++=much
of ^in++++=of
it ^pp3+it+++=it
in ^in++++=in
biscuit ^nn++++=biscuit,
, ^zz++++=EXTRAWORD
slops ^nns+++??+=slops,
, ^zz++++=EXTRAWORD
tobacco ^nn++++=tobacco,
, ^zz++++=EXTRAWORD
postponed ^jj+atrb++xvbn+=postponed
accounts ^nns++++=accounts,
, ^zz++++=EXTRAWORD
mysterious ^jj+atrb+++=mysterious
deductions ^nns+nom+++=deductions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
blows ^nns++++=blows.
. ^zz++++=EXTRAWORD
The ^ati++++=The
latter ^ap++++=latter
are ^vb+ber+aux++=are
seldom ^rb++splt++=seldom
entered ^vpsv++agls+xvbnx+=entered
upon ^in++++=upon
the ^ati++++=the
articles ^nns++++=articles,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
their ^pp$+pp3+++=their
number ^nn++++=number
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
accurately ^rb++splt++=accurately
foreseen ^vpsv++agls+xvbnx+=foreseen.
. ^zz++++=EXTRAWORD
A ^at++++=A
careful ^jj+atrb+++=careful
owner ^nn++++=owner
dislikes ^vbz++++=dislikes
an ^at++++=an
open ^jj+atrb+++=open
account ^nn++++=account.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
be ^vb+be+vrb++=be
unjust ^jj+pred+++=unjust
to ^to++++=to
say ^vbi+vpub+++=say
the ^ati++++=the
' ^zz++++='Gee
gee ^uh++++=EXTRAWORD
is ^vbz+bez+aux++=is
paid ^vpsv++agls+xvbnx+=paid
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+aux++=is
paid ^vpsv++agls+xvbnx+=paid
whatever ^nn+nom+++=whatever
remains ^nns++++=remains
after ^in++++=after
his ^pp$+pp3+++=his
advance ^nn+nom+++=advance,
, ^zz++++=EXTRAWORD
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
medicine ^nn++++=medicine,
, ^zz++++=EXTRAWORD
boat ^nn++++=boat
gear ^nn++++=gear,
, ^zz++++=EXTRAWORD
lost ^jj+atrb++xvbn+=lost
time ^nn++++=time,
, ^zz++++=EXTRAWORD
damaged ^jj+atrb++xvbn+=damaged
property ^nn++++=property,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
captain ^nn++++=captain's
's ^$++++=EXTRAWORD
recollection ^nn+nom+++=recollection
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
deducted ^vpsv++agls+xvbnx+=deducted.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
once ^rb+tm+++=once
knew ^vbd+vprv++xvbn+=knew
a ^at++++=a
man ^nn++++=man
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
forty ^cd++++=forty
months ^nns++++=months'
' ^zz++++=EXTRAWORD
cruising ^vbg+++xvbg+=cruising,
, ^zz++++=EXTRAWORD
owed ^j+++xvbn+=owed
the ^ati++++=the
ship ^nn++++=ship
three ^cd++++=three
dollars ^nns++++=dollars
and ^cc++++=and
a ^at++++=a
quarter ^nn++++=quarter.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
astonished ^jj+++xvbn+=astonished
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
never ^rb++splt++=never
possessed ^vprf+++xvbnx+=possessed
three ^cd++++=three
dollars ^nns++++=dollars
and ^cc++++=and
a ^at++++=a
quarter ^nn++++=quarter
in ^in++++=in
his ^pp$+pp3+++=his
life ^nn++++=life;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
steward ^nn++++=steward
explained ^vbd+vpub++xvbn+=explained
that ^tht+vcmp+++=that
debt ^nn++++=debt,
, ^zz++++=EXTRAWORD
like ^in++++=like
longitude ^nn+++??+=longitude,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
exist ^vb++++=exist
though ^rb+cnj+++=though
invisible ^jj++++=invisible.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
then ^rn+tm+++=then
requested ^vbd+vsua++xvbn+=requested
another ^dt++++=another
voyage ^nn++++=voyage
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
discharge ^vb++++=discharge
the ^ati++++=the
obligation ^nn+nom+++=obligation,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
proving ^vbg+++xvbg+=proving
that ^tht+vcmp+++=that
the ^ati++++=the
system ^nn++++=system
encourages ^nns+nom+++=encourages
industry ^nn++++=industry.
. ^zz++++=EXTRAWORD
On ^in++++=On
board ^nn++++=board,
, ^zz++++=EXTRAWORD
the ^ati++++=the
new ^jj+atrb+++=new
recruit ^nn++++=recruit
is ^vbz+bez+aux++=is
termed ^vpsv++agls+xvbnx+=termed
a ^at++++=a
green ^jj++++=green
' ^zz++++='Gee
gee ^uh++++=EXTRAWORD
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
learned ^vprf+++xvbnx+=learned
to ^to+vcmp+++=to
pull ^vbi++++=pull,
, ^zz++++=EXTRAWORD
steer ^vb++++=steer,
, ^zz++++=EXTRAWORD
reef ^nn++++=reef,
, ^zz++++=EXTRAWORD
splice ^nn+++??+=splice,
, ^zz++++=EXTRAWORD
cut ^j+++xvbn+=cut
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
try ^vb++++=try
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
duck ^vb++++=duck
a ^at++++=a
handspike ^nn+++??+=handspike,
, ^zz++++=EXTRAWORD
distinguish ^vb++++=distinguish
the ^ati++++=the
mate ^nn++++=mate's
's ^vbz+bez+vrb++0=EXTRAWORD
right ^jj+atrb+++=right
fist ^nn++++=fist
from ^in++++=from
his ^pp$+pp3+++=his
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
answer ^nn++++=answer
to ^in++++=to
any ^dti++++=any
name ^nn++++=name
beginning ^vwbg+++xvbg+=beginning
with ^in++++=with
an ^at++++=an
oath ^nn++++=oath.
