# ^zz++++=##
# ^zz++++=EXTRAWORD
How ^wrb+who+++=How
a ^at++++=a
sky ^nn++++=sky-blue
- ^zz++++=EXTRAWORD
blue ^jj+atrb+++=EXTRAWORD
coat ^nn++++=coat
wid ^in++++=wid
brass ^nn++++=brass
buttons ^nns++++=buttons,
, ^zz++++=EXTRAWORD
a ^at++++=a
yellow ^jj+atrb+++=yellow
waistcoat ^nn++++=waistcoat
embroidered ^vbd+++xvbn+=embroidered
in ^in++++=in
roses ^nns++++=roses,
, ^zz++++=EXTRAWORD
two ^cd++++=two
collars ^nns++++=collars
that ^tht+rel+subj++=that
near ^rb++++=near
cut ^vbd+++xvbn+=cut
me ^pp1o+pp1+++=me
ears ^nns++++=ears
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
boots ^nns++++=boots
so ^ql+emph+++=so
tight ^jj++++=tight
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
walked ^vbd+++xvbnx+=walked
like ^in++++=like
a ^at++++=a
gintaal ^jj++++=gintaal
dancing ^jj+++xvbg+=dancing-master
- ^zz++++=EXTRAWORD
master ^nn++++=EXTRAWORD
suffering ^vwbg+++xvbg+=suffering
from ^in++++=from
repentance ^nn+nom+++=repentance.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
equipped ^jj+++xvbn+=equipped,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
irresistible ^jj+pred+++=irresistible,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
next ^ap++++=next
door ^nn++++=door
to ^in++++=to
me ^pp1o+pp1+++=me
ancestral ^jj+atrb+++=ancestral
property ^nn++++=property
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
a ^at++++=a
handsome ^jj+atrb+++=handsome
house ^nn++++=house
whenever ^nn+nom+++=whenever
ye ^pp2+pp2+++=ye
look ^vb++++=look
at ^rb++++=at
it ^pp3+it+++=it
from ^in++++=from
behind ^in+pl+++=behind
the ^ati++++=the
hill ^nn++++=hill
where ^wrb+who+++=where
the ^ati++++=the
broken ^jj+atrb++xvbn+=broken
windows ^nns++++=windows
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+aux++=be
seen ^vpsv++agls+xvbnx+=seen
there ^ex+pex+++=there
lived ^vprf+++xvbn+=lived
the ^ati++++=the
Widow ^nn++++=Widow
Tracle ^np+++??+=Tracle.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Tracle ^np++++=Tracle
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
name ^nn++++=name,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
mighty ^jj+atrb+++=mighty
agreeable ^jj+atrb+++=agreeable
widow ^nn++++=widow
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was:
: ^zz++++=EXTRAWORD
black ^jj+atrb+++=black
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
red ^jj+atrb+++=red
cheeks ^nns++++=cheeks,
, ^zz++++=EXTRAWORD
white ^jj+atrb+++=white
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
fortune ^nn++++=fortune
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
reported ^vpsv++agls+xvbnx+=reported
to ^to+vcmp+++=to
be ^vbi++vrb++=be
twenty ^cd++++=twenty
thousand ^cd++++=thousand
pounds ^nns++++=pounds,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
have ^vb+hv+aux++=have
loved ^vprf+++xvbnx+=loved
her ^pp$+pp3+++=her
just ^rb+emph+++=just
the ^ati++++=the
same ^ap++++=same
if ^cs+cnd+++=if
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
nineteen ^cd++++=nineteen.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
poor ^jj+atrb+++=poor
Tracle ^np+++??+=Tracle,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
dead ^jj++++=dead
two ^cd++++=two
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
more ^rbr++++=more
fortunate ^jj+atrb+++=fortunate
circumstance ^nn+nom+++=circumstance
for ^in++++=for
him ^pp3o+pp3+++=him
I ^pp1a+pp1+++=I
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
desire ^nn++++=desire,
, ^zz++++=EXTRAWORD
seeing ^vbg+vprv++xvbg+=seeing
that ^tht+vcmp+++=that
otherwise ^rb+cnj+++=otherwise
me ^pp1o+pp1+++=me
courtship ^nn+nom+++=courtship
might ^md+pos+++=might
have ^vb+hv+aux++=have
appeared ^vprf+++xvbnx+=appeared
indelicate ^jj++++=indelicate.
. ^zz++++=EXTRAWORD
The ^ati++++=The
first ^od++++=first
time ^nn++++=time
she ^pp3a+pp3+++=she
beheld ^nn+++??+=beheld
me ^pp1o+pp1+++=me
in ^in++++=in
me ^pp1o+pp1+++=me
barronitt ^nn+++??+=barronitt's
's ^$++++=EXTRAWORD
uniform ^nn++++=uniform
she ^pp3a+pp3+++=she
turned ^vbd+++xvbnx+=turned
her ^pp$+pp3+++=her
head ^jjb++++=head
away ^rp+pl+++=away
and ^cc++++=and
shut ^vb+++xvbn+=shut
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
" ^zz++++="Ha!"
ha ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I
to ^in++++=to
mesilf ^nn+++??+=mesilf.
. ^zz++++=EXTRAWORD
" ^zz++++="She's
she ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
struck ^vpsv++agls+xvbnx+=struck.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sight ^nn++++=sight
of ^in++++=of
so ^ql++++=so
much ^ap++++=much
nobility ^nn+nom+++=nobility
is ^vbz+bez+vrb++=is
too ^ql++++=too
strong ^jj++++=strong
for ^in++++=for
the ^ati++++=the
tender ^jj+atrb+++=tender
craythur ^nn+++??+=craythur."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
second ^od++++=second
time ^nn++++=time
she ^pp3a+pp3+++=she
crossed ^vbd+++xvbnx+=crossed
the ^ati++++=the
road ^nn++++=road
to ^to++++=to
avoid ^vbi++++=avoid
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
" ^zz++++="Ha!"
ha ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
fears ^nns++++=fears
her ^pp3o+pp3+++=her
own ^ap++++=own
emotions ^nns+nom+++=emotions."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
third ^nn++++=third
time ^nn++++=time
she ^pp3a+pp3+++=she
ordered ^vbd+++xvbnx+=ordered
her ^pp3o+pp3+++=her
maid ^np++++=maid
to ^to++++=to
say ^vbi+vpub+tht0++=say
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
at ^in++++=at
home ^nr++++=home,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
her ^pp$+pp3+++=her
peeping ^vbg+++xvbg+=peeping
from ^in++++=from
behind ^in+pl+++=behind
the ^ati++++=the
curtain ^nn++++=curtain.
. ^zz++++=EXTRAWORD
" ^zz++++="Ha!"
ha ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
" ^zz++++="She's
she ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
dying ^vbg+++xvbgx+=dying
for ^in++++=for
me ^pp1o+pp1+++=me
entirely ^rb+cnj+++=entirely,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
female ^jj+atrb+++=female
purliteness ^nns+nom+++=purliteness
forbids ^nns+++??+=forbids
her ^pp3o+pp3+++=her
to ^to++++=to
confess ^nns+nom+++=confess
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
For ^in+strn+++=For,
, ^zz++++=EXTRAWORD
belave ^nn+++??+=belave
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
jewel ^nn++++=jewel,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there's
's ^vbz+bez+vrb++0=EXTRAWORD
nothing ^pn++++=nothing
so ^rb+emph+++=so
easy ^jj++++=easy
as ^ql++++=as
understanding ^jj+++xvbg+=understanding
a ^at++++=a
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
provided ^j+++xvbn+=provided
ye ^pp2+pp2+++=ye
never ^rb++++=never
listen ^vb++++=listen
to ^to++++=to
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
says ^vbz+vpub+++=says
and ^cc++++=and
always ^rb++++=always
interpret ^vb++++=interpret
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
does ^vbz+doz+vrb++=does
in ^in++++=in
the ^ati++++=the
manner ^nn++++=manner
most ^ql+emph+++=most
favourable ^jj++++=favourable
to ^in++++=to
yersilf ^nn+++??+=yersilf.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
obstacle ^nn++++=obstacle
five ^cd++++=five
feet ^nns++++=feet
of ^in++++=of
obstacle ^nn++++=obstacle
in ^in++++=in
shoes ^nns++++=shoes
wid ^in++++=wid
heels ^nns++++=heels
and ^cc++++=and
his ^pp$+pp3+++=his
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Count ^npt++++=Count
Alphonse ^np++++=Alphonse
de ^&fw++++=de
Poppinjay ^np+++??+=Poppinjay.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
Frinchman ^np+nom++??+=Frinchman,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
to ^to++++=to
blame ^vbi++++=blame
for ^in++++=for
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
born ^xvbn+++xvbn+=born
so ^ql++++=so;
; ^zz++++=EXTRAWORD
a ^at++++=a
small ^jj++++=small,
, ^zz++++=EXTRAWORD
thin ^jj+atrb+++=thin,
, ^zz++++=EXTRAWORD
perfumed ^jj+atrb++xvbn+=perfumed
article ^nn++++=article,
, ^zz++++=EXTRAWORD
wid ^in++++=wid
a ^at++++=a
black ^jj+atrb+++=black
moustache ^nn++++=moustache
twisted ^vbd+++xvbn+=twisted
up ^rp++++=up
at ^in++++=at
both ^abx++++=both
ends ^nns++++=ends
like ^in++++=like
the ^ati++++=the
handles ^nns++++=handles
of ^in++++=of
a ^at++++=a
soup ^nn++++=soup-tureen.
- ^zz++++=EXTRAWORD
tureen ^vb+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
coat ^nn++++=coat
fitted ^vwbn+++xvbn+=fitted
him ^pp3o+pp3+++=him
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
painted ^vpsv++agls+xvbnx+=painted
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
gloves ^nns++++=gloves
were ^vbd+bed+vrb++=were
lemon ^nn++++=lemon-coloured,
- ^zz++++=EXTRAWORD
coloured ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
carried ^vbd+++xvbnx+=carried
a ^at++++=a
cane ^nn++++=cane
no ^at++++=no
thicker ^nn++++=thicker
than ^in++++=than
a ^at++++=a
knitting ^jj+++xvbg+=knitting-needle.
- ^zz++++=EXTRAWORD
needle ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
bowed ^vbd+++xvbnx+=bowed,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
body ^nn++++=body
doubled ^vwbn+++xvbn+=doubled
up ^rp++++=up
like ^in++++=like
a ^at++++=a
pocket ^nn++++=pocket
rule ^nn++++=rule;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
spoke ^vbd+++xvbnx+=spoke,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Pully
pully ^jj+atrb+++=EXTRAWORD
wou ^nn+++??+=wou,
, ^zz++++=EXTRAWORD
woully ^jj+atrb+++=woully
wou ^nn+++??+=wou,
, ^zz++++=EXTRAWORD
pardong ^nn+++??+=pardong,
, ^zz++++=EXTRAWORD
mong ^nn+++??+=mong
noble ^jj++++=noble,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^whp+who+++=which,
, ^zz++++=EXTRAWORD
for ^in++++=for
all ^abn++++=all
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
be ^vb+be+vrb++=be
the ^ati++++=the
Frinch ^np+++??+=Frinch
for ^in++++=for
potatoes ^nns++++=potatoes.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
Count ^nn++++=Count
Alphonse ^np++++=Alphonse
had ^vb+hv+vrb++=had
the ^ati++++=the
impudence ^nn+nom+++=impudence
to ^to++++=to
admire ^vbi++++=admire
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Tracle ^np++++=Tracle.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
walked ^vbd+++xvbnx+=walked
under ^in++++=under
her ^pp$+pp3+++=her
windows ^nns++++=windows;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
sent ^vbd+++xvbnx+=sent
her ^pp$+pp3+++=her
flowers ^nns+nom+++=flowers;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
kissed ^vbd+++xvbnx+=kissed
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
to ^in++++=to
her ^pp$+pp3+++=her
little ^ap++++=little
dog ^nn++++=dog;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
I ^pp1a+pp1+++=I
caught ^vbd+++xvbnx+=caught
him ^pp3o+pp3+++=him
writing ^nvbg+++xvbg+=writing
poetry ^nn++++=poetry
on ^in++++=on
a ^at++++=a
pink ^jj+atrb+++=pink
card ^nn++++=card.
. ^zz++++=EXTRAWORD
Poetry ^nn++++=Poetry,
, ^zz++++=EXTRAWORD
indeed ^rb++++=indeed!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
have ^vb+hv+aux++=have
written ^vprf+++xvbnx+=written
twice ^rb++++=twice
as ^ql++++=as
much ^ap++++=much
if ^cs+cnd+++=if
I ^pp1a+pp1+++0=I'd
'd ^vbd+hvd+aux++=EXTRAWORD
known ^vprf+++xvbnx+=known
how ^wrb+who+whcl++=how
to ^to++++=to
spell ^vbi++++=spell
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
little ^ap++++=little
reptile ^nn+++??+=reptile
had ^vb+hv+vrb++=had
one ^cd1++++=one
advantage ^nn+nom+++=advantage:
: ^zz++++=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
introduced ^vpsv++agls+xvbnx+=introduced
to ^in++++=to
the ^ati++++=the
widow ^nn++++=widow,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Pathrick ^np+++??+=Pathrick
O ^zz++++=O'Grandison,
'grandison, ^nn+++??+=EXTRAWORD
Barronitt ^np+++??+=Barronitt,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Accordingly ^rb++++=Accordingly
I ^pp1a+pp1+++=I
treated ^vbd+++xvbnx+=treated
him ^pp3o+pp3+++=him
to ^in++++=to
dinner ^nn++++=dinner
four ^cd++++=four
courses ^nns++++=courses,
, ^zz++++=EXTRAWORD
counting ^nvbg+++xvbg+=counting
the ^ati++++=the
cheese ^nn++++=cheese
twice ^rb++++=twice
and ^cc++++=and
afther ^jjr++++=afther
the ^ati++++=the
third ^nn++++=third
bottle ^nn++++=bottle
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
me ^pp1o+pp1+++=me
arm ^nn++++=arm
round ^rp++++=round
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
most ^ql+emph+++=most
aristocratical ^jj+atrb+++=aristocratical
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
" ^zz++++="Count,"
count ^npt++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+tht0++=says
I ^pp1a+pp1+++=I,
