Even ^rb++++=Even
thither ^rb++++=thither
without ^in++++=without
delay ^nn++++=delay.
. ^zz++++=EXTRAWORD
The ^ati++++=The
patient ^nn++++=patient,
, ^zz++++=EXTRAWORD
a ^at++++=a
young ^jj+atrb+++=young
widow ^nn++++=widow
related ^vbd+++xvbn+=related
to ^in++++=to
the ^ati++++=the
Rajah ^np+++??+=Rajah,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
sustained ^vprf+++xvbnx+=sustained
a ^at++++=a
deep ^nn++++=deep
wound ^vbd+++xvbn+=wound
of ^in++++=of
the ^ati++++=the
abdomen ^nn++++=abdomen
by ^in++++=by
falling ^xvbg+++xvbg+=falling
upon ^in++++=upon
the ^ati++++=the
jewelled ^jj+atrb++xvbn+=jewelled
point ^nn++++=point
of ^in++++=of
a ^at++++=a
ceremonial ^jj+atrb+++=ceremonial
dagger ^nn++++=dagger.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
the ^ati++++=the
injury ^nn++++=injury
were ^vbd+bed+vrb++=were
indeed ^qlp++++=indeed
accidental ^jj++++=accidental
I ^pp1a+pp1+++=I
never ^rb++++=never
learned ^jj+++xvbn+=learned.
. ^zz++++=EXTRAWORD
The ^ati++++=The
palace ^nn++++=palace
women ^nns++++=women
had ^vbd+hvd+aux++=had
stanched ^vprf+++xvbnx+=stanched
the ^ati++++=the
external ^jj++++=external
bleeding ^jj+++xvbg+=bleeding
with ^in++++=with
silk ^nn++++=silk
and ^cc++++=and
powdered ^jj+atrb++xvbn+=powdered
herbs ^nns++++=herbs,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
internal ^jj+atrb+++=internal
h ^zz++++=h
morrhage ^nn+nom+++=morrhage
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+aux++=had
I ^pp1a+pp1+++=I
arrived ^vbd+++xvbnx+=arrived
an ^at++++=an
hour ^nn++++=hour
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
no ^at++++=no
earthly ^jj+atrb+++=earthly
aid ^nn++++=aid
could ^md+pos+++=could
have ^vb+hv+aux++=have
preserved ^vprf+++xvbnx+=preserved
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
With ^in++++=With
such ^abl++++=such
instruments ^nns+nom+++=instruments
as ^ql++++=as
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
under ^in++++=under
difficulties ^nns++++=difficulties
which ^whp+rel+subj++=which
need ^vb++++=need
not ^xnot++not++=not
here ^rn+pl+++=here
be ^vb+be+aux++=be
enumerated ^vwbn+++xvbn+=enumerated,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
secured ^vbd+++xvbnx+=secured
the ^ati++++=the
divided ^jj+atrb++xvbn+=divided
vessel ^nn++++=vessel.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
recovered ^vbd+++xvbnx+=recovered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Rajah ^np++++=Rajah's
's ^$++++=EXTRAWORD
gratitude ^nn++++=gratitude
was ^vbd+bedz+vrb++=was
profuse ^nn+++??+=profuse.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
pressed ^vbd+++xvbnx+=pressed
gifts ^nns++++=gifts
upon ^in++++=upon
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
lodged ^j+++xvbn+=lodged
me ^pp1o+pp1+++=me
in ^in++++=in
a ^at++++=a
cool ^jj+atrb+++=cool
apartment ^nn+nom+++=apartment
overlooking ^vwbg+++xvbg+=overlooking
the ^ati++++=the
inner ^jjb+atrb+++=inner
garden ^nn++++=garden,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
not ^xnot++not++=not
permit ^vb++++=permit
my ^pp$+pp1+++=my
departure ^nn++++=departure
until ^cs+sub+++=until
the ^ati++++=the
danger ^nn++++=danger
of ^in++++=of
fever ^nn++++=fever
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
a ^at++++=a
man ^nn++++=man
of ^in++++=of
perhaps ^rb++++=perhaps
fifty ^cd++++=fifty
years ^nns++++=years,
, ^zz++++=EXTRAWORD
handsome ^jj++++=handsome,
, ^zz++++=EXTRAWORD
heavy ^jj++++=heavy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
indolent ^jj++++=indolent,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
courtesy ^nn++++=courtesy
that ^tht+rel+subj++=that
could ^md+pos+++=could
charm ^vb++++=charm
and ^cc++++=and
a ^at++++=a
vindictiveness ^nns+nom+++=vindictiveness
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
stirred ^vbd+++xvbn+=stirred,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
terrible ^jj+pred+++=terrible.
. ^zz++++=EXTRAWORD
In ^in++++=In
his ^pp$+pp3+++=his
affection ^nn+nom+++=affection
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
lavish ^jj++++=lavish;
; ^zz++++=EXTRAWORD
in ^in++++=in
punishment ^nn+nom+++=punishment
he ^pp3a+pp3+++=he
delighted ^vbd+++xvbnx+=delighted
not ^xnot++not++=not
merely ^rb+down+++=merely
in ^in++++=in
pain ^nn++++=pain,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
the ^ati++++=the
anticipation ^nn+nom+++=anticipation
of ^in++++=of
pain ^nn++++=pain
the ^ati++++=the
theatre ^nn++++=theatre,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
of ^in++++=of
justice ^nn++++=justice.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
during ^in++++=during
this ^dt+dem+++=this
enforced ^jj+atrb++xvbn+=enforced
residence ^nn+nom+++=residence
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
first ^od++++=first
observed ^vbn+vprv++xvbn+=observed
Neranya ^np+++??+=Neranya.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
held ^vbd+vprv++xvbnx+=held
no ^at++++=no
distinguished ^jj+atrb++xvbn+=distinguished
office ^nn++++=office.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
carried ^vbd+++xvbnx+=carried
messages ^nns+nom+++=messages,
, ^zz++++=EXTRAWORD
kept ^jj+atrb++xvbn+=kept
certain ^jj+atrb+++=certain
doors ^nns++++=doors,
, ^zz++++=EXTRAWORD
tended ^j+++xvbn+=tended
the ^ati++++=the
Rajah ^np++++=Rajah's
's ^$++++=EXTRAWORD
hunting ^nvbg+++xvbg+=hunting
weapons ^nns++++=weapons,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
performed ^vbd+++xvbn+=performed
those ^dt+dem+++=those
miscellaneous ^jj+atrb+++=miscellaneous
services ^nns++++=services
which ^whp+rel+subj++=which
belong ^vb++++=belong
less ^rbr++++=less
to ^in++++=to
a ^at++++=a
defined ^jj+++xvbn+=defined
station ^npl+nom+++=station
than ^in++++=than
to ^in++++=to
personal ^jj+atrb+++=personal
favour ^nn++++=favour.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
short ^jj++++=short,
, ^zz++++=EXTRAWORD
enormously ^rb+amp+++=enormously
powerful ^jj+atrb+++=powerful
man ^nn++++=man,
, ^zz++++=EXTRAWORD
with ^in++++=with
shoulders ^nns+nom+++=shoulders
disproportionate ^jj++++=disproportionate
to ^in++++=to
his ^pp$+pp3+++=his
height ^nn++++=height,
, ^zz++++=EXTRAWORD
long ^rb++++=long
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
a ^at++++=a
deep ^jj+atrb+++=deep
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
head ^nn++++=head
which ^whp+rel+subj++=which
might ^md+pos+++=might
have ^vb+hv+aux++=have
served ^vprf+++xvbnx+=served
a ^at++++=a
sculptor ^nn++++=sculptor
for ^in++++=for
some ^dti++++=some
malignant ^jj+atrb+++=malignant
philosopher ^nn+nom+++=philosopher.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
intelligence ^nn+nom+++=intelligence
was ^vbd+bedz+vrb++=was
unquestionable ^jj+pred+++=unquestionable.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
spoke ^vbd+++xvbnx+=spoke
little ^jj++++=little,
, ^zz++++=EXTRAWORD
forgot ^j+++xvbn+=forgot
nothing ^pn++++=nothing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
possessed ^vbd+++xvbn+=possessed
the ^ati++++=the
singular ^jj+atrb+++=singular
faculty ^nn++++=faculty
of ^in++++=of
remaining ^xvbg+++xvbg+=remaining
motionless ^jj++++=motionless
while ^cs+sub+++=while
every ^at++++=every
other ^ap++++=other
person ^nn++++=person
in ^in++++=in
a ^at++++=a
room ^nn++++=room
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
unconscious ^jj++++=unconscious
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
eyes ^nns++++=eyes
alone ^rb++++=alone
betrayed ^vprf+++xvbn+=betrayed
activity ^nn+nom+++=activity.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
black ^jj+pred+++=black,
, ^zz++++=EXTRAWORD
brilliant ^jj++++=brilliant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perpetually ^rb++++=perpetually
watchful ^jj++++=watchful.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
first ^rb++++=first
I ^pp1a+pp1+++=I
disliked ^vbd+++xvbnx+=disliked
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
physician ^nn++++=physician
may ^md+pos+++=may
be ^vb+be+vrb++=be
interested ^jj+pred+++=interested
in ^in++++=in
a ^at++++=a
disease ^nn++++=disease
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
most ^ql+emph+++=most
earnestly ^rb++++=earnestly
desires ^vbz++++=desires
to ^to+vcmp+++=to
cure ^vbi++++=cure,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv+tht0+xvbnx+=found
myself ^ppl+pp1+++=myself
studying ^jj+++xvbg+=studying
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
In ^in++++=In
those ^dt+dem+++=those
days ^nns++++=days
his ^pp$+pp3+++=his
devotion ^nn+nom+++=devotion
to ^in++++=to
Daryan ^np+++??+=Daryan
Singh ^np++++=Singh
appeared ^vbd+seem++xvbn+=appeared
absolute ^jj++++=absolute.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Rajah ^np+++??+=Rajah
had ^vb+hv+vrb++=had
but ^cc++++=but
to ^to++++=to
lift ^vbi++++=lift
a ^at++++=a
finger ^nn++++=finger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Neranya ^np+++??+=Neranya
sprang ^vbd+++xvbn+=sprang
to ^to++++=to
obey ^vbi++++=obey.
. ^zz++++=EXTRAWORD
Once ^rb+cnj+++=Once,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
a ^at++++=a
tethered ^jj+atrb++xvbn+=tethered
leopard ^nn++++=leopard
broke ^vbd+++xvbn+=broke
its ^pp$+it+++=its
chain ^nn++++=chain
in ^in++++=in
the ^ati++++=the
courtyard ^nn++++=courtyard,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
fellow ^jjb++++=fellow
interposed ^jj+++xvbn+=interposed
himself ^ppl+pp3+++=himself
between ^in++++=between
the ^ati++++=the
beast ^nn++++=beast
and ^cc++++=and
his ^pp$+pp3+++=his
master ^nn++++=master,
, ^zz++++=EXTRAWORD
receiving ^jj+++xvbg+=receiving
a ^at++++=a
dreadful ^jj+atrb+++=dreadful
laceration ^nn+nom+++=laceration
of ^in++++=of
the ^ati++++=the
shoulder ^nn+nom+++=shoulder
before ^cs+sub+++=before
the ^ati++++=the
guards ^nn++++=guards
killed ^vbd+++xvbn+=killed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
dressed ^vbd+++xvbnx+=dressed
the ^ati++++=the
wound ^nn+++xvbn+=wound,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
remember ^nn+nom+++=remember
his ^pp$+pp3+++=his
contempt ^nn++++=contempt
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
the ^ati++++=the
claws ^nns++++=claws
had ^vbd+hvd+aux++=had
missed ^vprf+++xvbnx+=missed
the ^ati++++=the
great ^jj+atrb+++=great
vessels ^nns++++=vessels
by ^in++++=by
less ^rbr++++=less
than ^in++++=than
an ^at++++=an
inch ^nn++++=inch.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
an ^at++++=an
inch ^nn++++=inch,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
look ^vb++++=look
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="where
where ^wrb+who+++=EXTRAWORD
the ^ati++++=the
Rajah ^np+++??+=Rajah
is ^vbz+bez+aux++=is
concerned ^vpsv++agls+xvbnx+=concerned?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+dem+++=That
devotion ^nn+nom+++=devotion
did ^vbd+dod+aux++=did
not ^xnot++not++=not
extend ^vb++++=extend
to ^in++++=to
mankind ^nn++++=mankind
in ^rb++++=in
general ^rb"++++=general.
. ^zz++++=EXTRAWORD
Neranya ^np+++??+=Neranya
was ^vbd+bedz+aux++=was
feared ^vpsv++by+xvbnx+=feared
by ^in++++=by
the ^ati++++=the
servants ^nns+nom+++=servants,
, ^zz++++=EXTRAWORD
hated ^xvbn+++xvbn+=hated
by ^in++++=by
the ^ati++++=the
guards ^nns++++=guards,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
detested ^vpsv++by+xvbn+=detested
by ^in++++=by
a ^at++++=a
misshapen ^jj+atrb+++=misshapen
dwarf ^nn++++=dwarf
named ^vbd+++xvbn+=named
Koro ^np+++??+=Koro,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
entertained ^vbd+++xvbn+=entertained
the ^ati++++=the
household ^nn++++=household
by ^in++++=by
mimicry ^nn++++=mimicry.
. ^zz++++=EXTRAWORD
Koro ^np++++=Koro's
's ^$++++=EXTRAWORD
tongue ^nn++++=tongue
was ^vbd+bedz+vrb++=was
merciless ^jj+pred+++=merciless.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
mocked ^vbd+++xvbnx+=mocked
Neranya ^np++++=Neranya's
's ^vbz+bez+aux++0=EXTRAWORD
crouching ^vbg+++xvbg+=crouching
walk ^nn++++=walk,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
silence ^nn+nom+++=silence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
excessive ^jj+atrb+++=excessive
length ^nn++++=length
of ^in++++=of
his ^pp$+pp3+++=his
arms ^nns++++=arms;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Rajah ^np+++??+=Rajah,
, ^zz++++=EXTRAWORD
amused ^xvbn+++xvbn+=amused
by ^in++++=by
the ^ati++++=the
contumely ^nn++++=contumely,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
nothing ^pn++++=nothing
to ^to++++=to
restrain ^vbi++++=restrain
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
morning ^nn++++=morning
the ^ati++++=the
dwarf ^nn++++=dwarf
was ^vbd+bedz+aux++=was
found ^vpsv++agls+xvbnx+=found
behind ^in+pl+++=behind
the ^ati++++=the
elephant ^nn+nom+++=elephant
stables ^nns++++=stables
with ^in++++=with
his ^pp$+pp3+++=his
neck ^nn++++=neck
twisted ^vbd+++xvbn+=twisted
so ^pn++++=so
completely ^rb+amp+++=completely
that ^cs+sub+++=that
the ^ati++++=the
chin ^nn++++=chin
rested ^vbd+++xvbn+=rested
between ^in++++=between
the ^ati++++=the
shoulders ^nns+nom+++=shoulders.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
no ^at++++=no
struggle ^nn++++=struggle.
. ^zz++++=EXTRAWORD
Neranya ^np+++??+=Neranya
was ^vbd+bedz+aux++=was
seen ^vpsv++agls+xvbnx+=seen
returning ^vbg+++xvbg+=returning
from ^in++++=from
that ^dt+dem+++=that
quarter ^nn++++=quarter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
accused ^vbd+++xvbn+=accused,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
confessed ^jj+++xvbn+=confessed
nor ^cc++neg++=nor
denied ^vbd+vpub++xvbn+=denied
the ^ati++++=the
deed ^nn++++=deed.
. ^zz++++=EXTRAWORD
Daryan ^np+++??+=Daryan
Singh ^np++++=Singh's
's ^$++++=EXTRAWORD
anger ^nn++++=anger
was ^vbd+bedz+aux++=was
sharpened ^vpsv++by+xvbnx+=sharpened
by ^in++++=by
the ^ati++++=the
loss ^nn++++=loss
of ^in++++=of
a ^at++++=a
favourite ^jjb+atrb+++=favourite
plaything ^nvbg+++xvbg+=plaything.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
summoned ^vbd+++xvbnx+=summoned
the ^ati++++=the
household ^nn++++=household
to ^in++++=to
the ^ati++++=the
courtyard ^nn++++=courtyard
and ^cc++++=and
pronounced ^jj+atrb++xvbn+=pronounced
sentence ^nn+nom+++=sentence
with ^in++++=with
the ^ati++++=the
smoothness ^nns+nom+++=smoothness
of ^in++++=of
one ^cd1++++=one
ordering ^nvbg+++xvbg+=ordering
a ^at++++=a
dish ^nn++++=dish
removed ^vwbn+++xvbn+=removed
from ^in++++=from
table ^nn++++=table.
. ^zz++++=EXTRAWORD
Neranya ^np++++=Neranya's
's ^$++++=EXTRAWORD
right ^jj++++=right
arm ^vb++++=arm
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
amputated ^vpsv++agls+xvbnx+=amputated
above ^jjb++++=above
the ^ati++++=the
elbow ^nn++++=elbow.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
protested ^vbd+vpub++xvbnx+=protested.
. ^zz++++=EXTRAWORD
Whatever ^nn+nom+++=Whatever
the ^ati++++=the
crime ^nn++++=crime,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
mutilation ^nn+nom+++=mutilation
was ^vbd+bedz+vrb++=was
an ^at++++=an
abominable ^jj+atrb+++=abominable
substitute ^nn++++=substitute
for ^in++++=for
justice ^nn++++=justice.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Rajah ^np+++??+=Rajah
listened ^vbd+++xvbn+=listened,
, ^zz++++=EXTRAWORD
thanked ^j+++xvbn+=thanked
me ^pp1o+pp1+++=me
for ^in++++=for
my ^pp$+pp1+++=my
opinion ^nn++++=opinion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
replied ^vbd+vpub++xvbn+=replied
that ^tht+vcmp+++=that
unless ^cs+cnd+++=unless
I ^pp1a+pp1+++=I
performed ^vbd+++xvbnx+=performed
the ^ati++++=the
operation ^nn+nom+++=operation,
, ^zz++++=EXTRAWORD
the ^ati++++=the
palace ^nn++++=palace
executioner ^nn+nom+++=executioner
would ^md+prd+++=would
hack ^vb+++??+=hack
the ^ati++++=the
limb ^nn++++=limb
away ^rp+pl+++=away
with ^in++++=with
a ^at++++=a
tulwar ^nn+++??+=tulwar.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
was ^vbd+bedz+vrb++=was
my ^pp$+pp1+++=my
humanity ^nn+nom+++=humanity
made ^vbd+++xvbn+=made
the ^ati++++=the
instrument ^nn+nom+++=instrument
of ^in++++=of
his ^pp$+pp3+++=his
cruelty ^nn++++=cruelty.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
yielded ^vbd+++xvbnx+=yielded
God ^np++++=God
forgive ^vb++++=forgive
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
and ^cc+cls+++=and
removed ^vbd+++xvbn+=removed
the ^ati++++=the
arm ^nn++++=arm
with ^in++++=with
all ^abn++++=all
the ^ati++++=the
speed ^nn++++=speed
and ^cc++++=and
skill ^nn++++=skill
at ^in++++=at
my ^pp$+pp1+++=my
command ^nn++++=command.
. ^zz++++=EXTRAWORD
Neranya ^np+++??+=Neranya
submitted ^vbd+vpub++xvbn+=submitted
without ^in++++=without
a ^at++++=a
cry ^nn++++=cry.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
once ^rb+tm+++=once
did ^vbd+dod+vrb++=did
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
leave ^vb++++=leave
the ^ati++++=the
Rajah ^np+++??+=Rajah,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
watched ^vbd+++xvbn+=watched
from ^in++++=from
a ^at++++=a
shaded ^jj+atrb++xvbn+=shaded
balcony ^nn++++=balcony.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
tied ^vbd+++xvbnx+=tied
the ^ati++++=the
arteries ^nns+nom+++=arteries
and ^cc++++=and
folded ^vbd+++xvbn+=folded
the ^ati++++=the
flaps ^nns++++=flaps
over ^in++++=over
the ^ati++++=the
bone ^nn++++=bone,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
expression ^nn++++=expression
retained ^vbd+++xvbn+=retained
that ^dt+dem+++=that
strange ^jj++++=strange,
, ^zz++++=EXTRAWORD
dog ^nn++++=dog-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
fidelity ^nn+nom+++=fidelity
which ^whp+rel+subj++=which
had ^vb+hv+aux++=had
formerly ^rb+tm+splt++=formerly
astonished ^vprf+++xvbnx+=astonished
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
