Into ^in++++=Into
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
draweth ^vbz++++=draweth
no ^at++++=no
water ^nn++++=water
and ^cc++++=and
grindeth ^vbz++++=grindeth
no ^at++++=no
corn ^nn++++=corn.
. ^zz++++=EXTRAWORD
All ^abn++++=All
here ^rn+pl+++=here
must ^md+nec+++=must
serve ^vb++++=serve,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
song ^nn++++=song
is ^vbz+bez+vrb++=is
folly ^nn++++=folly."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Iranon ^np+++??+=Iranon
lifted ^vbd+++xvbn+=lifted
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
not ^xnot++not++=not
joy ^nn++++=joy
also ^rb++++=also
a ^at++++=a
service ^nn++++=service?
? ^zz++++=EXTRAWORD
The ^ati++++=The
wall ^nn++++=wall
preserveth ^vbz++++=preserveth
the ^ati++++=the
body ^nn++++=body,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
what ^wdt+who+++=what
preserveth ^vbz++++=preserveth
the ^ati++++=the
heart ^nn++++=heart
within ^in++++=within
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
The ^ati++++=The
mill ^nn++++=mill
sustaineth ^vbz++++=sustaineth
life ^nn++++=life,
, ^zz++++=EXTRAWORD
but ^in++++=but
for ^in"++++=for
what ^wdt+who+++=what
end ^nn++++=end
is ^vbz+bez+aux++=is
life ^nn++++=life
sustained ^vbd+++xvbn+=sustained
if ^cs+cnd+++=if
there ^ex+pex+++=there
be ^vb+be+vrb++=be
no ^at++++=no
moonlight ^nn++++=moonlight,
, ^zz++++=EXTRAWORD
no ^at++++=no
music ^nn++++=music,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
memory ^nn++++=memory
of ^in++++=of
fair ^jj+atrb+++=fair
things ^nns++++=things?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="These
these ^dt+pdem+++=EXTRAWORD
are ^vb+ber+vrb++=are
idle ^jj+atrb+++=idle
riddles ^nns++++=riddles,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
archon ^&fw++++=archon.
. ^zz++++=EXTRAWORD
" ^zz++++="On
on ^in++++=EXTRAWORD
the ^ati++++=the
morrow ^nn++++=morrow
thou ^pp2+pp2+++=thou
shalt ^md++++=shalt
work ^vb++++=work
in ^in++++=in
the ^ati++++=the
stone ^nn++++=stone-yards."
- ^zz++++=EXTRAWORD
yards ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
Iranon ^np+++??+=Iranon
went ^vbd+++xvbn+=went
from ^in++++=from
the ^ati++++=the
chamber ^nn++++=chamber
and ^cc++++=and
slept ^vpsv++agls+xvbn+=slept
beneath ^in+pl+++=beneath
a ^at++++=a
portico ^nn+++??+=portico
where ^wrb+who+++=where
the ^ati++++=the
rain ^nn++++=rain
dripped ^vbd+++xvbn+=dripped
through ^in++++=through
cracks ^nns++++=cracks
in ^in++++=in
the ^ati++++=the
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
Above ^rb++++=Above
him ^pp3o+pp3+++=him
rose ^vbd+++xvbn+=rose
Teloth ^np++++=Teloth's
's ^$++++=EXTRAWORD
grey ^np++++=grey
domes ^nns+++??+=domes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beyond ^in++++=beyond
them ^pp3o+pp3+++=them
the ^ati++++=the
stars ^nn++++=stars
appeared ^vbd+seem++xvbn+=appeared
one ^pn++++=one
by ^in++++=by
one ^pn++++=one,
, ^zz++++=EXTRAWORD
remote ^jj++++=remote
and ^cc+phrs+++=and
glittering ^jj++++=glittering.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
touched ^vbd+++xvbnx+=touched
the ^ati++++=the
strings ^nns++++=strings
of ^in++++=of
his ^pp$+pp3+++=his
lute ^nn+++??+=lute
very ^ql+amp+++=very
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
lest ^cs+sub+++=lest
the ^ati++++=the
watchmen ^nn++++=watchmen
hear ^vb+vprv+++=hear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sang ^vpsv++agls+xvbn+=sang
of ^in++++=of
Aira ^np+++??+=Aira.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sang ^vbd+++xvbnx+=sang
of ^in++++=of
towers ^nns++++=towers
whose ^whp+rel+obj++=whose
roofs ^nns++++=roofs
were ^vbd+bed+aux++=were
beaten ^vpsv++agls+xvbnx+=beaten
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
walls ^nns++++=walls
built ^vbd+++xvbn+=built
of ^in++++=of
veined ^jj+atrb+++=veined
marble ^nn++++=marble
and ^cc++++=and
pale ^jj++++=pale-green
- ^zz++++=EXTRAWORD
green ^nn++++=EXTRAWORD
beryl ^np++++=beryl;
; ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
river ^nn++++=river
Nithra ^np+++??+=Nithra,
, ^zz++++=EXTRAWORD
clear ^jj++++=clear
as ^ql++++=as
crystal ^nn++++=crystal,
, ^zz++++=EXTRAWORD
flowing ^vbg+++xvbg+=flowing
beneath ^in+pl+++=beneath
balconies ^nns++++=balconies
wreathed ^vbd+++xvbn+=wreathed
in ^in++++=in
roses ^nns++++=roses;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
the ^ati++++=the
tiny ^jj+atrb+++=tiny
Kra ^np+++??+=Kra,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
murmured ^jj+++xvbn+=murmured
through ^in++++=through
gardens ^nns++++=gardens
of ^in++++=of
myrrh ^nn+++??+=myrrh
and ^cc++++=and
pomegranate ^nn+nom+++=pomegranate.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sang ^vbd+++xvbnx+=sang
of ^in++++=of
white ^jj+atrb+++=white
roads ^nns++++=roads
beneath ^in+pl+++=beneath
flowering ^nn++++=flowering
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
of ^in++++=of
cerulean ^jj+atrb+++=cerulean
pools ^nns++++=pools
wherein ^wrb+who+++=wherein
silver ^nn++++=silver
fish ^nns++++=fish
moved ^vbd+++xvbn+=moved
like ^in++++=like
fallen ^vprf+++xvbn+=fallen
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
the ^ati++++=the
palace ^nn++++=palace
where ^wrb+who+++=where
his ^pp$+pp3+++=his
father ^nn++++=father
had ^vbd+hvd+aux++=had
feasted ^vprf+++xvbnx+=feasted
kings ^npt++++=kings
beneath ^in+pl+++=beneath
an ^at++++=an
ivory ^nn++++=ivory
dome ^nn++++=dome.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
maidens ^nns++++=maidens
in ^in++++=in
saffron ^nn++++=saffron
veils ^nns++++=veils
danced ^vbd+++xvbn+=danced
upon ^in++++=upon
floors ^nns++++=floors
of ^in++++=of
onyx ^nn+++??+=onyx,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
old ^jj+atrb+++=old
men ^nns++++=men
smiled ^vbd+++xvbn+=smiled
when ^wrb+who+++=when
young ^jj+atrb+++=young
men ^nns++++=men
sang ^vbd+++xvbn+=sang,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
wisdom ^nn++++=wisdom
had ^vb+hv+aux++=had
not ^xnot++not++=not
yet ^rb++++=yet
forgotten ^vprf+++xvbn+=forgotten
wonder ^vb++++=wonder.
. ^zz++++=EXTRAWORD
From ^in++++=From
an ^at++++=an
alley ^nn++++=alley
came ^vbd+++xvbn+=came
a ^at++++=a
boy ^nn++++=boy
thinly ^rb++++=thinly
clad ^jj++++=clad,
, ^zz++++=EXTRAWORD
with ^in++++=with
black ^jj+atrb+++=black
hair ^nn++++=hair
and ^cc++++=and
solemn ^jj+atrb+++=solemn
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Romnod ^np+++??+=Romnod,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
long ^rb++splt++=long
hated ^vprf+++xvbnx+=hated
the ^ati++++=the
clang ^nn++++=clang
of ^in++++=of
Teloth ^np++++=Teloth's
's ^$++++=EXTRAWORD
hammers ^nns+nom+++=hammers
and ^cc++++=and
the ^ati++++=the
maxims ^nns++++=maxims
of ^in++++=of
its ^pp$+it+++=its
elders ^nns++++=elders.
. ^zz++++=EXTRAWORD
" ^zz++++="Was
was ^vbd+bedz+vrb++=EXTRAWORD
Aira ^np+++??+=Aira
truly ^rb++++=truly
thus ^rb+cnj+++=thus?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
whispered ^vbd+vpub++xvbnx+=whispered.
. ^zz++++=EXTRAWORD
" ^zz++++="Fairer,"
fairer ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Iranon ^np+++??+=Iranon,
, ^zz++++=EXTRAWORD
" ^zz++++="for
for ^in++++=EXTRAWORD
no ^at++++=no
song ^nn++++=song
can ^md+pos+++=can
contain ^vb++++=contain
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
why ^wrb+who+++=why
dost ^nn+++??+=dost
thou ^pp2+pp2+++=thou
tarry ^nn++++=tarry
here ^rn+pl+++=here?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
tarry ^nn++++=tarry
nowhere ^rb+pl+++=nowhere
willingly ^rb++++=willingly.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
seek ^vb++++=seek
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
men ^nns++++=men
know ^vb+vprv+++=know
only ^rb+down+++=only
the ^ati++++=the
paths ^nns++++=paths
to ^in++++=to
markets ^nns++++=markets,
, ^zz++++=EXTRAWORD
quarries ^nns++++=quarries,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
graves ^nns++++=graves."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Romnod ^np+++??+=Romnod
sat ^vbd+++xvbn+=sat
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him
until ^cs+sub+++=until
the ^ati++++=the
moon ^np++++=moon
had ^vbd+hvd+aux++=had
crossed ^vprf+++xvbnx+=crossed
the ^ati++++=the
portico ^nn+++??+=portico.
. ^zz++++=EXTRAWORD
Iranon ^np+++??+=Iranon
told ^vbd+vpub++xvbn+=told
how ^wrb+who+whcl++=how
in ^in++++=in
childhood ^nn+nom+++=childhood
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
played ^vprf+++xvbnx+=played
under ^in++++=under
green ^jj+atrb+++=green
vines ^nns++++=vines
while ^cs+sub+++=while
the ^ati++++=the
Nithra ^np+++??+=Nithra
flashed ^vbd+++xvbn+=flashed
beyond ^in++++=beyond
a ^at++++=a
balustrade ^nn++++=balustrade;
; ^zz++++=EXTRAWORD
how ^wrb+who+++=how
a ^at++++=a
dark ^jj+atrb+++=dark
usurper ^np++++=usurper
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
Aira ^np+++??+=Aira
with ^in++++=with
spearmen ^nn++++=spearmen
from ^in++++=from
Sidrak ^np+++??+=Sidrak;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
faithful ^jj+atrb+++=faithful
servants ^nns+nom+++=servants
had ^vbd+hvd+aux++=had
borne ^vprf+++xvbnx+=borne
the ^ati++++=the
prince ^nn++++=prince
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
those ^dt+dem+++=those
servants ^nns+nom+++=servants
he ^pp3a+pp3+++=he
could ^md+pos+++=could
recall ^vb+vprv+++=recall
neither ^dt++neg++=neither
face ^nn++++=face
nor ^cc++neg++=nor
name ^nn++++=name,
, ^zz++++=EXTRAWORD
for ^in++++=for
grief ^nn++++=grief
had ^vbd+hvd+aux++=had
veiled ^vprf+++xvbnx+=veiled
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
of ^in++++=of
Aira ^np+++??+=Aira
he ^pp3a+pp3+++=he
remembered ^vbd+vprv++xvbnx+=remembered
every ^at++++=every
stone ^nn++++=stone
and ^cc++++=and
blossom ^vb++++=blossom.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
morrow ^nn++++=morrow
Iranon ^np+++??+=Iranon
was ^vbd+bedz+aux++=was
set ^jj++agls+xvbnx+=set
to ^to+jcmp+++=to
labour ^vb++++=labour
among ^in++++=among
the ^ati++++=the
quarrymen ^nn++++=quarrymen.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
gave ^vbd+++xvbnx+=gave
him ^pp3o+pp3+++=him
a ^at++++=a
coarse ^jj+atrb+++=coarse
tunic ^nn++++=tunic
and ^cc++++=and
ordered ^jj+++xvbn+=ordered
him ^pp3o+pp3+++=him
to ^to++++=to
lay ^vbi++++=lay
aside ^rp++++=aside
his ^pp$+pp3+++=his
purple ^jj+atrb+++=purple
robe ^nn++++=robe,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
would ^md+prd+++=would
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
a ^at++++=a
sky ^nn++++=sky
the ^ati++++=the
colour ^nn++++=colour
of ^in++++=of
lead ^nn++++=lead
he ^pp3a+pp3+++=he
carried ^vbd+++xvbnx+=carried
blocks ^nns++++=blocks
until ^cs+sub+++=until
his ^pp$+pp3+++=his
hands ^nns++++=hands
bled ^vbd+++xvbn+=bled,
, ^zz++++=EXTRAWORD
whilst ^cs+sub+++=whilst
overseers ^nns+nom+++=overseers
mocked ^vbd+++xvbn+=mocked
the ^ati++++=the
delicacy ^nn+nom+++=delicacy
of ^in++++=of
a ^at++++=a
prince ^nn++++=prince.
. ^zz++++=EXTRAWORD
At ^in++++=At
noon ^nn++++=noon
he ^pp3a+pp3+++=he
sang ^vbd+++xvbnx+=sang
to ^to++++=to
make ^vbi++++=make
the ^ati++++=the
stones ^nns++++=stones
less ^rbr++++=less
heavy ^jj++++=heavy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
master ^npt++++=master
struck ^vbd+++xvbn+=struck
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying
that ^tht+vcmp+++=that
rhythm ^nn++++=rhythm
weakened ^vbd+++xvbn+=weakened
diligence ^nn+nom+++=diligence.
. ^zz++++=EXTRAWORD
At ^in++++=At
dusk ^nn++++=dusk
the ^ati++++=the
archons ^nn++++=archons
proclaimed ^vbd+++xvbn+=proclaimed
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
must ^md+nec+++=must
return ^vb++++=return
each ^dt++++=each
day ^nn++++=day
and ^cc++++=and
speak ^vb++++=speak
no ^at++++=no
more ^rbr++++=more
of ^in++++=of
countries ^nns++++=countries
which ^whp+rel+subj++=which
did ^vbd+dod+aux++=did
not ^xnot++not++=not
pay ^vb++++=pay
tribute ^nn++++=tribute
to ^in++++=to
Teloth ^np+++??+=Teloth.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night
Romnod ^np+++??+=Romnod
came ^vbd+++xvbn+=came
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="Beyond
beyond ^in++++=EXTRAWORD
the ^ati++++=the
southern ^jj+atrb+++=southern
hills ^nns++++=hills
lieth ^vbz++++=lieth
Oonai ^np+++??+=Oonai,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
" ^zz++++="Caravans
caravans ^nns+nom+++=EXTRAWORD
speak ^vb++++=speak
of ^in++++=of
it ^pp3+it+++=it
as ^in++++=as
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
lutes ^nns+++??+=lutes
and ^cc++++=and
dancing ^nvbg+++xvbg+=dancing.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
men ^nns++++=men
cast ^vbd+++xvbn+=cast
flowers ^nns+nom+++=flowers
before ^in++++=before
singers ^nns+nom+++=singers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
archon ^&fw++++=archon
counteth ^vbz++++=counteth
every ^at++++=every
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take
me ^pp1o+pp1+++=me
with ^in++++=with
thee ^pp2+pp2+++=thee,
, ^zz++++=EXTRAWORD
Iranon ^np+++??+=Iranon,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
would ^md+prd+++=would
rather ^rb++splt++=rather
seek ^vb++++=seek
a ^at++++=a
city ^nn++++=city
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
not ^xnot++not++=not
seen ^vprf+++xvbn+=seen
than ^in++++=than
inherit ^vb++++=inherit
this ^dt+dem+++=this
one ^pn++++=one."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
before ^cs+sub+++=before
dawn ^nn++++=dawn
they ^pp3a+pp3+++=they
passed ^vbd+++xvbnx+=passed
through ^in++++=through
a ^at++++=a
postern ^jj+++xvbn+=postern
and ^cc+phrs+++=and
went ^jj+++xvbn+=went
southward ^rb+cnj+++=southward,
, ^zz++++=EXTRAWORD
Iranon ^np+++??+=Iranon
in ^in++++=in
his ^pp$+pp3+++=his
tattered ^jj+atrb+++=tattered
purple ^nn++++=purple
and ^cc++++=and
Romnod ^np+++??+=Romnod
in ^in++++=in
a ^at++++=a
labourer ^nn+nom+++=labourer's
's ^vbz+bez+vrb++0=EXTRAWORD
brown ^jj+atrb+++=brown
cloak ^nn++++=cloak.
. ^zz++++=EXTRAWORD
Behind ^in+pl+++=Behind
them ^pp3o+pp3+++=them
Teloth ^np+++??+=Teloth
lay ^vbd+++xvbn+=lay
beneath ^in+pl+++=beneath
its ^pp$+it+++=its
smoke ^nn++++=smoke,
, ^zz++++=EXTRAWORD
solid ^jj++++=solid
and ^cc+phrs+++=and
joyless ^jj++++=joyless;
; ^zz++++=EXTRAWORD
before ^cs+sub+++=before
them ^pp3o+pp3+++=them
stretched ^vbd+++xvbn+=stretched
the ^ati++++=the
stony ^jj+atrb+++=stony
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
touched ^j+++xvbn+=touched
at ^rb++++=at
their ^pp$+pp3+++=their
crests ^nns+++??+=crests
by ^in++++=by
a ^at++++=a
thin ^jj+atrb+++=thin
gold ^nn++++=gold
light ^nn++++=light.
. ^zz++++=EXTRAWORD
For ^in++++=For
many ^ap++++=many
years ^nns++++=years
they ^pp3a+pp3+++=they
wandered ^vbd+++xvbnx+=wandered,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
to ^in++++=to
Iranon ^np+++??+=Iranon
the ^ati++++=the
years ^nns++++=years
seemed ^vbd+seem++xvbn+=seemed
no ^at++++=no
more ^ql++++=more
than ^cs+sub+++=than
changes ^nns++++=changes
in ^in++++=in
the ^ati++++=the
wind ^nn++++=wind.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
crossed ^vbd+++xvbnx+=crossed
Narthos ^np+++??+=Narthos,
