In ^in++++=In
back ^jjb++++=back
and ^cc+phrs+++=and
sorrowful ^jj++++=sorrowful
countenance ^nn+nom+++=countenance.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Khaleefeh ^np+++??+=Khaleefeh
said ^vbd+vpub++xvbn+=said
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
O ^zz++++=O
sheykh ^nn+++??+=sheykh,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
thine ^pp$+pp2+++=thine
occupation ^nn+nom+++=occupation?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
fisherman ^nn+nom+++=fisherman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
wife ^nn++++=wife
and ^cc++++=and
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
morning ^nn++++=morning
until ^cs+sub+++=until
this ^dt+dem+++=this
hour ^nn++++=hour
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
cast ^vprf+++xvbnx+=cast
my ^pp$+pp1+++=my
net ^jjb++++=net
and ^cc++++=and
caught ^xvbn+++xvbn+=caught
nothing ^pn++++=nothing;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
I ^pp1a+pp1+++=I
return ^vb++++=return
to ^in++++=to
them ^pp3o+pp3+++=them
without ^in++++=without
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
know ^vb+vprv+++=know
not ^xnot++not++=not
how ^wrb+who+++=how
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
endure ^vb++++=endure
their ^pp$+pp3+++=their
crying ^nvbg+++xvbg+=crying.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
recited ^vbd+++xvbnx+=recited
these ^dt+dem+++=these
verses ^nns++++=verses:
: ^zz++++=EXTRAWORD
The ^ati++++=The
poor ^jj+atrb+++=poor
man ^nn++++=man
walketh ^vbz++++=walketh
amid ^in++++=amid
mankind ^nn++++=mankind
in ^in++++=in
fear ^nn++++=fear,
, ^zz++++=EXTRAWORD
Though ^cs+sub+++=Though
no ^at++++=no
offence ^nn+nom+++=offence
be ^vb+be+aux++=be
written ^vpsv++agls+xvbnx+=written
to ^in++++=to
his ^pp$+pp3+++=his
name ^nn++++=name;
; ^zz++++=EXTRAWORD
The ^ati++++=The
wealthy ^nn++++=wealthy
speak ^vb++++=speak,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
ear ^nn++++=ear
inclineth ^vbz++++=inclineth,
, ^zz++++=EXTRAWORD
The ^ati++++=The
poor ^nn++++=poor
complain ^vb+vpub+++=complain,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
straight ^rb++++=straight
they ^pp3a+pp3+++=they
bear ^vb+vprv+++=bear
the ^ati++++=the
blame ^nn++++=blame.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
many ^ap++++=many
judges ^nns++++=judges
smile ^nn++++=smile
upon ^in++++=upon
oppression ^nn++++=oppression,
, ^zz++++=EXTRAWORD
And ^cc+cls+++=And
call ^vb++++=call
the ^ati++++=the
weak ^jj+atrb+++=weak
man ^nn++++=man
guilty ^jj++++=guilty
of ^in++++=of
his ^pp$+pp3+++=his
shame ^nn++++=shame!
! ^zz++++=EXTRAWORD
The ^ati++++=The
Khaleefeh ^np+++??+=Khaleefeh,
, ^zz++++=EXTRAWORD
hearing ^vbg+vprv+tht0+xvbg+=hearing
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
moved ^vpsv++agls+xvbnx+=moved
with ^in++++=with
compassion ^nn++++=compassion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
Wilt ^np+prd++??+=Wilt
thou ^pp2+pp2+++=thou
return ^vb++++=return
to ^in++++=to
the ^ati++++=the
river ^nn++++=river
and ^cc++++=and
cast ^nn+++xvbn+=cast
thy ^pp$+pp2+++=thy
net ^jjb++++=net
once ^rb+tm+++=once
for ^in++++=for
my ^pp$+pp1+++=my
sake ^nn++++=sake?
? ^zz++++=EXTRAWORD
Whatever ^nn+nom+++=Whatever
thou ^pp2+pp2+++=thou
drawest ^jjt++++=drawest
forth ^np++++=forth
I ^pp1a+pp1+++=I
will ^md+prd+++=will
buy ^vb++++=buy
of ^in++++=of
thee ^pp2+pp2+++=thee
for ^in++++=for
a ^at++++=a
hundred ^cd++++=hundred
pieces ^nns++++=pieces
of ^in++++=of
gold ^nn++++=gold.
. ^zz++++=EXTRAWORD
The ^ati++++=The
fisherman ^nn+nom+++=fisherman
rejoiced ^vbd+++xvbn+=rejoiced
and ^cc+phrs+++=and
replied ^vbd+vpub++xvbn+=replied,
, ^zz++++=EXTRAWORD
By ^in++++=By
Allah ^np++++=Allah,
, ^zz++++=EXTRAWORD
O ^zz++++=O
my ^pp$+pp1+++=my
lord ^npt++++=lord,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
cast ^vb+++xvbn+=cast
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
cast ^vprf+++xvbnx+=cast
it ^pp3+it+++=it
a ^at++++=a
hundred ^cd++++=hundred
times ^nns++++=times.
. ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
water ^nn++++=water
and ^cc++++=and
threw ^vpsv++agls+xvbn+=threw
in ^in++++=in
the ^ati++++=the
net ^jjb++++=net,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
waited ^vbd+++xvbn+=waited
awhile ^rb+cnj+++=awhile,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
drew ^vbd+++xvbn+=drew
it ^pp3+it+++=it
toward ^in++++=toward
the ^ati++++=the
bank ^nn++++=bank.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
found ^vbd+vprv+tht0+xvbnx+=found
it ^pp3+it+++=it
heavy ^jj++++=heavy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
called ^vpsv++agls+xvbn+=called
upon ^in++++=upon
the ^ati++++=the
three ^cd++++=three
to ^in++++=to
aid ^nn++++=aid
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
pulled ^vbd+++xvbnx+=pulled
together ^nn+nom+++=together
until ^cs+sub+++=until
there ^ex+pex+++=there
appeared ^vprf+++xvbn+=appeared
a ^at++++=a
chest ^nn++++=chest
of ^in++++=of
palm ^nn++++=palm-wood,
- ^zz++++=EXTRAWORD
wood ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
bound ^xvbn+++xvbn+=bound
with ^in++++=with
iron ^nn++++=iron
bands ^nns++++=bands
and ^cc++++=and
secured ^vpsv++agls+xvbn+=secured
with ^in++++=with
a ^at++++=a
lock ^nn++++=lock.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Khaleefeh ^np+++??+=Khaleefeh
gave ^vbd+++xvbn+=gave
the ^ati++++=the
fisherman ^nn+nom+++=fisherman
the ^ati++++=the
promised ^jj+atrb++xvbn+=promised
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
whereupon ^cs+sub+++=whereupon
the ^ati++++=the
man ^nn++++=man
kissed ^vbd+++xvbn+=kissed
his ^pp$+pp3+++=his
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
prayed ^j+++xvbn+=prayed
for ^in++++=for
the ^ati++++=the
prolongation ^nn+nom+++=prolongation
of ^in++++=of
his ^pp$+pp3+++=his
life ^nn++++=life,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
departed ^jj+++xvbn+=departed
wondering ^jj+++xvbg+=wondering
at ^in++++=at
the ^ati++++=the
bounty ^nn++++=bounty
of ^in++++=of
fate ^nn++++=fate.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Mesroor ^np+++??+=Mesroor
lifted ^vbd+++xvbn+=lifted
the ^ati++++=the
chest ^nn++++=chest
upon ^in++++=upon
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
returned ^vbd+++xvbnx+=returned
with ^in++++=with
it ^pp3+it+++=it
to ^in++++=to
the ^ati++++=the
palace ^nn++++=palace.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
entered ^vprf+++xvbnx+=entered
a ^at++++=a
private ^jj+atrb+++=private
chamber ^nn++++=chamber,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Khaleefeh ^np+++??+=Khaleefeh
ordered ^vbd+vsua++xvbn+=ordered
that ^tht+vcmp+++=that
lights ^nns++++=lights
should ^md+nec+++=should
be ^vb+be+aux++=be
brought ^vpsv++agls+xvbnx+=brought,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
commanded ^vbd+vpub++xvbnx+=commanded
Mesroor ^np+++??+=Mesroor
to ^to++++=to
break ^vbi++++=break
the ^ati++++=the
lock ^nn++++=lock.
. ^zz++++=EXTRAWORD
Mesroor ^np+++??+=Mesroor
struck ^vbd+++xvbn+=struck
it ^pp3+it+++=it
with ^in++++=with
a ^at++++=a
hammer ^nn++++=hammer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
lock ^nn++++=lock
flew ^vbd+++xvbn+=flew
apart ^in+strn+++=apart.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
raised ^vbd+++xvbnx+=raised
the ^ati++++=the
lid ^nn++++=lid
and ^cc++++=and
found ^vpsv++agls+xvbn+=found
within ^in++++=within
it ^pp3+it+++=it
a ^at++++=a
basket ^nn++++=basket
sewn ^vprf+++xvbn+=sewn
in ^in++++=in
red ^jj+atrb+++=red
wool ^nn++++=wool.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
they ^pp3a+pp3+++=they
cut ^vbd+++xvbnx+=cut
open ^jj++++=open,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
beneath ^in+pl+++=beneath
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
an ^at++++=an
iz ^nn+++??+=iz
r ^zz++++=r
wrapped ^vbd+++xvbn+=wrapped
many ^ap++++=many
times ^nns++++=times
about ^in++++=about
a ^at++++=a
bundle ^nn++++=bundle.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
removed ^vbd+++xvbnx+=removed
fold ^npl++++=fold
after ^in++++=after
fold ^nn++++=fold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lo ^np++++=lo,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
appeared ^vprf+++xvbn+=appeared
the ^ati++++=the
body ^nn++++=body
of ^in++++=of
a ^at++++=a
young ^jj+atrb+++=young
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
cut ^j+++xvbn+=cut
in ^in++++=in
pieces ^nns++++=pieces,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
beauty ^nn++++=beauty
remained ^vbd+++xvbn+=remained
visible ^jj++++=visible
notwithstanding ^rb+cnj+++=notwithstanding
the ^ati++++=the
violence ^nn+nom+++=violence
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
done ^vpsv++agls+xvbnx+=done
unto ^in++++=unto
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
sight ^nn++++=sight
the ^ati++++=the
Khaleefeh ^np+++??+=Khaleefeh
wept ^vbd+++xvbn+=wept,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
afterward ^rb++++=afterward
his ^pp$+pp3+++=his
face ^nn++++=face
became ^vbd+++xvbn+=became
red ^jj++++=red
with ^in++++=with
anger ^nn++++=anger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
to ^in++++=to
Ja ^np+++??+=Ja
far ^rb+pl+++=far
and ^cc++++=and
cried ^vbd+++xvbn+=cried,
, ^zz++++=EXTRAWORD
O ^zz++++=O
dog ^nn++++=dog
of ^in++++=of
a ^at++++=a
Wezeer ^np+++??+=Wezeer,
, ^zz++++=EXTRAWORD
shall ^md+prd+++=shall
a ^at++++=a
woman ^nn++++=woman
be ^vb+be+vrb++=be
slain ^nn+++??+=slain
in ^in++++=in
my ^pp$+pp1+++=my
city ^nn++++=city,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shall ^md+prd+++=shall
her ^pp$+pp3+++=her
body ^nn++++=body
be ^vb+be+aux++=be
cast ^vpsv++agls+xvbnx+=cast
into ^in++++=into
my ^pp$+pp1+++=my
river ^nn++++=river,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
sit ^vb++++=sit
upon ^in++++=upon
the ^ati++++=the
throne ^nn++++=throne
and ^cc++++=and
know ^vb+vprv+tht0++=know
nothing ^pn++++=nothing?
? ^zz++++=EXTRAWORD
By ^in++++=By
Allah ^np++++=Allah,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
take ^vb++++=take
vengeance ^nn+nom+++=vengeance
for ^in++++=for
this ^dt+dem+++=this
oppressed ^jj+atrb+++=oppressed
one ^pn++++=one,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
I ^pp1a+pp1+++=I
will ^md+prd+++=will
hang ^vb++++=hang
thee ^pp2+pp2+++=thee
and ^cc++++=and
forty ^cd++++=forty
of ^in++++=of
the ^ati++++=the
sons ^nns++++=sons
of ^in++++=of
thine ^pp$+pp2+++=thine
uncle ^nn++++=uncle
at ^rb++++=at
the ^ati++++=the
gate ^nn++++=gate
of ^in++++=of
my ^pp$+pp1+++=my
palace ^nn++++=palace!
! ^zz++++=EXTRAWORD
Ja ^np+++??+=Ja
far ^rb+pl+++=far
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
O ^zz++++=O
Prince ^npt++++=Prince
of ^in++++=of
the ^ati++++=the
Faithful ^jj++++=Faithful,
, ^zz++++=EXTRAWORD
grant ^nn++++=grant
me ^pp1o+pp1+++=me
time ^nn++++=time
in ^in++++=in
which ^whp+rel+pied++=which
to ^to++++=to
seek ^vbi++++=seek
the ^ati++++=the
murderer ^nn+nom+++=murderer.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
grant ^vb+vsua+tht0++=grant
thee ^pp2+pp2+++=thee
three ^cd++++=three
days ^nns++++=days;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
thou ^pp2+pp2+++=thou
bringest ^jjt++++=bringest
him ^pp3o+pp3+++=him
not ^xnot++not++=not
before ^cs+sub+++=before
me ^pp1o+pp1+++=me
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
ended ^vpsv++agls+xvbnx+=ended,
, ^zz++++=EXTRAWORD
thy ^pp$+pp2+++=thy
blood ^nn++++=blood
and ^cc++++=and
the ^ati++++=the
blood ^nn++++=blood
of ^in++++=of
thy ^pp$+pp2+++=thy
kindred ^nn++++=kindred
shall ^md+prd+++=shall
answer ^vb++++=answer
for ^in+ppvb+++=for
hers ^pp$$++++=hers.
. ^zz++++=EXTRAWORD
Ja ^np+++??+=Ja
far ^rb+pl+++=far
went ^vbd+++xvbn+=went
forth ^rp++++=forth
with ^in++++=with
a ^at++++=a
sorrowful ^jj+atrb+++=sorrowful
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying
within ^in++++=within
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
shall ^md+prd+++=shall
I ^pp1a+pp1+++=I
discover ^nn+nom+++=discover
the ^ati++++=the
murderer ^nn+nom+++=murderer
of ^in++++=of
an ^at++++=an
unknown ^jj+atrb+++=unknown
woman ^nn++++=woman
whose ^whp+rel+obj++=whose
body ^nn++++=body
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
the ^ati++++=the
Tigris ^np+++??+=Tigris?
? ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
seize ^vb++++=seize
one ^pn++++=one
upon ^in++++=upon
suspicion ^nn++++=suspicion,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
may ^md+pos+++=may
destroy ^vb++++=destroy
the ^ati++++=the
innocent ^jj++++=innocent;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
seize ^vb++++=seize
none ^rb+cnj+++=none,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Khaleefeh ^np+++??+=Khaleefeh
will ^md+prd+++=will
destroy ^vb++++=destroy
me ^pp1o+pp1+++=me
and ^cc++++=and
my ^pp$+pp1+++=my
family ^nn++++=family.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
strength ^nn++++=strength
nor ^cc++neg++=nor
power ^nn++++=power
but ^cc++++=but
in ^in++++=in
Allah ^np++++=Allah,
, ^zz++++=EXTRAWORD
the ^ati++++=the
High ^jj++++=High,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Great ^nn++++=Great.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
first ^rb++++=first
day ^nn++++=day
he ^pp3a+pp3+++=he
caused ^vbd+++xvbnx+=caused
proclamation ^nn+nom+++=proclamation
to ^to++++=to
be ^vbi+vbi+aux++=be
made ^vpsv++agls+xvbnx+=made
throughout ^in++++=throughout
Baghdad ^np++++=Baghdad,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
questioned ^vbd+vpub++xvbn+=questioned
the ^ati++++=the
keepers ^nns+nom+++=keepers
of ^in++++=of
the ^ati++++=the
gates ^nns++++=gates,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ferrymen ^jj+++xvbn+=ferrymen,
, ^zz++++=EXTRAWORD
the ^ati++++=the
water ^nn++++=water-carriers,
- ^zz++++=EXTRAWORD
carriers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
boatmen ^jj+++xvbn+=boatmen,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
watchmen ^nn++++=watchmen
of ^in++++=of
the ^ati++++=the
quarters ^nns+nom+++=quarters;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
learned ^vbd+vprv+tht0+xvbnx+=learned
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
second ^od++++=second
day ^nn++++=day
he ^pp3a+pp3+++=he
summoned ^vbd+++xvbnx+=summoned
physicians ^nns++++=physicians,
, ^zz++++=EXTRAWORD
washerwomen ^j+++xvbn+=washerwomen,
, ^zz++++=EXTRAWORD
brokers ^nns+nom+++=brokers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sellers ^nns+nom+++=sellers
of ^in++++=of
women ^nns++++=women's
's ^$++++=EXTRAWORD
garments ^nns+nom+++=garments,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
no ^at++++=no
person ^nn++++=person
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
murdered ^jj+atrb++xvbn+=murdered
damsel ^nn++++=damsel.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
third ^od++++=third
day ^nn++++=day
he ^pp3a+pp3+++=he
renewed ^vbd+++xvbnx+=renewed
his ^pp$+pp3+++=his
inquiries ^nns++++=inquiries
from ^in++++=from
dawn ^nn++++=dawn
until ^in++++=until
sunset ^nn++++=sunset,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
hidden ^jj+atrb++xvbn+=hidden
thing ^nn++++=thing
remained ^vbd+++xvbn+=remained
hidden ^vbd+++xvbn+=hidden.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
the ^ati++++=the
Khaleefeh ^np+++??+=Khaleefeh
commanded ^vbd+vpub++xvbn+=commanded
that ^tht+vcmp+++=that
Ja ^np+++??+=Ja
far ^rb+pl+++=far
and ^cc++++=and
forty ^cd++++=forty
of ^in++++=of
his ^pp$+pp3+++=his
relatives ^nns++++=relatives
should ^md+nec+++=should
be ^vb+be+aux++=be
brought ^vpsv++agls+xvbnx+=brought
forth ^np++++=forth
and ^cc++++=and
crucified ^vpsv++agls+xvbn+=crucified
before ^in++++=before
the ^ati++++=the
palace ^nn++++=palace.
. ^zz++++=EXTRAWORD
The ^ati++++=The
beams ^nns++++=beams
were ^vbd+bed+aux++=were
set ^vpsv++agls+xvbnx+=set
up ^rb+cnj+++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ropes ^nns++++=ropes
were ^vbd+bed+aux++=were
prepared ^vpsv++agls+xvbnx+=prepared,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
crier ^nn++++=crier
went ^vbd+++xvbn+=went
through ^in++++=through
Baghdad ^np++++=Baghdad
proclaiming ^vwbg+++xvbg+=proclaiming,
, ^zz++++=EXTRAWORD
Whoso ^np+++??+=Whoso
desireth ^vbz++++=desireth
to ^to+vcmp+++=to
behold ^vbi++++=behold
the ^ati++++=the
execution ^nn+nom+++=execution
of ^in++++=of
Ja ^np+++??+=Ja
far ^rb+pl+++=far
the ^ati++++=the
Barmekee ^np+nom++??+=Barmekee
and ^cc++++=and
forty ^cd++++=forty
of ^in++++=of
his ^pp$+pp3+++=his
kindred ^nn++++=kindred,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
him ^pp3o+pp3+++=him
come ^vprf+++xvbn+=come
