# ^zz++++=#
Traditions ^nns+nom+++=Traditions
lawsuits ^nns++++=lawsuits,
, ^zz++++=EXTRAWORD
to ^to++++=to
retain ^vbi++++=retain
a ^at++++=a
moderate ^jj+atrb+++=moderate
property ^nn++++=property
and ^cc++++=and
an ^at++++=an
immoderate ^nn+nom+++=immoderate
collection ^nn+nom+++=collection
of ^in++++=of
traditions ^nns+nom+++=traditions.
. ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Susan ^np++++=Susan
was ^vbd+bedz+vrb++=was
the ^ati++++=the
younger ^jjr++++=younger,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
strangers ^nns+nom+++=strangers
generally ^rb+down+++=generally
supposed ^vbd+vprv++xvbn+=supposed
the ^ati++++=the
contrary ^nn+nom+++=contrary.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
little ^ap++++=little,
, ^zz++++=EXTRAWORD
brisk ^jj++++=brisk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
charitable ^jj+atrb+++=charitable,
, ^zz++++=EXTRAWORD
wore ^jj+atrb++xvbn+=wore
mittens ^nns+++??+=mittens
even ^rb++++=even
in ^in++++=in
warm ^jj+atrb+++=warm
weather ^nn++++=weather,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
possessed ^vbd+++xvbn+=possessed
an ^at++++=an
extraordinary ^jj+atrb+++=extraordinary
knowledge ^nn++++=knowledge
of ^in++++=of
preserves ^nns++++=preserves,
, ^zz++++=EXTRAWORD
medicines ^nns++++=medicines,
, ^zz++++=EXTRAWORD
poultry ^nn++++=poultry,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
deficiencies ^nns++++=deficiencies
of ^in++++=of
neighbouring ^jj+atrb+++=neighbouring
servants ^nns+nom+++=servants.
. ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Anne ^np++++=Anne
was ^vbd+bedz+vrb++=was
taller ^jjr+pred+++=taller
and ^cc++++=and
more ^rbr++++=more
ceremonious ^jj++++=ceremonious,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
narrow ^jj+atrb+++=narrow,
, ^zz++++=EXTRAWORD
handsome ^jj+atrb+++=handsome
face ^nn++++=face,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
dark ^jj+atrb+++=dark
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
singular ^jj+atrb+++=singular
side ^nn++++=side-long
- ^zz++++=EXTRAWORD
long ^rb++++=EXTRAWORD
glance ^nn++++=glance
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
to ^in++++=to
the ^ati++++=the
terrible ^jj+atrb+++=terrible
point ^nn++++=point
of ^in++++=of
a ^at++++=a
story ^nn++++=story,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
in ^in++++=in
it ^pp3+it+++=it
something ^pn++++=something
both ^abx++++=both
playful ^jj++++=playful
and ^cc+phrs+++=and
alarming ^jj+++xvbg+=alarming.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+tht0++=see
her ^pp$+pp3+++=her
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
seated ^j+++xvbn+=seated
upright ^jj++++=upright
beside ^in+pl+++=beside
the ^ati++++=the
drawing ^jj+++xvbg+=drawing-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
thin ^jj+atrb+++=thin
hand ^nn++++=hand
resting ^vwbg+++xvbg+=resting
upon ^in++++=upon
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
her ^pp$+pp3+++=her
ebony ^nn++++=ebony
cane ^nn++++=cane,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
with ^in++++=with
uplifted ^jj+atrb+++=uplifted
finger ^nn++++=finger,
, ^zz++++=EXTRAWORD
prescribed ^j+++xvbn+=prescribed
silence ^nn+nom+++=silence
to ^in++++=to
us ^pp1o+pp1+++=us
children ^nns++++=children.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
drawing ^nvbg+++xvbg+=drawing-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
long ^jj+atrb+++=long
apartment ^nn+nom+++=apartment
with ^in++++=with
three ^cd++++=three
windows ^nns++++=windows,
, ^zz++++=EXTRAWORD
a ^at++++=a
Turkey ^nn++++=Turkey
carpet ^nn++++=carpet
worn ^vbd+++xvbn+=worn
almost ^rb+hdg+++=almost
white ^jj++++=white
in ^in++++=in
places ^nns++++=places,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
multitude ^nn++++=multitude
of ^in++++=of
objects ^nns++++=objects
which ^whp+rel+subj++=which
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
us ^vbi++++=us
of ^in++++=of
great ^jj+atrb+++=great
antiquity ^nn+nom+++=antiquity.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
miniatures ^nns++++=miniatures
in ^in++++=in
tarnished ^jj+atrb++xvbn+=tarnished
gold ^nn++++=gold
frames ^nns++++=frames,
, ^zz++++=EXTRAWORD
a ^at++++=a
sword ^nn++++=sword
said ^vbd+vpub++xvbn+=said
to ^to+vcmp+++=to
have ^vbi+vbi+aux++=have
been ^vprf+ben+aux+xvbnx+=been
carried ^vpsv++agls+xvbnx+=carried
at ^rb++++=at
Aughrim ^np+++??+=Aughrim,
, ^zz++++=EXTRAWORD
two ^cd++++=two
little ^ap++++=little
silver ^nn++++=silver
cups ^nns++++=cups
with ^in++++=with
lids ^nns++++=lids,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++=of
greenish ^jj++++=greenish
drinking ^jj+++xvbg+=drinking-glasses,
- ^zz++++=EXTRAWORD
glasses ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
fantastically ^rb++++=fantastically
twisted ^jj+++xvbn+=twisted
in ^in++++=in
the ^ati++++=the
stems ^nns++++=stems,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Miss ^npt++++=Miss
Anne ^np++++=Anne
assured ^vwbn+vpub++xvbn+=assured
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
belonged ^j+++xvbn+=belonged
to ^in++++=to
her ^pp$+pp3+++=her
grandfather ^nn+nom+++=grandfather's
's ^$++++=EXTRAWORD
grandfather ^nn+nom+++=grandfather.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
permitted ^vpsv++agls+xvbnx+=permitted
once ^rb+tm+++=once
to ^to++++=to
hold ^vbi+vprv+++=hold
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
glasses ^nns++++=glasses.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
lighter ^jjr+pred+++=lighter
than ^in++++=than
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
expected ^vprf+++xvbnx+=expected,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+dem+++=this
circumstance ^nn+nom+++=circumstance,
, ^zz++++=EXTRAWORD
trifling ^jj++++=trifling
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
remains ^nns++++=remains
among ^in++++=among
the ^ati++++=the
material ^nn++++=material
evidences ^nns+nom+++=evidences
which ^whp+rel+subj++=which
attach ^vb++++=attach
those ^dt+dem+++=those
remote ^jj+atrb+++=remote
evenings ^nns++++=evenings
to ^in++++=to
actual ^jj+atrb+++=actual
life ^nn++++=life.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
upper ^jjb+atrb+++=upper
windows ^nns++++=windows
one ^cd1++++=one
looked ^vbd+++xvbn+=looked
across ^in+pl+++=across
orchard ^nn++++=orchard
and ^cc++++=and
pasture ^nn++++=pasture
to ^in++++=to
the ^ati++++=the
lake ^nn++++=lake,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
colour ^nn++++=colour
changed ^vbd+++xvbn+=changed
with ^in++++=with
every ^at++++=every
motion ^nn++++=motion
of ^in++++=of
the ^ati++++=the
sky ^nn++++=sky.
. ^zz++++=EXTRAWORD
On ^in++++=On
clear ^jj+atrb+++=clear
evenings ^nns++++=evenings
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
pale ^jj+atrb+++=pale
mirror ^nn++++=mirror,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
hills ^nns++++=hills
lying ^vwbg+++xvbg+=lying
upside ^nn++++=upside
down ^in++++=down
within ^in++++=within
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
under ^in++++=under
rain ^nn++++=rain
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
black ^jj++++=black,
, ^zz++++=EXTRAWORD
fretted ^j+++xvbn+=fretted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
immeasurably ^rb++++=immeasurably
old ^jj++++=old.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
a ^at++++=a
belt ^nn++++=belt
of ^in++++=of
alders ^nn++++=alders
rose ^vbd+++xvbn+=rose
the ^ati++++=the
castle ^nn++++=castle
not ^xnot++not++=not
the ^ati++++=the
inhabited ^jj+++xvbn+=inhabited
house ^npl++++=house,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
older ^jjr+atrb+++=older
stronghold ^nn++++=stronghold
a ^at++++=a
gaunt ^jj++++=gaunt
and ^cc++++=and
much ^ap++++=much-battered
- ^zz++++=EXTRAWORD
battered ^jj+atrb++xvbn+=EXTRAWORD
pile ^nn++++=pile,
, ^zz++++=EXTRAWORD
with ^in++++=with
one ^cd1++++=one
tower ^npl++++=tower
broken ^vbd+++xvbn+=broken
and ^cc++++=and
a ^at++++=a
great ^jj+atrb+++=great
hall ^npl++++=hall
still ^rb++++=still
roofed ^xvbn+++xvbn+=roofed
in ^in++++=in
Miss ^npt++++=Miss
Anne ^np++++=Anne's
's ^$++++=EXTRAWORD
childhood ^nn+nom+++=childhood,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though
scarcely ^rb+down+++=scarcely
so ^rb++++=so
in ^in++++=in
mine ^nn++++=mine.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
walls ^nns++++=walls
were ^vbd+bed+vrb++=were
immensely ^rb++++=immensely
thick ^jj+pred+++=thick;
; ^zz++++=EXTRAWORD
the ^ati++++=the
narrow ^nn++++=narrow
arched ^vbd+++xvbn+=arched
doorways ^nns++++=doorways
seemed ^vbd+seem++xvbn+=seemed
made ^vbd+++xvbn+=made
for ^in+ppvb+++=for
men ^nns++++=men
of ^in++++=of
another ^dt++++=another
stature ^nn++++=stature;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
deep ^jj+atrb+++=deep
window ^nn++++=window
recesses ^nns+nom+++=recesses
a ^at++++=a
child ^nn++++=child
might ^md+pos+++=might
sit ^vb++++=sit
entirely ^rb+amp+++=entirely
hidden ^jj+++xvbn+=hidden
from ^in++++=from
anyone ^pn++++=anyone
crossing ^vbg+++xvbg+=crossing
the ^ati++++=the
chamber ^nn++++=chamber.
. ^zz++++=EXTRAWORD
The ^ati++++=The
country ^nn++++=country
people ^nns++++=people
called ^vbd+++xvbn+=called
its ^pp$+it+++=its
principal ^jjb+atrb+++=principal
apartment ^nn+nom+++=apartment
the ^ati++++=the
Earl ^np++++=Earl's
's ^$++++=EXTRAWORD
Hall ^npl++++=Hall.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
an ^at++++=an
Earl ^np++++=Earl
of ^in++++=of
Desmond ^np++++=Desmond
ever ^rb++++=ever
lodged ^vbd+++xvbn+=lodged
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe,
, ^zz++++=EXTRAWORD
doubtful ^jj++++=doubtful;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
antiquarian ^jj+atrb+++=antiquarian
caution ^nn+nom+++=caution
has ^vbz+hvz+vrb++=has
little ^jj+atrb+++=little
authority ^nn+nom+++=authority
over ^in++++=over
popular ^jj+atrb+++=popular
nomenclature ^nn++++=nomenclature,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
whole ^jj+atrb+++=whole
neighbourhood ^nn+nom+++=neighbourhood
was ^vbd+bedz+aux++=was
haunted ^vpsv++by+xvbnx+=haunted
by ^in++++=by
that ^dt+dem+++=that
illustrious ^jj+atrb+++=illustrious
and ^cc+phrs+++=and
unfortunate ^jj+atrb+++=unfortunate
house ^nn++++=house.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
ruined ^jj+atrb++xvbn+=ruined
wall ^nn++++=wall
had ^vbd+hvd+aux++=had
sheltered ^vprf+++xvbnx+=sheltered
a ^at++++=a
Geraldine ^np++++=Geraldine,
, ^zz++++=EXTRAWORD
every ^at++++=every
subterranean ^jj+atrb+++=subterranean
passage ^npl+nom+++=passage
led ^vbd+++xvbn+=led
to ^to++++=to
one ^pn++++=one
of ^in++++=of
their ^pp$+pp3+++=their
castles ^nns++++=castles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
unusual ^jj+atrb+++=unusual
rider ^nn++++=rider
seen ^vwbn+vprv++xvbn+=seen
by ^in++++=by
moonlight ^nn++++=moonlight
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
sooner ^rbr++++=sooner
or ^cc+phrs+++=or
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
identified ^xvbn+++xvbn+=identified
with ^in++++=with
the ^ati++++=the
great ^jj+atrb+++=great
magician ^nn++++=magician
earl ^np++++=earl.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
from ^in++++=from
Miss ^npt++++=Miss
Anne ^np++++=Anne
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
following ^jj+atrb++xvbg+=following
particulars ^nns++++=particulars.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
them ^pp3o+pp3+++=them
partly ^rb+down+++=partly
from ^in++++=from
her ^pp$+pp3+++=her
grandmother ^nn+nom+++=grandmother,
, ^zz++++=EXTRAWORD
partly ^rb+down+++=partly
from ^in++++=from
an ^at++++=an
old ^jj+atrb+++=old
herd ^nn++++=herd
named ^vbd+++xvbn+=named
Brian ^np++++=Brian
Shea ^np+++??+=Shea,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
partly ^rb+cnj+++=partly,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
from ^in++++=from
a ^at++++=a
woman ^nn++++=woman
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
servant ^nn+nom+++=servant
to ^in++++=to
her ^pp3o+pp3+++=her
mother ^npt++++=mother.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
pretend ^vb+vprv+++=pretend
to ^to+vcmp+++=to
reconcile ^vbi++++=reconcile
every ^at++++=every
variation ^nn+nom+++=variation.
. ^zz++++=EXTRAWORD
In ^in++++=In
such ^abl++++=such
histories ^nns++++=histories
the ^ati++++=the
disagreement ^nn+nom+++=disagreement
of ^in++++=of
witnesses ^nns+nom+++=witnesses
is ^vbz+bez+vrb++=is
sometimes ^rb++++=sometimes
a ^at++++=a
proof ^nn++++=proof,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
of ^in++++=of
falsehood ^nn+nom+++=falsehood,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
of ^in++++=of
antiquity ^nn+nom+++=antiquity.
. ^zz++++=EXTRAWORD
# ^zz++++=##
# ^zz++++=EXTRAWORD
The ^ati++++=The
Earl ^np++++=Earl
and ^cc++++=and
His ^pp$+pp3+++=His
Young ^jj+atrb+++=Young
Countess ^nns+nom+++=Countess
The ^ati++++=The
Earl ^np++++=Earl
of ^in++++=of
Desmond ^np++++=Desmond,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
this ^dt+dem+++=this
tradition ^nn+nom+++=tradition,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
merely ^rb+down+++=merely
learned ^jj+++xvbn+=learned
beyond ^in++++=beyond
the ^ati++++=the
ordinary ^jj+atrb+++=ordinary
measure ^nn++++=measure
of ^in++++=of
noblemen ^nns++++=noblemen,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
possessed ^vbd+++xvbn+=possessed
those ^dt+dem+++=those
secret ^jj+atrb+++=secret
arts ^nns++++=arts
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
acquired ^vpsv++agls+xvbnx+=acquired
at ^rb++++=at
great ^jj+atrb+++=great
hazard ^nn++++=hazard
and ^cc++++=and
seldom ^rb++++=seldom
relinquished ^jj+++xvbn+=relinquished
without ^in++++=without
a ^at++++=a
heavier ^jjr+atrb+++=heavier
one ^pn++++=one.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
travelled ^vprf+++xvbnx+=travelled
in ^in++++=in
foreign ^jj+atrb+++=foreign
countries ^nns++++=countries,
, ^zz++++=EXTRAWORD
conversed ^j+++xvbn+=conversed
with ^in++++=with
astrologers ^nns+nom+++=astrologers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
read ^vb+vprv++xvbn+=read
books ^nns++++=books
whose ^whp+rel+obj++=whose
letters ^nns+nom+++=letters
moved ^vbd+++xvbn+=moved
upon ^in++++=upon
the ^ati++++=the
page ^nn++++=page
when ^wrb+who+++=when
an ^at++++=an
unlicensed ^jj+atrb++xvbn+=unlicensed
eye ^nn++++=eye
regarded ^vwbn+++xvbn+=regarded
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
virtues ^nns++++=virtues
of ^in++++=of
stones ^nns++++=stones,
, ^zz++++=EXTRAWORD
the ^ati++++=the
speech ^nn++++=speech
of ^in++++=of
birds ^nns++++=birds,
, ^zz++++=EXTRAWORD
the ^ati++++=the
courses ^nns++++=courses
of ^in++++=of
hidden ^jj+atrb++xvbn+=hidden
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
names ^nns++++=names
by ^in++++=by
which ^whp+rel+pied++=which
spirits ^nns++++=spirits
of ^in++++=of
the ^ati++++=the
air ^nn++++=air
may ^md+pos+++=may
be ^vb+be+aux++=be
constrained ^vpsv++agls+xvbnx+=constrained.
. ^zz++++=EXTRAWORD
Late ^jj++++=Late
in ^in++++=in
life ^nn++++=life
he ^pp3a+pp3+++=he
married ^vbd+++xvbnx+=married
a ^at++++=a
lady ^nn++++=lady
of ^in++++=of
extraordinary ^jj+atrb+++=extraordinary
beauty ^nn++++=beauty,
, ^zz++++=EXTRAWORD
scarcely ^rb+down+++=scarcely
seventeen ^cd++++=seventeen
years ^nns++++=years
of ^in++++=of
age ^nn++++=age.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
proud ^jj+pred+++=proud,
, ^zz++++=EXTRAWORD
affectionate ^jj++++=affectionate,
, ^zz++++=EXTRAWORD
curious ^jj++++=curious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
accustomed ^vpsv++agls+xvbn+=accustomed
to ^in++++=to
have ^vbi++vrb++=have
every ^at++++=every
wish ^nn++++=wish
obeyed ^vbd+++xvbn+=obeyed.
. ^zz++++=EXTRAWORD
For ^in++++=For
some ^dti++++=some
time ^nn++++=time
she ^pp3a+pp3+++=she
heard ^vbd+vprv++xvbnx+=heard
rumours ^nns++++=rumours
of ^in++++=of
her ^pp3o+pp3+++=her
lord ^npt++++=lord's
's ^$++++=EXTRAWORD
powers ^nns++++=powers
from ^in++++=from
servants ^nns+nom+++=servants
and ^cc++++=and
dependants ^nns+nom+++=dependants,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
would ^md+prd+++=would
cease ^vb++++=cease
speaking ^nvbg+++xvbg+=speaking
whenever ^nn+nom+++=whenever
she ^pp3a+pp3+++=she
entered ^vbd+++xvbnx+=entered.
. ^zz++++=EXTRAWORD
At ^rb++++=At
first ^rb"++++=first
she ^pp3a+pp3+++=she
laughed ^vbd+++xvbnx+=laughed;
; ^zz++++=EXTRAWORD
afterward ^rb++++=afterward
she ^pp3a+pp3+++=she
questioned ^vbd+vpub++xvbnx+=questioned;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
last ^rb"++++=last
she ^pp3a+pp3+++=she
became ^vbd+++xvbnx+=became
offended ^xvbn+++xvbn+=offended
that ^cs+sub+++=that
her ^pp3o+pp3+++=her
husband ^nn++++=husband
should ^md+nec+++=should
conceal ^vb++++=conceal
from ^in++++=from
her ^pp3o+pp3+++=her
a ^at++++=a
part ^nn++++=part
of ^in++++=of
his ^pp$+pp3+++=his
nature ^nn++++=nature
known ^vbd+++xvbn+=known,
, ^zz++++=EXTRAWORD
