One ^pn++++=One,
ring ^vb++++=ring
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
get ^vb++++=get
back ^rb+phrv+++=back."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
say ^vb+vpub+++=say
when ^wrb+who+whcl++=when.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
if ^cs+cnd+++=if.
. ^zz++++=EXTRAWORD
When ^wrb+who+whq++=When
is ^vbz+bez+aux++=is
a ^at++++=a
promise ^nn++++=promise.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
cannot ^md+pos+not++=cannot
blame ^vb++++=blame
a ^at++++=a
person ^nn++++=person
for ^in++++=for
believing ^xvbg+++xvbg+=believing
grammar ^nn++++=grammar.
. ^zz++++=EXTRAWORD
Eleven ^cd++++=Eleven,
, ^zz++++=EXTRAWORD
twelve ^cd++++=twelve,
, ^zz++++=EXTRAWORD
thirteen ^cd++++=thirteen,
, ^zz++++=EXTRAWORD
fourteen ^cd++++=fourteen,
, ^zz++++=EXTRAWORD
fifteen ^cd++++=fifteen.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please,
, ^zz++++=EXTRAWORD
God ^np++++=God,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
him ^pp3o+pp3+++=him
telephone ^nn++++=telephone.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
ask ^vb++++=ask
You ^pp2+pp2+++=You
for ^in++++=for
anything ^pn++++=anything
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
not ^xnot++not++=not
ask ^vb++++=ask
for ^in+ppvb+++=for
money ^nn++++=money,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
beauty ^nn++++=beauty,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
long ^jj+atrb+++=long
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Other ^ap++++=Other
people ^nns++++=people
may ^md+pos+++=may
have ^vb+hv+vrb++=have
those ^dt+pdem+++=those.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
the ^ati++++=the
telephone ^nn++++=telephone
ring ^nn++++=ring
and ^cc++++=and
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+aux++=be
satisfied ^vpsv++agls+xvbnx+=satisfied.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
good ^jj+pred+++=good
afterward ^rb++++=afterward.
. ^zz++++=EXTRAWORD
Truly ^rb++++=Truly
good ^jj++++=good.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
that ^cs+sub+++=that
tiresome ^jj++++=tiresome
kind ^rb++++=kind
of ^rb"++++=of
good ^jj++++=good
that ^tht+jcmp+++=that
advertises ^vbz++++=advertises
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
quiet ^jj++++=quiet
and ^cc+phrs+++=and
useful ^jj++++=useful.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
visit ^vb++++=visit
Aunt ^nn++++=Aunt
Mara ^np+++??+=Mara
even ^rb++++=even
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
talks ^vbz++++=talks
about ^in++++=about
her ^pp$+pp3+++=her
operation ^nn+nom+++=operation.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
forgive ^vb++++=forgive
everyone ^pn++++=everyone.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Sixteen ^cd++++=Sixteen,
, ^zz++++=EXTRAWORD
seventeen ^cd++++=seventeen,
, ^zz++++=EXTRAWORD
eighteen ^cd++++=eighteen,
, ^zz++++=EXTRAWORD
nineteen ^cd++++=nineteen,
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty.
. ^zz++++=EXTRAWORD
Perhaps ^rb++++=Perhaps
his ^pp$+pp3+++=his
train ^nn++++=train
was ^vbd+bedz+vrb++=was
late ^jj+pred+++=late.
. ^zz++++=EXTRAWORD
Trains ^nns++++=Trains
are ^vb+ber+vrb++=are
always ^rb++++=always
late ^jj+pred+++=late
when ^wrb+who+++=when
one ^cd1++++=one
needs ^nns++++=needs
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
one ^cd1++++=one
does ^vbz+doz+vrb++=does
not ^xnot++not++=not
care ^nn++++=care,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
arrive ^vb++++=arrive
with ^in++++=with
a ^at++++=a
horrible ^jj+atrb+++=horrible
punctuality ^nn+nom+++=punctuality.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
may ^md+pos+++=may
still ^rb++++=still
be ^vb+be+vrb++=be
in ^in++++=in
the ^ati++++=the
carriage ^nn+nom+++=carriage,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
under ^in++++=under
that ^dt+dem+++=that
greenish ^jj+atrb+++=greenish
light ^nn++++=light,
, ^zz++++=EXTRAWORD
rubbing ^vbg+++xvbg+=rubbing
the ^ati++++=the
window ^nn++++=window
clear ^jj++++=clear
with ^in++++=with
his ^pp$+pp3+++=his
glove ^nn++++=glove.
. ^zz++++=EXTRAWORD
Darling ^np+nom+++=Darling.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looks ^nns++++=looks
tired ^vbd+++xvbn+=tired
on ^in++++=on
trains ^nns++++=trains.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
looks ^vbz++++=looks
young ^jj++++=young
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
tired ^vpsv++agls+xvbnx+=tired.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=mustn't
n't ^xnot++not++0=EXTRAWORD
call ^nn++++=call
him ^pp3o+pp3+++=him
darling ^nn+nom+++=darling.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
until ^in++++=until
he ^pp3a+pp3+++=he
calls ^nns++++=calls.
. ^zz++++=EXTRAWORD
Twenty ^cd++++=Twenty-one,
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty-two,
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty-three,
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty-four,
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
clock ^nn++++=clock
says ^vbz+vpub+++=says
ten ^cd++++=ten
past ^jjb++++=past
nine ^cd++++=nine.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
said ^vbd+vpub++xvbn+=said
seven ^cd++++=seven
minutes ^nns++++=minutes
past ^jjb++++=past
nine ^cd++++=nine
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
Three ^cd++++=Three
whole ^jj+atrb+++=whole
minutes ^nns++++=minutes.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
cannot ^md+pos+not++=cannot
be ^vb+be+vrb++=be
right ^jj+pred+++=right.
. ^zz++++=EXTRAWORD
Someone ^pn++++=Someone
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
tampering ^vbg+++xvbgx+=tampering
with ^in+ppvb+++=with
time ^nn++++=time.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
not ^xnot++not++=not
look ^vb++++=look
again ^rb+tm+++=again
until ^in++++=until
fifty ^cd++++=fifty.
. ^zz++++=EXTRAWORD
Twenty ^cd++++=Twenty-six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty-seven,
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty-eight
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
that ^tht+vcmp+++=that
it ^pp3+it+++=it?
? ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
Pipes ^nns++++=Pipes.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
building ^jj+++xvbg+=building
has ^vbz+hvz+vrb++=has
pipes ^nns++++=pipes
that ^tht+rel+obj++=that
sigh ^nn++++=sigh
like ^in++++=like
disappointed ^vbd+++xvbn+=disappointed
women ^nns++++=women.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
indecent ^jj+pred+++=indecent.
. ^zz++++=EXTRAWORD
Twenty ^cd++++=Twenty-nine,
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thirty ^cd++++=thirty.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
telephone ^vb++++=telephone
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
nothing ^pn++++=nothing
criminal ^jj++++=criminal
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
People ^nns++++=People
telephone ^nn++++=telephone
one ^cd1++++=one
another ^dt++++=another
every ^at++++=every
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Dentists ^nns+nom+++=Dentists
telephone ^nn++++=telephone.
. ^zz++++=EXTRAWORD
Grocers ^nns+nom+++=Grocers
telephone ^nn++++=telephone.
. ^zz++++=EXTRAWORD
Perfectly ^rb+amp+++=Perfectly
respectable ^jj+atrb+++=respectable
women ^nns++++=women
lift ^nn++++=lift
receivers ^nns+nom+++=receivers
without ^in++++=without
falling ^xvbg+++xvbg+=falling
dead ^jj++++=dead
of ^in++++=of
shame ^nn++++=shame.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
might ^md+pos+++=might
say ^vb+vpub+tht0++=say
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
that ^dt+dem+++=that
book ^nn++++=book.
. ^zz++++=EXTRAWORD
Which ^whp+who+++=Which
book ^nn++++=book?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
ask ^vb++++=ask.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
invent ^vb++++=invent
one ^pn++++=one.
. ^zz++++=EXTRAWORD
The ^ati++++=The
blue ^nn++++=blue
one ^pn++++=one.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
sounds ^nns++++=sounds
idiotic ^jj++++=idiotic.
. ^zz++++=EXTRAWORD
A ^at++++=A
book ^nn++++=book
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
its ^pp$+it+++=its
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
Besides ^rb++++=Besides,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
would ^md+prd+++=would
call ^vb++++=call.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
call ^vb++++=call,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
means ^vbz+vprv+tht0++=means
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
waiting ^vbg+++xvbgx+=waiting.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
waiting ^nvbg+++xvbg+=waiting.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
merely ^rb+down+++=merely
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
beside ^in+pl+++=beside
the ^ati++++=the
telephone ^nn++++=telephone,
, ^zz++++=EXTRAWORD
counting ^nvbg+++xvbg+=counting.
. ^zz++++=EXTRAWORD
Thirty ^cd++++=Thirty-one,
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thirty ^cd++++=thirty-two,
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thirty ^cd++++=thirty-three,
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thirty ^cd++++=thirty-four,
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thirty ^cd++++=thirty-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
may ^md+pos+++=may
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
home ^nr++++=home
and ^cc++++=and
found ^vbd+vprv+tht0+xvbn+=found
someone ^pn++++=someone
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
brother ^nn++++=brother,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
brother ^nn++++=brother
talks ^vbz++++=talks
for ^in++++=for
hours ^nns++++=hours.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
brother ^nn++++=brother
is ^vbz+bez+vrb++=is
a ^at++++=a
great ^jj+atrb+++=great
bull ^np++++=bull
of ^in++++=of
a ^at++++=a
man ^nn++++=man
who ^whp+rel+obj++=who
plants ^nns++++=plants
himself ^ppl+pp3+++=himself
in ^in++++=in
a ^at++++=a
chair ^nn++++=chair
and ^cc++++=and
has ^vbz+hvz+vrb++=has
opinions ^nns++++=opinions
about ^in++++=about
Parliament ^nn+nom+++=Parliament.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
can ^md+pos+++=can
escape ^vb++++=escape
an ^at++++=an
opinion ^nn++++=opinion
about ^in++++=about
Parliament ^nn+nom+++=Parliament.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
may ^md+pos+++=may
be ^vb+be+aux++=be
sitting ^vbg+++xvbgx+=sitting
there ^rn+pl+++=there
helplessly ^rb+cnj+++=helplessly,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
toward ^in++++=toward
the ^ati++++=the
telephone ^nn++++=telephone,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking
of ^in++++=of
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Sweet ^jj+atrb+++=Sweet
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
Thirty ^cd++++=Thirty-six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thirty ^cd++++=thirty-seven,
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thirty ^cd++++=thirty-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thirty ^cd++++=thirty-nine,
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
forty ^cd++++=forty.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
she ^pp3a+pp3+++=she
may ^md+pos+++=may
be ^vb+be+vrb++=be
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
said ^vbd+vpub+tht0+xvbnx+=said
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
to ^in++++=to
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
should ^md+nec+++=should
he ^pp3a+pp3+++=he
lie ^vb++++=lie?
? ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
hundreds ^cds++++=hundreds
of ^in++++=of
reasons ^nns++++=reasons,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
why ^wrb+who+whq++=why
should ^md+nec+++=should
he ^pp3a+pp3+++=he
select ^vb++++=select
tonight ^nr+tm+++=tonight?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hate ^nn++++=hate
her ^pp3o+pp3+++=her
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
her ^pp$+pp3+++=her
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Long ^rb+cnj+++=Long,
, ^zz++++=EXTRAWORD
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
capable ^jj+atrb+++=capable
hands ^nns++++=hands
that ^tht+rel+subj++=that
never ^rb++++=never
tremble ^vb++++=tremble
over ^in++++=over
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
probably ^rb++++=probably
dials ^nns++++=dials
numbers ^nns+nom+++=numbers
correctly ^rb++++=correctly
the ^ati++++=the
first ^od++++=first
time ^nn++++=time.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
probably ^rb++++=probably
never ^rb++++=never
watches ^vbz++++=watches
clocks ^nns++++=clocks.
. ^zz++++=EXTRAWORD
Women ^nns++++=Women
like ^in++++=like
that ^dt+pdem+++=that
are ^vb+ber+aux++=are
rewarded ^vpsv++agls+xvbnx+=rewarded
for ^in++++=for
not ^xnot++not++=not
watching ^jj+++xvbg+=watching.
. ^zz++++=EXTRAWORD
Forty ^cd++++=Forty-one,
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
forty ^cd++++=forty-two,
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
forty ^cd++++=forty-three,
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
forty ^cd++++=forty-four,
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
forty ^cd++++=forty-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Please ^uh++++=Please.
. ^zz++++=EXTRAWORD
Please ^uh++++=Please
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him
ring ^nn++++=ring
before ^in++++=before
fifty ^cd++++=fifty.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
would ^md+prd+++=would
be ^vb+be+vrb++=be
a ^rb++++=a
little ^rb"++++=little
sign ^nn++++=sign.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
not ^xnot++not++=not
asking ^vbg+vsua++xvbg+=asking
for ^in+ppvb+++=for
thunder ^nn++++=thunder,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
stars ^vbz++++=stars
arranged ^vbd+vsua++xvbn+=arranged
into ^in++++=into
my ^pp$+pp1+++=my
initials ^nns+nom+++=initials.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
the ^ati++++=the
bell ^nn++++=bell.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
common ^jj+atrb+++=common
silly ^jj+atrb+++=silly
bell ^nn++++=bell
that ^tht+rel+obj++=that
rings ^nns++++=rings
all ^abn++++=all
day ^nn++++=day
for ^in++++=for
laundries ^nns++++=laundries
and ^cc++++=and
wrong ^jj+atrb+++=wrong
numbers ^nns+nom+++=numbers.
. ^zz++++=EXTRAWORD
Surely ^rb++++=Surely
Heaven ^nn++++=Heaven
can ^md+pos+++=can
manage ^vb++++=manage
one ^cd1++++=one
small ^jj+atrb+++=small
telephone ^nn++++=telephone.
. ^zz++++=EXTRAWORD
Forty ^cd++++=Forty-six,
- ^zz++++=EXTRAWORD
six ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
forty ^cd++++=forty-seven,
- ^zz++++=EXTRAWORD
seven ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
forty ^cd++++=forty-eight,
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
forty ^cd++++=forty-nine,
- ^zz++++=EXTRAWORD
nine ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
fifty ^cd++++=fifty.
. ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing.
. ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
well ^rb++++=well.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=did
not ^xnot++not++=not
mean ^vb+vprv+++=mean
fifty ^cd++++=fifty
exactly ^rb++++=exactly.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
would ^md+prd+++=would
be ^vb+be+vrb++=be
superstition ^nn+nom+++=superstition,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
superstition ^nn+nom+++=superstition
is ^vbz+bez+vrb++=is
wicked ^jj+pred+++=wicked.
. ^zz++++=EXTRAWORD
At ^rb++++=At
one ^cd1++++=one
hundred ^cd++++=hundred,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
hundred ^cd++++=hundred
is ^vbz+bez+vrb++=is
sensible ^jj+pred+++=sensible.
. ^zz++++=EXTRAWORD
Fifty ^cd++++=Fifty-one,
- ^zz++++=EXTRAWORD
one ^pn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
fifty ^cd++++=fifty-two,
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
fifty ^cd++++=fifty-three,
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
fifty ^cd++++=fifty-four,
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
fifty ^cd++++=fifty-five.
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
be ^vb+be+vrb++=be
cheerful ^jj+pred+++=cheerful
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
calls ^nns++++=calls.
. ^zz++++=EXTRAWORD
" ^zz++++="Hello!"
hello ^rb+dspt+++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Lightly ^rb++++=Lightly.
. ^zz++++=EXTRAWORD
As ^cs+sub+++=As
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
dancing ^vbg+++xvbgx+=dancing
around ^rp++++=around
the ^ati++++=the
room ^nn++++=room
in ^in++++=in
silver ^nn++++=silver
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
must ^md+nec+++=must
not ^xnot++not++=not
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+whq++=EXTRAWORD
have ^vb+hv+vrb++=have
you ^pp2+pp2+++=you
been ^vprf+ben+vrb+xvbn+=been?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Men ^nns++++=Men
dislike ^nn++++=dislike
questions ^nns+nom+++=questions.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
like ^vb++++=like
women ^nns++++=women
to ^to++++=to
exist ^vbi++++=exist
without ^in++++=without
curiosity ^nn+nom+++=curiosity,
, ^zz++++=EXTRAWORD
like ^in++++=like
lamps ^nns++++=lamps.
. ^zz++++=EXTRAWORD
Warm ^jj++++=Warm,
, ^zz++++=EXTRAWORD
pretty ^rb+cnj+++=pretty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vpsv++agls+xvbn+=turned
off ^in+pl+++=off
when ^wrb+who+++=when
not ^xnot++not++=not
required ^vbd+++xvbn+=required.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Why,
why ^wrb+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
hello ^rb+dspt+++=hello."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
too ^ql++++=too
surprised ^jj+++xvbn+=surprised.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
