Frances ^nns+nom+++=Frances
she ^pp3a+pp3+++=she
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
common ^jj++++=common
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
dragged ^vprf+++xvbnx+=dragged
her ^pp$+pp3+++=her
shoulder ^nn+nom+++=shoulder
down ^in+strn+++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
gloved ^jj+atrb+++=gloved
hand ^nn++++=hand
felt ^vbd+vprv++xvbn+=felt
swollen ^vprf+++xvbn+=swollen
round ^rb++++=round
the ^ati++++=the
handle ^nn++++=handle.
. ^zz++++=EXTRAWORD
Anne ^np++++=Anne
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^to++++=to
meet ^vbi++++=meet
her ^pp$+pp3+++=her
by ^in++++=by
the ^ati++++=the
footpath ^nn++++=footpath.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
appeared ^vbd+seem++xvbnx+=appeared
above ^jjb++++=above
the ^ati++++=the
bracken ^nn++++=bracken
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
bare ^jj++++=bare-headed,
- ^zz++++=EXTRAWORD
headed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
blonde ^jj+atrb+++=blonde
hair ^nn++++=hair
roughened ^vwbn+++xvbn+=roughened
by ^in++++=by
the ^ati++++=the
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
scarcely ^rb+down+++=scarcely
any ^dti++++=any
wind ^nn++++=wind
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wore ^vbd+++xvbnx+=wore
an ^at++++=an
old ^jj+atrb+++=old
khaki ^nn++++=khaki
skirt ^nn++++=skirt
and ^cc++++=and
carried ^vbd+++xvbn+=carried
a ^at++++=a
basket ^nn++++=basket
with ^in++++=with
two ^cd++++=two
rabbits ^nns++++=rabbits
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
feet ^nns++++=feet
stiffly ^rb++++=stiffly
projecting ^jj+++xvbg+=projecting
under ^in++++=under
a ^at++++=a
cloth ^nn++++=cloth.
. ^zz++++=EXTRAWORD
" ^zz++++="You're
you ^pp2+pp2+++=EXTRAWORD
're ^vb+ber+vrb++0=EXTRAWORD
late ^jj+pred+++=late,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
came ^vbd+++xvbnx+=came
by ^in++++=by
the ^ati++++=the
train ^nn++++=train
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ay,
ay ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
late ^jj+pred+++=late."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
late ^jj++++=late."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Anne ^np++++=Anne
looked ^vbd+++xvbn+=looked
at ^rb++++=at
her ^pp3o+pp3+++=her
sister ^npt++++=sister's
's ^$++++=EXTRAWORD
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
heated ^jj+atrb++xvbn+=heated
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vbd+++xvbn+=took
the ^ati++++=the
case ^nn++++=case
without ^in++++=without
asking ^nn++++=asking.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
five ^cd++++=five
years ^nns++++=years
younger ^jjr++++=younger,
, ^zz++++=EXTRAWORD
broader ^jjr++++=broader
in ^in++++=in
the ^ati++++=the
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
the ^ati++++=the
comfortable ^jj+atrb+++=comfortable,
, ^zz++++=EXTRAWORD
unquestioning ^jj+atrb+++=unquestioning
strength ^nn++++=strength
of ^in++++=of
one ^cd1++++=one
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
never ^rb++splt++=never
expected ^vprf+++xvbnx+=expected
life ^nn++++=life
to ^to++++=to
arrange ^vbi++++=arrange
itself ^ppl++++=itself
delicately ^rb++++=delicately
for ^in++++=for
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
Frances ^nns+nom+++=Frances
pulled ^vbd+++xvbn+=pulled
off ^in+pl+++=off
one ^cd1++++=one
glove ^nn++++=glove
finger ^nn++++=finger
by ^in++++=by
finger ^nn++++=finger.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And?"
and ^cc++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+aux++=is
engaged ^vpsv++agls+xvbnx+=engaged."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Anne ^np++++=Anne
said ^vbd+vpub++xvbn+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
shifted ^vbd+++xvbnx+=shifted
the ^ati++++=the
case ^nn++++=case
to ^in++++=to
her ^pp$+pp3+++=her
other ^ap++++=other
hand ^nn++++=hand
and ^cc++++=and
turned ^vpsv++agls+xvbn+=turned
towards ^in++++=towards
home ^nr++++=home.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
rabbits ^nns++++=rabbits
knocked ^vbd+++xvbn+=knocked
softly ^rb++++=softly
against ^in++++=against
the ^ati++++=the
basket ^nn++++=basket
as ^ql++++=as
she ^pp3a+pp3+++=she
moved ^vbd+++xvbnx+=moved.
. ^zz++++=EXTRAWORD
Frances ^nns+nom+++=Frances
waited ^vbd+++xvbn+=waited
for ^in++++=for
sympathy ^nn++++=sympathy,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
none ^rb++++=none
came ^vbd+++xvbn+=came
she ^pp3a+pp3+++=she
laughed ^vbd+++xvbnx+=laughed.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
might ^md+pos+++=might
say ^vb+vpub+tht0++=say
something ^pn++++=something."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
there ^rn+pl+++=there
to ^to++++=to
say ^vbi+vpub+++=say?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
sorry ^uh++++=sorry,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
sorry ^uh++++=sorry
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
generous ^jj+pred+++=generous."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
walked ^vbd+++xvbnx+=walked
a ^rb++++=a
little ^rb"++++=little
way ^nn++++=way.
. ^zz++++=EXTRAWORD
The ^ati++++=The
common ^nn++++=common
dipped ^vbd+++xvbn+=dipped
before ^in++++=before
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
brown ^jj++++=brown
and ^cc++++=and
purple ^nn++++=purple,
, ^zz++++=EXTRAWORD
with ^in++++=with
hollows ^nns++++=hollows
of ^in++++=of
burnt ^jj+atrb++xvbn+=burnt
grass ^nn++++=grass
and ^cc++++=and
low ^jj+atrb+++=low
bushes ^nns++++=bushes
whose ^whp+rel+obj++=whose
blackish ^jj+atrb+++=blackish
berries ^nns++++=berries
had ^vb+hv+vrb++=had
shrivelled ^jj++++=shrivelled
before ^in++++=before
ripening ^nn++++=ripening.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stubble ^nn++++=stubble
rose ^vbd+++xvbn+=rose
towards ^in++++=towards
the ^ati++++=the
village ^nn+nom+++=village
in ^in++++=in
bands ^nns++++=bands
of ^in++++=of
yellow ^jj+atrb+++=yellow
glare ^nn++++=glare.
. ^zz++++=EXTRAWORD
A ^ap++++=A
few ^ap"++++=few
cattle ^nns++++=cattle
stood ^vbd+++xvbn+=stood
near ^in+pl+++=near
the ^ati++++=the
pond ^nn++++=pond,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
legs ^nns++++=legs
dark ^nn++++=dark
in ^in++++=in
the ^ati++++=the
shallow ^jj+atrb+++=shallow
water ^nn++++=water,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
heads ^vbz++++=heads
bowed ^vwbn+++xvbn+=bowed
as ^cs+sub+++=as
if ^cs+cnd+++=if
in ^in++++=in
penitence ^nn+nom+++=penitence.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
she ^pp3a+pp3+++=she
pretty ^rb++++=pretty?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Anne ^np++++=Anne
asked ^vbd+vsua++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
saw ^vbd+vprv++xvbn+=saw
her ^pp$+pp3+++=her?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
photograph ^nn++++=photograph.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
has ^vbz+hvz+vrb++=has
pearls ^nns++++=pearls
and ^cc++++=and
a ^at++++=a
long ^jj+atrb+++=long
neck ^nn++++=neck."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Like
like ^in++++=EXTRAWORD
a ^at++++=a
goose ^nn++++=goose?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
least ^rbt++++=least
like ^in++++=like
a ^at++++=a
goose ^nn++++=goose."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Anne ^np++++=Anne
considered ^vwbn+vprv+tht0+xvbn+=considered
this ^dt+pdem+++=this.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
say ^vb+vpub+++=say?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
hoped ^vbd+vprv+tht0+xvbnx+=hoped
I ^pp1a+pp1+++=I
should ^md+nec+++=should
like ^in++++=like
her ^pp$+pp3+++=her."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
will ^md+prd+++=will
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
shall ^md+prd+++=shall
adore ^vb++++=adore
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
embroider ^jjr++++=embroider
her ^pp$+pp3+++=her
initials ^nns+nom+++=initials
on ^in++++=on
everything ^pn++++=everything
I ^pp1a+pp1+++=I
possess ^nns+nom+++=possess."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Anne ^np++++=Anne
gave ^vbd+++xvbn+=gave
a ^at++++=a
short ^jj+atrb+++=short
laugh ^nn++++=laugh.
. ^zz++++=EXTRAWORD
Frances ^nns+nom+++=Frances
disliked ^vbd+++xvbn+=disliked
her ^pp$+pp3+++=her
for ^in++++=for
laughing ^xvbg+++xvbg+=laughing
and ^cc++++=and
was ^vbd+bedz+vrb++=was
grateful ^jj+pred+++=grateful
to ^to+jcmp+++=to
her ^pp$+pp3+++=her
at ^in++++=at
the ^ati++++=the
same ^ap++++=same
instant ^nn+nom+++=instant.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
reached ^vbd+++xvbnx+=reached
a ^at++++=a
thorn ^nn++++=thorn
tree ^nn++++=tree
which ^whp+rel+subj++=which
cast ^vb+++xvbn+=cast
a ^at++++=a
small ^jj+atrb+++=small,
, ^zz++++=EXTRAWORD
defective ^jj+atrb+++=defective
shade ^nn++++=shade.
. ^zz++++=EXTRAWORD
The ^ati++++=The
earth ^nn++++=earth
beneath ^in+pl+++=beneath
was ^vbd+bedz+vrb++=was
dry ^jj+pred+++=dry
and ^cc+phrs+++=and
powdered ^jj+++xvbn+=powdered
with ^in++++=with
the ^ati++++=the
dung ^nn++++=dung
of ^in++++=of
sheep ^nn++++=sheep.
. ^zz++++=EXTRAWORD
Frances ^nns+nom+++=Frances
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
abruptly ^rb+cnj+++=abruptly,
, ^zz++++=EXTRAWORD
leaning ^jj+++xvbg+=leaning
her ^pp3o+pp3+++=her
back ^jjb++++=back
against ^in++++=against
the ^ati++++=the
trunk ^nn++++=trunk.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
took ^vbd+++xvbnx+=took
off ^rb+phrv+++=off
her ^pp3o+pp3+++=her
hat ^nn++++=hat
and ^cc++++=and
laid ^vbd+++xvbn+=laid
it ^pp3+it+++=it
in ^in++++=in
her ^pp$+pp3+++=her
lap ^nn++++=lap.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hat ^nn++++=hat
had ^vbd+hvd+aux++=had
looked ^vprf+++xvbnx+=looked
pretty ^rb++++=pretty
in ^in++++=in
Liverpool ^np++++=Liverpool;
; ^zz++++=EXTRAWORD
here ^rn+pl+++=here
its ^pp$+it+++=its
grey ^jj+atrb+++=grey
ribbon ^nn++++=ribbon
appeared ^vbd+seem++xvbn+=appeared
affected ^vbd+++xvbn+=affected
and ^cc++++=and
limp ^nn++++=limp.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
farther ^rbr++++=farther
yet ^rb++++=yet."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You'll
you ^pp2+pp2+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
get ^vb++++=get
ants ^nns++++=ants
on ^in++++=on
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Anne ^np++++=Anne
put ^vbd+++xvbn+=put
down ^rb+phrv+++=down
the ^ati++++=the
case ^nn++++=case
and ^cc++++=and
basket ^nn++++=basket.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sat ^vbd+++xvbnx+=sat
with ^in++++=with
her ^pp$+pp3+++=her
knees ^nns++++=knees
raised ^vbd+++xvbn+=raised,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
brown ^jj+atrb+++=brown
forearms ^nns++++=forearms
resting ^vwbg+++xvbg+=resting
upon ^in++++=upon
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
looked ^vpsv++agls+xvbn+=looked
across ^in+pl+++=across
the ^ati++++=the
common ^nn++++=common.
. ^zz++++=EXTRAWORD
Frances ^nns+nom+++=Frances
closed ^vbd+++xvbn+=closed
her ^pp3o+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
At ^rb++++=At
once ^rb"+tm+++=once
Liverpool ^np++++=Liverpool
returned ^vbd+++xvbn+=returned:
: ^zz++++=EXTRAWORD
the ^ati++++=the
hotel ^nn++++=hotel
lounge ^nn++++=lounge
with ^in++++=with
its ^pp$+it+++=its
ruby ^np++++=ruby
carpet ^nn++++=carpet,
, ^zz++++=EXTRAWORD
the ^ati++++=the
palms ^nns++++=palms
in ^in++++=in
brass ^nn++++=brass
pots ^nns++++=pots,
, ^zz++++=EXTRAWORD
Jimmy ^np++++=Jimmy
bending ^vwbg+++xvbg+=bending
over ^rp++++=over
her ^pp3o+pp3+++=her
hand ^nn++++=hand
with ^in++++=with
a ^at++++=a
tender ^jj+atrb+++=tender
concern ^nn++++=concern
that ^tht+rel+subj++=that
had ^vb+hv+aux++=had
never ^rb++splt++=never
ripened ^vprf+++xvbnx+=ripened
into ^in++++=into
tenderness ^nns+nom+++=tenderness.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
kind ^nn++++=kind.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
the ^ati++++=the
intolerable ^jj+atrb+++=intolerable
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
ordered ^vprf+++xvbnx+=ordered
tea ^nn++++=tea
and ^cc++++=and
moved ^vbd+++xvbn+=moved
the ^ati++++=the
little ^ap++++=little
silver ^nn++++=silver
strainer ^jjr++++=strainer
towards ^in++++=towards
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
spoken ^vprf+++xvbnx+=spoken
of ^in++++=of
Evelyn ^np++++=Evelyn's
's ^$++++=EXTRAWORD
music ^nn++++=music,
, ^zz++++=EXTRAWORD
Evelyn ^np++++=Evelyn's
's ^$++++=EXTRAWORD
people ^nns++++=people,
, ^zz++++=EXTRAWORD
Evelyn ^np++++=Evelyn's
's ^$++++=EXTRAWORD
charming ^jj+atrb++xvbg+=charming
ignorance ^nn+nom+++=ignorance
of ^in++++=of
the ^ati++++=the
north ^np+pl+++=north.
. ^zz++++=EXTRAWORD
All ^abn++++=All
the ^ati++++=the
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
watched ^vprf+++xvbnx+=watched
Frances ^nns+nom+++=Frances
with ^in++++=with
his ^pp$+pp3+++=his
clear ^jj+atrb+++=clear,
, ^zz++++=EXTRAWORD
mild ^jj+atrb+++=mild
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
asking ^jj+++xvbg+=asking
her ^pp3o+pp3+++=her
to ^to++++=to
help ^vbi++++=help
him ^pp3o+pp3+++=him
make ^vb++++=make
the ^ati++++=the
occasion ^nn++++=occasion
graceful ^jj++++=graceful.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
helped ^vprf+++xvbnx+=helped.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
even ^rb++splt++=even
smiled ^vprf+++xvbnx+=smiled.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
a ^at++++=a
grasshopper ^nn+nom+++=grasshopper
sprang ^vbd+++xvbn+=sprang
against ^in++++=against
her ^pp$+pp3+++=her
skirt ^nn++++=skirt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
shuddered ^vbd+++xvbnx+=shuddered.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
suppose ^vb+vprv+tht0++=suppose
you ^pp2+pp2+++=you
always ^rb++++=always
knew ^vbd+vprv++xvbn+=knew,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Knew
knew ^vbd+vprv++xvbn+=EXTRAWORD
what ^wdt+who+whcl++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+dem+++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
marry ^vb++++=marry
someone ^pn++++=someone
else ^rb+cnj+++=else."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
reckoned ^vbd+vprv+tht0+xvbnx+=reckoned
he ^pp3a+pp3+++=he
might ^md+pos+++=might."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
could ^md+pos+++=could
marry ^vb++++=marry
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nay.
nay ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Because ^cs+cos+++=Because
he ^pp3a+pp3+++=he
never ^rb++++=never
seemed ^vbd+seem++xvbn+=seemed
set ^vbd+++xvbn+=set
on ^in++++=on
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Frances ^nns+nom+++=Frances
opened ^vbd+++xvbn+=opened
her ^pp$+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sky ^nn++++=sky
above ^in+pl+++=above
the ^ati++++=the
common ^jj++++=common
was ^vbd+bedz+vrb++=was
nearly ^rb+down+++=nearly
white ^jj+pred+++=white,
, ^zz++++=EXTRAWORD
emptied ^xvbn+++xvbn+=emptied
by ^in++++=by
heat ^nn++++=heat.
. ^zz++++=EXTRAWORD
A ^at++++=A
hawk ^nn++++=hawk
hung ^vbd+++xvbn+=hung
in ^in++++=in
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
no ^at++++=no
larger ^nn++++=larger
than ^in++++=than
a ^at++++=a
dark ^nn++++=dark
nail ^vb++++=nail.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
cared ^vbd+++xvbnx+=cared
for ^in+ppvb+++=for
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Appen."
appen ^vb+++xvbn+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
does ^vbz+doz+vrb++=does
that ^dt+dem+++=that
mean ^jj++++=mean?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
means ^vbz+vprv+++=means
appen ^vbd+++xvbn+=appen
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
hateful ^jj+pred+++=hateful."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Anne ^np++++=Anne
plucked ^vbd+++xvbn+=plucked
a ^at++++=a
stalk ^nn++++=stalk
of ^in++++=of
grass ^nn++++=grass
and ^cc++++=and
bit ^nn++++=bit
the ^ati++++=the
pale ^nn++++=pale
end ^nn++++=end.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
never ^rb++++=never
liked ^vbd+++xvbn+=liked
him ^pp3o+pp3+++=him,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
