At ^in++++=At
everything ^pn++++=everything
in ^in++++=in
the ^ati++++=the
manner ^nn++++=manner
of ^in++++=of
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
listened ^vprf+++xvbnx+=listened
attentively ^jj++++=attentively
in ^in++++=in
drawing ^xvbg+++xvbg+=drawing
rooms ^nns++++=rooms.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
names ^nns++++=names
of ^in++++=of
painters ^nns+nom+++=painters,
, ^zz++++=EXTRAWORD
the ^ati++++=the
prices ^nns++++=prices
of ^in++++=of
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
the ^ati++++=the
scandals ^nns+nom+++=scandals
of ^in++++=of
ministers ^nns+nom+++=ministers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
addresses ^nns+nom+++=addresses
of ^in++++=of
good ^jj+atrb+++=good
restaurants ^nns+nom+++=restaurants,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
proper ^jj+atrb+++=proper
season ^nn++++=season
for ^in++++=for
leaving ^xvbg+++xvbg+=leaving
Paris ^np++++=Paris.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
raconteur ^nn++++=raconteur,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
incomparable ^jj+pred+++=incomparable.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
the ^ati++++=the
servants ^nns+nom+++=servants
had ^vbd+hvd+aux++=had
removed ^vprf+++xvbnx+=removed
the ^ati++++=the
coffee ^nn++++=coffee
cups ^nns++++=cups
and ^cc++++=and
placed ^vbd+++xvbn+=placed
before ^in++++=before
us ^pp1o+pp1+++=us
a ^at++++=a
decanter ^nn+nom+++=decanter
of ^in++++=of
old ^jj+atrb+++=old
brandy ^nn++++=brandy,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
stretched ^vbd+++xvbnx+=stretched
his ^pp$+pp3+++=his
hand ^nn++++=hand
toward ^in++++=toward
the ^ati++++=the
little ^ap++++=little
blue ^jj+atrb+++=blue
flame ^nn++++=flame
beneath ^in+pl+++=beneath
the ^ati++++=the
silver ^nn++++=silver
warmer ^jjr++++=warmer
and ^cc++++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Messieurs,
messieurs ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+aux++=have
spoken ^vprf+++xvbnx+=spoken
of ^in++++=of
women ^nns++++=women
who ^whp+rel+obj++=who
hunt ^nn++++=hunt
in ^in++++=in
churches ^nns++++=churches,
, ^zz++++=EXTRAWORD
women ^nns++++=women
who ^whp+rel+obj++=who
hunt ^np++++=hunt
at ^rb++++=at
watering ^nvbg+++xvbg+=watering
places ^nns++++=places,
, ^zz++++=EXTRAWORD
women ^nns++++=women
who ^whp+rel+obj++=who
hunt ^nn++++=hunt
in ^in++++=in
railway ^nn++++=railway
carriages ^nns+nom+++=carriages.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
the ^ati++++=the
huntresses ^nns+nom++??+=huntresses
of ^in++++=of
the ^ati++++=the
tombs ^nns++++=tombs?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
laughed ^vbd+++xvbn+=laughed.
. ^zz++++=EXTRAWORD
Bardon ^np+++??+=Bardon
did ^vbd+dod+vrb++=did
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
merely ^rb+down+++=merely
turned ^vbd+++xvbn+=turned
his ^pp$+pp3+++=his
petit ^&fw++++=petit
verre ^nn+++??+=verre
between ^in++++=between
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
and ^cc++++=and
continued ^vbd+++xvbn+=continued:
: ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
whether ^cs+who+++=whether
there ^ex+pex+++=there
exists ^vbz++++=exists
a ^at++++=a
guild ^nn++++=guild
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
with ^in++++=with
rules ^nns++++=rules,
, ^zz++++=EXTRAWORD
districts ^nns++++=districts
and ^cc++++=and
professional ^jj+atrb+++=professional
secrets ^nns++++=secrets.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
only ^rb+down+++=only
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
met ^vbd+++xvbnx+=met
one ^cd1++++=one
or ^cc++++=or,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
The ^ati++++=The
matter ^nn++++=matter
remains ^nns++++=remains
uncertain ^jj++++=uncertain,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
makes ^vbz++++=makes
it ^pp3+it+++=it
more ^rbr++++=more
amusing ^jj++++=amusing.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
are ^vb+ber+vrb++=are
aware ^jj+pred+++=aware
of ^in++++=of
my ^pp$+pp1+++=my
taste ^nn++++=taste
for ^in++++=for
cemeteries ^nns+nom+++=cemeteries.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
find ^vb+vprv+++=find
them ^pp3o+pp3+++=them
restful ^jj++++=restful.
. ^zz++++=EXTRAWORD
The ^ati++++=The
living ^jj+++xvbg+=living
city ^npl++++=city
deafens ^nns+++??+=deafens
us ^pp1o+pp1+++=us
with ^in++++=with
its ^pp$+it+++=its
ambitions ^nns+nom+++=ambitions,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
wheels ^nns++++=wheels,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
cries ^nns++++=cries,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
bells ^nns++++=bells,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
bargains ^nns++++=bargains
and ^cc++++=and
its ^pp$+it+++=its
lies ^nns++++=lies;
; ^zz++++=EXTRAWORD
the ^ati++++=the
dead ^jj+atrb+++=dead
city ^nn++++=city
asks ^vbz++++=asks
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
inhabitants ^nns+nom+++=inhabitants
have ^vb+hv+aux++=have
ceased ^vprf+++xvbnx+=ceased
to ^to++++=to
borrow ^vbi++++=borrow
money ^nn++++=money,
, ^zz++++=EXTRAWORD
to ^to++++=to
give ^vbi++++=give
dinners ^nns+nom+++=dinners,
, ^zz++++=EXTRAWORD
to ^to++++=to
write ^vbi++++=write
books ^nns++++=books,
, ^zz++++=EXTRAWORD
to ^in++++=to
solicit ^jj+atrb++??+=solicit
decorations ^nns+nom+++=decorations,
, ^zz++++=EXTRAWORD
to ^to++++=to
betray ^vbi++++=betray
their ^pp$+pp3+++=their
friends ^nns++++=friends
and ^cc++++=and
to ^to++++=to
complain ^vbi+vpub+++=complain
of ^in++++=of
the ^ati++++=the
government ^nn+nom+++=government.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
tranquil ^jj+atrb+++=tranquil
citizens ^nns++++=citizens.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
often ^rb++++=often
walk ^nn++++=walk
in ^in++++=in
Montmartre ^np++++=Montmartre
Cemetery ^nn+nom+++=Cemetery.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
beautiful ^jj++++=beautiful
in ^in++++=in
the ^ati++++=the
noble ^jj+atrb+++=noble
sense ^nn++++=sense.
. ^zz++++=EXTRAWORD
P ^zz++++=P
re ^in++++=re-Lachaise
- ^zz++++=EXTRAWORD
lachaise ^vb++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
grandeur ^nn++++=grandeur,
, ^zz++++=EXTRAWORD
avenues ^nns++++=avenues,
, ^zz++++=EXTRAWORD
illustrious ^jj+atrb+++=illustrious
shades ^nns++++=shades,
, ^zz++++=EXTRAWORD
something ^pn++++=something
of ^in++++=of
an ^at++++=an
imperial ^jj+atrb+++=imperial
necropolis ^nns+++??+=necropolis;
; ^zz++++=EXTRAWORD
Montmartre ^np++++=Montmartre
resembles ^vbz++++=resembles
a ^at++++=a
crowded ^jj+atrb++xvbn+=crowded
suburb ^nn++++=suburb
whose ^whp+rel+obj++=whose
householders ^nns+nom+++=householders
have ^vb+hv+aux++=have
built ^vprf+++xvbnx+=built
according ^in+cmpx+++=according
to ^in"++++=to
their ^pp$+pp3+++=their
means ^nn++++=means
and ^cc++++=and
their ^pp$+pp3+++=their
bad ^jj+atrb+++=bad
taste ^nn++++=taste.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
marble ^nn++++=marble
angels ^nns++++=angels
with ^in++++=with
the ^ati++++=the
faces ^nns++++=faces
of ^in++++=of
shopgirls ^nns++++=shopgirls,
, ^zz++++=EXTRAWORD
bronze ^jj+atrb+++=bronze
geniuses ^nns++++=geniuses
who ^whp+rel+subj++=who
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
blowing ^vbg+++xvbgx+=blowing
theatrical ^jj+atrb+++=theatrical
trumpets ^nns++++=trumpets,
, ^zz++++=EXTRAWORD
busts ^nns++++=busts
of ^in++++=of
manufacturers ^nns+nom+++=manufacturers
in ^in++++=in
frock ^nn++++=frock
coats ^nns++++=coats,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
family ^nn++++=family
chapels ^nns++++=chapels
that ^tht+rel+subj++=that
look ^vb++++=look
like ^in++++=like
small ^jj+atrb+++=small
branch ^nn++++=branch
banks ^nns++++=banks.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rich ^jj++++=rich
dead ^jj++++=dead
continue ^vb++++=continue
to ^to++++=to
display ^vbi++++=display
their ^pp$+pp3+++=their
riches ^nns++++=riches;
; ^zz++++=EXTRAWORD
the ^ati++++=the
poor ^jj++++=poor
dead ^jj++++=dead
lie ^vb++++=lie
packed ^vbd+++xvbn+=packed
together ^nn+nom+++=together
as ^ql++++=as
they ^pp3a+pp3+++=they
lived ^vbd+++xvbnx+=lived,
, ^zz++++=EXTRAWORD
wall ^nn++++=wall
against ^in++++=against
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
" ^zz++++="Yet,
yet ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
autumn ^nn++++=autumn,
, ^zz++++=EXTRAWORD
the ^ati++++=the
place ^nn++++=place
possesses ^nns+nom+++=possesses
a ^at++++=a
penetrating ^jj+atrb++xvbg+=penetrating
sadness ^nns+nom+++=sadness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
yellow ^jj+atrb+++=yellow
leaves ^nns++++=leaves
gather ^vb+vprv+++=gather
in ^in++++=in
corners ^nns+nom+++=corners
of ^in++++=of
the ^ati++++=the
paths ^nns++++=paths;
; ^zz++++=EXTRAWORD
a ^at++++=a
weakened ^jj+atrb++xvbn+=weakened
sun ^nn++++=sun
slides ^vbz++++=slides
over ^in++++=over
the ^ati++++=the
stones ^nns++++=stones
without ^in++++=without
warming ^xvbg+++xvbg+=warming
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
black ^jj+atrb+++=black
dresses ^nns+nom+++=dresses
pass ^vb++++=pass
among ^in++++=among
the ^ati++++=the
white ^jj+atrb+++=white
tombs ^nns++++=tombs;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there
some ^dti++++=some
solitary ^jj+atrb+++=solitary
cypress ^nns+nom+++=cypress
lifts ^vbz++++=lifts
its ^pp$+it+++=its
dark ^jj+atrb+++=dark
finger ^nn++++=finger
as ^cs+sub+++=as
though ^cs+sub+++=though
warning ^jj+atrb+++=warning
mankind ^nn++++=mankind
to ^to++++=to
be ^vbi++vrb++=be
silent ^jj+pred+++=silent.
. ^zz++++=EXTRAWORD
" ^zz++++="One
one ^cd1++++=EXTRAWORD
afternoon ^nn++++=afternoon
in ^in++++=in
October ^nr++++=October
I ^pp1a+pp1+++=I
entered ^vbd+++xvbnx+=entered
there ^rn+pl+++=there
without ^in++++=without
any ^dti++++=any
purpose ^nn++++=purpose
except ^in++++=except
to ^to++++=to
escape ^vbi++++=escape
the ^ati++++=the
boulevard ^&fw++++=boulevard.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sky ^nn++++=sky
was ^vbd+bedz+vrb++=was
pale ^nn++++=pale
gray ^np++++=gray,
, ^zz++++=EXTRAWORD
the ^ati++++=the
air ^nn++++=air
mild ^jj++++=mild,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Paris ^np++++=Paris
had ^vb+hv+vrb++=had
that ^dt+dem+++=that
tired ^jj+atrb++xvbn+=tired
appearance ^nn+nom+++=appearance
which ^whp+rel+subj++=which
comes ^vbz++++=comes
after ^in++++=after
several ^ap++++=several
days ^nns++++=days
of ^in++++=of
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wandered ^vbd+++xvbnx+=wandered
between ^in++++=between
the ^ati++++=the
monuments ^nns+nom+++=monuments,
, ^zz++++=EXTRAWORD
reading ^vbg+++xvbg+=reading
names ^nns++++=names.
. ^zz++++=EXTRAWORD
" ^zz++++="Reading
reading ^vbg+++xvbg+=EXTRAWORD
epitaphs ^nns+++??+=epitaphs
is ^vbz+bez+vrb++=is
an ^at++++=an
excellent ^jj+atrb+++=excellent
lesson ^nn++++=lesson
in ^in++++=in
human ^jj+atrb+++=human
vanity ^nn++++=vanity.
. ^zz++++=EXTRAWORD
Everyone ^pn++++=Everyone
was ^vbd+bedz+vrb++=was
a ^at++++=a
devoted ^jj+atrb++xvbn+=devoted
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
an ^at++++=an
adored ^jj+atrb++xvbn+=adored
mother ^nn++++=mother,
, ^zz++++=EXTRAWORD
an ^at++++=an
inconsolable ^jj+atrb+++=inconsolable
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
an ^at++++=an
honest ^jj+atrb+++=honest
merchant ^nn+nom+++=merchant.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
one ^cd1++++=one
bore ^nn+++xvbn+=bore
the ^ati++++=the
inscription ^nn+nom+++=inscription:
: ^zz++++=EXTRAWORD
' ^zz++++='Here
here ^rn+pl+++=EXTRAWORD
lies ^vbz++++=lies
a ^at++++=a
tiresome ^jj++++=tiresome
fellow ^jjb++++=fellow
who ^whp+who+++=who
bored ^vbd+++xvbn+=bored
his ^pp$+pp3+++=his
family ^nn++++=family
for ^in++++=for
forty ^cd++++=forty
years ^nns++++=years.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Death ^nn++++=Death,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
suppresses ^nns+nom+++=suppresses
the ^ati++++=the
person ^nn++++=person,
, ^zz++++=EXTRAWORD
improves ^vbz++++=improves
the ^ati++++=the
character ^nn+nom+++=character.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
came ^vbd+++xvbnx+=came
presently ^rb+tm+++=presently
to ^in++++=to
the ^ati++++=the
grave ^nn++++=grave
of ^in++++=of
a ^at++++=a
woman ^nn++++=woman
whom ^whp+rel+obj++=whom
I ^pp1a+pp1+++=I
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
loved ^vprf+++xvbnx+=loved.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
married ^vpsv++agls+xvbnx+=married,
, ^zz++++=EXTRAWORD
charming ^jj+++xvbg+=charming,
, ^zz++++=EXTRAWORD
imprudent ^jj++++=imprudent,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
capable ^jj++++=capable
of ^in++++=of
lying ^nn++++=lying
with ^in++++=with
such ^abl++++=such
grace ^nn++++=grace
that ^tht+rel+++=that
truth ^nn++++=truth
in ^in++++=in
her ^pp$+pp3+++=her
mouth ^nn++++=mouth
would ^md+prd+++=would
have ^vb+hv+aux++=have
seemed ^vprf+++xvbnx+=seemed
a ^at++++=a
vulgarity ^nn+nom+++=vulgarity.
. ^zz++++=EXTRAWORD
For ^in++++=For
six ^cd++++=six
months ^nns++++=months
she ^pp3a+pp3+++=she
believed ^vbd+vprv++xvbnx+=believed
me ^pp1o+pp1+++=me
indispensable ^jj++++=indispensable;
; ^zz++++=EXTRAWORD
for ^in++++=for
another ^dt++++=another
six ^cd++++=six
I ^pp1a+pp1+++=I
believed ^vbd+vprv+tht0+xvbnx+=believed
her ^pp$+pp3+++=her
unforgettable ^jj++++=unforgettable.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
life ^nn++++=life,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
great ^jj++++=great
remover ^jjr++++=remover
of ^in++++=of
inscriptions ^nns+nom+++=inscriptions,
, ^zz++++=EXTRAWORD
rubbed ^j+++xvbn+=rubbed
out ^rp+pl+++=out
our ^pp$+pp1+++=our
passion ^nn++++=passion.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
died ^vbd+++xvbnx+=died
several ^ap++++=several
years ^nns++++=years
afterward ^rb++++=afterward.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
stood ^vbd+++xvbnx+=stood
before ^cs+sub+++=before
her ^pp$+pp3+++=her
tomb ^nn++++=tomb
and ^cc++++=and
tried ^vbd+++xvbn+=tried
to ^to+vcmp+++=to
summon ^vbi++++=summon
the ^ati++++=the
emotion ^nn+nom+++=emotion
appropriate ^jj++++=appropriate
to ^to+jcmp+++=to
the ^ati++++=the
occasion ^nn++++=occasion.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remembered ^vbd+vprv+tht0+xvbnx+=remembered
her ^pp$+pp3+++=her
shoulders ^nns+nom+++=shoulders
more ^rbr++++=more
readily ^rb++++=readily
than ^cs+sub+++=than
her ^pp3o+pp3+++=her
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
laughter ^nn+nom+++=laughter
more ^rbr++++=more
clearly ^rb++++=clearly
than ^cs+sub+++=than
her ^pp3o+pp3+++=her
words ^nns++++=words.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
a ^at++++=a
sincere ^jj+atrb+++=sincere
melancholy ^nn++++=melancholy.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
mourn ^vb++++=mourn
less ^rbr++++=less
for ^in++++=for
the ^ati++++=the
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
than ^in++++=than
for ^in++++=for
the ^ati++++=the
persons ^nns++++=persons
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
loved ^vbd+++xvbnx+=loved
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
that ^dt+dem+++=that
slab ^nn++++=slab
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
my ^pp$+pp1+++=my
vanished ^jj+atrb++xvbn+=vanished
youth ^nn++++=youth
buried ^vwbn+++xvbn+=buried
beside ^in+pl+++=beside
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="As
as ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I
turned ^vbd+++xvbnx+=turned
away ^rb+cnj+++=away,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
noticed ^vbd+vprv++xvbnx+=noticed
a ^at++++=a
woman ^nn++++=woman
kneeling ^vwbg+++xvbg+=kneeling
at ^rb++++=at
a ^at++++=a
neighboring ^jj+atrb+++=neighboring
tomb ^nn++++=tomb.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
in ^in++++=in
deep ^jj+atrb+++=deep
mourning ^nvbg+++xvbg+=mourning.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
long ^rb++++=long
veil ^nn++++=veil
had ^vbd+hvd+aux++=had
slipped ^vprf+++xvbnx+=slipped
from ^in++++=from
her ^pp$+pp3+++=her
shoulders ^nns+nom+++=shoulders
and ^cc++++=and
spread ^vpsv++agls+xvbn+=spread
across ^in+pl+++=across
the ^ati++++=the
stone ^nn++++=stone
like ^in++++=like
a ^at++++=a
black ^jj+atrb+++=black
pool ^nn++++=pool.
. ^zz++++=EXTRAWORD
Beneath ^in+pl+++=Beneath
the ^ati++++=the
dark ^jj+atrb+++=dark
edge ^nn++++=edge
of ^in++++=of
her ^pp$+pp3+++=her
bonnet ^nn++++=bonnet
appeared ^vbd+seem++xvbn+=appeared
fair ^jj+atrb+++=fair
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
so ^ql++++=so
pale ^nn++++=pale
and ^cc++++=and
luminous ^jj++++=luminous
that ^cs+sub+++=that
it ^pp3+it+++=it
resembled ^vbd+++xvbn+=resembled
rays ^nns++++=rays
of ^in++++=of
dawn ^nn++++=dawn
imprisoned ^vwbn+++xvbn+=imprisoned
under ^in++++=under
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
figure ^nn++++=figure
was ^vbd+bedz+vrb++=was
slender ^jj+pred+++=slender,
, ^zz++++=EXTRAWORD
distingu ^nn+++??+=distingu
, ^zz++++=,
and ^cc+cls+++=and
young ^jj++++=young.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
pray ^vb+vsua+++=pray.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
remained ^vbd+++xvbnx+=remained
bent ^vwbn+++xvbn+=bent
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
forehead ^nn++++=forehead
resting ^vwbg+++xvbg+=resting
upon ^in++++=upon
her ^pp$+pp3+++=her
gloved ^jj+atrb+++=gloved
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
in ^in++++=in
an ^at++++=an
attitude ^nn++++=attitude
of ^in++++=of
complete ^jj+atrb+++=complete
desolation ^nn+nom+++=desolation.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
confess ^nns+nom+++=confess
that ^tht+vcmp+++=that
beautiful ^jj+atrb+++=beautiful
grief ^nn++++=grief
moves ^nns++++=moves
me ^pp1o+pp1+++=me
more ^rbr++++=more
than ^in++++=than
ugly ^jj+atrb+++=ugly
grief ^nn++++=grief.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
unjust ^jj+pred+++=unjust,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
nature ^nn++++=nature
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
republican ^nn+nom+++=republican.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
passed ^vbd+++xvbnx+=passed
slowly ^rb++++=slowly.
. ^zz++++=EXTRAWORD
Upon ^in++++=Upon
the ^ati++++=the
tomb ^nn++++=tomb
I ^pp1a+pp1+++=I
read ^vbd+vprv++xvbnx+=read:
: ^zz++++=EXTRAWORD
" ^zz++++="'Captain
' ^zz++++=EXTRAWORD
captain ^npt++++=EXTRAWORD
Henri ^np++++=Henri
de ^&fw++++=de
Varnet ^np+++??+=Varnet,
, ^zz++++=EXTRAWORD
Twenty ^cd++++=Twenty-ninth
- ^zz++++=EXTRAWORD
ninth ^od++++=EXTRAWORD
Infantry ^nn++++=Infantry,
, ^zz++++=EXTRAWORD
killed ^j+++xvbn+=killed
before ^in++++=before
Lang ^np+++??+=Lang-Son,
- ^zz++++=EXTRAWORD
son ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Tonquin ^np+++??+=Tonquin.
. ^zz++++=EXTRAWORD
Pray ^vb+vsua+++=Pray
for ^in++++=for
him ^pp3o+pp3+++=him.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
sword ^nn++++=sword
and ^cc++++=and
a ^at++++=a
palm ^np++++=palm
branch ^nn++++=branch
