# ^zz++++=##
# ^zz++++=EXTRAWORD
Hundred ^cd++++=HUNDRED
three ^cd++++=three
ladies ^nns++++=ladies
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
heard ^vprf++tht0+xvbnx+=heard
it ^pp3+it+++=it
explained ^vbd+vpub++xvbn+=explained
every ^at++++=every
summer ^nn++++=summer
for ^in++++=for
nine ^cd++++=nine
years ^nns++++=years.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
the ^ati++++=the
shadow ^nn++++=shadow
came ^vbd+++xvbn+=came
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
boots ^nns++++=boots.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
came ^vbd+++xvbn+=came
a ^at++++=a
man ^nn++++=man.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boots ^nns++++=boots
deserve ^vb++++=deserve
precedence ^nn+nom+++=precedence
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
possessed ^vbd+++xvbnx+=possessed
more ^rbr++++=more
immediate ^jj+atrb+++=immediate
character ^nn+nom+++=character
than ^in++++=than
their ^pp$+pp3+++=their
owner ^nn++++=owner.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
immense ^jj+pred+++=immense,
, ^zz++++=EXTRAWORD
warped ^j+++xvbn+=warped,
, ^zz++++=EXTRAWORD
yellow ^jj++++=yellow
with ^in++++=with
Georgia ^np+++??+=Georgia
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
curved ^jj++++=curved
at ^in++++=at
the ^ati++++=the
ends ^nns++++=ends
like ^in++++=like
two ^cd++++=two
canoes ^nns++++=canoes
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
met ^vprf+++xvbnx+=met
adversity ^nn+nom+++=adversity
and ^cc++++=and
taken ^vbd+++xvbn+=taken
to ^to+vcmp+++=to
travelling ^vbi+nom+++=travelling
by ^in++++=by
land ^nn++++=land.
. ^zz++++=EXTRAWORD
The ^ati++++=The
right ^jj+atrb+++=right
boot ^nn++++=boot
leaned ^vbd+++xvbn+=leaned
outward ^jjb++++=outward
with ^in++++=with
a ^at++++=a
rakish ^jj+atrb+++=rakish
air ^nn++++=air;
; ^zz++++=EXTRAWORD
the ^ati++++=the
left ^nn++++=left
advanced ^vbd+vsua++xvbn+=advanced
submissively ^jj++++=submissively,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
apologising ^vbg+++xvbg+=apologising
for ^in++++=for
the ^ati++++=the
liberty ^nn++++=liberty.
. ^zz++++=EXTRAWORD
Above ^in+pl+++=Above
them ^pp3o+pp3+++=them
hung ^vbd+++xvbn+=hung
trousers ^nns+nom+++=trousers
of ^in++++=of
no ^at++++=no
recognised ^jj+atrb++xvbn+=recognised
colour ^nn++++=colour,
, ^zz++++=EXTRAWORD
a ^at++++=a
coat ^nn++++=coat
whose ^whp+rel+obj++=whose
pockets ^nns++++=pockets
bulged ^vbd+++xvbn+=bulged
with ^in++++=with
mysterious ^jj+atrb+++=mysterious
possessions ^nns++++=possessions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
strips ^nns++++=strips
of ^in++++=of
rawhide ^nn+++??+=rawhide
doing ^vwbg+++xvbg+=doing
the ^ati++++=the
public ^jj+atrb+++=public
duty ^nn++++=duty
of ^in++++=of
suspenders ^nns+nom+++=suspenders.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
summit ^nn++++=summit
of ^in++++=of
this ^dt+dem+++=this
melancholy ^jj+atrb+++=melancholy
architecture ^nn++++=architecture
appeared ^vbd+seem++xvbn+=appeared
a ^at++++=a
narrow ^jj+atrb+++=narrow
face ^nn++++=face,
, ^zz++++=EXTRAWORD
a ^at++++=a
thatch ^nn++++=thatch
of ^in++++=of
dusty ^jj+atrb+++=dusty
grey ^jj+atrb+++=grey
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
two ^cd++++=two
faded ^jj+atrb++xvbn+=faded
eyes ^nns++++=eyes
which ^whp+rel+subj++=which
looked ^xvbn+++xvbn+=looked
first ^od++++=first
at ^rb++++=at
every ^at++++=every
doorway ^nn++++=doorway
and ^cc++++=and
then ^rn+tm+++=then
behind ^in+pl+++=behind
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
forty ^cd++++=forty.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hair ^nn++++=hair
said ^vbd+vpub++xvbn+=said
sixty ^cd++++=sixty;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
stooping ^vbg+++xvbg+=stooping
shoulders ^nns+nom+++=shoulders,
, ^zz++++=EXTRAWORD
seventy ^cd++++=seventy;
; ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
frightened ^jj+atrb++xvbn+=frightened
movements ^nns+nom+++=movements,
, ^zz++++=EXTRAWORD
a ^at++++=a
hundred ^cd++++=hundred
years ^nns++++=years
at ^rb++++=at
least ^rb"++++=least.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
halted ^vbd+++xvbnx+=halted
below ^rb++++=below
the ^ati++++=the
steps ^nns++++=steps.
. ^zz++++=EXTRAWORD
Colonel ^npt++++=Colonel
Dabney ^np+++??+=Dabney
stopped ^vbd+++xvbn+=stopped
the ^ati++++=the
Mexican ^jj+atrb+++=Mexican
War ^nn++++=War
at ^in++++=at
Buena ^np+++??+=Buena
Vista ^np++++=Vista.
. ^zz++++=EXTRAWORD
" ^zz++++="Well?"
well ^rb++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Clayton ^np++++=Clayton,
, ^zz++++=EXTRAWORD
proprietor ^nn++++=proprietor
of ^in++++=of
the ^ati++++=the
hotel ^nn++++=hotel.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^nn++++=stranger
removed ^vwbn+++xvbn+=removed
a ^at++++=a
battered ^jj+atrb++xvbn+=battered
hat ^nn++++=hat.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
fingers ^nns+nom+++=fingers,
, ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
falling ^xvbg+++xvbg+=falling
at ^rb++++=at
his ^pp$+pp3+++=his
side ^nn++++=side,
, ^zz++++=EXTRAWORD
remained ^j+++xvbn+=remained
spread ^vbd+++xvbn+=spread
against ^in++++=against
the ^ati++++=the
crown ^nn++++=crown,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
awaiting ^vbg+++xvbg+=awaiting
orders ^nns++++=orders.
. ^zz++++=EXTRAWORD
" ^zz++++="Me?"
me ^pp1o+pp1+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="You,"
you ^pp2+pp2+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Clayton ^np++++=Clayton.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
want ^vb++++=want?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
I ^pp1a+pp1+++=I
want ^vb++++=want?
? ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
pertickler ^jjr++++=pertickler.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
kin ^nns++++=kin
tote ^nn+++??+=tote
wood ^nn++++=wood,
, ^zz++++=EXTRAWORD
scour ^vb++++=scour
pots ^nns++++=pots,
, ^zz++++=EXTRAWORD
curry ^nn++++=curry
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
peel ^np++++=peel
taters ^nn++++=taters,
, ^zz++++=EXTRAWORD
wait ^vb++++=wait
on ^in+ppvb+++=on
table ^nn++++=table
if ^cs+cnd+++=if
folks ^nns++++=folks
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
mind ^vb+++??+=mind
the ^ati++++=the
looks ^nns++++=looks
of ^in++++=of
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
reckin ^nn+++??+=reckin
they ^pp3a+pp3+++=they
would ^md+prd+++=would,
, ^zz++++=EXTRAWORD
much ^ap++++=much,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
they ^pp3a+pp3+++=they
got ^vbd+++xvbnx+=got
used ^vbd+++xvbn+=used
to ^to++++=to
' ^zz++++='em."
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
three ^cd++++=three
ladies ^nns++++=ladies
examined ^vwbn+++xvbn+=examined
him ^pp3o+pp3+++=him
and ^cc++++=and
plainly ^rb++++=plainly
doubted ^vbd+vprv++xvbn+=doubted
whether ^cs+who+++=whether
civilisation ^nn+nom+++=civilisation
could ^md+pos+++=could
sustain ^vb++++=sustain
so ^rb+emph+++=so
severe ^jj++++=severe
a ^at++++=a
trial ^nn++++=trial.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+whq++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
from ^in+strn+++=from?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbn+vsua++xvbn+=asked
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Clayton ^np++++=Clayton.
. ^zz++++=EXTRAWORD
" ^zz++++="From
from ^in++++=EXTRAWORD
Georgy ^np++++=Georgy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
large ^jj+atrb+++=large
address ^nns+nom+++=address."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Large?
large ^jj++++=EXTRAWORD
? ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
Georgy ^np++++=Georgy's
's ^$++++=EXTRAWORD
tol ^nn+++??+=tol'able
'able ^jj++++0=EXTRAWORD
large ^jj++++=large."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
part ^nn++++=part?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man's
's ^vbz+bez+vrb++0=EXTRAWORD
pale ^jj+atrb+++=pale
eyes ^nns++++=eyes
travelled ^vbd+++xvbn+=travelled
to ^in++++=to
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
the ^ati++++=the
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
the ^ati++++=the
kitchen ^nn++++=kitchen
wing ^nn++++=wing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
finally ^rb++++=finally
the ^ati++++=the
hitching ^nn++++=hitching-post.
- ^zz++++=EXTRAWORD
post ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
shoulders ^nns+nom+++=shoulders
contracted ^vbd+++xvbn+=contracted.
. ^zz++++=EXTRAWORD
" ^zz++++="Different
different ^jj+atrb+++=EXTRAWORD
parts ^nns++++=parts,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
been ^vb+vbd+vrb+xvbnx+=been
movin ^nn+++??+=movin'."
'." ^nn+++??+=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
slight ^jj+atrb+++=slight
ironical ^jj+atrb+++=ironical
elevation ^nn+nom+++=elevation
of ^in++++=of
Colonel ^npt++++=Colonel
Dabney ^np++++=Dabney's
's ^$++++=EXTRAWORD
eyebrows ^nns++++=eyebrows.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^nn++++=stranger
observed ^vbd+vprv++xvbn+=observed
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
observed ^vbd+vprv+tht0+xvbnx+=observed
everything ^pn++++=everything
that ^cs+sub+++=that
suggested ^vprf+++xvbn+=suggested
suspicion ^nn++++=suspicion,
, ^zz++++=EXTRAWORD
pursuit ^nn++++=pursuit,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
punishment ^nn+nom+++=punishment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
delicate ^jj+atrb+++=delicate
intelligence ^nn+nom+++=intelligence
which ^whp+rel+subj++=which
discovers ^nns+nom+++=discovers
kindness ^nns+nom+++=kindness
had ^vb+hv+aux++=had
almost ^rb+hdg+splt++=almost
been ^vprf+ben+aux+xvbnx+=been
beaten ^vpsv++agls+xvbnx+=beaten
out ^rp+pl+++=out
of ^in++++=of
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
instinct ^nn++++=instinct
which ^whp+rel+subj++=which
detects ^vbz++++=detects
danger ^nn++++=danger
remained ^vbd+++xvbn+=remained
terribly ^rb++++=terribly
alive ^jj++++=alive.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
your ^pp$+pp2+++=your
name ^nn++++=name?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Clayton ^np++++=Clayton
continued ^vbd+++xvbn+=continued.
. ^zz++++=EXTRAWORD
" ^zz++++="Baker."
baker ^np++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="First
first ^rb++++=EXTRAWORD
name ^nn++++=name?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Me?"
me ^pp1o+pp1+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
much ^ap++++=much
use ^nn++++=use
for ^in++++=for
the ^ati++++=the
first ^od++++=first
part ^nn++++=part.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
mostly ^rb++++=mostly
called ^vbd+++xvbn+=called
me ^pp1o+pp1+++=me
Baker ^np++++=Baker.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
called ^jj+++xvbn+=called
me ^pp1o+pp1+++=me
Hunder ^np+++??+=Hunder'd'n
'd'n ^nn+++??+=EXTRAWORD
One ^pn++++=One."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Colonel ^npt++++=Colonel
Dabney ^np+++??+=Dabney
lowered ^vbd+++xvbn+=lowered
his ^pp$+pp3+++=his
newspaper ^nn+nom+++=newspaper.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
extraordinary ^jj+atrb+++=extraordinary
baptism ^nn+nom+++=baptism
was ^vbd+bedz+vrb++=was
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Baptism?"
baptism ^nn+nom+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Baker ^np++++=Baker
repeated ^vbd+++xvbn+=repeated.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
tell ^vb++++=tell
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
war ^nn++++=warn't
n't ^xnot++not++0=EXTRAWORD
no ^at++++=no
baptism ^nn+nom+++=baptism.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
" ^zz++++="
A ^at++++=A
carriage ^nn+nom+++=carriage
turned ^vbd+++xvbn+=turned
into ^in++++=into
the ^ati++++=the
drive ^nn++++=drive.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
wheels ^nns++++=wheels
struck ^vbd+++xvbn+=struck
a ^at++++=a
stone ^nn++++=stone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
driver ^nn++++=driver
cracked ^vbd+++xvbn+=cracked
his ^pp$+pp3+++=his
whip ^nn++++=whip.
. ^zz++++=EXTRAWORD
The ^ati++++=The
effect ^nn++++=effect
upon ^in++++=upon
Baker ^nn++++=Baker
was ^vbd+bedz+vrb++=was
appalling ^jj+pred+++=appalling.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
dropped ^vbd+++xvbnx+=dropped
his ^pp$+pp3+++=his
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
flung ^j+++xvbn+=flung
both ^abx++++=both
arms ^nns++++=arms
around ^in++++=around
the ^ati++++=the
hitching ^nn++++=hitching-post,
- ^zz++++=EXTRAWORD
post ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flattened ^vbd+++xvbn+=flattened
his ^pp$+pp3+++=his
body ^nn++++=body
against ^in++++=against
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
motion ^nn++++=motion
practised ^vbd+++xvbn+=practised
too ^ql++++=too
often ^rb++++=often
to ^to++++=to
be ^vbi+vbi+aux++=be
mistaken ^vpsv++agls+xvbnx+=mistaken,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
dragged ^vbd+++xvbnx+=dragged
his ^pp$+pp3+++=his
coat ^nn++++=coat
over ^in++++=over
his ^pp$+pp3+++=his
head ^nn++++=head
and ^cc++++=and
exposed ^jj+++xvbn+=exposed
his ^pp$+pp3+++=his
back ^nn++++=back.
. ^zz++++=EXTRAWORD
" ^zz++++="Ready,
ready ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Cap ^nn++++=Cap'n,"
'n," ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
ready ^jj+pred+++=ready.
. ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
lay ^jjb+++xvbn+=lay
it ^pp3+it+++=it
over ^in++++=over
the ^ati++++=the
old ^jj+atrb+++=old
cut ^nn+++xvbn+=cut,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
kin ^nns++++=kin
help ^vb++++=help
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
healed ^vprf+++xvbn+=healed
pertickler ^jjr++++=pertickler
good ^jj++++=good."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
spoke ^vbd+++xvbn+=spoke.
. ^zz++++=EXTRAWORD
The ^ati++++=The
carriage ^nn+nom+++=carriage
rolled ^vbd+++xvbn+=rolled
up ^rp++++=up
merrily ^rb++++=merrily;
; ^zz++++=EXTRAWORD
two ^cd++++=two
children ^nns++++=children
laughed ^vbd+++xvbn+=laughed
within ^in++++=within
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
the ^ati++++=the
whip ^nn++++=whip
cracked ^vbd+++xvbn+=cracked
once ^rb+tm+++=once
more ^rbr++++=more
over ^in++++=over
the ^ati++++=the
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
on ^in++++=on
the ^ati++++=the
veranda ^nn++++=veranda
the ^ati++++=the
summer ^nn++++=summer
afternoon ^nn++++=afternoon
seemed ^vbd+seem++xvbn+=seemed
suddenly ^rb++++=suddenly
to ^in++++=to
have ^vbi+vbi+aux++=have
grown ^vprf+++xvbnx+=grown
cold ^jj++++=cold.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Clayton ^np++++=Clayton
descended ^vbd+++xvbn+=descended
the ^ati++++=the
steps ^nns++++=steps.
. ^zz++++=EXTRAWORD
" ^zz++++="Baker,"
baker ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
gently ^rb+cnj+++=gently,
, ^zz++++=EXTRAWORD
" ^zz++++="no
no ^at++++=EXTRAWORD
one ^cd1++++=one
is ^vbz+bez+aux++=is
going ^md"++pmd"++=going
to ^md+prd+++=to
strike ^vb++++=strike
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Baker ^np++++=Baker's
's ^$++++=EXTRAWORD
face ^nn++++=face
appeared ^vbd+seem++xvbn+=appeared
from ^in++++=from
beneath ^in+pl+++=beneath
the ^ati++++=the
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
" ^zz++++="Ain't
ai ^vb+be+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
this ^dt+dem+++=this
Friday ^nr++++=Friday?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
Monday ^nr++++=Monday."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Monday?"
monday ^nr++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
considered ^vbd+vprv++xvbnx+=considered
this ^dt+dem+++=this
with ^in++++=with
painful ^jj+atrb+++=painful
care ^nn++++=care.
. ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
mixed ^vbd+++xvbn+=mixed.
. ^zz++++=EXTRAWORD
Fridays ^nrs++++=Fridays
was ^vbd+bedz+vrb++=was
the ^ati++++=the
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
Friday ^nr++++=Friday,
, ^zz++++=EXTRAWORD
' ^zz++++='less
less ^rbr++++=EXTRAWORD
the ^ati++++=the
boss ^nn++++=boss
was ^vbd+bedz+vrb++=was
off ^in+pl+++=off
fishin ^nn+++??+=fishin'.
'. ^nn+++??+=EXTRAWORD
Sometimes ^rb++++=Sometimes
he ^pp3a+pp3+++=he
done ^vbd+++xvbnx+=done
it ^pp3+it+++=it
Thursday ^nr++++=Thursday,
, ^zz++++=EXTRAWORD
account ^nn++++=account
of ^in++++=of
wantin ^nn+++??+=wantin'
' ^zz++++=EXTRAWORD
Friday ^nr++++=Friday
clear ^jj++++=clear."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Clayton ^np++++=Clayton
put ^vbd+++xvbn+=put
a ^at++++=a
hand ^nn++++=hand
upon ^in++++=upon
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder.
. ^zz++++=EXTRAWORD
Baker ^np++++=Baker
shrank ^vbd+++xvbn+=shrank
so ^rb++++=so
violently ^rb++++=violently
that ^cs+sub+++=that
the ^ati++++=the
hand ^nn++++=hand
was ^vbd+bedz+aux++=was
withdrawn ^vpsv++agls+xvbnx+=withdrawn.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
whipped ^vbd+++xvbn+=whipped
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
State ^nn++++=State."
. ^zz++++=EXTRAWORD
