# ^zz++++=##
# ^zz++++=EXTRAWORD
Sketch ^nn++++=SKETCH
leaf ^nn++++=leaf
or ^cc++++=or
grape ^nn+++??+=grape,
, ^zz++++=EXTRAWORD
trails ^nns++++=trails
over ^in++++=over
the ^ati++++=the
lava ^nn++++=lava
like ^in++++=like
a ^at++++=a
cord ^nn++++=cord
left ^vbd+++xvbn+=left
after ^in++++=after
strangulation ^nn+nom+++=strangulation.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
is ^vbz+bez+vrb++=is
the ^ati++++=the
barrenness ^nns+nom+++=barrenness
smooth ^jj++++=smooth
and ^cc+phrs+++=and
passive ^jj++++=passive.
. ^zz++++=EXTRAWORD
The ^ati++++=The
land ^nn++++=land
has ^vbz+hvz+vrb++=has
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
Everywhere ^rb++++=Everywhere
rise ^vb++++=rise
jagged ^jj+atrb+++=jagged
combs ^nns+++??+=combs
of ^in++++=of
basalt ^jj+atrb++xvbn+=basalt,
, ^zz++++=EXTRAWORD
shattered ^jj+atrb++xvbn+=shattered
chimneys ^nns++++=chimneys,
, ^zz++++=EXTRAWORD
caverns ^nns+++??+=caverns
with ^in++++=with
black ^jj+atrb+++=black
throats ^nns++++=throats,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
vast ^jj+atrb+++=vast
congealed ^jj+atrb++xvbn+=congealed
streams ^nns++++=streams
which ^whp+rel+subj++=which
look ^vb++++=look
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
infernal ^jj+atrb+++=infernal
metal ^nn++++=metal
had ^vb+hv+vrb++=had
but ^cc++++=but
yesterday ^nr+tm+++=yesterday
run ^vbd+++xvbn+=run
hissing ^jj++++=hissing
toward ^in++++=toward
the ^ati++++=the
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
In ^in++++=In
some ^dti++++=some
places ^nns++++=places
the ^ati++++=the
lava ^nn++++=lava
is ^vbz+bez+aux++=is
wrinkled ^vwbn+++xvbn+=wrinkled
like ^in++++=like
the ^ati++++=the
hide ^nn++++=hide
of ^in++++=of
a ^at++++=a
monstrous ^jj+atrb+++=monstrous
elephant ^nn+nom+++=elephant;
; ^zz++++=EXTRAWORD
in ^in++++=in
others ^aps++++=others
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
bubbled ^vpsv++agls+xvbnx+=bubbled
and ^cc++++=and
burst ^nn+++xvbn+=burst,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
imprisoned ^xvbn+++xvbn+=imprisoned
vapors ^nns++++=vapors
still ^rb+atrb+++=still
labored ^jj+++xvbn+=labored
below ^rb++++=below.
. ^zz++++=EXTRAWORD
Walk ^nn++++=Walk
heedlessly ^rb+cnj+++=heedlessly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
your ^pp$+pp2+++=your
boot ^nn++++=boot
is ^vbz+bez+aux++=is
cut ^vpsv++agls+xvbnx+=cut;
; ^zz++++=EXTRAWORD
fall ^nn++++=fall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
island ^nn++++=island
takes ^vbz++++=takes
blood ^nn++++=blood.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
it ^pp3+it+++=it
refuses ^vbz++++=refuses
alike ^rb++++=alike
the ^ati++++=the
husbandman ^jj+atrb+++=husbandman's
's ^vbz+bez+vrb++0=EXTRAWORD
plough ^nn++++=plough
and ^cc++++=and
the ^ati++++=the
pilgrim ^nn++++=pilgrim's
's ^$++++=EXTRAWORD
knee ^nn++++=knee.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
first ^rb++++=first
saw ^vbd+vprv++xvbn+=saw
the ^ati++++=the
group ^nn++++=group
from ^in++++=from
the ^ati++++=the
masthead ^nn+++??+=masthead
of ^in++++=of
a ^at++++=a
South ^nr+pl+++=South-Seaman,
- ^zz++++=EXTRAWORD
seaman ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
weeks ^nns++++=weeks
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
Pacific ^jj++++=Pacific
had ^vbd+hvd+aux++=had
shown ^vprf+++xvbnx+=shown
us ^pp1o+pp1+++=us
nothing ^pn++++=nothing
but ^cc++++=but
its ^pp$+it+++=its
circular ^jj+atrb+++=circular
horizon ^nn++++=horizon,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
flying ^vbg+++xvbg+=flying-fish,
- ^zz++++=EXTRAWORD
fish ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
occasional ^jj+atrb+++=occasional
black ^jj+atrb+++=black
sermon ^nn++++=sermon
of ^in++++=of
a ^at++++=a
whale ^nn++++=whale's
's ^vbz+bez+vrb++0=EXTRAWORD
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
At ^rb++++=At
dawn ^nn++++=dawn
the ^ati++++=the
main ^jjb++++=main-royal-man
- ^zz++++=EXTRAWORD
royal ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
man ^nn++++=EXTRAWORD
called ^vbd+++xvbn+=called
down ^rp++++=down
that ^dt+dem+++=that
land ^nn++++=land
stood ^vbd+++xvbn+=stood
westward ^rb++++=westward.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
land ^nn++++=land!
! ^zz++++=EXTRAWORD
the ^ati++++=the
word ^nn++++=word
was ^vbd+bedz+vrb++=was
too ^ql++++=too
hospitable ^jj++++=hospitable.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
we ^pp1a+pp1+++=we
beheld ^nn+++??+=beheld
resembled ^vbd+++xvbn+=resembled
the ^ati++++=the
cooled ^jj+atrb++xvbn+=cooled
fragments ^nns+nom+++=fragments
of ^in++++=of
a ^at++++=a
demolished ^jj+atrb++xvbn+=demolished
world ^nn++++=world.
. ^zz++++=EXTRAWORD
The ^ati++++=The
summits ^nns+++??+=summits,
, ^zz++++=EXTRAWORD
dim ^jj++++=dim
in ^in++++=in
vapor ^nn++++=vapor,
, ^zz++++=EXTRAWORD
seemed ^jj+atrb++xvbn+=seemed
smoke ^nn++++=smoke-stacks
- ^zz++++=EXTRAWORD
stacks ^nns++++=EXTRAWORD
of ^in++++=of
Tartarus ^np++++=Tartarus;
; ^zz++++=EXTRAWORD
the ^ati++++=the
lower ^jjr+atrb+++=lower
ridges ^nns++++=ridges,
, ^zz++++=EXTRAWORD
red ^jj++++=red
and ^cc++++=and
brown ^np++++=brown,
, ^zz++++=EXTRAWORD
appeared ^j+++xvbn+=appeared
newly ^rb++++=newly
raked ^vprf+++xvbn+=raked
from ^in++++=from
a ^at++++=a
penal ^jj+atrb+++=penal
conflagration ^nn+nom+++=conflagration.
. ^zz++++=EXTRAWORD
No ^at++++=No
beach ^npl++++=beach
invited ^vwbn+++xvbn+=invited
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
The ^ati++++=The
surf ^nn++++=surf
leaped ^vbd+++xvbn+=leaped
among ^in++++=among
splintered ^jj+atrb++xvbn+=splintered
rocks ^nns++++=rocks,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
with ^in++++=with
the ^ati++++=the
regular ^jj+atrb+++=regular
thunder ^nn++++=thunder
heard ^vbd+vprv++xvbn+=heard
on ^in++++=on
generous ^jj+atrb+++=generous
shores ^nns++++=shores,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
short ^jj+atrb+++=short,
, ^zz++++=EXTRAWORD
spiteful ^jj+atrb+++=spiteful
reports ^nns++++=reports,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
hidden ^jj+atrb++xvbn+=hidden
musketeers ^nns+nom+++=musketeers
fired ^vbd+++xvbn+=fired
upon ^in++++=upon
every ^at++++=every
boat ^nn++++=boat.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
old ^jj+atrb+++=old
captain ^nn++++=captain,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
rounded ^vprf+++xvbnx+=rounded
the ^ati++++=the
Horn ^nn++++=Horn
seven ^cd++++=seven
times ^nns++++=times
and ^cc++++=and
believed ^vbd+vprv++xvbn+=believed
himself ^ppl+pp3+++=himself
incapable ^jj++++=incapable
of ^in++++=of
surprise ^nn++++=surprise,
, ^zz++++=EXTRAWORD
examined ^xvbn+++xvbn+=examined
the ^ati++++=the
islands ^nns++++=islands
through ^in++++=through
his ^pp$+pp3+++=his
brass ^nn++++=brass
glass ^nn++++=glass,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
shut ^vb+++xvbn+=shut
it ^pp3+it+++=it
with ^in++++=with
an ^at++++=an
oath ^nn++++=oath
of ^in++++=of
unusual ^jj+atrb+++=unusual
gravity ^nn+nom+++=gravity.
. ^zz++++=EXTRAWORD
" ^zz++++="Those
those ^dt+dem+++=EXTRAWORD
countries ^nns++++=countries,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="were
were ^vbd+bed+aux++=EXTRAWORD
made ^vpsv++agls+xvbnx+=made
on ^in++++=on
a ^at++++=a
Saturday ^nr++++=Saturday
night ^nn++++=night,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
materials ^nns+nom+++=materials
had ^vbd+hvd+aux++=had
run ^vprf+++xvbnx+=run
low ^jj++++=low."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
carpenter ^nn+nom+++=carpenter,
, ^zz++++=EXTRAWORD
a ^at++++=a
Scot ^nn++++=Scot
and ^cc+cls+++=and
therefore ^rb+cnj+++=therefore
theological ^jj++++=theological,
, ^zz++++=EXTRAWORD
answered ^vb+++xvbn+=answered
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
made ^vpsv++agls+xvbnx+=made
earlier ^jjr++++=earlier,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
cursed ^vbd+++xvbn+=cursed
afterward ^rb++++=afterward.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
these ^dt+dem+++=these
opinions ^nns++++=opinions
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
not ^xnot++not++=not
adjudicate ^nn+nom+++=adjudicate.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
enough ^qlp++++=enough
that ^dt+dem+++=that
the ^ati++++=the
curse ^nn++++=curse
whether ^cs+who+++=whether
contemporary ^jj++++=contemporary
with ^in++++=with
creation ^nn+nom+++=creation
or ^cc++++=or
imposed ^vpsv++by+xvbn+=imposed
by ^in++++=by
subsequent ^nn++++=subsequent
decree ^vb++++=decree
appears ^vbz+seem+++=appears
still ^jj+pred+++=still
operative ^jj++++=operative.
. ^zz++++=EXTRAWORD
Observe ^vb+vprv+++=Observe,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
the ^ati++++=the
deception ^nn+nom+++=deception
of ^in++++=of
their ^pp$+pp3+++=their
waters ^nns++++=waters.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
might ^md+pos+++=might
suppose ^vb+vprv+++=suppose
that ^tht+vcmp+++=that
islands ^npl++++=islands
so ^ql+emph+++=so
naked ^jj++++=naked
would ^md+prd+++=would
at ^rb++++=at
least ^rb"++++=least
be ^vb+be+aux++=be
honestly ^rb++splt++=honestly
approached ^vpsv++agls+xvbnx+=approached;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
sea ^nn++++=sea
about ^rb++++=about
them ^pp3o+pp3+++=them
is ^vbz+bez+vrb++=is
full ^jj+pred+++=full
of ^in++++=of
covert ^nn+++??+=covert
treacheries ^nns+nom+++=treacheries.
. ^zz++++=EXTRAWORD
Currents ^nns++++=Currents
run ^vbd+++xvbn+=run
at ^in++++=at
variance ^nn+nom+++=variance
with ^in"++++=with
wind ^nn++++=wind
and ^cc++++=and
compass ^nn++++=compass;
; ^zz++++=EXTRAWORD
a ^at++++=a
ship ^nn++++=ship
steering ^vwbg+++xvbg+=steering
north ^nr+pl+++=north
finds ^vbz+vprv+tht0++=finds
herself ^ppl+pp3+++=herself
carried ^vbd+++xvbn+=carried
west ^np+pl+++=west;
; ^zz++++=EXTRAWORD
a ^at++++=a
boat ^nn++++=boat
pulling ^vwbg+++xvbg+=pulling
for ^in++++=for
a ^at++++=a
headland ^nn++++=headland
beholds ^nns+++??+=beholds
it ^pp3+it+++=it
sliding ^jj+++xvbg+=sliding
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
another ^dt++++=another
promontory ^nn++++=promontory,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
all ^abn++++=all
hands ^nns++++=hands
had ^vbd+hvd+aux++=had
sworn ^vprf+++xvbn+=sworn
was ^vbd+bedz+vrb++=was
astern ^rb+cnj+++=astern,
, ^zz++++=EXTRAWORD
advances ^nns+nom+++=advances
with ^in++++=with
spectral ^jj+atrb+++=spectral
deliberation ^nn+nom+++=deliberation
upon ^in++++=upon
the ^ati++++=the
bow ^nn++++=bow.
. ^zz++++=EXTRAWORD
Tide ^nn++++=Tide-rips
- ^zz++++=EXTRAWORD
rips ^nns+++??+=EXTRAWORD
wrinkle ^nn++++=wrinkle
the ^ati++++=the
calm ^nn++++=calm
at ^rb++++=at
noon ^nn++++=noon;
; ^zz++++=EXTRAWORD
black ^jj+atrb+++=black
eddies ^nns+++??+=eddies
revolve ^vb++++=revolve
where ^wrb+who+++=where
no ^at++++=no
rock ^npl++++=rock
is ^vbz+bez+aux++=is
charted ^vpsv++agls+xvbnx+=charted;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
vessel ^nn++++=vessel,
, ^zz++++=EXTRAWORD
becalmed ^j+++xvbn+=becalmed
under ^in++++=under
a ^at++++=a
burning ^jj+atrb++xvbg+=burning
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
drift ^vb++++=drift
all ^abn++++=all
night ^nn++++=night
as ^in++++=as
rapidly ^rb++++=rapidly
as ^cs+sub+++=as
if ^cs+cnd+++=if
towed ^vpsv++by+xvbn+=towed
by ^in++++=by
drowned ^jj+++xvbn+=drowned
Titans ^np+++??+=Titans.
. ^zz++++=EXTRAWORD
Hence ^rb+cnj+++=Hence
the ^ati++++=the
Spanish ^jj+atrb+++=Spanish
mariners ^nns+nom+++=mariners,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
first ^od++++=first
blundered ^vprf+++xvbn+=blundered
among ^in++++=among
these ^dt+dem+++=these
shores ^nns++++=shores,
, ^zz++++=EXTRAWORD
believed ^j+++xvbn+=believed
the ^ati++++=the
islands ^nns++++=islands
enchanted ^vbd+++xvbn+=enchanted.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
charts ^nns++++=charts
placed ^vwbn+++xvbn+=placed
them ^pp3o+pp3+++=them
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nowhere ^rb+pl+++=nowhere.
. ^zz++++=EXTRAWORD
A ^at++++=A
cape ^npl++++=cape
seen ^vbd+vprv++xvbn+=seen
at ^rb++++=at
sunset ^nn++++=sunset
was ^vbd+bedz+vrb++=was
absent ^jj++++=absent
at ^rb++++=at
dawn ^nn++++=dawn;
; ^zz++++=EXTRAWORD
a ^at++++=a
mountain ^npl++++=mountain
altered ^vwbn+++xvbn+=altered
shape ^nn++++=shape;
; ^zz++++=EXTRAWORD
a ^at++++=a
channel ^npl++++=channel
narrowed ^vbd+++xvbn+=narrowed
into ^in++++=into
a ^at++++=a
cul ^nn+++??+=cul-de-sac;
- ^zz++++=EXTRAWORD
de ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
sac ^nn+++??+=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
very ^ql+amp+++=very
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
incorruptible ^jj+atrb+++=incorruptible
witnesses ^nns+nom+++=witnesses,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
bribed ^vpsv++by+xvbn+=bribed
by ^in++++=by
the ^ati++++=the
archipelago ^nn++++=archipelago.
. ^zz++++=EXTRAWORD
" ^zz++++="Las
las ^np++++=EXTRAWORD
Encantadas ^np+++??+=Encantadas!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
bewildered ^jj+atrb++xvbn+=bewildered
pilots ^nns++++=pilots;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
name ^nn++++=name,
, ^zz++++=EXTRAWORD
born ^xvbn+++xvbn+=born
of ^in++++=of
bad ^jj+atrb+++=bad
reckoning ^nn++++=reckoning,
, ^zz++++=EXTRAWORD
terror ^nn++++=terror,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perhaps ^rb++++=perhaps
a ^rb++++=a
little ^rb"++++=little
Canary ^nn++++=Canary
wine ^nn++++=wine,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just.
. ^zz++++=EXTRAWORD
No ^at++++=No
settled ^jj+atrb++xvbn+=settled
voice ^nn++++=voice
disputes ^nns++++=disputes
the ^ati++++=the
wind ^nn++++=wind
there ^rn+pl+++=there.
. ^zz++++=EXTRAWORD
No ^at++++=No
village ^nn+nom+++=village
bell ^nn++++=bell
tells ^vbz++++=tells
noon ^nn++++=noon.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tortoise ^nn++++=tortoise
crawls ^vbz++++=crawls;
; ^zz++++=EXTRAWORD
the ^ati++++=the
lizard ^nn+++??+=lizard
watches ^vbz++++=watches;
; ^zz++++=EXTRAWORD
the ^ati++++=the
serpent ^nn++++=serpent,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
serpent ^nn++++=serpent
there ^ex+pex+++=there
be ^vb+be+aux++=be,
, ^zz++++=EXTRAWORD
keeps ^vbz++++=keeps
his ^pp$+pp3+++=his
counsel ^nn++++=counsel
under ^in++++=under
stones ^nns++++=stones.
. ^zz++++=EXTRAWORD
Reptile ^np+++??+=Reptile
reigns ^vbz++++=reigns
over ^in++++=over
reptile ^nn+++??+=reptile
territory ^nn++++=territory.
. ^zz++++=EXTRAWORD
Man ^nn++++=Man
comes ^vbz++++=comes
as ^in++++=as
pirate ^nn++++=pirate,
, ^zz++++=EXTRAWORD
castaway ^nn++++=castaway,
, ^zz++++=EXTRAWORD
hunter ^nn++++=hunter,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
transient ^jj+atrb+++=transient
butcher ^nn++++=butcher;
; ^zz++++=EXTRAWORD
builds ^vbz++++=builds
a ^at++++=a
fire ^nn++++=fire;
; ^zz++++=EXTRAWORD
carves ^nns+++??+=carves
a ^at++++=a
date ^nn++++=date;
; ^zz++++=EXTRAWORD
leaves ^nns++++=leaves
a ^at++++=a
broken ^jj+atrb++xvbn+=broken
cask ^nn+++??+=cask;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
departs ^vbz++++=departs,
, ^zz++++=EXTRAWORD
generally ^rb+down+++=generally
with ^in++++=with
gratitude ^nn++++=gratitude.
. ^zz++++=EXTRAWORD
The ^ati++++=The
islands ^nns++++=islands
remain ^vb++++=remain
black ^nn++++=black,
, ^zz++++=EXTRAWORD
silent ^jj++++=silent,
, ^zz++++=EXTRAWORD
immutable ^jj++++=immutable
as ^cs+sub+++=as
though ^cs+sub+++=though
Time ^nn++++=Time
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
begun ^vprf+++xvbn+=begun
some ^dti++++=some
gigantic ^jj+atrb+++=gigantic
inscription ^nn+nom+++=inscription,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
broken ^vprf+++xvbnx+=broken
his ^pp$+pp3+++=his
chisel ^nn++++=chisel
and ^cc++++=and
abandoned ^vbd+++xvbn+=abandoned
the ^ati++++=the
task ^nn++++=task.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
I ^pp1a+pp1+++=I
