Merchant ^nn+nom+++=Merchant
roast ^vb++++=roast
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
removed ^vpsv++agls+xvbnx+=removed,
, ^zz++++=EXTRAWORD
Merchant ^nn+nom+++=Merchant
Vahl ^np+++??+=Vahl
began ^vbd+++xvbn+=began
to ^to++++=to
tap ^vbi++++=tap
his ^pp$+pp3+++=his
glass ^nn++++=glass
with ^in++++=with
a ^at++++=a
knife ^nn++++=knife.
. ^zz++++=EXTRAWORD
The ^ati++++=The
guests ^nns++++=guests
became ^vbd+++xvbn+=became
attentive ^jj++++=attentive;
; ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
several ^ap++++=several
of ^in++++=of
them ^pp3o+pp3+++=them
raised ^vbd+++xvbn+=raised
their ^pp$+pp3+++=their
glasses ^nns++++=glasses
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
for ^in++++=for
experienced ^jj+atrb++xvbn+=experienced
diners ^nns++++=diners
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
the ^ati++++=the
first ^od++++=first
sign ^vb++++=sign
of ^in++++=of
a ^at++++=a
peroration ^nn+nom+++=peroration
should ^md+nec+++=should
never ^rb++++=never
be ^vb+be+aux++=be
neglected ^vpsv++agls+xvbnx+=neglected.
. ^zz++++=EXTRAWORD
Madame ^npt++++=Madame
Vahl ^np+++??+=Vahl
grew ^vbd+++xvbn+=grew
pale ^nn++++=pale.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
knew ^vbd+vprv+tht0+xvbnx+=knew
her ^pp$+pp3+++=her
husband ^nn++++=husband's
's ^$++++=EXTRAWORD
virtues ^nns++++=virtues,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
numerous ^jj+pred+++=numerous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
limitations ^nns+nom+++=limitations,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
obliged ^jj++agls+xvbnx+=obliged
to ^to+jcmp+++=to
learn ^vbi+vprv+++=learn
by ^in++++=by
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
friends ^nns++++=friends,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
merchant ^nn+nom+++=merchant,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
desired ^vprf+++xvbnx+=desired
to ^to+vcmp+++=to
say ^vbi+vpub+tht0++=say
I ^pp1a+pp1+++=I
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
on ^in++++=on
this ^dt+dem+++=this
occasion ^nn++++=occasion
" ^zz++++="
" ^zz++++="Take
take ^vb++++=EXTRAWORD
your ^pp$+pp2+++=your
time ^nn++++=time,
, ^zz++++=EXTRAWORD
Vahl ^np+++??+=Vahl,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
solicitor ^nn++++=solicitor
benevolently ^rb++++=benevolently.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
advice ^nn++++=advice
made ^vbd+++xvbn+=made
matters ^nns+nom+++=matters
worse ^jjr++++=worse.
. ^zz++++=EXTRAWORD
The ^ati++++=The
merchant ^nn+nom+++=merchant
glared ^vbd+++xvbn+=glared
at ^in++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
drank ^j+++xvbn+=drank
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
supposed ^vb+vprv+pmd"+xvbnx+=supposed
to ^to+vcmp+pmd++=to
be ^vbi++vrb++=be
Rhine ^np++++=Rhine
wine ^nn++++=wine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
friends ^nns++++=friends!
! ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+aux++=are
assembled ^vpsv++agls+xvbnx+=assembled
beneath ^rb++++=beneath
my ^pp$+pp1+++=my
roof ^nn++++=roof
to ^to++++=to
welcome ^vbi++++=welcome
home ^nr++++=home
my ^pp$+pp1+++=my
son ^nn++++=son
my ^pp$+pp1+++=my
Henrik ^np+++??+=Henrik
from ^in++++=from
the ^ati++++=the
University ^nn+nom+++=University
of ^in++++=of
our ^pp$+pp1+++=our
Fatherland ^np+++??+=Fatherland.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=has
pursued ^vprf+++xvbnx+=pursued
knowledge ^nn++++=knowledge;
; ^zz++++=EXTRAWORD
there ^rn+pl+++=there
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=has
associated ^vprf+++xvbnx+=associated
with ^in++++=with
distinguished ^jj+atrb++xvbn+=distinguished
professors ^nns++++=professors;
; ^zz++++=EXTRAWORD
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
in ^rb++++=in
short ^rb"++++=short,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
become ^vprf+++xvbn+=become
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
upon ^in++++=upon
whom ^whp+rel+pied++=whom
the ^ati++++=the
future ^nn++++=future
depends ^vbz++++=depends."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Henrik ^np+++??+=Henrik
lowered ^vbd+++xvbn+=lowered
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
modestly ^rb+cnj+++=modestly,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
taking ^vbg+++xvbg+=taking
care ^nn++++=care
that ^tht+rel+obj++=that
everybody ^pn++++=everybody
observed ^vbd+++xvbn+=observed
him ^pp3o+pp3+++=him
do ^vb+do+vrb++=do
so ^rb++++=so.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
fathers ^nns+nom+++=fathers,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
continued ^vbd+++xvbn+=continued
Vahl ^np+++??+=Vahl,
, ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=finding
unexpectedly ^rb++++=unexpectedly
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
possessed ^vbd+++xvbnx+=possessed
both ^abx++++=both
a ^at++++=a
subject ^nn++++=subject
and ^cc++++=and
a ^at++++=a
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
" ^zz++++="are
are ^vb+ber+vrb++=EXTRAWORD
too ^ql++++=too
prone ^jj++++=prone
to ^to+jcmp+++=to
believe ^vbi+vprv+++=believe
that ^tht+vcmp+++=that
wisdom ^nn++++=wisdom
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born
with ^in++++=with
us ^pp1o+pp1+++=us
and ^cc++++=and
must ^md+nec+++=must
die ^vb++++=die
with ^in++++=with
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
so ^rb++++=so.
. ^zz++++=EXTRAWORD
The ^ati++++=The
world ^nn++++=world
advances ^nns+nom+++=advances!
! ^zz++++=EXTRAWORD
The ^ati++++=The
son ^nn++++=son
must ^md+nec+++=must
stand ^vb++++=stand
upon ^in++++=upon
the ^ati++++=the
father ^nn++++=father's
's ^$++++=EXTRAWORD
shoulders ^nns+nom+++=shoulders;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
must ^md+nec+++=must
see ^vb+vprv+++=see
farther ^rbr++++=farther,
, ^zz++++=EXTRAWORD
think ^vb+vprv+++=think
more ^rbr++++=more
clearly ^rb+cnj+++=clearly,
, ^zz++++=EXTRAWORD
act ^nn++++=act
more ^rbr++++=more
nobly ^rb++++=nobly.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
our ^pp$+pp1+++=our
children ^nns++++=children
do ^vb+do+vrb++=do
no ^at++++=no
more ^rbr++++=more
than ^in++++=than
repeat ^nn++++=repeat
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
laboured ^vprf+++xvbnx+=laboured
in ^rb++++=in
vain ^rb"++++=vain."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Judge ^nn++++=Judge
Krag ^np+++??+=Krag
nodded ^vbd+++xvbn+=nodded
gravely ^np++++=gravely.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
almost ^rb+hdg+++=almost
the ^ati++++=the
same ^ap++++=same
sentiment ^nn+nom+++=sentiment
at ^in++++=at
a ^at++++=a
public ^jj+atrb+++=public
banquet ^nn++++=banquet
the ^ati++++=the
previous ^jj+atrb+++=previous
week ^nn++++=week
and ^cc++++=and
had ^vbd+hvd+aux++=had
approved ^vprf+++xvbnx+=approved
it ^pp3+it+++=it
then ^rn+tm+++=then
also ^rb++++=also.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
not ^xnot++not++=not
fear ^vb++++=fear
their ^pp$+pp3+++=their
independence ^nn+nom+++=independence,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
merchant ^nn+nom+++=merchant.
. ^zz++++=EXTRAWORD
" ^zz++++="No!
no ^at++++=EXTRAWORD
! ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
must ^md+nec+++=must
rejoice ^vb++++=rejoice
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
them ^pp3o+pp3+++=them
correct ^vb++++=correct
our ^pp$+pp1+++=our
errors ^nns++++=errors;
; ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
them ^pp3o+pp3+++=them
cast ^vbd+++xvbn+=cast
aside ^rb+phrv+++=aside
our ^pp$+pp1+++=our
prejudices ^nns++++=prejudices;
; ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
them ^pp3o+pp3+++=them
outgrow ^vb++++=outgrow
us ^pp1o+pp1+++=us!
! ^zz++++=EXTRAWORD
For ^in++++=For
what ^wdt+who+whq++=what
does ^vbz+doz+aux++=does
the ^ati++++=the
gardener ^nn+nom+++=gardener
desire ^nn++++=desire?
? ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
that ^cs+sub+++=that
the ^ati++++=the
young ^jj+atrb+++=young
tree ^nn++++=tree
should ^md+nec+++=should
remain ^vb++++=remain
forever ^rb++++=forever
beneath ^in+pl+++=beneath
the ^ati++++=the
old ^jj++++=old,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
it ^pp3+it+++=it
should ^md+nec+++=should
rise ^vb++++=rise
higher ^jjr++++=higher,
, ^zz++++=EXTRAWORD
stronger ^jjr++++=stronger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nearer ^rbr++++=nearer
heaven ^nn++++=heaven!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
the ^ati++++=the
young ^jj+atrb+++=young
lady ^nn++++=lady's
's ^$++++=EXTRAWORD
mother ^nn++++=mother
whispered ^vbd+vpub++xvbn+=whispered,
, ^zz++++=EXTRAWORD
" ^zz++++="Beautiful!"
beautiful ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
Madame ^npt++++=Madame
Vahl ^np+++??+=Vahl,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
apprehensions ^nns++++=apprehensions
had ^vb+hv+aux++=had
by ^in++++=by
now ^rn+tm+++=now
changed ^vbd+++xvbn+=changed
into ^in++++=into
tears ^nns++++=tears,
, ^zz++++=EXTRAWORD
pressed ^j+++xvbn+=pressed
her ^pp3o+pp3+++=her
napkin ^nn++++=napkin
to ^in++++=to
her ^pp$+pp3+++=her
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
drink ^vb++++=drink,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
concluded ^vbd+vprv++xvbn+=concluded
the ^ati++++=the
merchant ^nn+nom+++=merchant,
, ^zz++++=EXTRAWORD
" ^zz++++="to
to ^in++++=EXTRAWORD
The ^ati++++=The
Young ^jj++++=Young!
! ^zz++++=EXTRAWORD
To ^in++++=To
their ^pp$+pp3+++=their
courage ^nn+nom+++=courage,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
liberty ^nn++++=liberty
and ^cc++++=and
to ^in++++=to
the ^ati++++=the
day ^nn++++=day
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
shall ^md+prd+++=shall
surpass ^vb+++??+=surpass
us ^pp1o+pp1+++=us!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Every ^at++++=Every
glass ^nn++++=glass
was ^vbd+bedz+aux++=was
emptied ^vpsv++agls+xvbnx+=emptied.
. ^zz++++=EXTRAWORD
Henrik ^np+++??+=Henrik
embraced ^vbd+++xvbn+=embraced
his ^pp$+pp3+++=his
father ^nn++++=father;
; ^zz++++=EXTRAWORD
the ^ati++++=the
ladies ^nns++++=ladies
were ^vbd+bed+aux++=were
moved ^vpsv++agls+xvbnx+=moved;
; ^zz++++=EXTRAWORD
the ^ati++++=the
Adjunct ^nn++++=Adjunct
declared ^vbd+vpub++xvbn+=declared
that ^tht+vcmp+++=that
the ^ati++++=the
speech ^nn++++=speech
did ^vbd+dod+vrb++=did
honour ^nn++++=honour
not ^xnot++not++=not
only ^rb+down+++=only
to ^in++++=to
the ^ati++++=the
paternal ^jj+atrb+++=paternal
heart ^nn++++=heart
but ^cc++++=but
also ^rb++++=also
to ^in++++=to
the ^ati++++=the
century ^nn++++=century.
. ^zz++++=EXTRAWORD
Merchant ^nn+nom+++=Merchant
Vahl ^np+++??+=Vahl
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
amid ^in++++=amid
acclamations ^nns+nom+++=acclamations,
, ^zz++++=EXTRAWORD
astonished ^j+++xvbn+=astonished
at ^rb++++=at
his ^pp$+pp3+++=his
own ^ap++++=own
eloquence ^nn+nom+++=eloquence
and ^cc++++=and
sincerely ^rb++++=sincerely
persuaded ^vbd+vsua++xvbn+=persuaded
of ^in++++=of
every ^at++++=every
word ^nn++++=word
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
uttered ^vprf+++xvbnx+=uttered.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
sincerity ^nn+nom+++=sincerity
must ^md+nec+++=must
be ^vb+be+aux++=be
admitted ^vpsv++agls+xvbnx+=admitted
in ^in++++=in
his ^pp$+pp3+++=his
favour ^nn++++=favour.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
do ^vb+do+aux++=do
not ^xnot++not++=not
always ^rb++++=always
lie ^vb++++=lie
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
proclaim ^vb++++=proclaim
principles ^nns++++=principles
which ^whp+rel+obj++=which
they ^pp3a+pp3+++=they
will ^md+prd+++=will
repudiate ^nn+nom+++=repudiate
ten ^cd++++=ten
minutes ^nns++++=minutes
later ^rbr+tm+++=later;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
merely ^rb+down+++=merely
speak ^vb++++=speak
from ^in++++=from
one ^cd1++++=one
part ^nn++++=part
of ^in++++=of
their ^pp$+pp3+++=their
nature ^nn++++=nature
and ^cc++++=and
act ^nn++++=act
from ^in++++=from
another ^dt++++=another.
. ^zz++++=EXTRAWORD
After ^in++++=After
dessert ^nn++++=dessert,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ladies ^nns++++=ladies
withdrew ^vbd+++xvbn+=withdrew
to ^in++++=to
the ^ati++++=the
drawing ^jj+++xvbg+=drawing-room,
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
gentlemen ^nns++++=gentlemen
remained ^vbd+++xvbn+=remained
with ^in++++=with
their ^pp$+pp3+++=their
cigars ^nns++++=cigars.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
custom ^nn++++=custom
is ^vbz+bez+aux++=is
said ^vpsv++agls+xvbnx+=said
to ^to+vcmp+++=to
descend ^vbi++++=descend
from ^in++++=from
the ^ati++++=the
sea ^nn++++=sea-kings,
- ^zz++++=EXTRAWORD
kings ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
no ^at++++=no
sea ^nn++++=sea-king
- ^zz++++=EXTRAWORD
king ^npt++++=EXTRAWORD
was ^vbd+bedz+aux++=was
ever ^rb++splt++=ever
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
smoke ^vb++++=smoke
a ^at++++=a
Havana ^np+++??+=Havana;
; ^zz++++=EXTRAWORD
historical ^jj+atrb+++=historical
facts ^nns++++=facts
of ^in++++=of
this ^dt+dem+++=this
kind ^nn++++=kind
are ^vb+ber+aux++=are
most ^ql+emph+++=most
secure ^vb++++=secure
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
cannot ^md+pos+not++=cannot
be ^vb+be+aux++=be
investigated ^vpsv++agls+xvbnx+=investigated.
. ^zz++++=EXTRAWORD
Presently ^rb+cnj+++=Presently,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
Madame ^npt++++=Madame
Vahl ^np+++??+=Vahl
opened ^vbd+++xvbn+=opened
both ^abx++++=both
doors ^nns++++=doors
and ^cc++++=and
insisted ^vprf+++xvbn+=insisted
that ^tht+vcmp+++=that
the ^ati++++=the
gentlemen ^nns++++=gentlemen
join ^vb++++=join
the ^ati++++=the
ladies ^nns++++=ladies,
, ^zz++++=EXTRAWORD
lest ^cs+sub+++=lest
her ^pp$+pp3+++=her
curtains ^nns++++=curtains,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
cushions ^nns++++=cushions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
female ^nn++++=female
guests ^nns++++=guests
should ^md+nec+++=should
all ^abn++++=all
become ^vb++++=become
smoke ^nn++++=smoke-dried
- ^zz++++=EXTRAWORD
dried ^xvbn+++xvbn+=EXTRAWORD
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
