# ^zz++++=###
# ^zz++++=EXTRAWORD
# ^zz++++=EXTRAWORD
White ^jj++++=White
and ^cc+cls+++=and
ourselves ^ppls+pp1+++=ourselves
four ^cd++++=four
jackaroos ^nns+++??+=jackaroos
who ^whp+rel+subj++=who
got ^vbd+++xvbn+=got
nothing ^pn++++=nothing
a ^at++++=a
year ^nn++++=year
and ^cc++++=and
earned ^vbd+++xvbn+=earned
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Sandy ^np++++=Sandy
My ^pp$+pp1+++0=M'Gregor
gregor ^nn++++=EXTRAWORD
managed ^vbd+++xvbn+=managed
the ^ati++++=the
place ^nn++++=place
with ^in++++=with
economy ^nn++++=economy,
, ^zz++++=EXTRAWORD
suspicion ^nn++++=suspicion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
voice ^nn++++=voice
which ^whp+rel+subj++=which
could ^md+pos+++=could
turn ^vb++++=turn
a ^at++++=a
quiet ^nn++++=quiet
horse ^nn++++=horse
in ^in++++=in
the ^ati++++=the
drafting ^nn++++=drafting-yard.
- ^zz++++=EXTRAWORD
yard ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
red ^jj+atrb+++=red
beard ^nn++++=beard,
, ^zz++++=EXTRAWORD
iron ^nn++++=iron
spectacles ^nns++++=spectacles,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
dislike ^nn++++=dislike
of ^in++++=of
drovers ^nns+nom+++=drovers,
, ^zz++++=EXTRAWORD
swagmen ^j+++xvbn+=swagmen,
, ^zz++++=EXTRAWORD
horse ^nn++++=horse-dealers,
- ^zz++++=EXTRAWORD
dealers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
travellers ^nns+nom+++=travellers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
anybody ^pn++++=anybody
else ^rb+cnj+++=else
who ^whp+who+++=who
arrived ^vbd+++xvbn+=arrived
at ^rb++++=at
meal ^nn++++=meal-times.
- ^zz++++=EXTRAWORD
times ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Horse ^nn++++=Horse-dealers
- ^zz++++=EXTRAWORD
dealers ^nns+nom+++=EXTRAWORD
he ^pp3a+pp3+++=he
regarded ^vbd+++xvbnx+=regarded
as ^ql++++=as
a ^at++++=a
special ^jj+atrb+++=special
punishment ^nn+nom+++=punishment
sent ^vbd+++xvbn+=sent
into ^in++++=into
the ^ati++++=the
back ^rp++++=back-block
- ^zz++++=EXTRAWORD
block ^nn++++=EXTRAWORD
to ^in++++=to
test ^nn++++=test
the ^ati++++=the
honesty ^nn++++=honesty
of ^in++++=of
managers ^nns+nom+++=managers.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
mon ^&fw++++=mon
that ^dt+pdem+++=that
sells ^vbz++++=sells
a ^at++++=a
horrse ^nn+++??+=horrse,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
used ^md"++pmd"++=used
to ^to++++=to
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="kens
kens ^nns+++??+=EXTRAWORD
something ^pn++++=something
aboot ^in++++=aboot
the ^ati++++=the
beast ^nn++++=beast
that ^tht+rel+obj++=that
the ^ati++++=the
buyer ^nn++++=buyer
doesna ^nn+++??+=doesna.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
he ^pp3a+pp3+++=he
didna ^nn+++??+=didna,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
keep ^vb++++=keep
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
philosophy ^nn++++=philosophy
of ^in++++0=o'
the ^ati++++=the
horrse ^nn+++??+=horrse
trade ^nn++++=trade,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ye ^pp2+pp2+++=ye
may ^md+pos+++=may
put ^vbd+++xvbn+=put
it ^pp3+it+++=it
in ^in++++=in
your ^pp$+pp2+++=your
pipes ^nns++++=pipes."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vb+hv+vrb++=had
no ^at++++=no
pipes ^nns++++=pipes,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
unpaid ^jj++++=unpaid,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
accepted ^vbd+vprv++xvbn+=accepted
the ^ati++++=the
philosophy ^nn++++=philosophy.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
November ^nr+nom+++=November
afternoon ^nn++++=afternoon
a ^at++++=a
drover ^nn++++=drover
came ^vbd+++xvbn+=came
up ^rp++++=up
the ^ati++++=the
track ^nn++++=track
leading ^vwbg+++xvbg+=leading
a ^at++++=a
pony ^nn++++=pony
and ^cc++++=and
carrying ^vbg+++xvbg+=carrying
his ^pp$+pp3+++=his
swag ^nn+++??+=swag
across ^in+pl+++=across
the ^ati++++=the
saddle ^nn++++=saddle.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
tall ^jj+atrb+++=tall
man ^nn++++=man
reduced ^vwbn+++xvbn+=reduced
by ^in++++=by
illness ^nns+nom+++=illness
to ^in++++=to
the ^ati++++=the
thickness ^nns+nom+++=thickness
of ^in++++=of
a ^at++++=a
stockwhip ^nn+++??+=stockwhip.
. ^zz++++=EXTRAWORD
A ^at++++=A
scar ^nn++++=scar
ran ^vbd+++xvbn+=ran
from ^in++++=from
his ^pp$+pp3+++=his
right ^jj+atrb+++=right
temple ^np++++=temple
into ^in++++=into
the ^ati++++=the
beard ^nn++++=beard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
skin ^nn++++=skin
had ^vb+hv+vrb++=had
the ^ati++++=the
yellow ^jj++++=yellow-grey
- ^zz++++=EXTRAWORD
grey ^np++++=EXTRAWORD
colouring ^vwbg+++xvbg+=colouring
of ^in++++=of
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
camped ^vprf+++xvbnx+=camped
too ^ql++++=too
long ^rb++++=long
with ^in++++=with
fever ^nn++++=fever.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pony ^nn++++=pony
looked ^vbd+++xvbn+=looked
little ^ap++++=little
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
flea ^nn++++=flea-bitten
- ^zz++++=EXTRAWORD
bitten ^vb+++xvbn+=EXTRAWORD
grey ^np++++=grey,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
so ^ql++++=so
stained ^vpsv++by+xvbn+=stained
by ^in++++=by
mud ^nn++++=mud,
, ^zz++++=EXTRAWORD
sweat ^nn++++=sweat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
neglect ^nn++++=neglect
that ^tht+rel+obj++=that
his ^pp$+pp3+++=his
colour ^nn++++=colour
was ^vbd+bedz+vrb++=was
a ^at++++=a
matter ^nn++++=matter
for ^in++++=for
argument ^nn+nom+++=argument.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
ribs ^nns++++=ribs
stood ^vbd+++xvbn+=stood
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
hips ^nns++++=hips
were ^vbd+bed+vrb++=were
sharp ^jj+pred+++=sharp,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
carried ^vbd+++xvbnx+=carried
his ^pp$+pp3+++=his
head ^nn++++=head
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
weight ^nn++++=weight
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
ears ^nns++++=ears
wearied ^vprf+++xvbn+=wearied
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Sandy ^np++++=Sandy
watched ^vbd+++xvbn+=watched
the ^ati++++=the
pair ^nn++++=pair
approach ^nn++++=approach.
. ^zz++++=EXTRAWORD
" ^zz++++="Here
here ^rn+pl+++=EXTRAWORD
comes ^vbz++++=comes
bankruptcy ^nn++++=bankruptcy
riding ^vwbg+++xvbg+=riding
starvation ^nn+nom+++=starvation,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+aux++=be
wanting ^vbg+++xvbgx+=wanting
to ^to+vcmp+++=to
sell ^vbi++++=sell
me ^pp1o+pp1+++=me
the ^ati++++=the
bankruptcy ^nn++++=bankruptcy."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
drover ^nn++++=drover
got ^vbd+++xvbn+=got
down ^rp++++=down
slowly ^rb++++=slowly.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
the ^ati++++=the
true ^jj+atrb+++=true
bushman ^nn++++=bushman's
's ^$++++=EXTRAWORD
objection ^nn+nom+++=objection
to ^to++++=to
using ^vbi++++=using
three ^cd++++=three
words ^nns++++=words
where ^wrb+who+++=where
one ^cd1++++=one
would ^md+prd+++=would
leave ^vb++++=leave
a ^at++++=a
reasonable ^jj+atrb+++=reasonable
doubt ^nn++++=doubt.
. ^zz++++=EXTRAWORD
" ^zz++++="Manager?"
manager ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Aye."
aye ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Want
want ^vb++++=EXTRAWORD
a ^at++++=a
horse ^nn++++=horse?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="No."
no ^at++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
drover ^nn++++=drover
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
consider ^nn+nom+++=consider
this ^dt+dem+++=this
complete ^jj+atrb+++=complete
conversation ^nn+nom+++=conversation.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
took ^vbd+++xvbnx+=took
off ^rb+phrv+++=off
the ^ati++++=the
saddle ^nn++++=saddle,
, ^zz++++=EXTRAWORD
set ^j+++xvbn+=set
his ^pp$+pp3+++=his
swag ^nn+++??+=swag
on ^in++++=on
the ^ati++++=the
verandah ^nn++++=verandah,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
waited ^vbd+++xvbn+=waited.
. ^zz++++=EXTRAWORD
Sandy ^np++++=Sandy
glared ^vbd+++xvbn+=glared
at ^in++++=at
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Did
did ^vbd+dod+aux++=EXTRAWORD
ye ^pp2+pp2+++=ye
no ^rb++++=no
hear ^vb+vprv+++=hear
me ^pp1o+pp1+++=me?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said
no ^at++++=no.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+vrb++0=EXTRAWORD
horrses ^nns+++??+=horrses
standing ^vwbg+++xvbg+=standing
idle ^jj++++=idle
now ^rn+tm+++=now
that ^dt+pdem+++=that
are ^vb+ber+aux++=are
eating ^vbg+++xvbgx+=eating
their ^pp$+pp3+++=their
heads ^nns++++=heads
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
better ^jjr+atrb+++=better
heads ^nns++++=heads
than ^in++++=than
yon ^nn+++??+=yon
brute ^jjb+atrb+++=brute's.
's. ^nn+++??+=EXTRAWORD
What ^wdt+who+++=What's
's ^vbz+bez+vrb++0=EXTRAWORD
wrong ^jj+atrb+++=wrong
wi ^nn+++??+=wi'
' ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nothing."
nothing ^pn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Then
then ^rn+tm+++=EXTRAWORD
why ^wrb+who+++=why
sell ^vb++++=sell
him ^pp3o+pp3+++=him?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Need
need ^nn++++=EXTRAWORD
the ^ati++++=the
money ^nn++++=money."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
wrong ^jj+atrb+++=wrong
wi ^nn+++??+=wi'
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
no ^at++++=no
the ^ati++++=the
horrse ^nn+++??+=horrse."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
drover ^nn++++=drover
leaned ^vbd+++xvbn+=leaned
against ^in++++=against
a ^at++++=a
post ^nn++++=post.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
saw ^vbd+vprv++xvbn+=saw
then ^rn+tm+++=then
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
shivering ^vbg+++xvbgx+=shivering,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
heat ^nn++++=heat
had ^vbd+hvd+aux++=had
laid ^vprf+++xvbnx+=laid
the ^ati++++=the
fowls ^nns++++=fowls
under ^in++++=under
the ^ati++++=the
pepper ^nn++++=pepper-trees
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
with ^in++++=with
their ^pp$+pp3+++=their
wings ^nns++++=wings
spread ^vbd+++xvbn+=spread.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+++=EXTRAWORD
from ^in+strn+++=from?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sandy ^jj++++=Sandy
asked ^jj+++xvbn+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="Gulf."
gulf ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Fever?"
fever ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes."
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
one ^cd1++++=one
word ^nn++++=word
Sandy ^np++++=Sandy's
's ^$++++=EXTRAWORD
voice ^nn++++=voice
altered ^vwbn+++xvbn+=altered.
. ^zz++++=EXTRAWORD
Years ^nns++++=Years
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
had ^vb+hv+vrb++=had
Gulf ^npl++++=Gulf
fever ^nn++++=fever
himself ^ppl+pp3+++=himself
and ^cc++++=and
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
carried ^vpsv++agls+xvbnx+=carried
for ^in++++=for
sixty ^cd++++=sixty
miles ^nns++++=miles
in ^in++++=in
a ^at++++=a
dray ^nn+++??+=dray,
, ^zz++++=EXTRAWORD
cursing ^vbg+++xvbg+=cursing
every ^at++++=every
rut ^nn++++=rut
when ^wrb+who+++=when
strong ^jj++++=strong
enough ^dt++++=enough
and ^cc++++=and
the ^ati++++=the
driver ^nn++++=driver
when ^wrb+who+++=when
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
came ^vbd+++xvbnx+=came
down ^in++++=down
the ^ati++++=the
verandah ^nn++++=verandah
steps ^nns++++=steps
and ^cc++++=and
looked ^vbd+++xvbn+=looked
closely ^rb++++=closely
at ^in++++=at
the ^ati++++=the
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+aux++=EXTRAWORD
ye ^pp2+pp2+++=ye
eaten ^vbd+++xvbn+=eaten?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yesterday."
yesterday ^nr+tm+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sandy ^np++++=Sandy
turned ^vbd+++xvbn+=turned
on ^rb+phrv+++=on
us ^pp1o+pp1+++=us
as ^cs+sub+++=as
though ^cs+sub+++=though
we ^pp1a+pp1+++=we
had ^vb+hv+aux++=had
deliberately ^rb++splt++=deliberately
starved ^vprf+++xvbn+=starved
the ^ati++++=the
visitor ^nn++++=visitor.
. ^zz++++=EXTRAWORD
" ^zz++++="Ye
ye ^pp2+pp2+++=EXTRAWORD
four ^cd++++=four
ornamental ^jj+atrb+++=ornamental
objects ^nns++++=objects,
, ^zz++++=EXTRAWORD
standin ^nn+++??+=standin'
' ^zz++++=EXTRAWORD
there ^rn+pl+++=there
like ^in++++=like
galahs ^nns+++??+=galahs
on ^in++++=on
a ^at++++=a
rail ^nn++++=rail!
! ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
the ^ati++++=the
cook ^nn++++=cook
to ^to++++=to
put ^vbi++++=put
meat ^nn++++=meat
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
tea ^nn++++=tea.
. ^zz++++=EXTRAWORD
Strong ^jj+atrb+++=Strong
tea ^nn++++=tea.
. ^zz++++=EXTRAWORD
No ^at++++=No
the ^ati++++=the
dishwater ^jjr++++=dishwater
he ^pp3a+pp3+++=he
sends ^vbz++++=sends
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
drover ^nn++++=drover
laid ^vbd+++xvbn+=laid
a ^at++++=a
hand ^nn++++=hand
on ^in++++=on
the ^ati++++=the
pony ^nn++++=pony's
's ^$++++=EXTRAWORD
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
" ^zz++++="Fifteen
fifteen ^cd++++=EXTRAWORD
pounds ^nns++++=pounds,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
Sandy ^np++++=Sandy
walked ^vbd+++xvbn+=walked
round ^rb++++=round
the ^ati++++=the
animal ^nn++++=animal.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lifted ^vbd+++xvbnx+=lifted
each ^dt++++=each
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
examined ^xvbn+++xvbn+=examined
the ^ati++++=the
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
ran ^j+++xvbn+=ran
a ^at++++=a
hand ^nn++++=hand
down ^in++++=down
the ^ati++++=the
legs ^nns++++=legs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stood ^vpsv++agls+xvbn+=stood
off ^in+pl+++=off
to ^to++++=to
inspect ^vbi++++=inspect
the ^ati++++=the
general ^jj+atrb+++=general
ruin ^nn++++=ruin.
. ^zz++++=EXTRAWORD
" ^zz++++="Fifteen!
fifteen ^cd++++=EXTRAWORD
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
buy ^vb++++=buy
a ^at++++=a
better ^jjr+atrb+++=better
horrse ^nn+++??+=horrse
frae ^nn+++??+=frae
a ^at++++=a
hawker ^np++++=hawker,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
set ^nn+++xvbn+=set
of ^in++++0=o'
saucepans ^nns+nom+++=saucepans
wi ^nn+++??+=wi'
' ^zz++++=EXTRAWORD
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+vrb++0=EXTRAWORD
narrow ^jj++++=narrow
in ^in++++=in
the ^ati++++=the
chest ^nn++++=chest,
, ^zz++++=EXTRAWORD
slack ^jj++++=slack
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
rough ^jj++++=rough
in ^in++++=in
the ^ati++++=the
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
old ^jj++++=old
enough ^qlp++++=enough
to ^to++++=to
remember ^nn+nom+++=remember
the ^ati++++=the
flood ^nn++++=flood."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Eight."
eight ^cd++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sandy ^np++++=Sandy
frowned ^vbd+++xvbn+=frowned.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
ye ^pp2+pp2+++=ye're
're ^vb+ber+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
home ^nr++++=home,
, ^zz++++=EXTRAWORD
ye ^pp2+pp2+++=ye'll
'll ^md+prd+++0=EXTRAWORD
no ^rb++splt++=no
get ^vb++++=get
there ^rn+pl+++=there
on ^rp++++=on
eight ^cd++++=eight
pounds ^nns++++=pounds."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
drover ^nn++++=drover
said ^vbd+vpub+tht0+xvbn+=said
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
" ^zz++++="Where's
where ^wrb+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
home ^nr++++=home?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Wagga
wagga ^nn+++??+=EXTRAWORD
way ^nn++++=way."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
the ^ati++++=the
fare ^nn++++=fare?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="About
about ^in++++=EXTRAWORD
twelve ^cd++++=twelve."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sandy ^jj++++=Sandy
looked ^jj+++xvbn+=looked
again ^rb+tm+++=again
at ^in++++=at
the ^ati++++=the
fever ^nn++++=fever
in ^in++++=in
the ^ati++++=the
man ^nn++++=man's
's ^$++++=EXTRAWORD
face ^nn++++=face,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
pretended ^vbd+vprv++xvbn+=pretended
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
looking ^vbg+++xvbgx+=looking
at ^rb++++=at
the ^ati++++=the
horse ^nn++++=horse.
. ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
ye ^pp2+pp2+++=ye
fifteen ^cd++++=fifteen,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
angrily ^rb++++=angrily.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
horrse ^nn+++??+=horrse,
, ^zz++++=EXTRAWORD
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
The ^ati++++=The
horrse ^nn+++??+=horrse
is ^vbz+bez+vrb++=is
worth ^in++++=worth
thirty ^cd++++=thirty
shillings ^nns+nom+++=shillings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dear ^jj++++=dear
at ^rb++++=at
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
