# ^zz++++=##
# ^zz++++=EXTRAWORD
Cock ^nn++++=Cock-eye
risen ^vwbn+++xvbn+=risen
almost ^rb+hdg+++=almost
as ^ql++++=as
one ^cd1++++=one
beast ^nn++++=beast,
, ^zz++++=EXTRAWORD
four ^cd++++=four
thousand ^cd++++=thousand
legs ^nns++++=legs
under ^in++++=under
a ^at++++=a
single ^jj+atrb+++=single
hide ^nn++++=hide,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stood ^vbd+++xvbn+=stood
listening ^jj+++xvbg+=listening
toward ^in++++=toward
the ^ati++++=the
north ^np+pl+++=north.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
no ^at++++=no
sound ^jj++++=sound
that ^dt+dem+++=that
we ^pp1a+pp1+++=we
could ^md+pos+++=could
hear ^vb+vprv+++=hear.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
cattle ^nns++++=cattle
possess ^nns+nom+++=possess
alarms ^nns++++=alarms
beyond ^in++++=beyond
the ^ati++++=the
reach ^nn++++=reach
of ^in++++=of
men ^nns++++=men,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
a ^at++++=a
long ^rb++++=long
while ^cs+sub+++=while
the ^ati++++=the
herd ^nn++++=herd
remained ^vbd+++xvbn+=remained
standing ^vbg+++xvbg+=standing,
, ^zz++++=EXTRAWORD
troubled ^xvbn+++xvbn+=troubled
by ^in++++=by
some ^dti++++=some
whisper ^nn++++=whisper
in ^in++++=in
the ^ati++++=the
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
Bunt ^np+++??+=Bunt
rode ^vbd+++xvbn+=rode
ahead ^rb+pl+++=ahead
of ^in++++=of
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
shapeless ^jj++++=shapeless
in ^in++++=in
an ^at++++=an
old ^jj+atrb+++=old
buffalo ^nn+++??+=buffalo
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders
hunched ^vbd+++xvbn+=hunched
and ^cc++++=and
his ^pp$+pp3+++=his
hat ^nn++++=hat
brim ^nn++++=brim
touching ^vwbg+++xvbg+=touching
the ^ati++++=the
collar ^nn++++=collar
behind ^in+strn+++=behind.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
cowboy ^nn++++=cowboy
since ^cs+sub+++=since
the ^ati++++=the
word ^nn++++=word
meant ^vbd+vprv++xvbn+=meant
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
hired ^jj+atrb++xvbn+=hired
man ^nn++++=man
on ^in++++=on
a ^at++++=a
fenced ^jj+atrb++xvbn+=fenced
ranch ^nn++++=ranch.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
gold ^nn++++=gold
camps ^nns++++=camps
flare ^vb++++=flare
up ^rp++++=up
and ^cc++++=and
go ^vb++++=go
black ^jj++++=black;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
buffalo ^nn+++??+=buffalo
in ^in++++=in
such ^abl++++=such
numbers ^nns+nom+++=numbers
that ^tht+rel+obj++=that
their ^pp$+pp3+++=their
dust ^nn++++=dust
browned ^vbd+++xvbn+=browned
the ^ati++++=the
noon ^nn++++=noon;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
first ^rb++++=first
thin ^jj+atrb+++=thin
herds ^nns++++=herds
driven ^vwbn+++xvbn+=driven
north ^np+pl+++=north
out ^rp+pl+++=out
of ^in++++=of
Texas ^np++++=Texas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
watched ^vprf+++xvbnx+=watched
the ^ati++++=the
last ^rb++++=last
great ^jj+atrb+++=great
herds ^nns++++=herds
broken ^vbd+++xvbn+=broken
against ^in++++=against
barbed ^jj+atrb+++=barbed
wire ^nn++++=wire.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
remembered ^vbd+vprv++xvbnx+=remembered
when ^wrb+who+whcl++=when
a ^at++++=a
man ^nn++++=man
might ^md+pos+++=might
ride ^vb++++=ride
three ^cd++++=three
days ^nns++++=days
without ^in++++=without
crossing ^xvbg+++xvbg+=crossing
a ^at++++=a
road ^nn++++=road,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
regarded ^vbd+++xvbnx+=regarded
a ^at++++=a
railroad ^nn++++=railroad
fence ^nn++++=fence
as ^in++++=as
a ^at++++=a
personal ^jj+atrb+++=personal
insult ^nn++++=insult.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
seen ^vprf++tht0+xvbnx+=seen
wheat ^nn++++=wheat
come ^vb++++=come
where ^wrb+who+++=where
antelope ^nn+++??+=antelope
had ^vbd+hvd+aux++=had
fed ^vprf+++xvbnx+=fed,
, ^zz++++=EXTRAWORD
towns ^nns++++=towns
rise ^nn++++=rise
where ^wrb+who+++=where
wagon ^nn++++=wagon
trains ^nns++++=trains
had ^vbd+hvd+aux++=had
buried ^vprf+++xvbnx+=buried
their ^pp$+pp3+++=their
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
irrigation ^nn+nom+++=irrigation
ditches ^nns++++=ditches
draw ^vb++++=draw
green ^nn++++=green
squares ^nns++++=squares
upon ^in++++=upon
the ^ati++++=the
desert ^nn++++=desert.
. ^zz++++=EXTRAWORD
The ^ati++++=The
country ^nn++++=country
had ^vbd+hvd+aux++=had
changed ^vprf+++xvbnx+=changed
around ^rp++++=around
him ^pp3o+pp3+++=him
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
remained ^vbd+++xvbnx+=remained
wonderfully ^rb++++=wonderfully
the ^ati++++=the
same ^ap++++=same
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
narrow ^jj++++=narrow,
, ^zz++++=EXTRAWORD
patient ^nn++++=patient,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
permanently ^rb++++=permanently
surprised ^jj+++xvbn+=surprised
that ^tht+jcmp+++=that
civilization ^nn+nom+++=civilization
should ^md+nec+++=should
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
to ^in++++=to
so ^ql++++=so
much ^ap++++=much
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
rode ^vbd+++xvbn+=rode
without ^in++++=without
speech ^nn++++=speech
until ^in++++=until
the ^ati++++=the
red ^jj+atrb+++=red
eye ^nn++++=eye
of ^in++++=of
the ^ati++++=the
campfire ^nn+++??+=campfire
had ^vbd+hvd+aux++=had
sunk ^vprf+++xvbnx+=sunk
behind ^rp+pl+++=behind
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
The ^ati++++=The
night ^nn++++=night
drew ^vbd+++xvbn+=drew
near ^in+strn+++=near,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
empty ^jj++++=empty
and ^cc+phrs+++=and
immeasurable ^jj++++=immeasurable,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
crowded ^vpsv++agls+xvbn+=crowded
with ^in++++=with
familiar ^jj+atrb+++=familiar
lights ^nns++++=lights.
. ^zz++++=EXTRAWORD
Venus ^np++++=Venus
hung ^vbd+++xvbn+=hung
low ^jj++++=low
over ^in++++=over
a ^at++++=a
juniper ^nn++++=juniper
like ^in++++=like
a ^at++++=a
yellow ^jj+atrb+++=yellow
lamp ^nn++++=lamp
placed ^vwbn+++xvbn+=placed
there ^rn+pl+++=there
by ^in++++=by
a ^at++++=a
careful ^jj+atrb+++=careful
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Mars ^np+++??+=Mars
burned ^vbd+++xvbn+=burned
above ^jjb++++=above
the ^ati++++=the
eastern ^jj+atrb+++=eastern
ridge ^nn++++=ridge,
, ^zz++++=EXTRAWORD
the ^ati++++=the
red ^jj+atrb+++=red
lantern ^nn++++=lantern
of ^in++++=of
some ^dti++++=some
celestial ^jj+atrb+++=celestial
switchman ^nn+nom+++=switchman.
. ^zz++++=EXTRAWORD
Orion ^np+++??+=Orion
stepped ^vbd+++xvbn+=stepped
between ^in++++=between
two ^cd++++=two
peaks ^nns++++=peaks
with ^in++++=with
his ^pp$+pp3+++=his
belt ^nn++++=belt
shining ^vwbg+++xvbg+=shining,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Dipper ^np+++??+=Dipper
tilted ^vbd+++xvbn+=tilted
as ^cs+sub+++=as
if ^cs+cnd+++=if
an ^at++++=an
invisible ^jj+atrb+++=invisible
camp ^nn++++=camp-tender
- ^zz++++=EXTRAWORD
tender ^jj++++=EXTRAWORD
were ^vbd+bed+vrb++=were
about ^md"++pmd"++=about
to ^md+prd+++=to
pour ^vb++++=pour
darkness ^nns+nom+++=darkness
upon ^in++++=upon
the ^ati++++=the
plains ^npls++++=plains.
. ^zz++++=EXTRAWORD
The ^ati++++=The
herd ^nn++++=herd
lay ^vbd+++xvbn+=lay
below ^rb++++=below
us ^pp1o+pp1+++=us
in ^in++++=in
a ^at++++=a
broad ^jj+atrb+++=broad
black ^jj+atrb+++=black
patch ^nn++++=patch.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
and ^cc+phrs+++=and
then ^rn+tm+++=then
a ^at++++=a
horn ^nn++++=horn
clicked ^vbd+++xvbn+=clicked
against ^in++++=against
another ^ppls++++=another
horn ^np++++=horn.
. ^zz++++=EXTRAWORD
A ^at++++=A
steer ^np++++=steer
sighed ^vbd+++xvbn+=sighed.
. ^zz++++=EXTRAWORD
Hooves ^np+++??+=Hooves
stamped ^vwbn+++xvbn+=stamped
softly ^rb++++=softly
in ^in++++=in
the ^ati++++=the
dust ^nn++++=dust.
. ^zz++++=EXTRAWORD
Far ^rb+pl+++=Far
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
a ^at++++=a
coyote ^nn++++=coyote
sent ^vbd+++xvbn+=sent
one ^cd1++++=one
thin ^jj+atrb+++=thin
cry ^nn++++=cry
across ^in+pl+++=across
the ^ati++++=the
flats ^nns++++=flats,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
somewhere ^rb++++=somewhere
in ^in++++=in
the ^ati++++=the
sage ^nn++++=sage
came ^vbd+++xvbn+=came
the ^ati++++=the
crisp ^jj+atrb+++=crisp
snap ^nn++++=snap
of ^in++++=of
a ^at++++=a
cooling ^jj+atrb++xvbg+=cooling
twig ^nn++++=twig.
. ^zz++++=EXTRAWORD
The ^ati++++=The
earth ^nn++++=earth
itself ^ppl++++=itself
appeared ^vbd+seem++xvbn+=appeared
to ^to+vcmp+++=to
settle ^vbi++++=settle
under ^in++++=under
the ^ati++++=the
stars ^nns++++=stars,
, ^zz++++=EXTRAWORD
contracting ^jj+++xvbg+=contracting
after ^in++++=after
the ^ati++++=the
heat ^nn++++=heat
of ^in++++=of
day ^nn++++=day.
. ^zz++++=EXTRAWORD
Bunt ^np+++??+=Bunt
began ^vbd+++xvbn+=began
to ^to++++=to
sing ^vbi++++=sing.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
song ^nn++++=song
concerned ^vwbn+++xvbn+=concerned
a ^at++++=a
young ^jj+atrb+++=young
lady ^nn++++=lady
in ^in++++=in
Charleston ^np+++??+=Charleston
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
rejected ^vprf+++xvbnx+=rejected
a ^at++++=a
faithful ^jj+atrb+++=faithful
gentleman ^nn+nom+++=gentleman,
, ^zz++++=EXTRAWORD
whereupon ^cs+sub+++=whereupon
the ^ati++++=the
gentleman ^nn+nom+++=gentleman
went ^vbd+++xvbn+=went
to ^in++++=to
sea ^nn++++=sea
and ^cc++++=and
the ^ati++++=the
lady ^npt++++=lady
died ^vbd+++xvbn+=died
of ^in++++=of
remorse ^nn++++=remorse
beneath ^in+pl+++=beneath
a ^at++++=a
magnolia ^nn+++??+=magnolia
tree ^nn++++=tree.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
a ^at++++=a
song ^nn++++=song
equipped ^vbd+++xvbn+=equipped
with ^in++++=with
magnolias ^nns++++=magnolias,
, ^zz++++=EXTRAWORD
harps ^nns+++??+=harps,
, ^zz++++=EXTRAWORD
ocean ^nn++++=ocean
voyages ^nns+nom+++=voyages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
ruined ^jj+atrb++xvbn+=ruined
Southern ^jj+atrb+++=Southern
mansion ^nn++++=mansion
had ^vbd+hvd+aux++=had
reached ^vprf+++xvbnx+=reached
an ^at++++=an
Idaho ^np+++??+=Idaho
cow ^nn++++=cow
camp ^nn++++=camp
I ^pp1a+pp1+++=I
never ^rb++++=never
learned ^jj+++xvbn+=learned.
. ^zz++++=EXTRAWORD
Bunt ^np+++??+=Bunt
sang ^vbd+++xvbn+=sang
it ^pp3+it+++=it
in ^in++++=in
a ^at++++=a
high ^jj+atrb+++=high,
, ^zz++++=EXTRAWORD
small ^jj+atrb+++=small
voice ^nn++++=voice
of ^in++++=of
great ^jj+atrb+++=great
earnestness ^nns+nom+++=earnestness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cattle ^nns++++=cattle
accepted ^vbd+vprv+tht0+xvbn+=accepted
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
breathing ^xvbg+++xvbg+=breathing
grew ^vbd+++xvbn+=grew
regular ^jj++++=regular,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
last ^rb++++=last
standing ^vbg+++xvbg+=standing
animals ^nns+nom+++=animals
folded ^vbd+++xvbn+=folded
their ^pp$+pp3+++=their
legs ^nns++++=legs
and ^cc++++=and
sank ^vbd+++xvbn+=sank
down ^rp++++=down.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
lady ^npt++++=lady
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
buried ^vpsv++agls+xvbnx+=buried
for ^in++++=for
the ^ati++++=the
fourth ^od++++=fourth
time ^nn++++=time
Bunt ^np+++??+=Bunt
being ^vwbg+beg++xvbg+=being
uncertain ^jj++++=uncertain
of ^in++++=of
the ^ati++++=the
verses ^nns++++=verses
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
in ^rb+phrv+++=in
his ^pp$+pp3+++=his
saddle ^nn++++=saddle.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
ever ^rb++++=ever
hear ^vb+vprv+++=hear,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="how
how ^wrb+who+++=EXTRAWORD
Cock ^nn++++=Cock-eye
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
Blacklock ^np+++??+=Blacklock
come ^vb++++=come
to ^in++++=to
his ^pp$+pp3+++=his
reward ^nn++++=reward?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
told ^vbd+vpub++xvbnx+=told
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bunt ^np+++??+=Bunt,
, ^zz++++=EXTRAWORD
" ^zz++++="he
he ^pp3a+pp3+++=EXTRAWORD
come ^vb++++=come
to ^in++++=to
it ^pp3+it+++=it
powerful ^jj++++=powerful
sudden ^jj++++=sudden.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
no ^at++++=no
notice ^nn++++=notice
served ^vbd+++xvbn+=served
on ^rp++++=on
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
no ^at++++=no
time ^nn++++=time
allowed ^vwbn+++xvbn+=allowed
for ^in+ppvb+++=for
prayer ^nn++++=prayer,
, ^zz++++=EXTRAWORD
repentance ^nn+nom+++=repentance,
, ^zz++++=EXTRAWORD
change ^nn++++=change
of ^in++++=of
venue ^nn++++=venue,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
clean ^jj+atrb+++=clean
underclothes ^nns+++??+=underclothes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
jedgment ^nn+nom+++=jedgment
overtook ^vbd+++xvbn+=overtook
him ^pp3o+pp3+++=him
runnin ^nn+++??+=runnin',
', ^nn+++??+=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
customary ^jj+atrb+++=customary
gait ^nn++++=gait
whenever ^nn+nom+++=whenever
honesty ^nn++++=honesty
got ^vbd+++xvbn+=got
within ^in++++=within
speakin ^nn+++??+=speakin'
' ^zz++++=EXTRAWORD
distance ^nn+nom+++=distance."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shifted ^vbd+++xvbnx+=shifted
his ^pp$+pp3+++=his
reins ^nns++++=reins
into ^in++++=into
one ^cd1++++=one
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="Blacklock
blacklock ^nn+++??+=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
bad ^jj+atrb+++=bad
man ^nn++++=man,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
worse ^jjr+atrb+++=worse'n
'n ^nn+++??+=EXTRAWORD
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
an ^at++++=an
irritatin ^nn+++??+=irritatin'
' ^zz++++=EXTRAWORD
man ^nn++++=man.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
bad ^jj+atrb+++=bad
men ^nns++++=men
you ^pp2+pp2+++=you
can ^md+pos+++=can
get ^vb++++=get
along ^in++++=along
with ^in"++++=with
comfortable ^jj++++=comfortable,
, ^zz++++=EXTRAWORD
providin ^nn+++??+=providin'
' ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
dispute ^nn++++=dispute
' ^zz++++='em,
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
lend ^vb++++=lend
them ^pp3o+pp3+++0='em
money ^nn++++=money,
, ^zz++++=EXTRAWORD
look ^vb++++=look
at ^rb++++=at
their ^pp$+pp3+++=their
cards ^nns++++=cards,
, ^zz++++=EXTRAWORD
admire ^vb++++=admire
their ^pp$+pp3+++=their
wives ^nns++++=wives,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
set ^vpsv++agls+xvbn+=set
with ^in++++=with
your ^pp$+pp2+++=your
back ^jjb++++=back
toward ^in++++=toward
' ^zz++++='em.
em ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Cock ^nn++++=Cock-eye
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
would ^md+prd+++=would
create ^vb++++=create
a ^at++++=a
difficulty ^nn++++=difficulty
in ^in++++=in
an ^at++++=an
empty ^jj+atrb+++=empty
room ^nn++++=room.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++0=He'd
'd ^md+prd+aux++=EXTRAWORD
cheat ^vb++++=cheat
at ^rb++++=at
solitaire ^&fw++++=solitaire
and ^cc++++=and
then ^rn+tm+++=then
shoot ^vb++++=shoot
the ^ati++++=the
lamp ^nn++++=lamp
for ^in++++=for
knowin ^nn+++??+=knowin'
' ^zz++++=EXTRAWORD
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stole ^vbd+++xvbnx+=stole
horses ^nns++++=horses
from ^in++++=from
men ^nns++++=men
that ^tht+rel+subj++=that
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
got ^vprf+++xvbn+=got
but ^cc++++=but
one ^pn++++=one,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
a ^at++++=a
fellow ^nn++++=fellow
owned ^vbd+++xvbn+=owned
two ^cd++++=two
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
take ^vb++++=take
both ^abx++++=both,
, ^zz++++=EXTRAWORD
account ^nn++++=account
of ^in++++=of
not ^xnot++not++=not
wishin ^nn+++??+=wishin'
' ^zz++++=EXTRAWORD
to ^to++++=to
separate ^nn+nom+++=separate
a ^at++++=a
family ^nn++++=family.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
Cock ^nn++++=Cock-eye
- ^zz++++=EXTRAWORD
eye ^nn++++=EXTRAWORD
because ^cs+cos+++=because
one ^cd1++++=one
eye ^nn++++=eye
looked ^vbd+++xvbn+=looked
at ^rb++++=at
you ^pp2+pp2+++=you
and ^cc++++=and
t ^zz++++=t'other
'other ^jjr++++0=EXTRAWORD
kept ^vbd+++xvbn+=kept
case ^nn++++=case
on ^in++++=on
the ^ati++++=the
exits ^nns+++??+=exits.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
give ^nn++++=give
him ^pp3o+pp3+++=him
a ^at++++=a
broad ^jj+atrb+++=broad
field ^nn++++=field
of ^in++++=of
observation ^nn+nom+++=observation.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=could
watch ^vb++++=watch
the ^ati++++=the
marshal ^nn++++=marshal,
, ^zz++++=EXTRAWORD
study ^nn++++=study
a ^at++++=a
poker ^nn++++=poker
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
locate ^vb++++=locate
a ^at++++=a
back ^jjb+atrb+++=back
door ^nn++++=door
simultaneous ^jj++++=simultaneous.
. ^zz++++=EXTRAWORD
Nature ^nn++++=Nature
had ^vbd+hvd+aux++=had
built ^vprf+++xvbnx+=built
him ^pp3o+pp3+++=him
special ^jj++++=special
for ^in++++=for
crime ^nn++++=crime."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
story ^nn++++=story,
, ^zz++++=EXTRAWORD
as ^ql++++=as
Bunt ^np+++??+=Bunt
told ^vbd+vpub++xvbn+=told
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
belonged ^j+++xvbn+=belonged
to ^in++++=to
his ^pp$+pp3+++=his
California ^np++++=California
years ^nns++++=years,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
worked ^vprf+++xvbnx+=worked
in ^in++++=in
a ^at++++=a
mountain ^nn++++=mountain
camp ^nn++++=camp
called ^vbd+++xvbn+=called
Prosperity ^nn+nom+++=Prosperity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
town ^nn++++=town
had ^vbd+hvd+aux++=had
begun ^vprf+++xvbnx+=begun
with ^in++++=with
a ^at++++=a
gold ^nn++++=gold
discovery ^nn+nom+++=discovery
and ^cc++++=and
survived ^vbd+++xvbn+=survived
its ^pp$+it+++=its
disappointment ^nn+nom+++=disappointment
by ^in++++=by
mining ^nn++++=mining
quartz ^nn++++=quartz,
, ^zz++++=EXTRAWORD
selling ^nvbg+++xvbg+=selling
whiskey ^nn+++??+=whiskey,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
arguing ^vbg+vpub++xvbg+=arguing
about ^in++++=about
its ^pp$+it+++=its
future ^jjb++++=future.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
