Even ^rb++++=Even
existence ^nn+nom+++=existence
of ^in++++=of
these ^dt+dem+++=these
persons ^nns++++=persons
and ^cc++++=and
probing ^vbg+++xvbg+=probing
still ^jj+pred+++=still
further ^jjb++++=further
into ^in++++=into
the ^ati++++=the
mystery ^nn+nom+++=mystery,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
any ^dti++++=any
one ^cd1++++=one
imagine ^vb+vprv+++=imagine
that ^tht+vcmp+++=that
the ^ati++++=the
excellent ^jj+atrb+++=excellent
Smith ^np++++=Smith
to ^to++++=to
whom ^whp+wpor+++=whom
thousands ^cds++++=thousands
of ^in++++=of
former ^ap++++=former
sufferers ^nns+nom+++=sufferers
send ^vb++++=send
entirely ^rb+amp+++=entirely
unsolicited ^jj+atrb++xvbn+=unsolicited
testimonials ^nns+nom+++=testimonials,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
admirable ^jj+atrb+++=admirable
Jones ^np++++=Jones
whom ^whp+rel+obj++=whom
prima ^&fw++++=prima
donnas ^nns+++??+=donnas
love ^nn++++=love
because ^cs+cos+++=because
his ^pp$+pp3+++=his
soap ^nn++++=soap
preserves ^vbz++++=preserves
their ^pp$+pp3+++=their
dainty ^jj+atrb+++=dainty
complexions ^nns++++=complexions--can
-- ^--+clp+++=EXTRAWORD
can ^md+pos+++=EXTRAWORD
any ^dti++++=any
one ^cd1++++=one
credit ^nn++++=credit
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
Smith ^np++++=Smith
and ^cc++++=and
Jones ^np++++=Jones
have ^vb+hv+vrb++=have
passions ^nns++++=passions
like ^in++++=like
other ^ap++++=other
men ^nns++++=men,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
hatreds ^nns+++??+=hatreds,
, ^zz++++=EXTRAWORD
likes ^nns++++=likes
and ^cc++++=and
dislikes ^vbz++++=dislikes?
? ^zz++++=EXTRAWORD
Such ^abl++++=Such
a ^at++++=a
condition ^nn+nom+++=condition
of ^in++++=of
things ^nns++++=things,
, ^zz++++=EXTRAWORD
incredible ^jj++++=incredible
as ^ql++++=as
it ^pp3+it+++=it
may ^md+pos+++=may
appear ^vb+seem+++=appear,
, ^zz++++=EXTRAWORD
exists ^vbz++++=exists
in ^in++++=in
London ^np++++=London.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
men ^nns++++=men
in ^in++++=in
the ^ati++++=the
metropolis ^nn++++=metropolis,
, ^zz++++=EXTRAWORD
utterly ^rb+amp+++=utterly
unknown ^jj++++=unknown
personally ^rb+cnj+++=personally,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
names ^nns++++=names
are ^vb+ber+aux++=are
more ^rbr++splt++=more
widely ^rb++++=widely
spread ^xvbn+++xvbn+=spread
over ^in++++=over
the ^ati++++=the
earth ^nn++++=earth
than ^in++++=than
the ^ati++++=the
names ^nns++++=names
of ^in++++=of
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
novelists ^nns+nom+++=novelists,
, ^zz++++=EXTRAWORD
living ^jj+++xvbg+=living
or ^cc+phrs+++=or
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
these ^dt+dem+++=these
men ^nns++++=men
have ^vb+hv+vrb++=have
feeling ^nvbg+++xvbg+=feeling
and ^cc++++=and
form ^nn++++=form
like ^in++++=like
unto ^in++++=unto
ourselves ^ppls+pp1+++=ourselves.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
the ^ati++++=the
firm ^nn++++=firm
of ^in++++=of
Danby ^np+++??+=Danby
and ^cc++++=and
Strong ^jj++++=Strong
for ^in++++=for
instance ^nn+nom+++=instance.
. ^zz++++=EXTRAWORD
The ^ati++++=The
name ^nn++++=name
may ^md+pos+++=may
mean ^jj++++=mean
nothing ^pn++++=nothing
to ^in++++=to
any ^dti++++=any
reader ^nn++++=reader
of ^in++++=of
these ^dt+dem+++=these
pages ^nns++++=pages,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
time ^nn++++=time
when ^wrb+who+++=when
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
well ^rb++++=well-known
- ^zz++++=EXTRAWORD
known ^vbn+vprv++xvbn+=EXTRAWORD
and ^cc++++=and
widely ^rb++++=widely
advertised ^jj+++xvbn+=advertised,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
only ^rb+down+++=only
in ^in++++=in
England ^np++++=England
but ^cc++++=but
over ^in++++=over
the ^ati++++=the
greater ^jjr+atrb+++=greater
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
as ^rb++++=as
well ^rb++++=well.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+vrb++=did
a ^at++++=a
great ^jj+atrb+++=great
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
as ^in++++=as
every ^at++++=every
firm ^jj++++=firm
that ^dt+pdem+++=that
spends ^vbz++++=spends
a ^at++++=a
fortune ^nn++++=fortune
every ^at++++=every
year ^nn++++=year
in ^in++++=in
advertising ^xvbg+++xvbg+=advertising
is ^vbz+bez+aux++=is
bound ^jj++agls+xvbnx+=bound
to ^to+jcmp+++=to
do ^vbi++++=do.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
old ^jj+atrb+++=old
paper ^nn++++=paper-collar
- ^zz++++=EXTRAWORD
collar ^nn++++=EXTRAWORD
days ^nns++++=days.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
actually ^rb+amp+++=actually
was ^vbd+bedz+vrb++=was
a ^at++++=a
time ^nn++++=time
when ^wrb+who+++=when
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
men ^nns++++=men
wore ^vbd+++xvbn+=wore
paper ^nn++++=paper
collars ^nns++++=collars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
come ^vb++++=come
to ^to++++=to
think ^vbi+vprv+++=think
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
the ^ati++++=the
wonder ^nn++++=wonder
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
the ^ati++++=the
paper ^nn++++=paper-collar
- ^zz++++=EXTRAWORD
collar ^nn++++=EXTRAWORD
trade ^nn++++=trade
ever ^rb++++=ever
fell ^vbd+++xvbn+=fell
away ^rp+pl+++=away
as ^ql++++=as
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
consider ^nn+nom+++=consider
with ^in++++=with
what ^wdt+who+++=what
vile ^jj+atrb+++=vile
laundries ^nns++++=laundries
London ^np++++=London
is ^vbz+bez+aux++=is
and ^cc++++=and
always ^rb++++=always
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
cursed ^vpsv++agls+xvbnx+=cursed.
. ^zz++++=EXTRAWORD
Take ^vb++++=Take
the ^ati++++=the
Danby ^np+++??+=Danby
and ^cc++++=and
Strong ^jj+atrb+++=Strong
collars ^nns++++=collars
for ^in++++=for
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
advertised ^j+++xvbn+=advertised
as ^ql++++=as
being ^jj+++xvbg+=being
so ^ql+emph+++=so
similar ^jj++++=similar
to ^in++++=to
linen ^nn++++=linen
that ^tht+rel+++=that
only ^rb+down+++=only
an ^at++++=an
expert ^nn++++=expert
could ^md+pos+++=could
tell ^vb++++=tell
the ^ati++++=the
difference ^nn+nom+++=difference.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
Strong ^np++++=Strong's
's ^$++++=EXTRAWORD
invention ^nn+nom+++=invention.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
he ^pp3a+pp3+++=he
invented ^vbd+++xvbnx+=invented
the ^ati++++=the
Piccadilly ^np++++=Piccadilly
collar ^nn++++=collar
so ^ql++++=so-called,
- ^zz++++=EXTRAWORD
called ^xvbn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
paper ^nn++++=paper
collars ^nns++++=collars
had ^vb+hv+vrb++=had
a ^at++++=a
brilliant ^jj+atrb+++=brilliant
glaze ^nn++++=glaze
that ^tht+rel+subj++=that
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
deceived ^vprf+++xvbnx+=deceived
the ^ati++++=the
most ^ql+emph+++=most
recent ^jj+atrb+++=recent
arrival ^nn++++=arrival
from ^in++++=from
the ^ati++++=the
most ^ql+emph+++=most
remote ^jj+atrb+++=remote
shire ^nn+++??+=shire
in ^in++++=in
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
Strong ^jj++++=Strong
devised ^jj+++xvbn+=devised
some ^dti++++=some
method ^nn++++=method
by ^in++++=by
which ^whp+rel+pied++=which
a ^at++++=a
slight ^jj+atrb+++=slight
linen ^nn++++=linen
film ^nn++++=film
was ^vbd+bedz+aux++=was
put ^vpsv++agls+xvbnx+=put
on ^rb+phrv+++=on
the ^ati++++=the
paper ^nn++++=paper,
, ^zz++++=EXTRAWORD
adding ^vbg+vpub++xvbg+=adding
strength ^nn++++=strength
to ^in++++=to
the ^ati++++=the
collar ^nn++++=collar
and ^cc++++=and
giving ^vbg+++xvbg+=giving
it ^pp3+it+++=it
the ^ati++++=the
appearance ^nn+nom+++=appearance
of ^in++++=of
the ^ati++++=the
genuine ^jj+atrb+++=genuine
article ^nn++++=article.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
bought ^vbd+++xvbn+=bought
a ^at++++=a
pasteboard ^nn+++??+=pasteboard
box ^nn++++=box
containing ^vwbg+++xvbg+=containing
a ^at++++=a
dozen ^cd++++=dozen
of ^in++++=of
these ^dt+dem+++=these
collars ^nns++++=collars
for ^in++++=for
something ^pn++++=something
like ^in++++=like
the ^ati++++=the
price ^nn++++=price
you ^pp2+pp2+++=you
paid ^vbd+++xvbn+=paid
for ^in++++=for
the ^ati++++=the
washing ^jj+++xvbg+=washing
of ^in++++=of
half ^nn++++=half
a ^at++++=a
dozen ^cd++++=dozen
linen ^nn++++=linen
ones ^pn++++=ones.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Danby ^np+++??+=Danby
and ^cc++++=and
Strong ^jj+atrb+++=Strong
Piccadilly ^np++++=Piccadilly
collar ^nn++++=collar
jumped ^vbd+++xvbn+=jumped
at ^in+ppvb+++=at
once ^rb"+tm+++=once
into ^in++++=into
great ^jj+atrb+++=great
popularity ^nn+nom+++=popularity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wonder ^nn++++=wonder
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
the ^ati++++=the
linen ^nn++++=linen
collar ^nn++++=collar
ever ^rb++++=ever
recovered ^vbd+++xvbn+=recovered
from ^in++++=from
the ^ati++++=the
blow ^nn++++=blow
dealt ^vbd+++xvbn+=dealt
it ^pp3+it+++=it
by ^in++++=by
this ^dt+dem+++=this
ingenious ^jj+atrb+++=ingenious
invention ^nn+nom+++=invention.
. ^zz++++=EXTRAWORD
Curiously ^rb++++=Curiously
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
during ^in++++=during
the ^ati++++=the
time ^nn++++=time
the ^ati++++=the
firm ^nn++++=firm
was ^vbd+bedz+aux++=was
struggling ^nvbg+++xvbg+=struggling
to ^to+vcmp+++=to
establish ^vbi+vprv+++=establish
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
the ^ati++++=the
two ^cd++++=two
members ^nns+nom+++=members
of ^in++++=of
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
prosperity ^nn+nom+++=prosperity
came ^vbd+++xvbn+=came
to ^in++++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
causes ^nns++++=causes
of ^in++++=of
difference ^nn+nom+++=difference
arose ^vbd+++xvbn+=arose,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
relations ^nns+nom+++=relations,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
papers ^nns++++=papers
say ^vb+vpub+++=say
of ^in++++=of
warlike ^jj+atrb+++=warlike
nations ^nns+nom+++=nations,
, ^zz++++=EXTRAWORD
became ^j+++xvbn+=became
strained ^jj+++xvbn+=strained.
. ^zz++++=EXTRAWORD
Whether ^cs+who+++=Whether
the ^ati++++=the
fault ^nn++++=fault
lay ^vbd+++xvbn+=lay
with ^in++++=with
John ^np++++=John
Danby ^np+++??+=Danby
or ^cc++++=or
with ^in++++=with
William ^np++++=William
Strong ^jj++++=Strong
no ^at++++=no
one ^cd1++++=one
has ^vbz+hvz+aux++=has
ever ^rb++splt++=ever
been ^vprf+ben+vrb+xvbnx+=been
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
find ^vb+vprv+++=find
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+vrb++=had
mutual ^jj+atrb+++=mutual
friends ^nns++++=friends
who ^whp+rel+subj++=who
claimed ^vprf+++xvbn+=claimed
that ^tht+vcmp+++=that
each ^ppls++++=each
one ^pn++++=one
of ^in++++=of
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
a ^at++++=a
good ^jj++++=good
fellow ^jjb++++=fellow,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
those ^dt+dem+++=those
friends ^nns++++=friends
always ^rb++++=always
added ^vprf+++xvbn+=added
that ^tht+vcmp+++=that
Strong ^jj++++=Strong
and ^cc++++=and
Danby ^np+++??+=Danby
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
" ^zz++++="hit
hit ^vbd+++xvbn+=EXTRAWORD
it ^pp3+it+++=it
off ^rp+pl+++=off."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Strong ^jj++++=Strong
was ^vbd+bedz+vrb++=was
a ^at++++=a
bitter ^jj+atrb+++=bitter
man ^nn++++=man
when ^wrb+who+++=when
aroused ^vbd+++xvbn+=aroused,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
generally ^rb+down+++=generally
be ^vb+be+aux++=be
counted ^vpsv++agls+xvbnx+=counted
upon ^in++++=upon
to ^to++++=to
use ^vbi++++=use
harsh ^jj+atrb+++=harsh
language ^nn+nom+++=language.
. ^zz++++=EXTRAWORD
Danby ^np+++??+=Danby
was ^vbd+bedz+vrb++=was
quieter ^jjr+pred+++=quieter,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
sullen ^jj+atrb+++=sullen
streak ^nn++++=streak
of ^in++++=of
stubbornness ^nns+nom+++=stubbornness
in ^in++++=in
him ^pp3o+pp3+++=him
that ^dt+pdem+++=that
did ^vbd+dod+aux++=did
not ^xnot++not++=not
tend ^vb++++=tend
to ^to+vcmp+++=to
the ^ati++++=the
making ^jj+++xvbg+=making
up ^rp++++=up
of ^in++++=of
a ^at++++=a
quarrel ^nn++++=quarrel.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
past ^jjb++++=past
the ^ati++++=the
speaking ^jj+atrb++xvbg+=speaking
point ^nn++++=point
for ^in++++=for
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
year ^nn++++=year,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
a ^at++++=a
crisis ^nn++++=crisis
in ^in++++=in
their ^pp$+pp3+++=their
relations ^nns+nom+++=relations
with ^in++++=with
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
ended ^vbd+++xvbn+=ended
in ^in++++=in
disaster ^nn+nom+++=disaster
to ^in++++=to
the ^ati++++=the
business ^nns+nom+++=business
carried ^vbd+++xvbn+=carried
on ^in++++=on
under ^in++++=under
the ^ati++++=the
title ^nn++++=title
of ^in++++=of
Danby ^np+++??+=Danby
and ^cc++++=and
Strong ^jj++++=Strong.
. ^zz++++=EXTRAWORD
Neither ^dt++neg++=Neither
man ^nn++++=man
would ^md+prd+++=would
budge ^vb++++=budge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
between ^in++++=between
them ^pp3o+pp3+++=them
the ^ati++++=the
business ^nns+nom+++=business
sunk ^vbd+++xvbn+=sunk
to ^to++++=to
ruin ^vbi++++=ruin.
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where
competition ^nn+nom+++=competition
is ^vbz+bez+vrb++=is
fierce ^jj+pred+++=fierce
no ^at++++=no
firm ^nn++++=firm
can ^md+pos+++=can
stand ^vb++++=stand
against ^in++++=against
it ^pp3+it+++=it
if ^cs+cnd+++=if
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
internal ^jj+atrb+++=internal
dissension ^nn+++??+=dissension.
. ^zz++++=EXTRAWORD
Danby ^np+++??+=Danby
held ^vbd+vprv++xvbn+=held
his ^pp$+pp3+++=his
ground ^nn++++=ground
quietly ^rb++++=quietly
but ^cc+phrs+++=but
firmly ^rb+cnj+++=firmly,
, ^zz++++=EXTRAWORD
Strong ^jj++++=Strong
raged ^jj+++xvbn+=raged
and ^cc+phrs+++=and
cursed ^jj+++xvbn+=cursed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
was ^vbd+bedz+vrb++=was
equally ^rb++++=equally
steadfast ^nn+++??+=steadfast
in ^in++++=in
not ^xnot++not++=not
yielding ^vbg+++xvbg+=yielding
a ^at++++=a
point ^nn++++=point.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
hated ^jj+++xvbn+=hated
the ^ati++++=the
other ^ap++++=other
so ^rb++++=so
bitterly ^rb++++=bitterly
that ^cs+sub+++=that
each ^ppls++++=each
was ^vbd+bedz+vrb++=was
willing ^jj+pred+++=willing
to ^to+jcmp+++=to
lose ^vbi++++=lose
his ^pp$+pp3+++=his
own ^ap++++=own
share ^nn++++=share
in ^in++++=in
a ^at++++=a
profitable ^jj+atrb+++=profitable
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
by ^in++++=by
doing ^xvbg+++xvbg+=doing
so ^ql++++=so
he ^pp3a+pp3+++=he
could ^md+pos+++=could
bring ^vb++++=bring
ruin ^nn++++=ruin
on ^in++++=on
his ^pp$+pp3+++=his
partner ^nn++++=partner.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
are ^vb+ber+vrb++=are
all ^abn++++=all
rather ^rb++++=rather
prone ^jj++++=prone
to ^to+jcmp+++=to
be ^vbi+vbi+aux++=be
misled ^vpsv++by+xvbnx+=misled
by ^in++++=by
appearances ^nns+nom+++=appearances.
. ^zz++++=EXTRAWORD
As ^ql++++=As
one ^cd1++++=one
walks ^nns++++=walks
down ^rp++++=down
Piccadilly ^np++++=Piccadilly,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
Strand ^nn++++=Strand,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Fleet ^nn++++=Fleet
Street ^nn++++=Street
and ^cc++++=and
meets ^vbz++++=meets
numerous ^jj+atrb+++=numerous
irreproachably ^jj+atrb+++=irreproachably
dressed ^jj+atrb++xvbn+=dressed
men ^nns++++=men
with ^in++++=with
glossy ^jj+atrb+++=glossy
tall ^jj+atrb+++=tall
hats ^nns++++=hats
and ^cc++++=and
polished ^jj+atrb+++=polished
boots ^nns++++=boots,
, ^zz++++=EXTRAWORD
with ^in++++=with
affable ^jj+atrb+++=affable
manners ^nns+nom+++=manners
and ^cc++++=and
a ^at++++=a
courteous ^jj+atrb+++=courteous
way ^nn++++=way
of ^in++++=of
deporting ^xvbg+++xvbg+=deporting
themselves ^ppls+pp3+++=themselves
toward ^in++++=toward
their ^pp$+pp3+++=their
fellows ^nns++++=fellows,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
apt ^jj+pred+++=apt
to ^to+jcmp+++=to
fall ^vbi++++=fall
into ^in+ppvb+++=into
the ^ati++++=the
fallacy ^nn+nom+++=fallacy
of ^in++++=of
believing ^vb+vprv++xvbg+=believing
that ^tht+vcmp+++=that
these ^dt+dem+++=these
gentlemen ^nns++++=gentlemen
are ^vb+ber+vrb++=are
civilised ^jj+pred+++=civilised.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
fail ^vb++++=fail
to ^to+vcmp+++=to
realise ^vbi+vprv+++=realise
that ^tht+vcmp+++=that
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
probe ^vb++++=probe
in ^in++++=in
the ^ati++++=the
right ^jj+atrb+++=right
direction ^nn+nom+++=direction
you ^pp2+pp2+++=you
will ^md+prd+++=will
come ^vb++++=come
upon ^in+ppvb+++=upon
possibilities ^nns+nom+++=possibilities
of ^in++++=of
savagery ^nn+nom+++=savagery
that ^tht+rel+subj++=that
would ^md+prd+++=would
draw ^vb++++=draw
forth ^np++++=forth
the ^ati++++=the
warmest ^jjt+atrb+++=warmest
commendation ^nn+nom+++=commendation
from ^in++++=from
a ^at++++=a
Pawnee ^np+++??+=Pawnee
Indian ^nn++++=Indian.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
reputable ^jj+atrb+++=reputable
business ^nns+nom+++=business
men ^nns++++=men
in ^in++++=in
London ^np++++=London
who ^whp+rel+subj++=who
would ^md+prd+++=would,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
dared ^vbd+++xvbnx+=dared,
, ^zz++++=EXTRAWORD
tie ^nn++++=tie
an ^at++++=an
enemy ^nn++++=enemy
to ^in++++=to
a ^at++++=a
stake ^nn++++=stake
and ^cc++++=and
roast ^nn++++=roast
him ^pp3o+pp3+++=him
over ^in++++=over
a ^at++++=a
slow ^jj+atrb+++=slow
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
these ^dt+dem+++=these
men ^nns++++=men
have ^vb+hv+aux++=have
succeeded ^vprf+++xvbnx+=succeeded
so ^ql++++=so
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
only ^rb+down+++=only
in ^in++++=in
