Vienna ^np++++=VIENNA,
thing ^nn++++=thing
finished ^vbd+++xvbn+=finished
and ^cc+phrs+++=and
settled ^vbd+++xvbn+=settled.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
precedent ^nn++++=precedent;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
a ^at++++=a
welcome ^nn++++=welcome
one ^pn++++=one
to ^in++++=to
our ^pp$+pp1+++=our
country ^nn++++=country.
. ^zz++++=EXTRAWORD
A ^at++++=A
precedent ^nn++++=precedent
always ^rb++++=always
has ^vbz+hvz+vrb++=has
a ^at++++=a
chance ^nn++++=chance
to ^to+ncmp+++=to
be ^vbi++vrb++=be
valuable ^jj+pred+++=valuable
( ^zz++++=(as
as ^cc++++=EXTRAWORD
well ^rb++++=well
as ^cc"++++=as
the ^ati++++=the
other ^ap++++=other
way ^nn++++=way);
) ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
best ^jjt+atrb+++=best
chance ^nn++++=chance
to ^to+ncmp+++=to
be ^vbi++vrb++=be
valuable ^jj+pred+++=valuable
( ^zz++++=(or
or ^cc++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
way ^nn++++=way)
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
when ^wrb+who+++=when
it ^pp3+it+++=it
takes ^vbz++++=takes
such ^abl++++=such
a ^at++++=a
striking ^jj+atrb++xvbg+=striking
form ^nn++++=form
as ^in++++=as
to ^in"++++=to
fix ^vb++++=fix
a ^at++++=a
whole ^jj+atrb+++=whole
nation ^nn++++=nation's
's ^$++++=EXTRAWORD
attention ^nn+nom+++=attention
upon ^in++++=upon
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
come ^vb++++=come
justified ^vbd+++xvbn+=justified
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
discussion ^nn++++=discussion
which ^whp+rel+subj++=which
will ^md+prd+++=will
follow ^vb+vprv+++=follow,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
will ^md+prd+++=will
find ^vb+vprv+++=find
a ^at++++=a
career ^nn++++=career
ready ^jj++++=ready
and ^cc+phrs+++=and
waiting ^jj+++xvbg+=waiting
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
realise ^vb+vprv+++=realise
that ^tht+vcmp+++=that
the ^ati++++=the
edifice ^nn++++=edifice
of ^in++++=of
public ^jj+atrb+++=public
justice ^nn++++=justice
is ^vbz+bez+aux++=is
built ^vpsv++agls+xvbnx+=built
of ^in++++=of
precedents ^nns++++=precedents,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
ground ^nn++++=ground
upward ^jjb++++=upward;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
do ^vb+do+aux++=do
not ^xnot++not++=not
always ^rb++++=always
realise ^vb+vprv+++=realise
that ^tht+vcmp+++=that
all ^abn++++=all
the ^ati++++=the
other ^ap++++=other
details ^nns++++=details
of ^in++++=of
our ^pp$+pp1+++=our
civilisation ^nn+nom+++=civilisation
are ^vb+ber+aux++=are
likewise ^rb+cnj+splt++=likewise
built ^vpsv++agls+xvbnx+=built
of ^in++++=of
precedents ^nns++++=precedents.
. ^zz++++=EXTRAWORD
The ^ati++++=The
changes ^nns++++=changes
also ^rb++++=also
which ^whp+who+++=which
they ^pp3a+pp3+++=they
undergo ^vb++++=undergo
are ^vb+ber+vrb++=are
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
intrusion ^nn++++=intrusion
of ^in++++=of
new ^jj+atrb+++=new
precedents ^nns++++=precedents,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
hold ^vb+vprv+++=hold
their ^pp$+pp3+++=their
ground ^nn++++=ground
against ^in++++=against
opposition ^nn+nom+++=opposition,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
keep ^vb++++=keep
their ^pp$+pp3+++=their
place ^nn++++=place.
. ^zz++++=EXTRAWORD
A ^at++++=A
precedent ^nn++++=precedent
may ^md+pos+++=may
die ^vb++++=die
at ^in++++=at
birth ^nn++++=birth,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
it ^pp3+it+++=it
may ^md+pos+++=may
live ^vb++++=live--it
-- ^--+clp+++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
mainly ^rb++++=mainly
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
luck ^nn++++=luck.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
be ^vb+be+aux++=be
imitated ^vpsv++agls+xvbnx+=imitated
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+vrb++=has
a ^at++++=a
chance ^nn++++=chance;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
twice ^rb++++=twice
a ^at++++=a
better ^jjr+atrb+++=better
chance ^nn++++=chance;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
three ^cd++++=three
times ^nns++++=times
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
reaching ^vbg+++xvbgx+=reaching
a ^at++++=a
point ^nn++++=point
where ^wrb+who+++=where
account ^nn++++=account
must ^md+nec+++=must
be ^vb+be+aux++=be
taken ^vpsv++agls+xvbnx+=taken
of ^in++++=of
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
four ^cd++++=four,
, ^zz++++=EXTRAWORD
five ^cd++++=five,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
six ^cd++++=six
times ^nns++++=times,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
probably ^rb++splt++=probably
come ^vb++++=come
to ^to++++=to
stay ^vbi++++=stay--for
-- ^--+clp+++=EXTRAWORD
for ^in++++=EXTRAWORD
a ^at++++=a
whole ^jj+atrb+++=whole
century ^nn++++=century,
, ^zz++++=EXTRAWORD
possibly ^rb++++=possibly.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
a ^at++++=a
town ^nn++++=town
start ^nn++++=start
a ^at++++=a
new ^jj+atrb+++=new
bow ^nn++++=bow,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
new ^jj+atrb+++=new
dance ^nn++++=dance,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
new ^jj+atrb+++=new
temperance ^nn+nom+++=temperance
project ^nn++++=project,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
new ^jj++++=new
kind ^rb++++=kind
of ^rb"++++=of
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
can ^md+pos+++=can
get ^vb++++=get
the ^ati++++=the
precedent ^nn++++=precedent
adopted ^vbd+++xvbn+=adopted
in ^in++++=in
the ^ati++++=the
next ^ap++++=next
town ^nn++++=town,
, ^zz++++=EXTRAWORD
the ^ati++++=the
career ^nn++++=career
of ^in++++=of
that ^dt+dem+++=that
precedent ^nn++++=precedent
is ^vbz+bez+aux++=is
begun ^vpsv++agls+xvbnx+=begun;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
will ^md+prd+++=will
be ^vb+be+vrb++=be
unsafe ^nn+++??+=unsafe
to ^to++++=to
bet ^vbi+vpub+++=bet
as ^in++++=as
to ^in"++++=to
where ^wrb+who+++=where
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
its ^pp$+it+++=its
journey ^nn++++=journey
is ^vbz+bez+aux++=is
going ^md"++pmd"++=going
to ^md+prd+++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
may ^md+pos+++=may
not ^xnot++not++=not
get ^vb++++=get
this ^dt+dem+++=this
start ^nn++++=start
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
may ^md+pos+++=may
have ^vb+hv+vrb++=have
no ^at++++=no
career ^nn++++=career;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
a ^at++++=a
crown ^nn++++=crown
prince ^nn++++=prince
introduce ^vb++++=introduce
the ^ati++++=the
precedent ^nn++++=precedent,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
will ^md+prd+++=will
attract ^vb++++=attract
vast ^jj+atrb+++=vast
attention ^nn+nom+++=attention,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
chances ^nns+nom+++=chances
for ^in++++=for
a ^at++++=a
career ^nn++++=career
are ^vb+ber+vrb++=are
so ^ql++++=so
great ^np++++=great
as ^in++++=as
to ^in++++=to
amount ^nn++++=amount
almost ^rb+hdg+++=almost
to ^in++++=to
a ^at++++=a
certainty ^nn++++=certainty.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
reaping ^vbg+++xvbgx+=reaping
damage ^nn++++=damage
from ^in++++=from
a ^at++++=a
couple ^nn++++=couple
of ^in++++=of
disastrous ^jj+atrb+++=disastrous
precedents ^nns++++=precedents.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
is ^vbz+bez+vrb++=is
the ^ati++++=the
precedent ^nn++++=precedent
of ^in++++=of
shabby ^jj+atrb+++=shabby
pay ^nn++++=pay
to ^in++++=to
public ^jj+atrb+++=public
servants ^nns+nom+++=servants
standing ^vwbg+++xvbg+=standing
for ^in++++=for
the ^ati++++=the
power ^nn++++=power
and ^cc++++=and
dignity ^nn+nom+++=dignity
of ^in++++=of
the ^ati++++=the
Republic ^nn++++=Republic
in ^in++++=in
foreign ^jj+atrb+++=foreign
lands ^nns++++=lands;
; ^zz++++=EXTRAWORD
the ^ati++++=the
other ^ap++++=other
is ^vbz+bez+vrb++=is
a ^at++++=a
precedent ^nn++++=precedent
condemning ^vwbg+++xvbg+=condemning
them ^pp3o+pp3+++=them
to ^to++++=to
exhibit ^vbi++++=exhibit
themselves ^ppls+pp3+++=themselves
officially ^rb++++=officially
in ^in++++=in
clothes ^nns++++=clothes
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
not ^xnot++not++=not
only ^rb+down+++=only
without ^in++++=without
grace ^nn++++=grace
or ^cc++++=or
dignity ^nn+nom+++=dignity,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
are ^vb+ber+vrb++=are
a ^at++++=a
pretty ^rb++++=pretty
loud ^jj+atrb+++=loud
and ^cc+phrs+++=and
pious ^jj+atrb+++=pious
rebuke ^nn++++=rebuke
to ^in++++=to
the ^ati++++=the
vain ^jj+atrb+++=vain
and ^cc+phrs+++=and
frivolous ^jj+atrb+++=frivolous
costumes ^nns++++=costumes
worn ^vwbn+++xvbn+=worn
by ^in++++=by
the ^ati++++=the
other ^ap++++=other
officials ^nns+nom+++=officials.
. ^zz++++=EXTRAWORD
To ^in++++=To
our ^pp$+pp1+++=our
day ^nn++++=day
an ^at++++=an
American ^jj+atrb+++=American
ambassador ^nn++++=ambassador's
's ^vbz+bez+vrb++0=EXTRAWORD
official ^jj+atrb+++=official
costume ^nn++++=costume
remains ^nns++++=remains
under ^in++++=under
the ^ati++++=the
reproach ^nn++++=reproach
of ^in++++=of
these ^dt+dem+++=these
defects ^nns++++=defects.
. ^zz++++=EXTRAWORD
At ^rb++++=At
a ^at++++=a
public ^jj+atrb+++=public
function ^nn+nom+++=function
in ^in++++=in
a ^at++++=a
European ^jj+atrb+++=European
court ^npl++++=court
all ^abn++++=all
foreign ^jj+atrb+++=foreign
representatives ^nns++++=representatives
except ^in++++=except
ours ^pp$$++++=ours
wear ^vb++++=wear
clothes ^nns++++=clothes
which ^whp+rel+obj++=which
in ^in++++=in
some ^dti++++=some
way ^nn++++=way
distinguish ^vb++++=distinguish
them ^pp3o+pp3+++=them
from ^in++++=from
the ^ati++++=the
unofficial ^jj+atrb+++=unofficial
throng ^nn++++=throng,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
mark ^nn++++=mark
them ^pp3o+pp3+++=them
as ^ql++++=as
standing ^jj+++xvbg+=standing
for ^in++++=for
their ^pp$+pp3+++=their
countries ^nns++++=countries.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
our ^pp$+pp1+++=our
representative ^nn++++=representative
appears ^vbz+seem+++=appears
in ^in++++=in
a ^at++++=a
plain ^nn++++=plain
black ^jj++++=black
swallow ^vb++++=swallow-tail,
- ^zz++++=EXTRAWORD
tail ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
stands ^vbz++++=stands
for ^in+ppvb+++=for
neither ^dt++neg++=neither
country ^nn++++=country,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
people ^nns++++=people.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+vrb++=has
no ^at++++=no
nationality ^nn+nom+++=nationality.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+aux++=is
found ^vpsv++agls+xvbnx+=found
in ^in++++=in
all ^abn++++=all
countries ^nns++++=countries;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
as ^ql++++=as
international ^jj++++=international
as ^in++++=as
a ^at++++=a
night ^nn++++=night-shirt.
- ^zz++++=EXTRAWORD
shirt ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
has ^vbz+hvz+vrb++=has
no ^at++++=no
particular ^jj+atrb+++=particular
meaning ^nvbg+++xvbg+=meaning;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
our ^pp$+pp1+++=our
Government ^nn+nom+++=Government
tries ^vbz++++=tries
to ^to+vcmp+++=to
give ^vbi++++=give
it ^pp3+it+++=it
one ^pn++++=one;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
tries ^vbz++++=tries
to ^to+vcmp+++=to
make ^vbi++++=make
it ^pp3+it+++=it
stand ^vb++++=stand
for ^in+ppvb+++=for
Republican ^jj+atrb+++=Republican
Simplicity ^nn+nom+++=Simplicity,
, ^zz++++=EXTRAWORD
modesty ^nn++++=modesty
and ^cc++++=and
unpretentiousness ^nns+nom+++=unpretentiousness.
. ^zz++++=EXTRAWORD
Tries ^vbz++++=Tries,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
without ^in++++=without
doubt ^nn++++=doubt
fails ^vbz++++=fails,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
conceivable ^jj++++=conceivable
that ^tht+jcmp+++=that
this ^dt+dem+++=this
loud ^jj+atrb+++=loud
ostentation ^nn+nom+++=ostentation
of ^in++++=of
simplicity ^nn+nom+++=simplicity
deceives ^nns++++=deceives
any ^dti++++=any
one ^pn++++=one.
. ^zz++++=EXTRAWORD
The ^ati++++=The
statue ^nn++++=statue
that ^tht+rel+subj++=that
advertises ^vbz++++=advertises
its ^pp$+it+++=its
modesty ^nn++++=modesty
with ^in++++=with
a ^at++++=a
fig ^nn++++=fig-leaf
- ^zz++++=EXTRAWORD
leaf ^nn++++=EXTRAWORD
really ^rb+emph+++=really
brings ^vbz++++=brings
its ^pp$+it+++=its
modesty ^nn++++=modesty
under ^in++++=under
suspicion ^nn++++=suspicion.
. ^zz++++=EXTRAWORD
Worn ^j+++xvbn+=Worn
officially ^rb+cnj+++=officially,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
nonconforming ^xvbg+++xvbg+=nonconforming
swallow ^vb++++=swallow-tail
- ^zz++++=EXTRAWORD
tail ^nn++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
declaration ^nn+nom+++=declaration
of ^in++++=of
ungracious ^jj+atrb+++=ungracious
independence ^nn+nom+++=independence
in ^in++++=in
the ^ati++++=the
matter ^nn++++=matter
of ^in++++=of
manners ^nns+nom+++=manners,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
is ^vbz+bez+vrb++=is
uncourteous ^jj+pred+++=uncourteous.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
says ^vbz+vpub+++=says
to ^to+vcmp+++=to
all ^abn++++=all
around ^in+strn+++=around:
: ^zz++++=EXTRAWORD
' ^zz++++='In
in ^in++++=EXTRAWORD
Rome ^np++++=Rome
we ^pp1a+pp1+++=we
do ^vb+do+aux++=do
not ^xnot++not++=not
choose ^vb++++=choose
to ^to+vcmp+++=to
do ^vbi++++=do
as ^ql++++=as
Rome ^np++++=Rome
does ^vbz+doz+vrb++=does;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
refuse ^vb++++=refuse
to ^to+vcmp+++=to
respect ^vb++++=respect
your ^pp$+pp2+++=your
tastes ^nns++++=tastes
and ^cc++++=and
your ^pp$+pp2+++=your
traditions ^nns+nom+++=traditions;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
make ^vb++++=make
no ^at++++=no
sacrifices ^nns++++=sacrifices
to ^in++++=to
anyone ^pn++++=anyone's
's ^nns+bez+++0=EXTRAWORD
customs ^nns++++=customs
and ^cc++++=and
prejudices ^nns++++=prejudices;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
yield ^vb++++=yield
no ^at++++=no
jot ^nn++++=jot
to ^in++++=to
the ^ati++++=the
courtesies ^nns++++=courtesies
of ^in++++=of
life ^nn++++=life;
; ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
prefer ^vb+vprv+tht0++=prefer
our ^pp$+pp1+++=our
manners ^nns+nom+++=manners,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
intrude ^vb++++=intrude
them ^pp3o+pp3+++=them
here ^rn+pl+++=here.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
the ^ati++++=the
true ^jj+atrb+++=true
American ^jj+atrb+++=American
spirit ^nn++++=spirit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
those ^dt+dem+++=those
clothes ^nns++++=clothes
misrepresent ^jj++++=misrepresent
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
a ^at++++=a
foreigner ^nn+nom+++=foreigner
comes ^vbz++++=comes
among ^in++++=among
us ^pp1o+pp1+++=us
and ^cc++++=and
trespasses ^nns++++=trespasses
against ^in++++=against
our ^pp$+pp1+++=our
customs ^nns++++=customs
and ^cc++++=and
our ^pp$+pp1+++=our
code ^nn++++=code
of ^in++++=of
manners ^nns+nom+++=manners,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
are ^vb+ber+aux++=are
offended ^vpsv++agls+xvbnx+=offended,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
justly ^rb++++=justly
so ^ql++++=so;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
our ^pp$+pp1+++=our
Government ^nn+nom+++=Government
commands ^vbz+vsua+tht0++=commands
our ^pp$+pp1+++=our
ambassadors ^nns++++=ambassadors
to ^to++++=to
wear ^vbi++++=wear
abroad ^rb+pl+++=abroad
an ^at++++=an
official ^jj+atrb+++=official
dress ^nn++++=dress
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
an ^at++++=an
offence ^nn+nom+++=offence
against ^in++++=against
foreign ^jj+atrb+++=foreign
manners ^nns+nom+++=manners
and ^cc++++=and
customers ^nns+nom+++=customers;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
discredit ^nn++++=discredit
of ^in++++=of
it ^pp3+it+++=it
falls ^vbz++++=falls
upon ^in++++=upon
the ^ati++++=the
nation ^nn++++=nation.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
did ^vbd+dod+aux++=did
not ^xnot++not++=not
dress ^vb++++=dress
our ^pp$+pp1+++=our
public ^jj+atrb+++=public
functionaries ^nns++++=functionaries
in ^in++++=in
undistinguished ^jj+atrb+++=undistinguished
raiment ^nn+nom+++=raiment
before ^in++++=before
Franklin ^np++++=Franklin's
's ^$++++=EXTRAWORD
time ^nn++++=time;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
change ^nn++++=change
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
come ^vprf+++xvbn+=come
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
an ^at++++=an
obscurity ^nn+nom+++=obscurity.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
such ^abl++++=such
a ^at++++=a
colossal ^jj+atrb+++=colossal
figure ^nn++++=figure
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
that ^tht+rel+++=that
whatever ^nn+nom+++=whatever
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
of ^in++++=of
an ^at++++=an
unusual ^jj+atrb+++=unusual
nature ^nn++++=nature
attracted ^vbd+++xvbn+=attracted
the ^ati++++=the
world ^nn++++=world's
's ^$++++=EXTRAWORD
attention ^nn+nom+++=attention,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
became ^vbd+++xvbn+=became
a ^at++++=a
precedent ^nn++++=precedent.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
case ^nn++++=case
of ^in++++=of
clothes ^nns++++=clothes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
next ^ap++++=next
representative ^nn++++=representative
after ^in++++=after
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
next ^ap++++=next,
, ^zz++++=EXTRAWORD
had ^md"++pmd"++=had
to ^md+nec+++=to
imitate ^nn+nom+++=imitate
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
After ^in++++=After
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
the ^ati++++=the
thing ^nn++++=thing
was ^vbd+bedz+vrb++=was
custom ^nn++++=custom;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
custom ^nn++++=custom
is ^vbz+bez+vrb++=is
a ^at++++=a
petrifaction ^nn+nom+++=petrifaction:
: ^zz++++=EXTRAWORD
nothing ^pn++++=nothing
but ^cc++++=but
dynamite ^nn++++=dynamite
can ^md+pos+++=can
dislodge ^vb++++=dislodge
it ^pp3+it+++=it
for ^in++++=for
a ^at++++=a
century ^nn++++=century.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
imagine ^vb+vprv+++=imagine
that ^tht+vcmp+++=that
our ^pp$+pp1+++=our
queer ^jj+atrb+++=queer
official ^jj+atrb+++=official
costumery ^nn+nom+++=costumery
was ^vbd+bedz+aux++=was
deliberately ^rb++splt++=deliberately
devised ^vpsv++agls+xvbnx+=devised
to ^to++++=to
symbolise ^vbi++++=symbolise
our ^pp$+pp1+++=our
Republican ^jj+atrb+++=Republican
Simplicity ^nn+nom+++=Simplicity--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
quality ^nn+nom+++=quality
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
have ^vb+hv+aux++=have
never ^rb++splt++=never
possessed ^vprf+++xvbnx+=possessed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
are ^vb+ber+vrb++=are
too ^ql++++=too
old ^jj++++=old
to ^to++++=to
acquire ^vbi++++=acquire
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
any ^dti++++=any
use ^nn++++=use
for ^in++++=for
it ^pp3+it+++=it
or ^cc++++=or
any ^dti++++=any
leaning ^jj+++xvbg+=leaning
toward ^in++++=toward
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
so ^ql++++=so;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
nothing ^pn++++=nothing
deliberate ^jj++++=deliberate
about ^in++++=about
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
grew ^vbd+++xvbn+=grew
naturally ^rb++++=naturally
and ^cc+phrs+++=and
heedlessly ^rb++++=heedlessly
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
precedent ^nn++++=precedent
set ^vwbn+++xvbn+=set
by ^in++++=by
Franklin ^np++++=Franklin.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
an ^at++++=an
intentional ^jj+atrb+++=intentional
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
based ^vpsv++agls+xvbn+=based
upon ^in++++=upon
a ^at++++=a
principle ^nn++++=principle,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
stopped ^vprf+++xvbnx+=stopped
where ^wrb+who+++=where
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did:
