Sir ^npt++++=Sir
On ^in++++=On
the ^ati++++=the
table ^nn++++=table
were ^vbd+bed+vrb++=were
an ^at++++=an
inkpot ^nn+++??+=inkpot
of ^in++++=of
carved ^xvbn+++xvbn+=carved
jade ^nn+++??+=jade,
, ^zz++++=EXTRAWORD
a ^at++++=a
paperknife ^nn+++??+=paperknife
of ^in++++=of
ivory ^nn++++=ivory
with ^in++++=with
gold ^nn++++=gold
butterflies ^nns++++=butterflies
set ^vbd+++xvbn+=set
in ^in+strn+++=in;
; ^zz++++=EXTRAWORD
three ^cd++++=three
bronze ^jj+atrb+++=bronze
storks ^nns++++=storks,
, ^zz++++=EXTRAWORD
with ^in++++=with
their ^pp$+pp3+++=their
backs ^nns++++=backs
together ^nn+nom+++=together,
, ^zz++++=EXTRAWORD
held ^j+++xvbn+=held
an ^at++++=an
exquisite ^nn++++=exquisite
Japanese ^jj+atrb+++=Japanese
crystal ^nn++++=crystal.
. ^zz++++=EXTRAWORD
The ^ati++++=The
room ^nn++++=room
was ^vbd+bedz+vrb++=was
in ^in++++=in
disorder ^nn+nom+++=disorder
the ^ati++++=the
drawers ^nns+nom+++=drawers
pulled ^vbd+++xvbn+=pulled
out ^rp+pl+++=out
and ^cc++++=and
the ^ati++++=the
contents ^nns++++=contents
ransacked ^vbd+++xvbn+=ransacked.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^npt++++=father
stood ^vbd+++xvbn+=stood
leaning ^vbg+++xvbg+=leaning
against ^in++++=against
the ^ati++++=the
casement ^nn+nom+++=casement
of ^in++++=of
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=looking
out ^rp+pl+++=out.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lawyer ^nn++++=lawyer,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lewis ^np++++=Lewis,
, ^zz++++=EXTRAWORD
sat ^j+++xvbn+=sat
in ^in++++=in
a ^at++++=a
chair ^nn++++=chair
beside ^in+pl+++=beside
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
on ^in++++=on
the ^ati++++=the
violated ^jj+atrb++xvbn+=violated
room ^nn++++=room.
. ^zz++++=EXTRAWORD
" ^zz++++="Pendleton,"
pendleton ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
like ^in++++=like
this ^dt+dem+++=this
English ^jj+atrb+++=English
man ^nn++++=man
Gosford ^np+++??+=Gosford."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
words ^nns++++=words
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
arouse ^vbi++++=arouse
my ^pp$+pp1+++=my
father ^nn++++=father
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
depths ^nns++++=depths
of ^in++++=of
some ^dti++++=some
reflection ^nn+nom+++=reflection,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
to ^in++++=to
the ^ati++++=the
lawyer ^nn++++=lawyer,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lewis ^np++++=Lewis.
. ^zz++++=EXTRAWORD
" ^zz++++="Gosford!"
gosford ^np++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
echoed ^vbd+++xvbnx+=echoed.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+vrb++=is
behind ^in+pl+++=behind
this ^dt+dem+++=this
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
Pendleton ^np++++=Pendleton,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
lawyer ^nn++++=lawyer,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lewis ^np++++=Lewis,
, ^zz++++=EXTRAWORD
went ^j+++xvbn+=went
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
" ^zz++++="Mark
mark ^vb++++=EXTRAWORD
my ^pp$+pp1+++=my
word ^nn++++=word!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
comes ^vbz++++=comes
here ^rn+pl+++=here
when ^wrb+who+++=when
Marshall ^np++++=Marshall
is ^vbz+bez+aux++=is
dying ^vbg+++xvbgx+=dying;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
forces ^nns++++=forces
his ^pp$+pp3+++=his
way ^nn++++=way
to ^in++++=to
the ^ati++++=the
man ^nn++++=man's
's ^$++++=EXTRAWORD
bed ^nn++++=bed;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
puts ^vbz++++=puts
the ^ati++++=the
servants ^nns+nom+++=servants
out ^rp+pl+++=out;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
locks ^npl++++=locks
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
business ^nns+nom+++=business
had ^vb+hv+vrb++=had
this ^dt+dem+++=this
Englishman ^nn+nom+++=Englishman
with ^in++++=with
Marshall ^np++++=Marshall
on ^in++++=on
his ^pp$+pp3+++=his
deathbed ^nn++++=deathbed?
? ^zz++++=EXTRAWORD
What ^wdt+who+++=What
business ^nns+nom+++=business
of ^in++++=of
a ^at++++=a
secrecy ^nn++++=secrecy
so ^ql++++=so
close ^vb++++=close
that ^dt+dem+++=that
Marshall ^np++++=Marshall's
's ^$++++=EXTRAWORD
son ^nn++++=son
is ^vbz+bez+aux++=is
barred ^vpsv++agls+xvbnx+=barred
out ^rp+pl+++=out
by ^in++++=by
a ^at++++=a
locked ^jj+atrb++xvbn+=locked
door ^nn++++=door?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
paused ^vbd+++xvbnx+=paused
and ^cc+phrs+++=and
twisted ^vbd+++xvbn+=twisted
the ^ati++++=the
seal ^nn++++=seal
ring ^nn++++=ring
on ^in++++=on
his ^pp$+pp3+++=his
finger ^nn++++=finger.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
you ^pp2+pp2+++=you
and ^cc++++=and
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
to ^to++++=to
visit ^vbi++++=visit
the ^ati++++=the
sick ^jj+atrb+++=sick
man ^nn++++=man,
, ^zz++++=EXTRAWORD
Gosford ^np+++??+=Gosford
was ^vbd+bedz+vrb++=was
always ^rb++++=always
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
a ^at++++=a
watch ^nn++++=watch
upon ^in++++=upon
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
left ^vbd+++xvbn+=left,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
always ^rb++++=always
to ^in++++=to
this ^dt+dem+++=this
room ^nn++++=room
to ^to++++=to
write ^vbi++++=write
his ^pp$+pp3+++=his
letters ^nns+nom+++=letters,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
more ^rbr++++=more
than ^in++++=than
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
Pendleton ^np++++=Pendleton;
; ^zz++++=EXTRAWORD
Marshall ^np++++=Marshall
is ^vbz+bez+vrb++=is
hardly ^rb+down+++=hardly
in ^in++++=in
his ^pp$+pp3+++=his
grave ^jj++++=grave
before ^cs+sub+++=before
Gosford ^np+++??+=Gosford
writes ^vbz+vprv+++=writes
me ^pp1o+pp1+++=me
to ^to++++=to
inquire ^vbi++++=inquire
by ^in++++=by
what ^wdt+who+++=what
legal ^jj+atrb+++=legal
process ^nns+nom+++=process
the ^ati++++=the
dead ^jj+atrb+++=dead
man ^nn++++=man's
's ^$++++=EXTRAWORD
papers ^nns++++=papers
may ^md+pos+++=may
be ^vb+be+aux++=be
examined ^vpsv++agls+xvbnx+=examined
for ^in++++=for
a ^at++++=a
will ^nn++++=will.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
Gosford ^np+++??+=Gosford
who ^whp+rel+subj++=who
sends ^vbz++++=sends
a ^at++++=a
negro ^nn++++=negro
riding ^vwbg+++xvbg+=riding,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
devil ^nn++++=devil
were ^vbd+bed+vrb++=were
on ^in++++=on
the ^ati++++=the
crupper ^jjr++++=crupper,
, ^zz++++=EXTRAWORD
to ^to++++=to
summon ^vbi++++=summon
me ^pp1o+pp1+++=me
in ^in++++=in
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
Commonwealth ^nn++++=Commonwealth
of ^in++++=of
Virginia ^np++++=Virginia,
, ^zz++++=EXTRAWORD
to ^to++++=to
appear ^vbi+seem+++=appear
and ^cc+phrs+++=and
examine ^vb++++=examine
into ^in++++=into
the ^ati++++=the
circumstances ^nns+nom+++=circumstances
of ^in++++=of
this ^dt+dem+++=this
burglary ^nn+nom+++=burglary.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
mistrust ^nn++++=mistrust
the ^ati++++=the
man ^nn++++=man.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
used ^md"++pmd"++=used
to ^to++++=to
hang ^vb++++=hang
about ^in++++=about
Marshall ^np++++=Marshall
in ^in++++=in
his ^pp$+pp3+++=his
life ^nn++++=life,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
some ^dti++++=some
enterprise ^nn++++=enterprise
of ^in++++=of
secrecy ^nn++++=secrecy;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
he ^pp3a+pp3+++=he
takes ^vbz++++=takes
possession ^nn++++=possession
and ^cc++++=and
leadership ^nn+nom+++=leadership
in ^in++++=in
his ^pp$+pp3+++=his
affairs ^nns++++=affairs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sets ^nns++++=sets
the ^ati++++=the
man ^nn++++=man's
's ^$++++=EXTRAWORD
son ^nn++++=son
aside ^rp++++=aside.
. ^zz++++=EXTRAWORD
In ^in++++=In
what ^wdt+who+++=what
right ^nn++++=right,
, ^zz++++=EXTRAWORD
Pendleton ^np++++=Pendleton,
, ^zz++++=EXTRAWORD
does ^vbz+doz+vrb++=does
this ^dt+dem+++=this
adventurous ^jj+atrb+++=adventurous
Englishman ^nn+nom+++=Englishman
feel ^vb+vprv+tht0++=feel
himself ^ppl+pp3+++=himself
secure ^vb++++=secure?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
father ^nn++++=father
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
reply ^nn++++=reply
to ^in++++=to
Lewis ^np++++=Lewis's
's ^$++++=EXTRAWORD
discourse ^nn++++=discourse.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
comment ^nn+nom+++=comment
was ^vbd+bedz+vrb++=was
in ^in++++=in
another ^dt++++=another
quarter ^nn++++=quarter.
. ^zz++++=EXTRAWORD
" ^zz++++="Here
here ^rn+pl+++=EXTRAWORD
is ^vbz+bez+vrb++=is
young ^jj+atrb+++=young
Marshall ^np++++=Marshall
and ^cc++++=and
Gaeki ^np+++??+=Gaeki,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
The ^ati++++=The
lawyer ^nn++++=lawyer
rose ^vbd+++xvbn+=rose
and ^cc+phrs+++=and
came ^vbd+++xvbn+=came
over ^in++++=over
to ^in++++=to
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
persons ^nns++++=persons
were ^vbd+bed+aux++=were
advancing ^vbg+++xvbgx+=advancing
from ^in++++=from
the ^ati++++=the
direction ^nn+nom+++=direction
of ^in++++=of
the ^ati++++=the
stables ^nns++++=stables
a ^at++++=a
tall ^jj+atrb+++=tall,
, ^zz++++=EXTRAWORD
delicate ^jj+atrb+++=delicate
boy ^nn++++=boy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
strange ^jj+atrb+++=strange
old ^jj+atrb+++=old
man ^nn++++=man.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
man ^nn++++=man
walked ^vbd+++xvbn+=walked
with ^in++++=with
a ^at++++=a
quick ^jj++++=quick,
, ^zz++++=EXTRAWORD
jerky ^jj++++=jerky,
, ^zz++++=EXTRAWORD
stride ^nn++++=stride.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
old ^jj+atrb+++=old
country ^nn++++=country
doctor ^nn++++=doctor
Gaeki ^np+++??+=Gaeki.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
unlike ^in++++=unlike
any ^dti++++=any
other ^ap++++=other
man ^nn++++=man
of ^in++++=of
his ^pp$+pp3+++=his
profession ^nn++++=profession,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
work ^vb++++=work
as ^ql++++=as
long ^rb++++=long
and ^cc++++=and
as ^in++++=as
carefully ^rb++++=carefully
on ^in++++=on
the ^ati++++=the
body ^nn++++=body
of ^in++++=of
a ^at++++=a
horse ^nn++++=horse
as ^ql++++=as
he ^pp3a+pp3+++=he
would ^md+prd+++=would
on ^in++++=on
the ^ati++++=the
body ^nn++++=body
of ^in++++=of
a ^at++++=a
man ^nn++++=man,
, ^zz++++=EXTRAWORD
snapping ^vbg+++xvbg+=snapping
out ^rp+pl+++=out
his ^pp$+pp3+++=his
quaint ^jj+atrb+++=quaint
oaths ^nns++++=oaths,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
a ^at++++=a
stress ^nn++++=stress
of ^in++++=of
effort ^nn++++=effort,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
struggled ^vbd+++xvbnx+=struggled
with ^in++++=with
some ^dti++++=some
invisible ^jj+atrb+++=invisible
creature ^nn++++=creature
for ^in++++=for
its ^pp$+it+++=its'
' ^zz++++=EXTRAWORD
prey ^nn++++=prey.
. ^zz++++=EXTRAWORD
The ^ati++++=The
negroes ^nn++++=negroes
used ^md"++pmd"++=used
to ^to++++=to
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
the ^ati++++=the
devil ^nn++++=devil
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid
of ^in++++=of
Gaeki ^np+++??+=Gaeki,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
to ^in++++=to
disable ^jj++++=disable
a ^at++++=a
man ^nn++++=man
or ^cc++++=or
his ^pp$+pp3+++=his
horse ^nn++++=horse
were ^vbd+bed+vrb++=were
the ^ati++++=the
devil ^nn++++=devil's
's ^$++++=EXTRAWORD
will ^md+prd+++=will.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
the ^ati++++=the
negroes ^nn++++=negroes
imagined ^vbd+vprv++xvbn+=imagined
the ^ati++++=the
devil ^nn++++=devil
to ^to++++=to
fear ^vbi++++=fear
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
feared ^vbd+vprv++xvbnx+=feared
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
" ^zz++++="Now,
now ^rn+tm+++=EXTRAWORD
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
could ^md+pos+++=could
bring ^vb++++=bring
Gaeki ^np+++??+=Gaeki
here ^rn+pl+++=here?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Lewes ^np++++=Lewes.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
horse ^nn++++=horse
that ^tht+rel+obj++=that
Gosford ^np+++??+=Gosford
overheated ^vbd+++xvbn+=overheated
in ^in++++=in
his ^pp$+pp3+++=his
race ^nn++++=race
to ^in++++=to
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
my ^pp$+pp1+++=my
father ^nn++++=father.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
saw ^vbd+vprv+tht0+xvbnx+=saw
him ^pp3o+pp3+++=him
stop ^vb++++=stop
in ^in++++=in
the ^ati++++=the
road ^nn++++=road
where ^wrb+who+++=where
the ^ati++++=the
negro ^nn++++=negro
boy ^nn++++=boy
was ^vbd+bedz+aux++=was
leading ^vbg+++xvbgx+=leading
the ^ati++++=the
horse ^nn++++=horse
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
call ^vb++++=call
young ^jj+atrb+++=young
Marshall ^np++++=Marshall."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
no ^at++++=no
fault ^nn++++=fault
of ^in++++=of
young ^jj+atrb+++=young
Marshall ^np++++=Marshall,
, ^zz++++=EXTRAWORD
Pendleton ^np++++=Pendleton,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
lawyer ^nn++++=lawyer.
. ^zz++++=EXTRAWORD
" ^zz++++="But,
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
no ^at++++=no
match ^nn++++=match
for ^in++++=for
Gosford ^np+++??+=Gosford.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+vrb++=is
a ^at++++=a
dilettante ^nn++++=dilettante.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
paints ^vbz++++=paints
little ^ap++++=little
pictures ^nns++++=pictures
after ^cs+sub+++=after
the ^ati++++=the
fashion ^nn++++=fashion
he ^pp3a+pp3+++=he
learned ^vbd+vprv++xvbnx+=learned
in ^in++++=in
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=has
no ^at++++=no
force ^nn++++=force
or ^cc++++=or
vigor ^nn++++=vigor
in ^in++++=in
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
father ^nn++++=father
was ^vbd+bedz+vrb++=was
a ^at++++=a
dreamer ^nn++++=dreamer,
, ^zz++++=EXTRAWORD
a ^at++++=a
wanderer ^jjr++++=wanderer,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
who ^whp+rel+subj++=who
loved ^vbd+++xvbn+=loved
the ^ati++++=the
world ^nn++++=world
and ^cc++++=and
its ^pp$+it+++=its
frivolities ^nns+nom+++=frivolities,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
son ^nn++++=son
takes ^vbz++++=takes
that ^cs+sub+++=that
temperament ^nn+nom+++=temperament,
, ^zz++++=EXTRAWORD
softened ^xvbn+++xvbn+=softened
by ^in++++=by
his ^pp$+pp3+++=his
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
have ^vbi++vrb++=have
a ^at++++=a
guardian ^nn++++=guardian."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+vrb++=has
one ^pn++++=one,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub+tht0+xvbn+=replied
my ^pp$+pp1+++=my
father ^nn++++=father.
. ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
guardian ^nn++++=guardian!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
repeated ^xvbn+++xvbn+=repeated
Lewis ^np++++=Lewis.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
court ^nn++++=court
has ^vbz+hvz+aux++=has
appointed ^vprf+++xvbnx+=appointed
a ^at++++=a
guardian ^nn++++=guardian
for ^in++++=for
young ^jj+atrb+++=young
Marshall ^np++++=Marshall?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
court ^nn++++=court,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub+tht0+xvbn+=replied
my ^pp$+pp1+++=my
father ^nn++++=father,
, ^zz++++=EXTRAWORD
" ^zz++++="that
that ^dt+pdem+++=EXTRAWORD
does ^vbz+doz+aux++=does
not ^xnot++not++=not
sit ^vb++++=sit
under ^in++++=under
the ^ati++++=the
authority ^nn+nom+++=authority
of ^in++++=of
Virginia ^np++++=Virginia.
. ^zz++++=EXTRAWORD
The ^ati++++=The
helpless ^jj++++=helpless,
, ^zz++++=EXTRAWORD
Lewis ^np++++=Lewis,
, ^zz++++=EXTRAWORD
in ^in++++=in
their ^pp$+pp3+++=their
youth ^nn++++=youth
and ^cc++++=and
inexperience ^nn+nom+++=inexperience,
, ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
not ^xnot++not++=not
wholly ^rb++++=wholly
given ^vbd+++xvbn+=given
over ^in++++=over
to ^in++++=to
the ^ati++++=the
spoiler ^nn++++=spoiler."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
boy ^nn++++=boy
they ^pp3a+pp3+++=they
talked ^vbd+++xvbnx+=talked
about ^in++++=about
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
young ^jj++++=young
under ^in++++=under
twenty ^cd++++=twenty,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
would ^md+prd+++=would
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
blue ^jj+pred+++=blue-eyed
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
and ^cc++++=and
fair ^jj++++=fair-haired,
- ^zz++++=EXTRAWORD
haired ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
thin ^jj+atrb+++=thin,
, ^zz++++=EXTRAWORD
delicate ^jj+atrb+++=delicate
features ^nns++++=features,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
showed ^vbd+vprv++xvbn+=showed
good ^jj+atrb+++=good
blood ^nn++++=blood
long ^jj++++=long
inbred ^jj+++xvbn+=inbred
to ^in++++=to
the ^ati++++=the
loss ^nn++++=loss
of ^in++++=of
vigor ^nn++++=vigor.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
the ^ati++++=the
fine ^jj++++=fine,
, ^zz++++=EXTRAWORD
open ^jj+atrb+++=open,
