That ^dt+dem+++=That
sake ^nn++++=sake.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
before ^in++++=before
proceeding ^xvbg+++xvbg+=proceeding
further ^jjb++++=further,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
merely ^rb+down+++=merely
hint ^nn++++=hint
that ^tht+ncmp+++=that
Doctor ^nn++++=Doctor
Heidegger ^np+nom++??+=Heidegger
and ^cc++++=and
all ^rb++++=all
his ^pp$+pp3+++=his
four ^cd++++=four
guests ^nns++++=guests
were ^vbd+bed+aux++=were
sometimes ^rb++splt++=sometimes
thought ^vpsv++agls+xvbnx+=thought
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^rb++++=a
little ^rb"++++=little
beside ^in+pl+++=beside
themselves ^ppls+pp3+++=themselves;
; ^zz++++=EXTRAWORD
as ^ql++++=as
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
unfrequently ^rb++++=unfrequently
the ^ati++++=the
case ^nn++++=case
with ^in++++=with
old ^jj+atrb+++=old
people ^nns++++=people,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
worried ^jj+++xvbn+=worried
either ^dtx++++=either
by ^in++++=by
present ^jj+atrb+++=present
troubles ^nns++++=troubles
or ^cc++++=or
woful ^jj+atrb+++=woful
recollections ^nns+nom+++=recollections.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
friends ^nns++++=friends,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Doctor ^nn++++=Doctor
Heidegger ^np+nom++??+=Heidegger,
, ^zz++++=EXTRAWORD
motioning ^jj+++xvbg+=motioning
them ^pp3o+pp3+++=them
to ^to++++=to
be ^vbi+vbi+aux++=be
seated ^vpsv++agls+xvbnx+=seated,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
desirous ^jj+pred+++=desirous
of ^in++++=of
your ^pp$+pp2+++=your
assistance ^nn+nom+++=assistance
in ^in++++=in
one ^pn++++=one
of ^in++++=of
those ^dt+dem+++=those
little ^jj+atrb+++=little
experiments ^nns+nom+++=experiments
with ^in++++=with
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
amuse ^vb++++=amuse
myself ^ppl+pp1+++=myself
here ^rn+pl+++=here
in ^in++++=in
my ^pp$+pp1+++=my
study ^nn++++=study."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
all ^abn++++=all
stories ^nns++++=stories
were ^vbd+bed+vrb++=were
true ^jj+pred+++=true,
, ^zz++++=EXTRAWORD
Doctor ^nn++++=Doctor
Heidegger ^np+nom+++=Heidegger's
's ^$++++=EXTRAWORD
study ^nn++++=study
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
very ^ql+amp+++=very
curious ^jj+atrb+++=curious
place ^nn++++=place.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
dim ^jj++++=dim,
, ^zz++++=EXTRAWORD
old ^jj++++=old-fashioned
- ^zz++++=EXTRAWORD
fashioned ^jj+atrb++xvbn+=EXTRAWORD
chamber ^nn++++=chamber,
, ^zz++++=EXTRAWORD
festooned ^j+++xvbn+=festooned
with ^in++++=with
cobwebs ^nns++++=cobwebs
and ^cc++++=and
besprinkled ^vpsv++agls+xvbn+=besprinkled
with ^in++++=with
antique ^jj+atrb+++=antique
dust ^nn++++=dust.
. ^zz++++=EXTRAWORD
Around ^rp++++=Around
the ^ati++++=the
walls ^nns++++=walls
stood ^vbd+++xvbn+=stood
several ^ap++++=several
oaken ^jj+atrb++xvbn+=oaken
bookcases ^nns+++??+=bookcases,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lower ^jjr+atrb+++=lower
shelves ^nns++++=shelves
of ^in++++=of
which ^whp+rel+pied++=which
were ^vbd+bed+aux++=were
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
rows ^nns++++=rows
of ^in++++=of
gigantic ^jj+atrb+++=gigantic
folios ^nns+++??+=folios
and ^cc++++=and
black ^jj++++=black-letter
- ^zz++++=EXTRAWORD
letter ^nn++++=EXTRAWORD
quartos ^nns+++??+=quartos,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
upper ^nn++++=upper
with ^in++++=with
little ^jj+atrb+++=little
parchment ^nn+nom+++=parchment-covered
- ^zz++++=EXTRAWORD
covered ^vwbn+++xvbn+=EXTRAWORD
duodecimos ^nns+++??+=duodecimos.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
the ^ati++++=the
central ^jj+atrb+++=central
bookcase ^nn++++=bookcase
was ^vbd+bedz+vrb++=was
a ^at++++=a
bronze ^jj+atrb+++=bronze
bust ^nn++++=bust
of ^in++++=of
Hippocrates ^nns+nom++??+=Hippocrates,
, ^zz++++=EXTRAWORD
with ^in++++=with
which ^whp+rel+pied++=which,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
some ^dti++++=some
authorities ^nns+nom+++=authorities,
, ^zz++++=EXTRAWORD
Doctor ^nn++++=Doctor
Heidegger ^np+nom++??+=Heidegger
was ^vbd+bedz+aux++=was
accustomed ^vpsv++agls+xvbnx+=accustomed
to ^to++++=to
hold ^vbi+vprv+++=hold
consultations ^nns+nom+++=consultations
in ^in++++=in
all ^rb++++=all
difficult ^jj+atrb+++=difficult
cases ^nns++++=cases
of ^in++++=of
his ^pp$+pp3+++=his
practice ^nn++++=practice.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
obscurest ^jjt++++=obscurest
corner ^npl++++=corner
of ^in++++=of
the ^ati++++=the
room ^nn++++=room
stood ^vbd+++xvbn+=stood
a ^at++++=a
tall ^jj++++=tall
and ^cc+phrs+++=and
narrow ^jj+atrb+++=narrow
oaken ^jj+atrb++xvbn+=oaken
closet ^nn++++=closet,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
door ^nn++++=door
ajar ^rb+cnj+++=ajar,
, ^zz++++=EXTRAWORD
within ^in++++=within
which ^whp+rel+pied++=which
doubtfully ^rb++++=doubtfully
appeared ^vbd+seem++xvbn+=appeared
a ^at++++=a
skeleton ^nn++++=skeleton.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
two ^cd++++=two
of ^in++++=of
the ^ati++++=the
bookcases ^nn++++=bookcases
hung ^vbd+++xvbn+=hung
a ^at++++=a
looking ^jj+++xvbg+=looking-glass,
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
presenting ^vbg+++xvbg+=presenting
its ^pp$+it+++=its
high ^jj+atrb+++=high
and ^cc+phrs+++=and
dusty ^jj+atrb+++=dusty
plate ^nn++++=plate
within ^in++++=within
a ^at++++=a
tarnished ^jj+atrb++xvbn+=tarnished
gilt ^jj+atrb+++=gilt
frame ^nn++++=frame.
. ^zz++++=EXTRAWORD
Among ^in++++=Among
many ^ap++++=many
wonderful ^jj+atrb+++=wonderful
stories ^nns++++=stories
related ^vbd+++xvbn+=related
of ^in++++=of
this ^dt+dem+++=this
mirror ^nn++++=mirror,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
fabled ^vwbn+++xvbn+=fabled
that ^cs+sub+++=that
the ^ati++++=the
spirits ^nns++++=spirits
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
doctor ^nn++++=doctor's
's ^vbz+bez+vrb++0=EXTRAWORD
deceased ^jj+atrb+++=deceased
patients ^nns++++=patients
dwelt ^vbd+++xvbn+=dwelt
within ^in++++=within
its ^pp$+it+++=its
verge ^nn++++=verge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
stare ^vb++++=stare
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
face ^nn++++=face
whenever ^nn+nom+++=whenever
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
thitherward ^rb++++=thitherward.
. ^zz++++=EXTRAWORD
The ^ati++++=The
opposite ^jj+atrb+++=opposite
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
chamber ^nn++++=chamber
was ^vbd+bedz+aux++=was
ornamented ^vpsv++agls+xvbnx+=ornamented
with ^in++++=with
the ^ati++++=the
full ^jj++++=full-length
- ^zz++++=EXTRAWORD
length ^nn++++=EXTRAWORD
portrait ^nn++++=portrait
of ^in++++=of
a ^at++++=a
young ^jj+atrb+++=young
lady ^nn++++=lady,
, ^zz++++=EXTRAWORD
arrayed ^vwbn+++xvbn+=arrayed
in ^in++++=in
the ^ati++++=the
faded ^jj+atrb++xvbn+=faded
magnificence ^nn+nom+++=magnificence
of ^in++++=of
silk ^nn++++=silk,
, ^zz++++=EXTRAWORD
satin ^nn++++=satin,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brocade ^nn++++=brocade,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
a ^at++++=a
visage ^nn++++=visage
as ^cs+sub+++=as
faded ^jj+++xvbn+=faded
as ^ql++++=as
her ^pp$+pp3+++=her
dress ^nn++++=dress.
. ^zz++++=EXTRAWORD
Above ^rb++++=Above
half ^abn++++=half
a ^at++++=a
century ^nn++++=century
ago ^rb++++=ago
Doctor ^nn++++=Doctor
Heidegger ^np+nom++??+=Heidegger
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
on ^in++++=on
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
marriage ^nn+nom+++=marriage
with ^in++++=with
this ^dt+dem+++=this
young ^jj+atrb+++=young
lady ^nn++++=lady;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
being ^xvbg+++xvbg+=being
affected ^vbd+++xvbn+=affected
with ^in++++=with
some ^dti++++=some
slight ^jj+atrb+++=slight
disorder ^nn+nom+++=disorder,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
swallowed ^vprf+++xvbnx+=swallowed
one ^pn++++=one
of ^in++++=of
her ^pp$+pp3+++=her
lover ^nn++++=lover's
's ^$++++=EXTRAWORD
prescriptions ^nns+nom+++=prescriptions,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
died ^vpsv++agls+xvbn+=died
on ^in++++=on
the ^ati++++=the
bridal ^jj+atrb+++=bridal
evening ^nn++++=evening.
. ^zz++++=EXTRAWORD
The ^ati++++=The
greatest ^jjt+atrb+++=greatest
curiosity ^nn+nom+++=curiosity
of ^in++++=of
the ^ati++++=the
study ^nn++++=study
remains ^nns++++=remains
to ^to++++=to
be ^vbi+vbi+aux++=be
mentioned ^vpsv++agls+xvbnx+=mentioned;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
ponderous ^jj+atrb+++=ponderous
folio ^nn++++=folio
volume ^nn++++=volume,
, ^zz++++=EXTRAWORD
bound ^xvbn+++xvbn+=bound
in ^in++++=in
black ^jj+atrb+++=black
leather ^nn++++=leather,
, ^zz++++=EXTRAWORD
with ^in++++=with
massive ^jj+atrb+++=massive
silver ^nn++++=silver
clasps ^nns+++??+=clasps.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
no ^at++++=no
letters ^nns+nom+++=letters
on ^in++++=on
the ^ati++++=the
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nobody ^pn++++=nobody
could ^md+pos+++=could
tell ^vb++++=tell
the ^ati++++=the
title ^nn++++=title
of ^in++++=of
the ^ati++++=the
book ^nn++++=book.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
well ^rb++splt++=well
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
book ^nn++++=book
of ^in++++=of
magic ^nn++++=magic;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+cnj+++=once,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
a ^at++++=a
chambermaid ^nn+++??+=chambermaid
had ^vbd+hvd+aux++=had
lifted ^vprf+++xvbnx+=lifted
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
merely ^rb+down+++=merely
to ^to++++=to
brush ^vbi++++=brush
away ^rp+pl+++=away
the ^ati++++=the
dust ^nn++++=dust,
, ^zz++++=EXTRAWORD
the ^ati++++=the
skeleton ^nn++++=skeleton
had ^vbd+hvd+aux++=had
rattled ^vprf+++xvbnx+=rattled
in ^in++++=in
its ^pp$+it+++=its
closet ^nn++++=closet,
, ^zz++++=EXTRAWORD
the ^ati++++=the
picture ^nn++++=picture
of ^in++++=of
the ^ati++++=the
young ^jj+atrb+++=young
lady ^npt++++=lady
had ^vbd+hvd+aux++=had
stepped ^vprf+++xvbnx+=stepped
one ^cd1++++=one
foot ^nn++++=foot
upon ^in++++=upon
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
several ^ap++++=several
ghastly ^jj+atrb+++=ghastly
faces ^nns++++=faces
had ^vbd+hvd+aux++=had
peeped ^vprf+++xvbnx+=peeped
forth ^rp++++=forth
from ^in++++=from
the ^ati++++=the
mirror ^nn++++=mirror;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
brazen ^vb++++=brazen
head ^jjb++++=head
of ^in++++=of
Hippocrates ^nns+nom++??+=Hippocrates
frowned ^vbd+++xvbn+=frowned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Forbear!"
forbear ^nn+++??+=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Such ^abl++++=Such
was ^vbd+bedz+vrb++=was
Doctor ^nn++++=Doctor
Heidegger ^np+nom+++=Heidegger's
's ^$++++=EXTRAWORD
study ^nn++++=study.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
summer ^nn++++=summer
afternoon ^nn++++=afternoon
of ^in++++=of
our ^pp$+pp1+++=our
tale ^nn++++=tale
a ^at++++=a
small ^jj+atrb+++=small
round ^nn++++=round
table ^nn++++=table,
, ^zz++++=EXTRAWORD
as ^ql++++=as
black ^np++++=black
as ^ql++++=as
ebony ^nn++++=ebony,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
in ^in++++=in
the ^ati++++=the
centre ^nn++++=centre
of ^in++++=of
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
sustaining ^vbg+++xvbg+=sustaining
a ^at++++=a
cut ^vbd+++xvbn+=cut-glass
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
vase ^nn++++=vase
of ^in++++=of
beautiful ^jj+atrb+++=beautiful
form ^nn++++=form
and ^cc++++=and
workmanship ^nn+nom+++=workmanship.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sunshine ^nn++++=sunshine
came ^vbd+++xvbn+=came
through ^in++++=through
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
between ^in++++=between
the ^ati++++=the
heavy ^jj+atrb+++=heavy
festoons ^nns+++??+=festoons
of ^in++++=of
two ^cd++++=two
faded ^jj+atrb++xvbn+=faded
damask ^nn++++=damask
curtains ^nns++++=curtains,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fell ^nn+++xvbn+=fell
directly ^rb++++=directly
across ^in+pl+++=across
this ^dt+dem+++=this
vase ^nn++++=vase;
; ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
a ^at++++=a
mild ^jj+atrb+++=mild
splendor ^nn++++=splendor
was ^vbd+bedz+aux++=was
reflected ^vpsv++agls+xvbnx+=reflected
from ^in++++=from
it ^pp3+it+++=it
on ^in++++=on
the ^ati++++=the
ashen ^jj+atrb+++=ashen
visages ^nns+nom+++=visages
of ^in++++=of
the ^ati++++=the
five ^cd++++=five
old ^jj+atrb+++=old
people ^nns++++=people
who ^whp+rel+subj++=who
sat ^vbd+++xvbn+=sat
around ^in+strn+++=around.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
champagne ^nn++++=champagne
glasses ^nns++++=glasses
were ^vbd+bed+vrb++=were
also ^rb++++=also
on ^in++++=on
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
old ^jj+atrb+++=old
friends ^nns++++=friends,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
repeated ^jj+atrb++xvbn+=repeated
Doctor ^nn++++=Doctor
Heidegger ^np+nom++??+=Heidegger,
, ^zz++++=EXTRAWORD
" ^zz++++="may
may ^md+pos+++=EXTRAWORD
I ^pp1a+pp1+++=I
reckon ^vb+vprv+++=reckon
on ^in+ppvb+++=on
your ^pp$+pp2+++=your
aid ^nn++++=aid
in ^in++++=in
performing ^xvbg+++xvbg+=performing
an ^at++++=an
exceedingly ^rb++++=exceedingly
curious ^jj+atrb+++=curious
experiment ^nn+nom+++=experiment?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Now ^rn+tm+++=Now
Doctor ^nn++++=Doctor
Heidegger ^np+nom++??+=Heidegger
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
strange ^jj+atrb+++=strange
old ^jj+atrb+++=old
gentleman ^nn+nom+++=gentleman,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
eccentricity ^nn+nom+++=eccentricity
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
the ^ati++++=the
nucleus ^nn++++=nucleus
for ^in++++=for
a ^at++++=a
thousand ^cd++++=thousand
fantastic ^jj+atrb+++=fantastic
stories ^nns++++=stories.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
these ^dt+dem+++=these
fables ^nns++++=fables,
, ^zz++++=EXTRAWORD
to ^in++++=to
my ^pp$+pp1+++=my
shame ^nn++++=shame
be ^vb+be+aux++=be
it ^pp3+it+++=it
spoken ^vbd+++xvbn+=spoken,
, ^zz++++=EXTRAWORD
might ^md+pos+++=might
possibly ^rb++++=possibly
be ^vb+be+aux++=be
traced ^vpsv++agls+xvbnx+=traced
back ^jjb++++=back
to ^in++++=to
mine ^pp$$++++=mine
own ^ap++++=own
veracious ^jj+atrb+++=veracious
self ^nn++++=self;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
any ^dti++++=any
passages ^nns+nom+++=passages
of ^in++++=of
the ^ati++++=the
present ^jj+atrb+++=present
tale ^nn++++=tale
should ^md+nec+++=should
startle ^vb+++??+=startle
