He ^pp3a+pp3+++=He
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
three ^cd++++=three
or ^cc++++=or
four ^cd++++=four
times ^nns++++=times
a ^at++++=a
day ^nn++++=day,
, ^zz++++=EXTRAWORD
conspicuous ^jj++++=conspicuous
with ^in++++=with
its ^pp$+it+++=its
colouring ^nvbg+++xvbg+=colouring
of ^in++++=of
Indian ^jj++++=Indian-red
- ^zz++++=EXTRAWORD
red ^jj++++=EXTRAWORD
and ^cc++++=and
yellow ^nn++++=yellow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
two ^cd++++=two
Oriental ^jj+atrb+++=Oriental
attendants ^nns+nom+++=attendants;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
day ^nn++++=day,
, ^zz++++=EXTRAWORD
to ^in++++=to
Bailey ^np++++=Bailey's
's ^$++++=EXTRAWORD
vast ^jj+atrb+++=vast
amusement ^nn+nom+++=amusement,
, ^zz++++=EXTRAWORD
the ^ati++++=the
house ^nn++++=house-boat
- ^zz++++=EXTRAWORD
boat ^nn++++=EXTRAWORD
Purple ^jj+atrb+++=Purple
Emperor ^npt++++=Emperor
came ^vbd+++xvbn+=came
to ^in++++=to
a ^at++++=a
stop ^vb++++=stop
outside ^jjb++++=outside,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
breakfasted ^vpsv++agls+xvbn+=breakfasted
in ^in++++=in
the ^ati++++=the
most ^ql+emph+++=most
shameless ^jj+atrb+++=shameless
domesticity ^nn+nom+++=domesticity.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
one ^cd1++++=one
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
the ^ati++++=the
captain ^nn++++=captain
of ^in++++=of
a ^at++++=a
slow ^jj++++=slow-moving
- ^zz++++=EXTRAWORD
moving ^vbg+++xvbg+=EXTRAWORD
barge ^nn++++=barge
began ^vbd+++xvbn+=began
a ^at++++=a
quarrel ^nn++++=quarrel
with ^in++++=with
his ^pp$+pp3+++=his
wife ^nn++++=wife
as ^ql++++=as
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came
into ^in+ppvb+++=into
sight ^nn++++=sight
from ^in++++=from
the ^ati++++=the
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
carried ^vprf+++xvbnx+=carried
it ^pp3+it+++=it
to ^in++++=to
personal ^jj+atrb+++=personal
violence ^nn+nom+++=violence
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
vanished ^vbd+++xvbnx+=vanished
behind ^in+pl+++=behind
the ^ati++++=the
window ^nn++++=window-frame
- ^zz++++=EXTRAWORD
frame ^nn++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
right ^nn++++=right.
. ^zz++++=EXTRAWORD
Bailey ^np++++=Bailey
regarded ^vwbn+++xvbn+=regarded
all ^abn++++=all
this ^dt+dem+++=this
as ^in++++=as
an ^at++++=an
entertainment ^nn+nom+++=entertainment
got ^vbd+++xvbn+=got
up ^rp++++=up
to ^to++++=to
while ^cs+sub+++=while
away ^rp+pl+++=away
his ^pp$+pp3+++=his
illness ^nns+nom+++=illness,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
applauded ^vbd+++xvbn+=applauded
all ^abn++++=all
the ^ati++++=the
more ^rbr++++=more
moving ^jj+atrb++xvbg+=moving
incidents ^nns++++=incidents.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs
Green ^np++++=Green,
, ^zz++++=EXTRAWORD
coming ^vbg+++xvbg+=coming
in ^in++++=in
at ^in++++=at
rare ^jj+atrb+++=rare
intervals ^nns+nom+++=intervals
with ^in++++=with
his ^pp$+pp3+++=his
meals ^nns++++=meals,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
catch ^vb++++=catch
him ^pp3o+pp3+++=him
clapping ^vbg+++xvbg+=clapping
his ^pp$+pp3+++=his
hands ^nns++++=hands
or ^cc++++=or
softly ^rb++++=softly
crying ^nvbg+++xvbg+=crying,
, ^zz++++=EXTRAWORD
" ^zz++++="Encore!"
encore ^&fw++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
the ^ati++++=the
river ^nn++++=river
players ^nns+nom+++=players
had ^vb+hv+vrb++=had
other ^ap++++=other
engagements ^nns+nom+++=engagements,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
encore ^&fw++++=encore
went ^vbd+++xvbn+=went
unheeded ^jj++++=unheeded.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
never ^rb++++=never
have ^vb+hv+aux++=have
thought ^vprf+++xvbnx+=thought
I ^pp1a+pp1+++=I
could ^md+pos+++=could
take ^vb++++=take
such ^abl++++=such
an ^at++++=an
interest ^nn++++=interest
in ^in++++=in
things ^nns++++=things
that ^tht+rel+subj++=that
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
concern ^nn++++=concern
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bailey ^np++++=Bailey
to ^in++++=to
Wilderspin ^np+++??+=Wilderspin,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
used ^md"++pmd"++=used
to ^to++++=to
come ^vb++++=come
in ^in++++=in
in ^in++++=in
his ^pp$+pp3+++=his
nervous ^jj+atrb+++=nervous,
, ^zz++++=EXTRAWORD
friendly ^jj+atrb+++=friendly
way ^nn++++=way
and ^cc++++=and
try ^vb++++=try
to ^to+vcmp+++=to
comfort ^vbi++++=comfort
the ^ati++++=the
sufferer ^nn+nom+++=sufferer
by ^in++++=by
being ^nn+nn+aux++=being
talked ^vbd+++xvbn+=talked
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
this ^dt+dem+++=this
idle ^jj+atrb+++=idle
capacity ^nn+nom+++=capacity
was ^vbd+bedz+vrb++=was
distinctive ^jj+pred+++=distinctive
of ^in++++=of
little ^jj+atrb+++=little
children ^nns++++=children
and ^cc++++=and
old ^jj+atrb+++=old
maids ^nns++++=maids.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
just ^rb+emph+++=just
circumstances ^nns+nom+++=circumstances.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
simply ^rb++++=simply
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
work ^nn++++=work,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
things ^nns++++=things
have ^vb+hv+vrb++=have
to ^in++++=to
drift ^nn++++=drift;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
no ^at++++=no
good ^jj++++=good
to ^to+jcmp+++=to
fret ^vbi++++=fret
and ^cc++++=and
struggle ^nn++++=struggle.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^ql++++=so
I ^pp1a+pp1+++=I
lie ^vb++++=lie
here ^rn+pl+++=here
and ^cc++++=and
am ^vb+bem+aux++=am
as ^cs+sub+++=as
amused ^vbd+++xvbn+=amused
as ^ql++++=as
a ^at++++=a
baby ^nn++++=baby
with ^in++++=with
a ^at++++=a
rattle ^vb++++=rattle,
, ^zz++++=EXTRAWORD
at ^rb++++=at
this ^dt+dem+++=this
river ^nn++++=river
and ^cc++++=and
its ^pp$+it+++=its
affairs ^nns++++=affairs.
. ^zz++++=EXTRAWORD
" ^zz++++="Sometimes,
sometimes ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
gets ^vbz++++=gets
a ^at++++=a
bit ^nn++++=bit
dull ^jj++++=dull,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
often ^rb++++=often.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
would ^md+prd+++=would
give ^vb++++=give
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
Wilderspin ^np+++??+=Wilderspin,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
swamp ^nn++++=swamp
just ^rb+emph+++=just
one ^cd1++++=one
swamp ^nn++++=swamp
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
Heads ^nns++++=Heads
swimming ^vwbg+++xvbg+=swimming
and ^cc++++=and
a ^at++++=a
steam ^nn++++=steam
launch ^nn++++=launch
to ^in++++=to
the ^ati++++=the
rescue ^nn++++=rescue,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
chap ^nn++++=chap
or ^cc++++=or
so ^ql+emph+++=so
hauled ^jj+++xvbn+=hauled
out ^rp+pl+++=out
with ^in++++=with
a ^at++++=a
boat ^nn++++=boat-hook....
- ^zz++++=EXTRAWORD
hook.. ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
goes ^vbz++++=goes
Fitzgibbon ^np++++=Fitzgibbon's
's ^$++++=EXTRAWORD
launch ^vb++++=launch!
! ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
have ^vb+hv+vrb++=have
a ^at++++=a
new ^jj+atrb+++=new
boat ^nn++++=boat-hook,
- ^zz++++=EXTRAWORD
hook ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
little ^ap++++=little
blackie ^nn+++??+=blackie
is ^vbz+bez+vrb++=is
still ^rb++++=still
in ^in++++=in
the ^ati++++=the
dumps ^nns++++=dumps.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
he ^pp3a+pp3+++=he's
's ^vbz+bez+vrb++0=EXTRAWORD
very ^ql+amp+++=very
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
Wilderspin ^np+++??+=Wilderspin.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He's
's ^vbz+bez+aux++0=EXTRAWORD
been ^vpsv++agls+xvbnx+=been
like ^in++++=like
that ^dt+dem+++=that
for ^in++++=for
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
days ^nns++++=days,
, ^zz++++=EXTRAWORD
squatting ^jj+++xvbg+=squatting
sulky ^jj++++=sulky-fashion
- ^zz++++=EXTRAWORD
fashion ^nn++++=EXTRAWORD
and ^cc++++=and
meditating ^vbg+++xvbg+=meditating
over ^in++++=over
the ^ati++++=the
churning ^jj+++xvbg+=churning
of ^in++++=of
the ^ati++++=the
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Unwholesome ^np+++??+=Unwholesome
for ^in++++=for
him ^pp3o+pp3+++=him
to ^to++++=to
be ^vbi+vbi+aux++=be
always ^rb++splt++=always
staring ^vbg+++xvbgx+=staring
at ^rb++++=at
the ^ati++++=the
frothy ^nn+++??+=frothy
water ^nn++++=water
running ^vwbg+++xvbg+=running
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
stern ^nn++++=stern."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
watched ^vbd+++xvbnx+=watched
the ^ati++++=the
little ^ap++++=little
steamer ^np++++=steamer
fuss ^nn++++=fuss
across ^in+pl+++=across
the ^ati++++=the
patch ^nn++++=patch
of ^in++++=of
sunlit ^jj+atrb+++=sunlit
river ^nn++++=river,
, ^zz++++=EXTRAWORD
suffer ^vb++++=suffer
momentary ^jj+atrb+++=momentary
occultation ^nn+nom+++=occultation
from ^in++++=from
the ^ati++++=the
acacia ^nn+++??+=acacia,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
glide ^vb++++=glide
out ^rp+pl+++=out
of ^in++++=of
sight ^nn++++=sight
behind ^in+pl+++=behind
the ^ati++++=the
dark ^jj+atrb+++=dark
window ^nn++++=window-frame.
- ^zz++++=EXTRAWORD
frame ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
getting ^vbg+++xvbgx+=getting
a ^at++++=a
wonderful ^jj+atrb+++=wonderful
eye ^nn++++=eye
for ^in++++=for
details ^nns++++=details,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bailey ^np++++=Bailey:
: ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
spotted ^vbd+++xvbnx+=spotted
that ^dt+dem+++=that
new ^jj+atrb+++=new
boat ^nn++++=boat-hook
- ^zz++++=EXTRAWORD
hook ^nn++++=EXTRAWORD
at ^rb++++=at
once ^rb"+tm+++=once.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
nigger ^nn++++=nigger
is ^vbz+bez+vrb++=is
a ^at++++=a
funny ^jj+atrb+++=funny
little ^jj+atrb+++=little
chap ^nn++++=chap.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
used ^vbd+++xvbn+=used
to ^in++++=to
swagger ^nn++++=swagger
with ^in++++=with
the ^ati++++=the
old ^jj+atrb+++=old
boat ^nn++++=boat-hook
- ^zz++++=EXTRAWORD
hook ^nn++++=EXTRAWORD
like ^in++++=like
that ^dt+pdem+++=that."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Malays,
malays ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
they ^pp3a+pp3+++=they?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Wilderspin ^np+++??+=Wilderspin.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Bailey ^np++++=Bailey.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
thought ^vbd+++xvbnx+=thought
one ^cd1++++=one
called ^xvbn+++xvbn+=called
all ^abn++++=all
that ^dt+dem+++=that
sort ^nn++++=sort
of ^in++++=of
mariner ^nn++++=mariner
Lascar ^np+++??+=Lascar."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
tell ^vbi++++=tell
Wilderspin ^np+++??+=Wilderspin
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
of ^in++++=of
the ^ati++++=the
private ^jj+atrb+++=private
affairs ^nns++++=affairs
of ^in++++=of
the ^ati++++=the
houseboat ^nn++++=houseboat,
, ^zz++++=EXTRAWORD
Purple ^jj+atrb+++=Purple
Emperor ^npt++++=Emperor.
. ^zz++++=EXTRAWORD
" ^zz++++="Funny,"
funny ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="how
how ^wrb+who+++=EXTRAWORD
these ^dt+dem+++=these
people ^nns++++=people
come ^vprf+++xvbn+=come
from ^in+ppvb+++=from
all ^abn++++=all
points ^nns++++=points
of ^in++++=of
the ^ati++++=the
compass ^nn++++=compass
from ^in++++=from
Oxford ^np++++=Oxford
and ^cc++++=and
Windsor ^np++++=Windsor,
, ^zz++++=EXTRAWORD
from ^in++++=from
Asia ^np++++=Asia
and ^cc++++=and
Africa ^np++++=Africa
and ^cc++++=and
gather ^vb+vprv+++=gather
and ^cc+phrs+++=and
pass ^vb++++=pass
opposite ^jj++++=opposite
the ^ati++++=the
window ^nn++++=window
just ^rb+emph+++=just
to ^to++++=to
entertain ^vbi++++=entertain
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
man ^nn++++=man
floated ^vbd+++xvbn+=floated
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
infinite ^jj++++=infinite
the ^ati++++=the
day ^nn++++=day
before ^in++++=before
yesterday ^nr+tm+++=yesterday,
, ^zz++++=EXTRAWORD
caught ^jj+atrb++xvbn+=caught
one ^cd1++++=one
perfect ^jj+atrb+++=perfect
crab ^nn++++=crab
opposite ^rb++++=opposite,
, ^zz++++=EXTRAWORD
lost ^j+++xvbn+=lost
and ^cc+phrs+++=and
recovered ^jj+++xvbn+=recovered
a ^at++++=a
scull ^vb++++=scull,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
passed ^vpsv++agls+xvbn+=passed
on ^rb+phrv+++=on
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
Probably ^rb++++=Probably
he ^pp3a+pp3+++=he
will ^md+prd+++=will
never ^rb++splt++=never
come ^vb++++=come
into ^in+ppvb+++=into
my ^pp$+pp1+++=my
life ^nn++++=life
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
So ^ql++++=So
far ^rb+pl+++=far
as ^ql++++=as
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
concerned ^vpsv++agls+xvbnx+=concerned,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
has ^vbz+hvz+aux++=has
lived ^vprf+++xvbnx+=lived
and ^cc++++=and
had ^vb+hv+vrb++=had
his ^pp$+pp3+++=his
little ^jj+atrb+++=little
troubles ^nns++++=troubles,
, ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
thirty ^cd++++=thirty
perhaps ^rb++++=perhaps
forty ^cd++++=forty
years ^nns++++=years
on ^in++++=on
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
merely ^rb+down+++=merely
to ^to++++=to
make ^vbi++++=make
an ^at++++=an
ass ^nn++++=ass
of ^in++++=of
himself ^ppl+pp3+++=himself
for ^in++++=for
three ^cd++++=three
minutes ^nns++++=minutes
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
my ^pp$+pp1+++=my
