That ^dt+dem+++=That
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
hoisting ^vbg+++xvbgx+=hoisting
him ^pp3o+pp3+++=him
thither ^rb+cnj+++=thither,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
but ^cc++++=but
two ^cd++++=two-thirds
- ^zz++++=EXTRAWORD
thirds ^nns+++??+=EXTRAWORD
of ^in++++=of
the ^ati++++=the
way ^nn++++=way
aloft ^rb+cnj+++=aloft,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
peering ^vbg+++xvbg+=peering
ahead ^rb+pl+++=ahead
through ^in++++=through
the ^ati++++=the
horizontal ^jj+atrb+++=horizontal
vacancy ^nn++++=vacancy
between ^in++++=between
the ^ati++++=the
main ^jjb++++=main-topsail
- ^zz++++=EXTRAWORD
topsail ^nn+++??+=EXTRAWORD
and ^cc++++=and
topgallant ^nn+nom+++=topgallant
sail ^vb++++=sail,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
raised ^vbd+++xvbnx+=raised
a ^at++++=a
gull ^nn++++=gull-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
cry ^nn++++=cry
in ^in++++=in
the ^ati++++=the
air ^nn++++=air,
, ^zz++++=EXTRAWORD
" ^zz++++="There,
there ^rn+pl+++=EXTRAWORD
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
blows ^nns++++=blows!
! ^zz++++=EXTRAWORD
there ^rn+pl+++=there
she ^pp3a+pp3+++=she
blows ^nns++++=blows!
! ^zz++++=EXTRAWORD
A ^at++++=A
hump ^nn+++??+=hump
like ^in++++=like
a ^at++++=a
snow ^np++++=snow-hill!
- ^zz++++=EXTRAWORD
hill ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
Moby ^np++++=Moby
Dick ^np++++=Dick!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Fired ^vpsv++by+xvbn+=Fired
by ^in++++=by
the ^ati++++=the
cry ^nn++++=cry
which ^whp+rel+subj++=which
seemed ^vbd+seem++xvbn+=seemed
simultaneously ^rb+tm+++=simultaneously
taken ^vbd+++xvbn+=taken
up ^rb+phrv+++=up
by ^in++++=by
the ^ati++++=the
three ^cd++++=three
look ^vb++++=look-outs,
- ^zz++++=EXTRAWORD
outs ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
men ^nns++++=men
on ^in++++=on
deck ^nn++++=deck
rushed ^vbd+++xvbn+=rushed
to ^in++++=to
the ^ati++++=the
rigging ^nn++++=rigging
to ^to++++=to
behold ^vbi++++=behold
the ^ati++++=the
famous ^jj+atrb+++=famous
whale ^nn++++=whale
they ^pp3a+pp3+++=they
had ^vb+hv+aux++=had
so ^ql++++=so
long ^rb++++=long
been ^vprf+ben+aux+xvbn+=been
pursuing ^vbg+++xvbgx+=pursuing.
. ^zz++++=EXTRAWORD
Ahab ^np+++??+=Ahab
had ^vb+hv+aux++=had
now ^rn+tm+splt++=now
gained ^vprf+++xvbnx+=gained
his ^pp$+pp3+++=his
final ^jj+atrb+++=final
perch ^nn++++=perch,
, ^zz++++=EXTRAWORD
some ^dti++++=some
feet ^nns++++=feet
above ^in+pl+++=above
the ^ati++++=the
other ^ap++++=other
lookouts ^nns+++??+=lookouts,
, ^zz++++=EXTRAWORD
Tashtego ^np+++??+=Tashtego
standing ^vwbg+++xvbg+=standing
just ^rb+emph+++=just
beneath ^in+pl+++=beneath
him ^pp3o+pp3+++=him
on ^in++++=on
the ^ati++++=the
cap ^nn++++=cap
of ^in++++=of
the ^ati++++=the
topgallant ^nn+nom+++=topgallant-mast,
- ^zz++++=EXTRAWORD
mast ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
Indian ^np++++=Indian's
's ^$++++=EXTRAWORD
head ^nn++++=head
was ^vbd+bedz+vrb++=was
almost ^rb+hdg+++=almost
on ^in++++=on
a ^at++++=a
level ^nn++++=level
with ^in++++=with
Ahab ^np++++=Ahab's
's ^$++++=EXTRAWORD
heel ^nn++++=heel.
. ^zz++++=EXTRAWORD
From ^in++++=From
this ^dt+dem+++=this
height ^nn++++=height
the ^ati++++=the
whale ^nn++++=whale
was ^vbd+bedz+aux++=was
now ^rn+tm+splt++=now
seen ^vpsv++agls+xvbnx+=seen
some ^dti++++=some
mile ^nn++++=mile
or ^cc++++=or
so ^rb++++=so
ahead ^rb+cnj+++=ahead,
, ^zz++++=EXTRAWORD
at ^rb++++=at
every ^at++++=every
roll ^nn++++=roll
of ^in++++=of
the ^ati++++=the
sea ^nn++++=sea
revealing ^vwbg+++xvbg+=revealing
his ^pp$+pp3+++=his
high ^jj+atrb+++=high
sparkling ^jj+atrb+++=sparkling
hump ^nn+++??+=hump,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
regularly ^rb++++=regularly
jetting ^vbg+++xvbg+=jetting
his ^pp$+pp3+++=his
silent ^jj+atrb+++=silent
spout ^nn++++=spout
into ^in++++=into
the ^ati++++=the
air ^nn++++=air.
. ^zz++++=EXTRAWORD
To ^in++++=To
the ^ati++++=the
incredulous ^jj+atrb+++=incredulous
mariners ^nns+nom+++=mariners
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
the ^ati++++=the
same ^ap++++=same
silent ^jj+atrb+++=silent
spout ^nn++++=spout
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
so ^ql++++=so
long ^rb++++=long
ago ^rb++++=ago
beheld ^nn+++??+=beheld
in ^in++++=in
the ^ati++++=the
moonlit ^nn+++??+=moonlit
Atlantic ^np++++=Atlantic
and ^cc++++=and
Indian ^jj+atrb+++=Indian
Oceans ^nns++++=Oceans.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
did ^vbd+dod+vrb++=did
none ^rb++++=none
of ^in++++=of
ye ^pp2+pp2+++=ye
see ^vb+vprv+tht0++=see
it ^pp3+it+++=it
before ^in++++=before?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Ahab ^np+++??+=Ahab,
, ^zz++++=EXTRAWORD
hailing ^nn+nom+++=hailing
the ^ati++++=the
perched ^jj+atrb++xvbn+=perched
men ^nns++++=men
all ^abn++++=all
around ^rp++++=around
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
saw ^vbd+vprv++xvbnx+=saw
him ^pp3o+pp3+++=him
almost ^rb+hdg+++=almost
that ^cs+sub+++=that
same ^ap++++=same
instant ^nn+nom+++=instant,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Captain ^npt++++=Captain
Ahab ^np+++??+=Ahab
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
cried ^vbd+++xvbnx+=cried
out ^rp+pl+++=out,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Tashtego ^np+++??+=Tashtego.
. ^zz++++=EXTRAWORD
" ^zz++++="Not
not ^xnot++not++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
instant ^nn+nom+++=instant;
; ^zz++++=EXTRAWORD
not ^xnot++not++=not
the ^ati++++=the
same ^ap++++=same
no ^rb+cnj+++=no,
, ^zz++++=EXTRAWORD
the ^ati++++=the
doubloon ^nn+++??+=doubloon
is ^vbz+bez+vrb++=is
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
Fate ^nn++++=Fate
reserved ^vbd+++xvbn+=reserved
the ^ati++++=the
doubloon ^nn+++??+=doubloon
for ^in++++=for
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
only ^rb+down+++=only;
; ^zz++++=EXTRAWORD
none ^pn++++=none
of ^in++++=of
ye ^pp2+pp2+++=ye
could ^md+pos+++=could
have ^vb+hv+aux++=have
raised ^vprf+++xvbnx+=raised
the ^ati++++=the
white ^jj+atrb+++=white
whale ^nn++++=whale
first ^rb++++=first.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
she ^pp3a+pp3+++=she
blows ^nns++++=blows!
! ^zz++++=EXTRAWORD
there ^rn+pl+++=there
she ^pp3a+pp3+++=she
blows ^nns++++=blows!
! ^zz++++=EXTRAWORD
there ^rn+pl+++=there
she ^pp3a+pp3+++=she
blows ^nns++++=blows!
! ^zz++++=EXTRAWORD
There ^rn+pl+++=There
again ^rb+tm+++=again!
! ^zz++++=EXTRAWORD
there ^rn+pl+++=there
again ^rb+tm+++=again!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
in ^in++++=in
long ^jj++++=long-drawn,
- ^zz++++=EXTRAWORD
drawn ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
lingering ^vbg+++xvbg+=lingering,
, ^zz++++=EXTRAWORD
methodic ^jj+atrb+++=methodic
tones ^nns++++=tones,
, ^zz++++=EXTRAWORD
attuned ^vwbn+++xvbn+=attuned
to ^in++++=to
the ^ati++++=the
gradual ^jj+atrb+++=gradual
prolongings ^nns+++??+=prolongings
of ^in++++=of
the ^ati++++=the
whale ^nn++++=whale's
's ^vbz+bez+vrb++0=EXTRAWORD
visible ^jj+atrb+++=visible
jets ^nns++++=jets.
. ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
going ^vbg+++xvbgx+=going
to ^in++++=to
sound ^nn++++=sound!
! ^zz++++=EXTRAWORD
In ^in++++=In
stunsails ^nns+++??+=stunsails!
! ^zz++++=EXTRAWORD
Down ^rp++++=Down
topgallant ^nn+nom+++=topgallant-sails!
- ^zz++++=EXTRAWORD
sails ^nns++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Stand ^vb++++=Stand
by ^in++++=by
three ^cd++++=three
boats ^nns++++=boats.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Starbuck ^np++++=Starbuck,
, ^zz++++=EXTRAWORD
remember ^nn+nom+++=remember,
, ^zz++++=EXTRAWORD
stay ^vb++++=stay
on ^in++++=on
board ^nn++++=board,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
keep ^vb++++=keep
the ^ati++++=the
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
Helm ^np++++=Helm
there ^rn+pl+++=there!
! ^zz++++=EXTRAWORD
Luff ^np+++??+=Luff,
, ^zz++++=EXTRAWORD
luff ^nn+++??+=luff
a ^at++++=a
point ^nn++++=point!
! ^zz++++=EXTRAWORD
So ^ql++++=So;
; ^zz++++=EXTRAWORD
steady ^jj++++=steady,
, ^zz++++=EXTRAWORD
man ^nn++++=man,
, ^zz++++=EXTRAWORD
steady ^jj++++=steady!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There
go ^vb++++=go
flukes ^nns+++??+=flukes!
! ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
no ^at++++=no;
; ^zz++++=EXTRAWORD
only ^rb+down+++=only
black ^jj+atrb+++=black
water ^nn++++=water!
! ^zz++++=EXTRAWORD
All ^abn++++=All
ready ^jj++++=ready
the ^ati++++=the
boats ^nns++++=boats
there ^rn+pl+++=there?
? ^zz++++=EXTRAWORD
Stand ^vb++++=Stand
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
stand ^vb++++=stand
by ^in+strn+++=by!
! ^zz++++=EXTRAWORD
Lower ^jjr++++=Lower
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Starbuck ^np++++=Starbuck;
; ^zz++++=EXTRAWORD
lower ^jjr++++=lower,
, ^zz++++=EXTRAWORD
lower ^jjr++++=lower,
, ^zz++++=EXTRAWORD
quick ^jj++++=quick,
, ^zz++++=EXTRAWORD
quicker ^jjr++++=quicker!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
slid ^vbd+++xvbnx+=slid
through ^in++++=through
the ^ati++++=the
air ^nn++++=air
to ^in++++=to
the ^ati++++=the
deck ^nn++++=deck.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
is ^vbz+bez+aux++=is
heading ^vbg+++xvbgx+=heading
straight ^jj++++=straight
to ^in++++=to
leeward ^rb+cnj+++=leeward,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
Stubb ^np+++??+=Stubb,
, ^zz++++=EXTRAWORD
" ^zz++++="right
right ^jj++++=EXTRAWORD
away ^in+pl+++=away
from ^in"++++=from
us ^pp1o+pp1+++=us;
; ^zz++++=EXTRAWORD
cannot ^md+pos+not++=cannot
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
the ^ati++++=the
ship ^nn++++=ship
yet ^rb++++=yet."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Be
be ^vb+be+vrb++=EXTRAWORD
dumb ^jj+pred+++=dumb,
, ^zz++++=EXTRAWORD
man ^nn++++=man!
! ^zz++++=EXTRAWORD
Stand ^vb++++=Stand
by ^in++++=by
the ^ati++++=the
braces ^nns++++=braces!
! ^zz++++=EXTRAWORD
Hard ^jj++++=Hard
down ^rp++++=down
the ^ati++++=the
helm ^np++++=helm!
! ^zz++++=EXTRAWORD
brace ^nn++++=brace
up ^rp++++=up!
! ^zz++++=EXTRAWORD
Shiver ^vb++++=Shiver
her ^pp$+pp3+++=her!
! ^zz++++=EXTRAWORD
shiver ^vb++++=shiver
her ^pp$+pp3+++=her!
! ^zz++++=EXTRAWORD
So ^ql++++=So;
; ^zz++++=EXTRAWORD
well ^rb+dspt+++=well
that ^dt+pdem+++=that!
! ^zz++++=EXTRAWORD
Boats ^nns++++=Boats,
, ^zz++++=EXTRAWORD
boats ^nns++++=boats!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Soon ^rb+tm+++=Soon
all ^rb++++=all
the ^ati++++=the
boats ^nns++++=boats
but ^cc++++=but
Starbuck ^np++++=Starbuck's
's ^$++++=EXTRAWORD
were ^vbd+bed+aux++=were
dropped ^vpsv++agls+xvbnx+=dropped;
; ^zz++++=EXTRAWORD
all ^abn++++=all
the ^ati++++=the
boat ^nn++++=boat-sails
- ^zz++++=EXTRAWORD
sails ^vbz++++=EXTRAWORD
set ^vbd+++xvbn+=set
all ^abn++++=all
the ^ati++++=the
paddles ^nns++++=paddles
plying ^vwbg+++xvbg+=plying;
; ^zz++++=EXTRAWORD
with ^in++++=with
rippling ^nn+nom+++=rippling
swiftness ^nns+nom+++=swiftness,
, ^zz++++=EXTRAWORD
shooting ^vbg+++xvbg+=shooting
to ^in++++=to
leeward ^rb++++=leeward;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ahab ^np+++??+=Ahab
heading ^vwbg+++xvbg+=heading
the ^ati++++=the
onset ^nn++++=onset.
. ^zz++++=EXTRAWORD
A ^at++++=A
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
death ^nn++++=death-glimmer
- ^zz++++=EXTRAWORD
glimmer ^nn++++=EXTRAWORD
lit ^vbd+++xvbn+=lit
up ^rp++++=up
Fedallah ^np++++=Fedallah's
's ^$++++=EXTRAWORD
sunken ^jj+atrb+++=sunken
eyes ^nns++++=eyes;
; ^zz++++=EXTRAWORD
a ^at++++=a
hideous ^jj+atrb+++=hideous
motion ^nn++++=motion
gnawed ^vbd+++xvbn+=gnawed
his ^pp$+pp3+++=his
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
noiseless ^jj+atrb+++=noiseless
nautilus ^nns+++??+=nautilus
shells ^nps++++=shells,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
light ^jj+atrb+++=light
prows ^nns+++??+=prows
sped ^vbd+++xvbn+=sped
through ^in++++=through
the ^ati++++=the
sea ^nn++++=sea;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
only ^rb+down+++=only
slowly ^rb++++=slowly
they ^pp3a+pp3+++=they
neared ^vbd+++xvbnx+=neared
the ^ati++++=the
foe ^nn++++=foe.
. ^zz++++=EXTRAWORD
As ^ql++++=As
they ^pp3a+pp3+++=they
neared ^vbd+++xvbnx+=neared
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ocean ^nn++++=ocean
grew ^vbd+++xvbn+=grew
still ^jj+pred+++=still
more ^rbr++++=more
smooth ^jj++++=smooth;
; ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
drawing ^jj+++xvbg+=drawing
a ^at++++=a
carpet ^nn++++=carpet
over ^in++++=over
its ^pp$+it+++=its
waves ^nns++++=waves;
; ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
a ^at++++=a
noon ^nn++++=noon-meadow,
- ^zz++++=EXTRAWORD
meadow ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
so ^ql++++=so
serenely ^rb++++=serenely
it ^pp3+it+++=it
spread ^vbd+++xvbn+=spread.
. ^zz++++=EXTRAWORD
At ^rb++++=At
length ^rb"++++=length
the ^ati++++=the
