It ^pp3+it+++=It's
in ^in++++=in
a ^at++++=a
jiffy ^nn++++=jiffy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thin ^jj++++=thin
she ^pp3a+pp3+++=she
threw ^vbd+++xvbnx+=threw
open ^jj++++=open
her ^pp3o+pp3+++=her
two ^cd++++=two
peepers ^nns+nom+++=peepers
to ^in++++=to
the ^ati++++=the
itmost ^nn+++??+=itmost,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thin ^jj++++=thin
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
gould ^np++++=gould
spy ^nn++++=spy-glass
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
clapped ^vbd+++xvbnx+=clapped
tight ^jj++++=tight
to ^to++++=to
one ^pn++++=one
of ^in++++0=o'
them ^pp3o+pp3+++=them
and ^cc++++=and
divil ^nn+++??+=divil
may ^md+pos+++=may
burn ^vb++++=burn
me ^pp1o+pp1+++=me
if ^cs+cnd+++=if
it ^pp3+it+++=it
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
spake ^nn+++??+=spake
to ^in++++=to
me ^pp1o+pp1+++=me
as ^ql++++=as
plain ^nn++++=plain
as ^ql++++=as
a ^at++++=a
peeper ^jjr+atrb+++=peeper
cud ^nn++++=cud
spake ^nn+++??+=spake,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
says ^vbz+vpub+++=says
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
through ^in++++=through
the ^ati++++=the
spy ^nn++++=spy-glass:
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
: ^zz++++=EXTRAWORD
" ^zz++++="Och!
och ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
the ^ati++++=the
tip ^nn++++=tip
of ^in++++0=o'
the ^ati++++=the
mornin ^nn+++??+=mornin'
' ^zz++++=EXTRAWORD
to ^in++++=to
ye ^pp2+pp2+++=ye,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Pathrick ^np+++??+=Pathrick
O ^zz++++=O'Grandison,
'grandison, ^nn+++??+=EXTRAWORD
Barronitt ^np+++??+=Barronitt,
, ^zz++++=EXTRAWORD
mavourneen ^j+++xvbn+=mavourneen;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
nate ^nn++++=nate
gintleman ^jj++++=gintleman
that ^dt+dem+++=that
ye ^pp2+pp2+++=ye
are ^vb+ber+vrb++=are,
, ^zz++++=EXTRAWORD
sure ^jj++++=sure
enough ^dt++++=enough,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
mesilf ^nn+++??+=mesilf
and ^cc++++=and
me ^pp1o+pp1+++=me
forten ^vbd+++xvbn+=forten
jist ^nn++++=jist
that ^tht+rel+subj++=that'll
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
at ^rb++++=at
yur ^nn+++??+=yur
sarvice ^nn+++??+=sarvice,
, ^zz++++=EXTRAWORD
dear ^jj++++=dear,
, ^zz++++=EXTRAWORD
inny ^nn+++??+=inny
time ^nn++++=time
of ^in++++0=o'
day ^nn++++=day
at ^rb++++=at
all ^abn++++=all
at ^rb++++=at
all ^abn++++=all
for ^in++++=for
the ^ati++++=the
asking ^nn++++=asking."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
it ^pp3+it+++=it's
's ^vbz+bez+aux++0=EXTRAWORD
not ^xnot++not++=not
mesilf ^vb+++??+=mesilf
ye ^pp2+pp2+++=ye
wud ^nn+++??+=wud
have ^md"++pmd"++=have
to ^md+nec+++=to
be ^vbi++vrb++=be
bate ^nn++++=bate
in ^in++++=in
the ^ati++++=the
purliteness ^nns+nom+++=purliteness;
; ^zz++++=EXTRAWORD
so ^ql++++=so
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
her ^pp$+pp3+++=her
a ^at++++=a
bow ^nn++++=bow
that ^tht+rel+++=that
wud ^nn+++??+=wud
ha ^uh++++=ha'
' ^zz++++=EXTRAWORD
broken ^vbd+++xvbn+=broken
yur ^nn+++??+=yur
heart ^nn++++=heart
altegither ^jjr++++=altegither
to ^in++++=to
behould ^nn+++??+=behould,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thin ^jj++++=thin
I ^pp1a+pp1+++=I
pulled ^vbd+++xvbnx+=pulled
aff ^nn+++??+=aff
me ^pp1o+pp1+++=me
hat ^nn++++=hat
with ^in++++=with
a ^at++++=a
flourish ^nn++++=flourish,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thin ^jj++++=thin
I ^pp1a+pp1+++=I
winked ^vbd+++xvbnx+=winked
at ^rb++++=at
her ^pp3o+pp3+++=her
hard ^jj++++=hard
wid ^in++++=wid
both ^abx++++=both
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
as ^ql++++=as
much ^ap++++=much
as ^in++++=as
to ^in"++++=to
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="True
true ^jj++++=EXTRAWORD
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
yer ^pp2+pp2+++=yer
a ^at++++=a
swate ^nn++++=swate
little ^ap++++=little
crature ^nn+++??+=crature,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Tracle ^np++++=Tracle,
, ^zz++++=EXTRAWORD
me ^pp1o+pp1+++=me
darlint ^vbd+++xvbn+=darlint,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
wish ^vb+vprv+tht0++=wish
I ^pp1a+pp1+++=I
may ^md+pos+++=may
be ^vb+be+aux++=be
drownthed ^vpsv++agls+xvbnx+=drownthed
dead ^jj++++=dead
in ^in++++=in
a ^at++++=a
bog ^nn++++=bog,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
mesilf ^nn+++??+=mesilf,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Pathrick ^np+++??+=Pathrick
O ^zz++++=O'Grandison,
'grandison, ^nn+++??+=EXTRAWORD
Barronitt ^np+++??+=Barronitt,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that'll
'll ^md+prd+++0=EXTRAWORD
make ^vb++++=make
a ^at++++=a
houl ^nn+++??+=houl
bushel ^nn+++??+=bushel
of ^in++++0=o'
love ^vb++++=love
to ^to+vcmp+++=to
yur ^vb+++??+=yur
leddyship ^nn+nom+++=leddyship,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
twinkling ^nn++++=twinkling
of ^in++++0=o'
the ^ati++++=the
eye ^nn++++=eye
of ^in++++=of
a ^at++++=a
Londonderry ^np+++??+=Londonderry
purraty ^nn+++??+=purraty."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
nixt ^nn+++??+=nixt
mornin ^nn+++??+=mornin',
', ^nn+++??+=EXTRAWORD
sure ^jj++++=sure,
, ^zz++++=EXTRAWORD
jist ^nn++++=jist
as ^ql++++=as
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
making ^vbg+++xvbgx+=making
up ^rp++++=up
me ^pp1o+pp1+++=me
mind ^nn++++=mind
whither ^jjr++++=whither
it ^pp3+it+++=it
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
the ^ati++++=the
purlite ^nn++++=purlite
thing ^nn++++=thing
to ^in++++=to
sind ^nn+++??+=sind
a ^at++++=a
bit ^nn++++=bit
of ^in++++0=o'
writin ^nn+++??+=writin'
' ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
widdy ^nn+++??+=widdy
by ^in++++=by
way ^in"++++=way
of ^in"++++=of
a ^at++++=a
love ^nn++++=love-litter,
- ^zz++++=EXTRAWORD
litter ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
up ^rp++++=up
com ^nn+++??+=com'd
'd ^md+prd+vrb++0=EXTRAWORD
the ^ati++++=the
delivery ^nn+nom+++=delivery
servant ^nn+nom+++=servant
wid ^in++++=wid
an ^at++++=an
illigant ^jj+atrb+++=illigant
card ^nn++++=card,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
tould ^nn+++??+=tould
me ^pp1o+pp1+++=me
that ^cs+sub+++=that
the ^ati++++=the
name ^nn++++=name
on ^in++++=on
it ^pp3+it+++=it
( ^zz++++=(for
for ^in++++=EXTRAWORD
I ^pp1a+pp1+++=I
niver ^jjr++++=niver
could ^md+pos+++=could
rade ^vb+++??+=rade
the ^ati++++=the
copperplate ^nn+nom+++=copperplate
printin ^nn+++??+=printin
on ^in++++=on
account ^nn++++=account
of ^in++++=of
being ^xvbg+++xvbg+=being
lift ^nn++++=lift
handed ^vbd+++xvbn+=handed)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
all ^abn++++=all
about ^in++++=about
Mounseer ^np+nom++??+=Mounseer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Count ^nn++++=Count,
, ^zz++++=EXTRAWORD
A ^at++++=A
Goose ^nn++++=Goose,
, ^zz++++=EXTRAWORD
Look ^vb++++=Look
- ^zz++++=-aisy,
aisy ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Maiter ^np+++??+=Maiter-di-dauns,
- ^zz++++=EXTRAWORD
di ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
dauns ^nns+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
houl ^nn+++??+=houl
of ^in++++=of
the ^ati++++=the
divilish ^jj+atrb+++=divilish
lingo ^nn+++??+=lingo
was ^vbd+bedz+vrb++=was
the ^ati++++=the
spalpeeny ^nn+++??+=spalpeeny
long ^rb++++=long
name ^nn++++=name
of ^in++++=of
the ^ati++++=the
little ^jj+atrb+++=little
ould ^np++++=ould
furrener ^jjr++++=furrener
Frinchman ^np+nom++??+=Frinchman
as ^in++++=as
lived ^nn++++=lived
over ^in++++=over
the ^ati++++=the
way ^nn++++=way.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
jist ^nn++++=jist
wid ^in++++=wid
that ^dt+dem+++=that
in ^in++++=in
cum ^&fw++++=cum'd
'd ^md+prd+vrb++0=EXTRAWORD
the ^ati++++=the
little ^ap++++=little
willian ^jj++++=willian
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
me ^pp1o+pp1+++=me
a ^at++++=a
broth ^nn++++=broth
of ^in++++=of
a ^at++++=a
bow ^nn++++=bow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thin ^jj++++=thin
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
ounly ^jj++++=ounly
taken ^jj+++xvbn+=taken
the ^ati++++=the
liberty ^nn++++=liberty
of ^in++++=of
doing ^xvbg+++xvbg+=doing
me ^pp1o+pp1+++=me
the ^ati++++=the
honor ^nn++++=honor
of ^in++++=of
the ^ati++++=the
giving ^jj+++xvbg+=giving
me ^pp1o+pp1+++=me
a ^at++++=a
call ^nn++++=call,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thin ^jj++++=thin
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
on ^in+cmpx+++=on
to ^in++++=to
palaver ^nn++++=palaver
at ^in++++=at
a ^at++++=a
great ^jj+atrb+++=great
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
divil ^nn+++??+=divil
the ^ati++++=the
bit ^nn++++=bit
did ^vbd+dod+vrb++=did
I ^pp1a+pp1+++=I
comprehind ^nn+++??+=comprehind
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
wud ^nn+++??+=wud
be ^vb+be+vrb++=be
afther ^jjr+pred+++=afther
the ^ati++++=the
tilling ^nn+nom+++=tilling
me ^pp1o+pp1+++=me
at ^rb++++=at
all ^abn++++=all
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
excipting ^jj+++xvbg+=excipting
and ^cc+phrs+++=and
saving ^jj+++xvbg+=saving
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
" ^zz++++="pully
pully ^jj+atrb+++=EXTRAWORD
wou ^nn+++??+=wou,
, ^zz++++=EXTRAWORD
woolly ^jj+atrb+++=woolly
wou ^nn+++??+=wou,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
tould ^nn+++??+=tould
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
among ^in++++=among
a ^at++++=a
bushel ^nn+++??+=bushel
of ^in++++0=o'
lies ^nns++++=lies,
, ^zz++++=EXTRAWORD
bad ^jj+atrb+++=bad
luck ^nn++++=luck
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
mad ^jj+pred+++=mad
for ^in++++=for
the ^ati++++=the
love ^nn++++=love
of ^in++++0=o'
my ^pp$+pp1+++=my
widdy ^nn+++??+=widdy
Misthress ^nns+nom++??+=Misthress
Tracle ^np+++??+=Tracle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
widdy ^nn+++??+=widdy
Mrs ^npt++++=Mrs.
