His ^pp$+pp3+++=His
I ^pp1a+pp1+++=I
a ^at++++=a
scamp ^nn+++??+=scamp.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
man ^nn++++=man
of ^in++++=of
clean ^jj+atrb+++=clean
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
my ^pp$+pp1+++=my
words ^nns++++=words
are ^vb+ber+vrb++=are
true ^jj+pred+++=true.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
knew ^vbd+vprv+tht0+xvbnx+=knew
this ^dt+pdem+++=this
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
Police ^nns++++=Police.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
said ^vbd+vpub++xvbnx+=said:
: ^zz++++=EXTRAWORD
' ^zz++++='Afzal
afzal ^jj+atrb+++=EXTRAWORD
Khan ^npt++++=Khan
is ^vbz+bez+vrb++=is
a ^at++++=a
true ^jj+atrb+++=true
speaker ^nn++++=speaker
in ^in++++=in
whose ^whp+rel+pied++=whose
words ^nns++++=words
men ^nns++++=men
may ^md+pos+++=may
trust ^vb+vprv+++=trust.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
a ^at++++=a
Delhi ^np++++=Delhi
Pathan ^np+++??+=Pathan,
, ^zz++++=EXTRAWORD
Sahib ^np+++??+=Sahib--all
-- ^--+clp+++=EXTRAWORD
all ^abn++++=EXTRAWORD
Delhi ^np++++=Delhi
Pathans ^nns+nom++??+=Pathans
are ^vb+ber+vrb++=are
good ^jj+atrb+++=good
men ^nns++++=men.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
Delhi ^np++++=Delhi?
? ^zz++++=EXTRAWORD
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true
that ^tht+jcmp+++=that
there ^ex+pex+++=there
be ^vb+be+vrb++=be
many ^ap++++=many
scamps ^nns+++??+=scamps
among ^in++++=among
the ^ati++++=the
Delhi ^np++++=Delhi
Pathans ^nns+nom++??+=Pathans.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
wise ^jj++++=wise
is ^vbz+bez+vrb++=is
the ^ati++++=the
Sahib ^np+++??+=Sahib!
! ^zz++++=EXTRAWORD
Nothing ^pn++++=Nothing
is ^vbz+bez+aux++=is
hid ^vpsv++agls+xvbnx+=hid
from ^in++++=from
his ^pp$+pp3+++=his
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
will ^md+prd+++=will
make ^vb++++=make
me ^pp1o+pp1+++=me
his ^pp$+pp3+++=his
messenger ^nn+nom+++=messenger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
will ^md+prd+++=will
take ^vb++++=take
all ^abn++++=all
his ^pp$+pp3+++=his
notes ^nns++++=notes
secretly ^rb++++=secretly
and ^cc++++=and
without ^in++++=without
ostentation ^nn+nom+++=ostentation.
. ^zz++++=EXTRAWORD
Nay ^uh++++=Nay,
, ^zz++++=EXTRAWORD
Sahib ^np+++??+=Sahib,
, ^zz++++=EXTRAWORD
God ^np++++=God
is ^vbz+bez+aux++=is
my ^pp$+pp1+++=my
witness ^nns+nom+++=witness
that ^dt+dem+++=that
I ^pp1a+pp1+++=I
meant ^vbd+vprv++xvbnx+=meant
no ^at++++=no
evil ^nn++++=evil.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
long ^jj++++=long
desired ^vb+++xvbn+=desired
to ^to+vcmp+++=to
serve ^vbi++++=serve
under ^in++++=under
a ^at++++=a
true ^jj+atrb+++=true
Sahib ^np+++??+=Sahib--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
virtuous ^jj+atrb+++=virtuous
Sahib ^np+++??+=Sahib.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
young ^jj+atrb+++=young
Sahibs ^np+++??+=Sahibs
are ^vb+ber+vrb++=are
as ^ql++++=as
devils ^nns++++=devils
unchained ^vbd+++xvbn+=unchained.
. ^zz++++=EXTRAWORD
With ^in++++=With
these ^dt+dem+++=these
Sahibs ^np+++??+=Sahibs
I ^pp1a+pp1+++=I
would ^md+prd+++=would
take ^vb++++=take
no ^at++++=no
service ^nn++++=service--not
-- ^--+clp+++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
though ^cs+sub+++=though
all ^abn++++=all
the ^ati++++=the
stomachs ^nns++++=stomachs
of ^in++++=of
my ^pp$+pp1+++=my
little ^jj+atrb+++=little
children ^nns++++=children
were ^vbd+bed+aux++=were
crying ^vbg+++xvbgx+=crying
for ^in++++=for
bread ^nn++++=bread.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
am ^vb+bem+vrb++=am
I ^pp1a+pp1+++=I
not ^xnot++not++=not
still ^jj+pred+++=still
in ^in++++=in
the ^ati++++=the
Police ^nns++++=Police?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
speak ^vb++++=speak
true ^jj+atrb+++=true
talk ^nn++++=talk.
. ^zz++++=EXTRAWORD
An ^at++++=An
evil ^nn++++=evil
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
Thana ^np+++??+=Thana--to
-- ^--+clp+++=EXTRAWORD
to ^to++++=EXTRAWORD
Ram ^vbi++++=Ram
Baksh ^np+++??+=Baksh,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Havildar ^np+++??+=Havildar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Maula ^np+++??+=Maula
Baksh ^np+++??+=Baksh,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Juggut ^np+++??+=Juggut
Ram ^vb++++=Ram
and ^cc++++=and
Bhim ^np+++??+=Bhim
Singh ^np++++=Singh
and ^cc++++=and
Suruj ^np+++??+=Suruj
Bul ^np+++??+=Bul.
. ^zz++++=EXTRAWORD
Ram ^vb++++=Ram
Baksh ^np+++??+=Baksh
is ^vbz+bez+vrb++=is
in ^in++++=in
the ^ati++++=the
jail ^nn++++=jail
for ^in++++=for
a ^at++++=a
space ^nn++++=space,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb++++=so
also ^rb++++=also
is ^vbz+bez+vrb++=is
Maula ^np+++??+=Maula
Baksh ^np+++??+=Baksh.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
at ^rb++++=at
the ^ati++++=the
Thana ^np+++??+=Thana
of ^in++++=of
Howli ^np+++??+=Howli,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
road ^npl++++=road
that ^tht+rel+subj++=that
leads ^vbz++++=leads
to ^in++++=to
Gokral ^np+++??+=Gokral-Seetarun
- ^zz++++=EXTRAWORD
seetarun ^nn+++??+=EXTRAWORD
wherein ^wrb+who+++=wherein
are ^vb+ber+vrb++=are
many ^ap++++=many
dacoits ^nns+++??+=dacoits.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+vrb++=were
all ^abn++++=all
brave ^jj+atrb+++=brave
men ^nns++++=men--Rustums.
-- ^--+clp+++=EXTRAWORD
rustums ^nns+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Wherefore ^np+++??+=Wherefore
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
sent ^vpsv++agls+xvbnx+=sent
to ^in++++=to
that ^dt+dem+++=that
Thana ^np+++??+=Thana
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
eight ^cd++++=eight
miles ^nns++++=miles
from ^in++++=from
the ^ati++++=the
next ^ap++++=next
Thana ^np+++??+=Thana.
. ^zz++++=EXTRAWORD
All ^abn++++=All
day ^nn++++=day
and ^cc++++=and
all ^rb++++=all
night ^nn++++=night
we ^pp1a+pp1+++=we
watched ^vbd+++xvbn+=watched
for ^in+ppvb+++=for
dacoits ^nns+++??+=dacoits.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
does ^vbz+doz+aux++=does
the ^ati++++=the
Sahib ^np+++??+=Sahib
laugh ^nn++++=laugh?
? ^zz++++=EXTRAWORD
Nay ^uh++++=Nay,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
make ^vb++++=make
a ^at++++=a
confession ^nn++++=confession.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dacoits ^nns+++??+=dacoits
were ^vbd+bed+vrb++=were
too ^ql++++=too
clever ^jj++++=clever,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
seeing ^vbg+vprv+tht0+xvbg+=seeing
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
made ^vbd+++xvbn+=made
no ^at++++=no
further ^jjb+atrb+++=further
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
hot ^jj+atrb+++=hot
weather ^nn++++=weather.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
can ^md+pos+++=can
a ^at++++=a
man ^nn++++=man
do ^vb+do+vrb++=do
in ^in++++=in
the ^ati++++=the
hot ^jj+atrb+++=hot
days ^nns++++=days?
? ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
the ^ati++++=the
Sahib ^np+++??+=Sahib
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
strong ^jj++++=strong--is
-- ^--+clp+++=EXTRAWORD
is ^vbz+bez+vrb++=EXTRAWORD
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
even ^rb+cnj+++=even,
, ^zz++++=EXTRAWORD
vigorous ^jj++++=vigorous
in ^cs+sub+++=in
that ^cs"++++=that
hour ^nn++++=hour?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
made ^vbd+++xvbn+=made
an ^at++++=an
arrangement ^nn+nom+++=arrangement
with ^in++++=with
the ^ati++++=the
dacoits ^nns+++??+=dacoits
for ^in+cmpx+++=for
the ^in"++++=the
sake ^in"++++=sake
of ^in"++++=of
peace ^nn++++=peace.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
the ^ati++++=the
work ^nn++++=work
of ^in++++=of
the ^ati++++=the
Havildar ^np+++??+=Havildar
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
fat ^nn++++=fat.
. ^zz++++=EXTRAWORD
Ho ^uh++++=Ho!
! ^zz++++=EXTRAWORD
Ho ^uh++++=Ho!
! ^zz++++=EXTRAWORD
Sahib ^np+++??+=Sahib,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
is ^vbz+bez+aux++=is
now ^rn+tm+splt++=now
getting ^vbg+++xvbgx+=getting
thin ^jj++++=thin
in ^in++++=in
the ^ati++++=the
jail ^nn++++=jail
among ^in++++=among
the ^ati++++=the
carpets ^nns++++=carpets.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Havildar ^np+++??+=Havildar
said ^vbd+vpub++xvbn+=said:'
: ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Give ^vb++++=Give
us ^pp1o+pp1+++=us
no ^at++++=no
trouble ^nn++++=trouble,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
will ^md+prd+++=will
give ^vb++++=give
you ^pp2+pp2+++=you
no ^at++++=no
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
reaping ^nn++++=reaping
send ^vb++++=send
us ^pp1o+pp1+++=us
a ^at++++=a
man ^nn++++=man
to ^to++++=to
lead ^vbi++++=lead
before ^in++++=before
the ^ati++++=the
judge ^nn++++=judge,
, ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
of ^in++++=of
infirm ^jj+atrb+++=infirm
mind ^nn++++=mind
against ^in++++=against
whom ^whp+rel+pied++=whom
the ^ati++++=the
trumped ^jj+++xvbn+=trumped-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
case ^nn++++=case
will ^md+prd+++=will
break ^vb++++=break
down ^rp++++=down,
, ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
we ^pp1a+pp1+++=we
shall ^md+prd+++=shall
save ^vb++++=save
our ^pp$+pp1+++=our
honour ^nn++++=honour.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
To ^in++++=To
this ^dt+dem+++=this
talk ^nn++++=talk
the ^ati++++=the
dacoits ^nn++++=dacoits
agreed ^vbd+vpub++xvbn+=agreed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
no ^at++++=no
trouble ^nn++++=trouble
at ^in++++=at
the ^ati++++=the
Thana ^np+++??+=Thana,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
could ^md+pos+++=could
eat ^vb++++=eat
melons ^nns++++=melons
in ^in++++=in
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
upon ^in++++=upon
our ^pp$+pp1+++=our
charpoys ^nns+++??+=charpoys
all ^abn++++=all
day ^nn++++=day
long ^rb++++=long.
. ^zz++++=EXTRAWORD
Sweet ^jj++++=Sweet
as ^ql++++=as
sugar ^nn++++=sugar-cane
- ^zz++++=EXTRAWORD
cane ^nn++++=EXTRAWORD
are ^vb+ber+vrb++=are
the ^ati++++=the
melons ^nns++++=melons
of ^in++++=of
Howli ^np+++??+=Howli.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
an ^at++++=an
assistant ^nn+nom+++=assistant
commissioner ^npt+nom+++=commissioner--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
Stunt ^nn++++=Stunt
Sahib ^np+++??+=Sahib,
, ^zz++++=EXTRAWORD
in ^cs+sub+++=in
that ^cs"++++=that
district ^nn++++=district,
, ^zz++++=EXTRAWORD
called ^j+++xvbn+=called
Yunkum ^np+++??+=Yunkum
Sahib ^np+++??+=Sahib.
. ^zz++++=EXTRAWORD
Aha ^np+++??+=Aha!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
hard ^jj+pred+++=hard-hard
- ^zz++++=EXTRAWORD
hard ^jj++++=EXTRAWORD
even ^rb++++=even
as ^ql++++=as
is ^vbz+bez+vrb++=is
the ^ati++++=the
Sahib ^np+++??+=Sahib
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
without ^in++++=without
doubt ^nn++++=doubt,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
give ^vb++++=give
me ^pp1o+pp1+++=me
the ^ati++++=the
shadow ^nn++++=shadow
of ^in++++=of
his ^pp$+pp3+++=his
protection ^nn+nom+++=protection.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
eyes ^nns++++=eyes
had ^vb+hv+vrb++=had
Yunkum ^np+++??+=Yunkum
Sahib ^np+++??+=Sahib,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
moved ^vbd+++xvbn+=moved
quickly ^rb++++=quickly
through ^in++++=through
his ^pp$+pp3+++=his
district ^nn++++=district.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him
The ^ati++++=The
Tiger ^nn++++=Tiger
of ^in++++=of
Gokral ^np+++??+=Gokral-Seetarun,
- ^zz++++=EXTRAWORD
seetarun ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
would ^md+prd+++=would
arrive ^vb++++=arrive
unannounced ^jj++++=unannounced
and ^cc++++=and
make ^vb++++=make
his ^pp$+pp3+++=his
kill ^nn++++=kill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
before ^in++++=before
sunset ^nn++++=sunset,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+aux++=be
giving ^vbg+++xvbgx+=giving
trouble ^nn++++=trouble
to ^in++++=to
the ^ati++++=the
Tehsildars ^np+++??+=Tehsildars
thirty ^cd++++=thirty
miles ^nns++++=miles
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^cd1++++=one
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
comings ^nns+++??+=comings
or ^cc++++=or
the ^ati++++=the
goings ^nns+++??+=goings
of ^in++++=of
Yunkum ^np+++??+=Yunkum
Sahib ^np+++??+=Sahib.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
no ^at++++=no
camp ^nn++++=camp,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
his ^pp$+pp3+++=his
horse ^nn++++=horse
was ^vbd+bedz+vrb++=was
weary ^jj+pred+++=weary
he ^pp3a+pp3+++=he
rode ^vbd+++xvbnx+=rode
upon ^in++++=upon
a ^at++++=a
devil ^nn++++=devil-carriage.
- ^zz++++=EXTRAWORD
carriage ^nn+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
its ^pp$+it+++=its
name ^nn++++=name,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
Sahib ^np+++??+=Sahib
sat ^vbd+++xvbn+=sat
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
three ^cd++++=three
silver ^nn++++=silver
wheels ^nns++++=wheels
that ^tht+rel+subj++=that
made ^vprf+++xvbn+=made
no ^at++++=no
creaking ^jj++++=creaking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
drave ^nn+++??+=drave
them ^pp3o+pp3+++=them
with ^in++++=with
his ^pp$+pp3+++=his
legs ^nns++++=legs,
, ^zz++++=EXTRAWORD
prancing ^jj++++=prancing
like ^in++++=like
a ^at++++=a
bean ^nn++++=bean-fed
- ^zz++++=EXTRAWORD
fed ^vbd+++xvbn+=EXTRAWORD
horse ^nn++++=horse--thus.
-- ^--+clp+++=EXTRAWORD
thus ^rb+cnj+++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A
shadow ^nn++++=shadow
of ^in++++=of
a ^at++++=a
hawk ^nn+++??+=hawk
upon ^in++++=upon
the ^ati++++=the
fields ^nns++++=fields
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
more ^rbr++++=more
without ^in++++=without
noise ^nn++++=noise
than ^in++++=than
the ^ati++++=the
devil ^nn++++=devil-carriage
- ^zz++++=EXTRAWORD
carriage ^nn+nom+++=EXTRAWORD
of ^in++++=of
Yunkum ^np+++??+=Yunkum
Sahib ^np+++??+=Sahib.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
here ^rn+pl+++=here:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
there ^rn+pl+++=there:
: ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone:
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
rapport ^nn+++??+=rapport
was ^vbd+bedz+aux++=was
made ^vpsv++agls+xvbnx+=made,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
trouble ^nn++++=trouble.
. ^zz++++=EXTRAWORD
Ask ^vb++++=Ask
the ^ati++++=the
Tehsildar ^np+++??+=Tehsildar
of ^in++++=of
Rohestri ^np+++??+=Rohestri
how ^wrb+who+++=how
the ^ati++++=the
hen ^nn++++=hen-stealing
- ^zz++++=EXTRAWORD
stealing ^xvbg+++xvbg+=EXTRAWORD
came ^vbd+++xvbn+=came
to ^to++++=to
be ^vbi+vbi+aux++=be
known ^vpsv++agls+xvbnx+=known,
, ^zz++++=EXTRAWORD
Sahib ^np+++??+=Sahib.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
fell ^vbd+++xvbn+=fell
upon ^in++++=upon
a ^at++++=a
night ^nn++++=night
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
of ^in++++=of
the ^ati++++=the
Thana ^np+++??+=Thana
slept ^vbd+++xvbn+=slept
according ^in+cmpx+++=according
to ^in++++=to
custom ^nn++++=custom
upon ^in++++=upon
our ^pp$+pp1+++=our
charpoys ^nns+++??+=charpoys,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
eaten ^vbd+++xvbn+=eaten
the ^ati++++=the
evening ^nn++++=evening
meal ^nn++++=meal
and ^cc++++=and
drunk ^jj+atrb++xvbn+=drunk
tobacco ^nn++++=tobacco.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
awoke ^vbd+++xvbn+=awoke
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
behold ^vb++++=behold,
, ^zz++++=EXTRAWORD
of ^in++++=of
our ^pp$+pp1+++=our
six ^cd++++=six
rifles ^nns++++=rifles
not ^xnot++not++=not
one ^cd1++++=one
remained ^vbd+++xvbn+=remained!
! ^zz++++=EXTRAWORD
Also ^rb+cnj+++=Also,
, ^zz++++=EXTRAWORD
the ^ati++++=the
big ^jj+atrb+++=big
Police ^nns++++=Police-book
- ^zz++++=EXTRAWORD
book ^nn++++=EXTRAWORD
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
Havildar ^np++++=Havildar's
's ^$++++=EXTRAWORD
charge ^nn++++=charge
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
Seeing ^vbg+vprv++xvbg+=Seeing
these ^dt+dem+++=these
things ^nns++++=things,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+vrb++=were
very ^ql+amp+++=very
much ^ap++++=much
afraid ^jj++++=afraid,
, ^zz++++=EXTRAWORD
thinking ^nvbg+++xvbg+=thinking
on ^in++++=on
our ^pp$+pp1+++=our
parts ^nns++++=parts
that ^tht+rel+obj++=that
the ^ati++++=the
dacoits ^nns+++??+=dacoits,
, ^zz++++=EXTRAWORD
regardless ^rb++++=regardless
of ^in++++=of
honour ^nn++++=honour,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
by ^in++++=by
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
put ^vb+++xvbn+=put
us ^pp1o+pp1+++=us
to ^to++++=to
shame ^vbi++++=shame.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
said ^vbd+vpub++xvbn+=said
Ram ^vb++++=Ram
Baksh ^np+++??+=Baksh,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Havildar ^np+++??+=Havildar:'
: ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
Be ^vb+be+vrb++=Be
silent ^jj+pred+++=silent!
! ^zz++++=EXTRAWORD
The ^ati++++=The
business ^nns+nom+++=business
is ^vbz+bez+vrb++=is
an ^at++++=an
evil ^jj+atrb+++=evil
business ^nns+nom+++=business,
