Puppy ^np+++??+=PUPPY
all ^abn++++=all,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
their ^pp$+pp3+++=their
own ^ap++++=own
little ^ap++++=little
people ^nns++++=people!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
were ^vbd+bed+vrb++=were
just ^rb+emph+++=just
a ^at++++=a
caretaker ^nn+nom+++=caretaker.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
have ^md"++pmd"++=have
to ^md+nec+++=to
feel ^vb+vprv+++=feel
what ^wdt+who+whcl++=what
you ^pp2+pp2+++=you
felt ^vbd+vprv++xvbn+=felt;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
just ^rb+emph+++=just
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
supported ^vbd+++xvbn+=supported
in ^in++++=in
feeling ^xvbg+++xvbg+=feeling
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
felt ^vbd+vprv++xvbnx+=felt.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
wow ^nn++++=wow,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
cornfield ^nn+++??+=cornfield
was ^vbd+bedz+vrb++=was
such ^abl++++=such
a ^at++++=a
classic ^nn++++=classic.
. ^zz++++=EXTRAWORD
" ^zz++++="Whenever
whenever ^nn+nom+++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
a ^at++++=a
field ^nn++++=field
like ^in++++=like
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
guys ^nns++++=guys?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
somehow ^rb++++=somehow
think ^vb+vprv+++=think
of ^in++++=of
a ^at++++=a
haunted ^jj+++xvbn+=haunted
house ^npl++++=house!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Slicing
slicing ^vbg+++xvbg+=EXTRAWORD
Knife ^nn++++=Knife!
! ^zz++++=EXTRAWORD
Slicing ^vbg+++xvbg+=Slicing
Knife ^nn++++=Knife!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Josh ^np+++??+=Josh
shouted ^vbd+vpub++xvbn+=shouted.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
nimrod ^jj+atrb++??+=nimrod
machine ^nn++++=machine!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
chose ^vbd+++xvbnx+=chose
that ^dt+pdem+++=that!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Speaking ^vbg+++xvbg+=Speaking
of ^in++++=of
Halloween ^np+++??+=Halloween,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
remembered ^vbd+vprv++xvbnx+=remembered
last ^rb++++=last
year ^nn++++=year,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
their ^pp$+pp3+++=their
cornstalk ^nn+++??+=cornstalk
column ^nn++++=column
had ^vbd+hvd+aux++=had
tipped ^vprf+++xvbnx+=tipped
their ^pp$+pp3+++=their
shopping ^nvbg+++xvbg+=shopping
cart ^np++++=cart
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
Gosh ^np+++??+=Gosh,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
they ^pp3a+pp3+++=they'd
'd ^vbd+hvd+aux++0=EXTRAWORD
laughed ^vprf+++xvbnx+=laughed
at ^in+ppvb+++=at
that ^dt+pdem+++=that!
! ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
family ^nn++++=family
laughter ^nn+nom+++=laughter
was ^vbd+bedz+vrb++=was
golden ^jj+pred+++=golden;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^md+prd+aux++=EXTRAWORD
had ^vb+hv+vrb++=had
none ^pn++++=none
of ^in++++=of
that ^dt+dem+++=that
in ^in++++=in
her ^pp$+pp3+++=her
childhood ^nn+nom+++=childhood,
, ^zz++++=EXTRAWORD
Dad ^npt++++=Dad
being ^vwbg+beg++xvbg+=being
so ^ql++++=so
dour ^vb+++??+=dour
and ^cc++++=and
Mom ^np+++??+=Mom
so ^rb+emph+++=so
ashamed ^jj++++=ashamed.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
Mom ^np+++??+=Mom
and ^cc++++=and
Dad ^np++++=Dad's
's ^$++++=EXTRAWORD
cart ^np++++=cart
had ^vbd+hvd+aux++=had
tipped ^vprf+++xvbnx+=tipped,
, ^zz++++=EXTRAWORD
Dad ^npt++++=Dad
would ^md+prd+++=would
have ^vb+hv+aux++=have
given ^vprf+++xvbnx+=given
the ^ati++++=the
cart ^nn++++=cart
a ^at++++=a
despairing ^nn++++=despairing
kick ^vb++++=kick
and ^cc++++=and
Mom ^np+++??+=Mom
would ^md+prd+++=would
have ^vb+hv+aux++=have
stridden ^vprf+++xvbnx+=stridden
purposefully ^rb++++=purposefully
away ^rp+pl+++=away
to ^in++++=to
reapply ^jj++++=reapply
her ^pp3o+pp3+++=her
lipstick ^nn++++=lipstick,
, ^zz++++=EXTRAWORD
distancing ^jj+++xvbg+=distancing
herself ^ppl+pp3+++=herself
from ^in++++=from
Dad ^nn++++=Dad,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
Marie ^np++++=Marie,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
have ^vb+hv+aux++=have
nervously ^rb++splt++=nervously
taken ^vprf+++xvbnx+=taken
that ^dt+dem+++=that
horrid ^jj+atrb+++=horrid
plastic ^nn++++=plastic
army ^nn++++=army
man ^nn++++=man
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
named ^vprf+++xvbnx+=named
Brady ^np+++??+=Brady
into ^in++++=into
her ^pp$+pp3+++=her
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
family ^nn++++=family
laughter ^nn+nom+++=laughter
was ^vbd+bedz+aux++=was
encouraged ^vpsv++agls+xvbnx+=encouraged!
! ^zz++++=EXTRAWORD
Last ^rb++++=Last
night ^nn++++=night,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Josh ^np+++??+=Josh
had ^vbd+hvd+aux++=had
goosed ^vprf+++xvbnx+=goosed
her ^pp$+pp3+++=her
with ^in++++=with
his ^pp$+pp3+++=his
Game ^nn++++=Game
Boy ^nn++++=Boy,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
shot ^vprf+++xvbnx+=shot
a ^at++++=a
spray ^nn++++=spray
of ^in++++=of
toothpaste ^nn++++=toothpaste
across ^in+pl+++=across
the ^ati++++=the
mirror ^nn++++=mirror
and ^cc++++=and
they ^pp3a+pp3+++=they'd
'd ^md+prd+vrb++0=EXTRAWORD
all ^abn++++=all
cracked ^jj+++xvbn+=cracked
up ^rp++++=up,
, ^zz++++=EXTRAWORD
rolling ^vbg+nom++xvbg+=rolling
around ^rp++++=around
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor
with ^in++++=with
Goochie ^np+++??+=Goochie,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Josh ^np+++??+=Josh
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said,
, ^zz++++=EXTRAWORD
such ^abl++++=such
nostalgia ^nn++++=nostalgia
in ^in++++=in
his ^pp$+pp3+++=his
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
" ^zz++++="Mom,
mom ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
remember ^nn+nom+++=remember
when ^wrb+who+++=when
Goochie ^np+++??+=Goochie
was ^vbd+bedz+vrb++=was
a ^at++++=a
puppy ^nn+++??+=puppy?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Which ^wdt+who+whq++=Which
was ^vbd+bedz+aux++=was
when ^wrb+who+++=when
Abbie ^np+++??+=Abbie
had ^vbd+hvd+aux++=had
burst ^vprf+++xvbnx+=burst
into ^in+ppvb+++=into
tears ^nns++++=tears,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
only ^rb+down+++=only
five ^cd++++=five,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
no ^at++++=no
memory ^nn++++=memory
of ^in++++=of
Goochie ^np+++??+=Goochie
as ^in++++=as
a ^at++++=a
puppy ^nn+++??+=puppy.
. ^zz++++=EXTRAWORD
Hence ^rb+cnj+++=Hence
this ^dt+dem+++=this
Family ^nn++++=Family
Mission ^nn++++=Mission.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
Robert ^np++++=Robert?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
God ^np++++=God
bless ^vb++++=bless
Robert ^np++++=Robert!
! ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=would
have ^vb+hv+vrb++=have
no ^at++++=no
problem ^nn++++=problem
whatsoever ^nn+nom+++=whatsoever
with ^in++++=with
this ^dt+dem+++=this
Family ^nn++++=Family
Mission ^nn++++=Mission.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
loved ^vbd+++xvbnx+=loved
the ^ati++++=the
way ^nn++++=way
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
of ^in++++=of
saying ^xvbg+++xvbg+=saying
" ^zz++++="Ho
ho ^uh++++=EXTRAWORD
Ho ^uh++++=HO!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
whenever ^nn+nom+++=whenever
she ^pp3a+pp3+++=she
brought ^vbd+++xvbnx+=brought
home ^nr++++=home
something ^pn++++=something
new ^jj++++=new
and ^cc+phrs+++=and
unexpected ^jj++++=unexpected.
. ^zz++++=EXTRAWORD
" ^zz++++="Ho
ho ^uh++++=EXTRAWORD
Ho ^uh++++=HO!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Robert ^np++++=Robert
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said,
, ^zz++++=EXTRAWORD
coming ^vbg+++xvbg+=coming
home ^nr++++=home
to ^to++++=to
find ^vbi+vprv+++=find
the ^ati++++=the
iguana ^nn+++??+=iguana.
. ^zz++++=EXTRAWORD
" ^zz++++="Ho
ho ^uh++++=EXTRAWORD
Ho ^uh++++=HO!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
said ^vprf+++xvbnx+=said,
, ^zz++++=EXTRAWORD
coming ^vbg+++xvbg+=coming
home ^nr++++=home
to ^to++++=to
find ^vbi+vprv+++=find
the ^ati++++=the
ferret ^nn+++??+=ferret
trying ^vb+++xvbg+=trying
to ^to+vcmp+++=to
get ^vbi++++=get
into ^in+ppvb+++=into
the ^ati++++=the
iguana ^nn+++??+=iguana
cage ^nn++++=cage.
. ^zz++++=EXTRAWORD
" ^zz++++="We
we ^pp1a+pp1+++=EXTRAWORD
appear ^vb+seem+++=appear
to ^to+vcmp+++=to
be ^vbi++vrb++=be
the ^ati++++=the
happy ^jj+atrb+++=happy
operators ^nns++++=operators
of ^in++++=of
a ^at++++=a
menagerie ^nn++++=menagerie!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
loved ^vbd+++xvbnx+=loved
him ^pp3o+pp3+++=him
for ^in++++=for
his ^pp$+pp3+++=his
playfulness ^nns+nom+++=playfulness
you ^pp2+pp2+++=you
could ^md+pos+++=could
bring ^vb++++=bring
home ^nr++++=home
a ^at++++=a
hippo ^nn+++??+=hippo
you ^pp2+pp2+++=you'd
'd ^vbd+hvd+aux++0=EXTRAWORD
put ^vprf+++xvbnx+=put
on ^rb+phrv+++=on
a ^at++++=a
credit ^nn++++=credit
card ^nn++++=card
( ^zz++++=(both
both ^abx++++=EXTRAWORD
the ^ati++++=the
ferret ^nn+++??+=ferret
and ^cc++++=and
the ^ati++++=the
iguana ^nn+++??+=iguana
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
on ^in++++=on
credit ^nn++++=credit
cards ^nns++++=cards)
) ^zz++++=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
just ^rb+emph+splt++=just
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
" ^zz++++="Ho
ho ^uh++++=EXTRAWORD
Ho ^uh++++=HO!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
ask ^vb++++=ask
what ^wdt+who+++=what
the ^ati++++=the
creature ^nn++++=creature
ate ^vbd+++xvbn+=ate
and ^cc+cls+++=and
what ^wdt+who+++=what
hours ^nns++++=hours
it ^pp3+it+++=it
slept ^vbd+++xvbn+=slept
and ^cc+cls+++=and
what ^wdt+who+++=what
the ^ati++++=the
heck ^nn++++=heck
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
going ^vbg+++xvbgx+=going
to ^in++++=to
name ^nn++++=name
the ^ati++++=the
little ^rb++++=little
bugger ^jjr++++=bugger.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
backseat ^nn+++??+=backseat,
, ^zz++++=EXTRAWORD
Josh ^np+++??+=Josh
made ^vbd+++xvbn+=made
the ^ati++++=the
git ^np++++=git-git-git
- ^zz++++=EXTRAWORD
git ^np++++=EXTRAWORD
- ^zz++++=EXTRAWORD
git ^np++++=EXTRAWORD
sound ^nn++++=sound
he ^pp3a+pp3+++=he
always ^rb++++=always
made ^vbd+++xvbn+=made
when ^wrb+who+++=when
his ^pp$+pp3+++=his
Baker ^nn++++=Baker
was ^vbd+bedz+vrb++=was
in ^in++++=in
Baking ^nn++++=Baking
Mode ^nn++++=Mode,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
get ^vbi++++=get
his ^pp$+pp3+++=his
Loaves ^nns++++=Loaves
into ^in++++=into
the ^ati++++=the
oven ^nn++++=oven
while ^cs+sub+++=while
fighting ^nvbg+++xvbg+=fighting
off ^in+pl+++=off
various ^jj+atrb+++=various
Hungry ^jj+atrb+++=Hungry
Denizens ^np+++??+=Denizens,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
a ^at++++=a
Fox ^nn++++=Fox
with ^in++++=with
a ^at++++=a
distended ^jj+atrb++xvbn+=distended
stomach ^nn++++=stomach;
; ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
a ^at++++=a
fey ^nn+++??+=fey
Robin ^np++++=Robin
that ^tht+rel+subj++=that
would ^md+prd+++=would
improbably ^rb++splt++=improbably
carry ^vb++++=carry
the ^ati++++=the
Loaf ^nn++++=Loaf
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
speared ^j+++xvbn+=speared
on ^in++++=on
its ^pp$+it+++=its
beak ^nn++++=beak,
, ^zz++++=EXTRAWORD
whenever ^nn+nom+++=whenever
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
succeeded ^vprf+++xvbnx+=succeeded
in ^in++++=in
dropping ^xvbg+++xvbg+=dropping
a ^at++++=a
Clonking ^np+++??+=Clonking
Rock ^npl++++=Rock
on ^in++++=on
your ^pp$+pp2+++=your
Baker ^np++++=Baker
all ^abn++++=all
of ^in++++=of
which ^whp+rel+pied++=which
Marie ^np++++=Marie
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
over ^in++++=over
the ^ati++++=the
summer ^nn++++=summer
by ^in++++=by
studying ^xvbg+++xvbg+=studying
the ^ati++++=the
Noble ^jj+atrb+++=Noble
Baker ^nn++++=Baker
manual ^jj++++=manual
while ^cs+sub+++=while
Josh ^np+++??+=Josh
was ^vbd+bedz+vrb++=was
asleep ^jj+pred+++=asleep.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
helped ^vprf+++xvbnx+=helped,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
really ^rb+emph+++=really
had ^vb+hv+vrb++=had.
. ^zz++++=EXTRAWORD
Josh ^np+++??+=Josh
was ^vbd+bedz+aux++=was
less ^rbr++splt++=less
withdrawn ^vpsv++agls+xvbnx+=withdrawn
lately ^rb+cnj+++=lately,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
came ^vbd+++xvbnx+=came
up ^rp++++=up
behind ^in+pl+++=behind
him ^pp3o+pp3+++=him
now ^rn+tm+++=now
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
playing ^vbg+++xvbgx+=playing
and ^cc+phrs+++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
like ^in+strn+++=like,
, ^zz++++=EXTRAWORD
" ^zz++++="Wow,
wow ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
honey ^nn++++=honey,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+tht0++=know
you ^pp2+pp2+++=you
could ^md+pos+++=could
do ^vb+do+vrb++=do
Pumpernickel ^np+++??+=Pumpernickel,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or
" ^zz++++="Sweetie,
sweetie ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
try ^vb++++=try
Serrated ^jj+atrb+++=Serrated
Blade ^nn++++=Blade,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
cuts ^nns++++=cuts
quicker ^jjr++++=quicker.
. ^zz++++=EXTRAWORD
Try ^vb++++=Try
it ^pp3+it+++=it
while ^cs+sub+++=while
doing ^vbg+++xvbg+=doing
Latch ^nn++++=Latch
the ^ati++++=the
Window ^nn++++=Window,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
reach ^vb++++=reach
back ^jjb++++=back
with ^in++++=with
his ^pp$+pp3+++=his
noncontrolling ^nn+nom+++=noncontrolling
hand ^nn++++=hand
and ^cc++++=and
swat ^nn+++??+=swat
at ^rb++++=at
her ^pp3o+pp3+++=her
affectionately ^rb+cnj+++=affectionately,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yesterday ^nr+tm+++=yesterday
they ^pp3a+pp3+++=they'd
'd ^vbd+hvd+aux++0=EXTRAWORD
shared ^vprf+++xvbnx+=shared
a ^at++++=a
