1535 ^cd++++=1535
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
no ^at++++=no
persecution ^nn+nom+++=persecution,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Christians ^nn++++=Christians
were ^vbd+bed+aux++=were
living ^vbg+++xvbgx+=living
at ^rb++++=at
peace ^nn++++=peace,
, ^zz++++=EXTRAWORD
worshipping ^jj+++xvbg+=worshipping
freely ^rb+cnj+++=freely,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
venturing ^jj+++xvbg+=venturing
even ^rb++++=even
to ^to++++=to
raise ^vbi++++=raise
churches ^nns++++=churches.
. ^zz++++=EXTRAWORD
Young ^jj+atrb+++=Young
people ^nns++++=people
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
up ^rp++++=up
to ^to++++=to
whom ^whp+wpor+++=whom
the ^ati++++=the
being ^nn+nn+aux++=being
thrown ^vwbn+++xvbn+=thrown
to ^in++++=to
the ^ati++++=the
lions ^nns++++=lions,
, ^zz++++=EXTRAWORD
beheaded ^xvbn+++xvbn+=beheaded,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
burnt ^vpsv++agls+xvbn+=burnt
for ^in++++=for
the ^ati++++=the
faith ^nn++++=faith's
's ^$++++=EXTRAWORD
sake ^nn++++=sake,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
but ^cc++++=but
a ^at++++=a
story ^nn++++=story
of ^in++++=of
the ^ati++++=the
times ^nns++++=times
gone ^vwbn+++xvbn+=gone
by ^in+strn+++=by.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
under ^in++++=under
the ^ati++++=the
Emperor ^nn++++=Emperor
Diocletian ^np++++=Diocletian
all ^rb++++=all
was ^vbd+bedz+aux++=was
changed ^vpsv++agls+xvbnx+=changed.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
heathen ^jj+atrb+++=heathen
gods ^nns++++=gods
must ^md+nec+++=must
be ^vb+be+aux++=be
worshipped ^vpsv++agls+xvbnx+=worshipped,
, ^zz++++=EXTRAWORD
incense ^nn++++=incense
must ^md+nec+++=must
be ^vb+be+aux++=be
burnt ^vpsv++agls+xvbnx+=burnt
to ^in++++=to
the ^ati++++=the
statue ^nn++++=statue
of ^in++++=of
the ^ati++++=the
Emperor ^nn++++=Emperor,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
torture ^nn++++=torture
and ^cc++++=and
death ^nn++++=death
were ^vbd+bed+vrb++=were
the ^ati++++=the
punishment ^nn+nom+++=punishment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
brothers ^nns+nom+++=brothers
Simplicius ^np+++??+=Simplicius
and ^cc++++=and
Faustinus ^np+++??+=Faustinus
were ^vbd+bed+aux++=were
thus ^rb+cnj+splt++=thus
asked ^vpsv++agls+xvbnx+=asked
to ^to+vcmp+++=to
deny ^vbi+vpub+++=deny
their ^pp$+pp3+++=their
faith ^nn++++=faith,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
resolutely ^rb++++=resolutely
refused ^vbd+++xvbn+=refused.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
cruelly ^rb++splt++=cruelly
tortured ^vpsv++agls+xvbnx+=tortured,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
length ^rb"++++=length
beheaded ^vbd+++xvbn+=beheaded,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
bodies ^nns++++=bodies
thrown ^vwbn+++xvbn+=thrown
into ^in++++=into
the ^ati++++=the
tawny ^jj+atrb+++=tawny
waters ^nns++++=waters
of ^in++++=of
the ^ati++++=the
Tiber ^np+++??+=Tiber.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
sister ^nn++++=sister
Beatrix ^np+++??+=Beatrix
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
refuge ^nn++++=refuge
with ^in++++=with
a ^at++++=a
poor ^jj+atrb+++=poor
devout ^jj+atrb+++=devout
Christian ^jj+atrb+++=Christian
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
named ^j+++xvbn+=named
Lucina ^np+++??+=Lucina.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
she ^pp3a+pp3+++=she
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
desert ^nn++++=desert
her ^pp3o+pp3+++=her
brothers ^nns+nom+++=brothers
in ^in++++=in
death ^nn++++=death;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
made ^vbd+++xvbnx+=made
her ^pp$+pp3+++=her
way ^nn++++=way
in ^in++++=in
secret ^nn++++=secret
to ^in++++=to
the ^ati++++=the
bank ^nn++++=bank
of ^in++++=of
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
watching ^vbg+++xvbg+=watching
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
whether ^cs+who+++=whether
the ^ati++++=the
stream ^nn++++=stream
might ^md+pos+++=might
bear ^vb+vprv+++=bear
down ^rp++++=down
the ^ati++++=the
corpses ^nns++++=corpses
so ^ql++++=so
dear ^uh++++=dear
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
Driven ^xvbn+++xvbn+=Driven
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
so ^rb++++=so
as ^in++++=as
to ^in++++=to
rest ^nn++++=rest
upon ^in++++=upon
the ^ati++++=the
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
found ^vbd+vprv++xvbnx+=found
them ^pp3o+pp3+++=them
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
help ^nn++++=help
of ^in++++=of
Lucina ^np+++??+=Lucina,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
laid ^vbd+++xvbnx+=laid
them ^pp3o+pp3+++=them
in ^in++++=in
the ^ati++++=the
grave ^nn++++=grave
in ^in++++=in
the ^ati++++=the
cemetery ^nn+nom+++=cemetery
called ^vbd+++xvbn+=called
Ad ^&fw++++=Ad
Ursum ^np+++??+=Ursum
Pileatum ^np+++??+=Pileatum.
. ^zz++++=EXTRAWORD
For ^in++++=For
seven ^cd++++=seven
months ^nns++++=months
she ^pp3a+pp3+++=she
remained ^vbd+++xvbnx+=remained
in ^in++++=in
her ^pp$+pp3+++=her
shelter ^nn++++=shelter,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
at ^rb++++=at
last ^rb"++++=last
denounced ^jj+++xvbn+=denounced,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
brought ^vpsv++agls+xvbnx+=brought
before ^in++++=before
the ^ati++++=the
tribunal ^nn+nom+++=tribunal,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
made ^vbd+++xvbnx+=made
answer ^vb++++=answer
that ^tht+vcmp+obj++=that
nothing ^pn++++=nothing
should ^md+nec+++=should
induce ^vb++++=induce
her ^pp$+pp3+++=her
to ^to++++=to
adore ^vbi++++=adore
gods ^nns++++=gods
made ^vbd+++xvbn+=made
of ^in++++=of
wood ^nn++++=wood
and ^cc++++=and
stone ^nn++++=stone.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
strangled ^vpsv++agls+xvbnx+=strangled
in ^in++++=in
her ^pp$+pp3+++=her
prison ^nn++++=prison,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
corpse ^nn++++=corpse
being ^xvbg+++xvbg+=being
cast ^vbd+++xvbn+=cast
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken
home ^nr++++=home
by ^in++++=by
Lucina ^np+++??+=Lucina,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
buried ^vpsv++agls+xvbn+=buried
beside ^in+pl+++=beside
her ^pp3o+pp3+++=her
brothers ^nns+nom+++=brothers.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
a ^at++++=a
favorite ^jj+atrb+++=favorite
charitable ^jj+atrb+++=charitable
work ^nn++++=work
of ^in++++=of
the ^ati++++=the
Christian ^jj+atrb+++=Christian
widows ^nns++++=widows
at ^in++++=at
Rome ^np++++=Rome
to ^to++++=to
provide ^vbi+vsua+++=provide
for ^in+ppvb+++=for
the ^ati++++=the
burial ^nn++++=burial
of ^in++++=of
the ^ati++++=the
martyrs ^nns++++=martyrs;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
for ^in"++++=for
the ^ati++++=the
most ^ap+emph+++=most
part ^nn++++=part
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
poor ^jj+atrb+++=poor
old ^jj+atrb+++=old
obscure ^jj+atrb+++=obscure
women ^nns++++=women,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
could ^md+pos+++=could
perform ^vb++++=perform
this ^dt+dem+++=this
good ^jj+atrb+++=good
work ^nn++++=work
with ^in++++=with
far ^rb+pl+++=far
less ^rbr++++=less
notice ^nn++++=notice
than ^in++++=than
could ^md+pos+++=could
persons ^vb++++=persons
of ^in++++=of
more ^rbr++++=more
mark ^nn++++=mark.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
nearer ^rbr++++=nearer
home ^nr++++=home,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
own ^ap++++=own
country ^nn++++=country
shows ^vbz+vprv+++=shows
a ^at++++=a
truly ^rb++++=truly
Christian ^jj+atrb+++=Christian
Antigone ^np+++??+=Antigone,
, ^zz++++=EXTRAWORD
resembling ^vbg+nom++xvbg+=resembling
the ^ati++++=the
Greek ^jj+atrb+++=Greek
lady ^npt++++=lady,
, ^zz++++=EXTRAWORD
both ^abx++++=both
in ^in++++=in
her ^pp$+pp3+++=her
dutifulness ^nns+nom+++=dutifulness
to ^in++++=to
the ^ati++++=the
living ^nvbg+++xvbg+=living,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
her ^pp$+pp3+++=her
tender ^jj+atrb+++=tender
care ^nn++++=care
for ^in++++=for
the ^ati++++=the
dead ^nn++++=dead.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
Margaret ^np++++=Margaret,
, ^zz++++=EXTRAWORD
the ^ati++++=the
favorite ^jj+atrb+++=favorite
daughter ^nn+nom+++=daughter
of ^in++++=of
sir ^npt++++=sir
Thomas ^np++++=Thomas
More ^rbr++++=More,
, ^zz++++=EXTRAWORD
the ^ati++++=the
true ^jj++++=true-hearted,
- ^zz++++=EXTRAWORD
hearted ^jj+atrb+++=EXTRAWORD
, ^zz++++=EXTRAWORD
faithful ^jj+atrb+++=faithful
statesman ^nn+nom+++=statesman
of ^in++++=of
King ^nn++++=King
Henry ^np++++=Henry
Viii ^np+++??+=VIII.
. ^zz++++=EXTRAWORD
Margaret ^np++++=Margaret's
's ^$++++=EXTRAWORD
home ^nr++++=home
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
an ^at++++=an
exceedingly ^rb++++=exceedingly
happy ^jj+atrb+++=happy
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
father ^npt++++=father,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Thomas ^np++++=Thomas
More ^rbr++++=More,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man
of ^in++++=of
the ^ati++++=the
utmost ^nn++++=utmost
worth ^in+strn+++=worth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
both ^abx++++=both
earnestly ^rb++++=earnestly
religious ^jj++++=religious
and ^cc+phrs+++=and
conscientious ^jj++++=conscientious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
of ^in++++=of
a ^at++++=a
sweetness ^nns+nom+++=sweetness
of ^in++++=of
manner ^nn++++=manner
and ^cc++++=and
playfulness ^nns+nom+++=playfulness
of ^in++++=of
fancy ^vb++++=fancy
that ^tht+vcmp+++=that
endeared ^jj+++xvbn+=endeared
him ^pp3o+pp3+++=him
to ^in++++=to
everyone ^pn++++=everyone.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
affectionate ^jj++++=affectionate
and ^cc+phrs+++=and
dutiful ^jj++++=dutiful
of ^in++++=of
sons ^nns++++=sons
to ^in++++=to
his ^pp$+pp3+++=his
aged ^jj+atrb+++=aged
father ^nn++++=father,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
John ^np++++=John
More ^ql++++=More;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
the ^ati++++=the
son ^nn++++=son
was ^vbd+bedz+vrb++=was
Lord ^npt++++=Lord
Chancellor ^npt++++=Chancellor,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
father ^nn++++=father
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
a ^at++++=a
judge ^nn++++=judge,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Thomas ^np++++=Thomas,
, ^zz++++=EXTRAWORD
on ^in++++=on
his ^pp$+pp3+++=his
way ^nn++++=way
to ^in++++=to
his ^pp$+pp3+++=his
court ^nn++++=court,
, ^zz++++=EXTRAWORD
never ^rb++++=never
failed ^vbd+++xvbn+=failed
to ^to+vcmp+++=to
kneel ^vbi++++=kneel
down ^rp++++=down
before ^in++++=before
his ^pp$+pp3+++=his
father ^nn++++=father
in ^rb++++=in
public ^rb"++++=public,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ask ^vb++++=ask
his ^pp$+pp3+++=his
blessing ^nn++++=blessing.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
was ^vbd+bedz+vrb++=was
the ^ati++++=the
old ^jj+atrb+++=old
saying ^nvbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
a ^at++++=a
dutiful ^jj+atrb+++=dutiful
child ^nn++++=child
had ^vb+hv+vrb++=had
dutiful ^jj+atrb+++=dutiful
children ^nns++++=children,
, ^zz++++=EXTRAWORD
better ^jjr++++=better
exemplified ^jj+++xvbn+=exemplified
than ^in++++=than
in ^in++++=in
the ^ati++++=the
More ^rbr++++=More
family ^nn++++=family.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
times ^nns++++=times
when ^wrb+who+++=when
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
usual ^jj+pred+++=usual
for ^in++++=for
parents ^nns++++=parents
to ^to++++=to
be ^vbi++vrb++=be
very ^ql+amp+++=very
stern ^jj++++=stern
with ^in++++=with
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
keep ^vb++++=keep
them ^pp3o+pp3+++=them
at ^in++++=at
a ^at++++=a
great ^jj+atrb+++=great
distance ^nn+nom+++=distance,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
making ^jj+++xvbg+=making
them ^pp3o+pp3+++=them
stand ^vb++++=stand
in ^in++++=in
their ^pp$+pp3+++=their
presence ^nn+nom+++=presence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
striking ^jj+++xvbg+=striking
them ^pp3o+pp3+++=them
for ^in++++=for
any ^dti++++=any
slight ^jj+atrb+++=slight
offence ^nn+nom+++=offence,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir
Thomas ^np++++=Thomas
More ^ql++++=More
thought ^vbd+++xvbn+=thought
it ^pp3+it+++=it
his ^pp$+pp3+++=his
duty ^nn++++=duty
to ^to+ncmp+++=to
be ^vbi++vrb++=be
friendly ^jj+pred+++=friendly
and ^cc+phrs+++=and
affectionate ^jj++++=affectionate
with ^in++++=with
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
to ^to++++=to
talk ^vbi++++=talk
to ^in++++=to
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
enter ^vbi++++=enter
into ^in+ppvb+++=into
their ^pp$+pp3+++=their
confidence ^nn+nom+++=confidence;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
rewarded ^vpsv++agls+xvbnx+=rewarded
with ^in++++=with
their ^pp$+pp3+++=their
full ^jj+atrb+++=full
love ^nn++++=love
and ^cc++++=and
duty ^nn++++=duty.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
four ^cd++++=four
children ^nns++++=children--Margaret,
-- ^--+clp+++=EXTRAWORD
margaret ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Elizabeth ^np++++=Elizabeth,
, ^zz++++=EXTRAWORD
Cicely ^np++++=Cicely,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
John ^np++++=John.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
muchloved ^jj+atrb++xvbn+=muchloved
wife ^nn++++=wife
died ^vbd+++xvbn+=died
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
all ^abn++++=all
very ^ql+amp+++=very
young ^jj++++=young,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
it ^pp3+it+++=it
for ^in++++=for
their ^pp$+pp3+++=their
good ^jj++++=good
to ^to+jcmp+++=to
marry ^vbi++++=marry
a ^at++++=a
widow ^nn++++=widow,
, ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Alice ^np++++=Alice
Middleton ^np++++=Middleton,
, ^zz++++=EXTRAWORD
with ^in++++=with
one ^cd1++++=one
daughter ^nn+nom+++=daughter
named ^vbd+++xvbn+=named
Margaret ^np++++=Margaret,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
likewise ^rb+cnj+++=likewise
adopted ^vbd+++xvbn+=adopted
an ^at++++=an
orphan ^nn++++=orphan
called ^vbd+++xvbn+=called
Margaret ^np++++=Margaret
Giggs ^np+++??+=Giggs.
. ^zz++++=EXTRAWORD
With ^in++++=With
this ^dt+dem+++=this
household ^nn++++=household
he ^pp3a+pp3+++=he
lived ^vbd+++xvbnx+=lived
in ^in++++=in
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
large ^jj+atrb+++=large
house ^npl++++=house
at ^rb++++=at
Chelsea ^np++++=Chelsea,
, ^zz++++=EXTRAWORD
with ^in++++=with
well ^rb++++=well-trimmed
- ^zz++++=EXTRAWORD
trimmed ^xvbn+++xvbn+=EXTRAWORD
gardens ^nns++++=gardens
sloping ^vwbg+++xvbg+=sloping
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
Thames ^np++++=Thames;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
the ^ati++++=the
resort ^nn++++=resort
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
learned ^jj+atrb++xvbn+=learned
and ^cc+phrs+++=and
able ^jj+atrb+++=able
men ^nns++++=men,
, ^zz++++=EXTRAWORD
both ^abx++++=both
English ^jj++++=English
and ^cc++++=and
visitors ^nns++++=visitors
from ^in++++=from
abroad ^rb+cnj+++=abroad,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
delighted ^vbd+++xvbn+=delighted
in ^in++++=in
pacing ^xvbg+++xvbg+=pacing
the ^ati++++=the
shady ^jj+atrb+++=shady
walks ^nns++++=walks,
, ^zz++++=EXTRAWORD
listening ^jj+++xvbg+=listening
to ^in++++=to
the ^ati++++=the
wit ^nn++++=wit
and ^cc++++=and
wisdom ^nn++++=wisdom
of ^in++++=of
Sir ^npt++++=Sir
Thomas ^np++++=Thomas,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
conversing ^nvbg+++xvbg+=conversing
with ^in++++=with
the ^ati++++=the
daughters ^nns+nom+++=daughters,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
highly ^rb+amp+++=highly
educated ^jj+++xvbn+=educated,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
much ^ap++++=much
of ^in++++=of
their ^pp$+pp3+++=their
father ^nn++++=father's
's ^$++++=EXTRAWORD
humor ^nn++++=humor
and ^cc++++=and
sprightliness ^nns+nom+++=sprightliness.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
Henry ^np++++=Henry
Viii ^np+++??+=VIII.
. ^zz++++=EXTRAWORD
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
brilliant ^jj+atrb+++=brilliant
and ^cc+phrs+++=and
graceful ^jj+atrb+++=graceful
gentlemen ^nns++++=gentlemen
of ^in++++=of
his ^pp$+pp3+++=his
time ^nn++++=time,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
sometimes ^rb++splt++=sometimes
arrive ^vb++++=arrive
in ^in++++=in
his ^pp$+pp3+++=his
royal ^jj+atrb+++=royal
barge ^nn++++=barge,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
talk ^nn++++=talk
theology ^nn++++=theology
or ^cc++++=or
astronomy ^nn++++=astronomy
with ^in++++=with
Sir ^npt++++=Sir
Thomas ^np++++=Thomas;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
might ^md+pos+++=might
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
crack ^jjb+atrb+++=crack
jests ^nns+++??+=jests
with ^in++++=with
him ^pp3o+pp3+++=him
and ^cc++++=and
his ^pp$+pp3+++=his
daughters ^nns+nom+++=daughters,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
listen ^vb++++=listen
to ^in++++=to
the ^ati++++=the
music ^nn++++=music
in ^in++++=in
which ^whp+rel+pied++=which
all ^rb++++=all
were ^vbd+bed+vrb++=were
skilled ^jj+pred+++=skilled,
, ^zz++++=EXTRAWORD
even ^rb++++=even
Lady ^npt++++=Lady
More ^ql++++=More
having ^xvbg+++xvbg+=having
been ^vprf+ben+aux+xvbn+=been
persuaded ^vpsv++agls+xvbnx+=persuaded
in ^in++++=in
her ^pp$+pp3+++=her
old ^jj+atrb+++=old
age ^nn++++=age
to ^to++++=to
learn ^vbi+vprv+++=learn
to ^to+vcmp+++=to
play ^vbi++++=play
on ^in+ppvb+++=on
various ^jj+atrb+++=various
instruments ^nns+nom+++=instruments,
, ^zz++++=EXTRAWORD
including ^in++++=including
the ^ati++++=the
flute ^nn++++=flute.
. ^zz++++=EXTRAWORD
The ^ati++++=The
daughters ^nns+nom+++=daughters
were ^vbd+bed+vrb++=were
early ^jj++++=early
given ^jj+++xvbn+=given
in ^in++++=in
marriage ^nn+nom+++=marriage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
their ^pp$+pp3+++=their
husbands ^nns++++=husbands,
, ^zz++++=EXTRAWORD
continued ^j+++xvbn+=continued
to ^to++++=to
live ^vbi++++=live
under ^in++++=under
their ^pp$+pp3+++=their
father ^nn++++=father's
's ^$++++=EXTRAWORD
roof ^nn++++=roof.
. ^zz++++=EXTRAWORD
Margaret ^np++++=Margaret's
's ^$++++=EXTRAWORD
husband ^nn++++=husband
was ^vbd+bedz+vrb++=was
William ^np++++=William
Roper ^np++++=Roper,
, ^zz++++=EXTRAWORD
a ^at++++=a
young ^jj+atrb+++=young
lawyer ^nn++++=lawyer,
, ^zz++++=EXTRAWORD
of ^in++++=of
whom ^whp+rel+pied++=whom
Sir ^npt++++=Sir
Thomas ^np++++=Thomas
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
