Dusk ^nn++++=Dusk
hold ^vbi+vprv+++=hold
the ^ati++++=the
branches ^nns++++=branches
still ^rb++++=still
so ^ql++++=so
that ^cs+sub+++=that
the ^ati++++=the
light ^nn++++=light
might ^md+pos+++=might
slip ^vb++++=slip
between ^in++++=between
and ^cc++++=and
weave ^vb++++=weave
its ^pp$+it+++=its
silver ^nn++++=silver
pattern ^nn++++=pattern
on ^in++++=on
the ^ati++++=the
moss ^np++++=moss
below ^in+strn+++=below.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
stood ^vbd+++xvbnx+=stood
a ^at++++=a
moment ^nn++++=moment
to ^to++++=to
take ^vbi++++=take
it ^pp3+it+++=it
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
a ^at++++=a
step ^nn++++=step
sounded ^vbd+++xvbn+=sounded
behind ^rp+pl+++=behind
them ^pp3o+pp3+++=them
on ^in++++=on
the ^ati++++=the
soft ^jj+atrb+++=soft
pine ^nn++++=pine-needles,
- ^zz++++=EXTRAWORD
needles ^nps++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
older ^jjr+atrb+++=older
man ^nn++++=man,
, ^zz++++=EXTRAWORD
still ^rb++++=still
a ^rb++++=a
little ^rb"++++=little
in ^in++++=in
the ^ati++++=the
rear ^jjb++++=rear,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
with ^in++++=with
a ^at++++=a
start ^nn++++=start
as ^cs+sub+++=as
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
suddenly ^rb++splt++=suddenly
called ^vpsv++by+xvbn+=called
by ^in++++=by
name ^nn++++=name.
. ^zz++++=EXTRAWORD
' ^zz++++='There's
there ^ex+pex+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
that ^dt+dem+++=that
girl ^nn++++=girl
- ^zz++++=-again!'
again ^rb+tm+++=EXTRAWORD
! ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
voice ^nn++++=voice
expressed ^vbd+vpub++xvbn+=expressed
a ^at++++=a
curious ^nn++++=curious
mingling ^vwbg+++xvbg+=mingling
of ^in++++=of
pleasure ^nn++++=pleasure,
, ^zz++++=EXTRAWORD
surprise ^nn++++=surprise
and ^cc++++=and
- ^zz++++=-apprehension.
apprehension ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Into ^in++++=Into
a ^at++++=a
patch ^nn++++=patch
of ^in++++=of
moonlight ^nn++++=moonlight
passed ^vbd+++xvbn+=passed
the ^ati++++=the
figure ^nn++++=figure
of ^in++++=of
a ^at++++=a
young ^jj+atrb+++=young
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
at ^rb++++=at
them ^pp3o+pp3+++=them
as ^cs+sub+++=as
though ^cs+sub+++=though
about ^md"++pmd"++=about
to ^md+prd+++=to
stop ^vb++++=stop
yet ^rb++++=yet
thinking ^nvbg+++xvbg+=thinking
better ^jjr++++=better
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
smiled ^j+++xvbn+=smiled
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
moved ^vpsv++agls+xvbn+=moved
on ^in++++=on
out ^rp+pl+++=out
of ^in++++=of
sight ^nn++++=sight
into ^in++++=into
the ^ati++++=the
surrounding ^jj+atrb++xvbg+=surrounding
darkness ^nns+nom+++=darkness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
moon ^nn++++=moon
just ^rb+emph+++=just
caught ^vbd+++xvbn+=caught
her ^pp$+pp3+++=her
eyes ^nns++++=eyes
and ^cc++++=and
teeth ^nns++++=teeth,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
shone ^vbd+++xvbnx+=shone;
; ^zz++++=EXTRAWORD
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
her ^pp$+pp3+++=her
body ^nn++++=body
stood ^vbd+++xvbn+=stood
in ^in++++=in
shadow ^nn++++=shadow;
; ^zz++++=EXTRAWORD
the ^ati++++=the
effect ^nn++++=effect
was ^vbd+bedz+aux++=was
striking ^vbg+++xvbgx+=striking
- ^zz++++=-almost
almost ^rb+hdg+++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
head ^jjb++++=head
and ^cc++++=and
shoulders ^nns+nom+++=shoulders
hung ^vbd+++xvbn+=hung
alone ^rb++++=alone
in ^in++++=in
mid ^jjb+atrb+++=mid
air ^nn++++=air,
, ^zz++++=EXTRAWORD
watching ^jj+++xvbg+=watching
them ^pp3o+pp3+++=them
with ^in++++=with
this ^dt+dem+++=this
shining ^jj+atrb++xvbg+=shining
smile ^nn++++=smile,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
fading ^vbg+++xvbg+=fading
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
' ^zz++++='Come
come ^vprf+++xvbn+=EXTRAWORD
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
for ^in++++=for
heaven ^nn++++=heaven's
's ^$++++=EXTRAWORD
sake ^nn++++=sake,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
the ^ati++++=the
big ^jj+atrb+++=big
man ^nn++++=man
cried ^vbd+++xvbn+=cried.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
impatience ^nn+nom+++=impatience
in ^in++++=in
his ^pp$+pp3+++=his
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
unkindness ^nns+nom+++=unkindness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
lingered ^jj+++xvbn+=lingered
a ^at++++=a
moment ^nn++++=moment,
, ^zz++++=EXTRAWORD
peering ^vbg+++xvbg+=peering
closely ^rb++++=closely
into ^in++++=into
the ^ati++++=the
gloom ^nn++++=gloom
where ^wrb+who+++=where
the ^ati++++=the
girl ^nn++++=girl
had ^vbd+hvd+aux++=had
vanished ^vprf+++xvbnx+=vanished.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
friend ^nn++++=friend
repeated ^vbd+++xvbn+=repeated
his ^pp$+pp3+++=his
injunction ^nn+nom+++=injunction,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
moment ^nn++++=moment
later ^rbr+tm+++=later
the ^ati++++=the
two ^cd++++=two
had ^vbd+hvd+aux++=had
emerged ^vprf+++xvbnx+=emerged
upon ^in++++=upon
the ^ati++++=the
high ^jj+atrb+++=high
road ^npl++++=road
with ^in++++=with
the ^ati++++=the
village ^nn+nom+++=village
lights ^nns++++=lights
in ^in++++=in
sight ^nn++++=sight
beyond ^in+strn+++=beyond,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
forest ^npl++++=forest
left ^vbd+++xvbn+=left
behind ^rb+phrv+++=behind
them ^pp3o+pp3+++=them
like ^in++++=like
a ^at++++=a
vast ^jj+atrb+++=vast
mantle ^nn++++=mantle
that ^tht+rel+subj++=that
held ^vwbn+vprv++xvbn+=held
the ^ati++++=the
night ^nn++++=night
within ^in++++=within
its ^pp$+it+++=its
folds ^nns++++=folds.
. ^zz++++=EXTRAWORD
For ^in++++=For
some ^dti++++=some
minutes ^nns++++=minutes
neither ^rb++neg++=neither
of ^in++++=of
them ^pp3o+pp3+++=them
spoke ^vbd+++xvbn+=spoke;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
the ^ati++++=the
big ^jj+atrb+++=big
man ^nn++++=man
waited ^vbd+++xvbn+=waited
for ^in++++=for
his ^pp$+pp3+++=his
friend ^nn++++=friend
to ^to++++=to
draw ^vbi++++=draw
up ^rb+phrv+++=up
alongside ^in+strn+++=alongside.
. ^zz++++=EXTRAWORD
' ^zz++++='About
about ^in++++=EXTRAWORD
all ^abn++++=all
this ^dt+dem+++=this
valley ^nn++++=valley
of ^in++++=of
the ^ati++++=the
Jura ^np++++=Jura,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
presently ^rb+cnj+++=presently,
, ^zz++++=EXTRAWORD
' ^zz++++='there
there ^ex+pex+++=EXTRAWORD
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
me ^vbi++++=me
something ^pn++++=something
- ^zz++++=-rather
rather ^rb++++=EXTRAWORD
weird ^jj++++=weird.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shifted ^vbd+++xvbnx+=shifted
the ^ati++++=the
knapsack ^nn+++??+=knapsack
vigorously ^rb++++=vigorously
on ^in++++=on
his ^pp$+pp3+++=his
back ^nn++++=back.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
gesture ^nn++++=gesture
of ^in++++=of
unconscious ^jj+atrb+++=unconscious
protest ^nn++++=protest.
. ^zz++++=EXTRAWORD
' ^zz++++='Something
something ^pn++++=EXTRAWORD
uncanny ^jj++++=uncanny,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
set ^vbd+++xvbnx+=set
a ^at++++=a
good ^jj+atrb+++=good
pace ^nn++++=pace.
. ^zz++++=EXTRAWORD
' ^zz++++='But
but ^cc++++=EXTRAWORD
extraordinarily ^rb++++=extraordinarily
beautiful ^jj++++=beautiful
- ^zz++++=-'
' ^zz++++=EXTRAWORD
' ^zz++++='It
it ^pp3+it+++=EXTRAWORD
attracts ^vbz++++=attracts
you ^pp2+pp2+++=you
more ^ql++++=more
than ^cs+sub+++=than
it ^pp3+it+++=it
does ^vbz+doz+vrb++=does
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
short ^jj+atrb+++=short
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
' ^zz++++='The
the ^ati++++=EXTRAWORD
picturesque ^jj+atrb+++=picturesque
superstitions ^nns+nom+++=superstitions
still ^rb++++=still
survive ^vb++++=survive
here ^rn+pl+++=here,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
observed ^vbd+vprv++xvbn+=observed
the ^ati++++=the
older ^jjr+atrb+++=older
man ^nn++++=man.
. ^zz++++=EXTRAWORD
' ^zz++++='They
they ^pp3a+pp3+++=EXTRAWORD
touch ^vb++++=touch
the ^ati++++=the
imagination ^nn+nom+++=imagination
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
oneself ^ppl++++=oneself.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
A ^at++++=A
pause ^nn++++=pause
followed ^vbd+vprv++xvbn+=followed
during ^in++++=during
which ^whp+rel+pied++=which
the ^ati++++=the
other ^ap++++=other
tried ^vb+++xvbn+=tried
to ^to+vcmp+++=to
increase ^vbi++++=increase
the ^ati++++=the
pace ^nn++++=pace.
. ^zz++++=EXTRAWORD
The ^ati++++=The
subject ^nn++++=subject
evidently ^rb++++=evidently
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
impatient ^jj++++=impatient
for ^in++++=for
some ^dti++++=some
reason ^nn++++=reason.
. ^zz++++=EXTRAWORD
' ^zz++++='Perhaps,'
perhaps ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
presently ^rb+tm+++=presently.
. ^zz++++=EXTRAWORD
' ^zz++++='Though
though ^cs+sub+++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
myself ^ppl+pp1+++=myself
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
curious ^jj+atrb+++=curious
loneliness ^nns+nom+++=loneliness
of ^in++++=of
the ^ati++++=the
place ^nn++++=place.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^jj++++=mean,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we're
're ^vb+ber+vrb++0=EXTRAWORD
in ^in++++=in
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
tourist ^nn+nom+++=tourist-Europe
- ^zz++++=EXTRAWORD
europe ^np++++=EXTRAWORD
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
so ^ql++++=so
utterly ^rb+amp+++=utterly
remote ^jj++++=remote.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
such ^abl++++=such
a ^at++++=a
neglected ^jj+++xvbn+=neglected
little ^ap++++=little
corner ^npl++++=corner
of ^in++++=of
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
The ^ati++++=The
contradiction ^nn+nom+++=contradiction
bewilders ^nns+nom+++=bewilders.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
so ^ql++++=so
near ^in+pl+++=near
the ^ati++++=the
frontier ^nn+nom+++=frontier,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
clock ^nn++++=clock
changing ^vwbg+++xvbg+=changing
an ^at++++=an
hour ^nn++++=hour
a ^at++++=a
mile ^nn++++=mile
from ^in++++=from
the ^ati++++=the
village ^nn+nom+++=village,
, ^zz++++=EXTRAWORD
makes ^vbz++++=makes
one ^cd1++++=one
think ^vb+vprv+++=think
of ^in++++=of
time ^nn++++=time
as ^in++++=as
unreal ^jj++++=unreal
and ^cc+phrs+++=and
imaginary ^jj++++=imaginary.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
laughed ^vbd+++xvbnx+=laughed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
produced ^vbd+++xvbnx+=produced
several ^ap++++=several
other ^ap++++=other
reasons ^nns++++=reasons
as ^rb++++=as
well ^rb++++=well.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
friend ^nn++++=friend
admitted ^vwbn+vpub+tht0+xvbn+=admitted
their ^pp$+pp3+++=their
value ^nn++++=value,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
agreed ^vbd+vpub++xvbn+=agreed
half ^abn++++=half-heartedly.
- ^zz++++=EXTRAWORD
heartedly ^jj++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
still ^rb++++=still
turned ^vbd+++xvbn+=turned
occasionally ^rb++++=occasionally
to ^to++++=to
look ^vbi++++=look
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mountain ^nn++++=mountain
ridge ^nn++++=ridge
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
climbed ^vprf+++xvbnx+=climbed
was ^vbd+bedz+vrb++=was
clearly ^rb++++=clearly
visible ^jj+pred+++=visible
in ^in++++=in
the ^ati++++=the
moonlight ^nn++++=moonlight.
. ^zz++++=EXTRAWORD
' ^zz++++='Odd,'
odd ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
' ^zz++++='but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
farmhouse ^nn++++=farmhouse
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
the ^ati++++=the
milk ^nn++++=milk
anywhere ^rb++++=anywhere.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
easily ^rb++++=easily
visible ^jj++++=visible
from ^in++++=from
here ^rn+pl+++=here.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Hardly
hardly ^rb+down+++=EXTRAWORD
- ^zz++++=-in
in ^in++++=EXTRAWORD
this ^dt+dem+++=this
light ^nn++++=light.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
queer ^jj+atrb+++=queer
place ^nn++++=place
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
added ^vbd+vpub++xvbnx+=added.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=did
not ^xnot++not++=not
deny ^vb+vpub+++=deny
the ^ati++++=the
curiously ^rb++++=curiously
suggestive ^jj+atrb+++=suggestive
atmosphere ^nn++++=atmosphere
of ^in++++=of
the ^ati++++=the
region ^nn++++=region,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
merely ^rb+down+++=merely
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
satisfactory ^jj+atrb+++=satisfactory
explanations ^nns+nom+++=explanations.
. ^zz++++=EXTRAWORD
' ^zz++++='A
a ^at++++=EXTRAWORD
case ^nn++++=case
in ^in++++=in
point ^nn++++=point,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^jj++++=mean.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
like ^vb++++=like
it ^pp3+it+++=it
quite ^rb++++=quite
- ^zz++++=-that
that ^dt+dem+++=EXTRAWORD
farmhouse ^nn++++=farmhouse
- ^zz++++=-yet
yet ^rb++++=EXTRAWORD
