Before ^cs+sub+++=Before
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
like ^in++++=like
the ^ati++++=the
soft ^jj+atrb+++=soft
shadow ^nn++++=shadow
of ^in++++=of
a ^at++++=a
cloud ^nn++++=cloud
passing ^vwbg+++xvbg+=passing
over ^in++++=over
a ^at++++=a
landscape ^nn++++=landscape--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
sun ^nn++++=sun
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
shining ^vbg+++xvbgx+=shining
and ^cc++++=and
the ^ati++++=the
world ^nn++++=world
was ^vbd+bedz+vrb++=was
fair ^jj+pred+++=fair.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
too ^ql++++=too
happy ^jj++++=happy
to ^to+jcmp+++=to
be ^vbi++vrb++=be
discontented ^jj+pred+++=discontented.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
their ^pp$+pp3+++=their
fortunes ^nns++++=fortunes
were ^vbd+bed+aux++=were
thriving ^vbg+++xvbgx+=thriving,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
kept ^vpsv++agls+xvbnx+=kept
pretty ^rb++++=pretty
hard ^jj++++=hard
at ^rb++++=at
work ^nn++++=work--which,
-- ^--+clp+++=EXTRAWORD
which ^whp+who+++=EXTRAWORD
, ^zz++++=EXTRAWORD
next ^in+cmpx+++=next
to ^in++++=to
love ^nn++++=love,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
best ^jjt+atrb+++=best
antidote ^nn++++=antidote
for ^in++++=for
unhappiness ^nns+nom+++=unhappiness.
. ^zz++++=EXTRAWORD
After ^in++++=After
the ^ati++++=the
death ^nn++++=death
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
_bonhomme_ ^nn+++??+=_bonhomme_
Girard ^np+++??+=Girard,
, ^zz++++=EXTRAWORD
the ^ati++++=the
store ^nn++++=store
fell ^vbd+++xvbn+=fell
to ^in++++=to
Prosper ^np+++??+=Prosper;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
good ^jj+atrb+++=good
luck ^nn++++=luck--or
-- ^--+clp+++=EXTRAWORD
or ^cc+cls+++=EXTRAWORD
his ^pp$+pp3+++=his
cleverness ^nns+nom+++=cleverness,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
his ^pp$+pp3+++=his
habit ^nn++++=habit
of ^in++++=of
always ^rb++++=always
being ^vbg+beg++xvbg+=being
ready ^jj++++=ready
for ^in++++=for
things ^nns++++=things,
, ^zz++++=EXTRAWORD
call ^vb++++=call
it ^pp3+it+++=it
what ^wdt+who+++=what
you ^pp2+pp2+++=you
will ^md+prd+++=will--stuck
-- ^--+clp+++=EXTRAWORD
stuck ^xvbn+++xvbn+=EXTRAWORD
by ^in+ppvb+++=by
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Business ^nns+nom+++=Business
flourished ^vbd+++xvbn+=flourished
in ^in++++=in
the ^ati++++=the
_bon ^nn+++??+=_Bon
Marche_ ^np+++??+=Marche_
of ^in++++=of
Abbeville ^np+++??+=Abbeville.
. ^zz++++=EXTRAWORD
Toinette ^np+nom++??+=Toinette
helped ^vbd+++xvbn+=helped
it ^pp3+it+++=it
by ^in++++=by
her ^pp$+pp3+++=her
gay ^jj+atrb+++=gay
manners ^nns+nom+++=manners
and ^cc++++=and
her ^pp$+pp3+++=her
skill ^nn++++=skill
in ^in++++=in
selling ^xvbg+++xvbg+=selling.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
did ^vbd+dod+vrb++=did
people ^nns++++=people
good ^jj++++=good
to ^to+jcmp+++=to
buy ^vbi++++=buy
of ^in++++=of
her ^pp$+pp3+++=her:
: ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
made ^vbd+++xvbnx+=made
them ^pp3o+pp3+++=them
feel ^vb+vprv+++=feel
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
particularly ^rb++++=particularly
glad ^jj+pred+++=glad
that ^tht+jcmp+++=that
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
getting ^vbg+++xvbgx+=getting
just ^rb+emph+++=just
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
needed ^vbd+++xvbnx+=needed.
. ^zz++++=EXTRAWORD
A ^at++++=A
pipe ^nn++++=pipe
of ^in++++=of
the ^ati++++=the
special ^jj+atrb+++=special
shape ^nn++++=shape
which ^whp+rel+obj++=which
Pierre ^&fw++++=Pierre
affected ^vbd+++xvbn+=affected,
, ^zz++++=EXTRAWORD
a ^at++++=a
calico ^nn+++??+=calico
dress ^nn++++=dress-pattern
- ^zz++++=EXTRAWORD
pattern ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
shade ^nn++++=shade
most ^ql+emph+++=most
becoming ^jj+++xvbg+=becoming
to ^in++++=to
Angelique ^np+++??+=Angelique,
, ^zz++++=EXTRAWORD
a ^at++++=a
brand ^nn++++=brand
of ^in++++=of
baking ^nn++++=baking-powder
- ^zz++++=EXTRAWORD
powder ^nn++++=EXTRAWORD
which ^whp+rel+subj++=which
would ^md+prd+++=would
make ^vb++++=make
the ^ati++++=the
batter ^nn++++=batter
rise ^vb++++=rise
up ^rp++++=up
like ^in++++=like
mountains--_v ^nn+++??+=mountains--_v'la,
'la, ^nn+++??+=EXTRAWORD
voisine ^nn+++??+=voisine,
, ^zz++++=EXTRAWORD
c ^zz++++=c'est
'est ^jjt++++0=EXTRAWORD
b ^zz++++=b'en
'en ^vbd+++xvbn+0=EXTRAWORD
bon_ ^nn+++??+=bon_!
! ^zz++++=EXTRAWORD
Everything ^pn++++=Everything
that ^cs+sub+++=that
she ^pp3a+pp3+++=she
sold ^vbd+++xvbnx+=sold
had ^vb+hv+vrb++=had
a ^at++++=a
charm ^nn++++=charm
with ^in++++=with
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently
trade ^nn++++=trade
was ^vbd+bedz+aux++=was
humming ^vbg+++xvbgx+=humming,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
little ^jj+atrb+++=little
wooden ^jj+atrb+++=wooden
house ^nn++++=house
beside ^in+pl+++=beside
the ^ati++++=the
store ^nn++++=store
was ^vbd+bedz+vrb++=was
_b ^jj+atrb++??+=_b'en
'en ^jj+atrb++xvbn+0=EXTRAWORD
trimee_ ^nn+++??+=trimee_.
. ^zz++++=EXTRAWORD
The ^ati++++=The
only ^ap+down+++=only
drawback ^nn++++=drawback
to ^in++++=to
the ^ati++++=the
happiness ^nns+nom+++=happiness
of ^in++++=of
the ^ati++++=the
Lecleres ^nns+nom++??+=Lecleres
was ^vbd+bedz+vrb++=was
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
business ^nns+nom+++=business
required ^vbd+++xvbn+=required
Prosper ^np+++??+=Prosper
to ^to++++=to
go ^vbi++++=go
away ^rp+pl+++=away
for ^in++++=for
a ^at++++=a
fortnight ^nn++++=fortnight
twice ^rb++++=twice
a ^at++++=a
year ^nn++++=year
to ^to++++=to
replenish ^vbi++++=replenish
his ^pp$+pp3+++=his
stock ^nn++++=stock
of ^in++++=of
goods ^nns++++=goods.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
went ^vbd+++xvbnx+=went
to ^in++++=to
Quebec ^np++++=Quebec
or ^cc++++=or
to ^in++++=to
Montreal ^np+nom++??+=Montreal,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^ap++++=a
great ^ap"++++=great
many ^ap"++++=many
kinds ^nns++++=kinds
of ^in++++=of
things ^nns++++=things
to ^to++++=to
get ^vbi++++=get,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
good ^jj+atrb+++=good
things ^nns++++=things
and ^cc++++=and
good ^jj+atrb+++=good
bargains ^nns++++=bargains,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
trust ^vb+vprv+++=trust
the ^ati++++=the
commercial ^jj+atrb+++=commercial
travellers ^nns+nom+++=travellers.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+++=EXTRAWORD
pays ^vbz++++=pays
those ^dt+dem+++=those
men ^nns++++=men,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="to
to ^to++++=EXTRAWORD
run ^vbi++++=run
around ^in++++=around
everywhere ^rb+cnj+++=everywhere,
, ^zz++++=EXTRAWORD
with ^in++++=with
big ^nn++++=big
watch ^vb++++=watch-chains?
- ^zz++++=EXTRAWORD
chains ^nns++++=EXTRAWORD
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
and ^cc++++=and
me ^pp1o+pp1+++=me!
! ^zz++++=EXTRAWORD
But ^cc+cls+++=But
why ^wrb+who+++=why?
? ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
buy ^vb++++=buy
better ^jjr++++=better
myself ^ppl+pp1+++=myself--because
-- ^--+clp+++=EXTRAWORD
because ^cs+cos+++=EXTRAWORD
I ^pp1a+pp1+++=I
understand ^vb+vprv+++=understand
what ^wdt+who+whcl++=what
Abbeville ^np+++??+=Abbeville
wants ^vbz++++=wants--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
buy ^vb++++=buy
cheaper ^jjr++++=cheaper."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
times ^nns++++=times
of ^in++++=of
his ^pp$+pp3+++=his
absence ^nn+nom+++=absence
were ^vbd+bed+vrb++=were
heavy ^jj+pred+++=heavy
and ^cc+phrs+++=and
slow ^jj++++=slow
to ^to+jcmp+++=to
Toinette ^nn+nom++??+=Toinette.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hours ^nns++++=hours
were ^vbd+bed+aux++=were
doped ^vwbn+++xvbn+=doped
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
day ^nn++++=day
as ^ql++++=as
reluctantly ^rb++++=reluctantly
as ^ql++++=as
black ^np++++=black
molasses ^nn++++=molasses
dribbles ^nns+++??+=dribbles
from ^in++++=from
a ^at++++=a
jug ^nn++++=jug.
. ^zz++++=EXTRAWORD
A ^at++++=A
professional ^jj+atrb+++=professional
instinct ^nn++++=instinct
kept ^vbd+++xvbn+=kept
her ^pp$+pp3+++=her
up ^in+cmpx+++=up
to ^in"++++=to
her ^pp$+pp3+++=her
work ^nn++++=work
in ^in++++=in
the ^ati++++=the
store ^nn++++=store.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
jollied ^vbd+++xvbnx+=jollied
the ^ati++++=the
customers ^nns+nom+++=customers,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
after ^in++++=after
the ^ati++++=the
accounts ^nns++++=accounts,
, ^zz++++=EXTRAWORD
made ^jj+atrb++xvbn+=made
good ^jj+atrb+++=good
sales ^nns++++=sales,
