One ^cd1++++=One
paid ^vbd+++xvbn+=paid
no ^at++++=no
attention ^nn+nom+++=attention
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
so ^ql+emph+++=so
young ^jj++++=young
that ^cs+sub+++=that
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
an ^at++++=an
advantage ^nn+nom+++=advantage
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
society ^nn++++=society
at ^rb++++=at
all ^abn++++=all.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
disobedient ^jj+atrb+++=disobedient
children ^nns++++=children!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
old ^jj+atrb+++=old
Water ^nn++++=Water-rat;
- ^zz++++=EXTRAWORD
rat ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
" ^zz++++="they
they ^pp3a+pp3+++=EXTRAWORD
really ^rb+emph+++=really
deserve ^vb++++=deserve
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
drowned ^vpsv++agls+xvbnx+=drowned."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nothing
nothing ^pn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
kind ^nn++++=kind,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
Duck ^nn++++=Duck,
, ^zz++++=EXTRAWORD
" ^zz++++="every
every ^at++++=EXTRAWORD
one ^cd1++++=one
must ^md+nec+++=must
make ^vb++++=make
a ^at++++=a
beginning ^nvbg+++xvbg+=beginning,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
parents ^nns++++=parents
cannot ^md+pos+not++=cannot
be ^vb+be+vrb++=be
too ^ql++++=too
patient ^nn++++=patient."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah!
ah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+tht0++=know
nothing ^pn++++=nothing
about ^in++++=about
the ^ati++++=the
feelings ^nns+nom+++=feelings
of ^in++++=of
parents ^nns++++=parents,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Waterrat ^np+++??+=Waterrat;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
not ^xnot++not++=not
a ^at++++=a
family ^nn++++=family
man ^nn++++=man.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
never ^rb++splt++=never
been ^vprf+ben+aux+xvbnx+=been
married ^vpsv++agls+xvbnx+=married,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
never ^rb++++=never
intend ^vb++++=intend
to ^to+vcmp+++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
Love ^nn++++=Love
is ^vbz+bez+vrb++=is
all ^abn++++=all
very ^ql+amp+++=very
well ^rb++++=well
in ^in++++=in
its ^pp$+it+++=its
way ^nn++++=way,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
friendship ^nn+nom+++=friendship
is ^vbz+bez+vrb++=is
much ^ap++++=much
higher ^jjr++++=higher.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
of ^in++++=of
nothing ^pn++++=nothing
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
either ^dtx++++=either
nobler ^jjr++++=nobler
or ^cc+phrs+++=or
rarer ^jjr++++=rarer
than ^in++++=than
a ^at++++=a
devoted ^jj+atrb++xvbn+=devoted
friendship ^nn+nom+++=friendship."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what,
, ^zz++++=EXTRAWORD
pray ^vb+vsua+++=pray,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
your ^pp$+pp2+++=your
idea ^nn++++=idea
of ^in++++=of
the ^ati++++=the
duties ^nns++++=duties
of ^in++++=of
a ^at++++=a
devoted ^jj+atrb++xvbn+=devoted
friend ^nn++++=friend?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
a ^at++++=a
Green ^jj+atrb+++=Green
Linnet ^np+++??+=Linnet,
, ^zz++++=EXTRAWORD
who ^wpr+who+whq++=who
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
in ^in++++=in
a ^at++++=a
willow ^nn++++=willow-tree
- ^zz++++=EXTRAWORD
tree ^nn++++=EXTRAWORD
hard ^jj++++=hard
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
overheard ^vprf+++xvbn+=overheard
the ^ati++++=the
conversation ^nn+nom+++=conversation.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
just ^rb+emph+++=just
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
know ^vbi+vprv+++=know,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Duck ^nn++++=Duck;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
swam ^vbd+++xvbnx+=swam
away ^rp+pl+++=away
to ^in++++=to
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
pond ^nn++++=pond,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stood ^vpsv++agls+xvbn+=stood
upon ^in++++=upon
her ^pp$+pp3+++=her
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
give ^vb++++=give
her ^pp$+pp3+++=her
children ^nns++++=children
a ^at++++=a
good ^jj+atrb+++=good
example ^nn++++=example.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
a ^at++++=a
silly ^jj+atrb+++=silly
question ^nn+nom+++=question!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
cried ^vbd+++xvbn+=cried
the ^ati++++=the
Water ^nn++++=Water-rat.
- ^zz++++=EXTRAWORD
rat ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
expect ^vb+vprv+tht0++=expect
my ^pp$+pp1+++=my
devoted ^jj+atrb++xvbn+=devoted
friend ^nn++++=friend
to ^to++++=to
be ^vbi+vbi+aux++=be
devoted ^vpsv++agls+xvbnx+=devoted
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc+cls+++=EXTRAWORD
what ^wdt+who+++=what
would ^md+prd+++=would
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
in ^in++++=in
return ^nn++++=return?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
little ^jj+atrb+++=little
bird ^nn++++=bird,
, ^zz++++=EXTRAWORD
swinging ^jj+++xvbg+=swinging
upon ^in++++=upon
a ^at++++=a
silver ^nn++++=silver
spray ^nn++++=spray,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flapping ^nvbg+++xvbg+=flapping
his ^pp$+pp3+++=his
tiny ^jj+atrb+++=tiny
wings ^nns++++=wings.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
understand ^vb+vprv+++=understand
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
Water ^nn++++=Water-rat.
- ^zz++++=EXTRAWORD
rat ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Let
let ^vb+++xvbn+=EXTRAWORD
me ^pp1o+pp1+++=me
tell ^vb++++=tell
you ^pp2+pp2+++=you
a ^at++++=a
story ^nn++++=story
on ^in++++=on
the ^ati++++=the
subject ^nn++++=subject,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Linnet ^np+++??+=Linnet.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
the ^ati++++=the
story ^nn++++=story
about ^rb++++=about
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
Water ^nn++++=Water-rat.
- ^zz++++=EXTRAWORD
rat ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
so ^ql++++=so,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
listen ^vb++++=listen
to ^in++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
extremely ^rb+amp+++=extremely
fond ^jj+pred+++=fond
of ^in++++=of
fiction ^nn+nom+++=fiction."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
applicable ^jj+pred+++=applicable
to ^in++++=to
you ^pp2+pp2+++=you,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
Linnet ^np+++??+=Linnet;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
flew ^vbd+++xvbnx+=flew
down ^rp++++=down,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
alighting ^vbg+++xvbg+=alighting
upon ^in++++=upon
the ^ati++++=the
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
told ^vbd+vpub++xvbnx+=told
the ^ati++++=the
story ^nn++++=story
of ^in++++=of
The ^ati++++=The
Devoted ^jj+atrb++xvbn+=Devoted
Friend ^nn++++=Friend.
. ^zz++++=EXTRAWORD
" ^zz++++="Once
once ^rb+tm+++=EXTRAWORD
upon ^in++++=upon
a ^at++++=a
time ^nn++++=time,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Linnet ^np+++??+=Linnet,
, ^zz++++=EXTRAWORD
" ^zz++++="there
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
an ^at++++=an
honest ^jj++++=honest
little ^ap++++=little
fellow ^jjb+atrb+++=fellow
named ^jj+++xvbn+=named
Hans ^np++++=Hans."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Was
was ^vbd+bedz+vrb++=EXTRAWORD
he ^pp3a+pp3+++=he
very ^ql+amp+++=very
distinguished ^jj+++xvbn+=distinguished?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
Water ^nn++++=Water-rat.
- ^zz++++=EXTRAWORD
rat ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="No,"
no ^at++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
Linnet ^np+++??+=Linnet,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
think ^vb+vprv+tht0++=think
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
distinguished ^vpsv++agls+xvbnx+=distinguished
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
except ^in++++=except
for ^in"++++=for
his ^pp$+pp3+++=his
kind ^nn++++=kind
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
funny ^jj++++=funny
round ^in++++=round
good ^jj++++=good-humoured
- ^zz++++=EXTRAWORD
humoured ^vbd+++xvbn+=EXTRAWORD
face ^nn++++=face.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
lived ^vbd+++xvbnx+=lived
in ^in++++=in
a ^at++++=a
tiny ^jj+atrb+++=tiny
cottage ^npl+nom+++=cottage
all ^abn++++=all
by ^in++++=by
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
every ^at++++=every
day ^nn++++=day
he ^pp3a+pp3+++=he
worked ^vbd+++xvbnx+=worked
in ^in++++=in
his ^pp$+pp3+++=his
garden ^nn++++=garden.
. ^zz++++=EXTRAWORD
In ^in++++=In
all ^abn++++=all
the ^ati++++=the
country ^nn++++=country-side
- ^zz++++=EXTRAWORD
side ^nn++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
garden ^nn++++=garden
so ^ql+emph+++=so
lovely ^jj++++=lovely
as ^ql++++=as
his ^pp$+pp3+++=his.
. ^zz++++=EXTRAWORD
Sweet ^jj++++=Sweet-william
- ^zz++++=EXTRAWORD
william ^np++++=EXTRAWORD
grew ^vbd+++xvbn+=grew
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Gilly ^np+++??+=Gilly-flowers,
- ^zz++++=EXTRAWORD
flowers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Shepherds ^nns++++=Shepherds'-purses,
'-purses, ^nn+++??+=EXTRAWORD
and ^cc++++=and
Fair ^jj++++=Fair-maids
- ^zz++++=EXTRAWORD
maids ^nns++++=EXTRAWORD
of ^in++++=of
France ^np++++=France.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
damask ^nn++++=damask
Roses ^nns++++=Roses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yellow ^jj+atrb+++=yellow
Roses ^nns++++=Roses,
, ^zz++++=EXTRAWORD
lilac ^jj+atrb+++=lilac
Crocuses ^np+++??+=Crocuses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gold ^nn++++=gold,
, ^zz++++=EXTRAWORD
purple ^jj+atrb+++=purple
Violets ^nns+nom+++=Violets
and ^cc++++=and
white ^jj++++=white.
. ^zz++++=EXTRAWORD
Columbine ^np+++??+=Columbine
and ^cc++++=and
Ladysmock ^np+++??+=Ladysmock,
, ^zz++++=EXTRAWORD
Marjoram ^np+++??+=Marjoram
and ^cc++++=and
Wild ^jj+atrb+++=Wild
Basil ^np++++=Basil,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Cowslip ^np+++??+=Cowslip
and ^cc++++=and
the ^ati++++=the
Flower ^nn++++=Flower-de-luce,
- ^zz++++=EXTRAWORD
de ^&fw++++=EXTRAWORD
- ^zz++++=EXTRAWORD
luce ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
Daffodil ^np+++??+=Daffodil
and ^cc++++=and
the ^ati++++=the
Clove ^np+++??+=Clove-Pink
- ^zz++++=EXTRAWORD
pink ^jj++++=EXTRAWORD
bloomed ^jj+++xvbn+=bloomed
or ^cc+phrs+++=or
blossomed ^jj+++xvbn+=blossomed
in ^in++++=in
their ^pp$+pp3+++=their
proper ^jj++++=proper
order ^to++++=order
as ^cs+sub+++=as
the ^ati++++=the
months ^nns++++=months
went ^vwbn+++xvbn+=went
by ^in+strn+++=by,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
flower ^nn++++=flower
taking ^vwbg+++xvbg+=taking
another ^dt++++=another
flower ^nn++++=flower's
's ^$++++=EXTRAWORD
place ^nn++++=place,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
always ^rb++++=always
beautiful ^jj+atrb+++=beautiful
things ^nns++++=things
to ^to++++=to
look ^vbi++++=look
at ^rb+cnj+++=at,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pleasant ^jj+atrb+++=pleasant
odours ^nns++++=odours
to ^to++++=to
smell ^vbi++++=smell.
. ^zz++++=EXTRAWORD
" ^zz++++="Little
little ^ap++++=EXTRAWORD
Hans ^np++++=Hans
had ^vb+hv+vrb++=had
a ^ap++++=a
great ^ap"++++=great
many ^ap"++++=many
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
most ^ql+emph+++=most
devoted ^jj+atrb++xvbn+=devoted
friend ^nn++++=friend
of ^in++++=of
all ^rb++++=all
was ^vbd+bedz+vrb++=was
big ^jj+atrb+++=big
Hugh ^np++++=Hugh
the ^ati++++=the
Miller ^nn++++=Miller.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
devoted ^jj+++xvbn+=devoted
was ^vbd+bedz+vrb++=was
the ^ati++++=the
rich ^jj+atrb+++=rich
Miller ^np++++=Miller
to ^in++++=to
little ^jj+atrb+++=little
Hans ^np++++=Hans,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
be ^vb+be+aux++=be
would ^md+prd+++=would
never ^rb++splt++=never
go ^vb++++=go
by ^in++++=by
his ^pp$+pp3+++=his
garden ^nn++++=garden
without ^in++++=without
leaning ^nn++++=leaning
over ^in++++=over
the ^ati++++=the
wall ^nn++++=wall
and ^cc++++=and
plucking ^vbg+++xvbg+=plucking
a ^at++++=a
large ^jj+atrb+++=large
nosegay ^nn+++??+=nosegay,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
handful ^nn+nom+++=handful
of ^in++++=of
sweet ^jj+atrb+++=sweet
herbs ^nns++++=herbs,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
filling ^nvbg+++xvbg+=filling
his ^pp$+pp3+++=his
pockets ^nns++++=pockets
with ^in++++=with
plums ^nns++++=plums
and ^cc++++=and
cherries ^nns++++=cherries
if ^cs+cnd+++=if
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
fruit ^nn++++=fruit
season ^nn++++=season.
. ^zz++++=EXTRAWORD
" ^zz++++="'Real
' ^zz++++=EXTRAWORD
real ^jj+atrb+++=EXTRAWORD
friends ^nns++++=friends
should ^md+nec+++=should
have ^vb+hv+vrb++=have
everything ^pn++++=everything
in ^rb++++=in
common ^rb"++++=common,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
the ^ati++++=the
Miller ^np++++=Miller
used ^md"++pmd"++=used
to ^to++++=to
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
little ^jj+atrb+++=little
Hans ^np++++=Hans
nodded ^vbd+++xvbn+=nodded
and ^cc+phrs+++=and
smiled ^vbd+++xvbn+=smiled,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
felt ^vbd+vprv++xvbn+=felt
very ^ql+amp+++=very
proud ^jj++++=proud
of ^in++++=of
having ^xvbg+++xvbg+=having
a ^at++++=a
friend ^nn++++=friend
with ^in++++=with
such ^abl++++=such
noble ^jj+atrb+++=noble
ideas ^nns++++=ideas.
. ^zz++++=EXTRAWORD
" ^zz++++="Sometimes,
sometimes ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
neighbours ^nns++++=neighbours
thought ^vbd+++xvbn+=thought
it ^pp3+it+++=it
strange ^jj++++=strange
that ^tht+jcmp+++=that
the ^ati++++=the
rich ^jj+atrb+++=rich
Miller ^np++++=Miller
never ^rb++++=never
gave ^vbd+++xvbn+=gave
little ^jj+atrb+++=little
Hans ^np++++=Hans
anything ^pn++++=anything
in ^in++++=in
return ^nn++++=return,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
a ^at++++=a
hundred ^cd++++=hundred
sacks ^nns++++=sacks
of ^in++++=of
flour ^nn++++=flour
stored ^vwbn+++xvbn+=stored
away ^rp+pl+++=away
in ^in++++=in
his ^pp$+pp3+++=his
mill ^nn++++=mill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
six ^cd++++=six
milch ^nn+++??+=milch
cows ^nns++++=cows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
large ^jj+atrb+++=large
flock ^nn++++=flock
of ^in++++=of
woolly ^jj+atrb+++=woolly
sheep ^nn++++=sheep;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Hans ^np++++=Hans
never ^rb++++=never
troubled ^jj+++xvbn+=troubled
his ^pp$+pp3+++=his
head ^jjb++++=head
about ^in++++=about
these ^dt+dem+++=these
things ^nns++++=things,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nothing ^pn++++=nothing
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
greater ^jjr+atrb+++=greater
pleasure ^nn++++=pleasure
than ^in++++=than
to ^to++++=to
listen ^vbi++++=listen
to ^in++++=to
all ^abn++++=all
the ^ati++++=the
wonderful ^jj+atrb+++=wonderful
things ^nns++++=things
the ^ati++++=the
Miller ^np++++=Miller
used ^md"++pmd"++=used
to ^to++++=to
say ^vb+vpub+++=say
about ^in++++=about
the ^ati++++=the
unselfishness ^nns+nom+++=unselfishness
of ^in++++=of
true ^jj+atrb+++=true
friendship ^nn+nom+++=friendship.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
little ^ap++++=little
Hans ^np++++=Hans
worked ^vbd+++xvbn+=worked
away ^rp+pl+++=away
in ^in++++=in
his ^pp$+pp3+++=his
garden ^nn++++=garden.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
spring ^nn++++=spring,
, ^zz++++=EXTRAWORD
the ^ati++++=the
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
autumn ^nn++++=autumn
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
happy ^jj++++=happy,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
when ^wrb+who+++=when
the ^ati++++=the
winter ^nn++++=winter
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
no ^at++++=no
fruit ^nn++++=fruit
or ^cc++++=or
flowers ^nns+nom+++=flowers
to ^to++++=to
bring ^vbi++++=bring
to ^rb+phrv+++=to
the ^ati++++=the
market ^nn++++=market,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
suffered ^vbd+++xvbnx+=suffered
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
from ^in++++=from
cold ^nn++++=cold
and ^cc++++=and
hunger ^nn++++=hunger,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
