[ ^zz++++=[1]
wagon ^nn++++=wagon
road ^nn++++=road
was ^vbd+bedz+vrb++=was
about ^in++++=about
a ^at++++=a
mile ^nn++++=mile
and ^cc++++=and
a ^at++++=a
half ^nn++++=half;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
trail ^nn++++=trail,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
little ^ap++++=little
used ^jj+++xvbn+=used,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
led ^vwbn+++xvbn+=led
over ^in++++=over
an ^at++++=an
intervening ^jj+atrb++xvbg+=intervening
range ^nn++++=range
of ^in++++=of
low ^jj++++=low,
, ^zz++++=EXTRAWORD
heavily ^rb++++=heavily
wooded ^jj+atrb+++=wooded
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
considerably ^rb++++=considerably
shortening ^vbg+++xvbg+=shortening
the ^ati++++=the
distance ^nn+nom+++=distance.
. ^zz++++=EXTRAWORD
By ^in++++=By
this ^dt+dem+++=this
trail ^nn++++=trail
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
returning ^vbg+++xvbgx+=returning
one ^cd1++++=one
evening ^nn++++=evening
later ^rbr+tm+++=later
than ^in++++=than
usual ^nn++++=usual.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
last ^rb++++=last
day ^nn++++=day
of ^in++++=of
the ^ati++++=the
term ^nn++++=term
and ^cc++++=and
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
detained ^vpsv++agls+xvbnx+=detained
at ^in++++=at
the ^ati++++=the
schoolhouse ^nn+++??+=schoolhouse
until ^in++++=until
almost ^rb+hdg+++=almost
dark ^jj++++=dark,
, ^zz++++=EXTRAWORD
preparing ^vbg+++xvbg+=preparing
an ^at++++=an
account ^nn++++=account
of ^in++++=of
my ^pp$+pp1+++=my
stewardship ^nn+nom+++=stewardship
for ^in++++=for
the ^ati++++=the
trustees ^nns+nom+++=trustees--two
-- ^--+clp+++=EXTRAWORD
two ^cd++++=EXTRAWORD
of ^in++++=of
whom ^whp+rel+pied++=whom,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
proudly ^rb++++=proudly
reflected ^vbd+vprv++xvbn+=reflected,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+vrb++=be
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
read ^vb+vprv++xvbn+=read
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
third ^od++++=third
( ^zz++++=(an
an ^at++++=EXTRAWORD
instance ^nn+nom+++=instance
of ^in++++=of
the ^ati++++=the
dominion ^nn++++=dominion
of ^in++++=of
mind ^nn++++=mind
over ^in++++=over
matter ^nn++++=matter)
) ^zz++++=EXTRAWORD
would ^md+prd+++=would
be ^vb+be+aux++=be
overruled ^vpsv++agls+xvbnx+=overruled
in ^in++++=in
his ^pp$+pp3+++=his
customary ^jj+atrb+++=customary
antagonism ^nn+nom+++=antagonism
to ^in++++=to
the ^ati++++=the
schoolmaster ^nn+nom+++=schoolmaster
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
creation ^nn+nom+++=creation.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
not ^xnot++not++=not
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
quarter ^nn++++=quarter
of ^in++++=of
the ^ati++++=the
way ^nn++++=way
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
finding ^vbg+++xvbg+=finding
an ^at++++=an
interest ^nn++++=interest
in ^in++++=in
the ^ati++++=the
antics ^nns++++=antics
of ^in++++=of
a ^at++++=a
family ^nn++++=family
of ^in++++=of
lizards ^nns++++=lizards
which ^whp+rel+subj++=which
dwelt ^vbd+++xvbn+=dwelt
thereabout ^nn+++??+=thereabout
and ^cc++++=and
seemed ^vbd+seem++xvbn+=seemed
full ^jj++++=full
of ^in++++=of
reptilian ^jj+atrb+++=reptilian
joy ^nn++++=joy
for ^in++++=for
their ^pp$+pp3+++=their
immunity ^nn+nom+++=immunity
from ^in++++=from
the ^ati++++=the
ills ^nns+++??+=ills
incident ^nn++++=incident
to ^in++++=to
life ^nn++++=life
at ^in++++=at
the ^ati++++=the
Brownville ^np+++??+=Brownville
House ^nn++++=House,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
upon ^in++++=upon
a ^at++++=a
fallen ^vprf+++xvbn+=fallen
tree ^nn++++=tree
to ^to++++=to
observe ^vbi+vprv+++=observe
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
leaned ^vbd+++xvbnx+=leaned
wearily ^rb++++=wearily
against ^in++++=against
a ^at++++=a
branch ^nn++++=branch
of ^in++++=of
the ^ati++++=the
gnarled ^jj+atrb+++=gnarled
old ^jj+atrb+++=old
trunk ^nn++++=trunk
the ^ati++++=the
twilight ^nn++++=twilight
deepened ^vbd+++xvbn+=deepened
in ^in++++=in
the ^ati++++=the
somber ^jjr+atrb+++=somber
woods ^nns++++=woods
and ^cc++++=and
the ^ati++++=the
faint ^jj+atrb+++=faint
new ^jj+atrb+++=new
moon ^np++++=moon
began ^vbd+++xvbn+=began
casting ^nvbg+++xvbg+=casting
visible ^jj+atrb+++=visible
shadows ^nps++++=shadows
and ^cc++++=and
gilding ^nvbg+++xvbg+=gilding
the ^ati++++=the
leaves ^nns++++=leaves
of ^in++++=of
the ^ati++++=the
trees ^nns++++=trees
with ^in++++=with
a ^at++++=a
tender ^jj+atrb+++=tender
but ^cc+phrs+++=but
ghostly ^jj+atrb+++=ghostly
light ^nn++++=light.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
sound ^nn++++=sound
of ^in++++=of
voices ^nns++++=voices--a
-- ^--+clp+++=EXTRAWORD
a ^at++++=EXTRAWORD
woman ^nn++++=woman's,
's, ^nn+++??+=EXTRAWORD
angry ^jj++++=angry,
, ^zz++++=EXTRAWORD
impetuous ^jj++++=impetuous,
, ^zz++++=EXTRAWORD
rising ^nvbg+++xvbg+=rising
against ^in++++=against
deep ^jj+atrb+++=deep
masculine ^jj+atrb+++=masculine
tones ^nns++++=tones,
, ^zz++++=EXTRAWORD
rich ^jj++++=rich
and ^cc+phrs+++=and
musical ^jj++++=musical.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
strained ^vbd+++xvbnx+=strained
my ^pp$+pp1+++=my
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
peering ^vbg+++xvbg+=peering
through ^in++++=through
the ^ati++++=the
dusky ^nn+++??+=dusky
shadows ^nps++++=shadows
of ^in++++=of
the ^ati++++=the
wood ^nn++++=wood,
, ^zz++++=EXTRAWORD
hoping ^vbg+vprv++xvbg+=hoping
to ^to+vcmp+++=to
get ^vbi++++=get
a ^at++++=a
view ^nn++++=view
of ^in++++=of
the ^ati++++=the
intruders ^nns+nom+++=intruders
on ^in++++=on
my ^pp$+pp1+++=my
solitude ^nn++++=solitude,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
could ^md+pos+++=could
see ^vb+vprv+++=see
no ^at++++=no
one ^pn++++=one.
. ^zz++++=EXTRAWORD
For ^in++++=For
some ^dti++++=some
yards ^nns++++=yards
in ^in++++=in
each ^dt++++=each
direction ^nn+nom+++=direction
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
an ^at++++=an
uninterrupted ^jj+atrb+++=uninterrupted
view ^nn++++=view
of ^in++++=of
the ^ati++++=the
trail ^nn++++=trail,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
knowing ^vbg+vprv++xvbg+=knowing
of ^in++++=of
no ^at++++=no
other ^ap++++=other
within ^in++++=within
a ^at++++=a
half ^nn++++=half
mile ^nn++++=mile
thought ^vbd+++xvbn+=thought
the ^ati++++=the
persons ^nns++++=persons
heard ^vbd+vprv++xvbn+=heard
must ^md+nec+++=must
be ^vb+be+aux++=be
approaching ^vbg+++xvbgx+=approaching
from ^in++++=from
the ^ati++++=the
wood ^nn++++=wood
at ^rb++++=at
one ^cd1++++=one
side ^nn++++=side.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
sound ^jj++++=sound
but ^cs+sub+++=but
that ^cs"++++=that
of ^in++++=of
the ^ati++++=the
voices ^nns++++=voices,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
now ^rn+tm+++=now
so ^rb+emph+++=so
distinct ^jj++++=distinct
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
could ^md+pos+++=could
catch ^vb++++=catch
the ^ati++++=the
words ^nns++++=words.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
of ^in++++=of
the ^ati++++=the
man ^nn++++=man
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
an ^at++++=an
impression ^nn++++=impression
of ^in++++=of
anger ^nn++++=anger,
, ^zz++++=EXTRAWORD
abundantly ^rb++++=abundantly
confirmed ^vpsv++by+xvbn+=confirmed
by ^in++++=by
the ^ati++++=the
matter ^nn++++=matter
spoken ^vbd+++xvbn+=spoken.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
have ^vb+hv+vrb++=have
no ^at++++=no
threats ^nns++++=threats;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
powerless ^jj+pred+++=powerless,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
very ^ql+amp+++=very
well ^rb++++=well
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Let ^jj+atrb++xvbn+=Let
things ^nns++++=things
remain ^vb++++=remain
as ^ql++++=as
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
or ^cc++++=or,
, ^zz++++=EXTRAWORD
by ^in++++=by
God ^np++++=God!
! ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
both ^abx++++=both
suffer ^vb++++=suffer
for ^in++++=for
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
mean?" ^nn+++??+=mean?"--this
-- ^--+clp+++=EXTRAWORD
this ^dt+pdem+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
voice ^nn++++=voice
of ^in++++=of
the ^ati++++=the
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
a ^at++++=a
cultivated ^jj+atrb++xvbn+=cultivated
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
the ^ati++++=the
voice ^nn++++=voice
of ^in++++=of
a ^at++++=a
lady ^nn++++=lady.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
would ^md+prd+++=would
not ^xnot++not++=not--murder
-- ^--+clp+++=EXTRAWORD
murder ^nn++++=EXTRAWORD
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
reply ^nn++++=reply,
, ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least
none ^pn++++=none
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
audible ^jj+pred+++=audible
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
silence ^nn+nom+++=silence
I ^pp1a+pp1+++=I
peered ^vbd+++xvbnx+=peered
into ^in++++=into
the ^ati++++=the
wood ^nn++++=wood
in ^in++++=in
hope ^vb++++=hope
to ^to+vcmp+++=to
get ^vbi++++=get
a ^at++++=a
glimpse ^nn++++=glimpse
of ^in++++=of
the ^ati++++=the
speakers ^nns+nom+++=speakers,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
sure ^jj++++=sure
that ^tht+jcmp+++=that
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
an ^at++++=an
affair ^nn++++=affair
of ^in++++=of
gravity ^nn+nom+++=gravity
in ^in++++=in
which ^whp+rel+pied++=which
ordinary ^jj+atrb+++=ordinary
scruples ^nns+++??+=scruples
ought ^md+nec+++=ought
not ^xnot++not++=not
to ^to++++=to
count ^vbi++++=count.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
me ^vbi++++=me
that ^dt+dem+++=that
the ^ati++++=the
woman ^nn++++=woman
was ^vbd+bedz+vrb++=was
in ^in++++=in
peril ^nn++++=peril;
; ^zz++++=EXTRAWORD
at ^rb++++=at
any ^dti++++=any
rate ^nn++++=rate
the ^ati++++=the
man ^nn++++=man
had ^vb+hv+aux++=had
not ^xnot++not++=not
disavowed ^vprf+++xvbn+=disavowed
a ^at++++=a
willingness ^nns+nom+++=willingness
to ^to+ncmp+++=to
murder ^vb++++=murder.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
a ^at++++=a
man ^nn++++=man
is ^vbz+bez+aux++=is
enacting ^vbg+++xvbgx+=enacting
the ^ati++++=the
rle ^nn+++??+=rle
of ^in++++=of
potential ^jj+atrb+++=potential
assassin ^nn++++=assassin
he ^pp3a+pp3+++=he
has ^vbz+hvz+vrb++=has
not ^xnot++not++=not
the ^ati++++=the
right ^nn++++=right
to ^to+ncmp+++=to
choose ^vbi++++=choose
his ^pp$+pp3+++=his
audience ^nn+nom+++=audience.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
some ^dti++++=some
little ^jj+atrb+++=little
time ^nn++++=time
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
indistinct ^nn+++??+=indistinct
in ^in++++=in
the ^ati++++=the
moonlight ^nn++++=moonlight
among ^in++++=among
the ^ati++++=the
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man,
, ^zz++++=EXTRAWORD
tall ^jj++++=tall
and ^cc+phrs+++=and
slender ^jj++++=slender,
, ^zz++++=EXTRAWORD
seemed ^j+++xvbn+=seemed
clothed ^jj+++xvbn+=clothed
in ^in++++=in
black ^nn++++=black;
; ^zz++++=EXTRAWORD
the ^ati++++=the
woman ^nn++++=woman
wore ^vbd+++xvbn+=wore,
, ^zz++++=EXTRAWORD
as ^ql++++=as
nearly ^rb+down+++=nearly
as ^ql++++=as
I ^pp1a+pp1+++=I
could ^md+pos+++=could
make ^vb++++=make
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
a ^at++++=a
gown ^nn++++=gown
of ^in++++=of
gray ^np++++=gray
stuff ^nn++++=stuff.
. ^zz++++=EXTRAWORD
Evidently ^rb++++=Evidently
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
still ^rb+atrb+++=still
unaware ^jj+pred+++=unaware
of ^in++++=of
my ^pp$+pp1+++=my
presence ^nn+nom+++=presence
in ^in++++=in
the ^ati++++=the
shadow ^nn++++=shadow,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
for ^in++++=for
some ^dti++++=some
reason ^nn++++=reason
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
renewed ^vbd+++xvbnx+=renewed
their ^pp$+pp3+++=their
conversation ^nn+nom+++=conversation
they ^pp3a+pp3+++=they
spoke ^vbd+++xvbnx+=spoke
in ^in++++=in
lower ^jjr+atrb+++=lower
tones ^nns++++=tones
and ^cc++++=and
I ^pp1a+pp1+++=I
could ^md+pos+++=could
no ^at++++=no
longer ^rbr++++=longer
understand ^vb+vprv+++=understand.
. ^zz++++=EXTRAWORD
As ^ql++++=As
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
the ^ati++++=the
woman ^nn++++=woman
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
sink ^vbi++++=sink
to ^in++++=to
the ^ati++++=the
ground ^nn++++=ground
and ^cc++++=and
raise ^vb++++=raise
her ^pp$+pp3+++=her
hands ^nns++++=hands
in ^in++++=in
supplication ^nn+nom+++=supplication,
, ^zz++++=EXTRAWORD
as ^ql++++=as
is ^vbz+bez+aux++=is
frequently ^rb++splt++=frequently
done ^vpsv++agls+xvbnx+=done
on ^in++++=on
the ^ati++++=the
stage ^nn++++=stage
and ^cc++++=and
never ^rb+cnj+++=never,
, ^zz++++=EXTRAWORD
so ^ql++++=so
far ^rb+pl+++=far
as ^ql++++=as
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew,
, ^zz++++=EXTRAWORD
anywhere ^rb++++=anywhere
else ^rb+cnj+++=else,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
now ^rn+tm+++=now
not ^xnot++not++=not
altogether ^nn+nom+++=altogether
sure ^jj++++=sure
that ^tht+jcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done
in ^in++++=in
this ^dt+dem+++=this
instance ^nn+nom+++=instance.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
fixed ^vbd+++xvbn+=fixed
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
upon ^in++++=upon
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
glitter ^vbi++++=glitter
bleakly ^rb++++=bleakly
in ^in++++=in
the ^ati++++=the
moonlight ^nn++++=moonlight
with ^in++++=with
an ^at++++=an
expression ^vb++++=expression
that ^tht+vcmp+subj++=that
made ^vbd+++xvbn+=made
me ^pp1o+pp1+++=me
apprehensive ^jj++++=apprehensive
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
turn ^vb++++=turn
them ^pp3o+pp3+++=them
upon ^in++++=upon
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know
by ^in++++=by
what ^wdt+who+++=what
impulse ^nn++++=impulse
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
moved ^vpsv++agls+xvbnx+=moved,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
sprang ^vbd+++xvbnx+=sprang
to ^in++++=to
my ^pp$+pp1+++=my
feet ^nns++++=feet
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
shadow ^nn++++=shadow.
. ^zz++++=EXTRAWORD
At ^rb++++=At
that ^dt+dem+++=that
instant ^nn+nom+++=instant
the ^ati++++=the
figures ^nns++++=figures
vanished ^vbd+++xvbn+=vanished.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
peered ^vbd+++xvbnx+=peered
in ^rb++++=in
vain ^rb"++++=vain
through ^in++++=through
the ^ati++++=the
spaces ^nns++++=spaces
among ^in++++=among
the ^ati++++=the
trees ^nns++++=trees
and ^cc++++=and
clumps ^nns++++=clumps
of ^in++++=of
undergrowth ^nn++++=undergrowth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
night ^nn++++=night
wind ^nn++++=wind
rustled ^vbd+++xvbn+=rustled
the ^ati++++=the
leaves ^nns++++=leaves;
; ^zz++++=EXTRAWORD
the ^ati++++=the
lizards ^nns++++=lizards
had ^vbd+hvd+aux++=had
retired ^vprf+++xvbnx+=retired
early ^jj++++=early,
, ^zz++++=EXTRAWORD
reptiles ^nns++++=reptiles
of ^in++++=of
exemplary ^jj+atrb+++=exemplary
habits ^nns++++=habits.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^ap++++=little
moon ^np++++=moon
was ^vbd+bedz+aux++=was
already ^rb++splt++=already
slipping ^vbg+++xvbgx+=slipping
behind ^in+pl+++=behind
a ^at++++=a
black ^jj+atrb+++=black
hill ^nn++++=hill
in ^in++++=in
the ^ati++++=the
west ^np+pl+++=west.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
home ^nr++++=home,
, ^zz++++=EXTRAWORD
somewhat ^rb+down+++=somewhat
disturbed ^vbd+++xvbn+=disturbed
in ^in++++=in
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
half ^abn++++=half
doubting ^vb+++xvbg+=doubting
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
or ^cc+phrs+++=or
seen ^vbd+vprv++xvbn+=seen
any ^dti++++=any
living ^jj+atrb++xvbg+=living
thing ^nn++++=thing
excepting ^in++++=excepting
the ^ati++++=the
lizards ^nns++++=lizards.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
all ^abn++++=all
seemed ^jj+++xvbn+=seemed
a ^at++++=a
trifle ^nn++++=trifle
odd ^jj++++=odd
and ^cc+phrs+++=and
uncanny ^jj++++=uncanny.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
as ^cs+sub+++=as
if ^cs+cnd+++=if
among ^in++++=among
the ^ati++++=the
several ^ap++++=several
phenomena ^nns++++=phenomena,
, ^zz++++=EXTRAWORD
objective ^jj++++=objective
and ^cc+phrs+++=and
subjective ^jj++++=subjective,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
made ^vprf+++xvbn+=made
the ^ati++++=the
sum ^nn++++=sum
total ^nn++++=total
of ^in++++=of
the ^ati++++=the
incident ^nn++++=incident
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
