Sailormen ^np+++??+=Sailormen
to ^to++++=to
eat ^vbi++++=eat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
them ^pp3o+pp3+++=them
two ^cd++++=two
sovereigns ^nns++++=sovereigns
in ^in++++=in
the ^ati++++=the
lining ^jj+++xvbg+=lining
of ^in++++0=o'
my ^pp$+pp1+++=my
coat ^nn++++=coat
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
over ^in++++=over
two ^cd++++=two
thousand ^cd++++=thousand
miles ^nns++++=miles
away ^in+pl+++=away
from ^in"++++=from
the ^ati++++=the
nearest ^jjt+atrb+++=nearest
pub ^nn++++=pub.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
on ^in++++=on'y
'y ^nn+++??+=EXTRAWORD
knew ^vbd+vprv++xvbn+=knew
one ^cd1++++=one
miser ^nn++++=miser
all ^rb++++=all
the ^ati++++=the
years ^nns++++=years
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
at ^rb++++=at
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Thomas ^np++++=Thomas
Geary ^np+++??+=Geary
' ^zz++++='is
is ^vbz+bez+aux++=EXTRAWORD
name ^nn++++=name
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
was ^vbd+bedz+vrb++=was
shipmates ^nns+nom+++=shipmates
aboard ^in+pl+++=aboard
the ^ati++++=the
barque ^nn+++??+=barque
Grenada ^np+++??+=Grenada,
, ^zz++++=EXTRAWORD
homeward ^rb++++=homeward
bound ^vbd+++xvbn+=bound
from ^in++++=from
Sydney ^np++++=Sydney
to ^in++++=to
London ^np++++=London.
. ^zz++++=EXTRAWORD
Thomas ^np++++=Thomas
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
getting ^vbg+++xvbgx+=getting
into ^in+ppvb+++=into
years ^nns++++=years;
; ^zz++++=EXTRAWORD
sixty ^cd++++=sixty,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+++=think
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
old ^jj++++=old
enough ^qlp++++=enough
to ^to++++=to
know ^vbi+vprv+++=know
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
' ^zz++++='E'd
e ^zz++++=EXTRAWORD
'd ^vbd+hvd+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
saving ^vbg+++xvbgx+=saving
' ^zz++++='ard
ard ^nn+++??+=EXTRAWORD
for ^in++++=for
over ^in++++=over
forty ^cd++++=forty
years ^nns++++=years,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
near ^in+pl+++=near
as ^ql++++=as
we ^pp1a+pp1+++=we
could ^md+pos+++=could
make ^vb++++=make
out ^rp+pl+++=out
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
worth ^in++++=worth
a ^at++++=a
matter ^nn++++=matter
of ^in++++0=o'
six ^cd++++=six
' ^zz++++='undered
undered ^jj+atrb++xvbn+=EXTRAWORD
pounds ^nns++++=pounds.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
used ^md"++pmd"++=used
to ^to++++=to
be ^vbi++vrb++=be
fond ^jj++++=fond
of ^in++++0=o'
talking ^nn++++=talking
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
letting ^nvbg+++xvbg+=letting
us ^pp1o+pp1+++=us
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
much ^ap++++=much
better ^jjr++++=better
off ^rp+pl+++=off
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
than ^in++++=than
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
rest ^nn++++=rest
of ^in++++=of
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
was ^vbd+bedz+vrb++=was
about ^in++++=about
a ^at++++=a
month ^nn++++=month
out ^rp+pl+++=out
from ^in++++=from
Sydney ^np++++=Sydney
when ^wrb+who+++=when
old ^jj+atrb+++=old
Thomas ^np++++=Thomas
took ^vbd+++xvbn+=took
sick ^jj++++=sick.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
Hicks ^np++++=Hicks
said ^vbd+vpub++xvbn+=said
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
owing ^in+cmpx+++=owing
to ^in"++++=to
a ^at++++=a
ha ^uh++++=ha'penny
'penny ^nn+++??+=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
account ^nn++++=account
for ^in+strn+++=for;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
Walter ^np++++=Walter
Jones ^np++++=Jones,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
family ^nn++++=family
was ^vbd+bedz+vrb++=was
always ^rb++++=always
ill ^jj+pred+++=ill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thought ^nn+++xvbn+=thought
' ^zz++++='e
e ^zz++++=EXTRAWORD
knew ^vbd+vprv++xvbn+=knew
a ^at++++=a
lot ^nn++++=lot
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
said ^vb+++xvbn+=said
that ^tht+vcmp+++=that
' ^zz++++='e
e ^zz++++=EXTRAWORD
knew ^vbd+vprv++xvbn+=knew
wot ^wpr++++=wot
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
' ^zz++++='e
e ^zz++++=EXTRAWORD
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
remember ^nn+nom+++=remember
the ^ati++++=the
name ^nn++++=name
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
got ^vbd+++xvbn+=got
to ^to+vcmp+++=to
London ^vb++++=London
and ^cc++++=and
Thomas ^np++++=Thomas
saw ^vbd+vprv++xvbn+=saw
a ^at++++=a
doctor ^nn++++=doctor,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
should ^md+nec+++=should
see ^vb+vprv+++=see
as ^in++++=as
' ^zz++++='ow
ow ^nn+++??+=EXTRAWORD
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
right ^jj+pred+++=right.
. ^zz++++=EXTRAWORD
Whatever ^nn+nom+++=Whatever
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
got ^vbd+++xvbn+=got
worse ^jjr++++=worse
and ^cc+phrs+++=and
worse ^jjr++++=worse.
. ^zz++++=EXTRAWORD
The ^ati++++=The
skipper ^nn++++=skipper
came ^vbd+++xvbn+=came
down ^rp++++=down
and ^cc++++=and
gave ^vbd+++xvbn+=gave
' ^zz++++='im
im ^&fw++++=EXTRAWORD
some ^dti++++=some
physic ^nn++++=physic
and ^cc++++=and
looked ^vpsv++agls+xvbn+=looked
at ^in++++=at
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
tongue ^nn++++=tongue,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
' ^zz++++='e
e ^zz++++=EXTRAWORD
looked ^vbd+++xvbn+=looked
at ^rb++++=at
our ^pp$+pp1+++=our
tongues ^nns++++=tongues
to ^to++++=to
see ^vbi+vprv+++=see
wot ^wpr++++=wot
the ^ati++++=the
difference ^nn+nom+++=difference
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
' ^zz++++='e
e ^zz++++=EXTRAWORD
left ^vprf+++xvbn+=left
the ^ati++++=the
cook ^nn++++=cook
in ^in++++=in
charge ^in"++++=charge
of ^in"++++=of
' ^zz++++='im
im ^&fw++++=EXTRAWORD
and ^cc++++=and
went ^vbd+++xvbn+=went
off ^rp+pl+++=off.
. ^zz++++=EXTRAWORD
The ^ati++++=The
next ^ap++++=next
day ^nn++++=day
Thomas ^np++++=Thomas
was ^vbd+bedz+vrb++=was
worse ^jjr+pred+++=worse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
soon ^rb+tm+++=soon
clear ^jj+pred+++=clear
to ^in++++=to
everybody ^pn++++=everybody
but ^cc++++=but
' ^zz++++='im
im ^&fw++++=EXTRAWORD
that ^cs+sub+++=that
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
slipping ^vbg+++xvbgx+=slipping
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
cable ^nn++++=cable.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
believe ^vb+vprv+++=believe
it ^pp3+it+++=it
at ^rb++++=at
first ^rb"++++=first,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
the ^ati++++=the
cook ^nn++++=cook
told ^vbd+vpub++xvbn+=told
' ^zz++++='im,
im ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
Hicks ^np++++=Hicks
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Walter ^np++++=Walter
Jones ^np++++=Jones
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
a ^at++++=a
grandfather ^nn+nom+++=grandfather
that ^tht+rel+subj++=that
went ^vbd+++xvbn+=went
off ^rp+pl+++=off
in ^in++++=in
just ^rb+emph+++=just
the ^ati++++=the
same ^ap++++=same
way ^nn++++=way.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
not ^xnot++not++=not
going ^md"++pmd"++=going
to ^md+prd+++=to
die ^vb++++=die,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Thomas ^np++++=Thomas
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
can ^md+pos+++=can
I ^pp1a+pp1+++=I
die ^vb++++=die
and ^cc+phrs+++=and
leave ^vb++++=leave
all ^abn++++=all
that ^dt+dem+++=that
money ^nn++++=money?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It'll
it ^pp3+it+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
be ^vb+be+vrb++=be
good ^jj+pred+++=good
for ^in++++=for
your ^pp$+pp2+++=your
relations ^nns+nom+++=relations,
, ^zz++++=EXTRAWORD
Thomas ^np++++=Thomas,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Walter ^np++++=Walter
Jones ^np++++=Jones.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
ai ^vb+be+++=ain't
n't ^xnot++not++0=EXTRAWORD
got ^vprf+++xvbn+=got
any ^dti++++=any,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
your ^pp$+pp2+++=your
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
Thomas ^np++++=Thomas,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Walter ^np++++=Walter,
, ^zz++++=EXTRAWORD
soft ^jj++++=soft-like.
- ^zz++++=EXTRAWORD
like ^in+strn+++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="Ain't
ai ^vb+be+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
got ^vprf+++xvbn+=got
any ^dti++++=any,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
ag ^nn++++=ag'in.
'in. ^nn+++??+=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
' ^zz++++='ave,
ave ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Thomas ^np++++=Thomas,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Walter ^np++++=Walter,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
kind ^nn++++=kind
smile ^nn++++=smile;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
could ^md+pos+++=could
tell ^vb++++=tell
you ^pp2+pp2+++=you
one ^cd1++++=one
you ^pp2+pp2+++=you've
've ^vb+hv+aux++0=EXTRAWORD
got ^vprf+++xvbnx+=got."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Thomas ^np++++=Thomas
shut ^vbd+++xvbn+=shut
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
at ^in++++=at
' ^zz++++='im
im ^&fw++++=EXTRAWORD
and ^cc++++=and
began ^vbd+++xvbn+=began
to ^to++++=to
talk ^vbi++++=talk
pitiful ^jj++++=pitiful
about ^in++++=about
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
money ^nn++++=money
and ^cc++++=and
the ^ati++++=the
' ^zz++++='ard
ard ^nn+++??+=EXTRAWORD
work ^nn++++=work
' ^zz++++='e'd
e ^zz++++=EXTRAWORD
'd ^md+prd+vrb++0=EXTRAWORD
' ^zz++++='ad
ad ^&fw++++=EXTRAWORD
saving ^nvbg+++xvbg+=saving
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
by ^in++++=by-and-by
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
by ^in++++=EXTRAWORD
' ^zz++++='e
e ^zz++++=EXTRAWORD
got ^vprf+++xvbn+=got
worse ^jjr++++=worse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
reckernise ^vb++++=reckernise
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
thought ^vbd+++xvbn+=thought
we ^pp1a+pp1+++=we
was ^vbd+bedz+vrb++=was
a ^at++++=a
pack ^nn++++=pack
of ^in++++0=o'
greedy ^jj++++=greedy,
, ^zz++++=EXTRAWORD
drunken ^jj++++=drunken
sailormen ^jj+++xvbn+=sailormen.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
thought ^vbd+++xvbnx+=thought
Walter ^np++++=Walter
Jones ^np++++=Jones
was ^vbd+bedz+vrb++=was
a ^at++++=a
shark ^nn+++??+=shark,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub++xvbn+=told
' ^zz++++='im
im ^&fw++++=EXTRAWORD
so ^rb+cnj+++=so,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
try ^vb++++=try
all ^abn++++=all
' ^zz++++='e
e ^zz++++=EXTRAWORD
could ^md+pos+++=could,
, ^zz++++=EXTRAWORD
Walter ^np++++=Walter
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
persuade ^vb++++=persuade
' ^zz++++='im
im ^&fw++++=EXTRAWORD
different ^jj++++=different.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
died ^vbd+++xvbnx+=died
the ^ati++++=the
day ^nn++++=day
arter ^jjr++++=arter.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
morning ^nn++++=morning
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
whimpering ^vbg+++xvbgx+=whimpering
about ^in++++=about
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
money ^nn++++=money
ag ^nn++++=ag'in,
'in, ^nn+++??+=EXTRAWORD
and ^cc++++=and
angry ^jj++++=angry
with ^in++++=with
Bill ^nn++++=Bill
when ^wrb+who+++=when
' ^zz++++='e
e ^zz++++=EXTRAWORD
reminded ^vbd+vsua++xvbn+=reminded
' ^zz++++='im
im ^&fw++++=EXTRAWORD
that ^cs+sub+++=that
' ^zz++++='e
e ^zz++++=EXTRAWORD
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
take ^vb++++=take
it ^pp3+it+++=it
with ^in++++=with
' ^zz++++='im,
im ^&fw++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='e
e ^zz++++=EXTRAWORD
made ^vbd+++xvbn+=made
Bill ^nn++++=Bill
promise ^nn++++=promise
that ^tht+ncmp+++=that
' ^zz++++='e
e ^zz++++=EXTRAWORD
should ^md+nec+++=should
be ^vb+be+aux++=be
buried ^vpsv++agls+xvbnx+=buried
just ^rb+emph+++=just
as ^in++++=as
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Bill ^nn++++=Bill
tucked ^vbd+++xvbn+=tucked
him ^pp3o+pp3+++=him
up ^rp++++=up
arter ^jjr++++=arter
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
' ^zz++++='e
e ^zz++++=EXTRAWORD
felt ^vprf+++xvbn+=felt
a ^at++++=a
canvas ^nn++++=canvas
belt ^nn++++=belt
tied ^vbd+++xvbn+=tied
round ^rb++++=round
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man's
's ^$++++=EXTRAWORD
waist ^nn++++=waist
' ^zz++++='e
e ^zz++++=EXTRAWORD
began ^vbd+++xvbn+=began
to ^to++++=to
see ^vbi+vprv+++=see
wot ^wpr++++=wot
' ^zz++++='e
e ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
driving ^vbg+++xvbgx+=driving
at ^rb++++=at.
. ^zz++++=EXTRAWORD
The ^ati++++=The
weather ^nn++++=weather
was ^vbd+bedz+vrb++=was
dirty ^jj+pred+++=dirty
that ^dt+dem+++=that
day ^nn++++=day
and ^cc++++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
bit ^nn++++=bit
of ^in++++0=o'
sea ^nn++++=sea
running ^vwbg+++xvbg+=running,
, ^zz++++=EXTRAWORD
consequently ^rb+cnj+++=consequently
all ^abn++++=all
' ^zz++++='ands
ands ^nns+++??+=EXTRAWORD
was ^vbd+bedz+vrb++=was
on ^in++++=on
deck ^nn++++=deck,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
boy ^nn++++=boy
about ^in++++=about
sixteen ^cd++++=sixteen
wot ^wpr++++=wot
used ^vbd+++xvbn+=used
to ^to++++=to
' ^zz++++='elp
elp ^nn+++??+=EXTRAWORD
the ^ati++++=the
steward ^nn++++=steward
down ^rp++++=down
aft ^jjb++++=aft
was ^vbd+bedz+vrb++=was
lookin ^nn+++??+=lookin'
' ^zz++++=EXTRAWORD
arter ^jjr++++=arter
Thomas ^np++++=Thomas.
. ^zz++++=EXTRAWORD
Me ^pp1o+pp1+++=Me
and ^cc++++=and
Bill ^nn++++=Bill
just ^rb+emph+++=just
run ^vb+++xvbn+=run
down ^rb+phrv+++=down
to ^to++++=to
give ^vbi++++=give
a ^at++++=a
look ^vb++++=look
at ^rb++++=at
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man
in ^in++++=in
time ^nn++++=time.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+aux++=am
going ^md"++pmd"++=going
to ^md+prd+++=to
take ^vb++++=take
it ^pp3+it+++=it
with ^in++++=with
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
old ^jj+atrb+++=old
man ^nn++++=man.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
right ^nn++++=right,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
mind ^nn++++=mind's--easy
's--easy ^nn+++??+=EXTRAWORD
now ^rn+tm+++=now,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Thomas ^np++++=Thomas.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
gave ^vbd+++xvbnx+=gave
it ^pp3+it+++=it
to ^in++++=to
Jimmy ^np++++=Jimmy--to--to--throw
-- ^--+clp+++=EXTRAWORD
to ^to++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
to ^to++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
throw ^vb++++=EXTRAWORD
overboard ^rb+pl+++=overboard
for ^in++++=for
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Wot?"
wot ^wpr++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
Bill ^nn++++=Bill,
, ^zz++++=EXTRAWORD
staring ^vbg+++xvbg+=staring.
. ^zz++++=EXTRAWORD
" ^zz++++="That's
that ^dt+pdem+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
right ^nn++++=right,
, ^zz++++=EXTRAWORD
Bill ^nn++++=Bill,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says
the ^ati++++=the
boy ^nn++++=boy.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
packet ^nn++++=packet
of ^in++++0=o'
banknotes ^nns++++=banknotes.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gave ^vbd+++xvbnx+=gave
me ^pp1o+pp1+++=me
tuppence ^nns+nom+++=tuppence
for ^in++++=for
doing ^xvbg+++xvbg+=doing
it ^pp3+it+++=it."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Old ^jj+atrb+++=Old
Thomas ^np++++=Thomas
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
listening ^vbg+++xvbgx+=listening.
. ^zz++++=EXTRAWORD
' ^zz++++='Is
is ^vbz+bez+aux++=EXTRAWORD
eyes ^nns++++=eyes
was ^vbd+bedz+vrb++=was
open ^jj+pred+++=open,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
' ^zz++++='e
e ^zz++++=EXTRAWORD
looked ^vbd+++xvbn+=looked
artful ^jj++++=artful
at ^rb++++=at
Bill ^nn++++=Bill
to ^to++++=to
think ^vbi+vprv+++=think
what ^wdt+who+whcl++=what
a ^at++++=a
clever ^jj+atrb+++=clever
thing ^nn++++=thing
' ^zz++++='e'd
e ^zz++++=EXTRAWORD
'd ^vbd+hvd+aux++0=EXTRAWORD
done ^vprf+++xvbnx+=done.
. ^zz++++=EXTRAWORD
" ^zz++++="Nobody's
nobody ^pn++++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
goin ^nn+++??+=goin'-to
'-to ^nn+++??+=EXTRAWORD
spend ^vb++++=spend-my
- ^zz++++=EXTRAWORD
my ^pp$+pp1+++=EXTRAWORD
money ^nn++++=money,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
' ^zz++++='e
e ^zz++++=EXTRAWORD
says ^vbz+vpub+++=says.
. ^zz++++=EXTRAWORD
" ^zz++++="Nobody's"
nobody ^pn++++=EXTRAWORD
's" ^nn+++??+=EXTRAWORD
We ^pp1a+pp1+++=We
drew ^vbd+++xvbn+=drew
back ^jjb++++=back
from ^in++++=from
' ^zz++++='is
is ^vbz+bez+vrb++=EXTRAWORD
bunk ^nn++++=bunk
and ^cc++++=and
stood ^vbd+++xvbn+=stood
