We ^pp1a+pp1+++=We
is ^vbz+bez+vrb++=is
a ^at++++=a
man ^nn++++=man
of ^in++++=of
that ^dt+dem+++=that
profundity ^nn+nom+++=profundity
in ^in++++=in
the ^ati++++=the
matter ^nn++++=matter
of ^in++++=of
vote ^nn++++=vote-giving,
- ^zz++++=EXTRAWORD
giving ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
never ^rb++++=never
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
means ^nns++++=means.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
voting ^vbg+++xvbgx+=voting
pure ^jj+atrb+++=pure
white ^nn++++=white,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
may ^md+pos+++=may
be ^vb+be+vrb++=be
in ^in++++=in
reality ^nn+nom+++=reality
voting ^vwbg+++xvbg+=voting
jet ^nn++++=jet
black ^jj++++=black.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says
Yes ^uh++++=Yes,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
just ^rb+emph+++=just
as ^in++++=as
likely ^jj++++=likely
as ^ql++++=as
not ^xnot++not++=not
or ^cc++++=or
rather ^rb++++=rather
more ^ql++++=more
so ^cs+sub+++=so
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
means ^nns++++=means
No ^at++++=No.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
the ^ati++++=the
statesmanship ^nn+nom+++=statesmanship
of ^in++++=of
our ^pp$+pp1+++=our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
in ^in++++=in
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
differs ^nns+nom+++=differs
from ^in++++=from
mere ^jjb+atrb+++=mere
unparliamentary ^jj+atrb+++=unparliamentary
men ^nns++++=men.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=YOU
may ^md+pos+++=may
not ^xnot++not++=not
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
meant ^vbd+vprv++xvbnx+=meant
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
means ^nns++++=means
now ^rn+tm+++=now;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend
knows ^vbz+vprv+++=knows,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
did ^vbd+dod+vrb++=did
from ^in++++=from
the ^ati++++=the
first ^od++++=first
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
both ^abx++++=both
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
meant ^vbd+vprv++xvbnx+=meant
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
means ^nns++++=means
now ^rn+tm+++=now;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
said ^vbd+vpub+tht0+xvbnx+=said
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
mean ^vb+vprv+++=mean
it ^pp3+it+++=it
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
in ^in++++=in
fact ^nn++++=fact
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
means ^nns++++=means
it ^pp3+it+++=it
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
say ^vbi+vpub+++=say
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
do ^vb+do+vrb++=do
not ^xnot++not++=not
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did
mean ^vb+vprv+++=mean
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
does ^vbz+doz+aux++=does
mean ^vb+vprv+++=mean
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend
will ^md+prd+++=will
be ^vb+be+vrb++=be
glad ^jj+pred+++=glad
to ^to+jcmp+++=to
receive ^vbi++++=receive
an ^at++++=an
explicit ^jj+atrb+++=explicit
declaration ^nn+nom+++=declaration
from ^in++++=from
you ^pp2+pp2+++=you
whether ^cs+who+++=whether
you ^pp2+pp2+++=you
are ^vb+ber+aux++=are
prepared ^jj++agls+xvbnx+=prepared
to ^to+jcmp+++=to
destroy ^vbi++++=destroy
the ^ati++++=the
sacred ^jj+atrb+++=sacred
bulwarks ^nns+++??+=bulwarks
of ^in++++=of
our ^pp$+pp1+++=our
nationality ^nn+nom+++=nationality.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
the ^ati++++=the
member ^nn++++=member
for ^in++++=for
Verbosity ^np+nom++??+=Verbosity,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
this ^dt+dem+++=this
great ^jj++++=great
attribute ^vb++++=attribute,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
always ^rb++++=always
means ^in++++=means
something ^pn++++=something,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
always ^rb++++=always
means ^in++++=means
the ^ati++++=the
same ^ap++++=same
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
down ^rb+phrv+++=down
to ^in+ppvb+++=to
that ^dt+dem+++=that
House ^npl++++=House
and ^cc++++=and
mournfully ^rb++++=mournfully
boasted ^vbd+vpub++xvbn+=boasted
in ^in++++=in
his ^pp$+pp3+++=his
place ^nn++++=place,
, ^zz++++=EXTRAWORD
as ^in++++=as
an ^at++++=an
individual ^jj+atrb+++=individual
member ^nn++++=member
of ^in++++=of
the ^ati++++=the
assembled ^jj+++xvbn+=assembled
Commons ^nps++++=Commons
of ^in++++=of
this ^dt+dem+++=this
great ^jj+atrb+++=great
and ^cc+phrs+++=and
happy ^jj+atrb+++=happy
country ^nn++++=country,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
lay ^jjb+++xvbn+=lay
his ^pp$+pp3+++=his
hand ^nn++++=hand
upon ^in++++=upon
his ^pp$+pp3+++=his
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
solemnly ^rb++++=solemnly
declare ^vb+vpub+++=declare
that ^tht+vcmp+++=that
no ^at++++=no
consideration ^nn+nom+++=consideration
on ^in++++=on
earth ^nn++++=earth
should ^md+nec+++=should
induce ^vb++++=induce
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
at ^rb++++=at
any ^dti++++=any
time ^nn++++=time
or ^cc++++=or
under ^in++++=under
any ^dti++++=any
circumstances ^nns+nom+++=circumstances,
, ^zz++++=EXTRAWORD
to ^to++++=to
go ^vbi++++=go
as ^ql++++=as
far ^rb+pl+++=far
north ^nr+pl+++=north
as ^ql++++=as
Berwick ^np++++=Berwick-upon-Tweed;
- ^zz++++=EXTRAWORD
upon ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
tweed ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
nevertheless ^rb+cnj+++=nevertheless,
, ^zz++++=EXTRAWORD
next ^ap++++=next
year ^nn++++=year,
, ^zz++++=EXTRAWORD
did ^vbd+dod+aux++=did
go ^vb++++=go
to ^in++++=to
Berwick ^np++++=Berwick-upon-Tweed,
- ^zz++++=EXTRAWORD
upon ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
tweed ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
beyond ^in++++=beyond
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
to ^in++++=to
Edinburgh ^np++++=Edinburgh;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
one ^cd1++++=one
single ^jj+atrb+++=single
meaning ^nvbg+++xvbg+=meaning,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
and ^cc++++=and
indivisible ^jj++++=indivisible.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
God ^np++++=God
forbid ^vb+vsua+++=forbid
( ^zz++++=(our
our ^pp$+pp1+++=EXTRAWORD
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend
says ^vbz+vpub+++=says)
) ^zz++++=EXTRAWORD
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
should ^md+nec+++=should
waste ^vb++++=waste
another ^dt++++=another
argument ^nn+nom+++=argument
upon ^in++++=upon
the ^ati++++=the
man ^nn++++=man
who ^whp+rel+subj++=who
professes ^nns+nom+++=professes
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
cannot ^md+pos+not++=cannot
understand ^vb+vprv+tht0++=understand
it ^pp3+it+++=it!
! ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=do
Not ^xnot++not++=NOT,
, ^zz++++=EXTRAWORD
gentlemen ^nns++++=gentlemen,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
our ^pp$+pp1+++=our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
with ^in++++=with
indignant ^jj+atrb+++=indignant
emphasis ^nn++++=emphasis
and ^cc++++=and
amid ^in++++=amid
great ^jj++++=great
cheering ^jj++++=cheering,
, ^zz++++=EXTRAWORD
on ^in++++=on
one ^cd1++++=one
such ^abl++++=such
public ^jj+atrb+++=public
occasion ^nn++++=occasion.
. ^zz++++=EXTRAWORD
' ^zz++++='I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=do
Not ^xnot++not++=NOT,
, ^zz++++=EXTRAWORD
gentlemen ^nns++++=gentlemen,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
free ^jj+pred+++=free
to ^to+jcmp+++=to
confess ^nns+nom+++=confess,
, ^zz++++=EXTRAWORD
envy ^nn++++=envy
the ^ati++++=the
feelings ^nns+nom+++=feelings
of ^in++++=of
that ^dt+dem+++=that
man ^nn++++=man
whose ^whp+rel+obj++=whose
mind ^nn++++=mind
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
constituted ^jj+++xvbn+=constituted
as ^ql++++=as
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
can ^md+pos+++=can
hold ^vb++++=hold
such ^abl++++=such
language ^nn+nom+++=language
to ^in++++=to
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
lay ^jjb+++xvbn+=lay
his ^pp$+pp3+++=his
head ^nn++++=head
upon ^in++++=upon
his ^pp$+pp3+++=his
pillow ^nn++++=pillow,
, ^zz++++=EXTRAWORD
claiming ^vbg+vpub++xvbg+=claiming
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
native ^nn++++=native
of ^in++++=of
that ^dt+dem+++=that
land ^nn++++=land,
, ^zz++++=EXTRAWORD
Whose ^whp+rel+obj++=Whose
march ^nn++++=march
is ^vbz+bez+vrb++=is
o ^zz++++=o'er
'er ^jjr++++0=EXTRAWORD
the ^ati++++=the
mountain ^nn++++=mountain-wave,
- ^zz++++=EXTRAWORD
wave ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Whose ^whp+rel+obj++=Whose
home ^nr++++=home
is ^vbz+bez+vrb++=is
on ^in++++=on
the ^ati++++=the
deep ^jj++++=deep!
! ^zz++++=EXTRAWORD
( ^zz++++=(Vehement
vehement ^jj++++=EXTRAWORD
cheering ^jj++++=cheering,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
man ^nn++++=man
expelled ^vwbn+++xvbn+=expelled.)
. ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
When ^wrb+who+++=When
our ^pp$+pp1+++=our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend
issued ^vbd+++xvbn+=issued
his ^pp$+pp3+++=his
preliminary ^jj+atrb+++=preliminary
address ^nns+nom+++=address
to ^in++++=to
the ^ati++++=the
constituent ^jj+atrb+++=constituent
body ^nn++++=body
of ^in++++=of
Verbosity ^np+nom++??+=Verbosity
on ^in++++=on
the ^ati++++=the
occasion ^nn++++=occasion
of ^in++++=of
one ^cd1++++=one
particular ^jj+atrb+++=particular
glorious ^jj+atrb+++=glorious
triumph ^nn++++=triumph,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
supposed ^vpsv++by+xvbnx+=supposed
by ^in++++=by
some ^dti++++=some
of ^in++++=of
his ^pp$+pp3+++=his
enemies ^nns++++=enemies,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
even ^rb++++=even
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+aux++=be
placed ^vpsv++agls+xvbnx+=placed
in ^in++++=in
a ^at++++=a
situation ^nn+nom+++=situation
of ^in++++=of
difficulty ^nn++++=difficulty
by ^in++++=by
the ^ati++++=the
following ^jj+++xvbg+=following
comparatively ^rb++++=comparatively
trifling ^jj+atrb+++=trifling
conjunction ^nn+nom+++=conjunction
of ^in++++=of
circumstances ^nns+nom+++=circumstances.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dozen ^cd++++=dozen
noblemen ^nns++++=noblemen
and ^cc++++=and
gentlemen ^nns++++=gentlemen
whom ^whp+rel+obj++=whom
our ^pp$+pp1+++=our
honourable ^jj+atrb+++=honourable
friend ^nn++++=friend
supported ^vbd+++xvbn+=supported,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
' ^zz++++='come
come ^vprf+++xvbn+=EXTRAWORD
in ^in+strn+++=in,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
expressly ^rb++++=expressly
to ^to++++=to
do ^vbi++++=do
a ^at++++=a
certain ^jj+atrb+++=certain
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
four ^cd++++=four
of ^in++++=of
the ^ati++++=the
dozen ^cd++++=dozen
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
at ^rb++++=at
a ^at++++=a
certain ^jj+atrb+++=certain
place ^nn++++=place,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
do ^vbi++++=do
that ^dt+dem+++=that
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+aux++=had
never ^rb++splt++=never
meant ^vprf+++xvbnx+=meant
to ^to+vcmp+++=to
do ^vbi++++=do
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
another ^dt++++=another
four ^cd++++=four
of ^in++++=of
the ^ati++++=the
dozen ^cd++++=dozen
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
at ^rb++++=at
another ^dt++++=another
certain ^jj+atrb+++=certain
place ^nn++++=place,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
mean ^vb+vprv+++=mean
to ^to+vcmp+++=to
do ^vbi++++=do
that ^dt+dem+++=that
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+aux++=had
always ^rb++splt++=always
meant ^vprf+++xvbnx+=meant
to ^to+vcmp+++=to
do ^vbi++++=do
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
two ^cd++++=two
of ^in++++=of
the ^ati++++=the
remaining ^jj+++xvbg+=remaining
four ^cd++++=four
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
at ^rb++++=at
two ^cd++++=two
other ^ap++++=other
certain ^jj+atrb+++=certain
places ^nns++++=places,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
they ^pp3a+pp3+++=they
meant ^vbd+vprv++xvbnx+=meant
to ^to+vcmp+++=to
do ^vbi++++=do
half ^abn++++=half
of ^in++++=of
that ^dt+dem+++=that
thing ^nn++++=thing
( ^zz++++=(but
but ^cc++++=EXTRAWORD
differed ^vpsv++agls+xvbn+=differed
about ^in++++=about
which ^whp+rel+pied++=which
half ^abn++++=half),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
do ^vbi++++=do
a ^at++++=a
variety ^nn++++=variety
of ^in++++=of
nameless ^jj+atrb+++=nameless
wonders ^nns+nom+++=wonders
instead ^rb+cnj+++=instead
of ^in++++=of
the ^ati++++=the
other ^ap++++=other
half ^nn++++=half;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
remaining ^jj+++xvbg+=remaining
two ^cd++++=two
declared ^vprf+++xvbn+=declared
that ^tht+vcmp+++=that
the ^ati++++=the
thing ^nn++++=thing
itself ^ppl++++=itself
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead
and ^cc+phrs+++=and
buried ^jj+++xvbn+=buried,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
other ^ap++++=other
as ^ql++++=as
strenuously ^jj++++=strenuously
protested ^vb+++xvbn+=protested
that ^tht+vcmp+++=that
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
alive ^jj+pred+++=alive
and ^cc+phrs+++=and
kicking ^jj+++xvbg+=kicking.
