High ^jj++++=High
one ^pn++++=one
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
quite ^rb++++=quite
happy ^jj+pred+++=happy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
muttered ^vbd+++xvbn+=muttered
a ^at++++=a
disappointed ^jj+atrb++xvbn+=disappointed
man ^nn++++=man
as ^ql++++=as
he ^pp3a+pp3+++=he
gazed ^vbd+++xvbnx+=gazed
at ^rb++++=at
the ^ati++++=the
wonderful ^jj+atrb+++=wonderful
statue ^nn++++=statue.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
looks ^vbz++++=looks
just ^rb+emph+++=just
like ^in++++=like
an ^at++++=an
angel ^nn++++=angel,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Charity ^nn+nom+++=Charity
Children ^nns++++=Children
as ^ql++++=as
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came
out ^rb+phrv+++=out
of ^in+ppvb+++=of
the ^ati++++=the
cathedral ^nn+nom+++=cathedral
in ^in++++=in
their ^pp$+pp3+++=their
bright ^jj+atrb+++=bright
scarlet ^jj+atrb+++=scarlet
cloaks ^nns+++??+=cloaks
and ^cc++++=and
their ^pp$+pp3+++=their
clean ^jj+atrb+++=clean
white ^jj+atrb+++=white
pinafores ^nns+++??+=pinafores.
. ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+whq++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Mathematical ^jj+atrb+++=Mathematical
Master ^nn++++=Master,
, ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
one ^pn++++=one."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Ah!
ah ^uh++++=EXTRAWORD
! ^zz++++=EXTRAWORD
but ^cc+cls+++=but
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have,
, ^zz++++=EXTRAWORD
in ^in++++=in
our ^pp$+pp1+++=our
dreams ^nps++++=dreams,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
children ^nns++++=children;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Mathematical ^jj+atrb+++=Mathematical
Master ^nn++++=Master
frowned ^vbd+++xvbn+=frowned
and ^cc+phrs+++=and
looked ^vbd+++xvbn+=looked
very ^ql+amp+++=very
severe ^jj++++=severe,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
approve ^vb++++=approve
of ^in++++=of
children ^nns++++=children
dreaming ^vwbg+++xvbg+=dreaming.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
night ^nn++++=night
there ^ex+pex+++=there
flew ^vbd+++xvbn+=flew
over ^in++++=over
the ^ati++++=the
city ^nn++++=city
a ^rb++++=a
little ^rb"++++=little
Swallow ^vb++++=Swallow.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
friends ^nns++++=friends
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
away ^rp+pl+++=away
to ^in++++=to
Egypt ^np++++=Egypt
six ^cd++++=six
weeks ^nns++++=weeks
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
stayed ^vprf+++xvbnx+=stayed
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
in ^in++++=in
love ^nn++++=love
with ^in++++=with
the ^ati++++=the
most ^ql+emph+++=most
beautiful ^jj+atrb+++=beautiful
Reed ^nn++++=Reed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
met ^vprf+++xvbnx+=met
her ^pp$+pp3+++=her
early ^jj++++=early
in ^in++++=in
the ^ati++++=the
spring ^nn++++=spring
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
flying ^vbg+++xvbgx+=flying
down ^rp++++=down
the ^ati++++=the
river ^nn++++=river
after ^in++++=after
a ^at++++=a
big ^jj+atrb+++=big
yellow ^jj+atrb+++=yellow
moth ^nn++++=moth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
so ^ql++++=so
attracted ^vpsv++by+xvbn+=attracted
by ^in++++=by
her ^pp$+pp3+++=her
slender ^jj+atrb+++=slender
waist ^nn++++=waist
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
to ^to++++=to
talk ^vbi++++=talk
to ^in++++=to
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
" ^zz++++="Shall
shall ^md+prd+++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
Swallow ^vb++++=Swallow,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
liked ^vbd+++xvbn+=liked
to ^to+vcmp+++=to
come ^vbi++++=come
to ^in++++=to
the ^ati++++=the
point ^nn++++=point
at ^rb++++=at
once ^rb"+tm+++=once,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Reed ^nn++++=Reed
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
a ^at++++=a
low ^jj+atrb+++=low
bow ^nn++++=bow.
. ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
flew ^vbd+++xvbnx+=flew
round ^rb++++=round
and ^cc++++=and
round ^in++++=round
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
touching ^jj+++xvbg+=touching
the ^ati++++=the
water ^nn++++=water
with ^in++++=with
his ^pp$+pp3+++=his
wings ^nns++++=wings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
making ^vbg+++xvbg+=making
silver ^nn++++=silver
ripples ^vbz++++=ripples.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
courtship ^nn+nom+++=courtship,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
lasted ^vbd+++xvbn+=lasted
all ^abn++++=all
through ^in++++=through
the ^ati++++=the
summer ^nn++++=summer.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
ridiculous ^jj+atrb+++=ridiculous
attachment ^nn+nom+++=attachment,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
twittered ^vbd+++xvbn+=twittered
the ^ati++++=the
other ^ap++++=other
Swallows ^np+++??+=Swallows;
; ^zz++++=EXTRAWORD
" ^zz++++="she
she ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+vrb++=has
no ^at++++=no
money ^nn++++=money,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
far ^rb+pl+++=far
too ^rb++++=too
many ^ap++++=many
relations ^nns+nom+++=relations";
" ^zz++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
indeed ^rb++++=indeed
the ^ati++++=the
river ^nn++++=river
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
full ^jj+pred+++=full
of ^in++++=of
Reeds ^nns++++=Reeds.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
autumn ^nn++++=autumn
came ^vbd+++xvbn+=came
they ^pp3a+pp3+++=they
all ^rb++++=all
flew ^vbd+++xvbn+=flew
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
he ^pp3a+pp3+++=he
felt ^vbd+vprv++xvbnx+=felt
lonely ^jj++++=lonely,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
to ^to++++=to
tire ^vbi++++=tire
of ^in++++=of
his ^pp$+pp3+++=his
ladylove ^nn+++??+=ladylove.
. ^zz++++=EXTRAWORD
" ^zz++++="She
she ^pp3a+pp3+++=EXTRAWORD
has ^vbz+hvz+vrb++=has
no ^at++++=no
conversation ^nn+nom+++=conversation,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
afraid ^jj+pred+++=afraid
that ^tht+jcmp+++=that
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
a ^at++++=a
coquette ^nn+nom+++=coquette,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
is ^vbz+bez+aux++=is
always ^rb++splt++=always
flirting ^vbg+++xvbgx+=flirting
with ^in++++=with
the ^ati++++=the
wind ^nn++++=wind."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
certainly ^rb+cnj+++=certainly,
, ^zz++++=EXTRAWORD
whenever ^nn+nom+++=whenever
the ^ati++++=the
wind ^nn++++=wind
blew ^vbd+++xvbn+=blew,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Reed ^nn++++=Reed
made ^vbd+++xvbn+=made
the ^ati++++=the
most ^ql+emph+++=most
graceful ^jj+atrb+++=graceful
curtseys ^nns++++=curtseys.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
admit ^vb+vpub+++=admit
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
domestic ^jj+pred+++=domestic,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
continued ^vbd+++xvbnx+=continued,
, ^zz++++=EXTRAWORD
" ^zz++++="but
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
travelling ^vwbg+++xvbg+=travelling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
consequently ^rb+cnj+++=consequently,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
love ^vb++++=love
travelling ^vwbg+++xvbg+=travelling
also ^rb++++=also."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Will
will ^md+prd+++=EXTRAWORD
you ^pp2+pp2+++=you
come ^vb++++=come
away ^rp+pl+++=away
with ^in++++=with
me ^pp1o+pp1+++=me?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
finally ^rb++++=finally
to ^in++++=to
her ^pp$+pp3+++=her;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
Reed ^nn++++=Reed
shook ^vbd+++xvbn+=shook
her ^pp$+pp3+++=her
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
attached ^jj+++xvbn+=attached
to ^in++++=to
her ^pp$+pp3+++=her
home ^nr++++=home.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
trifling ^jj++++=trifling
with ^in++++=with
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
off ^in+pl+++=off
to ^in++++=to
the ^ati++++=the
Pyramids ^np+++??+=Pyramids.
. ^zz++++=EXTRAWORD
Good ^jj++++=Good-bye!"
- ^zz++++=EXTRAWORD
bye ^rb++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
flew ^vbd+++xvbnx+=flew
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
All ^abn++++=All
day ^nn++++=day
long ^rb++++=long
he ^pp3a+pp3+++=he
flew ^vbd+++xvbnx+=flew,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
night ^nn++++=night-time
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
he ^pp3a+pp3+++=he
arrived ^vbd+++xvbnx+=arrived
at ^rb++++=at
the ^ati++++=the
city ^nn++++=city.
. ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+whq++=EXTRAWORD
shall ^md+prd+++=shall
I ^pp1a+pp1+++=I
put ^vbd+++xvbnx+=put
up ^rb+phrv+++=up?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
hope ^vb++++=hope
the ^ati++++=the
town ^nn++++=town
has ^vbz+hvz+aux++=has
made ^vprf+++xvbnx+=made
preparations ^nns+nom+++=preparations."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
statue ^nn++++=statue
on ^in++++=on
the ^ati++++=the
tall ^jj+atrb+++=tall
column ^nn++++=column.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
will ^md+prd+++=will
put ^vb+++xvbn+=put
up ^rb+phrv+++=up
there ^rn+pl+++=there,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried;
; ^zz++++=EXTRAWORD
" ^zz++++="it
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
fine ^jj+atrb+++=fine
position ^nn+nom+++=position,
, ^zz++++=EXTRAWORD
with ^in++++=with
plenty ^nn++++=plenty
of ^in++++=of
fresh ^jj+atrb+++=fresh
air ^nn++++=air."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
So ^ql++++=So
he ^pp3a+pp3+++=he
alighted ^vbd+++xvbnx+=alighted
just ^rb+emph+++=just
between ^in++++=between
the ^ati++++=the
feet ^nns++++=feet
of ^in++++=of
the ^ati++++=the
Happy ^jj+atrb+++=Happy
Prince ^nn++++=Prince.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+vrb++=have
a ^at++++=a
golden ^jj+atrb+++=golden
bedroom ^nn++++=bedroom,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
softly ^rb++++=softly
to ^in++++=to
himself ^ppl+pp3+++=himself
as ^ql++++=as
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
round ^rb+cnj+++=round,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
prepared ^jj+++xvbnx+=prepared
to ^to+jcmp+++=to
go ^vbi++++=go
to ^to++++=to
sleep ^vbi++++=sleep;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
just ^rb+emph+++=just
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
putting ^vbg+++xvbgx+=putting
his ^pp$+pp3+++=his
head ^nn++++=head
under ^in++++=under
his ^pp$+pp3+++=his
wing ^nn++++=wing
a ^at++++=a
large ^jj+atrb+++=large
drop ^nn++++=drop
of ^in++++=of
water ^nn++++=water
fell ^vbd+++xvbn+=fell
on ^in+ppvb+++=on
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
a ^at++++=a
curious ^jj+atrb+++=curious
thing ^nn++++=thing!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried;
; ^zz++++=EXTRAWORD
" ^zz++++="there
there ^ex+pex+++=EXTRAWORD
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
a ^at++++=a
single ^jj+atrb+++=single
cloud ^nn++++=cloud
in ^in++++=in
the ^ati++++=the
sky ^nn++++=sky,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stars ^nns++++=stars
are ^vb+ber+vrb++=are
quite ^rb++++=quite
clear ^jj+pred+++=clear
and ^cc+phrs+++=and
bright ^jj++++=bright,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
raining ^vbg+++xvbgx+=raining.
. ^zz++++=EXTRAWORD
The ^ati++++=The
climate ^nn+nom+++=climate
in ^in++++=in
the ^ati++++=the
north ^np+pl+++=north
of ^in++++=of
Europe ^np++++=Europe
is ^vbz+bez+vrb++=is
really ^rb+emph+++=really
dreadful ^jj+pred+++=dreadful.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Reed ^nn++++=Reed
used ^md"++pmd"++=used
to ^to++++=to
like ^vb++++=like
the ^ati++++=the
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
was ^vbd+bedz+vrb++=was
merely ^rb+down+++=merely
her ^pp$+pp3+++=her
selfishness ^nns+nom+++=selfishness."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
another ^dt++++=another
drop ^vb++++=drop
fell ^vbd+++xvbn+=fell.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
a ^at++++=a
statue ^nn++++=statue
if ^cs+cnd+++=if
it ^pp3+it+++=it
cannot ^md+pos+not++=cannot
keep ^vb++++=keep
the ^ati++++=the
rain ^nn++++=rain
off ^in+strn+++=off?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said;
; ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
look ^vb++++=look
for ^in++++=for
a ^at++++=a
good ^jj+atrb+++=good
chimney ^nn++++=chimney-pot,"
- ^zz++++=EXTRAWORD
pot ^vb++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
determined ^jj+++xvbnx+=determined
to ^to+jcmp+++=to
fly ^vbi++++=fly
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
before ^cs+sub+++=before
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
opened ^vprf+++xvbnx+=opened
his ^pp$+pp3+++=his
wings ^nns++++=wings,
, ^zz++++=EXTRAWORD
a ^at++++=a
third ^od++++=third
drop ^vb++++=drop
fell ^vbd+++xvbn+=fell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
saw ^vbd+vprv++xvbn+=saw
Ah ^uh++++=Ah!
! ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
did ^vbd+dod+aux++=did
he ^pp3a+pp3+++=he
see ^vb+vprv+++=see?
? ^zz++++=EXTRAWORD
The ^ati++++=The
eyes ^nns++++=eyes
of ^in++++=of
the ^ati++++=the
Happy ^jj+atrb+++=Happy
Prince ^nn++++=Prince
were ^vbd+bed+aux++=were
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
tears ^nns++++=tears,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tears ^nns++++=tears
were ^vbd+bed+aux++=were
running ^vbg+++xvbgx+=running
down ^rb+phrv+++=down
his ^pp$+pp3+++=his
golden ^jj+atrb+++=golden
cheeks ^nns++++=cheeks.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
face ^nn++++=face
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
beautiful ^jj++++=beautiful
in ^in++++=in
the ^ati++++=the
moonlight ^nn++++=moonlight
that ^tht+rel+obj++=that
the ^ati++++=the
little ^nn++++=little
Swallow ^vb++++=Swallow
was ^vbd+bedz+aux++=was
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
pity ^nn++++=pity.
. ^zz++++=EXTRAWORD
" ^zz++++="Who
who ^whp+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
am ^vb+bem+vrb++=am
the ^ati++++=the
Happy ^jj+atrb+++=Happy
Prince ^nn++++=Prince."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
are ^vb+ber+vrb++=are
you ^pp2+pp2+++=you
weeping ^nn++++=weeping
then ^rn+tm+++=then?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
asked ^vbd+vsua++xvbn+=asked
the ^ati++++=the
Swallow ^vb++++=Swallow;
; ^zz++++=EXTRAWORD
" ^zz++++="you
you ^pp2+pp2+++=EXTRAWORD
have ^vb+hv+vrb++=have
quite ^abl++++=quite
drenched ^jj+++xvbn+=drenched
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
alive ^jj+pred+++=alive
and ^cc++++=and
had ^vb+hv+vrb++=had
a ^at++++=a
human ^jj+atrb+++=human
heart ^nn++++=heart,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
the ^ati++++=the
statue ^nn++++=statue,
