Of ^in+emph+++=Of
surprised ^vpsv++agls+xvbnx+=surprised?
? ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
in ^in++++=in
the ^ati++++=the
least ^rbt++++=least,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
decided ^vbd+vprv++xvbnx+=decided,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
up ^rp++++=up
his ^pp$+pp3+++=his
soft ^jj+atrb+++=soft
collar ^nn++++=collar
and ^cc++++=and
turning ^nvbg+++xvbg+=turning
it ^pp3+it+++=it
down ^rp++++=down
over ^in++++=over
the ^ati++++=the
tie ^nn++++=tie.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
expected ^vbd+++xvbnx+=expected
her ^pp3o+pp3+++=her
to ^to++++=to
say ^vbi+vpub+++=say
something ^pn++++=something
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
at ^rb++++=at
the ^ati++++=the
affair ^nn++++=affair
dead ^jj++++=dead
soberly ^jj++++=soberly,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
else ^rb+cnj+++=else
she ^pp3a+pp3+++=she
could ^md+pos+++=could
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
nervously ^rb++++=nervously
he ^pp3a+pp3+++=he
tied ^vbd+++xvbnx+=tied
a ^at++++=a
bow ^nn++++=bow
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
the ^ati++++=the
mirror ^nn++++=mirror,
, ^zz++++=EXTRAWORD
jammed ^j+++xvbn+=jammed
his ^pp$+pp3+++=his
hair ^nn++++=hair
down ^in++++=down
with ^in++++=with
both ^abx++++=both
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
pulled ^j+++xvbn+=pulled
out ^rp+pl+++=out
the ^ati++++=the
flaps ^nns++++=flaps
of ^in++++=of
his ^pp$+pp3+++=his
jacket ^nn++++=jacket
pockets ^nns++++=pockets.
. ^zz++++=EXTRAWORD
Making ^vbg+++xvbg+=Making
between ^in++++=between
500 ^cd++++=500
and ^cc++++=and
600 ^cd++++=600
pounds ^nns++++=pounds
a ^at++++=a
year ^nn++++=year
on ^in++++=on
a ^at++++=a
fruit ^nn++++=fruit
farm ^nn++++=farm
in ^in++++=in
of ^in++++=of
all ^abn++++=all
places ^nns++++=places
Rhodesia ^np++++=Rhodesia.
. ^zz++++=EXTRAWORD
No ^at++++=No
capital ^nn++++=capital.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
a ^at++++=a
penny ^nn++++=penny
coming ^vwbg+++xvbg+=coming
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
No ^at++++=No
chance ^nn++++=chance
of ^in++++=of
his ^pp$+pp3+++=his
income ^nn++++=income
increasing ^vwbg+++xvbg+=increasing
for ^in++++=for
at ^rb++++=at
least ^rb"++++=least
four ^cd++++=four
years ^nns++++=years.
. ^zz++++=EXTRAWORD
As ^in++++=As
for ^in"++++=for
looks ^nns++++=looks
and ^cc++++=and
all ^abn++++=all
that ^dt+dem+++=that
sort ^nn++++=sort
of ^in++++=of
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
completely ^rb+amp+++=completely
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
running ^nvbg+++xvbg+=running.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
even ^rb++++=even
boast ^vb+vpub+++=boast
of ^in++++=of
top ^nn++++=top-hole
- ^zz++++=EXTRAWORD
hole ^nn++++=EXTRAWORD
health ^nn++++=health,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
East ^np+pl+++=East
Africa ^np++++=Africa
business ^nns+nom+++=business
had ^vbd+hvd+aux++=had
knocked ^vprf+++xvbnx+=knocked
him ^pp3o+pp3+++=him
out ^rp+pl+++=out
so ^rb++++=so
thoroughly ^rb+amp+++=thoroughly
that ^cs+sub+++=that
he ^pp3a+pp3+++0=he'd
'd ^md+prd+aux++=EXTRAWORD
had ^md"++pmd"++=had
to ^md+nec+++=to
take ^vb++++=take
six ^cd++++=six
months ^nns++++=months'
' ^zz++++=EXTRAWORD
leave ^vb++++=leave.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
still ^rb++++=still
fearfully ^rb++++=fearfully
pale ^jj++++=pale
worse ^jjr++++=worse
even ^rb++++=even
than ^in++++=than
usual ^jj++++=usual
this ^dt+dem+++=this
afternoon ^nn++++=afternoon,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
bending ^nvbg+++xvbg+=bending
forward ^rb++++=forward
and ^cc++++=and
peering ^vbg+++xvbg+=peering
into ^in++++=into
the ^ati++++=the
mirror ^nn++++=mirror.
. ^zz++++=EXTRAWORD
Good ^jj+atrb+++=Good
heavens ^nns++++=heavens!
! ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
had ^vbd+hvd+aux++=had
happened ^vprf+++xvbnx+=happened?
? ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
hair ^nn++++=hair
looked ^vbd+++xvbn+=looked
almost ^rb+hdg+++=almost
bright ^jj+atrb+++=bright
green ^nn++++=green.
. ^zz++++=EXTRAWORD
Dash ^nn++++=Dash
it ^pp3+it+++=it
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=hadn't
n't ^xnot++not++0=EXTRAWORD
green ^jj+atrb+++=green
hair ^nn++++=hair
at ^rb++++=at
all ^abn++++=all
events ^nns++++=events.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
a ^at++++=a
bit ^nn++++=bit
too ^rb++++=too
steep ^jj++++=steep.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
the ^ati++++=the
green ^nn++++=green
light ^jj++++=light
trembled ^jj+++xvbn+=trembled
in ^in++++=in
the ^ati++++=the
glass ^nn++++=glass;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
shadow ^nn++++=shadow
from ^in++++=from
the ^ati++++=the
tree ^nn++++=tree
outside ^jjb++++=outside.
. ^zz++++=EXTRAWORD
Reggie ^np+++??+=Reggie
turned ^vbd+++xvbn+=turned
away ^rb+cnj+++=away,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
out ^rp+pl+++=out
his ^pp$+pp3+++=his
cigarette ^nn+nom+++=cigarette
case ^nn++++=case,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
remembering ^nc+++xvbg+=remembering
how ^wrb+who+++=how
the ^ati++++=the
mater ^jjr++++=mater
hated ^jj+++xvbn+=hated
him ^pp3o+pp3+++=him
to ^in++++=to
smoke ^nn++++=smoke
in ^in++++=in
his ^pp$+pp3+++=his
bedroom ^nn++++=bedroom,
, ^zz++++=EXTRAWORD
put ^j+++xvbn+=put
it ^pp3+it+++=it
back ^jjb++++=back
again ^rb+tm+++=again
and ^cc++++=and
drifted ^vpsv++agls+xvbn+=drifted
over ^in++++=over
to ^in++++=to
the ^ati++++=the
chest ^nn++++=chest
of ^in++++=of
drawers ^nns+nom+++=drawers.
. ^zz++++=EXTRAWORD
No ^at++++=No,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
dashed ^vpsv++agls+xvbnx+=dashed
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
could ^md+pos+++=could
think ^vb+vprv+++=think
of ^in++++=of
one ^cd1++++=one
blessed ^jj+atrb++xvbn+=blessed
thing ^nn++++=thing
in ^in++++=in
his ^pp$+pp3+++=his
favour ^nn++++=favour,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah!
! ^zz++++=EXTRAWORD
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stopped ^vbd+++xvbnx+=stopped
dead ^jj++++=dead,
, ^zz++++=EXTRAWORD
folded ^j+++xvbn+=folded
his ^pp$+pp3+++=his
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leaned ^vbd+++xvbn+=leaned
hard ^jj++++=hard
against ^in++++=against
the ^ati++++=the
chest ^nn++++=chest
of ^in++++=of
drawers ^nns+nom+++=drawers.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
her ^pp$+pp3+++=her
position ^nn+nom+++=position,
, ^zz++++=EXTRAWORD
her ^pp3o+pp3+++=her
father ^npt++++=father's
's ^$++++=EXTRAWORD
wealth ^nn++++=wealth,
, ^zz++++=EXTRAWORD
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
an ^at++++=an
only ^ap+down+++=only
child ^nn++++=child
and ^cc++++=and
far ^rb+pl+++=far
and ^cc+phrs+++=and
away ^rp+pl+++=away
the ^ati++++=the
most ^ql+emph+++=most
popular ^jj+atrb+++=popular
girl ^nn++++=girl
in ^in++++=in
the ^ati++++=the
neighbourhood ^nn+nom+++=neighbourhood;
; ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
her ^pp$+pp3+++=her
beauty ^nn++++=beauty
and ^cc++++=and
her ^pp$+pp3+++=her
cleverness ^nns+nom+++=cleverness
cleverness ^nns+nom+++=cleverness!
! ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
more ^ql++++=more
than ^cs+sub+++=than
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
really ^rb+emph+++=really
nothing ^pn++++=nothing
she ^pp3a+pp3+++=she
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
do ^vb+do+vrb++=do;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
fully ^rb+amp+++=fully
believed ^vbd+vprv++xvbn+=believed,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
it ^pp3+it+++=it
been ^vprf+ben+vrb+xvbn+=been
necessary ^jj++++=necessary,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
genius ^nn++++=genius
at ^in++++=at
anything ^pn++++=anything
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
her ^pp3o+pp3+++=her
parents ^nns++++=parents
adored ^vbd+++xvbn+=adored
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they'd
'd ^md+prd+aux++0=EXTRAWORD
as ^cs+sub+++=as
soon ^rb+tm+++=soon
let ^vb+++xvbn+=let
her ^pp$+pp3+++=her
go ^vb++++=go
all ^abn++++=all
that ^dt+dem+++=that
way ^nn++++=way
as ^in+strn+++=as
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
spite ^in"++++=spite
of ^in"++++=of
every ^at++++=every
single ^jj+atrb+++=single
thing ^nn++++=thing
you ^pp2+pp2+++=you
could ^md+pos+++=could
think ^vb+vprv+++=think
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
terrific ^jj++++=terrific
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
love ^nn++++=love
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
hoping ^vbg+vprv++xvbg+=hoping.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
it ^pp3+it+++=it
hope ^nn++++=hope?
? ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
was ^vbd+bedz+vrb++=was
this ^dt+dem+++=this
queer ^jj++++=queer,
, ^zz++++=EXTRAWORD
timid ^jj++++=timid
longing ^vb+++xvbg+=longing
to ^to+vcmp+++=to
have ^vbi++vrb++=have
the ^ati++++=the
chance ^nn++++=chance
of ^in++++=of
looking ^nn++++=looking
after ^in++++=after
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
of ^in++++=of
making ^xvbg+++xvbg+=making
it ^pp3+it+++=it
his ^pp$+pp3+++=his
job ^nn++++=job
to ^to++++=to
see ^vbi+vprv+++=see
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
everything ^pn++++=everything
she ^pp3a+pp3+++=she
wanted ^vbd+++xvbnx+=wanted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
nothing ^pn++++=nothing
came ^vbd+++xvbn+=came
near ^rb++++=near
her ^pp$+pp3+++=her
that ^dt+pdem+++=that
was ^vbd+bedz+aux++=wasn't
n't ^xnot++not++0=EXTRAWORD
perfect ^vb++++=perfect
just ^rb+emph+++=just
love ^nn++++=love?
? ^zz++++=EXTRAWORD
How ^wrb+who+++=How
he ^pp3a+pp3+++=he
loved ^vbd+++xvbnx+=loved
her ^pp$+pp3+++=her!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
squeezed ^vbd+++xvbnx+=squeezed
hard ^jj++++=hard
against ^in++++=against
the ^ati++++=the
chest ^nn++++=chest
of ^in++++=of
drawers ^nns+nom+++=drawers
and ^cc++++=and
murmured ^vpsv++agls+xvbn+=murmured
to ^in++++=to
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
love ^nn++++=love
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
her ^pp$+pp3+++=her!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
just ^rb+emph+++=just
for ^in++++=for
the ^ati++++=the
moment ^nn++++=moment
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
with ^in++++=with
her ^pp$+pp3+++=her
on ^in++++=on
the ^ati++++=the
way ^nn++++=way
to ^in++++=to
Umtali ^np+++??+=Umtali.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
night ^nn++++=night.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
sat ^vbd+++xvbnx+=sat
in ^in++++=in
a ^at++++=a
corner ^nn++++=corner
asleep ^jj++++=asleep.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
soft ^jj+atrb+++=soft
chin ^nn++++=chin
was ^vbd+bedz+aux++=was
tucked ^vpsv++agls+xvbnx+=tucked
into ^in++++=into
her ^pp$+pp3+++=her
soft ^jj+atrb+++=soft
collar ^nn++++=collar,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
gold ^nn++++=gold-brown
- ^zz++++=EXTRAWORD
brown ^jj+atrb+++=EXTRAWORD
lashes ^nns++++=lashes
lay ^vbd+++xvbn+=lay
on ^rb+phrv+++=on
her ^pp$+pp3+++=her
cheeks ^nns++++=cheeks.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
doted ^vbd+++xvbnx+=doted
on ^rp++++=on
her ^pp3o+pp3+++=her
delicate ^jj+atrb+++=delicate
little ^jj+atrb+++=little
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
perfect ^jj+atrb+++=perfect
lips ^nns++++=lips,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
ear ^nn++++=ear
like ^in++++=like
a ^at++++=a
baby ^nn++++=baby's,
's, ^nn+++??+=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
gold ^nn++++=gold-brown
- ^zz++++=EXTRAWORD
brown ^jj+atrb+++=EXTRAWORD
curl ^nn++++=curl
that ^tht+rel+++=that
half ^abn++++=half
covered ^jj+++xvbn+=covered
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+aux++=were
passing ^vbg+++xvbgx+=passing
through ^in++++=through
the ^ati++++=the
jungle ^nn++++=jungle.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
warm ^jj+pred+++=warm
and ^cc+phrs+++=and
dark ^jj++++=dark
and ^cc++++=and
far ^rb+pl+++=far
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
woke ^vbd+++xvbnx+=woke
up ^rp++++=up
and ^cc++++=and
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Have
have ^vb+hv+aux++=EXTRAWORD
I ^pp1a+pp1+++=I
been ^vb+vbd+vrb+xvbnx+=been
asleep ^jj++++=asleep?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
answered ^vbd+vpub++xvbnx+=answered,
, ^zz++++=EXTRAWORD
" ^zz++++="Yes.
yes ^uh++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
you ^pp2+pp2+++=you
all ^abn++++=all
right ^jj++++=right?
? ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here,
, ^zz++++=EXTRAWORD
let ^j+++xvbn+=let
me ^pp1o+pp1+++=me--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
he ^pp3a+pp3+++=he
leaned ^vbd+++xvbnx+=leaned
forward ^rb+phrv+++=forward
to ^in+ppvb+++=to
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
bent ^vbd+++xvbnx+=bent
over ^in++++=over
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
such ^abl++++=such
bliss ^nn++++=bliss
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
dream ^vb++++=dream
no ^at++++=no
further ^nn++++=further.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
the ^ati++++=the
courage ^nn+nom+++=courage
to ^to++++=to
bound ^vbi++++=bound
downstairs ^jjb++++=downstairs,
, ^zz++++=EXTRAWORD
to ^to++++=to
snatch ^vbi++++=snatch
his ^pp$+pp3+++=his
straw ^nn++++=straw
hat ^nn++++=hat
from ^in++++=from
the ^ati++++=the
hall ^nn++++=hall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
say ^vbi+vpub+++=say
as ^ql++++=as
he ^pp3a+pp3+++=he
closed ^vbd+++xvbnx+=closed
the ^ati++++=the
front ^jjb+atrb+++=front
door ^nn++++=door,
, ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
only ^rb+down+splt++=only
try ^vb++++=try
my ^pp$+pp1+++=my
luck ^nn++++=luck,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^rb++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
his ^pp$+pp3+++=his
luck ^nn++++=luck
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
a ^at++++=a
nasty ^jj+atrb+++=nasty
jar ^nn++++=jar,
, ^zz++++=EXTRAWORD
to ^to++++=to
say ^vbi+vpub+++=say
the ^ati++++=the
least ^rbt++++=least,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
immediately ^rb+tm+++=immediately.
. ^zz++++=EXTRAWORD
Promenading ^vbg+++xvbg+=Promenading
up ^rp++++=up
and ^cc++++=and
down ^in++++=down
the ^ati++++=the
garden ^nn++++=garden
path ^nn++++=path
with ^in++++=with
Chinny ^np+++??+=Chinny
and ^cc++++=and
Biddy ^np++++=Biddy,
, ^zz++++=EXTRAWORD
the ^ati++++=the
ancient ^jj+atrb+++=ancient
Pekes ^np+++??+=Pekes,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
mater ^nn++++=mater.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course
Reginald ^np++++=Reginald
was ^vbd+bedz+vrb++=was
fond ^jj+pred+++=fond
of ^in++++=of
the ^ati++++=the
mater ^jjr++++=mater
and ^cc++++=and
all ^abn++++=all
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
she ^pp3a+pp3+++=she
meant ^vbd+vprv++xvbnx+=meant
well ^jj+pred+++=well,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
no ^at++++=no
end ^nn++++=end
of ^in++++=of
grit ^nn++++=grit,
, ^zz++++=EXTRAWORD
and ^rb++++=and
so ^rb"++++=so
on ^rb"++++=on.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
denying ^jj+++xvbg+=denying
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
rather ^rb++++=rather
a ^at++++=a
grim ^jj+atrb+++=grim
parent ^nn++++=parent.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
moments ^nns+nom+++=moments,
, ^zz++++=EXTRAWORD
many ^ap++++=many
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
in ^in++++=in
Reggie ^np++++=Reggie's
's ^$++++=EXTRAWORD
life ^nn++++=life,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
Uncle ^nn++++=Uncle
Alick ^np+++??+=Alick
died ^vbd+++xvbn+=died
and ^cc+phrs+++=and
left ^vbd+++xvbn+=left
him ^pp3o+pp3+++=him
the ^ati++++=the
fruit ^nn++++=fruit
farm ^nn++++=farm,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
convinced ^jj++agls+xvbnx+=convinced
that ^tht+jcmp+++=that
to ^to++++=to
be ^vbi++vrb++=be
a ^at++++=a
widow ^nn++++=widow's
's ^$++++=EXTRAWORD
only ^ap+down+++=only
