[ ^zz++++=[This
my ^pp$+pp1+++=my
horse ^nn++++=horse!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
thee ^pp2+pp2+++=thee
too ^ql++++=too!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How
thou ^pp2+pp2+++=thou
rushest ^jjt++++=rushest
o ^zz++++=o'er
'er ^jjr++++0=EXTRAWORD
the ^ati++++=the
world ^nn++++=world!
! ^zz++++=EXTRAWORD
thy ^pp$+pp2+++=thy
hoofs ^nns++++=hoofs
of ^in++++=of
steel ^nn++++=steel
resounding ^jj++++=resounding
on ^in++++=on
the ^ati++++=the
heads ^nn++++=heads
bruised ^vwbn+++xvbn+=bruised
by ^in++++=by
thy ^pp$+pp2+++=thy
speeding ^nvbg+++xvbg+=speeding
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
Thy ^pp$+pp2+++=Thy
tail ^nn++++=tail
is ^vbz+bez+vrb++=is
straight ^jj+pred+++=straight
and ^cc+phrs+++=and
crisp ^jj++++=crisp,
, ^zz++++=EXTRAWORD
thine ^pp$+pp2+++=thine
eyes ^nns++++=eyes
dart ^nn++++=dart
flames ^nns++++=flames,
, ^zz++++=EXTRAWORD
the ^ati++++=the
mane ^nn++++=mane
upon ^in++++=upon
thy ^pp$+pp2+++=thy
neck ^nn++++=neck
flies ^nns++++=flies
in ^in++++=in
the ^ati++++=the
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
as ^ql++++=as
on ^in++++=on
we ^pp1a+pp1+++=we
dash ^nn++++=dash
upon ^in++++=upon
our ^pp$+pp1+++=our
maddened ^jj+atrb++xvbn+=maddened
course ^nn++++=course.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
art ^nn++++=art
thou ^pp2+pp2+++=thou
weary ^jj++++=weary!
! ^zz++++=EXTRAWORD
Never ^rb++++=Never
do ^vb+do+vrb++=do
we ^pp1a+pp1+++=we
rest ^nn++++=rest!
! ^zz++++=EXTRAWORD
Never ^rb++++=Never
do ^vb+do+vrb++=do
we ^pp1a+pp1+++=we
sleep ^nn++++=sleep!
! ^zz++++=EXTRAWORD
Thy ^pp$+pp2+++=Thy
neighing ^jj+atrb++xvbg+=neighing
portends ^nns+++??+=portends
war ^nn++++=war;
; ^zz++++=EXTRAWORD
thy ^pp$+pp2+++=thy
smoking ^jj+atrb++xvbg+=smoking
nostrils ^nns++++=nostrils
spread ^vbd+++xvbn+=spread
a ^at++++=a
pestilence ^nn+nom+++=pestilence
that ^tht+rel+++=that,
, ^zz++++=EXTRAWORD
mist ^nn++++=mist-like,
- ^zz++++=EXTRAWORD
like ^in+strn+++=EXTRAWORD
, ^zz++++=EXTRAWORD
hovers ^nn++++=hovers
over ^in++++=over
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
Where ^wrb+who+++=Where'er
'er ^jjr++++0=EXTRAWORD
my ^pp$+pp1+++=my
arrows ^nns++++=arrows
fly ^nn++++=fly,
, ^zz++++=EXTRAWORD
thou ^pp2+pp2+++=thou
overturnest ^jjt+atrb+++=overturnest
pyramids ^nns+++??+=pyramids
and ^cc++++=and
empires ^nns++++=empires,
, ^zz++++=EXTRAWORD
trampling ^vbg+nom++xvbg+=trampling
crowns ^nns++++=crowns
beneath ^in+pl+++=beneath
thy ^pp$+pp2+++=thy
hoofs ^nns++++=hoofs;
; ^zz++++=EXTRAWORD
All ^abn++++=All
men ^nns++++=men
respect ^nn++++=respect
thee ^pp2+pp2+++=thee;
; ^zz++++=EXTRAWORD
nay ^uh++++=nay,
, ^zz++++=EXTRAWORD
adore ^vb++++=adore
thee ^pp2+pp2+++=thee!
! ^zz++++=EXTRAWORD
To ^to++++=To
invoke ^vbi++++=invoke
thy ^pp$+pp2+++=thy
favour ^nn++++=favour,
, ^zz++++=EXTRAWORD
popes ^nns+++??+=popes
offer ^nn++++=offer
thee ^pp2+pp2+++=thee
their ^pp$+pp3+++=their
triple ^jj+atrb+++=triple
crowns ^nns++++=crowns,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kings ^nns++++=kings
their ^pp$+pp3+++=their
sceptres ^nns+++??+=sceptres;
; ^zz++++=EXTRAWORD
peoples ^nns++++=peoples,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
secret ^jj+atrb+++=secret
sorrows ^nns++++=sorrows;
; ^zz++++=EXTRAWORD
poets ^nns++++=poets,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
renown ^nn++++=renown.
. ^zz++++=EXTRAWORD
All ^abn++++=All
cringe ^nn+++??+=cringe
and ^cc++++=and
kneel ^vb++++=kneel
before ^in++++=before
thee ^pp2+pp2+++=thee,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
thou ^pp2+pp2+++=thou
rushest ^jjt++++=rushest
on ^in++++=on
over ^in++++=over
their ^pp$+pp3+++=their
prostrate ^jj+atrb+++=prostrate
forms ^nns++++=forms.
. ^zz++++=EXTRAWORD
Ah ^uh++++=Ah,
, ^zz++++=EXTRAWORD
noble ^jj+atrb+++=noble
steed ^nn++++=steed!
! ^zz++++=EXTRAWORD
Sole ^jjb+atrb+++=Sole
gift ^nn++++=gift
from ^in++++=from
heaven ^nn++++=heaven!
! ^zz++++=EXTRAWORD
Thy ^pp$+pp2+++=Thy
tendons ^nns++++=tendons
are ^vb+ber+vrb++=are
of ^in++++=of
iron ^nn++++=iron,
, ^zz++++=EXTRAWORD
thy ^pp$+pp2+++=thy
head ^nn++++=head
is ^vbz+bez+vrb++=is
of ^in++++=of
bronze ^nn++++=bronze.
. ^zz++++=EXTRAWORD
Thou ^pp2+pp2+++=Thou
canst ^nn+++??+=canst
pursue ^vb++++=pursue
thy ^pp$+pp2+++=thy
course ^nn++++=course
for ^in++++=for
centuries ^nns++++=centuries
as ^in++++=as
swiftly ^rb++++=swiftly
as ^cs+sub+++=as
if ^cs+cnd+++=if
borne ^vbd+++xvbn+=borne
up ^rp++++=up
by ^in++++=by
eagle ^nn++++=eagle's
's ^$++++=EXTRAWORD
wings ^nns++++=wings;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
in ^in++++=in
a ^at++++=a
thousand ^cd++++=thousand
years ^nns++++=years,
, ^zz++++=EXTRAWORD
resistless ^jj+atrb+++=resistless
hunger ^nn++++=hunger
comes ^vbz++++=comes,
, ^zz++++=EXTRAWORD
thy ^pp$+pp2+++=thy
food ^nn++++=food
is ^vbz+bez+vrb++=is
human ^jj+atrb+++=human
flesh ^nn++++=flesh,
, ^zz++++=EXTRAWORD
thy ^pp$+pp2+++=thy
drink ^nn++++=drink,
, ^zz++++=EXTRAWORD
men ^nns++++=men's
's ^$++++=EXTRAWORD
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
steed ^nn++++=steed!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
love ^nn++++=love
thee ^pp2+pp2+++=thee
as ^ql++++=as
Pale ^nn++++=Pale
Death ^nn++++=Death
alone ^rb++++=alone
can ^md+pos+++=can
love ^vb++++=love!
! ^zz++++=EXTRAWORD
Ah ^uh++++=Ah!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
lived ^vprf+++xvbnx+=lived
so ^ql++++=so
long ^rb++++=long!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How
many ^ap++++=many
things ^nns++++=things
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How
many ^ap++++=many
mysteries ^nns+nom+++=mysteries
of ^in++++=of
the ^ati++++=the
universe ^nn++++=universe
are ^vb+ber+aux++=are
shut ^vpsv++agls+xvbnx+=shut
within ^in++++=within
my ^pp$+pp1+++=my
breast ^nn++++=breast!
! ^zz++++=EXTRAWORD
Sometimes ^rb+cnj+++=Sometimes,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
hurled ^vprf+++xvbnx+=hurled
a ^at++++=a
myriad ^nn++++=myriad
of ^in++++=of
darts ^nns+++??+=darts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
after ^in++++=after
coursing ^xvbg+++xvbg+=coursing
o ^zz++++=o'er
'er ^jjr++++0=EXTRAWORD
the ^ati++++=the
world ^nn++++=world
on ^in++++=on
my ^pp$+pp1+++=my
pale ^nn++++=pale
horse ^nn++++=horse,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
gathered ^vprf+++xvbnx+=gathered
many ^ap++++=many
lives ^nns++++=lives,
, ^zz++++=EXTRAWORD
a ^at++++=a
weariness ^nns+nom+++=weariness
assails ^nns+++??+=assails
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
long ^vb++++=long
to ^to+vcmp+++=to
rest ^vb++++=rest.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
on ^in++++=on
my ^pp$+pp1+++=my
work ^nn++++=work
must ^md+nec+++=must
go ^vb++++=go;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
path ^nn++++=path
I ^pp1a+pp1+++=I
must ^md+nec+++=must
pursue ^vb++++=pursue;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
leads ^vbz++++=leads
through ^in++++=through
infinite ^jj+atrb+++=infinite
space ^nn++++=space
and ^cc++++=and
all ^rb++++=all
the ^ati++++=the
worlds ^nns++++=worlds.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
sweep ^nn++++=sweep
away ^rp+pl+++=away
men ^nns++++=men's
's ^$++++=EXTRAWORD
plans ^nns++++=plans
together ^nn+nom+++=together
with ^in++++=with
their ^pp$+pp3+++=their
triumphs ^nns++++=triumphs,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
loves ^vbz++++=loves
together ^nn+nom+++=together
with ^in++++=with
their ^pp$+pp3+++=their
crimes ^nns++++=crimes,
, ^zz++++=EXTRAWORD
their ^pp$+pp3+++=their
very ^ql+amp+++=very
all ^abn++++=all.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
rend ^vb++++=rend
my ^pp$+pp1+++=my
winding ^nvbg+++xvbg+=winding-sheet;
- ^zz++++=EXTRAWORD
sheet ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
a ^at++++=a
frightful ^jj+atrb+++=frightful
craving ^nn++++=craving
tortures ^vbz++++=tortures
me ^pp1o+pp1+++=me
incessantly ^rb+cnj+++=incessantly,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
some ^dti++++=some
serpent ^nn++++=serpent
stung ^vbd+++xvbn+=stung
continually ^rb++++=continually
within ^in+strn+++=within.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
throw ^vb++++=throw
a ^at++++=a
backward ^jj+atrb+++=backward
glance ^nn++++=glance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
see ^vb+vprv+++=see
the ^ati++++=the
smoke ^nn++++=smoke
of ^in++++=of
fiery ^jj+atrb+++=fiery
ruins ^nns++++=ruins
left ^vbd+++xvbn+=left
behind ^rb+phrv+++=behind;
; ^zz++++=EXTRAWORD
the ^ati++++=the
darkness ^nns+nom+++=darkness
of ^in++++=of
the ^ati++++=the
night ^nn++++=night;
; ^zz++++=EXTRAWORD
the ^ati++++=the
agony ^nn++++=agony
of ^in++++=of
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
the ^ati++++=the
graves ^np++++=graves
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
the ^ati++++=the
work ^nn++++=work
of ^in++++=of
these ^dt+pdem+++=these,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
hands ^nns++++=hands;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
see ^vb+vprv+++=see
the ^ati++++=the
background ^nn++++=background
of ^in++++=of
the ^ati++++=the
past ^jjb++++=past
it ^pp3+it+++0='tis
is ^vbz+bez+vrb++=EXTRAWORD
nothingness ^nns+nom+++=nothingness!
! ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
weary ^jj+atrb+++=weary
body ^nn++++=body,
, ^zz++++=EXTRAWORD
heavy ^jj+atrb+++=heavy
head ^nn++++=head,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
tired ^jj+atrb++xvbn+=tired
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
sink ^vb++++=sink,
, ^zz++++=EXTRAWORD
seeking ^vbg+++xvbg+=seeking
rest ^nn++++=rest.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
eyes ^nns++++=eyes
turn ^nn++++=turn
towards ^in++++=towards
a ^at++++=a
glowing ^jj+atrb++xvbg+=glowing
horizon ^nn++++=horizon,
, ^zz++++=EXTRAWORD
boundless ^jj++++=boundless,
, ^zz++++=EXTRAWORD
immense ^jj++++=immense,
, ^zz++++=EXTRAWORD
seeming ^vbg+seem++xvbg+=seeming
to ^to+vcmp+++=to
grow ^vbi++++=grow
increasingly ^rb++++=increasingly
in ^in++++=in
height ^nn++++=height
and ^cc++++=and
depth ^nn++++=depth.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
devour ^vb++++=devour
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
as ^ql++++=as
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
devoured ^vprf+++xvbnx+=devoured
all ^rb++++=all
else ^rb+cnj+++=else.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When,
, ^zz++++=EXTRAWORD
O ^zz++++=O
God ^np++++=God!
! ^zz++++=EXTRAWORD
shall ^md+prd+++=shall
I ^pp1a+pp1+++=I
sleep ^nn++++=sleep
in ^in++++=in
my ^pp$+pp1+++=my
turn ^nn++++=turn?
? ^zz++++=EXTRAWORD
When ^wrb+who+whq++=When
wilt ^md+prd+++=wilt
Thou ^pp2+pp2+++=Thou
cease ^vb++++=cease
creating ^jj+++xvbg+=creating?
? ^zz++++=EXTRAWORD
When ^wrb+who+whq++=When
may ^md+pos+++=may
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
digging ^vbg+++xvbg+=digging
my ^pp$+pp1+++=my
own ^ap++++=own
grave ^nn++++=grave,
, ^zz++++=EXTRAWORD
stretch ^nn++++=stretch
myself ^ppl+pp1+++=myself
out ^rp+pl+++=out
within ^in++++=within
my ^pp$+pp1+++=my
tomb ^nn++++=tomb,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
swinging ^jj+++xvbg+=swinging
thus ^rb+cnj+++=thus
upon ^in++++=upon
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
list ^nn++++=list
the ^ati++++=the
