Eight ^cd++++=Eight
used ^vbd+++xvbn+=used
perfume ^nn++++=perfume
discreetly ^rb++++=discreetly
on ^in++++=on
his ^pp$+pp3+++=his
handkerchief ^nn++++=handkerchief.
. ^zz++++=EXTRAWORD
The ^ati++++=The
half ^abn++++=half-moons
- ^zz++++=EXTRAWORD
moons ^nns++++=EXTRAWORD
of ^in++++=of
his ^pp$+pp3+++=his
nails ^nns++++=nails
were ^vbd+bed+vrb++=were
perfect ^jj+pred+++=perfect,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
smiled ^vbd+++xvbnx+=smiled
you ^pp2+pp2+++=you
caught ^vbd+++xvbn+=caught
a ^at++++=a
glimpse ^nn++++=glimpse
of ^in++++=of
a ^at++++=a
row ^nn++++=row
of ^in++++=of
childish ^jj+atrb+++=childish
white ^jj+atrb+++=white
teeth ^nns++++=teeth.
. ^zz++++=EXTRAWORD
As ^ql++++=As
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
at ^in++++=at
his ^pp$+pp3+++=his
desk ^nn++++=desk
in ^in++++=in
the ^ati++++=the
King ^np++++=King's
's ^$++++=EXTRAWORD
Inns ^np+++??+=Inns
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
what ^wdt+who+++=what
changes ^nns++++=changes
those ^dt+dem+++=those
eight ^cd++++=eight
years ^nns++++=years
had ^vbd+hvd+aux++=had
brought ^vprf+++xvbnx+=brought.
. ^zz++++=EXTRAWORD
The ^ati++++=The
friend ^nn++++=friend
whom ^whp+rel+obj++=whom
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
known ^vprf+++xvbnx+=known
under ^in++++=under
a ^at++++=a
shabby ^jj+atrb+++=shabby
and ^cc+phrs+++=and
necessitous ^jj+atrb+++=necessitous
guise ^nn++++=guise
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
a ^at++++=a
brilliant ^jj+atrb+++=brilliant
figure ^nn++++=figure
on ^in++++=on
the ^ati++++=the
London ^np++++=London
Press ^nn++++=Press.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
often ^rb++++=often
from ^in++++=from
his ^pp$+pp3+++=his
tiresome ^jj++++=tiresome
writing ^jj+++xvbg+=writing
to ^in++++=to
gaze ^nn++++=gaze
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
office ^nn++++=office
window ^nn++++=window.
. ^zz++++=EXTRAWORD
The ^ati++++=The
glow ^nn++++=glow
of ^in++++=of
a ^at++++=a
late ^jj+atrb+++=late
autumn ^nn++++=autumn
sunset ^nn++++=sunset
covered ^vbd+++xvbn+=covered
the ^ati++++=the
grass ^nn++++=grass
plots ^nns++++=plots
and ^cc++++=and
walks ^nns++++=walks.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
cast ^vbd+++xvbn+=cast
a ^at++++=a
shower ^nn++++=shower
of ^in++++=of
kindly ^rb++++=kindly
golden ^jj+atrb+++=golden
dust ^nn++++=dust
on ^in++++=on
the ^ati++++=the
untidy ^jj+atrb+++=untidy
nurses ^nns++++=nurses
and ^cc++++=and
decrepit ^jj+atrb+++=decrepit
old ^jj+atrb+++=old
men ^nns++++=men
who ^whp+rel+obj++=who
drowsed ^jj+++xvbn+=drowsed
on ^in++++=on
the ^ati++++=the
benches ^nns++++=benches;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
flickered ^vbd+++xvbn+=flickered
upon ^in++++=upon
all ^abn++++=all
the ^ati++++=the
moving ^jj+atrb++xvbg+=moving
figures ^nns++++=figures
on ^in++++=on
the ^ati++++=the
children ^nns++++=children
who ^whp+rel+subj++=who
ran ^vbd+++xvbn+=ran
screaming ^jj+++xvbg+=screaming
along ^in++++=along
the ^ati++++=the
gravel ^nn++++=gravel
paths ^nns++++=paths
and ^cc++++=and
on ^in++++=on
everyone ^pn++++=everyone
who ^whp+who+++=who
passed ^vbd+++xvbn+=passed
through ^in++++=through
the ^ati++++=the
gardens ^nns++++=gardens.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
watched ^vbd+++xvbnx+=watched
the ^ati++++=the
scene ^nn++++=scene
and ^cc++++=and
thought ^vpsv++agls+xvbn+=thought
of ^in++++=of
life ^nn++++=life;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(as
as ^cs+sub+++=EXTRAWORD
always ^rb++++=always
happened ^vbd+++xvbn+=happened
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
of ^in++++=of
life ^nn++++=life)
) ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
became ^vbd+++xvbnx+=became
sad ^jj++++=sad.
. ^zz++++=EXTRAWORD
A ^at++++=A
gentle ^jj+atrb+++=gentle
melancholy ^nn++++=melancholy
took ^vbd+++xvbn+=took
possession ^nn++++=possession
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
felt ^vbd+vprv++xvbnx+=felt
how ^wrb+who+whcl++=how
useless ^jj++++=useless
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
to ^in++++=to
struggle ^nn++++=struggle
against ^in++++=against
fortune ^nn++++=fortune,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
being ^jj+++xvbg+=being
the ^ati++++=the
burden ^nn++++=burden
of ^in++++=of
wisdom ^nn++++=wisdom
which ^whp+rel+obj++=which
the ^ati++++=the
ages ^nns++++=ages
had ^vbd+hvd+aux++=had
bequeathed ^vprf+++xvbnx+=bequeathed
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
remembered ^vbd+vprv++xvbnx+=remembered
the ^ati++++=the
books ^nns++++=books
of ^in++++=of
poetry ^nn++++=poetry
upon ^in++++=upon
his ^pp$+pp3+++=his
shelves ^nns++++=shelves
at ^in++++=at
home ^nr++++=home.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
bought ^vprf+++xvbnx+=bought
them ^pp3o+pp3+++=them
in ^in++++=in
his ^pp$+pp3+++=his
bachelor ^nn++++=bachelor
days ^nns++++=days
and ^cc++++=and
many ^ap++++=many
an ^at++++=an
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
sat ^vbd+++xvbnx+=sat
in ^in++++=in
the ^ati++++=the
little ^jj+atrb+++=little
room ^nn++++=room
off ^in+pl+++=off
the ^ati++++=the
hall ^nn++++=hall,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
tempted ^vpsv++agls+xvbnx+=tempted
to ^to+vcmp+++=to
take ^vbi++++=take
one ^pn++++=one
down ^in++++=down
from ^in++++=from
the ^ati++++=the
bookshelf ^nn+++??+=bookshelf
and ^cc++++=and
read ^vb+vprv++xvbn+=read
out ^rp+pl+++=out
something ^pn++++=something
to ^in++++=to
his ^pp$+pp3+++=his
wife ^nn++++=wife.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
shyness ^nns+nom+++=shyness
had ^vb+hv+aux++=had
always ^rb++splt++=always
held ^vprf+++xvbnx+=held
him ^pp3o+pp3+++=him
back ^jjb++++=back;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^rb++++=so
the ^ati++++=the
books ^nns++++=books
had ^vbd+hvd+aux++=had
remained ^vprf+++xvbnx+=remained
on ^in++++=on
their ^pp$+pp3+++=their
shelves ^nns++++=shelves.
. ^zz++++=EXTRAWORD
At ^rb++++=At
times ^nns++++=times
he ^pp3a+pp3+++=he
repeated ^vbd+++xvbnx+=repeated
lines ^nns++++=lines
to ^in++++=to
himself ^ppl+pp3+++=himself
and ^cc++++=and
this ^dt+dem+++=this
consoled ^jj+++xvbn+=consoled
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
his ^pp$+pp3+++=his
hour ^nn++++=hour
had ^vbd+hvd+aux++=had
struck ^vprf+++xvbnx+=struck
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
up ^rp++++=up
and ^cc++++=and
took ^vbd+++xvbn+=took
leave ^nn++++=leave
of ^in++++=of
his ^pp$+pp3+++=his
desk ^nn++++=desk
and ^cc++++=and
of ^in++++=of
his ^pp$+pp3+++=his
fellow ^jjb++++=fellow-clerks
- ^zz++++=EXTRAWORD
clerks ^nns++++=EXTRAWORD
punctiliously ^rb++++=punctiliously.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
emerged ^vbd+++xvbnx+=emerged
from ^in++++=from
under ^in++++=under
the ^ati++++=the
feudal ^jj+atrb+++=feudal
arch ^nn++++=arch
of ^in++++=of
the ^ati++++=the
King ^np++++=King's
's ^$++++=EXTRAWORD
Inns ^np+++??+=Inns,
, ^zz++++=EXTRAWORD
a ^at++++=a
neat ^jj+atrb+++=neat
modest ^jj+atrb+++=modest
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
walked ^vbd+++xvbn+=walked
swiftly ^rb++++=swiftly
down ^in++++=down
Henrietta ^np++++=Henrietta
Street ^nn++++=Street.
. ^zz++++=EXTRAWORD
The ^ati++++=The
golden ^jj+atrb+++=golden
sunset ^nn++++=sunset
was ^vbd+bedz+vrb++=was
waning ^jj+pred+++=waning
and ^cc++++=and
the ^ati++++=the
air ^nn++++=air
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
sharp ^jj++++=sharp.
. ^zz++++=EXTRAWORD
A ^at++++=A
horde ^nn++++=horde
of ^in++++=of
grimy ^jj+atrb+++=grimy
children ^nns++++=children
populated ^vbd+++xvbn+=populated
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
stood ^vbd+++xvbnx+=stood
or ^cc+phrs+++=or
ran ^vbd+++xvbn+=ran
in ^in++++=in
the ^ati++++=the
roadway ^nn++++=roadway,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
crawled ^vprf+++xvbn+=crawled
up ^rp++++=up
the ^ati++++=the
steps ^nns++++=steps
before ^in++++=before
the ^ati++++=the
gaping ^jj+atrb+++=gaping
doors ^nns++++=doors,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
squatted ^vpsv++agls+xvbn+=squatted
like ^in++++=like
mice ^nns++++=mice
upon ^in++++=upon
the ^ati++++=the
thresholds ^nns+++??+=thresholds.
. ^zz++++=EXTRAWORD
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler
gave ^vbd+++xvbn+=gave
them ^pp3o+pp3+++=them
no ^at++++=no
thought ^nn++++=thought.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
picked ^vbd+++xvbnx+=picked
his ^pp$+pp3+++=his
way ^nn++++=way
deftly ^rb++++=deftly
through ^in++++=through
all ^abn++++=all
that ^dt+dem+++=that
minute ^nn++++=minute
vermin ^nn++++=vermin-like
- ^zz++++=EXTRAWORD
like ^in++++=EXTRAWORD
life ^nn++++=life
and ^cc++++=and
under ^in++++=under
the ^ati++++=the
shadow ^nn++++=shadow
of ^in++++=of
the ^ati++++=the
gaunt ^jj+atrb+++=gaunt
spectral ^jj+atrb+++=spectral
mansions ^nns++++=mansions
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
old ^jj+atrb+++=old
nobility ^nn+nom+++=nobility
of ^in++++=of
Dublin ^np++++=Dublin
had ^vbd+hvd+aux++=had
roistered ^vprf+++xvbnx+=roistered.
. ^zz++++=EXTRAWORD
No ^at++++=No
memory ^nn++++=memory
of ^in++++=of
the ^ati++++=the
past ^nn++++=past
touched ^vbd+++xvbn+=touched
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
mind ^nn++++=mind
was ^vbd+bedz+vrb++=was
full ^jj+pred+++=full
of ^in++++=of
a ^at++++=a
present ^vb++++=present
joy ^nn++++=joy.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
Corless ^np+++??+=Corless's,
's, ^nn+++??+=EXTRAWORD
but ^cc++++=but
he ^pp3a+pp3+++=he
knew ^vbd+vprv++xvbnx+=knew
the ^ati++++=the
value ^nn++++=value
of ^in++++=of
the ^ati++++=the
name ^nn++++=name.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
knew ^vbd+vprv++xvbnx+=knew
that ^tht+vcmp+++=that
people ^nns++++=people
went ^vbd+++xvbn+=went
there ^rn+pl+++=there
after ^cs+sub+++=after
the ^ati++++=the
theatre ^nn++++=theatre
to ^to++++=to
eat ^vbi++++=eat
oysters ^nns+nom+++=oysters
and ^cc++++=and
drink ^vb++++=drink
liqueurs ^nns+++??+=liqueurs;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
that ^tht+vcmp+++=that
the ^ati++++=the
waiters ^nns+nom+++=waiters
there ^ex+pex+++=there
spoke ^vbd+++xvbn+=spoke
French ^nn++++=French
and ^cc++++=and
German ^jj++++=German.
. ^zz++++=EXTRAWORD
Walking ^vbg+++xvbg+=Walking
swiftly ^rb++++=swiftly
by ^in++++=by
at ^in++++=at
night ^nn++++=night
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
cabs ^vbz+++??+=cabs
drawn ^vbd+++xvbn+=drawn
up ^rb+phrv+++=up
before ^cs+sub+++=before
the ^ati++++=the
door ^nn++++=door
and ^cc++++=and
richly ^rb++++=richly-dressed
- ^zz++++=EXTRAWORD
dressed ^xvbn+++xvbn+=EXTRAWORD
ladies ^nns++++=ladies,
, ^zz++++=EXTRAWORD
escorted ^xvbn+++xvbn+=escorted
by ^in++++=by
cavaliers ^nns+nom+++=cavaliers,
, ^zz++++=EXTRAWORD
alight ^jj++++=alight
and ^cc++++=and
enter ^vb++++=enter
quickly ^rb++++=quickly.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
wore ^vbd+++xvbnx+=wore
noisy ^jj+atrb+++=noisy
dresses ^nns+nom+++=dresses
and ^cc++++=and
many ^ap++++=many
wraps ^nns+++??+=wraps.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
faces ^nns++++=faces
were ^vbd+bed+aux++=were
powdered ^vpsv++agls+xvbnx+=powdered
and ^cc++++=and
they ^pp3a+pp3+++=they
caught ^vbd+++xvbnx+=caught
up ^rp++++=up
their ^pp$+pp3+++=their
dresses ^nns+nom+++=dresses,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
touched ^vbd+++xvbnx+=touched
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
like ^in++++=like
alarmed ^vbd+++xvbn+=alarmed
Atalantas ^np+++??+=Atalantas.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+aux++=had
always ^rb++splt++=always
passed ^vprf+++xvbnx+=passed
without ^in++++=without
turning ^xvbg+++xvbg+=turning
his ^pp$+pp3+++=his
head ^nn++++=head
to ^to++++=to
look ^vbi++++=look.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
habit ^nn++++=habit
to ^to++++=to
walk ^vbi++++=walk
swiftly ^rb++++=swiftly
in ^in++++=in
the ^ati++++=the
street ^nn++++=street
even ^rb++++=even
by ^in++++=by
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whenever ^nn+nom+++=whenever
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
himself ^ppl+pp3+++=himself
in ^in++++=in
the ^ati++++=the
city ^nn++++=city
late ^jj++++=late
at ^rb++++=at
night ^nn++++=night
he ^pp3a+pp3+++=he
hurried ^vbd+++xvbnx+=hurried
on ^in++++=on
his ^pp$+pp3+++=his
way ^nn++++=way
apprehensively ^jj++++=apprehensively
and ^cc++++=and
excitedly ^rb++++=excitedly.
. ^zz++++=EXTRAWORD
Sometimes ^rb+cnj+++=Sometimes,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
courted ^vbd+++xvbnx+=courted
the ^ati++++=the
causes ^nns++++=causes
of ^in++++=of
his ^pp$+pp3+++=his
fear ^nn++++=fear.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
chose ^vbd+++xvbnx+=chose
the ^ati++++=the
darkest ^jjt+atrb+++=darkest
and ^cc+phrs+++=and
narrowest ^jjt+atrb+++=narrowest
streets ^nns++++=streets
and ^cc++++=and,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
boldly ^rb++++=boldly
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
the ^ati++++=the
silence ^nn+nom+++=silence
that ^dt+pdem+++=that
was ^vbd+bedz+aux++=was
spread ^vpsv++agls+xvbnx+=spread
about ^in++++=about
his ^pp$+pp3+++=his
footsteps ^nns++++=footsteps
troubled ^vbd+++xvbn+=troubled
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
the ^ati++++=the
wandering ^nvbg+++xvbg+=wandering,
, ^zz++++=EXTRAWORD
silent ^jj+atrb+++=silent
figures ^nns++++=figures
troubled ^vbd+++xvbn+=troubled
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
times ^nns++++=times
a ^at++++=a
sound ^nn++++=sound
of ^in++++=of
low ^jj+atrb+++=low
fugitive ^nn++++=fugitive
laughter ^nn+nom+++=laughter
made ^vbd+++xvbn+=made
him ^pp3o+pp3+++=him
tremble ^vb++++=tremble
like ^in++++=like
a ^at++++=a
leaf ^nn++++=leaf.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
turned ^vbd+++xvbnx+=turned
to ^in++++=to
the ^ati++++=the
right ^nn++++=right
towards ^in++++=towards
Capel ^np+++??+=Capel
Street ^nn++++=Street.
. ^zz++++=EXTRAWORD
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher
on ^in++++=on
the ^ati++++=the
London ^np++++=London
Press ^nn++++=Press!
! ^zz++++=EXTRAWORD
Who ^whp+who+whq++=Who
would ^md+prd+++=would
have ^vb+hv+aux++=have
thought ^vprf+++xvbnx+=thought
it ^pp3+it+++=it
possible ^jj++++=possible
eight ^cd++++=eight
years ^nns++++=years
before ^in++++=before?
? ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
reviewed ^vbd+++xvbnx+=reviewed
the ^ati++++=the
past ^jjb++++=past,
, ^zz++++=EXTRAWORD
Little ^ap++++=Little
Chandler ^np+nom+++=Chandler
could ^md+pos+++=could
remember ^nn+nom+++=remember
many ^ap++++=many
signs ^nns++++=signs
of ^in++++=of
future ^jjb+atrb+++=future
greatness ^nns+nom+++=greatness
in ^in++++=in
his ^pp$+pp3+++=his
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
People ^nns++++=People
used ^md"++pmd"++=used
to ^to++++=to
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher
was ^vbd+bedz+vrb++=was
wild ^jj+pred+++=wild.
. ^zz++++=EXTRAWORD
Of ^in+emph+++=Of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
mix ^vb++++=mix
with ^in++++=with
a ^at++++=a
rakish ^jj+atrb+++=rakish
set ^nn+++xvbn+=set
of ^in++++=of
fellows ^nns++++=fellows
at ^rb++++=at
that ^dt+dem+++=that
time ^nn++++=time;
; ^zz++++=EXTRAWORD
drank ^j+++xvbn+=drank
freely ^rb++++=freely
and ^cc++++=and
borrowed ^jj+atrb++xvbn+=borrowed
money ^nn++++=money
on ^in++++=on
all ^abn++++=all
sides ^nns++++=sides.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
end ^nn++++=end
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
got ^vprf+++xvbnx+=got
mixed ^xvbn+++xvbn+=mixed
up ^rp++++=up
in ^in++++=in
some ^dti++++=some
shady ^jj+atrb+++=shady
affair ^nn++++=affair,
, ^zz++++=EXTRAWORD
some ^dti++++=some
money ^nn++++=money
transaction ^nn+nom+++=transaction:
: ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
version ^nn++++=version
of ^in++++=of
his ^pp$+pp3+++=his
flight ^nn++++=flight.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
nobody ^pn++++=nobody
denied ^vbd+vpub++xvbn+=denied
him ^pp3o+pp3+++=him
talent ^nn++++=talent.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
always ^rb++++=always
a ^at++++=a
certain. ^nn+++??+=certain...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
something ^pn++++=something
in ^in++++=in
Ignatius ^np+++??+=Ignatius
Gallaher ^np+nom++??+=Gallaher
that ^tht+rel+subj++=that
impressed ^vprf+++xvbn+=impressed
you ^pp2+pp2+++=you
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
yourself ^ppl+pp2+++=yourself.
. ^zz++++=EXTRAWORD
Even ^rb++++=Even
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out
at ^in++++=at
elbows ^nns++++=elbows
and ^cc++++=and
at ^in++++=at
his ^pp$+pp3+++=his
wits ^nns++++=wits'
' ^zz++++=EXTRAWORD
end ^nn++++=end
for ^in++++=for
money ^nn++++=money
he ^pp3a+pp3+++=he
kept ^vbd+++xvbnx+=kept
