If ^cs+cnd+++=If
his ^pp$+pp3+++=his
face ^nn++++=face.
. ^zz++++=EXTRAWORD
" ^zz++++="Like
like ^in++++=EXTRAWORD
her ^pp$+pp3+++=her!
! ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
only ^rb+down+++=only----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gibbered ^vbd+++xvbnx+=gibbered
for ^in++++=for
a ^at++++=a
spell ^nn++++=spell.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
calmed ^vprf+++xvbnx+=calmed
down ^rp++++=down,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="Well
well ^rb++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what's
's ^vbz+bez+vrb++0=EXTRAWORD
your ^pp$+pp2+++=your
trouble ^nn++++=trouble?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Reggie,"
reggie ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
think ^vb+vprv+tht0++=think
a ^at++++=a
man ^nn++++=man
is ^vbz+bez+aux++=is
bound ^jj++agls+xvbnx+=bound
to ^to+jcmp+++=to
tell ^vbi++++=tell
his ^pp$+pp3+++=his
wife ^nn++++=wife
all ^abn++++=all
about ^in++++=about
his ^pp$+pp3+++=his
past ^jjb+atrb+++=past
life ^nn++++=life?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
well ^rb+cnj+++=well,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="of
of ^in+emph+++=EXTRAWORD
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+tht0++=suppose
she ^pp3a+pp3+++=she's
's ^vbz+bez+aux++0=EXTRAWORD
prepared ^jj++agls+xvbnx+=prepared
to ^to+jcmp+++=to
find ^vbi+vprv+++=find
that ^tht+vcmp+++=that
a ^at++++=a
man ^nn++++=man
has ^vbz+hvz+vrb++=has--er--sowed
-- ^--+clp+++=EXTRAWORD
er ^&fw++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
sowed ^j+++xvbn+=EXTRAWORD
his ^pp$+pp3+++=his
wild ^jj+atrb+++=wild
oats ^nns++++=oats,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^abn++++=all
that ^dt+dem+++=that
sort ^nn++++=sort
of ^in++++=of
thing ^nn++++=thing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and----"
-- ^--+clp+++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
quite ^rb++++=quite
irritated ^vbd+++xvbn+=irritated.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
a ^at++++=a
chump ^nn+++??+=chump.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
nothing ^pn++++=nothing
like ^in++++=like
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
Listen ^vb++++=Listen.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
back ^jjb++++=back
to ^in++++=to
London ^np++++=London
and ^cc++++=and
started ^vbd+++xvbn+=started
to ^to++++=to
try ^vbi++++=try
and ^cc+phrs+++=and
make ^vb++++=make
a ^at++++=a
living ^jj+++xvbg+=living
by ^in++++=by
painting ^xvbg+++xvbg+=painting,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
found ^vbd+vprv++xvbnx+=found
that ^tht+vcmp+++=that
people ^nns++++=people
simply ^rb++++=simply
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
buy ^vb++++=buy
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
work ^nn++++=work
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did
at ^in++++=at
any ^dti++++=any
price ^nn++++=price.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Do
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
Reggie ^np+++??+=Reggie,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+vrb+xvbnx+=been
at ^rb++++=at
it ^pp3+it+++=it
three ^cd++++=three
years ^nns++++=years
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
sold ^vbd+++xvbn+=sold
a ^at++++=a
single ^jj+atrb+++=single
picture ^nn++++=picture."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
whooped ^vbd+++xvbnx+=whooped
in ^in++++=in
a ^at++++=a
sort ^nn++++=sort
of ^in++++=of
amazed ^vbd+++xvbn+=amazed
way ^nn++++=way,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
should ^md+nec+++=should
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
far ^rb+pl+++=far
more ^ql++++=more
startled ^jj+++xvbn+=startled
if ^cs+cnd+++=if
he ^pp3a+pp3+++0=he'd
'd ^vbd+hvd+aux++=EXTRAWORD
told ^vprf+++xvbnx+=told
me ^pp1o+pp1+++=me
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
sold ^vprf+++xvbnx+=sold
a ^at++++=a
picture ^nn++++=picture.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
seen ^vprf+++xvbnx+=seen
his ^pp$+pp3+++=his
pictures ^nns++++=pictures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
like ^in++++=like
nothing ^pn++++=nothing
on ^in++++=on
earth ^nn++++=earth.
. ^zz++++=EXTRAWORD
So ^ql++++=So
far ^rb+pl+++=far
as ^ql++++=as
I ^pp1a+pp1+++=I
can ^md+pos+++=can
make ^vb++++=make
out ^rp+pl+++=out
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
says ^vbz+vpub+++=says,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
supposed ^vb++pmd"+xvbn+=supposed
to ^to+vcmp+pmd++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
one ^cd1++++=one
in ^rb++++=in
particular ^rb"++++=particular,
, ^zz++++=EXTRAWORD
called ^j+++xvbn+=called
" ^zz++++="The
the ^ati++++=EXTRAWORD
Coming ^jj+++xvbg+=Coming
of ^in++++=of
Summer ^nn++++=Summer,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^whp+who+++=which
I ^pp1a+pp1+++=I
sometimes ^rb++++=sometimes
dream ^nn++++=dream
about ^in++++=about
when ^wrb+who+++=when
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
hitting ^vbg+++xvbgx+=hitting
it ^pp3+it+++=it
up ^rp++++=up
a ^at++++=a
shade ^nn++++=shade
too ^ql++++=too
vigorously ^rb++++=vigorously.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
all ^abn++++=all
dots ^nns++++=dots
and ^cc++++=and
splashes ^nns++++=splashes,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
great ^jj+atrb+++=great
eye ^nn++++=eye
staring ^vwbg+++xvbg+=staring
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
middle ^nn++++=middle
of ^in++++=of
the ^ati++++=the
mess ^nn++++=mess.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
looks ^vbz++++=looks
as ^cs+sub+++=as
if ^cs+cnd+++=if
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
on ^in++++=on
the ^ati++++=the
way ^nn++++=way,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
stubbed ^vprf+++xvbnx+=stubbed
its ^pp$+it+++=its
toe ^nn++++=toe
on ^in++++=on
a ^at++++=a
bomb ^nn++++=bomb.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
tells ^vbz++++=tells
me ^pp1o+pp1+++=me
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
his ^pp$+pp3+++=his
masterpiece ^nn++++=masterpiece,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
will ^md+prd+++=will
never ^rb++++=never
do ^vb+do+vrb++=do
anything ^pn++++=anything
like ^in++++=like
it ^pp3+it+++=it
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
should ^md+nec+++=should
like ^vb++++=like
to ^to+vcmp+++=to
have ^vbi++++=have
that ^dt+dem+++=that
in ^in++++=in
writing ^xvbg+++xvbg+=writing.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
artists ^nns+nom+++=artists
eat ^vb++++=eat,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
the ^ati++++=the
same ^ap++++=same
as ^in++++=as
other ^ap++++=other
people ^nns++++=people,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
on ^in+strn+++=on,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
personally ^rb++++=personally
I ^pp1a+pp1+++=I
like ^in++++=like
mine ^nn++++=mine
often ^rb++++=often
and ^cc++++=and
well ^rb++++=well
cooked ^vbd+++xvbn+=cooked.
. ^zz++++=EXTRAWORD
Besides ^rb+cnj+++=Besides
which ^whp+rel+pied++=which,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
sojourn ^nn++++=sojourn
in ^in++++=in
Paris ^np++++=Paris
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
a ^at++++=a
rather ^rb++++=rather
nice ^jj+atrb+++=nice
taste ^nn++++=taste
in ^in++++=in
light ^nn++++=light
wines ^nns++++=wines.
. ^zz++++=EXTRAWORD
The ^ati++++=The
consequence ^nn+nom+++=consequence
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
to ^in++++=to
the ^ati++++=the
conclusion ^nn++++=conclusion,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
back ^jjb++++=back
a ^ap++++=a
few ^ap"++++=few
months ^nns++++=months,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
something ^pn++++=something
had ^md"++pmd"++=had
to ^md+nec+++=to
be ^vbi+vbi+aux++=be
done ^vprf+++xvbn+=done.
. ^zz++++=EXTRAWORD
Reggie ^np+++??+=Reggie,
, ^zz++++=EXTRAWORD
do ^vb+do+vrb++=do
you ^pp2+pp2+++=you
by ^in++++=by
any ^dti++++=any
remote ^jj+atrb+++=remote
chance ^nn++++=chance
read ^vbd+vprv+tht0+xvbn+=read
a ^at++++=a
paper ^nn++++=paper
called ^vbd+++xvbn+=called
Funny ^jj+atrb+++=Funny
Slices ^nns++++=Slices?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Every
every ^at++++=EXTRAWORD
week ^nn++++=week."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gazed ^vbd+++xvbnx+=gazed
at ^rb++++=at
me ^pp1o+pp1+++=me
with ^in++++=with
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
wistful ^jj+atrb+++=wistful
admiration ^nn+nom+++=admiration.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
envy ^vb++++=envy
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Reggie ^np+++??+=Reggie.
. ^zz++++=EXTRAWORD
Fancy ^jj++++=Fancy
being ^jj+++xvbg+=being
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
make ^vb++++=make
a ^at++++=a
statement ^nn+nom+++=statement
like ^in++++=like
that ^dt+dem+++=that
openly ^rb++++=openly
and ^cc++++=and
without ^in++++=without
fear ^nn++++=fear.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
I ^pp1a+pp1+++=I
take ^vb++++=take
it ^pp3+it+++=it
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
the ^ati++++=the
Doughnut ^np+++??+=Doughnut
family ^nn++++=family?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
say ^vb+vpub+tht0++=say
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
voice ^nn++++=voice
sank ^vbd+++xvbn+=sank
almost ^rb+hdg+++=almost
to ^in++++=to
a ^at++++=a
whisper ^nn++++=whisper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
looked ^vbd+++xvbnx+=looked
over ^in++++=over
his ^pp$+pp3+++=his
shoulder ^nn+nom+++=shoulder
nervously ^rb++++=nervously.
. ^zz++++=EXTRAWORD
" ^zz++++="Reggie,
reggie ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
them ^pp3o+pp3+++=them."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
what ^wdt+who+++=what?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=do
them ^pp3o+pp3+++=them--draw
-- ^--+clp+++=EXTRAWORD
draw ^vb++++=EXTRAWORD
them ^pp3o+pp3+++=them--paint
-- ^--+clp+++=EXTRAWORD
paint ^nn++++=EXTRAWORD
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
the ^ati++++=the
creator ^nn++++=creator
of ^in++++=of
the ^ati++++=the
Doughnut ^np+++??+=Doughnut
family ^nn++++=family."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
stared ^vbd+++xvbnx+=stared
at ^rb++++=at
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
absolutely ^rb+amp+++=absolutely
astounded ^jj+++xvbn+=astounded.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
simply ^rb++++=simply
dumb ^jj+pred+++=dumb.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
biggest ^jjt+atrb+++=biggest
surprise ^nn++++=surprise
of ^in++++=of
my ^pp$+pp1+++=my
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
dash ^nn++++=dash
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Doughnut ^np+++??+=Doughnut
family ^nn++++=family
was ^vbd+bedz+vrb++=was
the ^ati++++=the
best ^jjt+atrb+++=best
thing ^nn++++=thing
in ^in++++=in
its ^pp$+it+++=its
line ^nn++++=line
in ^in++++=in
London ^np++++=London.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
Pa ^npt++++=Pa
Doughnut ^np+++??+=Doughnut,
, ^zz++++=EXTRAWORD
Ma ^npt++++=Ma
