During ^in++++=During
" ^zz++++="I'd
i ^pp1a+pp1+++0=EXTRAWORD
'd ^md+prd+aux++=EXTRAWORD
serve ^vb++++=serve
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
a ^at++++=a
lay ^jjb+++xvbn+=lay
Tooloose ^np+++??+=Tooloose,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
driver ^nn++++=driver,
, ^zz++++=EXTRAWORD
briefly ^rb+cnj+++=briefly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brought ^vbd+++xvbn+=brought
his ^pp$+pp3+++=his
long ^rb++++=long
lash ^vb++++=lash
8 ^zz++++=8-shaped
- ^zz++++=EXTRAWORD
shaped ^jj+++xvbn+=EXTRAWORD
across ^in+pl+++=across
the ^ati++++=the
four ^cd++++=four
startled ^vbd+++xvbn+=startled
backs ^nns++++=backs
of ^in++++=of
his ^pp$+pp3+++=his
horses ^nns++++=horses.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
turned ^vbd+++xvbn+=turned
to ^in++++=to
the ^ati++++=the
reinspection ^nn+nom+++=reinspection
of ^in++++=of
his ^pp$+pp3+++=his
guest ^nn++++=guest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
met ^vbd+++xvbn+=met
a ^at++++=a
deprecating ^jj+atrb++xvbg+=deprecating
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
" ^zz++++="Can
can ^md+pos+++=EXTRAWORD
I ^pp1a+pp1+++=I
get ^vb++++=get
a ^at++++=a
room ^nn++++=room
here ^rn+pl+++=here
fer ^&fw++++=fer
to ^to++++=to-night?"
- ^zz++++=EXTRAWORD
night ^nn++++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
inquired ^vbd+++xvbnx+=inquired
in ^in++++=in
a ^at++++=a
high ^jj++++=high,
, ^zz++++=EXTRAWORD
piping ^nn++++=piping
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
kin ^nns++++=kin,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Billy ^np++++=Billy,
, ^zz++++=EXTRAWORD
shortly ^rb+cnj+++=shortly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
to ^to++++=to
howl ^vbi++++=howl
for ^in++++=for
Charley ^np++++=Charley.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
patriarch ^nn++++=patriarch
appeared ^vbd+seem++xvbn+=appeared
around ^rp++++=around
the ^ati++++=the
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
as ^ql++++=as
did ^vbd+dod+vrb++=did
likewise ^rb+cnj+++=likewise
the ^ati++++=the
cook ^nn++++=cook,
, ^zz++++=EXTRAWORD
a ^at++++=a
black ^jj++++=black-eyed,
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
red ^jj++++=red-cheeked
- ^zz++++=EXTRAWORD
cheeked ^jj+atrb++xvbn+=EXTRAWORD
creature ^nn++++=creature,
, ^zz++++=EXTRAWORD
afterward ^rb++++=afterward
counted ^vpsv++by+xvbn+=counted
by ^in++++=by
Billy ^np++++=Billy
as ^ql++++=as
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
eight ^cd++++=eight
matrimonial ^jj+atrb+++=matrimonial
ventures ^nns++++=ventures.
. ^zz++++=EXTRAWORD
" ^zz++++="Snake
snake ^nn++++=EXTRAWORD
this ^dt+dem+++=this
stranger ^jjr+atrb+++=stranger's
's ^vbz+bez+vrb++0=EXTRAWORD
war ^nn++++=war-bag
- ^zz++++=EXTRAWORD
bag ^nn++++=EXTRAWORD
into ^in++++=into
th ^zz++++=th'
' ^zz++++=EXTRAWORD
shack ^nn++++=shack,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
commanded ^vbd+vpub++xvbn+=commanded
Billy ^np++++=Billy,
, ^zz++++=EXTRAWORD
" ^zz++++="and,
and ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Nell ^np++++=Nell,
, ^zz++++=EXTRAWORD
jest ^rb++++=jest
nat ^np++++=nat'rally
'rally ^rb++++0=EXTRAWORD
rustle ^nn++++=rustle
a ^ap++++=a
few ^ap"++++=few
grub ^nn++++=grub."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^nn++++=stranger
picked ^vbd+++xvbn+=picked
up ^rp++++=up
a ^at++++=a
small ^jj+atrb+++=small
hand ^nn++++=hand-satchel
- ^zz++++=EXTRAWORD
satchel ^nn+++??+=EXTRAWORD
and ^cc++++=and
followed ^vbn+vprv++xvbn+=followed
Charley ^np++++=Charley
into ^in++++=into
the ^ati++++=the
building ^nvbg+++xvbg+=building.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
reappeared ^vbd+seem++xvbnx+=reappeared
for ^in++++=for
supper ^nn++++=supper,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
carried ^vbd+++xvbnx+=carried
the ^ati++++=the
hand ^nn++++=hand-bag
- ^zz++++=EXTRAWORD
bag ^nn++++=EXTRAWORD
with ^in++++=with
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
placed ^vbd+++xvbn+=placed
it ^pp3+it+++=it
under ^in++++=under
the ^ati++++=the
bench ^nn++++=bench
which ^whp+rel+subj++=which
flanked ^xvbn+++xvbn+=flanked
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
Afterward ^rb++++=Afterward
he ^pp3a+pp3+++=he
deposited ^vbd+++xvbnx+=deposited
it ^pp3+it+++=it
near ^rb++++=near
his ^pp$+pp3+++=his
hand ^nn++++=hand
while ^cs+sub+++=while
enjoying ^vbg+++xvbg+=enjoying
a ^at++++=a
pipe ^nn++++=pipe
outside ^jjb++++=outside.
. ^zz++++=EXTRAWORD
Naturally ^rb+cnj+++=Naturally,
, ^zz++++=EXTRAWORD
all ^abn++++=all
this ^dt+pdem+++=this
did ^vbd+dod+aux++=did
not ^xnot++not++=not
escape ^vb++++=escape
Billy ^np++++=Billy.
. ^zz++++=EXTRAWORD
" ^zz++++="Stranger,"
stranger ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
" ^zz++++="yo'
yo ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
seems ^vbz+seem+++=seems
mighty ^jj++++=mighty
wedded ^jj+++xvbn+=wedded
to ^in++++=to
that ^dt+dem+++=that
thar ^nn+++??+=thar
satchel ^nn+++??+=satchel."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
piped ^jj+++xvbn+=piped
the ^ati++++=the
stranger ^nn+nom+++=stranger.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
snorted ^vbd+++xvbn+=snorted
at ^in++++=at
the ^ati++++=the
title ^nn++++=title.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
has ^vbz+hvz+vrb++=has
some ^dti++++=some
personal ^jj+atrb+++=personal
belongin ^nn+++??+=belongin's
's ^$++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
valuable ^jj+pred+++=valuable
to ^in++++=to
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
opened ^vbd+++xvbnx+=opened
the ^ati++++=the
bag ^nn++++=bag
and ^cc++++=and
produced ^vbd+++xvbn+=produced
a ^at++++=a
cheap ^jj+atrb+++=cheap
portrait ^nn++++=portrait
of ^in++++=of
a ^at++++=a
rather ^rb++++=rather
cheap ^jj++++=cheap-looking
- ^zz++++=EXTRAWORD
looking ^vbg+++xvbg+=EXTRAWORD
woman ^nn++++=woman.
. ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
mother ^nn++++=mother
that ^tht+rel+subj++=that
was ^vbd+bedz+vrb++=was,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
snorted ^vbd+++xvbn+=snorted
again ^rb+tm+++=again
and ^cc++++=and
went ^vbd+++xvbn+=went
inside ^jjb++++=inside.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
hated ^vbd+++xvbnx+=hated
sentiment ^nn+nom+++=sentiment
of ^in++++=of
all ^abn++++=all
kinds ^nns++++=kinds.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
men ^nns++++=men
sat ^vbd+++xvbn+=sat
opposite ^rb++++=opposite
each ^ppls++++=each
other ^ap++++=other
and ^cc++++=and
ate ^vbd+++xvbn+=ate
supper ^nn++++=supper,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
served ^vpsv++by+xvbnx+=served
by ^in++++=by
the ^ati++++=the
red ^jj++++=red-cheeked
- ^zz++++=EXTRAWORD
cheeked ^jj+atrb++xvbn+=EXTRAWORD
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stranger ^nn++++=stranger
kept ^vbd+++xvbn+=kept
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
on ^in++++=on
his ^pp$+pp3+++=his
plate ^nn++++=plate
while ^cs+sub+++=while
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
room ^nn++++=room.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
perched ^vbd+++xvbnx+=perched
on ^in++++=on
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
bench ^nn++++=bench
with ^in++++=with
his ^pp$+pp3+++=his
feet ^nns++++=feet
tucked ^vbd+++xvbn+=tucked
under ^in++++=under
him ^pp3o+pp3+++=him
and ^cc++++=and
resting ^vbg+++xvbg+=resting
on ^in++++=on
the ^ati++++=the
toes ^nns++++=toes.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
she ^pp3a+pp3+++=she
approached ^vbd+++xvbnx+=approached,
, ^zz++++=EXTRAWORD
the ^ati++++=the
muscles ^nns++++=muscles
of ^in++++=of
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders
and ^cc++++=and
upper ^jjb+atrb+++=upper
arms ^nns++++=arms
grew ^vbd+++xvbn+=grew
rigid ^jj++++=rigid
with ^in++++=with
embarrassment ^nn+nom+++=embarrassment,
, ^zz++++=EXTRAWORD
causing ^vbg+++xvbg+=causing
strange ^jj+atrb+++=strange
awkward ^jj+atrb+++=awkward
movements ^nns+nom+++=movements
of ^in++++=of
the ^ati++++=the
hands ^nns++++=hands.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
answered ^vbd+vpub++xvbnx+=answered
in ^in++++=in
monosyllables ^nns+++??+=monosyllables.
. ^zz++++=EXTRAWORD
Billy ^np++++=Billy
ate ^vbd+++xvbn+=ate
expansively ^jj++++=expansively
and ^cc++++=and
earnestly ^rb++++=earnestly.
. ^zz++++=EXTRAWORD
Toward ^in++++=Toward
the ^ati++++=the
close ^nn++++=close
of ^in++++=of
the ^ati++++=the
meal ^nn++++=meal
Charley ^np++++=Charley
slipped ^vbd+++xvbn+=slipped
into ^in++++=into
place ^nn++++=place
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Charley ^np++++=Charley
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out
of ^in++++=of
humour ^nn++++=humour,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
found ^vbd+vprv++xvbn+=found
the ^ati++++=the
meat ^nn++++=meat
cold ^nn++++=cold.
. ^zz++++=EXTRAWORD
" ^zz++++="Damn
damn ^vb++++=EXTRAWORD
yore ^nn+++??+=yore
