Side ^nn++++=Side
's ^$++++=EXTRAWORD
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
dot ^nn++++=dot
ran ^vbd+++xvbn+=ran
into ^in+ppvb+++=into
the ^ati++++=the
coveted ^jj++++=coveted
five ^cd++++=five
figures ^nns++++=figures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
whose ^whp+rel+obj++=whose
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
Hippolyte ^np+++??+=Hippolyte,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
as ^ql++++=as
good ^jj++++=good
as ^cs+sub+++=as
her ^pp3o+pp3+++=her
face ^nn++++=face
was ^vbd+bedz+vrb++=was
pretty ^rb+cnj+++=pretty,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
even ^rb++++=even
by ^in++++=by
the ^ati++++=the
unprejudiced ^jj+++xvbn+=unprejudiced,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
acknowledged ^vpsv++agls+xvbnx+=acknowledged
to ^to++++=to
be ^vbi++vrb++=be
forcible ^jj+atrb+++=forcible
commendation ^nn+nom+++=commendation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
installation ^nn+nom+++=installation
of ^in++++=of
the ^ati++++=the
new ^jj+atrb+++=new
establishment ^nn+nom+++=establishment
was ^vbd+bedz+vrb++=was
a ^at++++=a
nine ^cd++++=nine
days ^nns++++=days'
' ^zz++++=EXTRAWORD
wonder ^vb++++=wonder
in ^in++++=in
the ^ati++++=the
quartier ^nn++++=quartier.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
a ^at++++=a
busy ^jj+atrb+++=busy
thoroughfare ^nn++++=thoroughfare
at ^in++++=at
its ^pp$+it+++=its
western ^jj+atrb+++=western
end ^nn++++=end,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
avenue ^nn++++=avenue
de ^&fw++++=de
la ^&fw++++=la
Grande ^&fw++++=Grande
Arm ^vb++++=Arm
e ^zz++++=e,
, ^zz++++=EXTRAWORD
crowded ^j+++xvbn+=crowded
with ^in++++=with
bicyclists ^nns+nom+++=bicyclists
and ^cc++++=and
with ^in++++=with
a ^at++++=a
multitude ^nn++++=multitude
of ^in++++=of
creatures ^nns++++=creatures
fearfully ^rb++++=fearfully
and ^cc+phrs+++=and
wonderfully ^rb++++=wonderfully
clad ^jj++++=clad,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
do ^vb+do+vrb++=do
incomprehensible ^jj+atrb+++=incomprehensible
things ^nns++++=things
in ^in++++=in
connection ^nn+nom+++=connection
with ^in++++=with
motor ^nn++++=motor-carriages.
- ^zz++++=EXTRAWORD
carriages ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
Also ^rb++++=Also
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
big ^jj+atrb+++=big
caf ^nn+++??+=caf
s ^zz++++=s
in ^in++++=in
plenty ^nn++++=plenty,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
waiters ^nns+nom+++=waiters
must ^md+nec+++=must
be ^vb+be+vrb++=be
smoothly ^rb++++=smoothly
shaven ^jj+pred+++=shaven:
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
moreover ^nn+nom+++=moreover,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
time ^nn++++=time
when ^wrb+who+++=when
Hippolyte ^np+++??+=Hippolyte
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
his ^pp$+pp3+++=his
own ^ap++++=own,
, ^zz++++=EXTRAWORD
the ^ati++++=the
porte ^nn+++??+=porte
Maillot ^np+++??+=Maillot
station ^nn+nom+++=station
of ^in++++=of
the ^ati++++=the
M ^zz++++=M
tropolitain ^nn+++??+=tropolitain
had ^vb+hv+aux++=had
already ^rb++splt++=already
pushed ^vprf+++xvbnx+=pushed
its ^pp$+it+++=its
entr ^nn+++??+=entr
e ^zz++++=e
and ^cc++++=and
sortie ^nn++++=sortie
up ^rp++++=up
through ^in++++=through
the ^ati++++=the
soil ^nn++++=soil,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
hundred ^cd++++=hundred
metres ^nns++++=metres
from ^in++++=from
his ^pp$+pp3+++=his
door ^nn++++=door,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
stood ^vbd+++xvbnx+=stood
like ^in++++=like
atrocious ^jj+atrb+++=atrocious
yellow ^jj+atrb+++=yellow
tulips ^nns++++=tulips,
, ^zz++++=EXTRAWORD
art ^nn++++=art
nouveau ^nn+++??+=nouveau,
, ^zz++++=EXTRAWORD
breathing ^nvbg+++xvbg+=breathing
people ^nns++++=people
out ^rp+pl+++=out
and ^cc++++=and
in ^in++++=in
by ^in++++=by
thousands ^cds++++=thousands.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
lack ^nn++++=lack
of ^in++++=of
possible ^jj+atrb+++=possible
custom ^nn++++=custom.
. ^zz++++=EXTRAWORD
The ^ati++++=The
problem ^nn++++=problem
was ^vbd+bedz+aux++=was
to ^to++++=to
turn ^vb++++=turn
possible ^jj++++=possible
into ^in++++=into
probable ^jj++++=probable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
probable ^jj++++=probable
into ^in++++=into
permanent ^jj++++=permanent;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
here ^rn+pl+++=here
the ^ati++++=the
seven ^cd++++=seven
wits ^nns++++=wits
and ^cc++++=and
the ^ati++++=the
ten ^cd++++=ten
thousand ^cd++++=thousand
francs ^nns++++=francs
of ^in++++=of
Esp ^np+++??+=Esp
rance ^nn++++=rance
came ^vbd+++xvbn+=came
prominently ^rb++++=prominently
to ^in++++=to
the ^ati++++=the
fore ^nn++++=fore.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
who ^whp+who+++=who
sounded ^vbd+++xvbn+=sounded
the ^ati++++=the
progressive ^jj+atrb+++=progressive
note ^nn++++=note,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+vrb++=is
half ^abn++++=half
the ^ati++++=the
secret ^nn++++=secret
of ^in++++=of
success ^nns+nom+++=success.
. ^zz++++=EXTRAWORD
" ^zz++++="Pour
pour ^&fw++++=EXTRAWORD
attirer ^jjr++++=attirer
les ^&fw++++=les
gens ^&fw++++=gens,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
arms ^nns++++=arms
akimbo ^nn+++??+=akimbo,
, ^zz++++=EXTRAWORD
" ^zz++++="il
il ^&fw++++=EXTRAWORD
faut ^nn+++??+=faut
d ^zz++++=d'abord
'abord ^nn+++??+=EXTRAWORD
les ^&fw++++=les
pater ^jjr++++=pater."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
her ^pp$+pp3+++=her
creed ^nn++++=creed
all ^abn++++=all
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
worth ^in++++=worth
doing ^xvbg+++xvbg+=doing
at ^rb++++=at
all ^abn++++=all
was ^vbd+bedz+vrb++=was
worth ^in++++=worth
doing ^xvbg+++xvbg+=doing
gloriously ^rb++++=gloriously.
. ^zz++++=EXTRAWORD
So ^rb+cnj+++=So,
, ^zz++++=EXTRAWORD
under ^in++++=under
her ^pp$+pp3+++=her
guidance ^nn+nom+++=guidance,
, ^zz++++=EXTRAWORD
Hippolyte ^np+++??+=Hippolyte
journeyed ^vbd+++xvbn+=journeyed
from ^in++++=from
shop ^nn++++=shop
to ^in++++=to
shop ^nn++++=shop
in ^in++++=in
the ^ati++++=the
faubourg ^np++++=faubourg
St ^npl++++=St.
. ^zz++++=EXTRAWORD
Antoine ^np+++??+=Antoine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
spent ^vbd+++xvbn+=spent
hours ^nns++++=hours
of ^in++++=of
impassioned ^jj+atrb+++=impassioned
argument ^nn+nom+++=argument
with ^in++++=with
carpenters ^nns+nom+++=carpenters
and ^cc++++=and
decorators ^nns++++=decorators.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
end ^nn++++=end,
, ^zz++++=EXTRAWORD
the ^ati++++=the
salle ^&fw++++=salle
de ^&fw++++=de
coiffure ^nn+++??+=coiffure
was ^vbd+bedz+aux++=was
glorified ^vpsv++by+xvbnx+=glorified
by ^in++++=by
fresh ^jj+atrb+++=fresh
paint ^nn++++=paint
without ^in++++=without
and ^cc++++=and
within ^in+strn+++=within,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
the ^ati++++=the
addition ^nn+nom+++=addition
of ^in++++=of
a ^at++++=a
long ^jj+atrb+++=long
mirror ^nn++++=mirror
in ^in++++=in
a ^at++++=a
gilt ^jj+atrb+++=gilt
frame ^nn++++=frame,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
complicated ^jj+atrb++xvbn+=complicated
apparatus ^nn++++=apparatus
of ^in++++=of
gleaming ^xvbg+++xvbg+=gleaming
nickel ^nn++++=nickel-plate,
- ^zz++++=EXTRAWORD
plate ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
went ^vpsv++by+xvbn+=went
by ^in++++=by
the ^ati++++=the
imposing ^jj+atrb++xvbg+=imposing
title ^nn++++=title
of ^in++++=of
appareil ^nn+++??+=appareil
antiseptique ^nn+++??+=antiseptique,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
acquisition ^nn+nom+++=acquisition
of ^in++++=of
which ^whp+rel+pied++=which
was ^vbd+bedz+aux++=was
duly ^rb++splt++=duly
proclaimed ^vpsv++by+xvbnx+=proclaimed
by ^in++++=by
a ^at++++=a
special ^jj+atrb+++=special
placard ^nn+++??+=placard
that ^tht+rel+subj++=that
swung ^vbd+++xvbn+=swung
at ^rb++++=at
right ^jj+atrb+++=right
angles ^nns++++=angles
to ^in++++=to
the ^ati++++=the
door ^nn++++=door.
. ^zz++++=EXTRAWORD
The ^ati++++=The
shop ^nn++++=shop
was ^vbd+bedz+aux++=was
rechristened ^vpsv++agls+xvbnx+=rechristened,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
black ^jj++++=black
and ^cc+phrs+++=and
white ^jj++++=white
sign ^vb++++=sign
across ^in+pl+++=across
its ^pp$+it+++=its
front ^jjb++++=front
which ^whp+who+++=which
formerly ^rb+tm+++=formerly
bore ^vbd+++xvbn+=bore
the ^ati++++=the
simple ^jj+atrb+++=simple
inscription ^nn+nom+++=inscription
" ^zz++++="Kilbert,
kilbert ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
Coiffeur ^np+++??+=Coiffeur,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
now ^rn+tm+++=now
blazoned ^vwbn+++xvbn+=blazoned
abroad ^rb+pl+++=abroad
the ^ati++++=the
vastly ^rb++++=vastly
more ^rbr++++=more
impressive ^jj+atrb+++=impressive
legend ^nn++++=legend
" ^zz++++="Salon
salon ^nn++++=EXTRAWORD
Malakoff ^np+++??+=Malakoff."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
window ^nn++++=window
shelves ^nns++++=shelves
fairly ^rb++++=fairly
groaned ^vbd+++xvbn+=groaned
beneath ^in+pl+++=beneath
their ^pp$+pp3+++=their
burden ^nn++++=burden
of ^in++++=of
soaps ^nns+++??+=soaps,
, ^zz++++=EXTRAWORD
toilet ^nn++++=toilet
waters ^nns++++=waters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perfumery ^nn+nom+++=perfumery,
, ^zz++++=EXTRAWORD
a ^at++++=a
string ^nn++++=string
of ^in++++=of
bright ^jj+atrb+++=bright
yellow ^jj+atrb+++=yellow
sponges ^nns++++=sponges
occupied ^vbd+++xvbn+=occupied
each ^ppls++++=each
corner ^npl++++=corner
of ^in++++=of
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
through ^in++++=through
the ^ati++++=the
agency ^nn++++=agency
of ^in++++=of
white ^jj+atrb+++=white
enamel ^nn++++=enamel
letters ^nns+nom+++=letters
on ^in++++=on
the ^ati++++=the
pane ^nn+++??+=pane
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
public ^jj+atrb+++=public
attention ^nn+nom+++=attention
was ^vbd+bedz+aux++=was
drawn ^vpsv++agls+xvbnx+=drawn
to ^in++++=to
the ^ati++++=the
apparently ^rb++++=apparently
contradictory ^jj+atrb+++=contradictory
facts ^nns++++=facts
that ^tht+rel+++=that
English ^jj++++=English
was ^vbd+bedz+aux++=was
spoken ^vpsv++agls+xvbnx+=spoken
and ^cc++++=and
" ^zz++++="schampoing"
schampoing ^jj+++xvbg+=EXTRAWORD
" ^zz++++=EXTRAWORD
given ^vbd+++xvbn+=given
within ^in+strn+++=within.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
Hippolyte ^np+++??+=Hippolyte
engaged ^vwbn+++xvbn+=engaged
two ^cd++++=two
assistants ^nns+nom+++=assistants,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
clad ^jj++++=clad
them ^pp3o+pp3+++=them
in ^in++++=in
white ^nn++++=white
duck ^vb++++=duck
jackets ^nns++++=jackets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
wife ^nn++++=wife
fabricated ^vwbn+++xvbn+=fabricated
a ^at++++=a
new ^jj+atrb+++=new
blouse ^nn++++=blouse
of ^in++++=of
blue ^jj+atrb+++=blue
silk ^nn++++=silk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
seated ^vbd+++xvbn+=seated
herself ^ppl+pp3+++=herself
behind ^in+pl+++=behind
the ^ati++++=the
desk ^nn++++=desk
with ^in++++=with
an ^at++++=an
engaging ^jj+atrb++xvbg+=engaging
smile ^nn++++=smile.
. ^zz++++=EXTRAWORD
The ^ati++++=The
enterprise ^nn++++=enterprise
was ^vbd+bedz+aux++=was
fairly ^rb++splt++=fairly
launched ^vpsv++agls+xvbnx+=launched,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
experience ^nn+nom+++=experience
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
slow ^jj++++=slow
in ^in++++=in
proving ^xvbg+++xvbg+=proving
the ^ati++++=the
theories ^nns++++=theories
of ^in++++=of
Esp ^np+++??+=Esp
rance ^nn++++=rance
to ^to++++=to
be ^vbi+vbi+aux++=be
well ^rb++++=well
founded ^vbd+++xvbn+=founded.
. ^zz++++=EXTRAWORD
The ^ati++++=The
quartier ^jjr++++=quartier
was ^vbd+bedz+vrb++=was
pat ^np++++=pat
from ^in++++=from
the ^ati++++=the
start ^nn++++=start,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
took ^vpsv++agls+xvbn+=took
with ^in++++=with
enthusiasm ^nn++++=enthusiasm
the ^ati++++=the
bait ^nn++++=bait
held ^vbd+vprv++xvbn+=held
forth ^np++++=forth.
. ^zz++++=EXTRAWORD
The ^ati++++=The
affairs ^nns++++=affairs
of ^in++++=of
the ^ati++++=the
Salon ^nn++++=Salon
Malakoff ^np+++??+=Malakoff
prospered ^vbd+++xvbn+=prospered
prodigiously ^rb++++=prodigiously.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
serpent ^nn++++=serpent
in ^in++++=in
every ^at++++=every
Eden ^np++++=Eden,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^cs+sub+++=in
that ^cs"++++=that
of ^in++++=of
the ^ati++++=the
Sergeot ^np+++??+=Sergeot
this ^dt+dem+++=this
r ^zz++++=r
le ^&fw++++=le
was ^vbd+bedz+aux++=was
assumed ^vpsv++by+xvbnx+=assumed
by ^in++++=by
Alexandrine ^np+++??+=Alexandrine
Caille ^np+++??+=Caille.
. ^zz++++=EXTRAWORD
The ^ati++++=The
worthy ^jj++++=worthy
picier ^jjr++++=picier
himself ^ppl+pp3+++=himself
was ^vbd+bedz+vrb++=was
of ^in++++=of
too ^ql++++=too
torpid ^vb+++??+=torpid
a ^at++++=a
temperament ^nn+nom+++=temperament
to ^to++++=to
fall ^vbi++++=fall
a ^at++++=a
victim ^nn++++=victim
to ^in++++=to
the ^ati++++=the
gnawing ^jj+atrb+++=gnawing
tooth ^nn++++=tooth
of ^in++++=of
envy ^nn++++=envy,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
the ^ati++++=the
soul ^nn++++=soul
of ^in++++=of
his ^pp$+pp3+++=his
wife ^nn++++=wife
the ^ati++++=the
launch ^nn++++=launch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
what ^wdt+who+whq++=what
was ^vbd+bedz+aux++=was
worse ^jjr+pred+++=worse,
, ^zz++++=EXTRAWORD
the ^ati++++=the
immediate ^jj+atrb+++=immediate
prosperity ^nn+nom+++=prosperity
of ^in++++=of
the ^ati++++=the
Salon ^nn++++=Salon
Malakoff ^np+++??+=Malakoff,
, ^zz++++=EXTRAWORD
bred ^jj+atrb+++=bred
dire ^jjb+atrb+++=dire
resentment ^nn+nom+++=resentment.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
own ^ap++++=own
establishment ^nn+nom+++=establishment
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
grimy ^jj++++=grimy
with ^in++++=with
the ^ati++++=the
passage ^nn+nom+++=passage
of ^in++++=of
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
annual ^jj+atrb+++=annual
profits ^nns++++=profits
displayed ^vbd+++xvbn+=displayed
a ^at++++=a
constant ^nn+nom+++=constant
and ^cc++++=and
disturbing ^jj+atrb++xvbg+=disturbing
tendency ^nn++++=tendency
toward ^in++++=toward
complete ^jj+atrb+++=complete
evaporation ^nn+nom+++=evaporation,
, ^zz++++=EXTRAWORD
since ^in++++=since
the ^ati++++=the
coming ^jj+++xvbg+=coming
of ^in++++=of
the ^ati++++=the
big ^jj+atrb+++=big
caf ^nn+++??+=caf
s ^zz++++=s,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
resultant ^jj+atrb+++=resultant
subversion ^nn++++=subversion
of ^in++++=of
custom ^nn++++=custom
to ^in++++=to
the ^ati++++=the
wholesale ^jjb+atrb+++=wholesale
dealers ^nns+nom+++=dealers.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
persistent ^jj++++=persistent
narrowing ^jj+++xvbg+=narrowing
of ^in++++=of
the ^ati++++=the
former ^ap++++=former
appreciable ^jj+atrb+++=appreciable
gap ^nn++++=gap
between ^in++++=between
purchase ^nn++++=purchase
and ^cc++++=and
selling ^nvbg+++xvbg+=selling
price ^nn++++=price
rankled ^vbd+++xvbn+=rankled
in ^in++++=in
Alexandrine ^np++++=Alexandrine's
's ^$++++=EXTRAWORD
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
misguided ^jj+atrb+++=misguided
efforts ^nns++++=efforts
to ^to+ncmp+++=to
maintain ^vbi+vpub+++=maintain
the ^ati++++=the
percentage ^nn+nom+++=percentage
of ^in++++=of
profit ^nn++++=profit
by ^in++++=by
recourse ^nn++++=recourse
to ^in++++=to
inferior ^jj+atrb+++=inferior
qualities ^nns+nom+++=qualities
only ^rb+down+++=only
made ^vwbn+++xvbn+=made
bad ^jj++++=bad
worse ^jjr++++=worse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
even ^rb++++=even
as ^ql++++=as
the ^ati++++=the
Sergeot ^np+++??+=Sergeot
were ^vbd+bed+aux++=were
steering ^vbg+++xvbgx+=steering
the ^ati++++=the
Salon ^nn++++=Salon
Malakoff ^np+++??+=Malakoff
forth ^np++++=forth
upon ^in++++=upon
the ^ati++++=the
waters ^nns++++=waters
of ^in++++=of
prosperity ^nn+nom+++=prosperity,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
nightly ^rb++++=nightly
conferences ^nns+nom+++=conferences
in ^in++++=in
the ^ati++++=the
household ^nn++++=household
next ^ap++++=next
door ^nn++++=door,
, ^zz++++=EXTRAWORD
at ^in++++=at
which ^whp+rel+pied++=which
impending ^jj+atrb+++=impending
ruin ^nn++++=ruin
presided ^vbd+++xvbn+=presided,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
exasperation ^nn+nom+++=exasperation
sounded ^vbd+++xvbn+=sounded
the ^ati++++=the
keynote ^nn++++=keynote
of ^in++++=of
every ^at++++=every
sentence ^nn+nom+++=sentence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
resplendent ^jj+atrb+++=resplendent
fa ^nn++++=fa
ade ^nn+++??+=ade
of ^in++++=of
Hippolyte ^np++++=Hippolyte's
's ^$++++=EXTRAWORD
establishment ^nn+nom+++=establishment,
, ^zz++++=EXTRAWORD
the ^ati++++=the
tide ^nn++++=tide
of ^in++++=of
custom ^nn++++=custom
which ^whp+rel+subj++=which
poured ^vbd+++xvbn+=poured
into ^in++++=into
and ^cc++++=and
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
door ^nn++++=door,
, ^zz++++=EXTRAWORD
the ^ati++++=the
loudly ^rb++++=loudly
expressed ^jj+atrb++xvbn+=expressed
admiration ^nn+nom+++=admiration
of ^in++++=of
his ^pp$+pp3+++=his
ability ^nn+nom+++=ability
and ^cc++++=and
thrift ^nn++++=thrift,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
greeted ^vbd+++xvbn+=greeted
her ^pp$+pp3+++=her
ears ^nns++++=ears
on ^in++++=on
every ^at++++=every
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
finally ^rb+cnj+++=finally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
Esp ^np+++??+=Esp
rance ^nn++++=rance,
, ^zz++++=EXTRAWORD
fresh ^jj++++=fresh,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
prosperous ^jj++++=prosperous,
, ^zz++++=EXTRAWORD
behind ^rp+pl+++=behind
her ^pp3o+pp3+++=her
little ^ap++++=little
counter ^nn++++=counter
all ^abn++++=all
these ^dt+pdem+++=these
were ^vbd+bed+vrb++=were
as ^ql++++=as
gall ^nnu++++=gall
and ^cc++++=and
wormwood ^nn++++=wormwood
to ^in++++=to
Alexandrine ^np+++??+=Alexandrine,
, ^zz++++=EXTRAWORD
brooding ^nn++++=brooding
over ^rp++++=over
her ^pp3o+pp3+++=her
accumulating ^jj+atrb+++=accumulating
debts ^nns++++=debts
and ^cc++++=and
her ^pp$+pp3+++=her
decreasing ^jj+atrb++xvbg+=decreasing
earnings ^nns++++=earnings,
, ^zz++++=EXTRAWORD
among ^in++++=among
