During ^in++++=During
line ^nn++++=line
of ^in++++=of
the ^ati++++=the
Princes ^nns++++=Princes
of ^in++++=of
Horn ^nn++++=Horn
and ^cc++++=and
Overique ^np+++??+=Overique,
, ^zz++++=EXTRAWORD
sovereign ^nn++++=sovereign
Counts ^vbz++++=Counts
of ^in++++=of
Hautekerke ^np+++??+=Hautekerke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hereditary ^jj+atrb+++=hereditary
Grand ^jj+atrb+++=Grand
Veneurs ^np+++??+=Veneurs
of ^in++++=of
the ^ati++++=the
empire ^nn++++=empire.
. ^zz++++=EXTRAWORD
The ^ati++++=The
family ^nn++++=family
took ^vbd+++xvbn+=took
its ^pp$+it+++=its
name ^nn++++=name
from ^in++++=from
the ^ati++++=the
little ^jj+atrb+++=little
town ^nn++++=town
and ^cc++++=and
seigneurie ^nn+++??+=seigneurie
of ^in++++=of
Horn ^nn++++=Horn,
, ^zz++++=EXTRAWORD
in ^in++++=in
Brabant ^np+nom++??+=Brabant;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known
as ^ql++++=as
early ^jj++++=early
as ^ql++++=as
the ^ati++++=the
eleventh ^od++++=eleventh
century ^nn++++=century
among ^in++++=among
the ^ati++++=the
little ^ap++++=little
dynasties ^nns+++??+=dynasties
of ^in++++=of
the ^ati++++=the
Netherlands ^np++++=Netherlands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
since ^cs+sub+++=since
that ^dt+dem+++=that
time ^nn++++=time
by ^in++++=by
a ^at++++=a
long ^jj+atrb+++=long
line ^nn++++=line
of ^in++++=of
illustrious ^jj+atrb+++=illustrious
generations ^nns+nom+++=generations.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
peace ^nn++++=peace
of ^in++++=of
Utrecht ^np+++??+=Utrecht,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
Netherlands ^np++++=Netherlands
passed ^vbd+++xvbn+=passed
under ^in++++=under
subjection ^nn+nom+++=subjection
to ^in++++=to
Austria ^np++++=Austria,
, ^zz++++=EXTRAWORD
the ^ati++++=the
house ^nn++++=house
of ^in++++=of
Van ^&fw++++=Van
Horn ^np++++=Horn
came ^vbd+++xvbn+=came
under ^in+ppvb+++=under
the ^ati++++=the
domination ^nn+nom+++=domination
of ^in++++=of
the ^ati++++=the
emperor ^nn++++=emperor.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
time ^nn++++=time
we ^pp1a+pp1+++=we
treat ^vb++++=treat
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
two ^cd++++=two
of ^in++++=of
the ^ati++++=the
branches ^nns++++=branches
of ^in++++=of
this ^dt+dem+++=this
ancient ^jj+atrb+++=ancient
house ^nn++++=house
were ^vbd+bed+vrb++=were
extinct ^jj+pred+++=extinct;
; ^zz++++=EXTRAWORD
the ^ati++++=the
third ^nn++++=third
and ^cc++++=and
only ^rb+down+++=only
surviving ^vbg+++xvbg+=surviving
branch ^nn++++=branch
was ^vbd+bedz+aux++=was
represented ^vpsv++by+xvbnx+=represented
by ^in++++=by
the ^ati++++=the
reigning ^jj+atrb+++=reigning
prince ^nn++++=prince,
, ^zz++++=EXTRAWORD
Maximilian ^np+++??+=Maximilian
Emanuel ^np+++??+=Emanuel
Van ^&fw++++=Van
Horn ^nn++++=Horn,
, ^zz++++=EXTRAWORD
twenty ^cd++++=twenty-four
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
years ^nns++++=years
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
resided ^vbd+++xvbn+=resided
in ^in++++=in
honorable ^jj+atrb+++=honorable
and ^cc+phrs+++=and
courtly ^jj+atrb+++=courtly
style ^nn++++=style
on ^in++++=on
his ^pp$+pp3+++=his
hereditary ^jj+atrb+++=hereditary
domains ^nns++++=domains
at ^in++++=at
Baussigny ^np+++??+=Baussigny,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Netherlands ^np++++=Netherlands,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
brother ^nn++++=brother,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Count ^nn++++=Count
Antoine ^np+++??+=Antoine
Joseph ^np++++=Joseph,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
is ^vbz+bez+vrb++=is
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
this ^dt+dem+++=this
memoir ^nn++++=memoir.
. ^zz++++=EXTRAWORD
The ^ati++++=The
ancient ^jj+atrb+++=ancient
house ^nn++++=house
of ^in++++=of
Van ^&fw++++=Van
Horn ^nn++++=Horn,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
intermarriage ^nn+nom+++=intermarriage
of ^in++++=of
its ^pp$+it+++=its
various ^jj+atrb+++=various
branches ^nns++++=branches
with ^in++++=with
the ^ati++++=the
noble ^jj+atrb+++=noble
families ^nns++++=families
of ^in++++=of
the ^ati++++=the
continent ^nn++++=continent,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
widely ^rb++++=widely
connected ^jj+++xvbn+=connected
and ^cc+phrs+++=and
interwoven ^jj+++xvbn+=interwoven
with ^in++++=with
the ^ati++++=the
high ^jj+atrb+++=high
aristocracy ^nn+nom+++=aristocracy
of ^in++++=of
Europe ^np++++=Europe.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Count ^nn++++=Count
Antoine ^np+++??+=Antoine,
, ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
claim ^vb++++=claim
relationship ^nn+nom+++=relationship
to ^in++++=to
many ^ap++++=many
of ^in++++=of
the ^ati++++=the
proudest ^jjt+atrb+++=proudest
names ^nns++++=names
in ^in++++=in
Paris ^np++++=Paris.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
grandson ^nn++++=grandson,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
mother ^nn++++=mother's
's ^$++++=EXTRAWORD
side ^nn++++=side,
, ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Prince ^nn++++=Prince
de ^&fw++++=de
Ligne ^np+++??+=Ligne,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
might ^md+pos+++=might
boast ^vb+vpub+++=boast
of ^in++++=of
affinity ^nn+nom+++=affinity
to ^in++++=to
the ^ati++++=the
Regent ^npt++++=Regent
( ^zz++++=(the
the ^ati++++=EXTRAWORD
Duke ^nn++++=Duke
of ^in++++=of
Orleans ^nns+nom++??+=Orleans)
) ^zz++++=EXTRAWORD
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
circumstances ^nns+nom+++=circumstances,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
connected ^j+++xvbn+=connected
with ^in++++=with
his ^pp$+pp3+++=his
sudden ^jj+atrb+++=sudden
appearance ^nn+nom+++=appearance
in ^in++++=in
Paris ^np++++=Paris,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
previous ^jj+atrb+++=previous
story ^nn++++=story,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
placed ^vwbn+++xvbn+=placed
him ^pp3o+pp3+++=him
in ^in++++=in
what ^wdt+who+++=what
is ^vbz+bez+aux++=is
termed ^vpsv++agls+xvbnx+=termed
" ^zz++++="a
a ^at++++=EXTRAWORD
false ^jj+atrb+++=false
position ^nn+nom+++=position;"
; ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
a ^at++++=a
word ^nn++++=word
of ^in++++=of
baleful ^jj+atrb+++=baleful
significance ^nn+nom+++=significance
in ^in++++=in
the ^ati++++=the
fashionable ^jj+atrb+++=fashionable
vocabulary ^nn+nom+++=vocabulary
of ^in++++=of
France ^np++++=France.
. ^zz++++=EXTRAWORD
The ^ati++++=The
young ^jj+atrb+++=young
count ^npt++++=count
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
captain ^nn++++=captain
in ^in++++=in
the ^ati++++=the
service ^nn++++=service
of ^in++++=of
Austria ^np++++=Austria,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
cashiered ^vpsv++agls+xvbnx+=cashiered
for ^in++++=for
irregular ^nn++++=irregular
conduct ^vb++++=conduct,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
disrespect ^nn++++=disrespect
to ^in++++=to
Prince ^npt++++=Prince
Louis ^np++++=Louis
of ^in++++=of
Baden ^np+++??+=Baden,
, ^zz++++=EXTRAWORD
commander ^npt+nom+++=commander-in-chief.
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
chief ^jjb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^to++++=To
check ^vbi+vprv+++=check
him ^pp3o+pp3+++=him
in ^in++++=in
his ^pp$+pp3+++=his
wild ^jj+atrb+++=wild
career ^nn++++=career,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bring ^vb++++=bring
him ^pp3o+pp3+++=him
to ^in++++=to
sober ^jj+atrb+++=sober
reflection ^nn+nom+++=reflection,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
brother ^nn++++=brother
the ^ati++++=the
prince ^npt++++=prince
caused ^vbd+++xvbn+=caused
him ^pp3o+pp3+++=him
to ^to++++=to
be ^vbi+vbi+aux++=be
arrested ^vpsv++agls+xvbnx+=arrested
and ^cc+phrs+++=and
sent ^vpsv++agls+xvbn+=sent
to ^in++++=to
the ^ati++++=the
old ^jj+atrb+++=old
castle ^nn++++=castle
of ^in++++=of
Van ^&fw++++=Van
Wert ^np+++??+=Wert,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
domains ^nns++++=domains
of ^in++++=of
Horn ^nn++++=Horn.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
the ^ati++++=the
same ^ap++++=same
castle ^nn++++=castle
in ^in++++=in
which ^whp+rel+pied++=which,
, ^zz++++=EXTRAWORD
in ^in++++=in
former ^ap++++=former
times ^nns++++=times,
, ^zz++++=EXTRAWORD
John ^np++++=John
Van ^&fw++++=Van
Horn ^nn++++=Horn,
, ^zz++++=EXTRAWORD
Stadtholder ^np+nom++??+=Stadtholder
of ^in++++=of
Gueldres ^np+++??+=Gueldres,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
imprisoned ^vprf+++xvbnx+=imprisoned
his ^pp$+pp3+++=his
father ^nn++++=father;
; ^zz++++=EXTRAWORD
a ^at++++=a
circumstance ^nn+nom+++=circumstance
which ^whp+rel+subj++=which
has ^vbz+hvz+aux++=has
furnished ^vprf+++xvbnx+=furnished
Rembrandt ^np++++=Rembrandt
with ^in++++=with
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
an ^at++++=an
admirable ^jj+atrb+++=admirable
painting ^nvbg+++xvbg+=painting.
. ^zz++++=EXTRAWORD
The ^ati++++=The
governor ^nn++++=governor
of ^in++++=of
the ^ati++++=the
castle ^nn++++=castle
was ^vbd+bedz+vrb++=was
one ^cd1++++=one
Van ^&fw++++=Van
Wert ^np+++??+=Wert,
, ^zz++++=EXTRAWORD
grandson ^nn++++=grandson
of ^in++++=of
the ^ati++++=the
famous ^jj+atrb+++=famous
John ^np++++=John
Van ^&fw++++=Van
Wert ^np+++??+=Wert,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hero ^nn++++=hero
of ^in++++=of
many ^ap++++=many
a ^at++++=a
popular ^jj+atrb+++=popular
song ^nn++++=song
and ^cc++++=and
legend ^nn++++=legend.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
intention ^nn+nom+++=intention
of ^in++++=of
the ^ati++++=the
prince ^npt++++=prince
that ^tht+rel+obj++=that
his ^pp$+pp3+++=his
brother ^nn++++=brother
should ^md+nec+++=should
be ^vb+be+aux++=be
held ^vpsv++agls+xvbnx+=held
in ^in++++=in
honorable ^jj+atrb+++=honorable
durance ^nn+nom+++=durance,
, ^zz++++=EXTRAWORD
for ^in++++=for
his ^pp$+pp3+++=his
object ^nn++++=object
was ^vbd+bedz+vrb++=was
to ^in++++=to
sober ^jj++++=sober
and ^cc++++=and
improve ^vb++++=improve,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
to ^to++++=to
punish ^vbi++++=punish
and ^cc+phrs+++=and
afflict ^vb++++=afflict
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Van ^&fw++++=Van
Wert ^np+++??+=Wert,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
stern ^nn++++=stern,
, ^zz++++=EXTRAWORD
harsh ^jj+atrb+++=harsh
man ^nn++++=man
of ^in++++=of
violent ^jj+atrb+++=violent
passions ^nns++++=passions.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
treated ^vbd+++xvbnx+=treated
the ^ati++++=the
youth ^nn++++=youth
in ^in++++=in
a ^at++++=a
manner ^nn++++=manner
that ^tht+rel+obj++=that
prisoners ^nns+nom+++=prisoners
and ^cc++++=and
offenders ^nns+nom+++=offenders
were ^vbd+bed+aux++=were
treated ^vpsv++agls+xvbnx+=treated
in ^in++++=in
the ^ati++++=the
strong ^jj++++=strong-holds
- ^zz++++=EXTRAWORD
holds ^vbz+vprv+++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
robber ^nn++++=robber
counts ^nns++++=counts
of ^in++++=of
Germany ^np++++=Germany
in ^in++++=in
old ^jj+atrb+++=old
times ^nns++++=times;
; ^zz++++=EXTRAWORD
confined ^xvbn+++xvbn+=confined
him ^pp3o+pp3+++=him
in ^in++++=in
a ^at++++=a
dungeon ^nn++++=dungeon
and ^cc++++=and
inflicted ^vwbn+++xvbn+=inflicted
on ^rp++++=on
him ^pp3o+pp3+++=him
such ^abl++++=such
hardships ^nns+nom+++=hardships
and ^cc++++=and
indignities ^nns+nom+++=indignities
that ^tht+rel+obj++=that
the ^ati++++=the
irritable ^jj+atrb+++=irritable
temperament ^nn+nom+++=temperament
of ^in++++=of
the ^ati++++=the
young ^jj+atrb+++=young
count ^nn++++=count
was ^vbd+bedz+aux++=was
roused ^vpsv++agls+xvbnx+=roused
to ^in++++=to
continual ^jj+atrb+++=continual
fury ^nn++++=fury,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
ended ^vbd+++xvbn+=ended
in ^in++++=in
insanity ^nn+nom+++=insanity.
. ^zz++++=EXTRAWORD
For ^in++++=For
six ^cd++++=six
months ^nns++++=months
was ^vbd+bedz+vrb++=was
the ^ati++++=the
unfortunate ^jj+atrb+++=unfortunate
youth ^nn++++=youth
kept ^vbd+++xvbn+=kept
in ^rb+phrv+++=in
this ^dt+dem+++=this
horrible ^jj+atrb+++=horrible
state ^nn++++=state,
, ^zz++++=EXTRAWORD
without ^in++++=without
his ^pp$+pp3+++=his
brother ^nn++++=brother
the ^ati++++=the
prince ^npt++++=prince
being ^xvbg+++xvbg+=being
informed ^vbd+vpub++xvbn+=informed
of ^in++++=of
his ^pp$+pp3+++=his
melancholy ^jj+atrb+++=melancholy
condition ^nn+nom+++=condition
or ^cc++++=or
of ^in++++=of
the ^ati++++=the
cruel ^jj+atrb+++=cruel
treatment ^nn+nom+++=treatment
to ^to++++=to
which ^whp+who+++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
subjected ^vpsv++agls+xvbnx+=subjected.
. ^zz++++=EXTRAWORD
At ^rb++++=At
length ^rb"++++=length,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
day ^nn++++=day,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
paroxysm ^nn+++??+=paroxysm
of ^in++++=of
frenzy ^nn++++=frenzy,
, ^zz++++=EXTRAWORD
the ^ati++++=the
count ^nn++++=count
knocked ^vbd+++xvbn+=knocked
down ^rb+phrv+++=down
two ^cd++++=two
of ^in++++=of
his ^pp$+pp3+++=his
gaolers ^nns+nom+++=gaolers
with ^in++++=with
a ^at++++=a
beetle ^nn++++=beetle,
, ^zz++++=EXTRAWORD
escaped ^j+++xvbn+=escaped
from ^in++++=from
the ^ati++++=the
castle ^nn++++=castle
of ^in++++=of
Van ^&fw++++=Van
Wert ^np+++??+=Wert,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
eluded ^vbd+++xvbn+=eluded
all ^rb++++=all
pursuit ^nn++++=pursuit;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
roving ^nn++++=roving
about ^in++++=about
in ^in++++=in
a ^at++++=a
state ^nn++++=state
of ^in++++=of
distraction ^nn+nom+++=distraction,
, ^zz++++=EXTRAWORD
made ^j+++xvbn+=made
his ^pp$+pp3+++=his
way ^nn++++=way
to ^in++++=to
Baussigny ^np+++??+=Baussigny
and ^cc++++=and
appeared ^vpsv++agls+xvbn+=appeared
like ^in++++=like
a ^at++++=a
sceptre ^np++++=sceptre
before ^in++++=before
his ^pp$+pp3+++=his
brother ^nn++++=brother.
. ^zz++++=EXTRAWORD
The ^ati++++=The
prince ^nn++++=prince
was ^vbd+bedz+aux++=was
shocked ^vpsv++agls+xvbnx+=shocked
at ^rb++++=at
his ^pp$+pp3+++=his
wretched ^jj+atrb+++=wretched,
, ^zz++++=EXTRAWORD
emaciated ^jj+atrb++xvbn+=emaciated
appearance ^nn+nom+++=appearance
and ^cc++++=and
his ^pp$+pp3+++=his
lamentable ^jj+atrb+++=lamentable
state ^nn++++=state
of ^in++++=of
mental ^jj+atrb+++=mental
alienation ^nn+nom+++=alienation.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
received ^vbd+++xvbnx+=received
him ^pp3o+pp3+++=him
with ^in++++=with
the ^ati++++=the
most ^ql+emph+++=most
compassionate ^jj+atrb+++=compassionate
tenderness ^nns+nom+++=tenderness;
; ^zz++++=EXTRAWORD
lodged ^j+++xvbn+=lodged
him ^pp3o+pp3+++=him
in ^in++++=in
his ^pp$+pp3+++=his
own ^ap++++=own
room ^nn++++=room,
, ^zz++++=EXTRAWORD
appointed ^xvbn+++xvbn+=appointed
three ^cd++++=three
servants ^nns+nom+++=servants
to ^to++++=to
attend ^vbi++++=attend
and ^cc+phrs+++=and
watch ^vb++++=watch
over ^rp++++=over
him ^pp3o+pp3+++=him
day ^nn++++=day
and ^cc++++=and
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
endeavored ^vpsv++by+xvbn+=endeavored
by ^in++++=by
the ^ati++++=the
most ^ql+emph+++=most
soothing ^jj+atrb+++=soothing
and ^cc+phrs+++=and
affectionate ^jj+atrb+++=affectionate
assiduity ^nn+nom+++=assiduity
to ^in++++=to
atone ^nn++++=atone
for ^in++++=for
the ^ati++++=the
past ^jjb+atrb+++=past
act ^nn++++=act
of ^in++++=of
rigor ^nn++++=rigor
with ^in++++=with
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
reproached ^vbd+++xvbnx+=reproached
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
learned ^vbd+vprv++xvbnx+=learned,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
the ^ati++++=the
manner ^nn++++=manner
in ^in++++=in
which ^whp+rel+pied++=which
his ^pp$+pp3+++=his
unfortunate ^jj+atrb+++=unfortunate
brother ^nn++++=brother
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
treated ^vpsv++agls+xvbnx+=treated
in ^in++++=in
confinement ^nn+nom+++=confinement,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
brutalities ^nns+nom+++=brutalities
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
led ^vprf+++xvbnx+=led
to ^in++++=to
his ^pp$+pp3+++=his
mental ^jj+atrb+++=mental
malady ^nn++++=malady,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
roused ^vpsv++agls+xvbnx+=roused
to ^in++++=to
indignation ^nn+nom+++=indignation.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
first ^od++++=first
step ^vb++++=step
was ^vbd+bedz+vrb++=was
to ^in++++=to
cashier ^nn++++=cashier
Van ^&fw++++=Van
Wert ^np+++??+=Wert
from ^in++++=from
his ^pp$+pp3+++=his
command ^nn++++=command.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
violent ^jj+atrb+++=violent
man ^nn++++=man
set ^vbd+++xvbn+=set
the ^ati++++=the
prince ^npt++++=prince
at ^rb++++=at
defiance ^nn+nom+++=defiance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
attempted ^vb+++xvbn+=attempted
to ^to+vcmp+++=to
maintain ^vbi+vpub+++=maintain
himself ^ppl+pp3+++=himself
in ^in++++=in
his ^pp$+pp3+++=his
government ^nn+nom+++=government
and ^cc++++=and
his ^pp$+pp3+++=his
castle ^nn++++=castle
by ^in++++=by
instigating ^xvbg+++xvbg+=instigating
the ^ati++++=the
peasants ^nns+nom+++=peasants,
, ^zz++++=EXTRAWORD
for ^in++++=for
several ^ap++++=several
leagues ^nns++++=leagues
round ^in+strn+++=round,
, ^zz++++=EXTRAWORD
to ^in++++=to
revolt ^nn++++=revolt.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
insurrection ^nn+nom+++=insurrection
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
formidable ^jj++++=formidable
against ^in++++=against
the ^ati++++=the
power ^nn++++=power
of ^in++++=of
a ^at++++=a
petty ^jj+atrb+++=petty
prince ^nn++++=prince;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
put ^vpsv++agls+xvbnx+=put
under ^in++++=under
the ^ati++++=the
ban ^nn++++=ban
of ^in++++=of
the ^ati++++=the
empire ^nn++++=empire
and ^cc++++=and
seized ^vbd+++xvbn+=seized
as ^ql++++=as
a ^at++++=a
state ^nn++++=state
prisoner ^nn+nom+++=prisoner.
. ^zz++++=EXTRAWORD
The ^ati++++=The
memory ^nn++++=memory
of ^in++++=of
his ^pp$+pp3+++=his
grandfather ^nn+nom+++=grandfather,
, ^zz++++=EXTRAWORD
the ^ati++++=the
oft ^rb++++=oft-sung
- ^zz++++=EXTRAWORD
sung ^xvbn+++xvbn+=EXTRAWORD
John ^np++++=John
Van ^&fw++++=Van
Wert ^np+++??+=Wert,
, ^zz++++=EXTRAWORD
alone ^rb++++=alone
saved ^vwbn+++xvbn+=saved
him ^pp3o+pp3+++=him
from ^in++++=from
a ^at++++=a
gibbet ^nn++++=gibbet;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
imprisoned ^vpsv++agls+xvbnx+=imprisoned
in ^in++++=in
the ^ati++++=the
strong ^jj+atrb+++=strong
tower ^nn++++=tower
of ^in++++=of
Horn ^np++++=Horn-op-Zee.
- ^zz++++=EXTRAWORD
op ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
zee ^ati++++=EXTRAWORD
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
he ^pp3a+pp3+++=he
remained ^vbd+++xvbnx+=remained
until ^cs+sub+++=until
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
eighty ^cd++++=eighty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
years ^nns++++=years
of ^in++++=of
age ^nn++++=age,
, ^zz++++=EXTRAWORD
savage ^jj++++=savage,
