Mme ^npt++++=Mme.
crossing ^vbg+++xvbg+=crossing
the ^ati++++=the
beautiful ^jj+atrb+++=beautiful
lawn ^nn++++=lawn
that ^tht+rel+subj++=that
sloped ^vbd+++xvbn+=sloped
up ^in+cmpx+++=up
to ^in"++++=to
the ^ati++++=the
convent ^nn++++=convent.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
arms ^nns++++=arms
were ^vbd+bed+aux++=were
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
great ^jj+atrb+++=great
bunches ^nns++++=bunches
of ^in++++=of
lilacs ^nns++++=lilacs
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
gathered ^vprf+++xvbnx+=gathered
along ^rp++++=along
her ^pp3o+pp3+++=her
path ^nn++++=path.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
clad ^jj+pred+++=clad
all ^rb++++=all
in ^in++++=in
brown ^np++++=brown;
; ^zz++++=EXTRAWORD
like ^in++++=like
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
birds ^nns++++=birds
that ^tht+rel+subj++=that
come ^vprf+++xvbn+=come
with ^in++++=with
the ^ati++++=the
spring ^nn++++=spring,
, ^zz++++=EXTRAWORD
the ^ati++++=the
nuns ^nns++++=nuns
used ^md"++pmd"++=used
to ^to++++=to
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
figure ^nn++++=figure
was ^vbd+bedz+aux++=was
rounded ^vpsv++agls+xvbnx+=rounded
and ^cc++++=and
graceful ^jj++++=graceful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
walked ^vbd+++xvbnx+=walked
with ^in++++=with
a ^at++++=a
happy ^jj+atrb+++=happy,
, ^zz++++=EXTRAWORD
buoyant ^jj+atrb+++=buoyant
step ^nn++++=step.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cabriolet ^nn+nom+++=cabriolet
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
conveyed ^vprf+++xvbnx+=conveyed
her ^pp$+pp3+++=her
to ^in++++=to
the ^ati++++=the
convent ^nn++++=convent
moved ^vbd+++xvbn+=moved
slowly ^rb++++=slowly
up ^rp++++=up
the ^ati++++=the
gravel ^nn++++=gravel
drive ^nn++++=drive
that ^tht+rel+++=that
led ^jj+++xvbn+=led
to ^in++++=to
the ^ati++++=the
imposing ^jj+atrb++xvbg+=imposing
entrance ^nn+nom+++=entrance.
. ^zz++++=EXTRAWORD
Beside ^in+pl+++=Beside
the ^ati++++=the
driver ^nn++++=driver
was ^vbd+bedz+vrb++=was
her ^pp$+pp3+++=her
modest ^jj+atrb+++=modest
little ^jj+atrb+++=little,
, ^zz++++=EXTRAWORD
black ^jj+atrb+++=black
trunk ^nn++++=trunk,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
name ^nn++++=name
and ^cc++++=and
address ^nns+nom+++=address
printed ^vbd+++xvbn+=printed
in ^in++++=in
white ^jj+atrb+++=white
letters ^nns+nom+++=letters
upon ^in++++=upon
it ^pp3+it+++=it:
: ^zz++++=EXTRAWORD
" ^zz++++="Mme.
mme ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
A ^at++++=A.
. ^zz++++=EXTRAWORD
Farival ^np+++??+=Farival,
, ^zz++++=EXTRAWORD
Paris ^np++++=Paris."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
crunching ^jj+++xvbg+=crunching
of ^in++++=of
the ^ati++++=the
gravel ^nn++++=gravel
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
attracted ^vprf+++xvbnx+=attracted
Sister ^npt++++=Sister
Marceline ^np++++=Marceline's
's ^$++++=EXTRAWORD
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
then ^rn+tm+++=then
the ^ati++++=the
commotion ^nn+nom+++=commotion
began ^vbd+++xvbn+=began.
. ^zz++++=EXTRAWORD
White ^jj++++=White-capped
- ^zz++++=EXTRAWORD
capped ^xvbn+++xvbn+=EXTRAWORD
heads ^nns++++=heads
appeared ^vbd+seem++xvbn+=appeared
suddenly ^rb++++=suddenly
at ^in++++=at
the ^ati++++=the
windows ^nns++++=windows;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
waved ^vbd+++xvbnx+=waved
her ^pp$+pp3+++=her
parasol ^nn++++=parasol
and ^cc++++=and
her ^pp$+pp3+++=her
bunch ^nn++++=bunch
of ^in++++=of
lilacs ^nns++++=lilacs
at ^in++++=at
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Sister ^nn++++=Sister
Marceline ^np+++??+=Marceline
and ^cc++++=and
Sister ^nn++++=Sister
Marie ^np++++=Marie
Anne ^np++++=Anne
appeared ^vbd+seem++xvbn+=appeared,
, ^zz++++=EXTRAWORD
fluttered ^j+++xvbn+=fluttered
and ^cc+phrs+++=and
expectant ^jj++++=expectant
at ^in++++=at
the ^ati++++=the
doorway ^nn++++=doorway.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe,
, ^zz++++=EXTRAWORD
more ^rbr++++=more
daring ^jj+++xvbg+=daring
and ^cc+phrs+++=and
impulsive ^jj++++=impulsive
than ^in++++=than
all ^abn++++=all,
, ^zz++++=EXTRAWORD
descended ^j+++xvbn+=descended
the ^ati++++=the
steps ^nns++++=steps
and ^cc++++=and
flew ^vpsv++agls+xvbn+=flew
across ^in+pl+++=across
the ^ati++++=the
grass ^nn++++=grass
to ^to++++=to
meet ^vbi++++=meet
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
embraces ^nns++++=embraces,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
lilacs ^nns++++=lilacs
were ^vbd+bed+aux++=were
crushed ^vpsv++agls+xvbnx+=crushed
between ^in++++=between
them ^pp3o+pp3+++=them!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
ardent ^jj+atrb+++=ardent
kisses ^nns++++=kisses!
! ^zz++++=EXTRAWORD
What ^wdt+who+++=What
pink ^jj+atrb+++=pink
flushes ^nns+++??+=flushes
of ^in++++=of
happiness ^nns+nom+++=happiness
mounting ^vwbg+++xvbg+=mounting
the ^ati++++=the
cheeks ^nns++++=cheeks
of ^in++++=of
the ^ati++++=the
two ^cd++++=two
women ^nns++++=women!
! ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
within ^in++++=within
the ^ati++++=the
convent ^nn++++=convent
Adrienne ^np++++=Adrienne's
's ^$++++=EXTRAWORD
soft ^jj+atrb+++=soft
brown ^jj+atrb+++=brown
eyes ^nns++++=eyes
moistened ^vbd+++xvbn+=moistened
with ^in++++=with
tenderness ^nns+nom+++=tenderness
as ^ql++++=as
they ^pp3a+pp3+++=they
dwelt ^vbd+++xvbnx+=dwelt
caressingly ^jj++++=caressingly
upon ^in++++=upon
the ^ati++++=the
familiar ^jj+atrb+++=familiar
objects ^nns++++=objects
about ^in++++=about
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
noted ^vbd+vprv++xvbn+=noted
the ^ati++++=the
most ^ql+emph+++=most
trifling ^jj+atrb+++=trifling
details ^nns++++=details.
. ^zz++++=EXTRAWORD
The ^ati++++=The
white ^jj+atrb+++=white,
, ^zz++++=EXTRAWORD
bare ^jj+atrb+++=bare
boards ^nns++++=boards
of ^in++++=of
the ^ati++++=the
floor ^nn++++=floor
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
nothing ^pn++++=nothing
of ^in++++=of
their ^pp$+pp3+++=their
luster ^nn++++=luster.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stiff ^jj+atrb+++=stiff,
, ^zz++++=EXTRAWORD
wooden ^jj+atrb+++=wooden
chairs ^nns++++=chairs,
, ^zz++++=EXTRAWORD
standing ^vbg+++xvbg+=standing
in ^in++++=in
rows ^nns++++=rows
against ^in++++=against
the ^ati++++=the
walls ^nns++++=walls
of ^in++++=of
hall ^nn++++=hall
and ^cc++++=and
parlor ^nn++++=parlor,
, ^zz++++=EXTRAWORD
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
taken ^vbd+++xvbn+=taken
on ^rb+phrv+++=on
an ^at++++=an
extra ^jj++++=extra
polish ^jj++++=polish
since ^cs+sub+++=since
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
seen ^vprf+++xvbnx+=seen
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
last ^rb++++=last
lilac ^jj+atrb+++=lilac
time ^nn++++=time.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
new ^jj+atrb+++=new
picture ^nn++++=picture
of ^in++++=of
the ^ati++++=the
Sacr ^np+++??+=Sacr
- ^zz++++=-Coeur
coeur ^np++++=EXTRAWORD
hanging ^vwbg+++xvbg+=hanging
over ^in++++=over
the ^ati++++=the
hall ^nn++++=hall
table ^nn++++=table.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
had ^vb+hv+aux++=had
they ^pp3a+pp3+++=they
done ^vbd+++xvbnx+=done
with ^in++++=with
Ste ^np+++??+=Ste.
. ^zz++++=EXTRAWORD
Catherine ^np++++=Catherine
de ^&fw++++=de
Sienne ^np+++??+=Sienne,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
occupied ^vprf+++xvbnx+=occupied
that ^dt+dem+++=that
position ^nn+nom+++=position
of ^in++++=of
honor ^nn++++=honor
for ^in++++=for
so ^ql++++=so
many ^ap++++=many
years ^nns++++=years?
? ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
chapel ^nn++++=chapel-it
- ^zz++++=EXTRAWORD
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
no ^at++++=no
use ^nn++++=use
trying ^vb+++xvbg+=trying
to ^to+vcmp+++=to
deceive ^vbi++++=deceive
her ^pp$+pp3+++=her-she
- ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=EXTRAWORD
saw ^vbd+vprv++xvbnx+=saw
at ^in++++=at
a ^at++++=a
glance ^nn++++=glance
that ^tht+rel+obj++=that
St ^npl++++=St.
. ^zz++++=EXTRAWORD
Joseph ^np++++=Joseph's
's ^$++++=EXTRAWORD
mantle ^nn++++=mantle
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
embellished ^vpsv++agls+xvbnx+=embellished
with ^in++++=with
a ^at++++=a
new ^jj+atrb+++=new
coat ^nn++++=coat
of ^in++++=of
blue ^nn++++=blue,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
aureole ^nn+++??+=aureole
about ^in++++=about
his ^pp$+pp3+++=his
head ^jjb++++=head
freshly ^rb++++=freshly
gilded ^jj+++xvbn+=gilded.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
Blessed ^jj+++xvbn+=Blessed
Virgin ^jjb++++=Virgin
there ^ex+pex+++=there
neglected ^xvbn+++xvbn+=neglected!
! ^zz++++=EXTRAWORD
Still ^rb++++=Still
wearing ^vbg+++xvbg+=wearing
her ^pp$+pp3+++=her
garb ^nn++++=garb
of ^in++++=of
last ^rb++++=last
spring ^vb++++=spring,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
looked ^vbd+++xvbn+=looked
almost ^rb+hdg+++=almost
dingy ^jj++++=dingy
by ^in++++=by
contrast ^nn++++=contrast.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
just ^rb+emph+++=just-such
- ^zz++++=EXTRAWORD
such ^abl++++=EXTRAWORD
partiality ^nn+nom+++=partiality!
! ^zz++++=EXTRAWORD
The ^ati++++=The
Holy ^jj+atrb+++=Holy
Mother ^nn++++=Mother
had ^vb+hv+vrb++=had
reason ^nn++++=reason
to ^to++++=to
be ^vbi++vrb++=be
jealous ^jj+pred+++=jealous
and ^cc++++=and
to ^to++++=to
complain ^vbi+vpub+++=complain.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Adrienne ^np+++??+=Adrienne
did ^vbd+dod+aux++=did
not ^xnot++not++=not
delay ^vb++++=delay
to ^to++++=to
pay ^vbi++++=pay
her ^pp$+pp3+++=her
respects ^vbz++++=respects
to ^in++++=to
the ^ati++++=the
Mother ^nn++++=Mother
Superior ^jj++++=Superior,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
dignity ^nn+nom+++=dignity
would ^md+prd+++=would
not ^xnot++not++=not
permit ^nn++++=permit
her ^pp3o+pp3+++=her
to ^to++++=to
so ^ql++++=so
much ^ap++++=much
as ^ql++++=as
step ^nn++++=step
outside ^jjb++++=outside
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
her ^pp$+pp3+++=her
private ^jj+atrb+++=private
apartments ^nns+nom+++=apartments
to ^to++++=to
welcome ^vbi++++=welcome
this ^dt+dem+++=this
old ^jj+atrb+++=old
pupil ^nn++++=pupil.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
dignity ^nn+nom+++=dignity
in ^in++++=in
person ^nn++++=person;
; ^zz++++=EXTRAWORD
large ^jj++++=large,
, ^zz++++=EXTRAWORD
uncompromising ^jj++++=uncompromising,
, ^zz++++=EXTRAWORD
unbending ^jj++++=unbending
She ^pp3a+pp3+++=She
kissed ^vbd+++xvbnx+=kissed
Adrienne ^np+++??+=Adrienne
without ^in++++=without
warmth ^nn++++=warmth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
discussed ^vbd+++xvbn+=discussed
conventional ^jj+atrb+++=conventional
themes ^nns++++=themes
learnedly ^jj++++=learnedly
and ^cc++++=and
prosaically ^rb++++=prosaically
during ^in++++=during
the ^ati++++=the
quarter ^nn++++=quarter
of ^in++++=of
an ^at++++=an
hour ^nn++++=hour
which ^whp+rel+obj++=which
the ^ati++++=the
young ^jj+atrb+++=young
woman ^nn++++=woman
remained ^vbd+++xvbn+=remained
in ^in++++=in
her ^pp$+pp3+++=her
company ^nn++++=company.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
that ^cs+sub+++=that
Adrienne ^np++++=Adrienne's
's ^$++++=EXTRAWORD
latest ^jjt+atrb+++=latest
gift ^nn++++=gift
was ^vbd+bedz+aux++=was
brought ^vpsv++agls+xvbnx+=brought
in ^rb+phrv+++=in
for ^in++++=for
inspection ^nn+nom+++=inspection.
. ^zz++++=EXTRAWORD
For ^in++++=For
Adrienne ^np+++??+=Adrienne
always ^rb++++=always
brought ^vbd+++xvbn+=brought
a ^at++++=a
handsome ^jj+atrb+++=handsome
present ^nn++++=present
for ^in++++=for
the ^ati++++=the
chapel ^nn++++=chapel
in ^in++++=in
her ^pp$+pp3+++=her
little ^ap++++=little
black ^jj+atrb+++=black
trunk ^nn++++=trunk.
. ^zz++++=EXTRAWORD
Last ^rb++++=Last
year ^nn++++=year
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
necklace ^nn++++=necklace
of ^in++++=of
gems ^nns+++??+=gems
for ^in++++=for
the ^ati++++=the
Blessed ^jj+++xvbn+=Blessed
Virgin ^jjb++++=Virgin,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
Good ^jj+atrb+++=Good
Mother ^nn++++=Mother
was ^vbd+bedz+aux++=was
only ^rb+down+splt++=only
permitted ^vpsv++agls+xvbnx+=permitted
to ^to+vcmp+++=to
wear ^vbi++++=wear
on ^in++++=on
extra ^jj+atrb+++=extra
occasions ^nns++++=occasions,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
great ^jj+atrb+++=great
feast ^nn++++=feast
days ^nns++++=days
of ^in++++=of
obligation ^nn+nom+++=obligation.
. ^zz++++=EXTRAWORD
The ^ati++++=The
year ^nn++++=year
before ^cs+sub+++=before
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
precious ^jj+atrb+++=precious
crucifix ^nn+++??+=crucifix-an
- ^zz++++=EXTRAWORD
an ^at++++=EXTRAWORD
ivory ^nn++++=ivory
figure ^nn++++=figure
of ^in++++=of
Christ ^np++++=Christ
suspended ^vwbn+++xvbn+=suspended
from ^in++++=from
an ^at++++=an
ebony ^nn++++=ebony
cross ^nn++++=cross,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
extremities ^nns+nom+++=extremities
were ^vbd+bed+aux++=were
tipped ^vpsv++agls+xvbnx+=tipped
with ^in++++=with
wrought ^vwbn+++xvbn+=wrought
silver ^nn++++=silver.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
time ^nn++++=time
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
linen ^nn++++=linen
embroidered ^vbd+++xvbn+=embroidered
altar ^nn++++=altar
cloth ^nn++++=cloth
of ^in++++=of
such ^abl++++=such
rare ^jj+atrb+++=rare
and ^cc+phrs+++=and
delicate ^jj+atrb+++=delicate
workmanship ^nn+nom+++=workmanship
that ^tht+rel+obj++=that
the ^ati++++=the
Mother ^nn++++=Mother
Superior ^jj++++=Superior,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
knew ^vbd+vprv++xvbn+=knew
the ^ati++++=the
value ^nn++++=value
of ^in++++=of
such ^abl++++=such
things ^nns++++=things,
, ^zz++++=EXTRAWORD
chided ^j+++xvbn+=chided
Adrienne ^np+++??+=Adrienne
for ^in++++=for
the ^ati++++=the
extravagance ^nn+nom+++=extravagance.
. ^zz++++=EXTRAWORD
" ^zz++++="But,
but ^cc++++=EXTRAWORD
, ^zz++++=EXTRAWORD
dear ^uh++++=dear
Mother ^nn++++=Mother,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
the ^ati++++=the
greatest ^jjt+atrb+++=greatest
pleasure ^nn++++=pleasure
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
in ^in++++=in
life ^nn++++=life-to
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
be ^vbi++vrb++=be
with ^in++++=with
you ^pp2+pp2+++=you
all ^abn++++=all
once ^rb+tm+++=once
a ^at++++=a
year ^nn++++=year,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
bring ^vbi++++=bring
some ^dti++++=some
such ^abl++++=such
trifling ^jj+atrb+++=trifling
token ^nn++++=token
of ^in++++=of
my ^pp$+pp1+++=my
regard ^nn++++=regard."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
Mother ^nn++++=Mother
Superior ^jj++++=Superior
dismissed ^jj+++xvbn+=dismissed
her ^pp$+pp3+++=her
with ^in++++=with
the ^ati++++=the
rejoinder ^nn+nom+++=rejoinder:
: ^zz++++=EXTRAWORD
" ^zz++++="Make
make ^vb++++=EXTRAWORD
yourself ^ppl+pp2+++=yourself
at ^in++++=at
home ^nr++++=home,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
child ^nn++++=child.
. ^zz++++=EXTRAWORD
Sister ^nn++++=Sister
Th ^zz++++=Th
r ^zz++++=r
se ^&fw++++=se
will ^md+prd+++=will
see ^vb+vprv+++=see
to ^in+vcmp+++=to
your ^pp$+pp2+++=your
wants ^nns++++=wants.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
occupy ^vb++++=occupy
Sister ^nn++++=Sister
Marceline ^np++++=Marceline's
's ^$++++=EXTRAWORD
bed ^nn++++=bed
in ^in++++=in
the ^ati++++=the
end ^nn++++=end
room ^nn++++=room,
, ^zz++++=EXTRAWORD
over ^in++++=over
the ^ati++++=the
chapel ^nn++++=chapel.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=will
share ^vb++++=share
the ^ati++++=the
room ^nn++++=room
with ^in++++=with
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
always ^rb++++=always
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
nuns ^nns++++=nuns
detailed ^jj++++=detailed
to ^to++++=to
keep ^vbi++++=keep
Adrienne ^np+++??+=Adrienne
company ^nn++++=company
during ^in++++=during
her ^pp$+pp3+++=her
fortnight ^nn++++=fortnight's
's ^$++++=EXTRAWORD
stay ^vb++++=stay
at ^rb++++=at
the ^ati++++=the
convent ^nn++++=convent.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
almost ^rb+hdg+++=almost
a ^at++++=a
fixed ^jj+atrb++xvbn+=fixed
regulation ^nn+nom+++=regulation.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
during ^in++++=during
the ^ati++++=the
hours ^nns++++=hours
of ^in++++=of
recreation ^nn+nom+++=recreation
that ^tht+rel+obj++=that
she ^pp3a+pp3+++=she
found ^vbd+vprv+tht0+xvbnx+=found
herself ^ppl+pp3+++=herself
with ^in++++=with
them ^pp3o+pp3+++=them
all ^rb++++=all
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
Those ^dt+pdem+++=Those
were ^vbd+bed+vrb++=were
hours ^nns++++=hours
of ^in++++=of
much ^rb++++=much
harmless ^jj++++=harmless
merry ^jj++++=merry-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
under ^in++++=under
the ^ati++++=the
trees ^nns++++=trees
or ^cc++++=or
in ^in++++=in
the ^ati++++=the
nuns ^nns++++=nuns'
' ^zz++++=EXTRAWORD
refectory ^nn++++=refectory.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
time ^nn++++=time
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe
who ^whp+rel+subj++=who
waited ^vbd+++xvbn+=waited
for ^in++++=for
her ^pp$+pp3+++=her
outside ^in+cmpx+++=outside
of ^in"++++=of
the ^ati++++=the
Mother ^nn++++=Mother
Superior ^np++++=Superior's
's ^$++++=EXTRAWORD
door ^nn++++=door.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
taller ^jjr+pred+++=taller
and ^cc+phrs+++=and
slenderer ^jjr++++=slenderer
than ^in++++=than
Adrienne ^np+++??+=Adrienne,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
perhaps ^rb++++=perhaps
ten ^cd++++=ten
years ^nns++++=years
older ^jjr++++=older.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
fair ^jj+atrb+++=fair
blond ^jj+atrb+++=blond
face ^nn++++=face
flushed ^vbd+++xvbn+=flushed
and ^cc+phrs+++=and
paled ^vbd+++xvbn+=paled
with ^in++++=with
every ^at++++=every
passing ^jj+atrb++xvbg+=passing
emotion ^nn+nom+++=emotion
that ^tht+rel+subj++=that
visited ^vprf+++xvbn+=visited
her ^pp$+pp3+++=her
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
women ^nns++++=women
linked ^vwbn+++xvbn+=linked
arms ^nns++++=arms
and ^cc++++=and
went ^vbd+++xvbn+=went
together ^nn+nom+++=together
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
open ^jj+atrb+++=open
air ^nn++++=air.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
so ^ql++++=so
much ^ap++++=much
which ^whp+rel+obj++=which
Sister ^nn++++=Sister
Agathe ^np+++??+=Agathe
felt ^vbd+vprv++xvbn+=felt
that ^tht+vcmp+++=that
Adrienne ^np+++??+=Adrienne
must ^md+nec+++=must
see ^vb+vprv+++=see.
. ^zz++++=EXTRAWORD
To ^to++++=To
begin ^vbi++++=begin
with ^in+strn+++=with,
, ^zz++++=EXTRAWORD
the ^ati++++=the
enlarged ^jj+atrb++xvbn+=enlarged
poultry ^nn++++=poultry
yard ^nn++++=yard,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
dozens ^cds++++=dozens
upon ^in++++=upon
dozens ^cds++++=dozens
of ^in++++=of
new ^jj+atrb+++=new
inmates ^nns+nom+++=inmates.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
took ^vbd+++xvbn+=took
now ^rn+tm+++=now
all ^rb++++=all
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
lay ^jjb+atrb++xvbn+=lay
sisters ^nns+nom+++=sisters
to ^to++++=to
attend ^vbi++++=attend
