Into ^in++++=Into
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
learned ^vbd+++xvbnx+=learned
in ^in++++=in
the ^ati++++=the
far ^rb+pl+++=far
city ^nn++++=city,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
calling ^nvbg+++xvbg+=calling
is ^vbz+bez+aux++=is
to ^to++++=to
make ^vbi++++=make
beauty ^nn++++=beauty
with ^in++++=with
the ^ati++++=the
things ^nns++++=things
remembered ^vwbn+vprv++xvbn+=remembered
of ^in++++=of
childhood ^nn+nom+++=childhood.
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
wealth ^nn++++=wealth
is ^vbz+bez+vrb++=is
in ^in++++=in
little ^jj+atrb+++=little
memories ^nns++++=memories
and ^cc++++=and
dreams ^nps++++=dreams,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
hopes ^vb++++=hopes
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
sing ^vb++++=sing
in ^in++++=in
gardens ^nns++++=gardens
when ^wrb+who+++=when
the ^ati++++=the
moon ^nn++++=moon
is ^vbz+bez+vrb++=is
tender ^jj+pred+++=tender
and ^cc++++=and
the ^ati++++=the
west ^np+pl+++=west
wind ^nn++++=wind
stirs ^vbz++++=stirs
the ^ati++++=the
lotus ^nn++++=lotus-buds."
- ^zz++++=EXTRAWORD
buds ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
men ^nns++++=men
of ^in++++=of
Teloth ^np+++??+=Teloth
heard ^vbd+vprv++xvbn+=heard
these ^dt+dem+++=these
things ^nns++++=things
they ^pp3a+pp3+++=they
whispered ^vbd+++xvbnx+=whispered
to ^to++++=to
one ^cd1++++=one
another ^dt++++=another;
; ^zz++++=EXTRAWORD
for ^in++++=for
though ^cs+sub+++=though
in ^in++++=in
the ^ati++++=the
granite ^nn++++=granite
city ^nn++++=city
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
laughter ^nn+nom+++=laughter
or ^cc++++=or
song ^nn++++=song,
, ^zz++++=EXTRAWORD
the ^ati++++=the
stern ^jj+atrb+++=stern
men ^nns++++=men
sometimes ^rb++++=sometimes
look ^vb++++=look
to ^to+vcmp+++=to
the ^ati++++=the
Karthian ^np+++??+=Karthian
hills ^nns++++=hills
in ^in++++=in
the ^ati++++=the
spring ^nn++++=spring
and ^cc++++=and
think ^vb+vprv+++=think
of ^in++++=of
the ^ati++++=the
lutes ^nns+++??+=lutes
of ^in++++=of
distant ^jj+atrb+++=distant
Oonai ^np+++??+=Oonai
whereof ^wrb+who+++=whereof
travellers ^nns+nom+++=travellers
have ^vb+hv+aux++=have
told ^vprf+++xvbnx+=told.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
thinking ^nvbg+++xvbg+=thinking
thus ^rb+cnj+++=thus,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
bade ^vbd+++xvbnx+=bade
the ^ati++++=the
stranger ^jjr+atrb+++=stranger
stay ^nn++++=stay
and ^cc++++=and
sing ^vb++++=sing
in ^in++++=in
the ^ati++++=the
square ^nn++++=square
before ^in++++=before
the ^ati++++=the
Tower ^nn++++=Tower
of ^in++++=of
Mlin ^np+++??+=Mlin,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
they ^pp3a+pp3+++=they
liked ^vbd+++xvbnx+=liked
not ^xnot++not++=not
the ^ati++++=the
colour ^nn++++=colour
of ^in++++=of
his ^pp$+pp3+++=his
tattered ^jj+atrb+++=tattered
robe ^nn++++=robe,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
the ^ati++++=the
myrrh ^nn+++??+=myrrh
in ^in++++=in
his ^pp$+pp3+++=his
hair ^nn++++=hair,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
his ^pp$+pp3+++=his
chaplet ^nn+nom+++=chaplet
of ^in++++=of
vine ^nn++++=vine-leaves,
- ^zz++++=EXTRAWORD
leaves ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
the ^ati++++=the
youth ^nn++++=youth
in ^in++++=in
his ^pp$+pp3+++=his
golden ^jj+atrb+++=golden
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
At ^in++++=At
evening ^nn++++=evening
Iranon ^np+++??+=Iranon
sang ^vbd+++xvbn+=sang,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
he ^pp3a+pp3+++=he
sang ^vbd+++xvbnx+=sang
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man
prayed ^vbd+vsua++xvbn+=prayed
and ^cc++++=and
a ^at++++=a
blind ^jj+atrb+++=blind
man ^nn++++=man
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
a ^at++++=a
nimbus ^nns+++??+=nimbus
over ^in++++=over
the ^ati++++=the
singer ^nn++++=singer's
's ^$++++=EXTRAWORD
head ^nn++++=head.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
most ^ap+emph+++=most
of ^in++++=of
the ^ati++++=the
men ^nns++++=men
of ^in++++=of
Teloth ^np+++??+=Teloth
yawned ^vbd+++xvbn+=yawned,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
laughed ^jj+++xvbn+=laughed
and ^cc++++=and
some ^dti++++=some
went ^vbd+++xvbn+=went
to ^to++++=to
sleep ^vbi++++=sleep;
; ^zz++++=EXTRAWORD
for ^in++++=for
Iranon ^np+++??+=Iranon
told ^vbd+vpub+tht0+xvbn+=told
nothing ^pn++++=nothing
useful ^jj++++=useful,
, ^zz++++=EXTRAWORD
singing ^vbg+++xvbg+=singing
only ^rb+down+++=only
his ^pp$+pp3+++=his
memories ^nns++++=memories,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
dreams ^nps++++=dreams,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
hopes ^nns++++=hopes.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
remember ^nn+nom+++=remember
the ^ati++++=the
twilight ^nn++++=twilight,
, ^zz++++=EXTRAWORD
the ^ati++++=the
moon ^nn++++=moon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
soft ^jj+atrb+++=soft
songs ^nns++++=songs,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
window ^nn++++=window
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
rocked ^vpsv++agls+xvbnx+=rocked
to ^to++++=to
sleep ^vbi++++=sleep.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
through ^in++++=through
the ^ati++++=the
window ^nn++++=window
was ^vbd+bedz+vrb++=was
the ^ati++++=the
street ^nn++++=street
where ^wrb+who+++=where
the ^ati++++=the
golden ^jj+atrb+++=golden
lights ^nns++++=lights
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
where ^wrb+who+++=where
the ^ati++++=the
shadows ^nps++++=shadows
danced ^vbd+++xvbn+=danced
on ^in++++=on
houses ^nns++++=houses
of ^in++++=of
marble ^nn++++=marble.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
the ^ati++++=the
square ^nn++++=square
of ^in++++=of
moonlight ^nn++++=moonlight
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
like ^in++++=like
any ^dti++++=any
other ^ap++++=other
light ^nn++++=light,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
visions ^nns++++=visions
that ^tht+rel+subj++=that
danced ^vbd+++xvbn+=danced
on ^in++++=on
the ^ati++++=the
moonbeams ^nns+++??+=moonbeams
when ^wrb+who+++=when
my ^pp$+pp1+++=my
mother ^npt++++=mother
sang ^vbd+++xvbn+=sang
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
the ^ati++++=the
sun ^nn++++=sun
of ^in++++=of
morning ^nn++++=morning
bright ^jj++++=bright
above ^jjb++++=above
the ^ati++++=the
many ^ap++++=many-coloured
- ^zz++++=EXTRAWORD
coloured ^vbd+++xvbn+=EXTRAWORD
hills ^npl++++=hills
in ^in++++=in
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sweetness ^nns+nom+++=sweetness
of ^in++++=of
flowers ^nns+nom+++=flowers
borne ^vwbn+++xvbn+=borne
on ^in++++=on
the ^ati++++=the
south ^np+pl+++=south
wind ^nn++++=wind
that ^tht+rel+subj++=that
made ^vprf+++xvbn+=made
the ^ati++++=the
trees ^nns++++=trees
sing ^vb++++=sing.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh
oh ^uh++++=EXTRAWORD
Aira ^np+++??+=Aira,
, ^zz++++=EXTRAWORD
city ^nn++++=city
of ^in++++=of
marble ^nn++++=marble
and ^cc++++=and
beryl ^np++++=beryl,
, ^zz++++=EXTRAWORD
how ^wrb+who+++=how
many ^ap++++=many
are ^vb+ber+vrb++=are
thy ^pp$+pp2+++=thy
beauties ^nns++++=beauties!
! ^zz++++=EXTRAWORD
How ^wrb+who+++=How
I ^pp1a+pp1+++=I
loved ^vbd+++xvbnx+=loved
the ^ati++++=the
warm ^jj+atrb+++=warm
and ^cc+phrs+++=and
fragrant ^jj+atrb+++=fragrant
groves ^np++++=groves
across ^in+pl+++=across
the ^ati++++=the
hyline ^nn+++??+=hyline
Nithra ^np+++??+=Nithra,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
falls ^nn++++=falls
of ^in++++=of
the ^ati++++=the
tiny ^jj+atrb+++=tiny
Kra ^np+++??+=Kra
that ^tht+rel+subj++=that
flowed ^vbd+++xvbn+=flowed
though ^cs+sub+++=though
the ^ati++++=the
verdant ^nn+nom+++=verdant
valley ^nn++++=valley!
! ^zz++++=EXTRAWORD
In ^in++++=In
those ^dt+dem+++=those
groves ^nns++++=groves
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
vale ^nn++++=vale
the ^ati++++=the
children ^nns++++=children
wove ^nn+++??+=wove
wreathes ^nns+++??+=wreathes
for ^in++++=for
one ^cd1++++=one
another ^dt++++=another,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^in++++=at
dusk ^nn++++=dusk
I ^pp1a+pp1+++=I
dreamed ^vbd+vprv++xvbnx+=dreamed
strange ^jj+atrb+++=strange
dreams ^nps++++=dreams
under ^in++++=under
the ^ati++++=the
yath ^nn+++??+=yath-trees
- ^zz++++=EXTRAWORD
trees ^nns++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
mountain ^nn++++=mountain
as ^ql++++=as
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
below ^rb++++=below
me ^pp1o+pp1+++=me
the ^ati++++=the
lights ^nns++++=lights
of ^in++++=of
the ^ati++++=the
city ^nn++++=city,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
curving ^jj+atrb+++=curving
Nithra ^np+++??+=Nithra
reflecting ^vwbg+vprv++xvbg+=reflecting
a ^at++++=a
ribbon ^nn++++=ribbon
of ^in++++=of
stars ^nns++++=stars.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
city ^nn++++=city
were ^vbd+bed+vrb++=were
the ^ati++++=the
palaces ^nns++++=palaces
of ^in++++=of
veined ^jj+atrb+++=veined
and ^cc+phrs+++=and
tinted ^jj+atrb+++=tinted
marble ^nn++++=marble,
, ^zz++++=EXTRAWORD
with ^in++++=with
golden ^jj+atrb+++=golden
domes ^nns+++??+=domes
and ^cc++++=and
painted ^xvbn+++xvbn+=painted
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
green ^jj+atrb+++=green
gardens ^nns++++=gardens
with ^in++++=with
cerulean ^jj+atrb+++=cerulean
pools ^nns++++=pools
and ^cc++++=and
crystal ^nn++++=crystal
fountains ^nns++++=fountains.
. ^zz++++=EXTRAWORD
Often ^rb++++=Often
I ^pp1a+pp1+++=I
played ^vbd+++xvbnx+=played
in ^in++++=in
the ^ati++++=the
gardens ^nns++++=gardens
and ^cc++++=and
waded ^vpsv++agls+xvbn+=waded
in ^in++++=in
the ^ati++++=the
pools ^nns++++=pools,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lay ^jjb+++xvbn+=lay
and ^cc+phrs+++=and
dreamed ^jj+++xvbn+=dreamed
among ^in++++=among
the ^ati++++=the
pale ^jj+atrb+++=pale
flowers ^nns+nom+++=flowers
under ^in++++=under
the ^ati++++=the
trees ^nns++++=trees.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
sometimes ^rb++++=sometimes
at ^in++++=at
sunset ^nn++++=sunset
I ^pp1a+pp1+++=I
would ^md+prd+++=would
climb ^vb++++=climb
the ^ati++++=the
long ^jj+atrb+++=long
hilly ^jj+atrb+++=hilly
street ^nn++++=street
to ^in++++=to
the ^ati++++=the
citadel ^nn++++=citadel
and ^cc++++=and
the ^ati++++=the
open ^jj+atrb+++=open
place ^nn++++=place,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
look ^vb++++=look
down ^rp++++=down
upon ^in++++=upon
Aira ^np+++??+=Aira,
, ^zz++++=EXTRAWORD
the ^ati++++=the
magic ^jj+atrb+++=magic
city ^nn++++=city
of ^in++++=of
marble ^nn++++=marble
and ^cc++++=and
beryl ^np++++=beryl,
, ^zz++++=EXTRAWORD
splendid ^jj++++=splendid
in ^in++++=in
a ^at++++=a
robe ^nn++++=robe
of ^in++++=of
golden ^jj+atrb+++=golden
flame ^nn++++=flame.
. ^zz++++=EXTRAWORD
" ^zz++++="Long
long ^rb++++=EXTRAWORD
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
missed ^vbd+++xvbnx+=missed
thee ^pp2+pp2+++=thee,
, ^zz++++=EXTRAWORD
Aira ^np+++??+=Aira,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
but ^cc++++=but
young ^jj++++=young
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
into ^in++++=into
exile ^nn++++=exile;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
my ^pp$+pp1+++=my
father ^nn++++=father
was ^vbd+bedz+vrb++=was
thy ^pp$+pp2+++=thy
King ^nn++++=King
and ^cc++++=and
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
come ^vb++++=come
again ^rb+tm+++=again
to ^in++++=to
thee ^pp2+pp2+++=thee,
, ^zz++++=EXTRAWORD
for ^in++++=for
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
decreed ^jj+++xvbn+=decreed
of ^in++++=of
Fate ^nn++++=Fate.
. ^zz++++=EXTRAWORD
All ^abn++++=All
through ^in++++=through
seven ^cd++++=seven
lands ^nns++++=lands
have ^vb+hv+aux++=have
I ^pp1a+pp1+++=I
sought ^vbd+++xvbnx+=sought
thee ^pp2+pp2+++=thee,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
day ^nn++++=day
shall ^md+prd+++=shall
I ^pp1a+pp1+++=I
reign ^nn++++=reign
over ^in++++=over
thy ^pp$+pp2+++=thy
groves ^nns++++=groves
and ^cc++++=and
gardens ^nns++++=gardens,
, ^zz++++=EXTRAWORD
thy ^pp$+pp2+++=thy
streets ^nns++++=streets
and ^cc++++=and
palaces ^nns++++=palaces,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sing ^vb++++=sing
to ^in++++=to
men ^nns++++=men
who ^whp+rel+subj++=who
shall ^md+prd+++=shall
know ^vb+vprv+++=know
whereof ^wrb+who+++=whereof
I ^pp1a+pp1+++=I
sing ^vb++++=sing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
laugh ^nn++++=laugh
not ^xnot++not++=not
nor ^cc++neg++=nor
turn ^nn++++=turn
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
For ^in++++=For
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
Iranon ^np+++??+=Iranon,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
a ^at++++=a
Prince ^nn++++=Prince
in ^in++++=in
Aira ^np+++??+=Aira."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+dem+++=That
night ^nn++++=night
the ^ati++++=the
men ^nns++++=men
of ^in++++=of
Teloth ^np+++??+=Teloth
lodged ^vbd+++xvbn+=lodged
the ^ati++++=the
stranger ^nn+nom+++=stranger
in ^in++++=in
a ^at++++=a
stable ^nn++++=stable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning
an ^at++++=an
archon ^&fw++++=archon
came ^vbd+++xvbn+=came
to ^in++++=to
him ^pp3o+pp3+++=him
and ^cc++++=and
told ^vbd+vpub++xvbn+=told
him ^pp3o+pp3+++=him
to ^to++++=to
go ^vbi++++=go
to ^in++++=to
the ^ati++++=the
shop ^nn++++=shop
of ^in++++=of
Athok ^np+++??+=Athok
the ^ati++++=the
cobbler ^jjr++++=cobbler,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
be ^vb+be+aux++=be
apprenticed ^vpsv++agls+xvbnx+=apprenticed
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
Iranon ^np+++??+=Iranon,
, ^zz++++=EXTRAWORD
a ^at++++=a
singer ^nn++++=singer
of ^in++++=of
songs ^nns++++=songs,
, ^zz++++=EXTRAWORD
" ^zz++++="
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
have ^vb+hv+vrb++=have
no ^at++++=no
heart ^nn++++=heart
for ^in++++=for
the ^ati++++=the
cobbler ^jjr+atrb+++=cobbler's
's ^vbz+bez+vrb++0=EXTRAWORD
trade ^nn++++=trade."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
in ^in++++=in
Teloth ^np+++??+=Teloth
must ^md+nec+++=must
toil ^vb++++=toil,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
replied ^vbd+vpub++xvbn+=replied
the ^ati++++=the
archon ^&fw++++=archon,
, ^zz++++=EXTRAWORD
" ^zz++++="for
for ^in++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
the ^ati++++=the
law ^nn++++=law."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
said ^vbd+vpub++xvbn+=said
Iranon ^np+++??+=Iranon:
: ^zz++++=EXTRAWORD
" ^zz++++="Wherefore
wherefore ^nn+++??+=EXTRAWORD
do ^vb+do+vrb++=do
ye ^pp2+pp2+++=ye
toil ^nn++++=toil;
; ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
it ^pp3+it+++=it
not ^xnot++not++=not
that ^cs+sub+++=that
ye ^pp2+pp2+++=ye
may ^md+pos+++=may
live ^vb++++=live
and ^cc++++=and
be ^vb+be+vrb++=be
happy ^jj+pred+++=happy?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
ye ^pp2+pp2+++=ye
toil ^nn++++=toil
only ^rb+down+++=only
that ^dt+dem+++=that
ye ^pp2+pp2+++=ye
may ^md+pos+++=may
toil ^vb++++=toil
more ^rbr++++=more,
, ^zz++++=EXTRAWORD
when ^wrb+who+whq++=when
shall ^md+prd+++=shall
happiness ^nns+nom+++=happiness
find ^vb+vprv+++=find
you ^pp2+pp2+++=you?
? ^zz++++=EXTRAWORD
Ye ^pp2+pp2+++=Ye
toil ^vb++++=toil
to ^to++++=to
live ^vbi++++=live,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
life ^nn++++=life
made ^vbd+++xvbn+=made
of ^in++++=of
beauty ^nn++++=beauty
and ^cc++++=and
song ^nn++++=song?
? ^zz++++=EXTRAWORD
And ^cc+cls+++=And
if ^cs+cnd+++=if
ye ^pp2+pp2+++=ye
suffer ^vb++++=suffer
no ^at++++=no
singers ^nns+nom+++=singers
among ^in++++=among
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
where ^wrb+who+whq++=where
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
the ^ati++++=the
fruits ^nns++++=fruits
of ^in++++=of
your ^pp$+pp2+++=your
toil ^nn++++=toil?
? ^zz++++=EXTRAWORD
Toil ^nn++++=Toil
without ^in++++=without
song ^nn++++=song
is ^vbz+bez+vrb++=is
like ^in++++=like
a ^at++++=a
weary ^jj+atrb+++=weary
journey ^nn++++=journey
without ^in++++=without
an ^at++++=an
end ^nn++++=end.
. ^zz++++=EXTRAWORD
Were ^vbd+bed+vrb++=Were
not ^xnot++not++=not
death ^nn++++=death
more ^rbr++++=more
pleasing ^jj+++xvbg+=pleasing?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
But ^cc++++=But
the ^ati++++=the
archon ^&fw++++=archon
was ^vbd+bedz+vrb++=was
sullen ^jj+pred+++=sullen
and ^cc++++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
understand ^vb+vprv+++=understand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rebuked ^vbd+++xvbn+=rebuked
the ^ati++++=the
stranger ^nn+nom+++=stranger.
. ^zz++++=EXTRAWORD
" ^zz++++="Thou
thou ^pp2+pp2+++=EXTRAWORD
art ^nn++++=art
a ^at++++=a
strange ^jj+atrb+++=strange
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
like ^vb++++=like
not ^xnot++not++=not
thy ^pp$+pp2+++=thy
face ^nn++++=face
nor ^cc++neg++=nor
thy ^pp$+pp2+++=thy
voice ^nn++++=voice.
. ^zz++++=EXTRAWORD
The ^ati++++=The
words ^nns++++=words
thou ^pp2+pp2+++=thou
speakest ^jjt++++=speakest
are ^vb+ber+vrb++=are
blasphemy ^nn++++=blasphemy,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
gods ^nns++++=gods
of ^in++++=of
Teloth ^np+++??+=Teloth
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said
that ^tht+vcmp+++=that
toil ^nn++++=toil
is ^vbz+bez+vrb++=is
good ^jj+pred+++=good.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
gods ^nns++++=gods
have ^vb+hv+aux++=have
promised ^vprf+++xvbnx+=promised
us ^pp1o+pp1+++=us
a ^at++++=a
haven ^nn++++=haven
of ^in++++=of
light ^nn++++=light
beyond ^in++++=beyond
death ^nn++++=death,
, ^zz++++=EXTRAWORD
where ^wrb+who+whq++=where
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
rest ^nn++++=rest
without ^in++++=without
end ^nn++++=end,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
crystal ^nn++++=crystal
coldness ^nns+nom+++=coldness
amidst ^in++++=amidst
which ^whp+rel+pied++=which
none ^rb++++=none
shall ^md+prd+++=shall
vex ^vb++++=vex
his ^pp$+pp3+++=his
mind ^nn++++=mind
with ^in++++=with
thought ^nn+++xvbn+=thought
or ^cc++++=or
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
with ^in++++=with
beauty ^nn++++=beauty.
. ^zz++++=EXTRAWORD
Go ^vb++++=Go
thou ^pp2+pp2+++=thou
then ^rn+tm+++=then
to ^in++++=to
Athok ^np+++??+=Athok
the ^ati++++=the
cobbler ^jjr++++=cobbler
or ^cc++++=or
be ^vb+be+aux++=be
gone ^vpsv++agls+xvbnx+=gone
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
city ^nn++++=city
by ^in++++=by
sunset ^nn++++=sunset.
