Extract ^nn++++=Extract
with ^in++++=with
a ^at++++=a
noise ^nn++++=noise
like ^in++++=like
pistol ^nn++++=pistol-shots;
- ^zz++++=EXTRAWORD
shots ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
boots ^nns++++=boots
squeaked ^vbd+++xvbn+=squeaked
as ^ql++++=as
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went.
. ^zz++++=EXTRAWORD
Overhead ^jjb++++=Overhead,
, ^zz++++=EXTRAWORD
the ^ati++++=the
October ^nr++++=October
moon ^nn++++=moon
was ^vbd+bedz+vrb++=was
in ^in++++=in
her ^pp$+pp3+++=her
last ^rb++++=last
quarter ^nn++++=quarter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
slice ^nn++++=slice
of ^in++++=of
finger ^nn++++=finger-nail
- ^zz++++=EXTRAWORD
nail ^vb++++=EXTRAWORD
for ^in++++=for
all ^abn++++=all
the ^ati++++=the
light ^nn++++=light
she ^pp3a+pp3+++=she
afforded ^vbd+++xvbnx+=afforded.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two-thirds
- ^zz++++=EXTRAWORD
thirds ^nns+++??+=EXTRAWORD
of ^in++++=of
the ^ati++++=the
time ^nn++++=time
the ^ati++++=the
wrack ^nn++++=wrack
blotted ^vwbn+++xvbn+=blotted
her ^pp$+pp3+++=her
out ^rp+pl+++=out
altogether ^nn+nom+++=altogether;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
with ^in++++=with
my ^pp$+pp1+++=my
stick ^vb++++=stick
clipped ^vbd+++xvbn+=clipped
tight ^jj++++=tight
under ^in++++=under
my ^pp$+pp1+++=my
armpit ^nn++++=armpit,
, ^zz++++=EXTRAWORD
eyes ^nns++++=eyes
puckered ^vbd+++xvbn+=puckered
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
head ^jjb+atrb+++=head
bent ^jj+atrb++xvbn+=bent
aslant ^nn++++=aslant,
, ^zz++++=EXTRAWORD
had ^md"++pmd"++=had
to ^md+nec+++=to
keep ^vb++++=keep
my ^pp$+pp1+++=my
wits ^nns++++=wits
alive ^jj++++=alive
to ^to++++=to
distinguish ^vbi++++=distinguish
the ^ati++++=the
road ^nn++++=road
from ^in++++=from
the ^ati++++=the
black ^jj+atrb+++=black
heath ^npl++++=heath
to ^in++++=to
right ^nn++++=right
and ^cc++++=and
left ^nn+++xvbn+=left.
. ^zz++++=EXTRAWORD
For ^in++++=For
three ^cd++++=three
hours ^nns++++=hours
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
met ^vprf+++xvbnx+=met
neither ^dt++neg++=neither
man ^nn++++=man
nor ^cc++neg++=nor
man ^nn++++=man's
's ^vbz+bez+aux++0=EXTRAWORD
dwelling ^nvbg+++xvbg+=dwelling,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(for
for ^in++++=EXTRAWORD
all ^abn++++=all
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
desperately ^rb++splt++=desperately
lost ^vpsv++agls+xvbnx+=lost.
. ^zz++++=EXTRAWORD
Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
cross ^jj++++=cross-roads,
- ^zz++++=EXTRAWORD
roads ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
two ^cd++++=two
miles ^nns++++=miles
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
nothing ^pn++++=nothing
for ^in++++=for
me ^pp1o+pp1+++=me
but ^cc++++=but
to ^to++++=to
choose ^vbi++++=choose
the ^ati++++=the
way ^nn++++=way
that ^tht+rel+subj++=that
kept ^vprf+++xvbn+=kept
the ^ati++++=the
wind ^nn++++=wind
on ^in++++=on
my ^pp$+pp1+++=my
face ^nn++++=face,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
gnawed ^vbd+++xvbn+=gnawed
me ^pp1o+pp1+++=me
like ^in++++=like
a ^at++++=a
dog ^nn++++=dog.
. ^zz++++=EXTRAWORD
Mainly ^rb++++=Mainly
to ^to++++=to
allay ^vbi++++=allay
the ^ati++++=the
stinging ^nn++++=stinging
of ^in++++=of
my ^pp$+pp1+++=my
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
pulled ^vbd+++xvbnx+=pulled
up ^rp++++=up
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
turned ^j+++xvbn+=turned
right ^jj++++=right-about-face,
- ^zz++++=EXTRAWORD
about ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
face ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
leant ^j+++xvbn+=leant
back ^jjb++++=back
against ^in++++=against
the ^ati++++=the
blast ^nn++++=blast
with ^in++++=with
a ^at++++=a
hand ^nn++++=hand
on ^in++++=on
my ^pp$+pp1+++=my
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
surveyed ^vbd+++xvbn+=surveyed
the ^ati++++=the
blackness ^nns+nom+++=blackness
behind ^in+strn+++=behind.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
at ^rb++++=at
this ^dt+dem+++=this
instant ^nn+nom+++=instant
that ^tht+rel+++=that,
, ^zz++++=EXTRAWORD
far ^rb+pl+++=far
away ^rp+pl+++=away
to ^in++++=to
the ^ati++++=the
left ^nn+++xvbn+=left,
, ^zz++++=EXTRAWORD
a ^at++++=a
point ^nn++++=point
of ^in++++=of
light ^nn++++=light
caught ^vbd+++xvbn+=caught
my ^pp$+pp1+++=my
notice ^nn++++=notice,
, ^zz++++=EXTRAWORD
faint ^jj++++=faint
but ^cc+phrs+++=but
steady ^jj++++=steady;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
at ^rb++++=at
once ^rb"+tm+++=once
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
sure ^jj++++=sure
it ^pp3+it+++=it
burnt ^vbd+++xvbn+=burnt
in ^in++++=in
the ^ati++++=the
window ^nn++++=window
of ^in++++=of
a ^at++++=a
house ^nn++++=house.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
house ^nn++++=house,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
thought ^nn+++xvbn+=thought
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
a ^at++++=a
good ^jj+atrb+++=good
mile ^nn++++=mile
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
beside ^in+pl+++=beside
the ^ati++++=the
other ^ap++++=other
road ^nn++++=road,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
light ^nn++++=light
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
an ^at++++=an
inch ^nn++++=inch
over ^in++++=over
my ^pp$+pp1+++=my
hat ^nn++++=hat-brim
- ^zz++++=EXTRAWORD
brim ^nn++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
last ^ap++++=last
half ^abn++++=half-hour."
- ^zz++++=EXTRAWORD
hour ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+dem+++=This
reflection ^nn+nom+++=reflection--that
-- ^--+clp+++=EXTRAWORD
that ^dt+dem+++=EXTRAWORD
on ^rp++++=on
so ^ql+emph+++=so
wide ^jj++++=wide
a ^at++++=a
moor ^npl++++=moor
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
near ^in+pl+++=near
missing ^xvbg+++xvbg+=missing
the ^ati++++=the
information ^nn+nom+++=information
I ^pp1a+pp1+++=I
wanted ^vbd+++xvbnx+=wanted
( ^zz++++=(and
and ^cc++++=EXTRAWORD
perhaps ^rb++++=perhaps
a ^at++++=a
supper ^nn++++=supper)
) ^zz++++=EXTRAWORD
by ^in++++=by
one ^cd1++++=one
inch ^nn++++=inch--sent
-- ^--+clp+++=EXTRAWORD
sent ^j+++xvbn+=EXTRAWORD
a ^at++++=a
strong ^jj+atrb+++=strong
thrill ^nn++++=thrill
down ^in++++=down
my ^pp$+pp1+++=my
back ^nn++++=back.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cut ^vbd+++xvbnx+=cut
straight ^jj++++=straight
across ^in+pl+++=across
the ^ati++++=the
heather ^nn++++=heather
towards ^in++++=towards
the ^ati++++=the
light ^nn++++=light,
, ^zz++++=EXTRAWORD
risking ^vbg+++xvbg+=risking
quags ^nns+++??+=quags
and ^cc++++=and
pitfalls ^nns++++=pitfalls.
. ^zz++++=EXTRAWORD
Nay ^uh++++=Nay,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
heartening ^jj++++=heartening
was ^vbd+bedz+vrb++=was
the ^ati++++=the
chance ^nn++++=chance
to ^to+ncmp+++=to
hear ^vbi+vprv+++=hear
a ^at++++=a
fellow ^jjb+atrb+++=fellow
creature ^nn++++=creature's
's ^$++++=EXTRAWORD
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
broke ^vbd+++xvbnx+=broke
into ^in+ppvb+++=into
a ^at++++=a
run ^nn+++xvbn+=run,
, ^zz++++=EXTRAWORD
skipping ^nn++++=skipping
over ^in++++=over
the ^ati++++=the
stunted ^jj+atrb+++=stunted
gorse ^nn++++=gorse
that ^tht+rel+subj++=that
cropped ^vprf+++xvbn+=cropped
up ^rp++++=up
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dreading ^nvbg+++xvbg+=dreading
every ^at++++=every
moment ^nn++++=moment
to ^to++++=to
see ^vbi+vprv+tht0++=see
the ^ati++++=the
light ^nn++++=light
quenched ^vbd+++xvbn+=quenched.
. ^zz++++=EXTRAWORD
" ^zz++++="Suppose
suppose ^vb+vprv+tht0++=EXTRAWORD
it ^pp3+it+++=it
burns ^vbz++++=burns
in ^in++++=in
an ^at++++=an
upper ^jjb+atrb+++=upper
window ^nn++++=window,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
family ^nn++++=family
is ^vbz+bez+aux++=is
going ^vbg+++xvbgx+=going
to ^in++++=to
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
as ^ql++++=as
would ^md+prd+++=would
be ^vb+be+vrb++=be
likely ^jj+pred+++=likely
at ^in++++=at
this ^dt+dem+++=this
hour ^nn++++=hour--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
apprehension ^nn++++=apprehension
kept ^vbd+++xvbn+=kept
my ^pp$+pp1+++=my
eyes ^nns++++=eyes
fixed ^vbd+++xvbn+=fixed
on ^in++++=on
the ^ati++++=the
bright ^jj+atrb+++=bright
spot ^nn++++=spot,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
frequent ^jj+atrb+++=frequent
scandal ^nn++++=scandal
of ^in++++=of
my ^pp$+pp1+++=my
legs ^nns++++=legs,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
within ^in++++=within
five ^cd++++=five
minutes ^nns++++=minutes
were ^vbd+bed+aux++=were
stuck ^vpsv++agls+xvbnx+=stuck
full ^jj++++=full
of ^in++++=of
gorse ^nn++++=gorse
prickles ^nns+++??+=prickles.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
light ^nn++++=light
did ^vbd+dod+aux++=did
not ^xnot++not++=not
go ^vb++++=go
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
soon ^rb+tm+++=soon
a ^at++++=a
flicker ^nn++++=flicker
of ^in++++=of
moonlight ^nn++++=moonlight
gave ^vbd+++xvbn+=gave
me ^pp1o+pp1+++=me
a ^at++++=a
glimpse ^nn++++=glimpse
of ^in++++=of
the ^ati++++=the
house ^npl++++=house's
's ^$++++=EXTRAWORD
outline ^nn++++=outline.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
proved ^vbd+vprv++xvbn+=proved
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
deal ^nn++++=deal
more ^rbr++++=more
imposing ^jj+++xvbg+=imposing
than ^in++++=than
I ^pp1a+pp1+++=I
looked ^vbd+++xvbnx+=looked
for ^in+strn+++=for--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
outline ^nn++++=outline,
, ^zz++++=EXTRAWORD
in ^in++++=in
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
tall ^jj++++=tall,
, ^zz++++=EXTRAWORD
square ^nn++++=square
barrack ^nn++++=barrack,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
cluster ^nn+nom+++=cluster
of ^in++++=of
chimneys ^nns++++=chimneys
at ^in++++=at
either ^dtx++++=either
end ^nn++++=end,
, ^zz++++=EXTRAWORD
like ^in++++=like
ears ^nns++++=ears,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
high ^jj+atrb+++=high
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
topped ^xvbn+++xvbn+=topped
by ^in++++=by
the ^ati++++=the
roofs ^nns++++=roofs
of ^in++++=of
some ^dti++++=some
outbuildings ^nns++++=outbuildings,
, ^zz++++=EXTRAWORD
concealing ^vbg+nom++xvbg+=concealing
the ^ati++++=the
lower ^jjr+atrb+++=lower
windows ^nns++++=windows.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
no ^at++++=no
gate ^nn++++=gate
in ^in++++=in
this ^dt+dem+++=this
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
presently ^rb+tm+++=presently
I ^pp1a+pp1+++=I
guessed ^vbd+vprv++xvbnx+=guessed
the ^ati++++=the
reason ^nn++++=reason.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
approaching ^vbg+++xvbgx+=approaching
the ^ati++++=the
place ^nn++++=place
from ^in++++=from
behind ^in+strn+++=behind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
light ^nn++++=light
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
a ^at++++=a
back ^jjb+atrb+++=back
window ^nn++++=window
on ^in++++=on
the ^ati++++=the
first ^od++++=first
floor ^nn++++=floor.
. ^zz++++=EXTRAWORD
The ^ati++++=The
faintness ^nns+nom+++=faintness
of ^in++++=of
the ^ati++++=the
light ^nn++++=light
also ^rb++++=also
was ^vbd+bedz+aux++=was
explained ^vpsv++by+xvbnx+=explained
by ^in++++=by
this ^dt+dem+++=this
time ^nn++++=time.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
shone ^vbd+++xvbn+=shone
behind ^in+pl+++=behind
a ^at++++=a
drab ^jj++++=drab-coloured
- ^zz++++=EXTRAWORD
coloured ^jj+++xvbn+=EXTRAWORD
blind ^jj++++=blind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
shape ^nn++++=shape
resembled ^vbd+++xvbn+=resembled
the ^ati++++=the
stem ^nn++++=stem
of ^in++++=of
a ^at++++=a
wine ^nn++++=wine-glass,
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
broadening ^vbg+++xvbg+=broadening
out ^rp+pl+++=out
at ^in++++=at
the ^ati++++=the
foot ^nn++++=foot;
; ^zz++++=EXTRAWORD
an ^at++++=an
effect ^nn++++=effect
produced ^vwbn+++xvbn+=produced
by ^in++++=by
the ^ati++++=the
half ^abn++++=half-drawn
- ^zz++++=EXTRAWORD
drawn ^xvbn+++xvbn+=EXTRAWORD
curtains ^nns++++=curtains
within ^in+strn+++=within.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
came ^vbd+++xvbnx+=came
to ^in++++=to
a ^at++++=a
halt ^nn++++=halt,
, ^zz++++=EXTRAWORD
waiting ^vbg+++xvbg+=waiting
for ^in++++=for
the ^ati++++=the
next ^ap++++=next
ray ^np++++=ray
of ^in++++=of
moonlight ^nn++++=moonlight.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
same ^ap++++=same
moment ^nn++++=moment
a ^at++++=a
rush ^nn++++=rush
of ^in++++=of
wind ^nn++++=wind
swept ^vwbn+++xvbn+=swept
over ^in++++=over
the ^ati++++=the
chimney ^nn++++=chimney-stacks,
- ^zz++++=EXTRAWORD
stacks ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
the ^ati++++=the
wind ^nn++++=wind
there ^ex+pex+++=there
seemed ^vprf+++xvbn+=seemed
to ^to+vcmp+++=to
ride ^vbi++++=ride
a ^at++++=a
human ^jj+atrb+++=human
sigh ^nn++++=sigh.
. ^zz++++=EXTRAWORD
On ^in++++=On
this ^dt+dem+++=this
last ^rb++++=last
point ^nn++++=point
I ^pp1a+pp1+++=I
may ^md+pos+++=may
err ^vb++++=err.
. ^zz++++=EXTRAWORD
The ^ati++++=The
gust ^nn++++=gust
had ^vbd+hvd+aux++=had
passed ^vprf+++xvbnx+=passed
some ^dti++++=some
seconds ^nns++++=seconds
before ^cs+sub+++=before
I ^pp1a+pp1+++=I
caught ^vbd+++xvbnx+=caught
myself ^ppl+pp1+++=myself
detecting ^jj++++=detecting
this ^dt+dem+++=this
peculiar ^jj+atrb+++=peculiar
note ^nn++++=note,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
disengage ^nn+nom+++=disengage
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
natural ^jj+atrb+++=natural
chords ^nns++++=chords
of ^in++++=of
the ^ati++++=the
storm ^nn++++=storm.
. ^zz++++=EXTRAWORD
From ^in++++=From
the ^ati++++=the
next ^ap++++=next
gust ^nn++++=gust
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
absent ^jj+pred+++=absent;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
to ^in++++=to
my ^pp$+pp1+++=my
dismay ^nn++++=dismay,
, ^zz++++=EXTRAWORD
the ^ati++++=the
light ^jj++++=light
faded ^jj+++xvbn+=faded
from ^in++++=from
the ^ati++++=the
window ^nn++++=window.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
half ^abn++++=half-minded
- ^zz++++=EXTRAWORD
minded ^jj+++xvbn+=EXTRAWORD
to ^to++++=to
call ^vbi++++=call
out ^rp+pl+++=out
when ^wrb+who+++=when
it ^pp3+it+++=it
appeared ^vbd+seem++xvbn+=appeared
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
time ^nn++++=time
in ^in++++=in
two ^cd++++=two
windows ^nns++++=windows--those
-- ^--+clp+++=EXTRAWORD
those ^dt+dem+++=EXTRAWORD
next ^ap++++=next
on ^in++++=on
the ^ati++++=the
right ^nn++++=right
to ^to+ncmp+++=to
that ^dt+pdem+++=that
where ^wrb+who+++=where
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
shone ^vprf+++xvbnx+=shone
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
Almost ^rb+hdg+++=Almost
at ^rb++++=at
once ^rb"+tm+++=once
it ^pp3+it+++=it
increased ^vbd+++xvbn+=increased
in ^in++++=in
brilliance ^nn+nom+++=brilliance,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
the ^ati++++=the
person ^nn++++=person
who ^whp+rel+subj++=who
carried ^vbd+++xvbn+=carried
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
smaller ^jjr+atrb+++=smaller
room ^nn++++=room
to ^in++++=to
the ^ati++++=the
larger ^jjr++++=larger
were ^vbd+bed+vrb++=were
lighting ^nn++++=lighting
more ^ql++++=more
candles ^nns++++=candles;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
the ^ati++++=the
illumination ^nn+nom+++=illumination
was ^vbd+bedz+vrb++=was
strong ^jj+pred+++=strong
enough ^qlp++++=enough
to ^to++++=to
make ^vbi++++=make
fine ^jj+atrb+++=fine
gold ^nn++++=gold
threads ^nns++++=threads
of ^in++++=of
the ^ati++++=the
rain ^nn++++=rain
that ^tht+rel+subj++=that
fell ^vbd+++xvbn+=fell
within ^in++++=within
its ^pp$+it+++=its
radiance ^nn+nom+++=radiance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fling ^vb++++=fling
two ^cd++++=two
shafts ^nns++++=shafts
of ^in++++=of
warm ^jj++++=warm
yellow ^jj++++=yellow
over ^in++++=over
the ^ati++++=the
coping ^jj+++xvbg+=coping
of ^in++++=of
the ^ati++++=the
back ^jjb+atrb+++=back
wall ^nn++++=wall.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
minute ^nn++++=minute
or ^cc++++=or
more ^ql++++=more
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
watching ^vbg+++xvbg+=watching,
, ^zz++++=EXTRAWORD
no ^at++++=no
shadow ^nn++++=shadow
fell ^vbd+++xvbn+=fell
on ^in+ppvb+++=on
either ^dtx++++=either
blind ^jj++++=blind.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
me ^pp1o+pp1+++=me
and ^cc++++=and
the ^ati++++=the
wall ^nn++++=wall
ran ^vbd+++xvbn+=ran
a ^at++++=a
ditch ^nn++++=ditch,
, ^zz++++=EXTRAWORD
into ^in++++=into
which ^whp+rel+pied++=which
the ^ati++++=the
ground ^nn++++=ground
at ^in++++=at
my ^pp$+pp1+++=my
feet ^nns++++=feet
broke ^vbd+++xvbn+=broke
sharply ^rb++++=sharply
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Setting ^nvbg+++xvbg+=Setting
my ^pp$+pp1+++=my
back ^jjb++++=back
to ^in++++=to
the ^ati++++=the
storm ^nn++++=storm
again ^rb+cnj+++=again,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
followed ^vbd+vprv++xvbnx+=followed
the ^ati++++=the
lip ^nn++++=lip
of ^in++++=of
this ^dt+dem+++=this
ditch ^nn++++=ditch
around ^in++++=around
the ^ati++++=the
wall ^nn++++=wall's
's ^$++++=EXTRAWORD
angle ^nn++++=angle.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
it ^pp3+it+++=it
shallowed ^vbd+++xvbn+=shallowed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
shelter ^nn++++=shelter;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
not ^xnot++not++=not
wishing ^vbg+++xvbg+=wishing
to ^to+vcmp+++=to
mistake ^vb++++=mistake
a ^at++++=a
bed ^nn++++=bed
of ^in++++=of
nettles ^nns++++=nettles
or ^cc++++=or
any ^dti++++=any
such ^abl++++=such
pitfall ^nn+++??+=pitfall
for ^in++++=for
solid ^jj+atrb+++=solid
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
kept ^vbd+++xvbnx+=kept
pretty ^rb++++=pretty
wide ^jj++++=wide
as ^ql++++=as
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
The ^ati++++=The
house ^nn++++=house
was ^vbd+bedz+vrb++=was
dark ^jj+pred+++=dark
on ^in++++=on
this ^dt+dem+++=this
side ^nn++++=side,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wall ^nn++++=wall,
, ^zz++++=EXTRAWORD
as ^ql++++=as
before ^in++++=before,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
