They ^pp3a+pp3+++=They
thoughtfully ^rb++++=thoughtfully.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+aux++=was
a ^at++++=a
long ^rb++++=long
silence ^nn+nom+++=silence,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
occurred ^vbd+++xvbn+=occurred
to ^in++++=to
no ^ati++neg++=no
one ^cd1++++=one
to ^to++++=to
prompt ^vbi++++=prompt
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
one ^cd1++++=one
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
understand ^vbi+vprv+++=understand
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
speak ^vb++++=speak,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
rather ^rb++++=rather
that ^cs+sub+++=that
something ^pn++++=something
inside ^rp+pl+++=inside
him ^pp3o+pp3+++=him
was ^vbd+bedz+aux++=was
going ^md"++pmd"++=going
to ^md+prd+++=to
speak ^vb++++=speak,
, ^zz++++=EXTRAWORD
some ^dti++++=some
force ^nn++++=force
that ^tht+rel+subj++=that
craved ^vprf+++xvbn+=craved
expression ^nn++++=expression
and ^cc++++=and
was ^vbd+bedz+aux++=was
using ^vbg+++xvbgx+=using
him ^pp3o+pp3+++=him
as ^in++++=as
a ^at++++=a
medium ^nn++++=medium.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
old ^jj+atrb+++=old
man ^nn++++=man's
's ^vbz+bez+vrb++0=EXTRAWORD
pink ^jj+atrb+++=pink
face ^nn++++=face
grew ^vbd+++xvbn+=grew
strangely ^rb++++=strangely
calm ^jj++++=calm,
, ^zz++++=EXTRAWORD
the ^ati++++=the
animation ^nn+nom+++=animation
that ^tht+rel+++=that
usually ^rb+down+++=usually
lit ^rb+++xvbn+=lit
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
gone ^vpsv++agls+xvbnx+=gone.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
would ^md+prd+++=would
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said
that ^tht+vcmp+++=that
the ^ati++++=the
girl ^nn++++=girl
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
started ^vprf+++xvbnx+=started
him ^pp3o+pp3+++=him
already ^rb++++=already
regretted ^vbd+vprv++xvbn+=regretted
the ^ati++++=the
impulse ^nn++++=impulse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
stop ^vbi++++=stop
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
breathing ^vbg+++xvbgx+=breathing
heavily ^rb+cnj+++=heavily,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
once ^rb+tm+++=once
or ^cc+phrs+++=or
twice ^rb++++=twice
made ^vbd+++xvbn+=made
as ^cs+sub+++=as
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
would ^md+prd+++=would
speak ^vb++++=speak
to ^in++++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
no ^at++++=no
words ^nns++++=words
came ^vbd+++xvbn+=came.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
must ^md+nec+++=must
have ^vb+hv+aux++=have
abandoned ^vprf+++xvbnx+=abandoned
the ^ati++++=the
idea ^nn++++=idea,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
fell ^vbd+++xvbnx+=fell
to ^to++++=to
studying ^vbg+++xvbg+=studying
the ^ati++++=the
company ^nn++++=company.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
examined ^vbd+++xvbnx+=examined
them ^pp3o+pp3+++=them
carefully ^rb+cnj+++=carefully,
, ^zz++++=EXTRAWORD
one ^pn++++=one
by ^in++++=by
one ^pn++++=one.
. ^zz++++=EXTRAWORD
" ^zz++++="This
this ^dt+dem+++=EXTRAWORD
one ^pn++++=one,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
told ^vbd+vpub+tht0+xvbnx+=told
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
" ^zz++++="is
is ^vbz+bez+vrb++=EXTRAWORD
so ^ql++++=so-and-so,
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
so ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^cs+sub+++=that
one ^cd1++++=one
there ^rn+pl+++=there
just ^rb+emph+++=just
another ^dt++++=another
so ^ql++++=so-and-so."
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
so ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stared ^vbd+++xvbnx+=stared
at ^rb++++=at
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
knowing ^vbg+vprv++xvbg+=knowing
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
could ^md+pos+++=could
not ^xnot++not++=not
turn ^nn++++=turn
them ^pp3o+pp3+++=them
to ^in++++=to
herself ^ppl+pp3+++=herself
with ^in++++=with
her ^pp$+pp3+++=her
stare ^nn++++=stare.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
just ^rb+emph+++=just
bodies ^nns++++=bodies
kept ^vbd+++xvbn+=kept
working ^jj+++xvbg+=working,
, ^zz++++=EXTRAWORD
so ^ql++++=so
to ^to++++=to
speak ^vbi++++=speak,
, ^zz++++=EXTRAWORD
by ^in++++=by
some ^dti++++=some
subtle ^jj+atrb+++=subtle
sort ^nn++++=sort
of ^in++++=of
sentry ^nn++++=sentry
left ^vbd+++xvbn+=left
behind ^rb+phrv+++=behind
by ^in++++=by
the ^ati++++=the
real ^jj+atrb+++=real
selves ^nns++++=selves
that ^tht+rel+subj++=that
streamed ^vbd+++xvbn+=streamed
out ^rp+pl+++=out
in ^in++++=in
pent ^jj++++=pent-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
thought ^vb+++xvbn+=thought
to ^to+vcmp+++=to
the ^ati++++=the
little ^jj+atrb+++=little
old ^jj+atrb+++=old
man ^nn++++=man
in ^in++++=in
the ^ati++++=the
chair ^nn++++=chair
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
the ^ati++++=the
fire ^nn++++=fire.
. ^zz++++=EXTRAWORD
" ^zz++++="His
his ^pp$+pp3+++=EXTRAWORD
name ^nn++++=name
was ^vbd+bedz+vrb++=was
Joseph ^np++++=Joseph;
; ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least
they ^pp3a+pp3+++=they
called ^vbd+++xvbnx+=called
him ^pp3o+pp3+++=him
Joseph ^np++++=Joseph.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
dreamed ^vbd+vprv++xvbnx+=dreamed,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
understand ^vb+vprv+++=understand
dreams ^nps++++=dreams.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
an ^at++++=an
extraordinary ^jj+atrb+++=extraordinary
lad ^nn++++=lad
in ^in++++=in
many ^ap++++=many
ways ^nns++++=ways.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
mother ^nn++++=mother
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
her ^pp$+pp3+++=her
very ^ql+amp+++=very
well ^rb++++=well
had ^vb+hv+vrb++=had
three ^cd++++=three
children ^nns++++=children
in ^in++++=in
quick ^jj+atrb+++=quick
succession ^nn++++=succession,
, ^zz++++=EXTRAWORD
soon ^rb+tm+++=soon
after ^in++++=after
marriage ^nn+nom+++=marriage;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
ten ^cd++++=ten
years ^nns++++=years
went ^vwbn+++xvbn+=went
by ^in++++=by
and ^cc++++=and
Joseph ^np++++=Joseph
was ^vbd+bedz+aux++=was
born ^vpsv++agls+xvbnx+=born.
. ^zz++++=EXTRAWORD
Quiet ^nn++++=Quiet
and ^cc++++=and
reserved ^jj+++xvbn+=reserved
he ^pp3a+pp3+++=he
always ^rb++++=always
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
a ^at++++=a
self ^nn++++=self-contained
- ^zz++++=EXTRAWORD
contained ^vbd+++xvbn+=EXTRAWORD
child ^nn++++=child
whose ^whp+rel+obj++=whose
only ^ap+down+++=only
friend ^nn++++=friend
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
mother ^nn++++=mother.
. ^zz++++=EXTRAWORD
People ^nns++++=People
said ^vbd+vpub++xvbn+=said
things ^nns++++=things
about ^rb++++=about
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
people ^nns++++=people
talk ^nn++++=talk.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
Clara ^np++++=Clara's
's ^$++++=EXTRAWORD
child ^nn++++=child
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
adopted ^vprf+++xvbnx+=adopted
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
others ^aps++++=others,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
husband ^nn++++=husband
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
his ^pp$+pp3+++=his
father ^nn++++=father,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
these ^dt+pdem+++=these
put ^vbd+++xvbn+=put
her ^pp$+pp3+++=her
change ^nn++++=change
of ^in++++=of
manner ^nn++++=manner
down ^in++++=down
to ^in++++=to
a ^at++++=a
perpetual ^jj+atrb+++=perpetual
struggle ^vb++++=struggle
to ^to+vcmp+++=to
keep ^vbi++++=keep
her ^pp$+pp3+++=her
husband ^nn++++=husband
comfortably ^rb++++=comfortably
in ^in++++=in
the ^ati++++=the
dark ^nn++++=dark.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
imagined ^vbn+vprv++xvbn+=imagined
that ^tht+vcmp+++=that
the ^ati++++=the
boy ^nn++++=boy
was ^vbd+bedz+vrb++=was
in ^in++++=in
some ^dti++++=some
way ^nn++++=way
aware ^jj++++=aware
of ^in++++=of
all ^abn++++=all
this ^dt+dem+++=this
gossip ^nn++++=gossip,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
noticed ^vbd+vprv++xvbnx+=noticed
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
took ^vbd+++xvbnx+=took
a ^at++++=a
dislike ^nn++++=dislike
to ^in++++=to
the ^ati++++=the
people ^nns++++=people
who ^whp+rel+subj++=who
spread ^vb+++xvbn+=spread
it ^pp3+it+++=it
most ^ap+emph+++=most."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
man ^nn++++=man
rested ^vbd+++xvbn+=rested
his ^pp$+pp3+++=his
elbows ^nns++++=elbows
on ^in++++=on
the ^ati++++=the
arms ^nns++++=arms
of ^in++++=of
his ^pp$+pp3+++=his
chair ^nn++++=chair
and ^cc++++=and
let ^vb+++xvbn+=let
the ^ati++++=the
tips ^nns++++=tips
of ^in++++=of
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
meet ^vb++++=meet
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
A ^at++++=A
smile ^nn++++=smile
played ^vbd+++xvbn+=played
about ^in++++=about
his ^pp$+pp3+++=his
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
searching ^vbg+++xvbgx+=searching
among ^in++++=among
his ^pp$+pp3+++=his
reminiscences ^nns+nom+++=reminiscences
for ^in++++=for
the ^ati++++=the
one ^cd1++++=one
that ^dt+pdem+++=that
would ^md+prd+++=would
give ^vb++++=give
the ^ati++++=the
clearest ^jjt+atrb+++=clearest
portrait ^nn++++=portrait
of ^in++++=of
Joseph ^np++++=Joseph.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
anyway ^rb+cnj+++=anyway,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
said ^vbd+vpub++xvbnx+=said
at ^rb++++=at
last ^rb"++++=last,
, ^zz++++=EXTRAWORD
" ^zz++++="the
the ^ati++++=EXTRAWORD
boy ^nn++++=boy
was ^vbd+bedz+vrb++=was
odd ^jj+pred+++=odd,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
no ^at++++=no
gainsaying ^jj+++xvbg+=gainsaying
the ^ati++++=the
fact ^nn++++=fact.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+tht0++=suppose
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
eleven ^cd++++=eleven
when ^wrb+who+++=when
Clara ^np++++=Clara
came ^vbd+++xvbn+=came
down ^in++++=down
here ^rn+pl+++=here
with ^in++++=with
her ^pp$+pp3+++=her
family ^nn++++=family
for ^in++++=for
Christmas ^np++++=Christmas.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Coningtons ^np+++??+=Coningtons
owned ^vbd+++xvbn+=owned
the ^ati++++=the
place ^nn++++=place
then ^rn+tm+++=then
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Conington ^np++++=Conington
was ^vbd+bedz+vrb++=was
Clara ^np++++=Clara's
's ^$++++=EXTRAWORD
sister ^nn++++=sister.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Christmas ^np++++=Christmas
Eve ^nn++++=Eve,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
many ^ap++++=many
years ^nns++++=years
ago ^rb++++=ago.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
a ^at++++=a
normal ^jj+atrb+++=normal
Christmas ^np++++=Christmas
Eve ^nn++++=Eve;
; ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
happier ^jjr++++=happier,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
than ^in++++=than
usual ^nn++++=usual
by ^in++++=by
reason ^nn++++=reason
of ^in++++=of
the ^ati++++=the
family ^nn++++=family
re ^in++++=re-union
- ^zz++++=EXTRAWORD
union ^nn++++=EXTRAWORD
and ^cc+cls+++=and
because ^cs+cos+++=because
of ^in"++++=of
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
so ^ql++++=so
many ^ap++++=many
children ^nns++++=children.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
