Before ^cs+sub+++=Before
is ^vbz+bez+aux++=is
going ^vbg+++xvbgx+=going
home ^nr++++=home
to ^in++++=to
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
fulness ^nns+nom+++=fulness
of ^in++++=of
his ^pp$+pp3+++=his
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
fancied ^jj+atrb++xvbn+=fancied
security ^nn+nom+++=security
of ^in++++=of
wealth ^nn++++=wealth,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
possession ^nn++++=possession
and ^cc++++=and
enjoyment ^nn+nom+++=enjoyment
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
good ^jj+atrb+++=good
things ^nns++++=things
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
the ^ati++++=the
elderly ^jj+atrb+++=elderly
gentleman ^nn+nom+++=gentleman
suddenly ^rb++++=suddenly
loses ^vbz++++=loses
his ^pp$+pp3+++=his
footing ^nn++++=footing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stumbles ^nns+++??+=stumbles.
. ^zz++++=EXTRAWORD
How ^wrb+who+++=How
the ^ati++++=the
audience ^nn+nom+++=audience
roar ^nn++++=roar!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
is ^vbz+bez+aux++=is
set ^vpsv++agls+xvbnx+=set
upon ^in++++=upon
by ^in++++=by
a ^at++++=a
noisy ^jj+atrb+++=noisy
and ^cc+phrs+++=and
officious ^jj+atrb+++=officious
crowd ^nn++++=crowd,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
buffet ^nn+++??+=buffet
and ^cc++++=and
cuff ^nn++++=cuff
him ^pp3o+pp3+++=him
unmercifully ^rb++++=unmercifully.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
scream ^vb++++=scream
with ^in++++=with
delight ^nn++++=delight!
! ^zz++++=EXTRAWORD
Every ^at++++=Every
time ^nn++++=time
the ^ati++++=the
elderly ^jj+atrb+++=elderly
gentleman ^nn+nom+++=gentleman
struggles ^vb++++=struggles
to ^to+vcmp+++=to
get ^vbi++++=get
up ^rp++++=up,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
relentless ^jj+atrb+++=relentless
persecutors ^nns++++=persecutors
knock ^nn++++=knock
him ^pp3o+pp3+++=him
down ^in++++=down
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
The ^ati++++=The
spectators ^nns++++=spectators
are ^vb+ber+aux++=are
convulsed ^vpsv++agls+xvbnx+=convulsed
with ^in++++=with
merriment ^nn+nom+++=merriment!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
when ^wrb+who+++=when
at ^rb++++=at
last ^rb"++++=last
the ^ati++++=the
elderly ^jj+atrb+++=elderly
gentleman ^nn+nom+++=gentleman
does ^vbz+doz+aux++=does
get ^vb++++=get
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
staggers ^nns+nom+++=staggers
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
despoiled ^j+++xvbn+=despoiled
of ^in++++=of
hat ^nn++++=hat,
, ^zz++++=EXTRAWORD
wig ^nn++++=wig,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
clothing ^nn++++=clothing,
, ^zz++++=EXTRAWORD
himself ^ppl+pp3+++=himself
battered ^vbd+++xvbn+=battered
to ^in++++=to
pieces ^nns++++=pieces,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
watch ^nn++++=watch
and ^cc++++=and
money ^nn++++=money
gone ^vbd+++xvbn+=gone,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
exhausted ^vpsv++agls+xvbnx+=exhausted
with ^in++++=with
laughter ^nn+nom+++=laughter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
express ^jjb++++=express
their ^pp$+pp3+++=their
merriment ^nn+nom+++=merriment
and ^cc++++=and
admiration ^nn+nom+++=admiration
in ^in++++=in
rounds ^nns++++=rounds
of ^in++++=of
applause ^nn++++=applause.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
this ^dt+dem+++=this
like ^in++++=like
life ^nn++++=life?
? ^zz++++=EXTRAWORD
Change ^nn++++=Change
the ^ati++++=the
scene ^nn++++=scene
to ^in++++=to
any ^dti++++=any
real ^jj+atrb+++=real
street; ^nn+++??+=street;--to
-- ^--+clp+++=EXTRAWORD
to ^in++++=EXTRAWORD
the ^ati++++=the
Stock ^nn++++=Stock
Exchange ^nn++++=Exchange,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
City ^nn++++=City
banker ^nn++++=banker's;
's; ^nn+++??+=EXTRAWORD
the ^ati++++=the
merchant ^nn+nom+++=merchant's
's ^$++++=EXTRAWORD
countinghouse ^nn+++??+=countinghouse,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
even ^rb++++=even
the ^ati++++=the
tradesman ^nn+nom+++=tradesman's
's ^$++++=EXTRAWORD
shop ^nn++++=shop.
. ^zz++++=EXTRAWORD
See ^vb+vprv+++=See
any ^dti++++=any
one ^pn++++=one
of ^in++++=of
these ^dt+dem+++=these
men ^nns++++=men
fall, ^nn+++??+=fall,--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
more ^rbr++++=more
suddenly ^rb+cnj+++=suddenly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
nearer ^rbr++++=nearer
the ^ati++++=the
zenith ^nn+++??+=zenith
of ^in++++=of
his ^pp$+pp3+++=his
pride ^nn++++=pride
and ^cc++++=and
riches ^nns++++=riches,
, ^zz++++=EXTRAWORD
the ^ati++++=the
better ^nn++++=better.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
a ^at++++=a
wild ^jj++++=wild
hallo ^uh++++=hallo
is ^vbz+bez+aux++=is
raised ^vpsv++agls+xvbnx+=raised
over ^in++++=over
his ^pp$+pp3+++=his
prostrate ^jj+atrb+++=prostrate
carcase ^nn++++=carcase
by ^in++++=by
the ^ati++++=the
shouting ^jj+atrb++xvbg+=shouting
mob ^nn++++=mob;
; ^zz++++=EXTRAWORD
how ^wrb+who+++=how
they ^pp3a+pp3+++=they
whoop ^vb+++??+=whoop
and ^cc+phrs+++=and
yell ^vb++++=yell
as ^ql++++=as
he ^pp3a+pp3+++=he
lies ^vbz++++=lies
humbled ^xvbn+++xvbn+=humbled
beneath ^in+pl+++=beneath
them ^pp3o+pp3+++=them!
! ^zz++++=EXTRAWORD
Mark ^vb++++=Mark
how ^wrb+who+++=how
eagerly ^rb++++=eagerly
they ^pp3a+pp3+++=they
set ^vbd+++xvbnx+=set
upon ^in++++=upon
him ^pp3o+pp3+++=him
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
down ^rp++++=down;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
they ^pp3a+pp3+++=they
mock ^vb++++=mock
and ^cc++++=and
deride ^nn+++??+=deride
him ^pp3o+pp3+++=him
as ^ql++++=as
he ^pp3a+pp3+++=he
slinks ^nns+++??+=slinks
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
the ^ati++++=the
pantomime ^nn++++=pantomime
to ^in++++=to
the ^ati++++=the
very ^ap+amp+++=very
letter ^nn++++=letter.
. ^zz++++=EXTRAWORD
Of ^in++++=Of
all ^abn++++=all
the ^ati++++=the
pantomimic ^jj+atrb+++=pantomimic
dramatis ^nns+++??+=dramatis
personae ^nn+++??+=personae,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
consider ^nn+nom+++=consider
the ^ati++++=the
pantaloon ^nn+++??+=pantaloon
the ^ati++++=the
most ^ql+emph+++=most
worthless ^jj++++=worthless
and ^cc+phrs+++=and
debauched ^jj++++=debauched.
. ^zz++++=EXTRAWORD
Independent ^jj++++=Independent
of ^in++++=of
the ^ati++++=the
dislike ^nn++++=dislike
one ^cd1++++=one
naturally ^rb++++=naturally
feels ^vbz+vprv+++=feels
at ^rb++++=at
seeing ^vbg+vprv++xvbg+=seeing
a ^at++++=a
gentleman ^nn+nom+++=gentleman
of ^in++++=of
his ^pp$+pp3+++=his
years ^nns++++=years
engaged ^vwbn+++xvbn+=engaged
in ^in++++=in
pursuits ^nns++++=pursuits
highly ^rb+amp+++=highly
unbecoming ^jj++++=unbecoming
his ^pp$+pp3+++=his
gravity ^nn+nom+++=gravity
and ^cc++++=and
time ^nn++++=time
of ^in++++=of
life ^nn++++=life,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
cannot ^md+pos+not++=cannot
conceal ^vb++++=conceal
from ^in++++=from
ourselves ^ppls+pp1+++=ourselves
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
is ^vbz+bez+vrb++=is
a ^at++++=a
treacherous ^jj++++=treacherous,
, ^zz++++=EXTRAWORD
worldlyminded ^jj+atrb++xvbn+=worldlyminded
old ^jj+atrb+++=old
villain ^nn++++=villain,
, ^zz++++=EXTRAWORD
constantly ^rb++++=constantly
enticing ^jj++++=enticing
his ^pp$+pp3+++=his
younger ^jjr+atrb+++=younger
companion ^nn++++=companion,
, ^zz++++=EXTRAWORD
the ^ati++++=the
clown ^jj+++xvbn+=clown,
, ^zz++++=EXTRAWORD
into ^in++++=into
acts ^nns++++=acts
of ^in++++=of
fraud ^nn++++=fraud
or ^cc++++=or
petty ^jj+atrb+++=petty
larceny ^nn++++=larceny,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
generally ^rb+down+++=generally
standing ^vbg+++xvbg+=standing
aside ^rp++++=aside
to ^to++++=to
watch ^vbi++++=watch
the ^ati++++=the
result ^nn++++=result
of ^in++++=of
the ^ati++++=the
enterprise ^nn++++=enterprise.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
be ^vb+be+vrb++=be
successful ^jj+pred+++=successful,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
never ^rb++++=never
forgets ^vbz++++=forgets
to ^to+vcmp+++=to
return ^vbi++++=return
for ^in++++=for
his ^pp$+pp3+++=his
share ^nn++++=share
of ^in++++=of
the ^ati++++=the
spoil ^vb++++=spoil;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
if ^cs+cnd+++=if
it ^pp3+it+++=it
turn ^vb++++=turn
out ^rb+phrv+++=out
a ^at++++=a
failure ^nn++++=failure,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
generally ^rb+down+++=generally
retires ^vbz++++=retires
with ^in++++=with
remarkable ^jj+atrb+++=remarkable
caution ^nn+nom+++=caution
and ^cc++++=and
expedition ^nn+nom+++=expedition,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
keeps ^vbz++++=keeps
carefully ^rb++++=carefully
aloof ^jj++++=aloof
until ^cs+sub+++=until
the ^ati++++=the
affair ^nn++++=affair
has ^vbz+hvz+aux++=has
blown ^vprf+++xvbnx+=blown
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
amorous ^jj+atrb+++=amorous
propensities ^nns+nom+++=propensities,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
eminently ^rb++++=eminently
disagreeable ^jj+pred+++=disagreeable;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
mode ^nn++++=mode
of ^in++++=of
addressing ^xvbg+++xvbg+=addressing
ladies ^nns++++=ladies
in ^in++++=in
the ^ati++++=the
open ^jj+atrb+++=open
street ^nn++++=street
at ^rb++++=at
noon ^nn++++=noon-day
- ^zz++++=EXTRAWORD
day ^nn++++=EXTRAWORD
is ^vbz+bez+vrb++=is
down ^rp++++=down-right
- ^zz++++=EXTRAWORD
right ^jj++++=EXTRAWORD
improper ^jj++++=improper,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
usually ^rb+down+++=usually
neither ^dt++neg++=neither
more ^rbr++++=more
nor ^cc+phrs+neg++=nor
less ^rbr++++=less
than ^in++++=than
a ^at++++=a
perceptible ^jj+atrb+++=perceptible
tickling ^nn+nom+++=tickling
of ^in++++=of
the ^ati++++=the
aforesaid ^xvbn+++xvbn+=aforesaid
ladies ^nns++++=ladies
in ^in++++=in
the ^ati++++=the
waist ^nn++++=waist,
, ^zz++++=EXTRAWORD
after ^in++++=after
committing ^xvbg+++xvbg+=committing
which ^whp+who+++=which,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
starts ^vbz++++=starts
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
manifestly ^rb++++=manifestly
ashamed ^jj++++=ashamed
( ^zz++++=(as
as ^rb++++=EXTRAWORD
well ^rb++++=well
he ^pp3a+pp3+++=he
may ^md+pos+++=may
be ^vb+be+vrb++=be)
) ^zz++++=EXTRAWORD
of ^in++++=of
his ^pp$+pp3+++=his
own ^ap++++=own
indecorum ^nn+++??+=indecorum
and ^cc++++=and
temerity ^nn+nom+++=temerity;
; ^zz++++=EXTRAWORD
continuing ^vbg+++xvbg+=continuing,
, ^zz++++=EXTRAWORD
nevertheless ^rb+cnj+++=nevertheless,
, ^zz++++=EXTRAWORD
to ^in++++=to
ogle ^nn+++??+=ogle
and ^cc++++=and
beckon ^nn+++??+=beckon
to ^in++++=to
them ^pp3o+pp3+++=them
from ^in++++=from
a ^at++++=a
distance ^nn+nom+++=distance
in ^in++++=in
a ^at++++=a
very ^ql+amp+++=very
unpleasant ^jj+atrb+++=unpleasant
and ^cc+phrs+++=and
immoral ^jj+atrb+++=immoral
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
there ^rn+pl+++=there
any ^dti++++=any
man ^nn++++=man
who ^whp+rel+subj++=who
cannot ^md+pos+not++=cannot
count ^vb++++=count
a ^at++++=a
dozen ^cd++++=dozen
pantaloons ^nns++++=pantaloons
in ^in++++=in
his ^pp$+pp3+++=his
own ^ap++++=own
social ^jj+atrb+++=social
circle ^nn++++=circle?
? ^zz++++=EXTRAWORD
Is ^vbz+bez+vrb++=Is
there ^rn+pl+++=there
any ^dti++++=any
man ^nn++++=man
who ^whp+rel+subj++=who
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
seen ^vprf+++xvbn+=seen
them ^pp3o+pp3+++=them
swarming ^jj++++=swarming
at ^in++++=at
the ^ati++++=the
west ^np+pl+++=west
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
town ^nn++++=town
on ^in++++=on
a ^at++++=a
sunshiny ^nn+++??+=sunshiny
day ^nn++++=day
or ^cc++++=or
a ^at++++=a
summer ^nn++++=summer's
's ^$++++=EXTRAWORD
evening ^nn++++=evening,
, ^zz++++=EXTRAWORD
going ^vbg+++xvbg+=going
through ^in++++=through
the ^ati++++=the
last ^ap++++=last-named
- ^zz++++=EXTRAWORD
named ^vbd+++xvbn+=EXTRAWORD
pantomimic ^jj+atrb+++=pantomimic
feats ^nns++++=feats
with ^in++++=with
as ^ql++++=as
much ^ap++++=much
liquorish ^jj+atrb+++=liquorish
energy ^nn++++=energy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
total ^jj++++=total
an ^at++++=an
absence ^nn+nom+++=absence
of ^in++++=of
reserve ^nn++++=reserve,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
on ^in++++=on
the ^ati++++=the
very ^ap+amp+++=very
stage ^nn++++=stage
itself ^ppl++++=itself?
? ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
can ^md+pos+++=can
tell ^vb++++=tell
upon ^in++++=upon
our ^pp$+pp1+++=our
fingers ^nns+nom+++=fingers
a ^at++++=a
dozen ^cd++++=dozen
pantaloons ^nns++++=pantaloons
of ^in++++=of
our ^pp$+pp1+++=our
acquaintance ^nn+nom+++=acquaintance
at ^in++++=at
this ^dt+dem+++=this
moment ^nn++++=moment--capital
-- ^--+clp+++=EXTRAWORD
capital ^nn++++=EXTRAWORD
pantaloons ^nns++++=pantaloons,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
performing ^vbg+++xvbgx+=performing
all ^abn++++=all
kinds ^nns++++=kinds
of ^in++++=of
strange ^jj+atrb+++=strange
freaks ^nns+++??+=freaks,
, ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
great ^jj+atrb+++=great
amusement ^nn+nom+++=amusement
of ^in++++=of
their ^pp$+pp3+++=their
friends ^nns++++=friends
and ^cc++++=and
acquaintance ^nn+nom+++=acquaintance,
, ^zz++++=EXTRAWORD
for ^in++++=for
years ^nns++++=years
past ^jjb++++=past;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
who ^whp+rel+obj++=who
to ^in++++=to
this ^dt+dem+++=this
day ^nn++++=day
are ^vb+ber+aux++=are
making ^vbg+++xvbgx+=making
such ^abl++++=such
comical ^jj+atrb+++=comical
and ^cc+phrs+++=and
ineffectual ^jj+atrb+++=ineffectual
attempts ^vb++++=attempts
to ^to+vcmp+++=to
be ^vbi++vrb++=be
young ^jj+pred+++=young
and ^cc+phrs+++=and
dissolute ^jj++++=dissolute,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
all ^abn++++=all
