Adventures ^nns++++=Adventures,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
taught ^vbd+vsua++xvbnx+=taught
modern ^jj+atrb+++=modern
subjects ^nns++++=subjects,
, ^zz++++=EXTRAWORD
employed ^j+++xvbn+=employed
old ^jj++++=old-fashioned
- ^zz++++=EXTRAWORD
fashioned ^jj+atrb++xvbn+=EXTRAWORD
methods ^nns++++=methods
in ^in++++=in
driving ^xvbg+++xvbg+=driving
his ^pp$+pp3+++=his
lessons ^nns++++=lessons
home ^nr++++=home.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
this ^dt+dem+++=this
enforced ^jj+atrb++xvbn+=enforced
familiarity ^nn+nom+++=familiarity
with ^in++++=with
an ^at++++=an
important ^jj+atrb+++=important
commercial ^jj+atrb+++=commercial
language ^nn+nom+++=language
which ^whp+rel+obj++=which
thrust ^nn+++xvbn+=thrust
Abbleway ^np+++??+=Abbleway
in ^in++++=in
later ^rbr+tm+++=later
years ^nns++++=years
into ^in++++=into
strange ^jj+atrb+++=strange
lands ^nns++++=lands
where ^wrb+who+++=where
adventures ^nns++++=adventures
were ^vbd+bed+vrb++=were
less ^rbr++++=less
easy ^jj+pred+++=easy
to ^to+jcmp+++=to
guard ^vbi++++=guard
against ^in++++=against
than ^in++++=than
in ^in++++=in
the ^ati++++=the
ordered ^jj+atrb++xvbn+=ordered
atmosphere ^nn++++=atmosphere
of ^in++++=of
an ^at++++=an
English ^jj+atrb+++=English
country ^nn++++=country
town ^nn++++=town.
. ^zz++++=EXTRAWORD
The ^ati++++=The
firm ^jj++++=firm
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
worked ^vbd+++xvbnx+=worked
for ^in++++=for
saw ^vbd+vprv++xvbn+=saw
fit ^jj++++=fit
to ^to+jcmp+++=to
send ^vbi++++=send
him ^pp3o+pp3+++=him
one ^cd1++++=one
day ^nn++++=day
on ^in++++=on
a ^at++++=a
prosaic ^jj+atrb+++=prosaic
business ^nns+nom+++=business
errand ^nn++++=errand
to ^in++++=to
the ^ati++++=the
far ^rb+pl+++=far
city ^nn++++=city
of ^in++++=of
Vienna ^np++++=Vienna,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
sent ^vprf+++xvbn+=sent
him ^pp3o+pp3+++=him
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
continued ^j+++xvbn+=continued
to ^to++++=to
keep ^vbi++++=keep
him ^pp3o+pp3+++=him
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
still ^rb++++=still
engaged ^vbd+++xvbn+=engaged
in ^in++++=in
humdrum ^jj+atrb+++=humdrum
affairs ^nns++++=affairs
of ^in++++=of
commerce ^nn++++=commerce,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
the ^ati++++=the
possibilities ^nns+nom+++=possibilities
of ^in++++=of
romance ^nn+nom+++=romance
and ^cc++++=and
adventure ^nn++++=adventure,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
even ^rb++++=even
misadventure ^nn+++??+=misadventure,
, ^zz++++=EXTRAWORD
jostling ^vbg+nom++xvbg+=jostling
at ^in++++=at
his ^pp$+pp3+++=his
elbow ^nn++++=elbow.
. ^zz++++=EXTRAWORD
After ^in++++=After
two ^cd++++=two
and ^cc++++=and
a ^at++++=a
half ^nn++++=half
years ^nns++++=years
of ^in++++=of
exile ^nn++++=exile,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
John ^np++++=John
James ^np++++=James
Abbleway ^np+++??+=Abbleway
had ^vbd+hvd+aux++=had
embarked ^vprf+++xvbnx+=embarked
on ^in+ppvb+++=on
only ^rb+down+++=only
one ^cd1++++=one
hazardous ^jj+atrb+++=hazardous
undertaking ^nvbg+++xvbg+=undertaking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
of ^in++++=of
a ^at++++=a
nature ^nn++++=nature
which ^whp+rel+subj++=which
would ^md+prd+++=would
assuredly ^rb++++=assuredly
have ^vb+hv+aux++=have
overtaken ^vprf+++xvbnx+=overtaken
him ^pp3o+pp3+++=him
sooner ^rbr++++=sooner
or ^cc+phrs+++=or
later ^rbr+tm+++=later
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
leading ^vbg+++xvbgx+=leading
a ^at++++=a
sheltered ^jj+++xvbn+=sheltered,
, ^zz++++=EXTRAWORD
stay ^vb++++=stay-at-home
- ^zz++++=EXTRAWORD
at ^in++++=EXTRAWORD
- ^zz++++=EXTRAWORD
home ^nr++++=EXTRAWORD
existence ^nn+nom+++=existence
at ^in++++=at
Dorking ^np+++??+=Dorking
or ^cc++++=or
Huntingdon ^np+++??+=Huntingdon.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
fell ^vbd+++xvbnx+=fell
placidly ^rb++++=placidly
in ^in++++=in
love ^nn++++=love
with ^in++++=with
a ^at++++=a
placidly ^rb++++=placidly
lovable ^jj+atrb+++=lovable
English ^jj+atrb+++=English
girl ^nn++++=girl,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sister ^nn++++=sister
of ^in++++=of
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
commercial ^jj+atrb+++=commercial
colleagues ^nns++++=colleagues,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
improving ^vbg+++xvbgx+=improving
her ^pp3o+pp3+++=her
mind ^nn++++=mind
by ^in++++=by
a ^at++++=a
short ^jj+atrb+++=short
trip ^nn++++=trip
to ^in++++=to
foreign ^jj+atrb+++=foreign
parts ^nns++++=parts,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
due ^jj+atrb+++=due
course ^nn++++=course
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
formally ^rb++splt++=formally
accepted ^vpsv++agls+xvbnx+=accepted
as ^ql++++=as
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
engaged ^vpsv++agls+xvbnx+=engaged
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
The ^ati++++=The
further ^jjb+atrb+++=further
step ^nn++++=step
by ^in++++=by
which ^whp+rel+pied++=which
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
to ^to++++=to
become ^vbi++++=become
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
John ^np++++=John
Abbleway ^np+++??+=Abbleway
was ^vbd+bedz+aux++=was
to ^to++++=to
take ^vbi++++=take
place ^nn++++=place
a ^at++++=a
twelvemonth ^nn+++??+=twelvemonth
hence ^rb+cnj+++=hence
in ^in++++=in
a ^at++++=a
town ^nn++++=town
in ^in++++=in
the ^ati++++=the
English ^jj+atrb+++=English
midlands ^nns++++=midlands,
, ^zz++++=EXTRAWORD
by ^in++++=by
which ^whp+rel+pied++=which
time ^nn++++=time
the ^ati++++=the
firm ^jj++++=firm
that ^dt+dem+++=that
employed ^jj+++xvbn+=employed
John ^np++++=John
James ^np++++=James
would ^md+prd+++=would
have ^vb+hv+vrb++=have
no ^at++++=no
further ^jjb+atrb+++=further
need ^nn++++=need
for ^in++++=for
his ^pp$+pp3+++=his
presence ^nn+nom+++=presence
in ^in++++=in
the ^ati++++=the
Austrian ^jj+atrb+++=Austrian
capital ^nn++++=capital.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
early ^jj+pred+++=early
in ^in++++=in
April ^nr++++=April,
, ^zz++++=EXTRAWORD
two ^cd++++=two
months ^nns++++=months
after ^in++++=after
the ^ati++++=the
installation ^nn+nom+++=installation
of ^in++++=of
Abbleway ^np+++??+=Abbleway
as ^in++++=as
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man
Miss ^npt++++=Miss
Penning ^np++++=Penning
was ^vbd+bedz+aux++=was
engaged ^vpsv++agls+xvbnx+=engaged
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
received ^vbd+++xvbnx+=received
a ^at++++=a
letter ^nn++++=letter
from ^in++++=from
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
written ^j+++xvbn+=written
from ^in++++=from
Venice ^np++++=Venice.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
still ^rb++splt++=still
peregrinating ^vbg+++xvbgx+=peregrinating
under ^in++++=under
the ^ati++++=the
wing ^nn++++=wing
of ^in++++=of
her ^pp3o+pp3+++=her
brother ^npt++++=brother,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
the ^ati++++=the
latter ^ap++++=latter's
's ^vbz+bez+vrb++0=EXTRAWORD
business ^nns+nom+++=business
arrangements ^nns+nom+++=arrangements
would ^md+prd+++=would
take ^vb++++=take
him ^pp3o+pp3+++=him
across ^in+pl+++=across
to ^in++++=to
Fiume ^np+++??+=Fiume
for ^in++++=for
a ^at++++=a
day ^nn++++=day
or ^cc++++=or
two ^cd++++=two,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
conceived ^vprf+++xvbnx+=conceived
the ^ati++++=the
idea ^nn++++=idea
that ^tht+ncmp+++=that
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
rather ^rb++++=rather
jolly ^jj+pred+++=jolly
if ^cs+cnd+++=if
John ^np++++=John
could ^md+pos+++=could
obtain ^vb++++=obtain
leave ^nn++++=leave
of ^in++++=of
absence ^nn+nom+++=absence
and ^cc++++=and
run ^vb+++xvbn+=run
down ^rb+phrv+++=down
to ^in++++=to
the ^ati++++=the
Adriatic ^np++++=Adriatic
coast ^nn++++=coast
to ^to++++=to
meet ^vbi++++=meet
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
looked ^vprf+++xvbnx+=looked
up ^rp++++=up
the ^ati++++=the
route ^nn++++=route
on ^in++++=on
the ^ati++++=the
map ^nn++++=map,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
journey ^nn++++=journey
did ^vbd+dod+aux++=did
not ^xnot++not++=not
appear ^vb+seem+++=appear
likely ^jj++++=likely
to ^to+jcmp+++=to
be ^vbi++vrb++=be
expensive ^jj+pred+++=expensive.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
the ^ati++++=the
lines ^nns++++=lines
of ^in++++=of
her ^pp$+pp3+++=her
communication ^nn+nom+++=communication
there ^rn+pl+++=there
lay ^jjb+++xvbn+=lay
a ^at++++=a
hint ^nn++++=hint
that ^tht+ncmp+++=that
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
really ^rb+emph+++=really
cared ^vbd+++xvbn+=cared
for ^in+ppvb+++=for
her ^pp$+pp3+++=her
Abbleway ^np+++??+=Abbleway
obtained ^vwbn+++xvbn+=obtained
leave ^vb++++=leave
of ^in++++=of
absence ^nn+nom+++=absence
and ^cc++++=and
added ^vbd+vpub++xvbn+=added
a ^at++++=a
journey ^nn++++=journey
to ^in++++=to
Fiume ^np+++??+=Fiume
to ^in++++=to
his ^pp$+pp3+++=his
life ^nn++++=life's
's ^$++++=EXTRAWORD
adventures ^nns++++=adventures.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
left ^vbd+++xvbnx+=left
Vienna ^np++++=Vienna
on ^in++++=on
a ^at++++=a
cold ^nn++++=cold,
, ^zz++++=EXTRAWORD
cheerless ^jj+atrb+++=cheerless
day ^nn++++=day.
. ^zz++++=EXTRAWORD
The ^ati++++=The
flower ^nn++++=flower
shops ^nns++++=shops
were ^vbd+bed+vrb++=were
full ^jj+pred+++=full
of ^in++++=of
spring ^nn++++=spring
blooms ^vbz++++=blooms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
weekly ^jj+atrb+++=weekly
organs ^nns++++=organs
of ^in++++=of
illustrated ^jj+atrb++xvbn+=illustrated
humour ^nn++++=humour
were ^vbd+bed+vrb++=were
full ^jj+pred+++=full
of ^in++++=of
spring ^nn++++=spring
topics ^nns++++=topics,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
skies ^nns++++=skies
were ^vbd+bed+vrb++=were
heavy ^jj+pred+++=heavy
with ^in++++=with
clouds ^nns++++=clouds
that ^tht+rel+++=that
looked ^jj+++xvbn+=looked
like ^in++++=like
cotton ^nn++++=cotton-wool
- ^zz++++=EXTRAWORD
wool ^nn++++=EXTRAWORD
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
kept ^vpsv++agls+xvbnx+=kept
over ^in++++=over
long ^rb++++=long
in ^in++++=in
a ^at++++=a
shop ^nn++++=shop
window ^nn++++=window.
. ^zz++++=EXTRAWORD
" ^zz++++="Snow
snow ^nn++++=EXTRAWORD
comes ^vbz++++=comes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
train ^nn++++=train
official ^jj++++=official
to ^in++++=to
the ^ati++++=the
station ^nn+nom+++=station
officials ^nns+nom+++=officials;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
agreed ^vbd+vpub++xvbnx+=agreed
that ^tht+vcmp+++=that
snow ^nn++++=snow
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
come ^vb++++=come.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
it ^pp3+it+++=it
came ^vbd+++xvbn+=came,
, ^zz++++=EXTRAWORD
rapidly ^rb+cnj+++=rapidly,
, ^zz++++=EXTRAWORD
plenteously ^jj++++=plenteously.
. ^zz++++=EXTRAWORD
The ^ati++++=The
train ^nn++++=train
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
more ^rbr++++=more
than ^in++++=than
an ^at++++=an
hour ^nn++++=hour
on ^in++++=on
its ^pp$+it+++=its
journey ^nn++++=journey
when ^wrb+who+++=when
the ^ati++++=the
cottonwool ^nn+++??+=cottonwool
clouds ^nns++++=clouds
commenced ^vwbn+++xvbn+=commenced
to ^to++++=to
dissolve ^vbi++++=dissolve
in ^in++++=in
a ^at++++=a
blinding ^jj+atrb+++=blinding
downpour ^nn++++=downpour
of ^in++++=of
snowflakes ^nns+++??+=snowflakes.
. ^zz++++=EXTRAWORD
The ^ati++++=The
forest ^nn++++=forest
trees ^nns++++=trees
on ^in++++=on
either ^dtx++++=either
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
line ^nn++++=line
were ^vbd+bed+aux++=were
speedily ^rb++splt++=speedily
coated ^vpsv++agls+xvbnx+=coated
with ^in++++=with
a ^at++++=a
heavy ^jj+atrb+++=heavy
white ^jj+atrb+++=white
mantle ^nn++++=mantle,
, ^zz++++=EXTRAWORD
the ^ati++++=the
telegraph ^nn++++=telegraph
wires ^nns++++=wires
became ^vbd+++xvbn+=became
thick ^jj+atrb+++=thick
glistening ^jj+atrb+++=glistening
ropes ^nns++++=ropes,
, ^zz++++=EXTRAWORD
the ^ati++++=the
line ^nn++++=line
itself ^ppl++++=itself
was ^vbd+bedz+aux++=was
buried ^vpsv++agls+xvbnx+=buried
more ^rbr++++=more
and ^cc+phrs+++=and
more ^rbr++++=more
completely ^rb+amp+++=completely
under ^in++++=under
a ^at++++=a
carpeting ^nn++++=carpeting
of ^in++++=of
snow ^nn++++=snow,
, ^zz++++=EXTRAWORD
through ^in++++=through
which ^whp+rel+pied++=which
the ^ati++++=the
not ^xnot++not++=not
very ^ql+amp+++=very
powerful ^jj+atrb+++=powerful
engine ^nn++++=engine
ploughed ^vbd+++xvbn+=ploughed
its ^pp$+it+++=its
way ^nn++++=way
with ^in++++=with
increasing ^xvbg+++xvbg+=increasing
difficulty ^nn++++=difficulty.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Vienna ^np++++=Vienna-Fiume
- ^zz++++=EXTRAWORD
fiume ^nn+++??+=EXTRAWORD
line ^nn++++=line
is ^vbz+bez+vrb++=is
scarcely ^rb+down+++=scarcely
the ^ati++++=the
best ^nn++++=best
equipped ^vbd+++xvbn+=equipped
of ^in++++=of
the ^ati++++=the
Austrian ^jj+atrb+++=Austrian
State ^nn++++=State
railways ^nns++++=railways,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Abbleway ^np+++??+=Abbleway
began ^vbd+++xvbn+=began
to ^to++++=to
have ^vbi++++=have
serious ^jj+atrb+++=serious
fears ^nns++++=fears
for ^in++++=for
a ^at++++=a
breakdown ^nn++++=breakdown.
. ^zz++++=EXTRAWORD
The ^ati++++=The
train ^nn++++=train
had ^vbd+hvd+aux++=had
slowed ^vprf+++xvbnx+=slowed
down ^rb+phrv+++=down
to ^in++++=to
a ^at++++=a
painful ^jj+atrb+++=painful
and ^cc+phrs+++=and
precarious ^jj+atrb+++=precarious
crawl ^nn++++=crawl
and ^cc++++=and
presently ^rb+tm+++=presently
came ^vbd+++xvbn+=came
to ^in++++=to
a ^at++++=a
halt ^vb++++=halt
at ^rb++++=at
a ^at++++=a
spot ^nn++++=spot
where ^wrb+who+++=where
the ^ati++++=the
drifting ^jj+atrb++xvbg+=drifting
snow ^nn++++=snow
had ^vbd+hvd+aux++=had
accumulated ^vprf+++xvbnx+=accumulated
in ^in++++=in
a ^at++++=a
formidable ^jj+atrb+++=formidable
barrier ^nn++++=barrier.
. ^zz++++=EXTRAWORD
The ^ati++++=The
engine ^nn++++=engine
made ^vbd+++xvbn+=made
a ^at++++=a
special ^jj+atrb+++=special
effort ^nn++++=effort
and ^cc++++=and
broke ^vpsv++agls+xvbn+=broke
through ^in++++=through
the ^ati++++=the
obstruction ^nn+nom+++=obstruction,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
in ^in++++=in
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
another ^dt++++=another
twenty ^cd++++=twenty
minutes ^nns++++=minutes
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
again ^rb+tm+splt++=again
held ^vpsv++agls+xvbnx+=held
up ^rp++++=up.
. ^zz++++=EXTRAWORD
The ^ati++++=The
process ^nns+nom+++=process
of ^in++++=of
breaking ^nn++++=breaking
through ^in++++=through
was ^vbd+bedz+aux++=was
renewed ^vpsv++agls+xvbnx+=renewed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
train ^nn++++=train
doggedly ^rb++++=doggedly
resumed ^vbd+++xvbn+=resumed
its ^pp$+it+++=its
way ^nn++++=way,
, ^zz++++=EXTRAWORD
encountering ^vbg+++xvbg+=encountering
and ^cc+phrs+++=and
surmounting ^vbg+++xvbg+=surmounting
fresh ^jj+atrb+++=fresh
hindrances ^nns+nom+++=hindrances
at ^in++++=at
frequent ^jj+atrb+++=frequent
intervals ^nns+nom+++=intervals.
. ^zz++++=EXTRAWORD
After ^in++++=After
a ^at++++=a
standstill ^nn++++=standstill
of ^in++++=of
unusually ^rb++++=unusually
long ^jj+atrb+++=long
duration ^nn+nom+++=duration
in ^in++++=in
a ^at++++=a
particularly ^rb++++=particularly
deep ^jj+atrb+++=deep
drift ^nn++++=drift
the ^ati++++=the
compartment ^nn+nom+++=compartment
in ^in++++=in
which ^whp+rel+pied++=which
Abbleway ^np+++??+=Abbleway
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
gave ^vbd+++xvbn+=gave
a ^at++++=a
huge ^nn++++=huge
jerk ^vb++++=jerk
and ^cc++++=and
a ^at++++=a
lurch ^nn++++=lurch,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
remain ^vbi++++=remain
stationary ^jj++++=stationary;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it
undoubtedly ^rb++++=undoubtedly
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
moving ^jj+++xvbg+=moving,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
yet ^rb++++=yet
he ^pp3a+pp3+++=he
could ^md+pos+++=could
hear ^vb+vprv+++=hear
the ^ati++++=the
puffing ^nn++++=puffing
of ^in++++=of
the ^ati++++=the
engine ^nn++++=engine
and ^cc++++=and
the ^ati++++=the
slow ^nn++++=slow
rumbling ^vwbg+++xvbg+=rumbling
and ^cc++++=and
jolting ^vwbg+++xvbg+=jolting
of ^in++++=of
wheels ^nns++++=wheels.
. ^zz++++=EXTRAWORD
The ^ati++++=The
puffing ^jj+++xvbg+=puffing
and ^cc++++=and
rumbling ^xvbg+++xvbg+=rumbling
grew ^vbd+++xvbn+=grew
fainter ^jjr++++=fainter,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
it ^pp3+it+++=it
were ^vbd+bed+aux++=were
dying ^vbg+++xvbgx+=dying
away ^rp+pl+++=away
through ^in++++=through
the ^ati++++=the
agency ^nn++++=agency
of ^in++++=of
intervening ^xvbg+++xvbg+=intervening
distance ^nn+nom+++=distance.
. ^zz++++=EXTRAWORD
Abbleway ^np+++??+=Abbleway
suddenly ^rb++++=suddenly
gave ^vbd+++xvbn+=gave
vent ^nn++++=vent
to ^in++++=to
an ^at++++=an
exclamation ^nn+nom+++=exclamation
of ^in++++=of
scandalised ^jj+atrb+++=scandalised
alarm ^nn++++=alarm,
, ^zz++++=EXTRAWORD
opened ^j+++xvbn+=opened
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
peered ^vbd+++xvbn+=peered
out ^rp+pl+++=out
into ^in++++=into
the ^ati++++=the
snowstorm ^nn++++=snowstorm.
. ^zz++++=EXTRAWORD
The ^ati++++=The
flakes ^nns++++=flakes
perched ^vbd+++xvbn+=perched
on ^in++++=on
his ^pp$+pp3+++=his
eyelashes ^nns++++=eyelashes
and ^cc++++=and
blurred ^vbd+++xvbn+=blurred
his ^pp$+pp3+++=his
vision ^nn++++=vision,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
saw ^vbd+vprv++xvbnx+=saw
enough ^qlp++++=enough
to ^to++++=to
help ^vbi++++=help
him ^pp3o+pp3+++=him
to ^to++++=to
realise ^vbi+vprv+++=realise
what ^wdt+who+++=what
had ^vbd+hvd+aux++=had
happened ^vprf+++xvbnx+=happened.
. ^zz++++=EXTRAWORD
The ^ati++++=The
engine ^nn++++=engine
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
a ^at++++=a
mighty ^ql++++=mighty
plunge ^vb++++=plunge
through ^in++++=through
the ^ati++++=the
drift ^nn++++=drift
and ^cc++++=and
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
merrily ^rb++++=merrily
forward ^rb+cnj+++=forward,
, ^zz++++=EXTRAWORD
lightened ^j+++xvbn+=lightened
of ^in++++=of
the ^ati++++=the
load ^nn++++=load
of ^in++++=of
its ^pp$+it+++=its
rear ^jjb+atrb+++=rear
carriage ^nn+nom+++=carriage,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
coupling ^nn+nom+++=coupling
had ^vbd+hvd+aux++=had
snapped ^vprf+++xvbnx+=snapped
under ^in++++=under
the ^ati++++=the
strain ^nn++++=strain.
. ^zz++++=EXTRAWORD
Abbleway ^np+++??+=Abbleway
was ^vbd+bedz+vrb++=was
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
almost ^rb+hdg+++=almost
alone ^jj++++=alone,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
derelict ^jj+atrb+++=derelict
railway ^nn++++=railway
waggon ^nn+++??+=waggon,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
heart ^nn++++=heart
of ^in++++=of
some ^dti++++=some
Styrian ^np+++??+=Styrian
or ^cc++++=or
Croatian ^np+++??+=Croatian
forest ^nn++++=forest.
