Roses ^nns++++=ROSES
dilapidatedumbrella ^nn+++??+=dilapidatedumbrella
along ^in+strn+++=along,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
spread ^vbd+++xvbnx+=spread
her ^pp3o+pp3+++=her
shawl ^nn++++=shawl
over ^in++++=over
the ^ati++++=the
bonnet ^nn++++=bonnet-boxes
- ^zz++++=EXTRAWORD
boxes ^vbz++++=EXTRAWORD
andhurried ^vbd+++xvbn+=andhurried
down ^rp++++=down
the ^ati++++=the
broad ^jj+atrb+++=broad
street ^nn++++=street,
, ^zz++++=EXTRAWORD
eager ^jj++++=eager
to ^to+jcmp+++=to
hide ^vbi++++=hide
her ^pp$+pp3+++=her
misfortunes ^nns++++=misfortunes
from ^in++++=from
apretty ^nn+++??+=apretty
young ^jj+atrb+++=young
girl ^nn++++=girl
who ^whp+rel+subj++=who
stood ^vbd+++xvbn+=stood
at ^rb++++=at
a ^at++++=a
window ^nn++++=window
laughing ^vwbg+++xvbg+=laughing
at ^rb++++=at
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
not ^xnot++not++=not
find ^vb+vprv+++=find
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
where ^wrb+who+++=where
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
finehats ^nns+++??+=finehats
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi+vbi+aux++=be
left ^vpsv++agls+xvbnx+=left;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
after ^in++++=after
hunting ^xvbg+++xvbg+=hunting
all ^abn++++=all
down ^rp++++=down
one ^cd1++++=one
side ^nn++++=side
of ^in++++=of
thestreet ^nn+++??+=thestreet,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
crossed ^vbd+++xvbnx+=crossed
over ^in+strn+++=over,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
came ^vbd+++xvbn+=came
at ^rb++++=at
last ^rb"++++=last
to ^in++++=to
the ^ati++++=the
very ^ql+amp+++=very
house ^npl++++=house
wherethe ^nn+++??+=wherethe
pretty ^rb++++=pretty
girl ^nn++++=girl
lived ^vbd+++xvbn+=lived.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
no ^at++++=no
longer ^rbr++++=longer
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
with ^in++++=with
asigh ^nn+++??+=asigh
of ^in++++=of
relief ^nn++++=relief,
, ^zz++++=EXTRAWORD
Lizzie ^np+++??+=Lizzie
rang ^vbd+++xvbn+=rang
the ^ati++++=the
bell ^nn++++=bell,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
told ^vpsv++agls+xvbnx+=told
to ^to+vcmp+++=to
wait ^vbi++++=wait
in ^in++++=in
thehall ^nn+++??+=thehall
while ^cs+sub+++=while
Miss ^npt++++=Miss
Belle ^np++++=Belle
tried ^vbd+++xvbn+=tried
the ^ati++++=the
hat ^nn++++=hat
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Glad ^jj++++=Glad
to ^to+jcmp+++=to
rest ^vb++++=rest,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
warmed ^vbd+++xvbnx+=warmed
her ^pp$+pp3+++=her
feet ^nns++++=feet,
, ^zz++++=EXTRAWORD
righted ^j+++xvbn+=righted
her ^pp3o+pp3+++=her
umbrella ^nn++++=umbrella,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thensat ^nn+++??+=thensat
looking ^vwbg+++xvbg+=looking
about ^in++++=about
her ^pp$+pp3+++=her
with ^in++++=with
eyes ^nns++++=eyes
quick ^jj++++=quick
to ^to+jcmp+++=to
see ^vbi+vprv+++=see
the ^ati++++=the
beauty ^nn++++=beauty
and ^cc++++=and
thecomfort ^nn+++??+=thecomfort
that ^tht+rel+subj++=that
made ^vwbn+++xvbn+=made
the ^ati++++=the
place ^nn++++=place
so ^rb+emph+++=so
homelike ^jj++++=homelike
and ^cc+phrs+++=and
delightful ^jj++++=delightful.
. ^zz++++=EXTRAWORD
A ^at++++=A
smallwaiting ^jj+++xvbg+=smallwaiting-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
opened ^vbd+++xvbn+=opened
from ^in++++=from
the ^ati++++=the
hall ^nn++++=hall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
it ^pp3+it+++=it
stood ^vbd+++xvbn+=stood
many ^ap++++=many
bloomingplants ^nns+nom+++=bloomingplants,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
fragrance ^nn+nom+++=fragrance
attracted ^vbd+++xvbn+=attracted
Lizzie ^np+++??+=Lizzie
as ^ql++++=as
irresistibly ^jj++++=irresistibly
as ^cs+sub+++=as
if ^cs+cnd+++=if
shehad ^nn+++??+=shehad
been ^vprf+ben+vrb+xvbn+=been
a ^at++++=a
butterfly ^nn++++=butterfly
or ^cc++++=or
bee ^nn++++=bee.
. ^zz++++=EXTRAWORD
Slipping ^vbg+++xvbg+=Slipping
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
stood ^vbd+++xvbnx+=stood
enjoying ^vbg+++xvbg+=enjoying
the ^ati++++=the
lovely ^jj+atrb+++=lovely
colors ^nns++++=colors,
, ^zz++++=EXTRAWORD
sweet ^jj+atrb+++=sweet
odors ^nns++++=odors,
, ^zz++++=EXTRAWORD
anddelicate ^nn+nom+++=anddelicate
shapes ^nns++++=shapes
of ^in++++=of
these ^dt+dem+++=these
household ^nn++++=household
spirits ^nns++++=spirits;
; ^zz++++=EXTRAWORD
for ^in++++=for
Lizzie ^np+++??+=Lizzie
loved ^vbd+++xvbn+=loved
flowerspassionately ^jj++++=flowerspassionately;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
just ^rb+emph+++=just
then ^rn+tm+++=then
they ^pp3a+pp3+++=they
possessed ^vbd+++xvbnx+=possessed
a ^at++++=a
peculiar ^jj+atrb+++=peculiar
charm ^nn++++=charm
for ^in++++=for
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
particularly ^rb++++=particularly
captivating ^jj+++xvbg+=captivating
little ^ap++++=little
rose ^vbd+++xvbn+=rose
won ^vprf+++xvbn+=won
her ^pp$+pp3+++=her
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vprf+++xvbn+=made
herlong ^nn+++??+=herlong
for ^in++++=for
it ^pp3+it+++=it
with ^in++++=with
a ^at++++=a
longing ^jj+++xvbg+=longing
that ^dt+pdem+++=that
became ^vbd+++xvbn+=became
a ^at++++=a
temptation ^nn+nom+++=temptation
too ^ql++++=too
strong ^jj+atrb+++=strong
toresist ^nn+nom+++=toresist.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
so ^ql++++=so
perfect ^vb++++=perfect;
; ^zz++++=EXTRAWORD
so ^ql++++=so
like ^vb++++=like
a ^at++++=a
rosy ^jj+atrb+++=rosy
face ^nn++++=face
smiling ^vwbg+++xvbg+=smiling
out ^rp+pl+++=out
from ^in++++=from
thegreen ^vb+++xvbn+=thegreen
leaves ^nns++++=leaves,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
Lizzie ^np+++??+=Lizzie
could ^md+pos+++=could
Not ^xnot++not++=NOT
keep ^vb++++=keep
her ^pp$+pp3+++=her
hands ^nns++++=hands
off ^in+pl+++=off
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
andhaving ^xvbg+++xvbg+=andhaving
smelt ^vbd+++xvbn+=smelt,
, ^zz++++=EXTRAWORD
touched ^j+++xvbn+=touched,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
kissed ^vbd+++xvbn+=kissed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
suddenly ^rb++++=suddenly
broke ^vbd+++xvbn+=broke
the ^ati++++=the
stemand ^nn++++=stemand
hid ^vbd+++xvbn+=hid
it ^pp3+it+++=it
in ^in++++=in
her ^pp$+pp3+++=her
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
frightened ^j+++xvbn+=frightened
at ^rb++++=at
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done,
, ^zz++++=EXTRAWORD
shecrept ^j+++xvbn+=shecrept
back ^jjb++++=back
to ^in++++=to
her ^pp$+pp3+++=her
place ^nn++++=place
in ^in++++=in
the ^ati++++=the
hall ^nn++++=hall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sat ^vbd+++xvbn+=sat
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
burdened ^jj+atrb++xvbn+=burdened
withremorse ^nn+++??+=withremorse.
. ^zz++++=EXTRAWORD
A ^at++++=A
servant ^nn+nom+++=servant
came ^vbd+++xvbn+=came
just ^rb+emph+++=just
then ^rn+tm+++=then
to ^to++++=to
lead ^vbi++++=lead
her ^pp$+pp3+++=her
upstairs ^jjb++++=upstairs;
; ^zz++++=EXTRAWORD
for ^in++++=for
Miss ^npt++++=Miss
Belle ^np++++=Belle
wishedthe ^nn+++??+=wishedthe
hat ^nn++++=hat
altered ^vwbn+++xvbn+=altered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
must ^md+nec+++=must
give ^vb++++=give
directions ^nns+nom+++=directions.
. ^zz++++=EXTRAWORD
With ^in++++=With
her ^pp$+pp3+++=her
heart ^nn++++=heart
in ^in++++=in
aflutter ^jjr++++=aflutter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
pinker ^jjr+atrb+++=pinker
roses ^nns++++=roses
in ^in++++=in
her ^pp$+pp3+++=her
cheeks ^nns++++=cheeks
than ^in++++=than
the ^ati++++=the
one ^pn++++=one
in ^in++++=in
her ^pp$+pp3+++=her
pocket,lizzie ^nn+++??+=pocket,Lizzie
followed ^vbd+vprv++xvbn+=followed
to ^in++++=to
a ^at++++=a
handsome ^jj+atrb+++=handsome
room ^nn++++=room,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
a ^at++++=a
pretty ^jj+atrb+++=pretty
girl ^nn++++=girl
stood ^vbd+++xvbn+=stood
beforea ^nn+++??+=beforea
long ^rb++++=long
mirror ^nn++++=mirror
with ^in++++=with
the ^ati++++=the
hat ^nn++++=hat
in ^in++++=in
her ^pp$+pp3+++=her
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
" ^zz++++="Tell
tell ^vb++++=EXTRAWORD
Madame ^npt++++=Madame
Tifany ^np+++??+=Tifany
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
like ^vb++++=like
it ^pp3+it+++=it
at ^rb++++=at
all ^abn++++=all,
, ^zz++++=EXTRAWORD
for ^in++++=for
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=hasn't
n't ^xnot++not++0=EXTRAWORD
putin ^vb+++??+=putin
the ^ati++++=the
blue ^jj+atrb+++=blue
plume ^nn++++=plume
mamma ^npt++++=mamma
ordered ^vbd+vsua++xvbn+=ordered;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
rose ^vprf+++xvbnx+=rose-buds,
- ^zz++++=EXTRAWORD
buds ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
theyare ^nn+++??+=theyare
so ^ql+emph+++=so
common ^jj++++=common,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
the ^ati++++=the
young ^jj+atrb+++=young
lady ^nn++++=lady,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
dissatisfied ^jj+atrb+++=dissatisfied
tone ^nn++++=tone,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
shetwirled ^vbd+++xvbn+=shetwirled
the ^ati++++=the
hat ^nn++++=hat
about ^in+strn+++=about.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
miss ^npt++++=miss,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
all ^abn++++=all
Lizzie ^np+++??+=Lizzie
could ^md+pos+++=could
say ^vb+vpub+++=say;
; ^zz++++=EXTRAWORD
for ^in++++=for
She ^pp3a+pp3+++=SHE
considered ^vbd+vprv++xvbnx+=considered
that ^tht+vcmp+++=that
hatthe ^nn+++??+=hatthe
loveliest ^jjt+atrb+++=loveliest
thing ^nn++++=thing
a ^at++++=a
girl ^nn++++=girl
could ^md+pos+++=could
possibly ^rb++++=possibly
own ^ap++++=own.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
had ^vb+hv+aux++=had
better ^jjr++++=better
ask ^vb++++=ask
your ^pp$+pp2+++=your
mamma ^npt++++=mamma
about ^in++++=about
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
Miss ^npt++++=Miss
Belle ^np++++=Belle,
, ^zz++++=EXTRAWORD
before ^in++++=before
you ^pp2+pp2+++=you
giveany ^nn+++??+=giveany
orders ^nns++++=orders.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
will ^md+prd+++=will
be ^vb+be+vrb++=be
up ^rp++++=up
in ^in++++=in
a ^ap++++=a
few ^ap"++++=few
moments ^nns+nom+++=moments,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
girl ^nn++++=girl
can ^md+pos+++=can
wait,"put ^vb+++??+=wait,"put
in ^in++++=in
a ^at++++=a
maid ^nn++++=maid,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
sewing ^nn++++=sewing
in ^in++++=in
the ^ati++++=the
ante ^nn+++??+=ante-room.
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
suppose ^vb+vprv+tht0++=suppose
I ^pp1a+pp1+++=I
must ^md+nec+++=must;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
Will ^md+prd+++=WON'T
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
roses ^nns++++=roses,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
answered ^vbd+vpub++xvbn+=answered
Belle ^np++++=Belle,
, ^zz++++=EXTRAWORD
crossly.then ^j+++xvbn+=crossly.Then
she ^pp3a+pp3+++=she
glanced ^vbd+++xvbnx+=glanced
at ^in++++=at
Lizzie ^np+++??+=Lizzie,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub++xvbn+=said
more ^rbr++++=more
gently ^rb+cnj+++=gently,
, ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
look ^vb++++=look
verycold ^nn+++??+=verycold;
; ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
and ^cc+phrs+++=and
sit ^vb++++=sit
by ^in++++=by
the ^ati++++=the
fire ^nn++++=fire
while ^cs+sub+++=while
you ^pp2+pp2+++=you
wait ^vb++++=wait."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
afraid ^jj+pred+++=afraid
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
wet ^vb++++=wet
the ^ati++++=the
pretty ^jj+atrb+++=pretty
rug ^nn++++=rug,
, ^zz++++=EXTRAWORD
miss ^npt++++=miss;
; ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
feet ^nns++++=feet
are ^vb+ber+vrb++=are
sopping,"said ^nn+++??+=sopping,"said
Lizzie ^np+++??+=Lizzie,
, ^zz++++=EXTRAWORD
gratefully ^rb+cnj+++=gratefully,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
timidly ^jj++++=timidly.
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are!
! ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
wear ^vb++++=wear
rubber ^nn++++=rubber
boots ^nns++++=boots?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
got ^vprf+++xvbn+=got
any ^dti++++=any."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I'll
i ^pp1a+pp1+++=EXTRAWORD
'll ^md+prd+++0=EXTRAWORD
give ^vb++++=give
you ^pp2+pp2+++=you
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
hate ^nn++++=hate
them ^pp3o+pp3+++=them;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
I ^pp1a+pp1+++=I
never ^rb++++=never
go ^vb++++=go
out ^rp+pl+++=out
inwet ^jj+atrb++??+=inwet
weather ^nn++++=weather,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are
of ^in++++=of
no ^at++++=no
earthly ^jj+atrb+++=earthly
use ^nn++++=use
to ^in++++=to
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
Marie ^np++++=Marie,
, ^zz++++=EXTRAWORD
bring ^vb++++=bring
themhere ^nn+++??+=themhere;
; ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
be ^vb+be+vrb++=be
glad ^jj+pred+++=glad
to ^to+jcmp+++=to
get ^vbi++++=get
rid ^xvbn+++xvbn+=rid
of ^in++++=of
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
sure ^jj+pred+++=sure
they ^pp3a+pp3+++=they'll
'll ^md+prd+++0=EXTRAWORD
beuseful ^nn+nom+++=beuseful
to ^in++++=to
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
thank ^vb++++=thank
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
miss ^npt++++=miss!
! ^zz++++=EXTRAWORD
I ^np++++=I'd
had ^vb+hv+vrb++=EXTRAWORD
like ^in++++=like
them ^pp3o+pp3+++0='em
ever ^rb++++=ever
so ^ql++++=so
much ^ap++++=much,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
out ^rp+pl+++=out
in ^in++++=in
therain ^nn+++??+=therain
half ^abn++++=half
the ^ati++++=the
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
get ^vb++++=get
bad ^jj+atrb+++=bad
colds ^nns++++=colds
because ^cs+cos+++=because
my ^pp$+pp1+++=my
boots ^nns++++=boots
are ^vb+ber+vrb++=are
old,"said ^nn+++??+=old,"said
Lizzie ^np+++??+=Lizzie,
, ^zz++++=EXTRAWORD
smiling ^jj+++xvbg+=smiling
brightly ^rb++++=brightly
at ^in++++=at
the ^ati++++=the
thought ^nn+++xvbn+=thought
of ^in++++=of
the ^ati++++=the
welcome ^jj+atrb+++=welcome
gift ^nn++++=gift.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
think ^vb+vprv+tht0++=think
your ^pp$+pp2+++=your
mother ^nn++++=mother
would ^md+prd+++=would
get ^vb++++=get
you ^pp2+pp2+++=you
warmer ^jjr+atrb+++=warmer
things ^nns++++=things,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
beganbelle ^nn+++??+=beganBelle,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
found ^vbd+vprv+tht0+xvbn+=found
something ^pn++++=something
rather ^rb++++=rather
interesting ^jj++++=interesting
in ^in++++=in
the ^ati++++=the
shabby ^jj+atrb+++=shabby
girl,with ^nn+++??+=girl,with
shy ^jj+atrb+++=shy
bright ^jj+atrb+++=bright
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
curly ^jj+atrb+++=curly
hair ^nn++++=hair
bursting ^vwbg+++xvbg+=bursting
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
hood ^nn++++=hood.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=haven't
n't ^xnot++not++0=EXTRAWORD
got ^vprf+++xvbn+=got
any ^dti++++=any
mother ^nn++++=mother,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Lizzie ^np+++??+=Lizzie,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
pathetic ^jj+atrb+++=pathetic
glance ^nn++++=glance
ather ^jjr+atrb+++=ather
poor ^jj+atrb+++=poor
clothes ^nns++++=clothes.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
so ^ql++++=so
sorry ^uh++++=sorry!
! ^zz++++=EXTRAWORD
Have ^vb+hv+vrb++=Have
you ^pp2+pp2+++=you
brothers ^nns+nom+++=brothers
and ^cc++++=and
sisters ^nns+nom+++=sisters?"
