1 ^zz++++=1
the ^ati++++=the
more ^rbr++++=more
placid ^jj++++=placid
and ^cc++++=and
adipose ^nn+++??+=adipose
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Braddy ^np++++=Braddy,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known--behind
-- ^--+clp+++=EXTRAWORD
behind ^in+pl+++=EXTRAWORD
his ^pp$+pp3+++=his
back ^rp++++=back--in
-- ^--+clp+++=EXTRAWORD
in ^in++++=EXTRAWORD
the ^ati++++=the
rug ^nn++++=rug
department ^nn+nom+++=department
of ^in++++=of
the ^ati++++=the
Great ^jj+atrb+++=Great
Store ^nn++++=Store
as ^in++++=as
" ^zz++++="Ole
ole ^np++++=EXTRAWORD
Hippopotamus ^np+++??+=Hippopotamus."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
resented ^vprf+++xvbnx+=resented
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
the ^ati++++=the
veriest ^jjt+atrb+++=veriest
cash ^nn++++=cash
boy ^nn++++=boy
called ^vbd+++xvbn+=called
him ^pp3o+pp3+++=him
by ^in++++=by
this ^dt+dem+++=this
uncomplimentary ^jj+atrb+++=uncomplimentary
but ^cc+phrs+++=but
descriptive ^jj+atrb+++=descriptive
nickname ^nn++++=nickname
to ^in++++=to
his ^pp$+pp3+++=his
face ^nn++++=face,
, ^zz++++=EXTRAWORD
for ^in++++=for
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Braddy ^np++++=Braddy
was ^vbd+bedz+vrb++=was
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
person ^nn++++=person
who ^whp+rel+subj++=who
never ^rb++++=never
resents ^vbz++++=resents
anything ^pn++++=anything.
. ^zz++++=EXTRAWORD
" ^zz++++="Y'know,
y ^zz++++=EXTRAWORD
'know, ^nn+++??+=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lum ^np++++=Lum,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
remarked ^vbd+vpub++xvbnx+=remarked,
, ^zz++++=EXTRAWORD
crinkling ^nn+nom+++=crinkling
his ^pp$+pp3+++=his
pink ^jj+atrb+++=pink
brow ^nn++++=brow
in ^in++++=in
philosophic ^jj+atrb+++=philosophic
thought ^nn+++xvbn+=thought,
, ^zz++++=EXTRAWORD
" ^zz++++="sometimes
sometimes ^rb++++=EXTRAWORD
I ^pp1a+pp1+++=I
wish ^vb+vprv+tht0++=wish
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
drinking ^jj+atrb++xvbg+=drinking
man ^nn++++=man.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
minded ^jj+++xvbn+=minded
if ^cs+cnd+++=if
a ^at++++=a
man ^nn++++=man
took ^vbd+++xvbn+=took
a ^at++++=a
drink ^nn++++=drink.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
any ^dti++++=any
patience ^nn+nom+++=patience
with ^in++++=with
these ^dt+dem+++=these
here ^rn+pl+++=here
booze ^nn++++=booze
fighters ^nns+nom+++=fighters.
. ^zz++++=EXTRAWORD
No ^at++++=No.
. ^zz++++=EXTRAWORD
Enough ^dt++++=Enough
is ^vbz+bez+vrb++=is
enough ^qlp++++=enough,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
always ^rb++++=always
say ^vb+vpub+++=say.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
if ^cs+cnd+++=if
a ^at++++=a
fella ^nn++++=fella
wanted ^vbd+++xvbn+=wanted
to ^to+vcmp+++=to
take ^vbi++++=take
a ^at++++=a
drink ^nn++++=drink,
, ^zz++++=EXTRAWORD
outside ^in+cmpx+++=outside
of ^in"++++=of
business ^nns+nom+++=business
hours ^nns++++=hours,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
go ^vb++++=go
off ^in+pl+++=off
on ^in++++=on
a ^at++++=a
spree ^nn++++=spree
once ^rb+tm+++=once
in ^in++++=in
a ^at++++=a
while ^cs+sub+++=while--well,
-- ^--+clp+++=EXTRAWORD
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
saw ^vbd+vprv++xvbn+=saw
no ^at++++=no
harm ^nn++++=harm
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
often ^rb++++=often
wished ^vbd+vprv+tht0+xvbn+=wished
I ^pp1a+pp1+++=I
could ^md+pos+++=could
do ^vb+do+vrb++=do
it ^pp3+it+++=it
myself ^ppl+pp1+++=myself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
why ^wrb+who+++=why
the ^ati++++=the
dooce ^nn+++??+=dooce
did ^vbd+dod+vrb++=didn't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
inquired ^vbd+++xvbn+=inquired
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lum ^np++++=Lum.
. ^zz++++=EXTRAWORD
" ^zz++++="As
as ^in++++=EXTRAWORD
a ^at++++=a
matter ^nn++++=matter
of ^in++++=of
solid ^jj+atrb+++=solid
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
scared ^vpsv++agls+xvbnx+=scared
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
truth ^nn++++=truth.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
always ^rb++splt++=always
scared ^vpsv++agls+xvbnx+=scared
I ^pp1a+pp1+++0=I'd
'd ^md+prd+aux++=EXTRAWORD
get ^vb++++=get
pinched ^jj+++xvbn+=pinched
or ^cc++++=or
fall ^nn++++=fall
down ^rp++++=down
a ^at++++=a
manhole ^nn+++??+=manhole
or ^cc++++=or
something ^pn++++=something.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
did ^vbd+dod+aux++=did
have ^vb+hv+vrb++=have
much ^ap++++=much
nerve ^nn++++=nerve."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
an ^at++++=an
unusual ^jj+atrb+++=unusual
burst ^nn+++xvbn+=burst
of ^in++++=of
confidence ^nn+nom+++=confidence
on ^in+cmpx+++=on
the ^in"++++=the
part ^in"++++=part
of ^in"++++=of
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Braddy ^np++++=Braddy,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
moved ^vprf+++xvbnx+=moved
into ^in++++=into
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lum ^np++++=Lum's
's ^$++++=EXTRAWORD
neighborhood ^nn+nom+++=neighborhood
a ^at++++=a
month ^nn++++=month
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
played ^vprf+++xvbnx+=played
a ^at++++=a
listening ^jj+++xvbg+=listening
r ^zz++++=r
le ^&fw++++=le
in ^in++++=in
his ^pp$+pp3+++=his
conferences ^nns+nom+++=conferences
with ^in++++=with
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lum ^np++++=Lum,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
a ^at++++=a
thin ^jj++++=thin,
, ^zz++++=EXTRAWORD
waspy ^nn+++??+=waspy
man ^nn++++=man
of ^in++++=of
forty ^cd++++=forty-four,
- ^zz++++=EXTRAWORD
four ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
ambush ^nn+++??+=ambush
behind ^in+pl+++=behind
a ^at++++=a
fierce ^jj+atrb+++=fierce
pair ^nn++++=pair
of ^in++++=of
mustachios ^nns+++??+=mustachios.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Braddy ^np++++=Braddy,
, ^zz++++=EXTRAWORD
essence ^nn+nom+++=essence
of ^in++++=of
diffidence ^nn+nom+++=diffidence
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
confined ^vprf+++xvbnx+=confined
his ^pp$+pp3+++=his
remarks ^nns++++=remarks
to ^to++++=to
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
tell ^vb++++=tell
me ^pp1o+pp1+++=me!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
or ^cc++++=or,
, ^zz++++=EXTRAWORD
occasionally ^rb+cnj+++=occasionally,
, ^zz++++=EXTRAWORD
" ^zz++++="Ain't
ai ^vb+be+++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it
the ^ati++++=the
truth ^nn++++=truth?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
manner ^nn++++=manner
of ^in++++=of
a ^at++++=a
Greek ^jj+atrb+++=Greek
chorus ^nn++++=chorus.
. ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
Now ^rn+tm+++=Now
inspired ^jj+++xvbn+=inspired,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
discovery ^nn+nom+++=discovery
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
the ^ati++++=the
owner ^nn++++=owner
of ^in++++=of
a ^at++++=a
priceless ^jj+atrb+++=priceless
bottle ^nn++++=bottle
of ^in++++=of
spirits ^nns++++=spirits,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
unbosomed ^vbd+++xvbnx+=unbosomed
himself ^ppl+pp3+++=himself
to ^in++++=to
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lum ^np++++=Lum.
. ^zz++++=EXTRAWORD
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lum ^np++++=Lum
made ^vbd+++xvbn+=made
answer ^nn++++=answer.
. ^zz++++=EXTRAWORD
" ^zz++++="Scared
scared ^vbd+++xvbn+=EXTRAWORD
to ^to++++=to
drink ^vbi++++=drink?
? ^zz++++=EXTRAWORD
Scared ^j+++xvbn+=Scared
of ^in++++=of
anything ^pn++++=anything?
? ^zz++++=EXTRAWORD
Bosh ^np+++??+=Bosh!
! ^zz++++=EXTRAWORD
Tommyrot ^np+++??+=Tommyrot!
! ^zz++++=EXTRAWORD
Everybody ^np++++=Everybody's
's ^$++++=EXTRAWORD
got ^vbd+++xvbn+=got
nerve ^nn++++=nerve.
. ^zz++++=EXTRAWORD
Only ^rb+down+++=Only
some ^dti++++=some
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
use ^vb++++=use
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Lum ^np++++=Lum,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
owned ^vbd+++xvbn+=owned
a ^at++++=a
book ^nn++++=book
called ^vbd+++xvbn+=called
" ^zz++++="The
the ^ati++++=EXTRAWORD
Power ^nn++++=Power
House ^nn++++=House
in ^in++++=in
Man ^np++++=Man's
's ^$++++=EXTRAWORD
Mind ^nn++++=Mind,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
who ^whp+rel+subj++=who
subscribed ^vbd+++xvbn+=subscribed
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
quoted ^vpsv++agls+xvbn+=quoted
from ^in+strn+++=from,
, ^zz++++=EXTRAWORD
a ^at++++=a
pamphlet ^nn+nom+++=pamphlet
for ^in++++=for
successful ^jj+atrb+++=successful
men ^nns++++=men,
, ^zz++++=EXTRAWORD
called ^j+++xvbn+=called
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
Can ^md+pos+++=Can
and ^cc++++=and
I ^pp1a+pp1+++=I
Will ^md+prd+++=Will."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Mebbe,"
mebbe ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Braddy ^np++++=Braddy.
. ^zz++++=EXTRAWORD
" ^zz++++="But
but ^cc++++=EXTRAWORD
the ^ati++++=the
first ^od++++=first
and ^cc++++=and
only ^rb+down+++=only
time ^nn++++=time
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
a ^at++++=a
drink ^nn++++=drink
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
a ^at++++=a
bad ^nn++++=bad
scare ^vb++++=scare.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
a ^at++++=a
young ^jj+atrb+++=young
feller ^nn++++=feller,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
starting ^nvbg+++xvbg+=starting
in ^in++++=in
the ^ati++++=the
rugs ^nns++++=rugs
in ^in++++=in
the ^ati++++=the
Great ^jj+atrb+++=Great
Store ^nn++++=Store,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
out ^rp+pl+++=out
with ^in++++=with
the ^ati++++=the
gang ^nn++++=gang
one ^cd1++++=one
night ^nn++++=night,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
just ^rb+emph+++=just
to ^to++++=to
be ^vbi++vrb++=be
smart ^jj+pred+++=smart,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
orders ^nns++++=orders
beer ^nn++++=beer.
