Belle ^np++++=Belle
with ^in++++=with
age ^nn++++=age.
. ^zz++++=EXTRAWORD
At ^in++++=At
night ^nn++++=night
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
returned ^vbd+++xvbnx+=returned
to ^in++++=to
his ^pp$+pp3+++=his
home ^nr++++=home
he ^pp3a+pp3+++=he
donned ^vwbn+++xvbn+=donned
another ^ppls++++=another
black ^np++++=black
alpaca ^nn+++??+=alpaca
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
evening ^nn++++=evening
he ^pp3a+pp3+++=he
pressed ^vbd+++xvbnx+=pressed
the ^ati++++=the
clothes ^nns++++=clothes
worn ^vbd+++xvbn+=worn
in ^in++++=in
the ^ati++++=the
streets ^nns++++=streets.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
invented ^vprf+++xvbnx+=invented
an ^at++++=an
arrangement ^nn+nom+++=arrangement
of ^in++++=of
boards ^nns++++=boards
for ^in++++=for
the ^ati++++=the
purpose ^nn++++=purpose.
. ^zz++++=EXTRAWORD
The ^ati++++=The
trousers ^nns+nom+++=trousers
to ^in++++=to
his ^pp$+pp3+++=his
street ^nn++++=street
suit ^nn++++=suit
were ^vbd+bed+aux++=were
placed ^vpsv++agls+xvbnx+=placed
between ^in++++=between
the ^ati++++=the
boards ^nns++++=boards
and ^cc++++=and
the ^ati++++=the
boards ^nns++++=boards
were ^vbd+bed+aux++=were
clamped ^vpsv++agls+xvbnx+=clamped
together ^nn+nom+++=together
with ^in++++=with
heavy ^jj+atrb+++=heavy
screws ^nns++++=screws.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
morning ^nn++++=morning
he ^pp3a+pp3+++=he
wiped ^vbd+++xvbnx+=wiped
the ^ati++++=the
boards ^nns++++=boards
with ^in++++=with
a ^at++++=a
damp ^jj+atrb+++=damp
cloth ^nn++++=cloth
and ^cc++++=and
stood ^vbd+++xvbn+=stood
them ^pp3o+pp3+++=them
upright ^jj++++=upright
behind ^in+pl+++=behind
the ^ati++++=the
dining ^jj+atrb++xvbg+=dining
room ^nn++++=room
door ^nn++++=door.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
moved ^vpsv++agls+xvbnx+=moved
during ^in++++=during
the ^ati++++=the
day ^nn++++=day
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
speechless ^jj+pred+++=speechless
with ^in++++=with
anger ^nn++++=anger
and ^cc++++=and
did ^vbd+dod+aux++=did
not ^xnot++not++=not
recover ^vb++++=recover
his ^pp$+pp3+++=his
equilibrium ^nn++++=equilibrium
for ^in++++=for
a ^at++++=a
week ^nn++++=week.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bank ^nn++++=bank
cashier ^nn++++=cashier
was ^vbd+bedz+vrb++=was
a ^rb++++=a
little ^rb"++++=little
bully ^nn++++=bully
and ^cc++++=and
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid
of ^in++++=of
his ^pp$+pp3+++=his
daughter ^nn+nom+++=daughter.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
realized ^vbd+vprv++xvbnx+=realized,
, ^zz++++=EXTRAWORD
knew ^j+++xvbn+=knew
the ^ati++++=the
story ^nn++++=story
of ^in++++=of
his ^pp$+pp3+++=his
brutal ^jj+atrb+++=brutal
treatment ^nn+nom+++=treatment
of ^in++++=of
the ^ati++++=the
girl ^nn++++=girl's
's ^$++++=EXTRAWORD
mother ^nn++++=mother
and ^cc++++=and
hated ^jj+++xvbn+=hated
him ^pp3o+pp3+++=him
for ^in++++=for
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day
she ^pp3a+pp3+++=she
went ^vbd+++xvbnx+=went
home ^nr++++=home
at ^in++++=at
noon ^nn++++=noon
and ^cc++++=and
carried ^vbd+++xvbn+=carried
a ^at++++=a
handful ^nn+nom+++=handful
of ^in++++=of
soft ^jj+atrb+++=soft
mud ^nn++++=mud,
, ^zz++++=EXTRAWORD
taken ^xvbn+++xvbn+=taken
from ^in++++=from
the ^ati++++=the
road ^nn++++=road,
, ^zz++++=EXTRAWORD
into ^in++++=into
the ^ati++++=the
house ^nn++++=house.
. ^zz++++=EXTRAWORD
With ^in++++=With
the ^ati++++=the
mud ^nn++++=mud
she ^pp3a+pp3+++=she
smeared ^vbd+++xvbnx+=smeared
the ^ati++++=the
face ^nn++++=face
of ^in++++=of
the ^ati++++=the
boards ^nns++++=boards
used ^vwbn+++xvbn+=used
for ^in++++=for
the ^ati++++=the
pressing ^jj+++xvbg+=pressing
of ^in++++=of
trousers ^nns+nom+++=trousers
and ^cc++++=and
then ^rn+tm+++=then
went ^vbd+++xvbn+=went
back ^jjb++++=back
to ^in++++=to
her ^pp$+pp3+++=her
work ^nn++++=work
feeling ^xvbg+++xvbg+=feeling
relieved ^vprf+++xvbn+=relieved
and ^cc++++=and
happy ^jj++++=happy.
. ^zz++++=EXTRAWORD
Belle ^np++++=Belle
Carpenter ^nn+nom+++=Carpenter
occasionally ^rb++++=occasionally
walked ^vbd+++xvbn+=walked
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening
with ^in++++=with
George ^np++++=George
Willard ^np+++??+=Willard,
, ^zz++++=EXTRAWORD
a ^at++++=a
reporter ^nn+nom+++=reporter
on ^in++++=on
the ^ati++++=the
Winesburg ^np+++??+=Winesburg
Eagle ^nn++++=Eagle.
. ^zz++++=EXTRAWORD
Secretly ^rb++++=Secretly
she ^pp3a+pp3+++=she
loved ^vbd+++xvbnx+=loved
another ^dt++++=another
man ^nn++++=man,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
love ^nn++++=love
affair ^nn++++=affair,
, ^zz++++=EXTRAWORD
about ^in++++=about
which ^whp+rel+pied++=which
no ^at++++=no
one ^cd1++++=one
knew ^vbd+vprv++xvbn+=knew,
, ^zz++++=EXTRAWORD
caused ^j+++xvbn+=caused
her ^pp$+pp3+++=her
much ^ap++++=much
anxiety ^nn++++=anxiety.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
in ^in++++=in
love ^nn++++=love
with ^in++++=with
Ed ^np++++=Ed
Handby ^np+++??+=Handby,
, ^zz++++=EXTRAWORD
bartender ^jjr++++=bartender
in ^in++++=in
Ed ^np++++=Ed
Griffith ^np++++=Griffith's
's ^$++++=EXTRAWORD
Saloon ^nn++++=Saloon,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
went ^vbd+++xvbn+=went
about ^in+ppvb+++=about
with ^in++++=with
the ^ati++++=the
young ^jj+atrb+++=young
reporter ^nn+nom+++=reporter
as ^in++++=as
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
relief ^nn++++=relief
to ^in++++=to
her ^pp$+pp3+++=her
feelings ^nns+nom+++=feelings.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=did
not ^xnot++not++=not
think ^vb+vprv+++=think
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
station ^npl+nom+++=station
in ^in++++=in
life ^nn++++=life
would ^md+prd+++=would
permit ^vb++++=permit
her ^pp3o+pp3+++=her
to ^to++++=to
be ^vbi+vbi+aux++=be
seen ^vpsv++agls+xvbnx+=seen
in ^in++++=in
the ^ati++++=the
company ^nn++++=company
of ^in++++=of
the ^ati++++=the
bartender ^jjr++++=bartender,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
walked ^vbd+++xvbnx+=walked
about ^in++++=about
under ^in++++=under
the ^ati++++=the
trees ^nns++++=trees
with ^in++++=with
George ^np++++=George
Willard ^np+++??+=Willard
and ^cc++++=and
let ^vb+++xvbn+=let
him ^pp3o+pp3+++=him
kiss ^vb++++=kiss
her ^pp$+pp3+++=her
to ^to++++=to
relieve ^vbi++++=relieve
a ^at++++=a
longing ^jj+++xvbg+=longing
that ^dt+pdem+++=that
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
insistent ^jj++++=insistent
in ^in++++=in
her ^pp$+pp3+++=her
nature ^nn++++=nature.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
felt ^vbd+vprv++xvbnx+=felt
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
could ^md+pos+++=could
keep ^vb++++=keep
the ^ati++++=the
younger ^jjr+atrb+++=younger
man ^nn++++=man
within ^in++++=within
bounds ^nns++++=bounds.
. ^zz++++=EXTRAWORD
About ^in++++=About
Ed ^np++++=Ed
Handby ^np+++??+=Handby
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
somewhat ^rb+down+++=somewhat
uncertain ^jj+pred+++=uncertain.
. ^zz++++=EXTRAWORD
Handby ^np+++??+=Handby,
, ^zz++++=EXTRAWORD
the ^ati++++=the
bartender ^jjr++++=bartender,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
tall ^jj++++=tall
broad ^jj++++=broad-shouldered
- ^zz++++=EXTRAWORD
shouldered ^vbd+++xvbn+=EXTRAWORD
man ^nn++++=man
of ^in++++=of
thirty ^cd++++=thirty
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
in ^in++++=in
a ^at++++=a
room ^nn++++=room
upstairs ^rn+pl+++=upstairs
above ^jjb++++=above
Griffith ^np++++=Griffith's
's ^$++++=EXTRAWORD
saloon ^nn++++=saloon.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
fists ^nns++++=fists
were ^vbd+bed+vrb++=were
large ^jj+pred+++=large
and ^cc++++=and
his ^pp$+pp3+++=his
eyes ^nns++++=eyes
unusually ^rb++++=unusually
small ^jj++++=small
but ^cc++++=but
his ^pp$+pp3+++=his
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
though ^cs+sub+++=though
striving ^nvbg+++xvbg+=striving
to ^to++++=to
conceal ^vbi++++=conceal
the ^ati++++=the
power ^nn++++=power
back ^jjb++++=back
of ^in++++=of
his ^pp$+pp3+++=his
fists ^nns++++=fists,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
soft ^jj+pred+++=soft
and ^cc+phrs+++=and
quiet ^jj++++=quiet.
. ^zz++++=EXTRAWORD
At ^rb++++=At
twenty ^cd++++=twenty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
the ^ati++++=the
bartender ^jjr++++=bartender
had ^vbd+hvd+aux++=had
inherited ^vprf+++xvbnx+=inherited
a ^at++++=a
large ^jj+atrb+++=large
farm ^nn++++=farm
from ^in++++=from
an ^at++++=an
uncle ^nn++++=uncle
in ^in++++=in
Indiana ^np+++??+=Indiana.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
sold ^vbd+++xvbn+=sold
the ^ati++++=the
farm ^npl++++=farm
brought ^vbd+++xvbn+=brought
in ^rb+phrv+++=in
eight ^cd++++=eight
thousand ^cd++++=thousand
dollars ^nns++++=dollars
which ^whp+rel+obj++=which
Ed ^np++++=Ed
spent ^vbd+++xvbn+=spent
in ^in++++=in
six ^cd++++=six
months ^nns++++=months.
. ^zz++++=EXTRAWORD
Going ^vbg+++xvbg+=Going
to ^in++++=to
Sandusky ^np+++??+=Sandusky,
, ^zz++++=EXTRAWORD
on ^rp++++=on
Lake ^npl++++=Lake
Erie ^np+++??+=Erie,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
an ^at++++=an
orgy ^nn++++=orgy
of ^in++++=of
dissipation ^nn+nom+++=dissipation,
, ^zz++++=EXTRAWORD
the ^ati++++=the
story ^nn++++=story
of ^in++++=of
which ^whp+rel+pied++=which
afterward ^rb++++=afterward
filled ^vbd+++xvbn+=filled
his ^pp$+pp3+++=his
home ^nr++++=home
town ^nn++++=town
with ^in++++=with
awe ^nn++++=awe.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
and ^cc++++=and
there ^rn+pl+++=there
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
throwing ^vbg+++xvbg+=throwing
the ^ati++++=the
money ^nn++++=money
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
driving ^nvbg+++xvbg+=driving
carriages ^nns+nom+++=carriages
through ^in++++=through
the ^ati++++=the
streets ^nns++++=streets,
, ^zz++++=EXTRAWORD
giving ^vbg+++xvbg+=giving
wine ^nn++++=wine
parties ^nns++++=parties
to ^in++++=to
crowds ^nns++++=crowds
of ^in++++=of
men ^nns++++=men
and ^cc++++=and
women ^nns++++=women,
, ^zz++++=EXTRAWORD
playing ^vbg+++xvbg+=playing
cards ^nns++++=cards
for ^in++++=for
high ^jj+atrb+++=high
stakes ^nns++++=stakes
and ^cc++++=and
keeping ^jj+atrb++xvbg+=keeping
mistresses ^nns+nom+++=mistresses
whose ^whp+rel+obj++=whose
wardrobes ^np++++=wardrobes
cost ^nn++++=cost
him ^pp3o+pp3+++=him
hundreds ^cds++++=hundreds
of ^in++++=of
dollars ^nns++++=dollars.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
night ^nn++++=night
at ^in++++=at
a ^at++++=a
resort ^nn++++=resort
called ^vbd+++xvbn+=called
Cedar ^nn++++=Cedar
Point ^nn++++=Point
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
into ^in+ppvb+++=into
a ^at++++=a
fight ^nn++++=fight
and ^cc++++=and
ran ^vbd+++xvbn+=ran
amuck ^nn+++??+=amuck
like ^in++++=like
a ^at++++=a
wild ^jj+atrb+++=wild
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
With ^in++++=With
his ^pp$+pp3+++=his
fist ^nn++++=fist
he ^pp3a+pp3+++=he
broke ^vbd+++xvbnx+=broke
a ^at++++=a
large ^jj+atrb+++=large
mirror ^nn++++=mirror
in ^in++++=in
the ^ati++++=the
wash ^vb++++=wash-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
of ^in++++=of
a ^at++++=a
hotel ^nn++++=hotel
and ^cc++++=and
later ^rbr+tm+++=later
went ^vbd+++xvbn+=went
about ^in+ppvb+++=about
smashing ^jj+atrb+++=smashing
windows ^nns++++=windows
and ^cc++++=and
breaking ^nvbg+++xvbg+=breaking
chairs ^nns++++=chairs
in ^in++++=in
dance ^nn++++=dance
halls ^nns++++=halls
for ^in++++=for
the ^ati++++=the
joy ^nn++++=joy
of ^in++++=of
hearing ^xvbg+++xvbg+=hearing
the ^ati++++=the
glass ^nn++++=glass
rattle ^vb++++=rattle
on ^in++++=on
the ^ati++++=the
floor ^nn++++=floor
and ^cc++++=and
seeing ^vbg+vprv++xvbg+=seeing
the ^ati++++=the
terror ^nn++++=terror
in ^in++++=in
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
clerks ^nns++++=clerks,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
from ^in+ppvb+++=from
Sandusky ^np+++??+=Sandusky
to ^to++++=to
spend ^vbi++++=spend
the ^ati++++=the
evening ^nn++++=evening
at ^in++++=at
the ^ati++++=the
resort ^nn++++=resort
with ^in++++=with
their ^pp$+pp3+++=their
sweethearts ^nns+++??+=sweethearts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
affair ^nn++++=affair
between ^in++++=between
Ed ^np++++=Ed
Handby ^np+++??+=Handby
and ^cc++++=and
Belle ^np++++=Belle
Carpenter ^nn+nom+++=Carpenter
on ^in++++=on
the ^ati++++=the
surface ^nn++++=surface
amounted ^vbd+++xvbn+=amounted
to ^in++++=to
nothing ^pn++++=nothing.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
succeeded ^vprf+++xvbnx+=succeeded
in ^in++++=in
spending ^xvbg+++xvbg+=spending
but ^cc++++=but
one ^cd1++++=one
evening ^nn++++=evening
in ^in++++=in
her ^pp$+pp3+++=her
company ^nn++++=company.
. ^zz++++=EXTRAWORD
On ^in++++=On
that ^dt+dem+++=that
evening ^nn++++=evening
he ^pp3a+pp3+++=he
hired ^vbd+++xvbnx+=hired
a ^at++++=a
horse ^nn++++=horse
and ^cc++++=and
buggy ^nn+++??+=buggy
at ^rb++++=at
Wesley ^np++++=Wesley
Moyer ^np++++=Moyer's
's ^$++++=EXTRAWORD
livery ^nn++++=livery
barn ^nn++++=barn
and ^cc++++=and
took ^vbd+++xvbn+=took
her ^pp$+pp3+++=her
for ^in++++=for
a ^at++++=a
drive ^nn++++=drive.
. ^zz++++=EXTRAWORD
The ^ati++++=The
conviction ^nn+nom+++=conviction
that ^tht+ncmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
the ^ati++++=the
woman ^nn++++=woman
his ^pp$+pp3+++=his
nature ^nn++++=nature
demanded ^vbd+vsua++xvbn+=demanded
and ^cc++++=and
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
must ^md+nec+++=must
get ^vb++++=get
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
settled ^j+++xvbn+=settled
upon ^in++++=upon
him ^pp3o+pp3+++=him
and ^cc++++=and
he ^pp3a+pp3+++=he
told ^vbd+vpub+tht0+xvbnx+=told
her ^pp$+pp3+++=her
of ^in++++=of
his ^pp$+pp3+++=his
desires ^nns++++=desires.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bartender ^jjr++++=bartender
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
marry ^vbi++++=marry
and ^cc++++=and
to ^to++++=to
begin ^vbi++++=begin
trying ^vbg+++xvbg+=trying
to ^to+vcmp+++=to
earn ^vbi++++=earn
money ^nn++++=money
for ^in++++=for
the ^ati++++=the
support ^nn++++=support
of ^in++++=of
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
so ^rb+emph+++=so
simple ^jj++++=simple
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
nature ^nn++++=nature
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
it ^pp3+it+++=it
difficult ^jj++++=difficult
to ^to+jcmp+++=to
explain ^vbi+vpub+tht0++=explain
his ^pp$+pp3+++=his
intentions ^nns+nom+++=intentions.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
body ^nn++++=body
ached ^vbd+++xvbn+=ached
with ^in++++=with
physical ^jj++++=physical
longing ^jj+++xvbg+=longing
and ^cc++++=and
with ^in++++=with
his ^pp$+pp3+++=his
body ^nn++++=body
he ^pp3a+pp3+++=he
expressed ^vbd+vpub+tht0+xvbnx+=expressed
himself ^ppl+pp3+++=himself.
. ^zz++++=EXTRAWORD
Taking ^vbg+++xvbg+=Taking
the ^ati++++=the
milliner ^nn++++=milliner
into ^in++++=into
his ^pp$+pp3+++=his
arms ^nns++++=arms
and ^cc++++=and
holding ^nvbg+++xvbg+=holding
her ^pp3o+pp3+++=her
tightly ^rb+cnj+++=tightly,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
her ^pp$+pp3+++=her
struggles ^vbz++++=struggles,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
kissed ^vbd+++xvbnx+=kissed
her ^pp$+pp3+++=her
until ^cs+sub+++=until
she ^pp3a+pp3+++=she
became ^vbd+++xvbnx+=became
helpless ^jj++++=helpless.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
brought ^vbd+++xvbnx+=brought
her ^pp$+pp3+++=her
back ^jjb++++=back
to ^in++++=to
town ^nn++++=town
and ^cc++++=and
let ^vb+++xvbn+=let
her ^pp$+pp3+++=her
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
buggy ^nn+++??+=buggy.
. ^zz++++=EXTRAWORD
" ^zz++++="When
when ^wrb+who+++=EXTRAWORD
I ^pp1a+pp1+++=I
get ^vb++++=get
hold ^nn++++=hold
of ^in++++=of
you ^pp2+pp2+++=you
again ^rb+tm+++=again
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
not ^xnot++not++=not
let ^vb+++xvbn+=let
you ^pp2+pp2+++=you
go ^vb++++=go.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
play ^vb++++=play
with ^in++++=with
me ^pp1o+pp1+++=me,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
declared ^vbd+vpub++xvbnx+=declared
as ^ql++++=as
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
to ^to++++=to
drive ^vbi++++=drive
away ^rp+pl+++=away.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
jumping ^jj+++xvbg+=jumping
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
buggy ^nn+++??+=buggy,
