Chapter ^nn++++=CHAPTER
but ^cc+cls+++=but
the ^ati++++=the
champagne ^nn++++=champagne
flowed ^vbd+++xvbn+=flowed
like ^in++++=like
water ^nn++++=water.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
knew ^vbd+vprv++xvbn+=knew
what ^wdt+who+whcl++=what
his ^pp$+pp3+++=his
circumstances ^nns+nom+++=circumstances
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
what ^wdt+who+++=what
his ^pp$+pp3+++=his
income ^nn++++=income
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
nobody ^pn++++=nobody
dared ^vbd+++xvbn+=dared
to ^to+vcmp+++=to
question ^nn+nom+++=question
him ^pp3o+pp3+++=him
about ^rb++++=about
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vb+hv+vrb++=had
a ^at++++=a
collection ^nn+nom+++=collection
of ^in++++=of
books ^nns++++=books,
, ^zz++++=EXTRAWORD
consisting ^vbg+++xvbg+=consisting
chiefly ^rb++++=chiefly
of ^in++++=of
works ^nns++++=works
on ^in++++=on
military ^jj+atrb+++=military
matters ^nns+nom+++=matters
and ^cc++++=and
a ^ap++++=a
few ^ap"++++=few
novels ^nns++++=novels.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
willingly ^rb++++=willingly
lent ^np+++xvbn+=lent
them ^pp3o+pp3+++=them
to ^in++++=to
us ^pp1o+pp1+++=us
to ^to++++=to
read ^vbn+vprv++xvbn+=read,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
never ^rb++++=never
asked ^vbd+vsua++xvbn+=asked
for ^in+ppvb+++=for
them ^pp3o+pp3+++=them
back ^jjb++++=back;
; ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
never ^rb++++=never
returned ^vbd+++xvbn+=returned
to ^in++++=to
the ^ati++++=the
owner ^nn++++=owner
the ^ati++++=the
books ^nns++++=books
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
lent ^vpsv++agls+xvbnx+=lent
to ^in++++=to
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
principal ^jjb+atrb+++=principal
amusement ^nn+nom+++=amusement
was ^vbd+bedz+aux++=was
shooting ^vbg+++xvbgx+=shooting
with ^in++++=with
a ^at++++=a
pistol ^nn++++=pistol.
. ^zz++++=EXTRAWORD
The ^ati++++=The
walls ^nns++++=walls
of ^in++++=of
his ^pp$+pp3+++=his
room ^nn++++=room
were ^vbd+bed+aux++=were
riddled ^vpsv++agls+xvbnx+=riddled
with ^in++++=with
bullets ^nns+nom+++=bullets,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
were ^vbd+bed+vrb++=were
as ^ql++++=as
full ^jj++++=full
of ^in++++=of
holes ^nns++++=holes
as ^in++++=as
a ^at++++=a
honeycomb ^nn+++??+=honeycomb.
. ^zz++++=EXTRAWORD
A ^at++++=A
rich ^jj+atrb+++=rich
collection ^nn+nom+++=collection
of ^in++++=of
pistols ^nns++++=pistols
was ^vbd+bedz+vrb++=was
the ^ati++++=the
only ^ap+down+++=only
luxury ^nn++++=luxury
in ^in++++=in
the ^ati++++=the
humble ^jj+atrb+++=humble
cottage ^nn+nom+++=cottage
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
lived ^vbd+++xvbnx+=lived.
. ^zz++++=EXTRAWORD
The ^ati++++=The
skill ^nn++++=skill
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
acquired ^vprf+++xvbnx+=acquired
with ^in++++=with
his ^pp$+pp3+++=his
favorite ^jj+atrb+++=favorite
weapon ^nn++++=weapon
was ^vbd+bedz+vrb++=was
simply ^rb++++=simply
incredible ^jj+pred+++=incredible:
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
offered ^vprf+++xvbnx+=offered
to ^to++++=to
shoot ^vbi++++=shoot
a ^at++++=a
pear ^nn++++=pear
off ^in+pl+++=off
somebody ^pn++++=somebody's
's ^vbz+bez+vrb++0=EXTRAWORD
forage ^nn++++=forage-cap,
- ^zz++++=EXTRAWORD
cap ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
a ^at++++=a
man ^nn++++=man
in ^in++++=in
our ^pp$+pp1+++=our
regiment ^nn+nom+++=regiment
would ^md+prd+++=would
have ^vb+hv+aux++=have
hesitated ^vprf+++xvbnx+=hesitated
to ^to+vcmp+++=to
place ^vbi++++=place
the ^ati++++=the
object ^nn++++=object
upon ^in++++=upon
his ^pp$+pp3+++=his
head ^nn++++=head.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
conversation ^nn+nom+++=conversation
often ^rb++++=often
turned ^vbd+++xvbn+=turned
upon ^in++++=upon
duels ^nns+++??+=duels.
. ^zz++++=EXTRAWORD
Silvio ^np++++=Silvio--so
-- ^--+clp+++=EXTRAWORD
so ^ql++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
call ^vb++++=call
him ^pp3o+pp3+++=him-never
- ^zz++++=EXTRAWORD
never ^rb++++=EXTRAWORD
joined ^vbd+++xvbn+=joined
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
asked ^vbd+vsua++xvbn+=asked
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
fought ^vprf+++xvbnx+=fought,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
dryly ^rb++++=dryly
replied ^vbd+vpub++xvbn+=replied
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
entered ^vbd+++xvbnx+=entered
into ^in+ppvb+++=into
no ^at++++=no
particulars ^nns++++=particulars,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
evident ^jj+pred+++=evident
that ^tht+jcmp+++=that
such ^abl++++=such
questions ^nns+nom+++=questions
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
to ^in++++=to
his ^pp$+pp3+++=his
liking ^nvbg+++xvbg+=liking.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
conclusion ^nn++++=conclusion
that ^tht+ncmp+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
upon ^in++++=upon
his ^pp$+pp3+++=his
conscience ^nn+nom+++=conscience
the ^ati++++=the
memory ^nn++++=memory
of ^in++++=of
some ^dti++++=some
unhappy ^jj+atrb+++=unhappy
victim ^nn++++=victim
of ^in++++=of
his ^pp$+pp3+++=his
terrible ^jj+atrb+++=terrible
skill ^nn++++=skill.
. ^zz++++=EXTRAWORD
Moreover ^nn+nom+++=Moreover,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
never ^rb++++=never
entered ^vbd+++xvbn+=entered
into ^in+ppvb+++=into
the ^ati++++=the
head ^nn++++=head
of ^in++++=of
any ^dti++++=any
of ^in++++=of
us ^pp1o+pp1+++=us
to ^to++++=to
suspect ^vbi+vprv+++=suspect
him ^pp3o+pp3+++=him
of ^in++++=of
anything ^pn++++=anything
like ^in++++=like
cowardice ^nn++++=cowardice.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
are ^vb+ber+vrb++=are
persons ^nns++++=persons
whose ^whp+rel+obj++=whose
mere ^jjb+atrb+++=mere
look ^nn++++=look
is ^vbz+bez+vrb++=is
sufficient ^jj+pred+++=sufficient
to ^to+jcmp+++=to
repel ^vbi++++=repel
such ^abl++++=such
a ^at++++=a
suspicion ^nn++++=suspicion.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
an ^at++++=an
unexpected ^jj+atrb+++=unexpected
incident ^nn++++=incident
occurred ^vbd+++xvbn+=occurred
which ^whp+who+++=which
astounded ^jj+++xvbn+=astounded
us ^pp1o+pp1+++=us
all ^rb++++=all.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day,
, ^zz++++=EXTRAWORD
about ^in++++=about
ten ^cd++++=ten
of ^in++++=of
our ^pp$+pp1+++=our
officers ^nns+nom+++=officers
dined ^vbd+++xvbn+=dined
with ^in++++=with
Silvio ^np++++=Silvio.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
drank ^vbd+++xvbnx+=drank
as ^in++++=as
usual ^jj++++=usual,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+aux++=is
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
dinner ^nn++++=dinner
we ^pp1a+pp1+++=we
asked ^vbd+vsua+tht0+xvbn+=asked
our ^pp$+pp1+++=our
host ^nn++++=host
to ^to++++=to
hold ^vbi+vprv+++=hold
the ^ati++++=the
bank ^nn++++=bank
for ^in++++=for
a ^at++++=a
game ^nn++++=game
at ^rb++++=at
faro ^nn+++??+=faro.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time
he ^pp3a+pp3+++=he
refused ^vbd+++xvbnx+=refused,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
hardly ^rb+down+++=hardly
ever ^rb++++=ever
played ^vbd+++xvbn+=played,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^rb++++=at
last ^rb"++++=last
he ^pp3a+pp3+++=he
ordered ^vbd+vsua++xvbnx+=ordered
cards ^nns++++=cards
to ^to++++=to
be ^vbi+vbi+aux++=be
brought ^vpsv++agls+xvbnx+=brought,
, ^zz++++=EXTRAWORD
placed ^xvbn+++xvbn+=placed
half ^abn++++=half
a ^at++++=a
hundred ^cd++++=hundred
ducats ^nns+++??+=ducats
upon ^in++++=upon
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
to ^to++++=to
deal ^vbi++++=deal.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
took ^vbd+++xvbn+=took
our ^pp$+pp1+++=our
places ^nns++++=places
round ^rp++++=round
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
play ^nn++++=play
began ^vbd+++xvbn+=began.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
Silvio ^np++++=Silvio's
's ^$++++=EXTRAWORD
custom ^nn++++=custom
to ^to++++=to
preserve ^vbi++++=preserve
a ^at++++=a
complete ^nn++++=complete
silence ^nn+nom+++=silence
when ^wrb+who+++=when
playing ^nvbg+++xvbg+=playing.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
never ^rb++++=never
disputed ^vbd+++xvbn+=disputed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
never ^rb++++=never
entered ^vbd+++xvbn+=entered
into ^in+ppvb+++=into
explanations ^nns+nom+++=explanations.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
the ^ati++++=the
punter ^nn++++=punter
made ^vbd+++xvbn+=made
a ^at++++=a
mistake ^nn++++=mistake
in ^in++++=in
calculating ^xvbg+++xvbg+=calculating,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
immediately ^rb+tm+++=immediately
paid ^jj+++xvbn+=paid
him ^pp3o+pp3+++=him
the ^ati++++=the
difference ^nn+nom+++=difference
or ^cc++++=or
noted ^vbd+vprv++xvbn+=noted
down ^rb+phrv+++=down
the ^ati++++=the
surplus ^nn++++=surplus.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+aux++=were
acquainted ^vpsv++agls+xvbnx+=acquainted
with ^in++++=with
this ^dt+dem+++=this
habit ^nn++++=habit
of ^in++++=of
his ^pp$+pp3+++=his,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
always ^rb++++=always
allowed ^vbd+++xvbn+=allowed
him ^pp3o+pp3+++=him
to ^to++++=to
have ^vbi++vrb++=have
his ^pp$+pp3+++=his
own ^ap++++=own
way ^nn++++=way;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
among ^in++++=among
us ^pp1o+pp1+++=us
on ^in++++=on
this ^dt+dem+++=this
occasion ^nn++++=occasion
was ^vbd+bedz+vrb++=was
an ^at++++=an
officer ^nn++++=officer
who ^whp+rel+subj++=who
had ^vb+hv+aux++=had
only ^rb+down+splt++=only
recently ^rb+tm+++=recently
been ^vprf+ben+aux+xvbn+=been
transferred ^vpsv++agls+xvbnx+=transferred
to ^in++++=to
our ^pp$+pp1+++=our
regiment ^nn+nom+++=regiment.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
course ^nn++++=course
of ^in++++=of
the ^ati++++=the
game ^nn++++=game,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
officer ^nn++++=officer
absently ^rb++++=absently
scored ^vbd+++xvbn+=scored
one ^cd1++++=one
point ^nn++++=point
too ^ql++++=too
many ^ap++++=many.
. ^zz++++=EXTRAWORD
Silvio ^np++++=Silvio
took ^vbd+++xvbn+=took
the ^ati++++=the
chalk ^nn++++=chalk
and ^cc++++=and
noted ^vbd+vprv++xvbn+=noted
down ^rb+phrv+++=down
the ^ati++++=the
correct ^jj+atrb+++=correct
account ^nn++++=account
according ^in+cmpx+++=according
to ^in"++++=to
his ^pp$+pp3+++=his
usual ^jj+atrb+++=usual
custom ^nn++++=custom.
. ^zz++++=EXTRAWORD
The ^ati++++=The
officer ^nn++++=officer,
, ^zz++++=EXTRAWORD
thinking ^vbg+vprv++xvbg+=thinking
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
a ^at++++=a
mistake ^nn++++=mistake,
, ^zz++++=EXTRAWORD
began ^j+++xvbn+=began
to ^to++++=to
enter ^vbi++++=enter
into ^in+ppvb+++=into
explanations ^nns+nom+++=explanations.
. ^zz++++=EXTRAWORD
Silvio ^np++++=Silvio
continued ^vbd+++xvbn+=continued
dealing ^vbg+nom++xvbg+=dealing
in ^in++++=in
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
The ^ati++++=The
officer ^nn++++=officer,
, ^zz++++=EXTRAWORD
losing ^jj+atrb++xvbg+=losing
patience ^nn+nom+++=patience,
, ^zz++++=EXTRAWORD
took ^j+++xvbn+=took
the ^ati++++=the
brush ^nn++++=brush
and ^cc++++=and
rubbed ^vbd+++xvbn+=rubbed
out ^rp+pl+++=out
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
considered ^vbd+vprv++xvbnx+=considered
was ^vbd+bedz+vrb++=was
wrong ^jj+pred+++=wrong.
. ^zz++++=EXTRAWORD
Silvio ^np++++=Silvio
took ^vbd+++xvbn+=took
the ^ati++++=the
chalk ^nn++++=chalk
and ^cc++++=and
corrected ^vbd+++xvbn+=corrected
the ^ati++++=the
score ^nn++++=score
again ^rb+tm+++=again.
. ^zz++++=EXTRAWORD
The ^ati++++=The
officer ^nn++++=officer,
, ^zz++++=EXTRAWORD
heated ^j+++xvbn+=heated
with ^in++++=with
wine ^nn++++=wine,
, ^zz++++=EXTRAWORD
play ^nn++++=play,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
laughter ^nn+nom+++=laughter
of ^in++++=of
his ^pp$+pp3+++=his
comrades ^nns++++=comrades,
, ^zz++++=EXTRAWORD
considered ^vpbn+vprv++xvbn+=considered
himself ^ppl+pp3+++=himself
grossly ^rb++++=grossly
insulted ^vbd+++xvbn+=insulted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
his ^pp$+pp3+++=his
rage ^nn++++=rage
he ^pp3a+pp3+++=he
seized ^vbd+++xvbnx+=seized
a ^at++++=a
brass ^nn++++=brass
candlestick ^nn+++??+=candlestick
from ^in++++=from
the ^ati++++=the
table ^nn++++=table,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
hurled ^vbd+++xvbn+=hurled
it ^pp3+it+++=it
at ^in++++=at
Silvio ^np++++=Silvio,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
barely ^rb+down+++=barely
succeeded ^vbd+++xvbn+=succeeded
in ^in++++=in
avoiding ^xvbg+++xvbg+=avoiding
the ^ati++++=the
missile ^nn++++=missile.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+aux++=were
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
consternation ^nn+nom+++=consternation.
. ^zz++++=EXTRAWORD
Silvio ^np++++=Silvio
rose ^vbd+++xvbn+=rose,
, ^zz++++=EXTRAWORD
white ^jj++++=white
with ^in++++=with
rage ^nn++++=rage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
gleaming ^xvbg+++xvbg+=gleaming
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="My
my ^pp$+pp1+++=EXTRAWORD
dear ^jj+atrb+++=dear
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
the ^ati++++=the
goodness ^nns+nom+++=goodness
to ^to++++=to
withdraw ^vbi++++=withdraw,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
thank ^vb++++=thank
God ^np++++=God
that ^tht+rel+obj++=that
this ^dt+pdem+++=this
has ^vbz+hvz+aux++=has
happened ^vprf+++xvbnx+=happened
in ^in++++=in
my ^pp$+pp1+++=my
house ^nn++++=house."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
None ^pn++++=None
of ^in++++=of
us ^pp1o+pp1+++=us
entertained ^vbd+++xvbn+=entertained
the ^ati++++=the
slightest ^jjt+atrb+++=slightest
doubt ^nn++++=doubt
as ^in++++=as
to ^in"++++=to
what ^wdt+who+++=what
the ^ati++++=the
result ^nn++++=result
would ^md+prd+++=would
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
we ^pp1a+pp1+++=we
already ^rb++++=already
looked ^vbd+++xvbn+=looked
upon ^in++++=upon
our ^pp$+pp1+++=our
new ^jj+atrb+++=new
comrade ^nn++++=comrade
as ^in++++=as
a ^at++++=a
dead ^jj+atrb+++=dead
man ^nn++++=man.
. ^zz++++=EXTRAWORD
The ^ati++++=The
officer ^nn++++=officer
withdrew ^vbd+++xvbn+=withdrew,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
answer ^vb++++=answer
for ^in+ppvb+++=for
his ^pp$+pp3+++=his
offence ^nn+nom+++=offence
in ^in++++=in
whatever ^nn+nom+++=whatever
way ^nn++++=way
the ^ati++++=the
banker ^nn++++=banker
liked ^vbd+++xvbn+=liked.
. ^zz++++=EXTRAWORD
The ^ati++++=The
play ^nn++++=play
went ^vbd+++xvbn+=went
on ^in++++=on
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
minutes ^nns++++=minutes
longer ^rbr++++=longer,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
feeling ^nvbg+++xvbg+=feeling
that ^tht+ncmp+++=that
our ^pp$+pp1+++=our
host ^nn++++=host
was ^vbd+bedz+vrb++=was
no ^at++++=no
longer ^rbr++++=longer
interested ^jj++++=interested
in ^in++++=in
the ^ati++++=the
game ^nn++++=game,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
withdrew ^vbd+++xvbn+=withdrew
one ^pn++++=one
