Lark ^nn++++=Lark
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub++xvbnx+=said
Dad ^npt++++=Dad
the ^ati++++=the
way ^nn++++=way
some ^dti++++=some
people ^nns++++=people
say ^vb+vpub+++=say
cunt ^jj+++xvbn+=cunt.
. ^zz++++=EXTRAWORD
" ^zz++++="Do
do ^vb+do+aux++=EXTRAWORD
you ^pp2+pp2+++=you
even ^rb++++=even
feel ^vb+vprv+++=feel
bad ^jj++++=bad?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yeah,"
yeah ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
feel ^vb+vprv+++=feel
real ^rb+emph+++=real
bad ^jj++++=bad."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
feel ^vb+vprv+++=feel
real ^rb+emph+++=real
bad ^jj++++=bad,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
repeated ^vbd+++xvbn+=repeated.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
real ^rb+emph+++=real
bad ^jj+pred+++=bad
a ^at++++=a
hole ^nn++++=hole
big ^jj++++=big
enough ^qlp++++=enough
to ^to++++=to
fit ^vbi++++=fit
our ^pp$+pp1+++=our
lives ^nns++++=lives
in ^in+strn+++=in?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Our?"
our ^pp$+pp1+++=EXTRAWORD
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
metaphor ^nn++++=metaphor,
, ^zz++++=EXTRAWORD
Daddy ^npt++++=Daddy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
a ^at++++=a
new ^jj+atrb+++=new
voice ^nn++++=voice,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
one ^cd1++++=one
shy ^jj++++=shy,
, ^zz++++=EXTRAWORD
charming ^jj+++xvbg+=charming
even ^rb++++=even.
. ^zz++++=EXTRAWORD
A ^at++++=A
second ^od++++=second
tiny ^jj++++=tiny
fetus ^vbz+++??+=fetus
climbed ^vprf+++xvbn+=climbed
up ^rp++++=up
my ^pp$+pp1+++=my
comforter ^nn+nom+++=comforter
onto ^in++++=onto
my ^pp$+pp1+++=my
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
Her ^pp$+pp3+++=Her
name ^nn++++=name,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
knew ^vbd+vprv++xvbnx+=knew,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou.
. ^zz++++=EXTRAWORD
" ^zz++++="Phew,"
phew ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou
said ^vbd+vpub++xvbn+=said
at ^rb++++=at
the ^ati++++=the
summit ^nn++++=summit,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
up ^rp++++=up
near ^in+pl+++=near
my ^pp$+pp1+++=my
pillow ^nn++++=pillow.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
plopped ^vbd+++xvbnx+=plopped
down ^rp++++=down
so ^ql++++=so
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
beside ^in+pl+++=beside
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner.
. ^zz++++=EXTRAWORD
A ^at++++=A
tiny ^jj+atrb+++=tiny
shadow ^nn++++=shadow
beside ^in+pl+++=beside
a ^at++++=a
tiny ^jj+atrb+++=tiny
shadow ^nn++++=shadow.
. ^zz++++=EXTRAWORD
Twins ^nns++++=Twins,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought.
. ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+vrb++0=EXTRAWORD
sor ^nn++++=sor
" ^zz++++="
I ^pp1a+pp1+++=I
began ^vbd+++xvbnx+=began.
. ^zz++++=EXTRAWORD
" ^zz++++="Don't,"
do ^vb+do+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Just
just ^rb+emph+++=EXTRAWORD
do ^vb+do+vrb++=don't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++="So
so ^ql++++=EXTRAWORD
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
the ^ati++++=the
balls ^nns++++=balls,
, ^zz++++=EXTRAWORD
huh ^uh++++=huh?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
repeated ^vbd+++xvbnx+=repeated
while ^cs+sub+++=while
thrusting ^vbg+++xvbg+=thrusting
and ^cc+phrs+++=and
grabbing ^vbg+++xvbg+=grabbing
the ^ati++++=the
space ^nn++++=space
between ^in++++=between
his ^pp$+pp3+++=his
tiny ^jj+atrb+++=tiny,
, ^zz++++=EXTRAWORD
tiny ^jj+atrb+++=tiny
legs ^nns++++=legs.
. ^zz++++=EXTRAWORD
Legs ^nns++++=Legs
that ^tht+rel+subj++=that
would ^md+prd+++=would
never ^rb++splt++=never
grow ^vb++++=grow
big ^jj++++=big
enough ^qlp++++=enough
to ^to++++=to
kick ^vbi++++=kick
things ^nns++++=things
like ^in++++=like
bottle ^nn++++=bottle
caps ^nns++++=caps,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
soccer ^nn++++=soccer
balls ^nns++++=balls,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
other ^ap++++=other
people ^nns++++=people.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
think ^vb+vprv+tht0++=think
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
more ^ql++++=more
balls ^nns++++=balls
than ^in++++=than
you ^pp2+pp2+++=you
and ^cc++++=and
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
still ^rb+cnj+++=still,
, ^zz++++=EXTRAWORD
like ^in+strn+++=like,
, ^zz++++=EXTRAWORD
a ^at++++=a
trimester ^nn+nom+++=trimester
from ^in++++=from
genitalia ^nn+++??+=genitalia."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
he ^pp3a+pp3+++=he
paused ^vbd+++xvbnx+=paused
as ^cs+sub+++=as
if ^cs+cnd+++=if
in ^in++++=in
reflection ^nn+nom+++=reflection.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
are ^vb+ber+aux++=are
balls ^nns++++=balls
like ^in+strn+++=like?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jamie ^np+++??+=Jamie
giggled ^vbd+++xvbn+=giggled.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
how ^wrb+who+whcl++=how
to ^in++++=to
answer ^nn++++=answer
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
" ^zz++++="Uh,
uh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
. ^zz++++=.
. ^zz++++=.
. ^zz++++=.
well ^rb+dspt+++=well
. ^zz++++=.
. ^zz++++=.
. ^zz++++=."
" ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
voice ^nn++++=voice
still ^rb++++=still
dragged ^vbd+++xvbn+=dragged
from ^in++++=from
sleep ^nn++++=sleep.
. ^zz++++=EXTRAWORD
" ^zz++++="Whatever,"
whatever ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="You
you ^pp2+pp2+++=EXTRAWORD
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
the ^ati++++=the
cojones ^nns+++??+=cojones
to ^to++++=to
look ^vbi++++=look."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Be
be ^vb+be+vrb++=EXTRAWORD
nice ^jj+pred+++=nice
to ^to+jcmp+++=to
Daddy ^vb++++=Daddy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
grunted ^vbd+++xvbn+=grunted.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
turned ^vbd+++xvbnx+=turned
his ^pp$+pp3+++=his
tiny ^jj+atrb+++=tiny
head ^nn++++=head
and ^cc++++=and
sort ^rb+hdg+++=sort
of ^rb"+hdg"+++=of
looked ^vbd+++xvbn+=looked
at ^rb++++=at
me ^pp1o+pp1+++=me
sideways ^jjb++++=sideways.
. ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
at ^rb++++=at
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Dad ^npt++++=Dad."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
night ^nn++++=night
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
girlfriend ^nn+++??+=girlfriend,
, ^zz++++=EXTRAWORD
Jaclyn ^np+++??+=Jaclyn,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
a ^at++++=a
series ^nn++++=series
of ^in++++=of
pills ^nns++++=pills
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
pushed ^vprf+++xvbnx+=pushed
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
and ^cc++++=and
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou
out ^rp+pl+++=out
of ^in++++=of
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
we ^pp1a+pp1+++=we
found ^vbd+vprv++xvbn+=found
out ^rp+pl+++=out
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
an ^at++++=an
option ^nn++++=option,
, ^zz++++=EXTRAWORD
the ^ati++++=the
take ^vb++++=take-home
- ^zz++++=EXTRAWORD
home ^nr++++=EXTRAWORD
method ^nn++++=method
had ^vbd+hvd+aux++=had
seemed ^vprf+++xvbnx+=seemed
like ^in++++=like
the ^ati++++=the
way ^nn++++=way
to ^to++++=to
go ^vbi++++=go.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We'd
'd ^vbd+hvd+aux++0=EXTRAWORD
imagined ^vprf++tht0+xvbnx+=imagined
it ^pp3+it+++0=it'd
'd ^md+prd+aux++=EXTRAWORD
be ^vb+be+vrb++=be
more ^rbr++++=more
humane ^jj+pred+++=humane.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pamphlets ^nns+nom+++=pamphlets
instructed ^vwbn+++xvbn+=instructed
us ^pp1o+pp1+++=us
her ^pp$+pp3+++=her
to ^in++++=to
tuck ^nn+++??+=tuck
four ^cd++++=four
pills ^nns++++=pills
in ^in++++=in
the ^ati++++=the
space ^nn++++=space
between ^in++++=between
her ^pp$+pp3+++=her
lip ^nn++++=lip
and ^cc++++=and
gums ^nns+++??+=gums.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
way ^nn++++=way
they ^pp3a+pp3+++=they
would ^md+prd+++=would
dissolve ^vb++++=dissolve,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
the ^ati++++=the
chemicals ^nns+nom+++=chemicals
would ^md+prd+++=would
find ^vb+vprv+tht0++=find
her ^pp$+pp3+++=her
bloodstream ^nn++++=bloodstream
without ^in++++=without
the ^ati++++=the
detour ^nn++++=detour
of ^in++++=of
her ^pp$+pp3+++=her
stomach ^nn++++=stomach.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
would ^md+prd+++=would
be ^vb+be+vrb++=be
vomiting ^nn++++=vomiting.
. ^zz++++=EXTRAWORD
The ^ati++++=The
pamphlet ^nn+nom+++=pamphlet
made ^vbd+++xvbn+=made
that ^dt+dem+++=that
clear ^jj++++=clear.
. ^zz++++=EXTRAWORD
Jaclyn ^np+++??+=Jaclyn
cried ^vbd+++xvbn+=cried
on ^in++++=on
the ^ati++++=the
toilet ^nn++++=toilet.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
held ^vbd+vprv+tht0+xvbnx+=held
her ^pp$+pp3+++=her
hand ^nn++++=hand
in ^in++++=in
the ^ati++++=the
beginning ^nvbg+++xvbg+=beginning.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
she ^pp3a+pp3+++=she
told ^vbd+vpub++xvbnx+=told
me ^pp1o+pp1+++=me
to ^to++++=to
leave ^vbi++++=leave.
. ^zz++++=EXTRAWORD
So ^ql++++=So
I ^pp1a+pp1+++=I
did ^vbd+dod+vrb++=did.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
listened ^vbd+++xvbnx+=listened
from ^in++++=from
the ^ati++++=the
living ^jj+atrb++xvbg+=living
room ^nn++++=room.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
okay ^rb+cnj+++=okay,
, ^zz++++=EXTRAWORD
Daddy ^npt++++=Daddy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou.
. ^zz++++=EXTRAWORD
At ^rb++++=At
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
turned ^vbd+++xvbn+=turned
and ^cc+phrs+++=and
kicked ^vbd+++xvbn+=kicked
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou
on ^in++++=on
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="Ouch,"
ouch ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
said ^vbd+vpub++xvbnx+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Hey,"
hey ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
said ^vbd+vpub++xvbnx+=said,
, ^zz++++=EXTRAWORD
feeling ^nvbg+++xvbg+=feeling
like ^in++++=like
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
time ^nn++++=time
for ^in++++=for
violence ^nn+nom+++=violence.
. ^zz++++=EXTRAWORD
" ^zz++++="Shut
shut ^vbd+++xvbn+=EXTRAWORD
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
okay ^rb+cnj+++=okay,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="He
he ^pp3a+pp3+++=EXTRAWORD
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
even ^rb++++=even
look ^vb++++=look
at ^rb++++=at
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="He's
he ^pp3a+pp3+++=EXTRAWORD
's ^vbz+bez+aux++0=EXTRAWORD
scared ^vpsv++agls+xvbnx+=scared,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou,
, ^zz++++=EXTRAWORD
rising ^nvbg+++xvbg+=rising.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
brought ^vbd+++xvbnx+=brought
her ^pp$+pp3+++=her
head ^jjb++++=head
close ^in+cmpx+++=close
to ^in++++=to
Jackie ^np++++=Jackie
Gunner ^np++++=Gunner's
's ^$++++=EXTRAWORD
head ^nn++++=head
and ^cc++++=and
kissed ^vbd+++xvbn+=kissed
his ^pp$+pp3+++=his
temple ^nn++++=temple.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
care ^nn++++=care,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner,
, ^zz++++=EXTRAWORD
ignoring ^nvbg+++xvbg+=ignoring
the ^ati++++=the
kiss ^nn++++=kiss.
. ^zz++++=EXTRAWORD
After ^in++++=After
about ^in++++=about
an ^at++++=an
hour ^nn++++=hour
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
honest ^jj+atrb+++=honest
pain ^nn++++=pain
I ^pp1a+pp1+++=I
can ^md+pos+++=can
remember ^nn+nom+++=remember
hearing ^nvbg+++xvbg+=hearing,
, ^zz++++=EXTRAWORD
Jaclyn ^np+++??+=Jaclyn
said ^vbd+vpub+tht0+xvbn+=said
something ^pn++++=something
I ^pp1a+pp1+++=I
understood ^vbd+vprv++xvbnx+=understood.
. ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
God ^nn++++=God,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
in ^in++++=in
my ^pp$+pp1+++=my
oh ^uh++++=oh,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
God ^nn++++=God,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
they ^pp3a+pp3+++=they'd
'd ^vbd+hvd+aux++0=EXTRAWORD
been ^vprf+ben+aux+xvbnx+=been
released ^vpsv++agls+xvbnx+=released.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
I ^pp1a+pp1+++=I
might ^md+pos+++=might
try ^vb++++=try
to ^to+vcmp+++=to
hold ^vbi+vprv+tht0++=hold
her ^pp$+pp3+++=her
hand ^nn++++=hand
again ^rb+tm+++=again
then ^rn+tm+++=then.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
not ^xnot++not++=not
look ^vb++++=look
into ^in+ppvb+++=into
that ^dt+dem+++=that
bathroom ^nn++++=bathroom.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
only ^rb+down+++=only
about ^in++++=about
eight ^cd++++=eight
hours ^nns++++=hours
before ^cs+sub+++=before
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
and ^cc++++=and
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou
appeared ^vbd+seem++xvbn+=appeared
in ^in++++=in
my ^pp$+pp1+++=my
room ^nn++++=room.
. ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
at ^rb++++=at
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
Dad ^npt++++=Dad!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Jackie ^np++++=Jackie
Gunner ^np+++??+=Gunner
yelled ^vbd+++xvbn+=yelled.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
up ^rp++++=up
carefully ^rb+cnj+++=carefully,
, ^zz++++=EXTRAWORD
trying ^vbg+++xvbg+=trying
not ^xnot++not++=not
to ^in++++=to
squish ^jj++++=squish
them ^pp3o+pp3+++=them
or ^cc++++=or
bounce ^nn++++=bounce
the ^ati++++=the
bed ^nn++++=bed
and ^cc++++=and
send ^vb++++=send
them ^pp3o+pp3+++=them
flying ^jj+++xvbg+=flying.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
flipped ^vbd+++xvbnx+=flipped
on ^in++++=on
the ^ati++++=the
light ^jj+atrb+++=light
switch ^nn++++=switch.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
heads ^nns++++=heads
were ^vbd+bed+vrb++=were
too ^ql++++=too
big ^jj++++=big
for ^in++++=for
their ^pp$+pp3+++=their
tiny ^jj+atrb+++=tiny
bodies ^nns++++=bodies,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
each ^dt++++=each
as ^ql++++=as
thin ^jj++++=thin
as ^in++++=as
a ^at++++=a
pencil ^nn++++=pencil
and ^cc++++=and
a ^at++++=a
fleshy ^jj+atrb+++=fleshy
pink ^nn++++=pink.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
skin ^nn++++=skin
was ^vbd+bedz+aux++=was
shriveled ^vpsv++agls+xvbnx+=shriveled
and ^cc++++=and
translucent ^jj++++=translucent.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
could ^md+pos+++=could
see ^vb+vprv+++=see
through ^rb+phrv+++=through
their ^pp$+pp3+++=their
skulls ^nns++++=skulls
to ^in++++=to
pea ^nn++++=pea-size
- ^zz++++=EXTRAWORD
size ^nn++++=EXTRAWORD
gray ^np++++=gray
brains ^nns++++=brains.
. ^zz++++=EXTRAWORD
Jackie ^np++++=Jackie
Gunner ^np++++=Gunner's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes
were ^vbd+bed+aux++=were
closed ^vpsv++agls+xvbnx+=closed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
behind ^in+pl+++=behind
one ^pn++++=one
of ^in++++=of
his ^pp$+pp3+++=his
eyelids ^nns++++=eyelids
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
just ^rb+emph+++=just
an ^at++++=an
empty ^jj+atrb+++=empty
socket ^nn++++=socket.
. ^zz++++=EXTRAWORD
Jamie ^np+++??+=Jamie
Lou ^np++++=Lou
had ^vb+hv+vrb++=had
both ^abx++++=both
her ^pp$+pp3+++=her
eyes ^nns++++=eyes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
working ^jj+atrb++xvbg+=working
eyelids ^nns++++=eyelids,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
hands ^nns++++=hands
and ^cc++++=and
feet ^nns++++=feet
were ^vbd+bed+aux++=were
partially ^rb+down+splt++=partially
webbed ^vpsv++agls+xvbnx+=webbed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
their ^pp$+pp3+++=their
scrawny ^jj+atrb+++=scrawny
legs ^nns++++=legs
should ^md+nec+++=shouldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
able ^jj++pmd"++=able
to ^to+jcmp+pmd++=to
support ^vb++++=support
their ^pp$+pp3+++=their
bodies ^nns++++=bodies.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
wore ^vbd+++xvbnx+=wore
