Somewhere ^rb++++=Somewhere
many ^ap++++=many
illustrations ^nns+nom+++=illustrations
as ^in++++=as
the ^ati++++=the
publisher ^nn+nom+++=publisher
will ^md+prd+++=will
stand ^vb++++=stand
for ^in+ppvb+++=for,
, ^zz++++=EXTRAWORD
of ^in++++=of
what ^wdt+who+++=what
she ^pp3a+pp3+++=she
wore ^vbd+++xvbnx+=wore
from ^in++++=from
the ^ati++++=the
bedroom ^nn++++=bedroom
to ^in++++=to
the ^ati++++=the
street ^nn++++=street,
, ^zz++++=EXTRAWORD
with ^in++++=with
full ^jj+atrb+++=full
stops ^nns++++=stops
for ^in++++=for
the ^ati++++=the
ribbons ^nns++++=ribbons
on ^rp++++=on
her ^pp3o+pp3+++=her
robe ^nn++++=robe
de ^&fw++++=de
nuit ^&fw++++=nuit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
buckles ^nns++++=buckles
on ^rp++++=on
her ^pp3o+pp3+++=her
ballroom ^nn++++=ballroom
slippers ^nns+nom+++=slippers.
. ^zz++++=EXTRAWORD
Half ^abn++++=Half
the ^ati++++=the
poor ^jj+atrb+++=poor
creatures ^nns++++=creatures
one ^cd1++++=one
sees ^vbz+vprv+++=sees
flattening ^nvbg+++xvbg+=flattening
their ^pp$+pp3+++=their
noses ^nns++++=noses
against ^in++++=against
the ^ati++++=the
shop ^nn++++=shop
windows ^nns++++=windows
are ^vb+ber+vrb++=are
authors ^nns++++=authors
getting ^vwbg+++xvbg+=getting
a ^at++++=a
line ^nn++++=line
on ^in++++=on
the ^ati++++=the
advance ^nn+nom+++=advance
fashions ^nns++++=fashions.
. ^zz++++=EXTRAWORD
Suppose ^vb+vprv+tht0++=Suppose
a ^at++++=a
careless ^jj+atrb+++=careless
writer ^nn++++=writer
were ^vbd+bed+vrb++=were
to ^in++++=to
dress ^nn++++=dress
his ^pp$+pp3+++=his
heroine ^nn++++=heroine
in ^in++++=in
a ^at++++=a
full ^jj++++=full-plaited
- ^zz++++=EXTRAWORD
plaited ^jj+atrb++xvbn+=EXTRAWORD
skirt ^nn++++=skirt
only ^rb+down+++=only
to ^to++++=to
find ^vbi+vprv+++=find,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
his ^pp$+pp3+++=his
story ^nn++++=story
is ^vbz+bez+aux++=is
published ^vpsv++agls+xvbnx+=published
four ^cd++++=four
months ^nns++++=months
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
full ^jj++++=full-plaited
- ^zz++++=EXTRAWORD
plaited ^jj+atrb++xvbn+=EXTRAWORD
skirts ^nns++++=skirts
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
relegated ^vpsv++agls+xvbnx+=relegated
to ^in++++=to
the ^ati++++=the
dim ^jj++++=dim
past ^jjb++++=past!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
started ^vbd+++xvbnx+=started
to ^to++++=to
read ^vbn+vprv++xvbn+=read
a ^at++++=a
story ^nn++++=story
once ^rb+tm+++=once.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
good ^jj+atrb+++=good
one ^pn++++=one.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
in ^in++++=in
it ^pp3+it+++=it
not ^xnot++not++=not
a ^at++++=a
single ^jj+atrb+++=single
allusion ^nn++++=allusion
to ^in++++=to
brandy ^nn++++=brandy-and-soda,
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
soda ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
divorce ^nn++++=divorce,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
the ^ati++++=the
stock ^nn++++=stock
market ^nn++++=market.
. ^zz++++=EXTRAWORD
The ^ati++++=The
dialogue ^nn++++=dialogue
crackled ^vbd+++xvbn+=crackled.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hero ^nn++++=hero
talked ^vbd+++xvbn+=talked
like ^in++++=like
a ^at++++=a
live ^jj+atrb+++=live
man ^nn++++=man.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
shipboard ^nn++++=shipboard
story ^nn++++=story,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
heroine ^nn++++=heroine
was ^vbd+bedz+aux++=was
charming ^vbg+++xvbgx+=charming
so ^ql+emph+++=so
long ^jj++++=long
as ^ql++++=as
she ^pp3a+pp3+++=she
wore ^vbd+++xvbnx+=wore
her ^pp$+pp3+++=her
heavy ^jj+atrb+++=heavy
ulster ^np++++=ulster.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
along ^in++++=along
toward ^in++++=toward
evening ^nn++++=evening
she ^pp3a+pp3+++=she
blossomed ^vbd+++xvbnx+=blossomed
forth ^rp++++=forth
in ^in++++=in
a ^at++++=a
yellow ^jj+atrb+++=yellow
gown ^nn++++=gown,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
scarlet ^jj+atrb+++=scarlet
poinsettia ^nn+++??+=poinsettia
at ^rb++++=at
her ^pp3o+pp3+++=her
throat ^nn++++=throat.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
quit ^vb++++=quit
her ^pp$+pp3+++=her
cold ^jj++++=cold.
. ^zz++++=EXTRAWORD
Nobody ^pn++++=Nobody
ever ^rb++++=ever
wore ^vbd+++xvbn+=wore
a ^at++++=a
scarlet ^jj+atrb+++=scarlet
poinsettia ^nn+++??+=poinsettia;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
wear ^vb++++=wear
it ^pp3+it+++=it
on ^in++++=on
a ^at++++=a
yellow ^jj+atrb+++=yellow
gown ^nn++++=gown.
. ^zz++++=EXTRAWORD
Or ^cc+cls+++=Or
if ^cs+cnd+++=if
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
wear ^vb++++=wear
it ^pp3+it+++=it
with ^in++++=with
a ^at++++=a
yellow ^jj+atrb+++=yellow
gown ^nn++++=gown,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
wear ^vb++++=wear
it ^pp3+it+++=it
at ^in++++=at
the ^ati++++=the
throat ^nn++++=throat.
. ^zz++++=EXTRAWORD
Scarlet ^jj+atrb+++=Scarlet
poinsettias ^nns+++??+=poinsettias
are ^vb+ber+vrb++=aren't
n't ^xnot++not++0=EXTRAWORD
worn ^jj+++xvbn+=worn,
, ^zz++++=EXTRAWORD
anyhow ^rb+dspt+++=anyhow.
. ^zz++++=EXTRAWORD
To ^in++++=To
this ^dt+dem+++=this
day ^nn++++=day
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
whether ^cs+who+++=whether
the ^ati++++=the
heroine ^nn++++=heroine
married ^vbd+++xvbn+=married
the ^ati++++=the
hero ^nn++++=hero
or ^cc++++=or
jumped ^vbd+++xvbn+=jumped
overboard ^rb+pl+++=overboard.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
too ^ql++++=too
careful ^jj++++=careful
about ^in++++=about
clothing ^nn++++=clothing
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
heroine ^nn++++=heroine.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
hesitate ^nn+nom+++=hesitate
to ^to+vcmp+++=to
describe ^vbi++++=describe
Sophy ^np++++=Sophy
Epstein ^np++++=Epstein's
's ^$++++=EXTRAWORD
dress ^nn++++=dress.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
will ^md+prd+++=won't
n't ^xnot++not++0=EXTRAWORD
like ^vb++++=like
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
first ^od++++=first
place ^nn++++=place,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
cut ^vpsv++agls+xvbnx+=cut
too ^ql++++=too
low ^jj++++=low,
, ^zz++++=EXTRAWORD
front ^jjb++++=front
and ^cc+phrs+++=and
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
for ^in++++=for
a ^at++++=a
shoe ^nn++++=shoe
clerk ^nn++++=clerk
in ^in++++=in
a ^at++++=a
downtown ^rn++++=downtown
loft ^nn++++=loft.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
black ^jj+atrb+++=black
dress ^nn++++=dress,
, ^zz++++=EXTRAWORD
near ^in+pl+++=near-princess
- ^zz++++=EXTRAWORD
princess ^nns+nom+++=EXTRAWORD
in ^in++++=in
style ^nn++++=style,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
tight ^jj++++=tight
as ^in++++=as
to ^in++++=to
fit ^nn++++=fit,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
short ^jj++++=short
as ^in++++=as
to ^in++++=to
skirt ^nn++++=skirt,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
sleazy ^vb+++??+=sleazy
as ^in++++=as
to ^in++++=to
material ^nn++++=material.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
showed ^vbd+vprv++xvbn+=showed
all ^rb++++=all
the ^ati++++=the
delicate ^jj+atrb+++=delicate
curves ^nns++++=curves
of ^in++++=of
Sophy ^np++++=Sophy's
's ^vbz+bez+vrb++0=EXTRAWORD
under ^in++++=under-fed,
- ^zz++++=EXTRAWORD
fed ^vwbn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
girlish ^jj+atrb+++=girlish
body ^nn++++=body,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Sophy ^np++++=Sophy
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
care ^vb+vprv+++=care
a ^at++++=a
bit ^nn++++=bit.
. ^zz++++=EXTRAWORD
Its ^pp$+it+++=Its
most ^ap+emph+++=most
objectionable ^jj+atrb+++=objectionable
feature ^nn++++=feature
was ^vbd+bedz+vrb++=was
at ^rb++++=at
the ^ati++++=the
throat ^nn++++=throat.
. ^zz++++=EXTRAWORD
Collarless ^np+++??+=Collarless
gowns ^nns++++=gowns
were ^vbd+bed+vrb++=were
in ^in++++=in
vogue ^nn++++=vogue.
. ^zz++++=EXTRAWORD
Sophy ^np++++=Sophy's
's ^$++++=EXTRAWORD
daring ^jj+atrb++xvbg+=daring
shears ^nns+++??+=shears
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
a ^at++++=a
snip ^nn+++??+=snip
or ^cc++++=or
two ^cd++++=two
farther ^rbr++++=farther.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
cut ^vprf+++xvbnx+=cut
a ^at++++=a
startlingly ^rb++++=startlingly
generous ^jj+atrb+++=generous
V ^zz++++=V.
. ^zz++++=EXTRAWORD
To ^to++++=To
say ^vbi+vpub+++=say
that ^tht+vcmp+++=that
the ^ati++++=the
dress ^nn++++=dress
was ^vbd+bedz+vrb++=was
elbow ^nn++++=elbow-sleeved
- ^zz++++=EXTRAWORD
sleeved ^jj+++xvbn+=EXTRAWORD
is ^vbz+bez+vrb++=is
superfluous ^jj+pred+++=superfluous.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said
that ^tht+vcmp+++=that
Sophy ^np++++=Sophy
clerked ^vbd+++xvbn+=clerked
in ^in++++=in
a ^at++++=a
downtown ^rn++++=downtown
loft ^nn++++=loft.
. ^zz++++=EXTRAWORD
Sophy ^np++++=Sophy
sold ^vwbn+++xvbn+=sold
" ^zz++++="sample"
sample ^nn++++=EXTRAWORD
" ^zz++++=EXTRAWORD
shoes ^nns++++=shoes
at ^in++++=at
two ^cd++++=two-fifty
- ^zz++++=EXTRAWORD
fifty ^cd++++=EXTRAWORD
a ^at++++=a
pair ^nn++++=pair,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
where ^wrb+who+++=where
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
standing ^vbg+++xvbgx+=standing
you ^pp2+pp2+++=you
thought ^vbd+++xvbn+=thought
they ^pp3a+pp3+++=they
looked ^vbd+++xvbnx+=looked
just ^rb+emph+++=just
like ^in++++=like
the ^ati++++=the
shoes ^nns++++=shoes
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
sold ^vpsv++agls+xvbnx+=sold
in ^in++++=in
the ^ati++++=the
regular ^jj+atrb+++=regular
shops ^nns++++=shops
for ^in++++=for
six ^cd++++=six.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
Sophy ^np++++=Sophy
sat ^vbd+++xvbn+=sat
on ^in++++=on
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
low ^jj+atrb+++=low
benches ^nns++++=benches
at ^in++++=at
the ^ati++++=the
feet ^nns++++=feet
of ^in++++=of
some ^dti++++=some
customer ^nn+nom+++=customer,
, ^zz++++=EXTRAWORD
tugging ^jj+++xvbg+=tugging
away ^rp+pl+++=away
at ^in++++=at
a ^at++++=a
refractory ^jj+atrb+++=refractory
shoe ^nn++++=shoe
for ^in++++=for
a ^at++++=a
would ^md+prd+++=would-be
- ^zz++++=EXTRAWORD
be ^vb+be+vrb++=EXTRAWORD
small ^jj+atrb+++=small
foot ^nn++++=foot,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
shameless ^jj+atrb+++=shameless
little ^jj+atrb+++=little
gown ^nn++++=gown
exposed ^vbd+++xvbn+=exposed
more ^rbr++++=more
than ^in++++=than
it ^pp3+it+++=it
should ^md+nec+++=should
have ^vb+hv+vrb++=have.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
few ^ap++++=few
of ^in++++=of
Sophy ^np++++=Sophy's
's ^$++++=EXTRAWORD
customers ^nns+nom+++=customers
were ^vbd+bed+aux++=were
shocked ^vpsv++agls+xvbnx+=shocked.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
mainly ^rb++++=mainly
chorus ^nn++++=chorus
girls ^nns++++=girls
and ^cc++++=and
ladies ^nns++++=ladies
of ^in++++=of
doubtful ^jj+atrb+++=doubtful
complexion ^nn++++=complexion
in ^in++++=in
search ^in"++++=search
of ^in"++++=of
cheap ^jj++++=cheap
and ^cc++++=and
ultra ^rb++++=ultra
footgear ^nn+++??+=footgear,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and--to
-- ^--+clp+++=EXTRAWORD
to ^to++++=EXTRAWORD
use ^vbi++++=use
a ^at++++=a
health ^nn++++=health
term ^nn++++=term--hardened
-- ^--+clp+++=EXTRAWORD
hardened ^xvbn+++xvbn+=EXTRAWORD
by ^in++++=by
exposure ^nn++++=exposure.
. ^zz++++=EXTRAWORD
Have ^vb+hv+aux++=Have
I ^pp1a+pp1+++=I
told ^vbd+vpub+tht0+xvbnx+=told
you ^pp2+pp2+++=you
how ^wrb+who+++=how
pretty ^rb++++=pretty
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was?
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
so ^ql++++=so
pretty ^rb++++=pretty
that ^dt+dem+++=that
you ^pp2+pp2+++=you
immediately ^rb+tm+++=immediately
forgave ^nn+++??+=forgave
her ^pp3o+pp3+++=her
the ^ati++++=the
indecency ^nn+++??+=indecency
of ^in++++=of
her ^pp$+pp3+++=her
pitiful ^jj+atrb+++=pitiful
little ^jj+atrb+++=little
gown ^nn++++=gown.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
pretty ^rb++++=pretty
in ^in++++=in
a ^at++++=a
daringly ^jj+atrb+++=daringly
demure ^jj+atrb+++=demure
fashion ^nn++++=fashion,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
wicked ^jj++++=wicked
little ^jj++++=little
Puritan ^jj++++=Puritan,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
a ^at++++=a
poverty ^nn++++=poverty-stricken
- ^zz++++=EXTRAWORD
stricken ^jj+atrb+++=EXTRAWORD
Cleo ^np+++??+=Cleo
de ^&fw++++=de
Merode ^np+++??+=Merode,
, ^zz++++=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
smooth ^jj+atrb+++=smooth
brown ^jj+atrb+++=brown
hair ^nn++++=hair
parted ^vbd+++xvbn+=parted
in ^in++++=in
the ^ati++++=the
middle ^jjb++++=middle,
, ^zz++++=EXTRAWORD
drawn ^xvbn+++xvbn+=drawn
severely ^rb++++=severely
down ^rp++++=down
over ^in++++=over
her ^pp$+pp3+++=her
ears ^nns++++=ears,
, ^zz++++=EXTRAWORD
framing ^vbg+++xvbg+=framing
the ^ati++++=the
lovely ^jj++++=lovely
oval ^jj++++=oval
of ^in++++=of
her ^pp$+pp3+++=her
face ^nn++++=face
and ^cc++++=and
ending ^nvbg+++xvbg+=ending
in ^in++++=in
a ^at++++=a
simple ^nn++++=simple
coil ^vb++++=coil
at ^rb++++=at
the ^ati++++=the
neck ^nn++++=neck.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
serpent ^nn++++=serpent's
's ^$++++=EXTRAWORD
wisdom ^nn++++=wisdom
had ^vbd+hvd+aux++=had
told ^vprf+++xvbnx+=told
Sophy ^np++++=Sophy
to ^to++++=to
eschew ^vbi++++=eschew
puffs ^nns++++=puffs.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
her ^pp$+pp3+++=her
prettiness ^nns+nom+++=prettiness
could ^md+pos+++=could
have ^vb+hv+aux++=have
triumphed ^vprf+++xvbnx+=triumphed
even ^rb++++=even
over ^in++++=over
those ^dt+pdem+++=those.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
Sophy ^np++++=Sophy's
's ^$++++=EXTRAWORD
boss ^nn++++=boss
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
any ^dti++++=any
other ^ap++++=other
sort ^rb+hdg+++=sort
of ^rb"+hdg"+++=of
man ^nn++++=man
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
informed ^vprf+++xvbnx+=informed
Sophy ^np++++=Sophy,
, ^zz++++=EXTRAWORD
sternly ^rb+cnj+++=sternly,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
black ^jj+atrb+++=black
princess ^nns+nom+++=princess
effects ^nns++++=effects,
, ^zz++++=EXTRAWORD
cut ^j+++xvbn+=cut
low ^jj++++=low,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
au ^&fw++++=au
fait ^&fw++++=fait
in ^in++++=in
the ^ati++++=the
shoe ^nn++++=shoe-clerk
- ^zz++++=EXTRAWORD
clerk ^nn++++=EXTRAWORD
world ^nn++++=world.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Sophy ^np++++=Sophy's
's ^$++++=EXTRAWORD
boss ^nn++++=boss
had ^vb+hv+vrb++=had
a ^at++++=a
rhombic ^jj+atrb+++=rhombic
nose ^nn++++=nose,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
no ^at++++=no
instep ^nn+++??+=instep,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
tail ^nn++++=tail
of ^in++++=of
his ^pp$+pp3+++=his
name ^nn++++=name
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
amputated ^vpsv++agls+xvbnx+=amputated.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
care ^vb+vprv+++=care
how ^wrb+who+whcl++=how
Sophy ^np++++=Sophy
wore ^vbd+++xvbn+=wore
her ^pp$+pp3+++=her
dresses ^nns+nom+++=dresses
so ^ql++++=so
long ^rb++++=long
as ^ql++++=as
she ^pp3a+pp3+++=she
sold ^vbd+++xvbnx+=sold
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
the ^ati++++=the
boss ^nn++++=boss
had ^vbd+hvd+aux++=had
kissed ^vprf+++xvbnx+=kissed
Sophy ^np++++=Sophy--not
-- ^--+clp+++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
mouth ^nn++++=mouth,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
just ^rb+emph+++=just
where ^wrb+who+++=where
her ^pp$+pp3+++=her
shabby ^jj+atrb+++=shabby
gown ^nn++++=gown
formed ^vbd+++xvbn+=formed
its ^pp$+it+++=its
charming ^jj+++xvbg+=charming
but ^cc+phrs+++=but
immodest ^jjt++++=immodest
V ^zz++++=V.
. ^zz++++=EXTRAWORD
Sophy ^np++++=Sophy
had ^vbd+hvd+aux++=had
slapped ^vprf+++xvbnx+=slapped
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
the ^ati++++=the
slap ^nn++++=slap
had ^vb+hv+aux++=had
not ^xnot++not++=not
set ^vb+++xvbn+=set
the ^ati++++=the
thing ^nn++++=thing
right ^nn++++=right
in ^in++++=in
her ^pp$+pp3+++=her
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
not ^xnot++not++=not
forget ^vb+vprv+++=forget
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
her ^pp$+pp3+++=her
uncomfortable ^jj++++=uncomfortable
in ^in++++=in
much ^rb++++=much
the ^ati++++=the
same ^ap++++=same
way ^nn++++=way
as ^ql++++=as
we ^pp1a+pp1+++=we
are ^vb+ber+vrb++=are
wildly ^rb++++=wildly
ill ^jj+pred+++=ill
at ^rb++++=at
ease ^nn++++=ease
when ^wrb+who+++=when
we ^pp1a+pp1+++=we
dream ^nn++++=dream
of ^in++++=of
walking ^xvbg+++xvbg+=walking
naked ^jj++++=naked
in ^in++++=in
a ^at++++=a
crowded ^jj+++xvbn+=crowded
street ^npl++++=street.
. ^zz++++=EXTRAWORD
At ^rb++++=At
