To ^to++++=To-night
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
cannot ^md+pos+not++=cannot
assist ^vb++++=assist
at ^in++++=at
these ^dt+dem+++=these
functions ^nns+nom+++=functions.
. ^zz++++=EXTRAWORD
So ^cs+sub+++=So
the ^ati++++=the
tale ^nn++++=tale
must ^md+nec+++=must
be ^vb+be+aux++=be
told ^vpsv++agls+xvbnx+=told
from ^in++++=from
the ^ati++++=the
outside ^in+strn+++=outside--in
-- ^--+clp+++=EXTRAWORD
in ^in++++=EXTRAWORD
the ^ati++++=the
dark ^jj++++=dark--all
-- ^--+clp+++=EXTRAWORD
all ^abn++++=EXTRAWORD
wrong ^jj++++=wrong.
. ^zz++++=EXTRAWORD
Never ^rb++++=Never
praise ^vb++++=praise
a ^at++++=a
sister ^nn++++=sister
to ^in++++=to
a ^at++++=a
sister ^nn++++=sister,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
hope ^nn++++=hope
of ^in++++=of
your ^pp$+pp2+++=your
compliments ^nns+nom+++=compliments
reaching ^vwbg+++xvbg+=reaching
the ^ati++++=the
proper ^jj+atrb+++=proper
ears ^nns++++=ears,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql+emph+++=so
preparing ^jj+++xvbg+=preparing
the ^ati++++=the
way ^nn++++=way
for ^in++++=for
you ^pp2+pp2+++=you
later ^rbr+tm+++=later
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
Sisters ^nns+nom+++=Sisters
are ^vb+ber+vrb++=are
women ^nns++++=women
first ^rb+cnj+++=first,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
sisters ^nns+nom+++=sisters
afterwards ^rb+tm+++=afterwards;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
you ^pp2+pp2+++=you
will ^md+prd+++=will
find ^vb+vprv+++=find
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
do ^vb+do+vrb++=do
yourself ^ppl+pp2+++=yourself
harm ^nn++++=harm.
. ^zz++++=EXTRAWORD
Saumarez ^np+++??+=Saumarez
knew ^vbd+vprv+tht0+xvbn+=knew
this ^dt+pdem+++=this
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
made ^vbd+++xvbnx+=made
up ^rp++++=up
his ^pp$+pp3+++=his
mind ^nn++++=mind
to ^to++++=to
propose ^vbi++++=propose
to ^in++++=to
the ^ati++++=the
elder ^jjr++++=elder
Miss ^npt++++=Miss
Copleigh ^np++++=Copleigh.
. ^zz++++=EXTRAWORD
Saumarez ^np+++??+=Saumarez
was ^vbd+bedz+vrb++=was
a ^at++++=a
strange ^jj+atrb+++=strange
man ^nn++++=man,
, ^zz++++=EXTRAWORD
with ^in++++=with
few ^ap++++=few
merits ^nns++++=merits,
, ^zz++++=EXTRAWORD
so ^ql++++=so
far ^rb+pl+++=far
as ^ql++++=as
men ^nns++++=men
could ^md+pos+++=could
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
popular ^jj+pred+++=popular
with ^in++++=with
women ^nns++++=women,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
carried ^vbd+++xvbn+=carried
enough ^qlp++++=enough
conceit ^nn++++=conceit
to ^in++++=to
stock ^nn++++=stock
a ^at++++=a
Viceroy ^np++++=Viceroy's
's ^$++++=EXTRAWORD
Council ^nn++++=Council
and ^cc++++=and
leave ^nn++++=leave
a ^rb++++=a
little ^rb"++++=little
over ^rb++++=over
for ^in++++=for
the ^ati++++=the
Commander-in-chief ^np++++=Commander-in-Chief's
's ^$++++=EXTRAWORD
Staff ^nn++++=Staff.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
Civilian ^nn++++=Civilian.
. ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
many ^ap++++=many
women ^nns++++=women
took ^vbd+++xvbn+=took
an ^at++++=an
interest ^nn++++=interest
in ^in++++=in
Saumarez ^np+++??+=Saumarez,
, ^zz++++=EXTRAWORD
perhaps ^rb+cnj+++=perhaps,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
his ^pp$+pp3+++=his
manner ^nn++++=manner
to ^in++++=to
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
offensive ^jj+pred+++=offensive.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
hit ^vbd+++xvbn+=hit
a ^at++++=a
pony ^nn++++=pony
over ^in++++=over
the ^ati++++=the
nose ^nn++++=nose
at ^in++++=at
the ^ati++++=the
outset ^nn++++=outset
of ^in++++=of
your ^pp$+pp2+++=your
acquaintance ^nn+nom+++=acquaintance,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
may ^md+pos+++=may
not ^xnot++not++=not
love ^vb++++=love
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
will ^md+prd+++=will
take ^vb++++=take
a ^at++++=a
deep ^jj+atrb+++=deep
interest ^nn++++=interest
in ^in++++=in
your ^pp$+pp2+++=your
movements ^nns+nom+++=movements
ever ^rb++++=ever
afterwards ^rb+tm+++=afterwards.
. ^zz++++=EXTRAWORD
The ^ati++++=The
elder ^jjr++++=elder
Miss ^npt++++=Miss
Copleigh ^np++++=Copleigh
was ^vbd+bedz+vrb++=was
nice ^jj+pred+++=nice,
, ^zz++++=EXTRAWORD
plump ^jj++++=plump,
, ^zz++++=EXTRAWORD
winning ^jj+++xvbg+=winning
and ^cc+phrs+++=and
pretty ^jj++++=pretty.
. ^zz++++=EXTRAWORD
The ^ati++++=The
younger ^jjr++++=younger
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
so ^ql++++=so
pretty ^rb+cnj+++=pretty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
from ^in++++=from
men ^nns++++=men
disregarding ^vwbg+++xvbg+=disregarding
the ^ati++++=the
hint ^nn++++=hint
set ^vbd+++xvbn+=set
forth ^rb+phrv+++=forth
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
style ^nn++++=style
was ^vbd+bedz+vrb++=was
repellant ^jj+pred+++=repellant
and ^cc+phrs+++=and
unattractive ^jj++++=unattractive.
. ^zz++++=EXTRAWORD
Both ^abx++++=Both
girls ^nns++++=girls
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
practically ^rb+cnj+++=practically,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
figure ^nn++++=figure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
strong ^jj+atrb+++=strong
likeness ^nns+nom+++=likeness
between ^in++++=between
them ^pp3o+pp3+++=them
in ^in++++=in
look ^nn++++=look
and ^cc++++=and
voice ^nn++++=voice;
; ^zz++++=EXTRAWORD
though ^cs+sub+++=though
no ^at++++=no
one ^cd1++++=one
could ^md+pos+++=could
doubt ^vb++++=doubt
for ^in++++=for
an ^at++++=an
instant ^nn+nom+++=instant
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
the ^ati++++=the
nicer ^nn++++=nicer
of ^in++++=of
the ^ati++++=the
two ^cd++++=two.
. ^zz++++=EXTRAWORD
Saumarez ^np+++??+=Saumarez
made ^vbd+++xvbn+=made
up ^rp++++=up
his ^pp$+pp3+++=his
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
as ^ql++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came
into ^in+ppvb+++=into
the ^ati++++=the
station ^nn+nom+++=station
from ^in++++=from
Behar ^np+++??+=Behar,
, ^zz++++=EXTRAWORD
to ^to++++=to
marry ^vbi++++=marry
the ^ati++++=the
elder ^jjr+atrb+++=elder
one ^pn++++=one.
. ^zz++++=EXTRAWORD
At ^rb++++=At
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
all ^abn++++=all
made ^vwbn+++xvbn+=made
sure ^jj++++=sure
that ^tht+jcmp+++=that
he ^pp3a+pp3+++=he
would ^md+prd+++=would,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
comes ^vbz++++=comes
to ^in++++=to
the ^ati++++=the
same ^ap++++=same
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
two ^cd++++=two
and ^cc++++=and
twenty ^cd++++=twenty,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
thirty ^cd++++=thirty-three,
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
pay ^nn++++=pay
and ^cc++++=and
allowances ^nns+nom+++=allowances
of ^in++++=of
nearly ^rb+down+++=nearly
fourteen ^cd++++=fourteen
hundred ^cd++++=hundred
rupees ^nn++++=rupees
a ^at++++=a
month ^nn++++=month.
. ^zz++++=EXTRAWORD
So ^cs+sub+++=So
the ^ati++++=the
match ^nn++++=match,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
arranged ^vbd+vsua+tht0+xvbn+=arranged
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
in ^in++++=in
every ^at++++=every
way ^nn++++=way
a ^at++++=a
good ^jj+atrb+++=good
one ^pn++++=one.
. ^zz++++=EXTRAWORD
Saumarez ^np+++??+=Saumarez
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
name ^nn++++=name,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
summary ^nn+nom+++=summary
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
nature ^nn++++=nature,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
man ^nn++++=man
once ^cs+tm+++=once
said ^vprf+++xvbn+=said.
. ^zz++++=EXTRAWORD
Having ^xvbg+++xvbg+=Having
drafted ^vbd+++xvbn+=drafted
his ^pp$+pp3+++=his
Resolution ^nn+nom+++=Resolution,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
formed ^vbd+++xvbnx+=formed
a ^at++++=a
Select ^jj+atrb+++=Select
Committee ^nn+nom+++=Committee
of ^in++++=of
One ^cd1++++=One
to ^to++++=to
sit ^vbi++++=sit
upon ^in++++=upon
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
resolved ^vb+++xvbn+=resolved
to ^to+vcmp+++=to
take ^vbi++++=take
his ^pp$+pp3+++=his
time ^nn++++=time.
. ^zz++++=EXTRAWORD
In ^in++++=In
our ^pp$+pp1+++=our
unpleasant ^jj+atrb+++=unpleasant
slang ^nn++++=slang,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Copleigh ^np+++??+=Copleigh
girls ^nns++++=girls
" ^zz++++="hunted
hunted ^vbd+++xvbn+=EXTRAWORD
in ^in++++=in
couples ^nns++++=couples."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+aux++=is
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
could ^md+pos+++=could
do ^vb+do+vrb++=do
nothing ^pn++++=nothing
with ^in++++=with
one ^pn++++=one
without ^in++++=without
the ^ati++++=the
other ^ap++++=other.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
were ^vbd+bed+vrb++=were
very ^ql+amp+++=very
loving ^jj+atrb++xvbg+=loving
sisters ^nns+nom+++=sisters;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
their ^pp$+pp3+++=their
mutual ^jj+atrb+++=mutual
affection ^nn+nom+++=affection
was ^vbd+bedz+vrb++=was
sometimes ^rb++++=sometimes
inconvenient ^jj+pred+++=inconvenient.
. ^zz++++=EXTRAWORD
Saumarez ^np+++??+=Saumarez
held ^vbd+vprv++xvbn+=held
the ^ati++++=the
balancehair ^nn+++??+=balancehair
true ^jj++++=true
between ^in++++=between
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
none ^rb++++=none
but ^cc++++=but
himself ^ppl+pp3+++=himself
could ^md+pos+++=could
have ^vb+hv+aux++=have
said ^vprf+++xvbnx+=said
to ^to+vcmp+++=to
which ^whp+who+++=which
side ^nn++++=side
his ^pp$+pp3+++=his
heart ^nn++++=heart
inclined ^vwbn+++xvbn+=inclined;
; ^zz++++=EXTRAWORD
though ^cs+sub+++=though
every ^at++++=every
one ^cd1++++=one
guessed ^vbd+vprv++xvbn+=guessed.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rode ^vbd+++xvbnx+=rode
with ^in++++=with
them ^pp3o+pp3+++=them
a ^at++++=a
good ^jj+atrb+++=good
deal ^nn++++=deal
and ^cc++++=and
danced ^vpsv++agls+xvbn+=danced
with ^in++++=with
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
never ^rb++++=never
succeeded ^vbd+++xvbn+=succeeded
in ^in++++=in
detaching ^xvbg+++xvbg+=detaching
them ^pp3o+pp3+++=them
from ^in++++=from
each ^dt++++=each
other ^ap++++=other
for ^in++++=for
any ^dti++++=any
length ^nn++++=length
of ^in++++=of
time ^nn++++=time.
. ^zz++++=EXTRAWORD
Women ^nns++++=Women
said ^vbd+vpub++xvbn+=said
that ^tht+vcmp+++=that
the ^ati++++=the
two ^cd++++=two
girls ^nns++++=girls
kept ^vbd+++xvbn+=kept
together ^nn+nom+++=together
through ^in++++=through
deep ^jj+atrb+++=deep
mistrust ^nn++++=mistrust,
, ^zz++++=EXTRAWORD
each ^dt++++=each
fearing ^vb+++xvbg+=fearing
that ^tht+vcmp+++=that
the ^ati++++=the
other ^ap++++=other
would ^md+prd+++=would
steal ^vb++++=steal
a ^at++++=a
march ^nr++++=march
on ^in++++=on
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
But ^cs+sub+++=But
that ^cs"++++=that
has ^vbz+hvz+vrb++=has
nothing ^pn++++=nothing
to ^to++++=to
do ^vbi++++=do
with ^in++++=with
a ^at++++=a
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Saumarez ^np+++??+=Saumarez
was ^vbd+bedz+vrb++=was
silent ^jj+pred+++=silent
for ^in++++=for
good ^jj++++=good
or ^cc+phrs+++=or
bad ^jj++++=bad,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^in++++=as
business ^nns+nom+++=business-likely
- ^zz++++=EXTRAWORD
likely ^jj++++=EXTRAWORD
attentive ^jj++++=attentive
as ^ql++++=as
he ^pp3a+pp3+++=he
could ^md+pos+++=could
be ^vb+be+aux++=be,
, ^zz++++=EXTRAWORD
having ^vbg+hvg++xvbg+=having
due ^jj+atrb+++=due
regard ^nn++++=regard
to ^in++++=to
his ^pp$+pp3+++=his
work ^nn++++=work
and ^cc++++=and
his ^pp$+pp3+++=his
polo ^nn++++=polo.
. ^zz++++=EXTRAWORD
Beyond ^in++++=Beyond
doubt ^nn++++=doubt
both ^abx++++=both
girls ^nns++++=girls
were ^vbd+bed+vrb++=were
fond ^jj+pred+++=fond
of ^in++++=of
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
As ^in++++=As
the ^ati++++=the
hot ^jj+atrb+++=hot
weather ^nn++++=weather
drew ^vbd+++xvbn+=drew
nearer ^rbr++++=nearer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Saumarez ^np+++??+=Saumarez
made ^vbd+++xvbn+=made
no ^at++++=no
sign ^vb++++=sign,
, ^zz++++=EXTRAWORD
women ^nns++++=women
said ^vbd+vpub++xvbn+=said
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
could ^md+pos+++=could
see ^vb+vprv+++=see
their ^pp$+pp3+++=their
trouble ^nn++++=trouble
in ^in++++=in
the ^ati++++=the
eyes ^nns++++=eyes
of ^in++++=of
the ^ati++++=the
girls ^nns++++=girls-that
- ^zz++++=EXTRAWORD
that ^dt+dem+++=EXTRAWORD
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
looking ^vbg+++xvbgx+=looking
strained ^vwbn+++xvbn+=strained,
, ^zz++++=EXTRAWORD
anxious ^jj++++=anxious,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
irritable ^jj++++=irritable.
. ^zz++++=EXTRAWORD
Men ^nns++++=Men
are ^vb+ber+vrb++=are
quite ^rb++++=quite
blind ^jj+pred+++=blind
in ^in++++=in
these ^dt+dem+++=these
matters ^nns+nom+++=matters
unless ^cs+cnd+++=unless
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
more ^rbr++++=more
of ^in++++=of
the ^ati++++=the
woman ^nn++++=woman
than ^in++++=than
the ^ati++++=the
man ^nn++++=man
in ^in++++=in
their ^pp$+pp3+++=their
composition ^nn+nom+++=composition,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
case ^nn++++=case
it ^pp3+it+++=it
does ^vbz+doz+aux++=does
not ^xnot++not++=not
matter ^vb++++=matter
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
say ^vb+vpub+++=say
or ^cc+phrs+++=or
think ^vb+vprv+++=think.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
maintain ^vb+vpub+tht0++=maintain
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
the ^ati++++=the
hot ^jj+atrb+++=hot
April ^nr++++=April
days ^nns++++=days
that ^tht+rel+subj++=that
took ^vbd+++xvbn+=took
the ^ati++++=the
color ^nn++++=color
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
Copleigh ^np+++??+=Copleigh
girls ^nns++++=girls'
' ^zz++++=EXTRAWORD
cheeks ^nns++++=cheeks.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
should ^md+nec+++=should
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
sent ^vpsv++agls+xvbnx+=sent
to ^in++++=to
the ^ati++++=the
Hills ^nns++++=Hills
early ^jj++++=early.
. ^zz++++=EXTRAWORD
No ^at++++=No
one ^pn++++=one--man
-- ^--+clp+++=EXTRAWORD
man ^nn++++=EXTRAWORD
or ^cc++++=or
woman ^nn++++=woman--feels
-- ^--+clp+++=EXTRAWORD
feels ^vbz+vprv+++=EXTRAWORD
an ^at++++=an
angel ^nn++++=angel
when ^wrb+who+++=when
the ^ati++++=the
hot ^jj+atrb+++=hot
weather ^nn++++=weather
is ^vbz+bez+aux++=is
approaching ^vbg+++xvbgx+=approaching.
. ^zz++++=EXTRAWORD
The ^ati++++=The
younger ^jjr+atrb+++=younger
sister ^nn++++=sister
grew ^vbd+++xvbn+=grew
more ^rbr++++=more
cynical ^jj++++=cynical--not
-- ^--+clp+++=EXTRAWORD
not ^xnot++not++=EXTRAWORD
to ^to++++=to
say ^vbi+vpub+++=say
acid ^nn++++=acid--in
-- ^--+clp+++=EXTRAWORD
in ^in++++=EXTRAWORD
her ^pp$+pp3+++=her
ways ^nns++++=ways;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
winningness ^nns+nom+++=winningness
of ^in++++=of
the ^ati++++=the
elder ^nn++++=elder
wore ^vbd+++xvbn+=wore
thin ^jj++++=thin.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
more ^rbr++++=more
effort ^nn++++=effort
in ^in++++=in
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
the ^ati++++=the
Station ^nn+nom+++=Station
wherein ^wrb+who+++=wherein
all ^rb++++=all
these ^dt+dem+++=these
things ^nns++++=things
happened ^vbd+++xvbn+=happened
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
not ^xnot++not++=not
a ^rb++++=a
little ^rb"++++=little
one ^pn++++=one,
, ^zz++++=EXTRAWORD
off ^in+pl+++=off
the ^ati++++=the
line ^nn++++=line
of ^in++++=of
rail ^nn++++=rail,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
suffered ^vpsv++agls+xvbn+=suffered
through ^in++++=through
want ^nn++++=want
of ^in++++=of
attention ^nn+nom+++=attention.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
no ^at++++=no
gardens ^nns++++=gardens
or ^cc++++=or
bands ^nns++++=bands
or ^cc++++=or
amusements ^nns+nom+++=amusements
worth ^in++++=worth
speaking ^nn++++=speaking
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
nearly ^rb+down+++=nearly
a ^at++++=a
day ^nn++++=day's
's ^$++++=EXTRAWORD
journey ^nn++++=journey
to ^to++++=to
come ^vbi++++=come
into ^in+ppvb+++=into
Lahore ^np+++??+=Lahore
for ^in++++=for
a ^at++++=a
dance ^nn++++=dance.
. ^zz++++=EXTRAWORD
People ^nns++++=People
were ^vbd+bed+vrb++=were
grateful ^jj+pred+++=grateful
for ^in++++=for
small ^jj+atrb+++=small
things ^nns++++=things
to ^in++++=to
interest ^nn++++=interest
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
About ^in++++=About
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
May ^md+pos+++=May,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
just ^rb+emph+++=just
before ^in++++=before
the ^ati++++=the
final ^jj+atrb+++=final
exodus ^np++++=exodus
of ^in++++=of
Hill ^npl++++=Hill-goers,
- ^zz++++=EXTRAWORD
goers ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
weather ^nn++++=weather
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
hot ^jj++++=hot
and ^cc++++=and
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
more ^rbr++++=more
than ^in++++=than
twenty ^cd++++=twenty
people ^nns++++=people
in ^in++++=in
the ^ati++++=the
Station ^nn+nom+++=Station,
, ^zz++++=EXTRAWORD
Saumarez ^np+++??+=Saumarez
gave ^vbd+++xvbn+=gave
a ^at++++=a
moonlight ^nn++++=moonlight
riding ^vwbg+++xvbg+=riding-picnic
- ^zz++++=EXTRAWORD
picnic ^nn++++=EXTRAWORD
at ^in++++=at
an ^at++++=an
old ^jj+atrb+++=old
tomb ^nn++++=tomb,
, ^zz++++=EXTRAWORD
six ^cd++++=six
miles ^nns++++=miles
away ^rp+pl+++=away,
, ^zz++++=EXTRAWORD
near ^in+pl+++=near
the ^ati++++=the
bed ^nn++++=bed
of ^in++++=of
the ^ati++++=the
river ^nn++++=river.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
" ^zz++++="Noah's
noah ^np++++=EXTRAWORD
's ^$++++=EXTRAWORD
Ark ^nn++++=Ark"
" ^zz++++=EXTRAWORD
picnic ^nn++++=picnic;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
the ^ati++++=the
usual ^jj+atrb+++=usual
arrangement ^nn+nom+++=arrangement
of ^in++++=of
quarter ^nn++++=quarter-mile
- ^zz++++=EXTRAWORD
mile ^nn++++=EXTRAWORD
intervals ^nns+nom+++=intervals
between ^in++++=between
each ^dt++++=each
couple ^nn++++=couple,
, ^zz++++=EXTRAWORD
on ^in++++=on
account ^nn++++=account
of ^in++++=of
the ^ati++++=the
dust ^nn++++=dust.
. ^zz++++=EXTRAWORD
Six ^cd++++=Six
couples ^nns++++=couples
came ^vbd+++xvbn+=came
altogether ^nn+nom+++=altogether,
, ^zz++++=EXTRAWORD
including ^in++++=including
chaperons ^nns+++??+=chaperons.
. ^zz++++=EXTRAWORD
Moonlight ^nn++++=Moonlight
picnics ^nns++++=picnics
are ^vb+ber+vrb++=are
useful ^jj+pred+++=useful
just ^rb+emph+++=just
at ^in++++=at
the ^ati++++=the
very ^ql+amp+++=very
end ^vb++++=end
of ^in++++=of
the ^ati++++=the
season ^nn++++=season,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
all ^abn++++=all
the ^ati++++=the
girls ^nns++++=girls
go ^vb++++=go
away ^rp+pl+++=away
to ^in++++=to
the ^ati++++=the
Hills ^nns++++=Hills.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
lead ^vb++++=lead
to ^in++++=to
understandings ^nns++++=understandings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
should ^md+nec+++=should
be ^vb+be+aux++=be
encouraged ^vpsv++by+xvbnx+=encouraged
by ^in++++=by
chaperones ^nns+++??+=chaperones;
; ^zz++++=EXTRAWORD
especially ^rb++++=especially
those ^dt+pdem+++=those
whose ^whp+rel+obj++=whose
girls ^nns++++=girls
