To ^in++++=TO
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
something ^pn++++=something
unnatural ^jj++++=unnatural
in ^in++++=in
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
in ^in++++=in
these ^dt+dem+++=these
times ^nns++++=times
of ^in++++=of
ramble ^nn+++??+=ramble
and ^cc++++=and
research ^nn++++=research,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
our ^pp$+pp1+++=our
citizens ^nns++++=citizens
are ^vb+ber+vrb++=are
antiquity ^nn+nom+++=antiquity-hunting
- ^zz++++=EXTRAWORD
hunting ^nvbg+++xvbg+=EXTRAWORD
in ^in++++=in
every ^at++++=every
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
Curiosity ^nn+nom+++=Curiosity,
, ^zz++++=EXTRAWORD
like ^in++++=like
charity ^nn+nom+++=charity,
, ^zz++++=EXTRAWORD
should ^md+nec+++=should
begin ^vb++++=begin
at ^in++++=at
home ^nr++++=home;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
would ^md+prd+++=would
enjoin ^vb++++=enjoin
it ^pp3+it+++=it
on ^in++++=on
our ^pp$+pp1+++=our
worthy ^jj+atrb+++=worthy
burghers ^nns+nom+++=burghers,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
those ^dt+dem+++=those
of ^in++++=of
the ^ati++++=the
real ^jj+atrb+++=real
Knickerbocker ^np+nom++??+=Knickerbocker
breed ^nn++++=breed,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
send ^vb++++=send
their ^pp$+pp3+++=their
sons ^nns++++=sons
abroad ^rb+pl+++=abroad
to ^to++++=to
wonder ^vbi++++=wonder
and ^cc+phrs+++=and
grow ^vb++++=grow
wise ^jj++++=wise
among ^in++++=among
the ^ati++++=the
remains ^nns++++=remains
of ^in++++=of
Greece ^np++++=Greece
and ^cc++++=and
Rome ^np++++=Rome,
, ^zz++++=EXTRAWORD
to ^to++++=to
let ^vbi++++=let
them ^pp3o+pp3+++=them
make ^vb++++=make
a ^at++++=a
tour ^nn++++=tour
of ^in++++=of
ancient ^jj+atrb+++=ancient
Pavonia ^np+++??+=Pavonia,
, ^zz++++=EXTRAWORD
from ^in++++=from
Weehawk ^np+++??+=Weehawk
even ^rb++++=even
to ^in++++=to
the ^ati++++=the
Kills ^nns++++=Kills,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
meditate ^nn+nom+++=meditate,
, ^zz++++=EXTRAWORD
with ^in++++=with
filial ^jj+atrb+++=filial
reverence ^nn+nom+++=reverence,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
moss ^np++++=moss-grown
- ^zz++++=EXTRAWORD
grown ^xvbn+++xvbn+=EXTRAWORD
mansions ^nns++++=mansions
of ^in++++=of
Communipaw ^np+++??+=Communipaw.
. ^zz++++=EXTRAWORD
Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
regard ^vb++++=regard
this ^dt+dem+++=this
much ^ap++++=much
neglected ^jj+atrb++xvbn+=neglected
village ^nn+nom+++=village
as ^ql++++=as
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
remarkable ^jj+atrb+++=remarkable
places ^nns++++=places
in ^in++++=in
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
The ^ati++++=The
intelligent ^jj+atrb+++=intelligent
traveller ^nn+nom+++=traveller,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
looks ^nns++++=looks
down ^rp++++=down
upon ^in++++=upon
it ^pp3+it+++=it
from ^in++++=from
the ^ati++++=the
Bergen ^np+++??+=Bergen
Heights ^nns++++=Heights,
, ^zz++++=EXTRAWORD
modestly ^jj++++=modestly
nestled ^jj+++xvbn+=nestled
among ^in++++=among
its ^pp$+it+++=its
cabbage ^nn+nom+++=cabbage-gardens,
- ^zz++++=EXTRAWORD
gardens ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
great ^nn++++=great
flaunting ^vwbg+++xvbg+=flaunting
city ^nn++++=city
it ^pp3+it+++=it
has ^vbz+hvz+aux++=has
begotten ^vprf+++xvbnx+=begotten
is ^vbz+bez+aux++=is
stretching ^vbg+++xvbgx+=stretching
far ^rb+pl+++=far
and ^cc++++=and
wide ^jj++++=wide
on ^in++++=on
the ^ati++++=the
opposite ^jj+atrb+++=opposite
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
bay ^nn++++=bay,
, ^zz++++=EXTRAWORD
the ^ati++++=the
intelligent ^jj+atrb+++=intelligent
traveller ^nn+nom+++=traveller,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
say ^vb+vpub+++=say,
, ^zz++++=EXTRAWORD
will ^md+prd+++=will
be ^vb+be+aux++=be
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
astonishment ^nn+nom+++=astonishment;
; ^zz++++=EXTRAWORD
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
village ^nn+nom+++=village
of ^in++++=of
Communipaw ^np+++??+=Communipaw,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
in ^in++++=in
truth ^nn++++=truth
is ^vbz+bez+vrb++=is
a ^at++++=a
very ^ql+amp+++=very
small ^jj+atrb+++=small
village ^nn+nom+++=village,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
the ^ati++++=the
almost ^rb+hdg+++=almost
incredible ^jj+atrb+++=incredible
fact ^nn++++=fact
that ^tht+ncmp+++=that
so ^ql+emph+++=so
small ^jj++++=small
a ^at++++=a
village ^nn+nom+++=village
should ^md+nec+++=should
have ^vb+hv+aux++=have
produced ^vprf+++xvbnx+=produced
so ^pn+emph+++=so
great ^jj++++=great
a ^at++++=a
city ^nn++++=city.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
looks ^vbz++++=looks
to ^to+vcmp+++=to
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
like ^in++++=like
some ^dti++++=some
squat ^jj+atrb+++=squat
little ^jj+atrb+++=little
dame ^np++++=dame,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
tall ^jj+atrb+++=tall
grenadier ^nn+nom+++=grenadier
of ^in++++=of
a ^at++++=a
son ^nn++++=son
strutting ^vwbg+++xvbg+=strutting
by ^in++++=by
her ^pp$+pp3+++=her
side ^nn++++=side;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
some ^dti++++=some
simple ^jj++++=simple-hearted
- ^zz++++=EXTRAWORD
hearted ^jj+atrb+++=EXTRAWORD
hen ^nn++++=hen
that ^tht+rel+subj++=that
has ^vbz+hvz+aux++=has
unwittingly ^rb++splt++=unwittingly
hatched ^vprf+++xvbnx+=hatched
out ^rp+pl+++=out
a ^at++++=a
long ^jj++++=long-legged
- ^zz++++=EXTRAWORD
legged ^jj+++xvbn+=EXTRAWORD
turkey ^np++++=turkey.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
all ^rb++++=all
for ^in++++=for
which ^whp+rel+pied++=which
Communipaw ^np+++??+=Communipaw
is ^vbz+bez+vrb++=is
remarkable ^jj+pred+++=remarkable.
. ^zz++++=EXTRAWORD
Sir ^npt++++=Sir,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
interesting ^jj+pred+++=interesting
on ^rp++++=on
another ^ppls++++=another
account ^nn++++=account.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
to ^in++++=to
the ^ati++++=the
ancient ^jj+atrb+++=ancient
province ^nn++++=province
of ^in++++=of
the ^ati++++=the
New ^jj++++=New-Netherlands
- ^zz++++=EXTRAWORD
netherlands ^np++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
classic ^jj+atrb+++=classic
era ^nn++++=era
of ^in++++=of
the ^ati++++=the
Dutch ^jj+atrb+++=Dutch
dynasty ^nn++++=dynasty,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
Herculaneum ^np++++=Herculaneum
and ^cc++++=and
Pompeii ^np++++=Pompeii
are ^vb+ber+vrb++=are
to ^in++++=to
ancient ^jj+atrb+++=ancient
Rome ^np++++=Rome
and ^cc++++=and
the ^ati++++=the
glorious ^jj+atrb+++=glorious
days ^nns++++=days
of ^in++++=of
the ^ati++++=the
empire ^nn++++=empire.
. ^zz++++=EXTRAWORD
Here ^rn+pl+++=Here
every ^at++++=every
thing ^nn++++=thing
remains ^nns++++=remains
in ^in++++=in
status ^nn++++=status
quo ^&fw++++=quo,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
days ^nns++++=days
of ^in++++=of
Oloffe ^np+++??+=Oloffe
the ^ati++++=the
Dreamer ^nn++++=Dreamer,
, ^zz++++=EXTRAWORD
Walter ^np++++=Walter
the ^ati++++=the
Doubter ^np+++??+=Doubter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
other ^ap++++=other
worthies ^nns++++=worthies
of ^in++++=of
the ^ati++++=the
golden ^jj+atrb+++=golden
age ^nn++++=age;
; ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
broad ^jj++++=broad-brimmed
- ^zz++++=EXTRAWORD
brimmed ^jj+atrb++xvbn+=EXTRAWORD
hats ^nns++++=hats
and ^cc++++=and
broad ^jj++++=broad-bottomed
- ^zz++++=EXTRAWORD
bottomed ^jj+atrb++xvbn+=EXTRAWORD
breeches ^nns++++=breeches;
; ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
knee ^nn++++=knee-buckles
- ^zz++++=EXTRAWORD
buckles ^nns++++=EXTRAWORD
and ^cc++++=and
shoe ^nn++++=shoe-buckles;
- ^zz++++=EXTRAWORD
buckles ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
close ^jj++++=close-quilled
- ^zz++++=EXTRAWORD
quilled ^jj+atrb++xvbn+=EXTRAWORD
caps ^nns++++=caps
and ^cc++++=and
linsey ^nn+++??+=linsey-woolsey
- ^zz++++=EXTRAWORD
woolsey ^nn+++??+=EXTRAWORD
short ^jj++++=short-gowns
- ^zz++++=EXTRAWORD
gowns ^nns++++=EXTRAWORD
and ^cc++++=and
petticoats ^nns++++=petticoats;
; ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
implements ^nns+nom+++=implements
and ^cc++++=and
utensils ^nns++++=utensils
and ^cc++++=and
forms ^nns++++=forms
and ^cc++++=and
fashions ^nns++++=fashions;
; ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
word ^nn++++=word,
, ^zz++++=EXTRAWORD
Communipaw ^np+++??+=Communipaw
at ^in++++=at
the ^ati++++=the
present ^jj+atrb+++=present
day ^nn++++=day
is ^vbz+bez+vrb++=is
a ^at++++=a
picture ^nn++++=picture
of ^in++++=of
what ^wdt+who+++=what
New ^jj++++=New-Amsterdam
- ^zz++++=EXTRAWORD
amsterdam ^np++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
before ^in++++=before
the ^ati++++=the
conquest ^nn++++=conquest.
. ^zz++++=EXTRAWORD
The ^ati++++=The
" ^zz++++="intelligent
intelligent ^jj+atrb+++=EXTRAWORD
traveller ^nn+nom+++=traveller"
" ^zz++++=EXTRAWORD
aforesaid ^vwbn+++xvbn+=aforesaid,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
treads ^nns++++=treads
its ^pp$+it+++=its
streets ^nns++++=streets,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
struck ^vpsv++agls+xvbnx+=struck
with ^in++++=with
the ^ati++++=the
primitive ^jj+atrb+++=primitive
character ^nn+nom+++=character
of ^in++++=of
every ^at++++=every
thing ^nn++++=thing
around ^rp++++=around
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead
of ^in++++=of
Grecian ^np+++??+=Grecian
temples ^nns++++=temples
for ^in++++=for
dwelling ^xvbg+++xvbg+=dwelling-houses,
- ^zz++++=EXTRAWORD
houses ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
great ^jj+atrb+++=great
column ^nn++++=column
of ^in++++=of
pine ^nn++++=pine
boards ^nns++++=boards
in ^in++++=in
the ^ati++++=the
way ^nn++++=way
of ^in++++=of
every ^at++++=every
window ^nn++++=window,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
beholds ^nns+++??+=beholds
high ^jj+atrb+++=high
peaked ^jj+atrb+++=peaked
roofs ^nns++++=roofs,
, ^zz++++=EXTRAWORD
gable ^nn++++=gable
ends ^nns++++=ends
to ^in++++=to
the ^ati++++=the
street ^nn++++=street,
, ^zz++++=EXTRAWORD
with ^in++++=with
weather ^nn++++=weather-cocks
- ^zz++++=EXTRAWORD
cocks ^nns++++=EXTRAWORD
at ^in++++=at
top ^jjb++++=top,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
windows ^nns++++=windows
of ^in++++=of
all ^abn++++=all
sorts ^nns++++=sorts
and ^cc++++=and
sizes ^nns++++=sizes;
; ^zz++++=EXTRAWORD
large ^jj+atrb+++=large
ones ^pn++++=ones
for ^in++++=for
the ^ati++++=the
grown ^vprf+++xvbn+=grown-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
members ^nns+nom+++=members
of ^in++++=of
the ^ati++++=the
family ^nn++++=family,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
little ^jj+atrb+++=little
ones ^pn++++=ones
for ^in++++=for
the ^ati++++=the
little ^rb++++=little
folk ^jjb++++=folk.
. ^zz++++=EXTRAWORD
Instead ^rb+cnj+++=Instead
of ^in++++=of
cold ^jj+atrb+++=cold
marble ^nn++++=marble
porches ^nns++++=porches,
, ^zz++++=EXTRAWORD
with ^in++++=with
close ^jj++++=close-locked
- ^zz++++=EXTRAWORD
locked ^vbd+++xvbn+=EXTRAWORD
doors ^nns++++=doors
and ^cc++++=and
brass ^nn++++=brass
knockers ^nns+nom+++=knockers,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
sees ^vbz+vprv+++=sees
the ^ati++++=the
doors ^nns++++=doors
hospitably ^jj++++=hospitably
open ^jj++++=open;
; ^zz++++=EXTRAWORD
the ^ati++++=the
worthy ^jj++++=worthy
burgher ^jjr++++=burgher
smoking ^jj+++xvbg+=smoking
his ^pp$+pp3+++=his
pipe ^nn++++=pipe
on ^in++++=on
the ^ati++++=the
old ^jj++++=old-fashioned
- ^zz++++=EXTRAWORD
fashioned ^vwbn+++xvbn+=EXTRAWORD
stoop ^nn+++??+=stoop
in ^in++++=in
front ^jjb++++=front,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
" ^zz++++="vrouw"
vrouw ^nn+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
knitting ^nvbg+++xvbg+=knitting
beside ^in+pl+++=beside
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
cat ^nn++++=cat
and ^cc++++=and
her ^pp$+pp3+++=her
kittens ^vbz+++??+=kittens
at ^rb++++=at
their ^pp$+pp3+++=their
feet ^nns++++=feet
sleeping ^vwbg+++xvbg+=sleeping
in ^in++++=in
the ^ati++++=the
sunshine ^nn++++=sunshine.
. ^zz++++=EXTRAWORD
Astonished ^j+++xvbn+=Astonished
at ^rb++++=at
the ^ati++++=the
obsolete ^jj++++=obsolete
and ^cc++++=and
" ^zz++++="old
old ^jj+atrb+++=EXTRAWORD
world ^nn++++=world"
" ^zz++++=EXTRAWORD
air ^nn++++=air
of ^in++++=of
every ^at++++=every
thing ^nn++++=thing
around ^rp++++=around
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
the ^ati++++=the
intelligent ^jj+atrb+++=intelligent
traveller ^nn+nom+++=traveller
demands ^nns++++=demands
how ^wrb+who+++=how
all ^rb++++=all
this ^dt+pdem+++=this
has ^vbz+hvz+aux++=has
come ^vprf+++xvbn+=come
to ^to++++=to
pass ^vbi++++=pass.
. ^zz++++=EXTRAWORD
Herculaneum ^np++++=Herculaneum
and ^cc++++=and
Pompeii ^np++++=Pompeii
remain ^vb++++=remain,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true,
, ^zz++++=EXTRAWORD
unaffected ^jj++++=unaffected
by ^in++++=by
the ^ati++++=the
varying ^jj+atrb++xvbg+=varying
fashions ^nns++++=fashions
of ^in++++=of
centuries ^nns++++=centuries;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
buried ^vpsv++by+xvbnx+=buried
by ^in++++=by
a ^at++++=a
volcano ^nn++++=volcano
and ^cc++++=and
preserved ^vpsv++agls+xvbn+=preserved
in ^in++++=in
ashes ^nns++++=ashes.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
charmed ^vbd+++xvbn+=charmed
spell ^nn++++=spell
has ^vbz+hvz+aux++=has
kept ^vprf+++xvbnx+=kept
this ^dt+dem+++=this
wonderful ^jj+atrb+++=wonderful
little ^jj+atrb+++=little
place ^nn++++=place
unchanged ^jj++++=unchanged,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
in ^in++++=in
sight ^nn++++=sight
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
changeful ^jj+atrb+++=changeful
city ^nn++++=city
in ^in++++=in
the ^ati++++=the
universe ^nn++++=universe?
? ^zz++++=EXTRAWORD
Has ^vbz+hvz+vrb++=Has
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
been ^j+j+aux+xvbn+=been
buried ^vpsv++agls+xvbnx+=buried
under ^in++++=under
its ^pp$+it+++=its
cabbage ^nn+nom+++=cabbage-gardens,
- ^zz++++=EXTRAWORD
gardens ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
dug ^vwbn+++xvbn+=dug
out ^rp+pl+++=out
in ^in++++=in
modern ^jj+atrb+++=modern
days ^nns++++=days
for ^in++++=for
the ^ati++++=the
wonder ^nn++++=wonder
and ^cc++++=and
edification ^nn+nom+++=edification
of ^in++++=of
the ^ati++++=the
world ^nn++++=world?
? ^zz++++=EXTRAWORD
The ^ati++++=The
reply ^nn++++=reply
involves ^vbz++++=involves
a ^at++++=a
point ^nn++++=point
of ^in++++=of
history ^nn++++=history,
, ^zz++++=EXTRAWORD
worthy ^jj++++=worthy
of ^in++++=of
notice ^nn++++=notice
and ^cc++++=and
record ^nn++++=record,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reflecting ^jj+atrb++xvbg+=reflecting
immortal ^jj+atrb+++=immortal
honor ^nn++++=honor
on ^in++++=on
